"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"City","Northfield","OH","Akron, OH",1819,58,0.9592,45.3125,87,8.46153846153846,7.15189873417722
"City","Macedonia","OH","Akron, OH",3969,58,0.9741,42.6829,84,4.61538461538461,7.15189873417722
"City","Cuyahoga Falls","OH","Akron, OH",586,58,0.9765,47.7958,79,3.84615384615385,7.15189873417722
"City","Aurora","OH","Akron, OH",2563,58,0.9509,33.7449,72.5,3.07692307692308,7.15189873417722
"City","New Franklin","OH","Akron, OH",3000,58,0.9742,42.1053,104,6.15384615384615,7.15189873417722
"City","Akron","OH","Akron, OH",77,58,0.9672,44.7194,104,10,7.15189873417722
"City","Streetsboro","OH","Akron, OH",2629,58,0.9593,38.0117,103,7.69230769230769,7.15189873417722
"City","Green","OH","Akron, OH",1240,58,0.98,29.6167,73,0.769230769230769,7.15189873417722
"City","Stow","OH","Akron, OH",878,58,0.9784,36.2676,74,1.53846153846154,7.15189873417722
"City","Twinsburg","OH","Akron, OH",1480,58,0.9717,37.5,76,2.30769230769231,7.15189873417722
"City","Hudson","OH","Akron, OH",1496,58,0.9705,55.2632,73,5.38461538461539,7.15189873417722
"City","Tallmadge","OH","Akron, OH",2208,58,0.958,38.6792,85,6.92307692307692,7.15189873417722
"City","Barberton","OH","Akron, OH",1186,58,0.9568,43.0939,87,9.23076923076923,7.15189873417722
"City","Easton","PA","Allentown-Bethlehem-Easton, PA-NJ",1161,53,0.948,45.4082,121,10,9.24050632911392
"City","Upper Milford Township","PA","Allentown-Bethlehem-Easton, PA-NJ",4859,53,0.9564,35.4839,92.5,5,9.24050632911392
"City","Bethlehem Township","PA","Allentown-Bethlehem-Easton, PA-NJ",236,53,0.962,45.625,110,7,9.24050632911392
"City","Forks Township","PA","Allentown-Bethlehem-Easton, PA-NJ",2800,53,0.9656,40.2062,125,6,9.24050632911392
"City","Lower Macungie","PA","Allentown-Bethlehem-Easton, PA-NJ",1252,53,0.9768,41.3265,97.5,1,9.24050632911392
"City","Allentown","PA","Allentown-Bethlehem-Easton, PA-NJ",158,53,0.9432,46.8927,105,9,9.24050632911392
"City","Palmer Township","PA","Allentown-Bethlehem-Easton, PA-NJ",2892,53,0.9579,47.5177,110,8,9.24050632911392
"City","Upper Macungie","PA","Allentown-Bethlehem-Easton, PA-NJ",1782,53,0.9701,36.1963,107.5,3,9.24050632911392
"City","Emmaus","PA","Allentown-Bethlehem-Easton, PA-NJ",3995,53,0.9768,52.5424,89,2,9.24050632911392
"City","South Whitehall Township","PA","Allentown-Bethlehem-Easton, PA-NJ",1932,53,0.9728,48.9796,85.5,4,9.24050632911392
"City","Fayetteville","GA","Atlanta-Sandy Springs-Marietta, GA",402,8,0.9625,38.1119,108,9.6875,3.16455696202532
"City","Dunwoody","GA","Atlanta-Sandy Springs-Marietta, GA",665,8,0.9718,40.3125,88,8.4375,3.16455696202532
"City","Decatur","GA","Atlanta-Sandy Springs-Marietta, GA",1878,8,0.9846,26.5823,75,0.46875,3.16455696202532
"City","North Atlanta","GA","Atlanta-Sandy Springs-Marietta, GA",760,8,0.9814,33.711,85.5,2.8125,3.16455696202532
"City","Snellville","GA","Atlanta-Sandy Springs-Marietta, GA",353,8,0.9836,28.5047,91,1.875,3.16455696202532
"City","Gresham Park","GA","Atlanta-Sandy Springs-Marietta, GA",5015,8,1.04261582673302,30.1075,122,3.28125,3.16455696202532
"City","Lithonia","GA","Atlanta-Sandy Springs-Marietta, GA",240,8,0.99,27.4711,105,2.5,3.16455696202532
"City","Sharpsburg","GA","Atlanta-Sandy Springs-Marietta, GA",2059,8,0.9715,44.0678,89.5,8.59375,3.16455696202532
"City","Monticello","GA","Atlanta-Sandy Springs-Marietta, GA",4245,8,0.9803,24.4681,161,4.84375,3.16455696202532
"City","Forest Park","GA","Atlanta-Sandy Springs-Marietta, GA",1257,8,0.9507,22.1311,69,2.1875,3.16455696202532
"City","Rex","GA","Atlanta-Sandy Springs-Marietta, GA",3037,8,0.9954,18.3673,82.5,0.3125,3.16455696202532
"City","Buford","GA","Atlanta-Sandy Springs-Marietta, GA",2645,8,0.973,28.5714,89,3.75,3.16455696202532
"City","Newnan","GA","Atlanta-Sandy Springs-Marietta, GA",265,8,0.9715,31.9869,98.5,7.96875,3.16455696202532
"City","North Druid Hills","GA","Atlanta-Sandy Springs-Marietta, GA",1940,8,0.9699,40.5229,90.5,8.75,3.16455696202532
"City","Dawsonville","GA","Atlanta-Sandy Springs-Marietta, GA",1174,8,0.9663,37.1105,115.5,9.53125,3.16455696202532
"City","Milton","GA","Atlanta-Sandy Springs-Marietta, GA",888,8,0.9693,30.6667,83.5,4.53125,3.16455696202532
"City","Acworth","GA","Atlanta-Sandy Springs-Marietta, GA",243,8,0.9761,30.7619,87,3.4375,3.16455696202532
"City","Roswell","GA","Atlanta-Sandy Springs-Marietta, GA",255,8,0.9769,37.8906,81,4.375,3.16455696202532
