"RegionName","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"New York","NY","New York","Queens",229.3854,252.3551,245.0008,246.0376,235.726,234.7689,238.8756,248.2786,240.5259,210.3064,204.084,223.8628,233.2121,238.9153,224.7659,227.6576,229.9056,216.4757,204.3654,195.6451,203.8288,213.5404,236.9974,238.7,232.0374,236.874,274.5967,310.9846,339.5127,329.206,325.1476,309.8689,295.5587,290.5549,269.7467,264.1801,265.1407,293.2299,322.2028,329.7046,351.9896,347.9273,348.2809,347.6572,309.0088,266.7313,237.4207,281.1767,320.0673,354.4126,317.5442,331.2413,296.9,291.1097,300.0422,314.6279,334.1251,286.8523,270.1784,280.545,,,,,134.7717,130.6957,130.8094,141.7921,154.6143,145.6423,148.3474,144.1425,147.7097,148.8823,152.5816,160.1367,166.5551,162.4004,162.1622,168.81,167.127,172.5451,166.8586,175.7893,178.2028,185.1979,207.854,230.0864,237.762,247.5133,221.2684,200.2637,214.4899,,405.9789,472.7646,465.1674,525.5172,501.8383,481.9951,536.021,581.6894,536.9936,467.3778,483.7165,582.3017,609.796,658.1237,618.444,618.8829,641.2739,678.0208,728.869,724.4624,701.6038,647.5842,605.2353,574.4291,547.8965,638.2211,726.7553,783.8288,794.3026,822.2117,850.9777,862.7732,863.8524,893.7984,906.075,893.6393,845.6291,842.7311,909.6248,977.5282,1006.1593,1025.4149,1026.4195,1009.7279,1007.397,999.959,1014.0846,1027.8616,1047.6769,1089.8653,1138.3841,1152.2531,1135.5635,1124.8006,1119.9353,1084.2748,1083.8889,1104.0178,1117.4673,1091.6304,1047.8518,1038.6973,1081.4345,1016.5518,964.5512,922.1917,890.0921,894.4987,876.004,849.9063,671.0103,650.8828,678.3388,705.0612,719.8511,730.0841,725.3737,685.5975,703.3233,738.9593,720.8502,737.1393,721.9134,680.7389,661.6242,650.233,676.8798,715.3663,739.6649,746.2015,763.4859,753.92,755.778,713.0267,706.886,724.2341,707.2441,725.4707,709.5982,751.222,799.2573,826.2719,824.2492,817.6155,792.5496,786.6939,784.8077,802.586,776.5809,789.1981,862.7186,885.5728,891.0842,883.652,898.0792,889.7255,898.135,857.2381,871.6534,910.197,894.4784,851.6142,885.126,944.8326,942.6756,957.5475,952.2034,971.7416,959.368,973.0011
"Los Angeles","CA","Los Angeles","Los Angeles",100.9322,96.9999,95.1952,97.3066,99.5718,98.3477,99.2033,96.7592,91.9679,94.1722,94.3436,95.2694,95.2403,100.0513,99.4879,102.7412,103.3019,103.5776,103.5784,106.1704,108.6625,111.0039,110.6033,118.1036,118.2431,119.5344,118.349,120.143,119.9132,120.1832,125.3049,126.68,123.719,122.0662,120.4514,123.1292,125.8976,126.7739,127.5529,127.1331,127.2552,126.559,128.2378,129.5084,128.5335,127.7977,130.1981,136.8243,140.4248,137.5937,138.3511,135.7283,142.0161,142.6441,140.9866,143.9182,140.9672,139.1434,141.596,144.8573,149.2738,148.3657,149.0048,150.6083,150.8148,149.9312,150.1614,154.8157,156.4356,159.6952,159.7507,164.6066,170.3147,174.7413,179.3061,183.073,188.3337,189.7646,189.2413,194.2981,197.6547,196.9959,203.8774,206.0695,208.526,215.0174,221.3754,227.9842,235.8676,241.1257,241.9282,253.3506,254.216,258.0277,255.2468,264.2191,281.9744,289.4945,295.8062,291.9322,294.8734,301.7992,297.3382,296.9497,298.22,298.3562,308.9379,320.5558,327.8809,342.2174,348.6206,354.605,354.7788,367.0162,371.8622,382.2289,377.241,376.4121,380.8562,386.4159,389.8452,394.4612,395.1843,393.581,389.0488,387.5417,388.2022,391.0426,387.4772,388.646,395.6373,408.2094,419.1135,423.9972,428.975,444.3246,453.2833,451.5436,426.4335,417.5888,416.85,403.757,396.1779,393.0425,393.4347,390.3451,387.3113,385.7586,387.9597,374.2595,363.1223,361.8265,345.5723,330.356,304.8712,306.9023,305.9196,306.4816,318.1027,327.9823,328.5466,323.0522,334.4488,326.8325,331.6456,320.1576,314.8725,310.9106,298.1466,300.2968,295.6142,294.3028,300.6988,298.2121,310.4738,302.065,288.3214,273.5185,276.0578,277.9249,273.8804,275.5837,276.9508,276.631,280.7925,267.6673,262.3998,261.719,250.7097,232.4636,235.1141,258.3096,294.2984,264.2314,262.5108,277.3337,270.3648,276.0893,271.5342,285.0057,281.6839,278.6498,281.4066,301.5098,323.8013,341.3063,346.7811,350.8013,344.4362,349.3108,348.773,347.7777,348.8884,338.162,347.3581,357.355,355.9294,353.5626,361.4003,358.9917,351.4657,359.6991,363.1615,366.7527
"Chicago","IL","Chicago","Cook",65.25,76.3101,87.5169,84.6346,77.8889,74.9508,73.8932,74.4298,69.4637,82.8251,84.7744,92.642,82.8025,97.7208,102.7682,112.9965,111.1274,111.0114,107.4455,107.9413,107.3869,99.1839,91.3757,99.7984,104.9558,109.1581,112.1644,113.375,119.3,122.2385,114.0491,105.91,109.6669,121.3788,118.118,116.3599,127.4315,129.4619,130.3285,126.9581,125.6688,134.3361,136.6742,135.5125,132.1868,126.2844,124.9366,125.4009,148.36,161.1348,157.4496,155.0809,151.613,157.5668,157.7998,152.4952,154.3778,154.9428,156.0672,159.0973,163.4943,164.3603,170.9386,174.1548,178.7851,178.6364,177.9274,174.6742,164.6678,175.8213,180.2062,182.863,182.2692,186.6739,187.5695,193.1967,190.5746,185.2958,184.934,188.4001,183.3729,181.0864,199.2519,202.4932,193.069,189.9091,206.1314,208.9057,206.0479,200.2406,202.6581,201.8402,197.8861,197.8571,196.915,197.1675,208.1924,212.4211,212.6675,210.2259,213.3473,216.5887,218.7802,216.5989,215.447,209.1772,211.7027,212.4857,220.4536,221.4349,223.6062,231.174,232.9483,231.0352,228.9675,233.5165,231.2473,228.6051,225.0272,227.5254,233.369,238.0088,238.0247,237.624,235.8485,238.2923,238.8168,232.1457,234.799,230.4458,229.0812,231.6309,233.3614,236.8307,246.7021,254.4875,255.506,251.3553,247.5781,250.256,256.094,244.8461,239.9474,234.3986,239.986,235.7995,240.4672,239.8846,245.3846,250.6731,253.5756,242.6712,239.0054,228.0625,227.1458,230.5581,232.5602,234.3411,234.5679,237.2087,237.3796,231.916,228.7157,227.3324,222.5845,224.5717,219.1628,216.783,219.9977,226.0533,227.9552,228.0523,230.4621,225.7576,227.3846,229.8877,230.006,221.969,215.9351,213.7104,213.2469,215.6432,223.5164,223.5716,221.7885,225.7012,225.4357,211.3375,200.4922,192.4546,187.6797,196.0938,198.6773,203.2496,211.372,216.5299,215.7827,215.7144,204.516,203.4075,204.1985,205.5186,193.2964,194.8804,207.1095,222.7112,230.402,234.7492,235.5875,234.8245,237.0281,218.9911,218.5635,222.2534,224.847,222.0165,224.3443,238.7973,252.6586,248.9736,248.6208,250.2889,244.1467,233.1867
"Philadelphia","PA","Philadelphia","Philadelphia",39.2499,39.2023,39.1881,38.85,39.3339,40.484,40.6637,42.5085,40.1371,39.5268,39.7209,40.4384,40.6559,39.2827,38.9623,40.173,42.2874,43.6517,43.0476,42.792,42.3975,42.088,41.6596,41.1952,41.4065,42.767,43.6067,44.2611,44.5548,44.4408,43.8292,44.101,43.2947,42.0795,40.9818,40.2338,41.147,43.708,45.1887,45.8116,45.925,46.2199,44.5864,45.1815,44.5119,46.117,44.6425,44.1534,44.4707,45.1358,46.3236,47.6684,48.0465,48.2179,47.1957,46.024,44.8882,43.6216,41.9023,41.6535,42.0854,43.531,44.3811,47.3075,49.0851,49.8203,49.5558,49.7274,49.2018,49.1612,47.6929,47.365,49.5394,51.547,53.0058,55.2077,56.4421,55.7571,55.6882,55.563,54.6592,53.7769,54.1027,54.2439,56.1396,58.4036,61.3483,63.2576,64.6862,64.6611,64.3565,61.4168,62.5627,66.7559,66.5329,65.1767,65.8652,69.7906,72.6023,76.3199,78.2926,79.3174,78.1512,77.6265,79.3068,79.8675,81.5618,81.7226,81.4949,83.2989,88.827,95.0313,100.2143,99.4985,97.6896,96.0074,93.7832,93.8477,95.5633,94.4339,97.2472,99.64,103.6697,106.7597,106.8312,107.144,103.5483,99.5167,98.3016,98.6805,101.2341,103.4193,107.7174,110.1513,115.0794,117.2619,116.745,112.7591,111.8017,108.5611,105.0713,101.6292,99.8192,100.5533,103.3347,106.3639,111.4003,115.8886,118.6455,115.4419,114.2812,108.2229,103.4844,97.782,93.1277,92.2752,98.5974,103.2936,105.1605,109.9702,114.3142,111.6899,109.2023,108.3214,107.1347,103.6012,99.6581,100.1905,103.146,107.243,112.3306,110.8376,103.7918,100.1347,95.1823,92.5905,89.5365,92.1991,85.4152,84.0989,89.8572,94.977,102.1305,102.2395,101.8487,100.5025,94.5445,89.2511,90.7724,88.7123,88.1781,83.4849,85.7275,87.5961,88.3886,95.1012,102.4593,98.9325,93.3549,93.3997,98.3647,101.7639,100.6022,99.6859,104.305,109.0251,116.9111,122.2507,123.7228,116.5155,111.7286,106.9793,106.0789,100.3271,97.6352,99.3302,103.3803,107.6377,117.2822,117.8611,120.5448,115.3177,109.735,106.087
"Phoenix","AZ","Phoenix","Maricopa",58.1028,56.0882,55.2674,55.4199,57.1134,56.8783,57.2081,56.764,58.4204,58.4668,59.1305,59.9563,61.6991,62.5956,61.5574,61.2322,60.4102,59.9498,58.7311,60.3252,62.2826,63.905,64.2549,64.6169,64.5951,64.6273,65.2384,65.9179,65.0411,63.889,64.1333,67.1165,67.8029,67.9341,70.0357,70.5431,69.7131,69.5634,70.6625,69.198,70.117,70.2008,69.8415,69.7483,68.9906,69.2687,70.7856,73.2613,74.38,75.0624,75.5873,76.2133,75.1677,75.0423,76.1707,78.8132,75.5636,73.5785,74.9519,78.406,79.653,79.2583,79.6515,79.2146,78.6167,77.9907,79.0354,79.9636,80.6081,81.2684,79.6239,81.0094,81.5481,83.2932,82.3071,82.748,83.4024,85.0072,85.2607,85.1383,87.4276,87.5641,86.266,88.384,90.6146,92.1889,92.4629,93.2604,92.742,90.5116,90.0598,89.599,91.7718,92.5656,93.2039,96.4281,98.7775,99.0886,102.2504,101.5753,102.977,104.27,107.4238,111.2296,111.231,113.107,116.2012,120.6265,123.5529,129.5321,133.8485,140.4609,143.4028,148.1275,147.7978,166.1725,172.1791,175.4339,174.8985,177.1825,180.8045,182.588,181.4495,181.2694,179.8446,179.618,180.5929,177.8829,179.4546,181.6389,181.3176,183.8698,186.6821,184.6826,181.9516,183.5718,185.5786,181.5253,180.4009,185.5231,180.5159,177.127,170.5133,171.106,165.8959,176.553,172.3475,171.2253,165.8502,160.783,161.2775,157.0646,156.7282,165.2283,154.3166,143.6493,128.8255,124.1592,116.5057,107.9012,104.3174,101.4917,95.5525,97.5471,90.1558,83.2963,82.531,81.9286,83.4732,82.5994,82.0397,79.1725,76.663,73.194,72.0965,72.8214,76.9125,70.1952,67.6819,73.4282,73.4788,75.7166,77.4335,74.7239,73.9392,73.3763,72.4944,70.1277,68.2138,72.7523,73.5064,75.3265,79.6002,84.5545,88.59,93.3926,89.6904,84.4269,85.4195,82.8861,84.386,85.8266,89.9808,91.0421,93.0898,94.2533,98.2113,101.8126,102.5002,99.9315,98.9676,100.5861,103.2217,102.9393,107.7899,111.7374,110.8789,109.2065,109.1755,107.9168,112.4002,111.7857,108.8266,108.0736
"Las Vegas","NV","Las Vegas","Clark",73.1944,74.1941,73.6268,73.2375,72.9411,72.9623,73.3977,,,,,75.6586,74.7357,74.8494,75.9927,76.1568,75.7441,75.8861,74.3714,73.2664,73.2729,75.1602,76.9063,,93.4866,83.0295,75.9309,75.5881,75.5419,75.4597,75.1639,75.9131,74.8966,75.1529,75.0427,76.4418,76.9264,77.9621,78.3469,78.6631,78.2699,77.954,77.6866,77.4934,75.3473,78.2019,96.0517,93.0758,85.8841,80.4905,79.7683,80.0938,80.6479,81.1841,81.3202,80.567,80.4635,82.3547,84.1857,86.7382,86.4444,85.4762,84.9359,85.0863,84.6084,84.3789,83.9995,84.8289,89.7287,89.6319,87.4563,86.2106,91.7152,91.3849,90.5547,89.5572,89.0008,88.2976,88.2784,88.8253,89.0575,91.2525,92.123,92.8029,92.4084,94.4694,94.7728,94.3769,94.4435,96.3735,97.3156,96.2435,97.4116,101.5269,105.9619,109.6915,114.4906,121.0828,126.7991,133.3509,139.3209,143.352,145.0754,144.3364,147.2671,149.5006,152.7349,155.0528,158.6106,161.7224,164.7348,166.3714,170.0366,172.4171,174.4743,179.2102,184.6827,188.4141,189.1805,188.2598,188.7785,187.2338,187.8248,186.5896,187.4954,188.0613,192.7314,199.9415,198.2969,204.4367,194.3042,185.274,186.6592,184.715,179.2953,181.6878,,246.2488,,170.2015,168.5233,166.7481,163.2088,158.3719,176.6594,177.2949,166.6394,158.3515,148.0374,136.7388,127.4354,122.0778,118.2615,112.372,104.9278,97.4678,92.3884,88.1915,86.7035,84.0926,79.7191,75.8292,73.0337,72.1615,72.5746,72.0676,70.2167,69.7608,70.1414,70.4298,71.2701,69.1148,68.2889,67.5668,66.1471,63.7125,62.159,63.2902,63.3936,61.2657,59.7711,60.2423,59.3198,58.8072,56.8495,56.9494,57.0188,55.0665,55.2287,54.726,55.5841,56.0887,56.5378,56.2293,61.2312,61.1433,60.6209,61.5418,62.9194,63.5397,63.1798,64.7332,67.7792,72.8411,74.4865,77.2006,80.5303,81.9352,86.341,85.0424,85.1538,85.9112,85.772,87.4072,88.6224,90.1039,87.9558,89.3339,89.206,91.0548,91.5368,92.4626,90.9252,91.1001
"San Diego","CA","San Diego","San Diego",109.5956,108.7636,106.8893,106.9274,106.451,107.0066,109.681,107.0992,112.6759,114.0419,112.7872,111.7851,110.1968,112.7068,111.3706,117.5121,116.562,116.6914,115.9312,114.4907,116.5205,119.7099,121.9002,122.8347,122.5734,124.6301,125.1991,127.6155,128.5434,128.3463,127.4482,128.4746,127.4847,128.1404,128.4457,132.3251,135.0786,135.3116,135.5684,135.575,138.2369,138.79,139.7255,142.0742,141.2355,143.3966,148.1675,151.7042,153.3655,154.9095,156.769,158.5251,163.5435,167.6465,170.7979,170.8769,172.0618,175.8958,178.4683,182.4488,184.8885,186.3042,190.3402,192.4865,194.4819,194.1837,194.163,194.8861,196.3964,196.0336,201.165,207.0048,214.6897,222.0969,229.8057,234.9935,240.3224,245.8,248.3881,250.4145,252.1929,257.1061,262.947,268.4967,270.155,274.3761,277.1954,279.1359,283.2296,286.7691,288.6635,294.496,304.0218,305.0436,309.8952,315.4706,327.7273,344.5303,355.603,369.4294,377.1533,381.1033,388.7785,384.7076,384.2197,380.5907,382.2989,381.9854,382.8917,388.6784,392.3817,389.2941,385.9021,386.3059,390.5878,399.6664,401.0133,399.172,390.2514,388.4279,381.7777,383.7852,383.5733,376.5215,368.8821,368.3081,363.0265,363.6736,367.4851,364.0754,371.2869,370.1913,365.0571,358.6864,355.6304,351.3192,347.8659,352.0908,348.3494,342.09,376.6519,365.1565,345.5977,328.2886,319.3447,351.6484,334.5941,328.9987,318.4871,322.1886,308.4328,299.9381,295.3529,291.9869,291.317,292.3122,286.211,286.6538,291.165,290.2979,294.2036,291.8015,288.7421,289.5486,288.1564,285.5644,280.1359,280.3539,275.0171,276.3302,272.323,269.3207,270.3812,266.9889,265.2077,260.1597,265.1574,259.8312,261.3344,264.6436,259.942,256.7869,261.6657,255.2227,254.1417,260.4578,259.2466,250.1679,246.0915,235.703,229.8406,232.74,245.4089,249.4054,246.7468,250.1583,251.172,254.3001,255.0333,266.1218,267.3921,271.8494,280.9227,294.0009,302.4277,311.142,315.8287,317.9757,322.4525,322.2242,321.306,317.1319,314.7247,312.5711,316.4481,327.929,326.335,333.6608,332.2828,336.7652,337.6565,338.7458,338.8492,334.7334
"Dallas","TX","Dallas-Fort Worth","Dallas",,,,,,,,,51.0939024390244,49.3498,53.2874,56.7097,60.0335,57.2524,56.3113,57.7256,58.0282,58.2021,56.4048,55.0505,57.0511,56.739,60.9917,61.8596,61.6673,59.2073,59.6274,57.5893,56.4968,55.4286,60.1772,58.6416,57.4661,60.4963,65.551,66.5777,63.6355,64.2095,65.7227,71.7119,72.0808,68.4891,68.0224,66.2297,66.8823,68.7011,67.9802,70.137,73.4112,70.2358,68.4747,69.2703,71.2195,68.9543,74.101,73.5412,71.4455,71.8893,74.9357,81.331,81.3278,81.2161,84.8709,83.9347,78.3035,70.9883,73.2792,76.7743,82.9699,79.5786,81.3188,85.6229,87.5112,85.1557,83.136,80.8014,83.8872,81.2198,83.9314,93.8926,96.0531,97.519,99.3555,100.2546,100.9171,94.7073,100.6847,97.4586,97.7663,96.1356,89.5479,85.6265,87.7574,89.9943,,122.5814,115.0748,102.7992,101.2368,100.2955,102.7444,103.3851,101.7695,100.6853,106.2305,106.4161,106.1068,110.4128,110.1573,107.7913,108.0931,108.9078,106.0932,107.5376,107.3007,107.9753,113.9654,113.9004,112.1641,106.7243,106.1251,112.601,114.6973,115.5285,122.529,120.7984,114.6165,109.2281,116.4384,124.4987,130.765,130.9512,134.0038,129.992,129.8475,126.191,129.4913,129.7912,131.7472,140.1055,136.7589,121.2156,113.5461,116.4849,123.0956,120.5617,125.4046,129.3329,130.9093,121.212,126.0609,120.6451,115.7917,109.4267,118.7436,117.0982,113.0633,116.5702,118.92,111.7123,107.6513,108.8958,107.5325,107.6319,111.0234,110.4166,106.9934,106.5628,112.4239,111.2431,112.1879,108.4173,104.362,106.0009,110.6347,111.5898,111.2508,104.3103,104.801,101.9188,101.0906,106.5486,109.6036,111.9511,106.1729,99.3521,92.658,95.9075,95.7764,90.5832,91.8071,100.1195,109.1212,109.6177,110.1623,105.4179,106.4578,110.3791,110.6685,115.683,125.8495,123.3624,117.8986,119.8742,123.1292,128.2284,127.7127,130.9219,127.6507,129.7666,126.0521,128.5449,135.5555,123.6145,124.2112,127.53,129.6442,130.045,133.6559,131.9424,130.9284,136.377,137.0322,136.5304
"San Jose","CA","San Jose","Santa Clara",129.4021,134.2424,136.5749,135.6615,131.7657,131.5972,133.2424,136.1614,134.0358,133.4228,137.7675,141.7013,143.2906,146.7781,147.8623,147.3319,147.7899,147.4661,150.1453,150.7488,152.7512,155.2991,159.5821,162.2168,163.9275,165.6093,168.654,169.9055,171.8712,172.0117,170.6691,174.4414,176.7616,177.7917,178.2432,181.2486,182.9927,185.5835,188.3929,190.6032,193.0799,195.2663,195.8441,199.3741,202.8045,210.4741,218.4172,231.8259,246.0011,253.03,256.5386,258.631,262.9341,265.1636,268.4949,274.4318,284.0492,289.904,295.8411,298.0841,298.4588,292.5322,286.8127,286.4883,286.7011,278.3863,270.0822,264.5404,262.8502,259.789,264.9679,273.7421,278.9092,283.584,289.2067,292.9328,293.336,291.6169,291.506,290.0272,288.1936,285.8817,282.7658,281.1162,284.4092,288.3642,287.8607,286.1173,288.2144,288.0229,289.1789,290.9662,292.3266,292.2618,295.9988,299.2256,303.2819,310.1556,315.5365,317.5571,320.0795,326.9089,330.7607,333.436,335.313,342.0315,353.8633,364.8468,373.7308,379.9457,389.6517,397.3927,402.0854,411.4649,418.2718,421.2143,421.6733,419.8206,422.313,426.0324,428.0984,426.7114,424.4944,421.8578,419.8254,417.7082,416.7252,413.2845,407.948,412.515,414.8915,415.0095,414.3279,414.4534,417.7722,415.0552,416.8909,406.8493,399.1716,406.1924,409.7528,396.4488,381.8287,378.8864,383.3229,378.812,363.6856,353.919,350.7416,346.1107,346.6636,345.1193,342.3466,332.6742,320.3145,316.5369,314.9338,307.9534,309.4184,303.7988,305.1035,301.5395,294.219,291.0134,295.5305,291.7714,283.058,286.6784,278.8747,295.7218,285.3432,280.6611,275.4511,269.3545,259.0772,251.1717,259.9283,244.9789,238.8271,238.2228,243.5829,246.2926,245.3022,242.2138,240.6668,249.6534,244.2816,234.4963,228.2504,219.8353,230.5254,231.9818,240.8638,246.9413,251.7494,260.0021,264.0289,271.0059,277.3936,283.9505,293.7342,300.8762,312.5852,323.7889,342.8879,351.6499,357.0915,357.5551,363.7473,365.3526,363.3086,365.2053,373.3226,367.4645,367.4995,374.0708,387.6317,397.9576,391.8307,395.1486,401.713,400.2876,401.6957,405.2055
"Jacksonville","FL","Jacksonville","Duval",50.4602,46.3558,43.0667,,48.5463,47.7731,45.6695,42.5959,41.3184,46.5102,48.7486,49.319,49.6578,51.9408,52.1878,52.9313,51.4226,49.0618,50.0752,49.0972,49.2959,49.746,56.0667,59.4091,56.6359,54.4113,53.2181,53.1664,50.5472,52.0131,51.4555,53.1514,51.8556,49.7834,52.1943,56.6647,57.8364,55.0132,53.6308,56.4095,56.3953,54.8186,52.3705,51.7744,56.2831,57.8104,63.2716,58.6273,58.2936,59.4459,58.739,57.8583,60.2589,58.8596,56.3715,59.8501,64.255,63.1119,64.9756,65.2663,66.1674,65.8166,66.2652,72.5127,79.1618,82.0966,81.7524,83.2791,86.2131,84.8935,74.8152,71.581,74.9171,81.3922,83.8557,78.4405,81.0895,78.1998,89.7337,90.5602,90.9382,88.7474,91.0292,94.741,87.9281,86.5142,85.5289,93.9275,95.6449,93.153,92.1003,96.4661,96.2037,96.304,97.0992,97.5693,95.8354,96.4637,100.4584,99.8268,99.7032,99.9043,103.6187,103.1573,106.0304,111.0126,117.0649,115.6927,111.4669,114.5723,116.3207,117.5771,117.8343,118.7381,120.5884,122.1525,119.5501,122.2472,120.7763,118.9137,119.5248,123.0375,126.9916,126.557,127.4884,127.6977,126.3705,130.4497,130.58,128.4187,129.3346,131.6469,138.8114,137.3351,134.6562,132.252,132.0289,131.3369,131.738,126.2959,120.756,118.275,115.4368,115.5303,118.6464,130.2421,130.3999,128.5109,122.4079,119.8179,117.9217,114.4918,109.9649,108.7306,109.3534,108.3783,95.649,87.849,87.2126,94.8796,95.7977,92.8101,90.1198,88.9721,78.6396,70.9044,73.5366,76.0308,56.8036,54.9559,58.9181,60.9364,62.2848,60.6798,59.2779,54.9576,57.0559,54.6286,126.5221,101.3436,69.1918,47.6178,50.0823,51.2732,52.9669,53.0359,55.356,70.2887,63.1103,58.854,52.9333,52.357,51.5713,52.6337,57.2772,60.4862,59.252,60.3024,58.4016,54.601,56.0756,57.4286,62.1045,64.065,62.5725,63.622,67.1,68.2662,69.5788,69.6442,73.5416,72.9106,73.6781,73.4252,75.7247,77.27,77.7295,77.1792,77.4759,78.1148,79.5978,76.517,80.2284,82.1157
