"RegionName","State","Metro","CountyName","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"New York","NY","New York","Queens",0.9478,0.9494,0.9466,0.9382,0.9376,0.9347,0.9305,0.9266,0.9269,0.9351,0.9366,0.9365,0.9402,0.9431,0.944,0.9468,0.9442,0.9413,0.9436,0.9402,0.9413,0.9448,0.9479,0.9505,0.9498,0.9475,0.9488,0.9454,0.9436,0.9423,0.9435,0.9467,0.946,0.947,0.9491,0.9479,0.9453,0.9419,0.9426,0.9443,0.9439,0.9443,0.9505,0.953,0.9556,0.9598,0.962,0.9633,0.9611,0.9596,0.9598,0.9603,0.9609,0.9613,0.963,0.9646,0.9697,0.9715,0.9738,0.9748,0.9734,0.9715,0.9717,0.9746,0.9737,0.9721,0.9713,0.9738,0.9778,0.9793,0.98,0.9817,0.9806,0.9796
"Los Angeles","CA","Los Angeles","Los Angeles",0.9619,0.9655,0.968,0.9695,0.9685,0.9721,0.9758,0.9804,0.9818,0.9832,0.9859,0.9928,0.9951,0.998,0.9972,0.9926,0.9869,0.9878,0.9898,0.993,0.9941,0.9889,0.9859,0.9843,0.9816,0.98,0.9793,0.9787,0.978,0.9766,0.9777,0.9793,0.9802,0.9782,0.9776,0.9768,0.9777,0.9785,0.9778,0.9776,0.9789,0.9798,0.9814,0.9851,0.9913,0.9968,0.9965,0.998,0.9969,0.9984,0.9993,1,1,1,1,1.0008,1.003,1.0028,1.0016,1.0005,1.0001,1,0.9969,0.9929,0.9931,0.9967,0.9992,1,0.9985,0.999,0.9962,0.9951,0.9925,0.9909
"Chicago","IL","Chicago","Cook",0.9522,0.9448,0.9411,0.937,0.9322,0.9342,0.9384,0.9405,0.9444,0.9472,0.9469,0.95,0.9515,0.9539,0.956,0.9559,0.9569,0.9556,0.955,0.9553,0.9554,0.9559,0.9565,0.9546,0.951,0.9483,0.9484,0.9493,0.9509,0.9531,0.9535,0.9555,0.9545,0.9536,0.9505,0.9509,0.9496,0.9509,0.9493,0.9496,0.9522,0.9554,0.9545,0.9562,0.9595,0.962,0.9635,0.9655,0.9648,0.9668,0.9647,0.9635,0.9674,0.9684,0.9724,0.9764,0.9798,0.9803,0.9812,0.9812,0.9794,0.9797,0.9783,0.9775,0.975,0.9746,0.9757,0.9786,0.98,0.9809,0.9779,0.9762,0.9745,0.9739
"Philadelphia","PA","Philadelphia","Philadelphia",0.9499,0.9451,0.9377,0.9377,0.9241,0.9238,0.9334,0.9482,0.9527,0.9558,0.9564,0.9555,0.9555,0.9546,0.9548,0.9525,0.9506,0.9453,0.9489,0.9588,0.9635,0.9599,0.9508,0.9445,0.9361,0.9346,0.9356,0.94,0.942,0.9456,0.9443,0.9466,0.9497,0.9472,0.9456,0.9472,0.9444,0.9403,0.9414,0.9373,0.9306,0.933,0.9401,0.9464,0.9521,0.954,0.9546,0.9522,0.9463,0.9449,0.95,0.9516,0.9479,0.9432,0.945,0.9528,0.9595,0.9633,0.9614,0.9592,0.9556,0.9513,0.9504,0.9493,0.9457,0.9426,0.9447,0.9518,0.9591,0.9622,0.9595,0.954,0.9537,0.9531
"Phoenix","AZ","Phoenix","Maricopa",0.948,0.9434,0.9429,0.9414,0.9359,0.9308,0.9436,0.953,0.9647,0.9806,0.9935,0.9992,1,1,0.9966,0.9976,0.993,0.9901,0.9914,0.9963,0.9947,0.9896,0.9803,0.9727,0.9707,0.9722,0.9689,0.9688,0.9733,0.9733,0.9765,0.9818,0.9985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9967,0.9945,0.991,0.9881,0.99,0.9903,0.9917,0.9916,0.9903,0.9886,0.9855,0.9842,0.9827,0.9817,0.9802,0.9786,0.9782,0.9787,0.9797,0.9804,0.9802,0.9789,0.979,0.9797,0.979
"Las Vegas","NV","Las Vegas","Clark",0.9626,0.9688,0.9736,0.975,0.9753,0.971,0.9703,0.9771,0.9903,0.9978,1.0004,1.0086,1.0065,1.0058,1.0034,1.0021,1.0006,1.0001,1,1,1,1,1,1,0.9944,0.9903,0.9873,0.9828,0.9852,0.9901,0.9894,0.9887,0.9912,0.9939,0.9961,0.9953,0.992,0.9905,0.9901,0.991,0.9922,0.9935,0.9971,0.9992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9964,0.9915,0.9936,0.9974,0.9964,0.9944,0.9923,0.9898,0.9877,0.9865,0.9862,0.9859
"San Diego","CA","San Diego","San Diego",0.9639,0.9651,0.9638,0.9653,0.9686,0.9749,0.9765,0.9782,0.9756,0.9797,0.9854,0.99,0.9898,0.9876,0.9877,0.9887,0.9887,0.9895,0.9899,0.9902,0.9857,0.9827,0.9804,0.979,0.9783,0.9777,0.9763,0.974,0.9725,0.9733,0.9723,0.9739,0.9739,0.9744,0.9727,0.971,0.9719,0.9711,0.9717,0.9697,0.9721,0.9738,0.978,0.9796,0.9821,0.9839,0.9846,0.9865,0.9881,0.9888,0.9894,0.9915,0.9945,0.9978,0.9995,1,1,1,0.997,0.992,0.9869,0.9831,0.9808,0.9784,0.98,0.9824,0.9835,0.9831,0.9826,0.9819,0.9815,0.9793,0.979,0.9782
"Dallas","TX","Dallas-Fort Worth","Dallas",0.968,0.9569,0.9556,0.9607,0.9664,0.9632,0.9622,0.9587,0.9661,0.9675,0.9607,0.9639,0.9665,0.9679,0.9675,0.9722,0.9667,0.9672,0.9716,0.9768,0.9732,0.969,0.9627,0.958,0.9576,0.9589,0.9558,0.9526,0.9489,0.9469,0.9468,0.9453,0.9511,0.9561,0.9567,0.9544,0.9526,0.9529,0.9569,0.9617,0.962,0.9608,0.9615,0.963,0.9633,0.9657,0.9617,0.9712,0.979,0.9786,0.9758,0.9755,0.978,0.9819,0.9856,0.9871,0.9883,0.9893,0.9878,0.9838,0.9816,0.9794,0.9766,0.976,0.9827,0.9918,0.9941,0.9919,0.9903,0.9892,0.99,0.987,0.9774,0.9537
"San Jose","CA","San Jose","Santa Clara",0.9713,0.9728,0.9725,0.9728,0.9711,0.9723,0.9748,0.9789,0.9827,0.9856,0.9932,0.9981,1,1.001,1.0008,1.0008,1.0003,1.0002,1,1,1,1,0.9965,0.9938,0.9896,0.9889,0.9855,0.9858,0.9859,0.987,0.987,0.9876,0.9878,0.9878,0.9874,0.9857,0.9856,0.9875,0.9892,0.9915,0.9933,0.9953,0.998,1.0002,1.0033,1.0085,1.0087,1.01,1.0127,1.0152,1.0185,1.0208,1.0266,1.0366,1.0471,1.0494,1.0487,1.0423,1.0317,1.0202,1.0112,1.0058,1.0027,1.0027,1.0124,1.0237,1.0323,1.0342,1.0305,1.024,1.0142,1.0111,1.0065,1.0029
"Jacksonville","FL","Jacksonville","Duval",0.9391,0.9333,0.9283,0.9259,0.925,0.9282,0.9353,0.9401,0.9382,0.938,0.9405,0.9451,0.952,0.9556,0.9599,0.9544,0.9526,0.955,0.9551,0.9537,0.9555,0.9556,0.9525,0.953,0.9489,0.9492,0.95,0.9536,0.9562,0.9546,0.9505,0.9538,0.9533,0.9507,0.9512,0.9531,0.9515,0.953,0.9545,0.9552,0.9553,0.9593,0.9594,0.9599,0.959,0.959,0.9552,0.9587,0.9595,0.96,0.9636,0.9633,0.9616,0.966,0.9699,0.9747,0.9746,0.9724,0.9742,0.9735,0.9727,0.9693,0.966,0.9601,0.9582,0.9625,0.969,0.9742,0.9757,0.9754,0.9756,0.9767,0.9778,0.9752
