"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"New York","NY","New York","Queens",0,2196,0.00228206298493838,0.0115154306771073,0.0280898876404494,509757
2014-11-30,"Los Angeles","CA","Los Angeles","Los Angeles",1,2492,0.00768297614233724,0.0234086242299795,0.0595238095238095,576991
2014-11-30,"Chicago","IL","Chicago","Cook",2,1673,-0.0118133490844654,-0.013561320754717,0.0359133126934984,539826
2014-11-30,"Houston","TX","Houston","Harris",3,1354,0.00594353640416048,0.0165165165165165,0.061128526645768,473949
2014-11-30,"Philadelphia","PA","Philadelphia","Philadelphia",4,1174,-0.00170068027210884,0.00945829750644884,0.0910780669144981,464450
2014-11-30,"Phoenix","AZ","Phoenix","Maricopa",5,1151,0.00524017467248908,0.0123131046613896,0.0706976744186047,401380
2014-11-30,"Las Vegas","NV","Las Vegas","Clark",6,1181,0.00339847068819031,0.0119965724078835,0.020743301642178,418931
2014-11-30,"San Antonio","TX","San Antonio","Bexar",7,1180,-0.00253592561284869,0,0.0387323943661972,288908
2014-11-30,"San Diego","CA","San Diego","San Diego",8,2274,0.00353045013239188,0.0138207757467677,0.0416857535501603,310188
2014-11-30,"Dallas","TX","Dallas-Fort Worth","Dallas",9,1244,0.0089213300892133,0.0138549307253464,0.0383973288814691,265562
2014-11-30,"San Jose","CA","San Jose","Santa Clara",10,2953,0.00476352500850629,0.0285614768373389,0.137957610789981,209445
2014-11-30,"Jacksonville","FL","Jacksonville","Duval",11,1109,0.0072661217075386,0.0072661217075386,0.0118613138686131,260582
2014-11-30,"Indianapolis","IN","Indianapolis","Marion",12,1066,-0.00280636108512629,-0.00466853408029879,0.0181470869149952,248846
2014-11-30,"San Francisco","CA","San Francisco","San Francisco",13,4000,0.009845998485231,0.0590415673815197,0.174743024963289,140553
2014-11-30,"Austin","TX","Austin","Travis",14,1805,0.00837988826815642,0.019774011299435,0.0724896019013666,151306
2014-11-30,"Columbus","OH","Columbus","Franklin",15,1099,0.00273722627737226,0.0166512488436633,0.102306920762287,218403
2014-11-30,"Fort Worth","TX","Dallas-Fort Worth","Tarrant",16,1256,0.00641025641025641,0.00964630225080386,0.0295081967213115,186893
2014-11-30,"Detroit","MI","Detroit","Wayne",17,743,-0.00668449197860963,-0.00535475234270415,0.0178082191780822,323121
2014-11-30,"Charlotte","NC","Charlotte","Mecklenburg",18,1207,0.00751252086811352,0.0177065767284992,0.0360515021459227,221257
2014-11-30,"Memphis","TN","Memphis","Shelby",19,857,-0.00464576074332172,-0.00580046403712297,0.0142011834319527,190004
2014-11-30,"El Paso","TX","El Paso","El Paso",20,1014,-0.00588235294117647,-0.0145772594752187,-0.00392927308447937,155949
2014-11-30,"Baltimore","MD","Baltimore","Baltimore City",21,1290,0.0015527950310559,0.0015527950310559,0.0221870047543582,211785
2014-11-30,"Boston","MA","Boston","Suffolk",22,2495,-0.00160064025610244,0.00686037126715093,0.0242200328407225,85525
2014-11-30,"Seattle","WA","Seattle","King",23,2192,0.00228623685413809,0.0166975881261596,0.0970970970970971,178120
2014-11-30,"Washington","DC","Washington","District of Columbia",24,2478,0.00242718446601942,-0.00201369311316955,-0.0016116035455278,137928
2014-11-30,"Denver","CO","Denver","Denver",25,1776,0.0113895216400911,0.0248124639353722,0.107231920199501,186376
2014-11-30,"Nashville","TN","Nashville","Davidson",26,1337,0.00753579502637528,0.02217125382263,0.0670391061452514,166190
2014-11-30,"Milwaukee","WI","Milwaukee","Milwaukee",27,1060,0.00378787878787879,0.0133843212237094,0.0261374636979671,103378
2014-11-30,"Portland","OR","Portland","Multnomah",28,1589,0.0101716465352829,0.0298120544394038,0.082425068119891,178926
