"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","New York","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",0,9.21927966101695,91.066,0.6321,0.4048,548500,0.494686698424331,9.08910103420843,0.0342297174111212,10.1,0.104814873226863,0.169817776887688,157
"City","Los Angeles","Los Angeles","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",1,7.38771186440678,90.6874,5.7203,2.0226,525700,0.61244019138756,7.92445083145145,0.0257009701350581,62.9,0.0909715188666419,0.0696149045548185,73
"City","Chicago","Chicago","IL","Chicago, IL","Chicago-Naperville-Joliet, IL-IN-WI",2,0.366525423728814,70.161,,,185600,0.270124257158293,0.924415443175639,-0.000932112068965485,99.2,0.315549113427202,0.0714215972627936,113
"City","Philadelphia","Philadelphia","PA","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3,3.52330508474576,84.182,14.431,9.8075,117200,0.773860705073087,8.31792975970425,0.0344453924914676,78,0.236701697710761,0.0899982643086696,109
"City","Phoenix","Phoenix","AZ","Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",4,4.80826271186441,81.7312,11.7691,4.5998,169900,0.771055753262159,2.47285886610374,0.0322366097704532,93.5,0.235974587285849,0.0348524798206742,77
"City","Las Vegas","Las Vegas","NV","Las Vegas, NV","Las Vegas-Paradise, NV",5,3.73940677966102,77.9687,13.6503,8.0581,178600,0.619718309859155,11.2079701120797,0.0583818589025755,92.1,0.279901753684314,0.115235707878595,83
"City","San Diego","San Diego","CA","San Diego, CA","San Diego-Carlsbad-San Marcos, CA",6,7.79555084745763,85.244,3.5418,1.6989,489500,0.41025641025641,2.59903584154265,0.00829009193054131,37.5,0.0900719479046347,0.0390013815865949,73
"City","San Jose","San Jose","CA","San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA",7,9.26906779661017,90.1556,2.7081,1.0678,734700,0.671416826527816,10.5809753160747,0.0404151354294269,39.8,0.0507961616185622,0.0468174925070844,47
"City","Jacksonville","Jacksonville","FL","Jacksonville, FL","Jacksonville, FL",8,0.529661016949153,64.4446,,,123700,0.32441200324412,8.69947275922671,0.0215278900565885,129,0.336124041165427,0.0957727431063401,95
"City","San Francisco","San Francisco","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",9,9.70338983050847,95.6443,1.7685,0.4916,993300,0.852878464818763,12.1359223300971,0.0433282996073694,53.1,0.0379695852998496,0.0193056466320384,40
"City","Columbus","Columbus","OH","Columbus, OH","Columbus, OH",10,0.532838983050847,70.7907,10.9027,11.0654,102700,0.29296875,3.94736842105263,0.0192405063291139,83.9,0.266100894292755,0.060599005111034,76
"City","Detroit","Detroit","MI","Detroit, MI","Detroit-Warren-Livonia, MI",11,0.244703389830508,,,,41100,-0.242718446601942,1.23152709359606,-0.00812652068126518,406.5,0.41994611090696,0.0863179163473764,97
"City","Charlotte","Charlotte","NC","Charlotte, NC","Charlotte-Gastonia-Concord, NC-SC",12,2.55084745762712,71.909,10.4952,7.9009,155300,0.517799352750809,6.73539518900344,0.0268512556342564,62.3,0.185354918189981,0.0651265077021069,89
"City","Memphis","Memphis","TN","Memphis, TN","Memphis, TN-MS-AR",13,0.505296610169492,65.0728,18.827,9.5253,66500,0,-0.449101796407186,0.0219849624060151,68.5,0.304167747390119,0.0723165190953112,92
"City","Baltimore","Baltimore","MD","Baltimore, MD","Baltimore-Towson, MD",14,0.367584745762712,73.6121,17.8368,14.9478,108900,0,6.55577299412916,0.0173002754820937,110.3,0.290419055901653,0.105259091009723,116
"City","Boston","Boston","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",15,7.47987288135593,90.5234,3.7534,0.9449,441000,0.593065693430657,5.85693710993759,0.0155215419501133,23.3,0.108279886481298,0.0596720690827595,61
"City","Seattle","Seattle","WA","Seattle, WA","Seattle-Tacoma-Bellevue, WA",16,9.11758474576271,89.6876,2.6472,3.1503,468900,0.81702859600086,6.06197692829677,0.0475069311153764,32,0.0949495469234668,0.0311857054695786,51
"City","Washington","Washington","DC","Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",17,6.46716101694915,90.9452,1.2046,0.6247,469900,0.448909790508764,5.9287646528404,0.0131368376250267,36.4,0.124236795404376,0.0944187557522949,57
"City","Denver","Denver","CO","Denver, CO","Denver-Aurora, CO",18,9.45868644067797,93.8235,3.8474,1.4846,284900,1.06420716566158,11.1587982832618,0.0461635661635662,55.2,0.0852350149245913,0.0192458869654472,58
"City","Nashville","Nashville","TN","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",19,6.8103813559322,85.8034,6.1998,4.8456,167300,0.661853188929001,8.56586632057106,0.0284339509862523,49.9,0.12193450107055,0.0350925513476487,72
"City","Milwaukee","Milwaukee","WI","Milwaukee, WI","Milwaukee-Waukesha-West Allis, WI",20,0.442796610169492,67.6072,10.8193,11.6358,93000,0.323624595469256,-0.852878464818763,-0.00339784946236554,102.7,0.376154050204584,0.0678356883025931,113
"City","Portland","Portland","OR","Portland, OR","Portland-Vancouver-Beaverton, OR-WA",21,8.35487288135593,87.963,4.0563,3.8387,304700,0.727272727272727,4.60006865774116,0.0397604200853299,28.2,0.0780300365073294,0.0546045989037775,62
"City","Oklahoma City","Oklahoma City","OK","Oklahoma City, OK","Oklahoma City, OK",22,7.23940677966102,85.1036,3.9466,1.4299,120900,0.498753117206983,4.49438202247191,0.0253680727874277,73.2,0.110451942981417,0.0389805903482267,81
"City","Tucson","Tucson","AZ","Tucson, AZ","Tucson, AZ",23,3.33580508474576,74.6872,13.7207,6.6171,135800,0.295420974889217,5.02706883217324,0.0343446244477172,62.3,0.268272297461884,0.0418511730214476,85
"City","Omaha","Omaha","NE","Omaha, NE","Omaha-Council Bluffs, NE-IA",24,8.13771186440678,80.2083,1.0482,1.4535,130500,0.46189376443418,2.51374705420267,0.0260842911877395,2.4,0.143790917481061,0.0304810581117274,75
"City","Fresno","Fresno","CA","Fresno, CA","Fresno, CA",25,5.59004237288136,82.4959,9.6074,3.9994,174700,0.575705238917674,9.25578486554096,0.052970807097882,61.9,0.243430722066,0.0525236917419305,74
"City","Mesa","Mesa","AZ","Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ",26,5.9989406779661,85.5085,10.0191,4.4331,183700,0.602409638554217,2.97085201793722,0.033543821448013,71.3,0.208373639071437,0.0306714110065867,76
"City","Long Beach","Long Beach","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",27,5.20974576271186,87.8135,7.2767,3.2146,482600,0.374376039933444,5.05006530256857,0.0166535433070867,66.2,0.110604618074149,0.0594391362366471,76
"City","Sacramento","Sacramento","CA","Sacramento, CA","Sacramento--Arden-Arcade--Roseville, CA",28,4.89300847457627,84.4104,10.5601,4.853,255700,0.629673356946084,8.43935538592027,0.0535705905357842,61.9,0.20342762990275,0.0523536872575879,65
"City","Virginia Beach","Virginia Beach","VA","Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC",29,3.09745762711864,79.2259,10.0031,5.0766,244100,0.123051681706317,2.30511316010059,0.0115731257681277,29.6,0.252361242204937,0.0356608934375165,95
"City","Colorado Springs","Colorado Springs","CO","Colorado Springs, CO","Colorado Springs, CO",30,6.51483050847458,80.4201,7.4401,2.2317,207600,0.825643516270034,5.64885496183206,0.0319845857418111,63.1,0.166500384016958,0.0272977822699242,75
"City","Atlanta","Atlanta","GA","Atlanta, GA","Atlanta-Sandy Springs-Marietta, GA",31,4.80614406779661,74.7762,,,162900,0.991940483570986,14.2356241234222,0.0471332105586248,73.7,0.292502954223457,0.0464028629759325,89
"City","Miami","Miami","FL","Miami-Fort Lauderdale, FL","Miami-Fort Lauderdale-Pompano Beach, FL",32,2.12076271186441,87.359,,,274100,0.587155963302752,5.38254517493272,-0.00597592119664359,143.3,0.229218497218915,0.165464164591879,118
"City","Tulsa","Tulsa","OK","Tulsa, OK","Tulsa, OK",33,4.71927966101695,78.2348,4.4601,2.0099,103000,0.0971817298347911,2.69192422731805,0.0200873786407767,75.5,0.125073287678496,0.0505660528328566,95
"City","Cleveland","Cleveland","OH","Cleveland, OH","Cleveland-Elyria-Mentor, OH",34,0.0190677966101695,65.3168,17.2338,11.0242,53500,-0.557620817843866,0.56390977443609,0.0051401869158878,131.6,0.373371942626794,0.0980007989732946,98
"City","Honolulu","Honolulu","HI","Honolulu, HI","Honolulu, HI",35,9.70656779661017,87.5363,0.7116,0.2637,615200,0.605069501226492,5.97760551248923,0.0346440182054617,38,0.0469672668014671,0.0366321239882444,79
"City","Oakland","Oakland","CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",36,7.3114406779661,90.7416,7.6179,4.9701,493700,0.796243364638628,14.044814044814,0.0601397609884546,58.3,0.106320706568346,0.0627133287841316,48
"City","Minneapolis","Minneapolis","MN","Minneapolis-St Paul, MN","Minneapolis-St. Paul-Bloomington, MN-WI",37,2.78177966101695,78.4908,9.767,6.0079,198100,0.507356671740233,3.82599580712788,0.0115699141847552,86.4,0.165799784535303,0.0305441627457239,88
