"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",2200,2200,2200,2298,2300,2299,1999,1995,1999,1995,1800,1800,1825,1850,1950,2000,2095,2150,2000,1950,1800,1698,1675,1700,1737,1750,1750,1795,1775,1750,1745,1795,1750,1735,1675,1695,1750,1850,1800,1850,1797,1799,1795,1875,1895,1695,1850,1800,1800,1860,1944,1995,2000,2095,2100,2100,2113,2155
"Cook","IL","Chicago","17","031",1215,1235,1235,1200,1200,1200,1194,1240,1345,1375,1345,1310,1350,1309,1370,1400,1455,1414,1400,1401,1400,1399,1400,1400,1395,1390,1373,1400,1435,1450,1450,1475,1500,1456,1485,1490,1535,1508,1502,1549,1575,1600,1595,1565,1525,1550,1600,1550,1500,1500,1525,1570,1600,1675,1595,1679,1683,1622
"Harris","TX","Houston","48","201",1300,1350,1375,1375,1350,1350,948,949,945,950,975,980,995,995,1100,1110,1200,1200,905,904,889,915,900,900,1060,1073,1040,1063,1095,1115,1150,1150,840,1129,1190,1048,1050,1250,1295,1250,1177,1249,1250,1350,1353,1330,1243,1375,1205,1250,1400,1422,1450,1450,1409,1425,1425,1401
"Maricopa","AZ","Phoenix","04","013",1300,1250,1275,1295,1200,1200,999,1000,1000,1000,975,965,935,950,1100,1100,1100,1095,1050,1050,1000,995,995,995,995,980,995,995,999,997,995,987,969,955,950,950,975,1095,1033,1050,1050,1045,1000,1095,1095,1075,1095,1099,1095,1100,1140,1195,1195,1185,1195,1195,1195,1195
"San Diego","CA","San Diego","06","073",2750,2600,2600,2500,2500,2600,1737,1799,1793,1760,1660,1650,1740,1750,1895,1995,2000,2000,1950,1950,1907,1800,1800,1769,1700,1715,1695,1695,1750,1747,1725,1730,1625,1625,1600,1610,1645,1800,1750,1750,1775,1700,1749,1950,1892,1750,1855,1895,1875,1987,1995,2090,2095,2050,2095,2100,2095,2100
"Orange","CA","Los Angeles","06","059",2295,2250,2300,2300,2350,2395,2100,2000,2000,2035,1975,1955,1950,1990,2200,2300,2475,2395,2350,2300,2200,2095,2150,2000,1950,1900,1975,1995,1995,1995,1990,1990,1850,1770,1775,1770,1875,2208,2100,2195,2240,2200,2100,2376,2300,2200,2220,2199,2185,2200,2100,2235,2250,2295,2285,2300,2200,2193
"Kings","NY","New York","36","047",1675,1700,1750,1750,1800,1800,1800,1850,1895,1800,1600,1600,1600,1600,1700,1700,1700,1800,1800,1800,1750,1725,1700,1750,1750,1800,1850,1900,1950,2000,2000,1980,1950,1925,1900,1900,1985,1950,2000,2150,2200,2200,2300,2350,2323,2300,2300,2200,2200,2300,2300,2300,2400,2350,2360,2400,2409,2400
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",1700,1650,1700,1695,1700,1700,1700,1650,1700,1650,1650,1650,1675,1699,1700,1725,1750,1750,1750,1750,1750,1750,1750,1750,1800,1800,1800,1800,1840,1800,1800,1790,1775,1776,1800,1800,1800,1850,1850,1900,1950,2000,2000,1955,1995,2000,2000,2000,2000,2100,2000,2050,2000,2100,2000,2000,2000,1975
"Dallas","TX","Dallas-Fort Worth","48","113",1200,1200,1200,1200,1200,1195,929,940,975,993,1000,1000,1011,1045,1100,1100,1148,1150,1095,1055,995,941,1025,1000,1000,1040,985,1095,1100,1084,1074,1100,1095,1099,1150,1200,1059,1106,1095,1038,1065,1115,1177,1200,1200,1200,1200,1250,1233,1255,1300,1285,1295,1285,1259,1250,1250,1295
"Queens","NY","New York","36","081",1550,1575,1550,1600,1600,1600,1560,1575,1550,1550,1500,1500,1500,1500,1500,1500,1525,1600,1600,1600,1580,1595,1575,1595,1595,1650,1650,1650,1650,1625,1650,1675,1700,1695,1650,1650,1650,1700,1700,1700,1800,1875,1900,1950,1950,1900,1950,1900,1900,1900,1992,2037,2050,2000,2000,2000,2000,2000
