"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",162225,162925,164500,164550,163300.5,163550.35,161875.15,160675,160000.5,160000.85,161000.5,163200.65,165800.35,168375.65,169875.85,170925.5,170600.65,170225.35,170000.15,171000,174700.5,175600.35,173950.15,176950,181650,185400,188200,189550,187000,184400,181650,182450,183900,182350,179250,181950,186150,189050.5,194850.35,193500.15,192500,190700,188800,189950.5,190250.35,187800.65,189250.85,194950.5,199801.15,200700.7,205300.3,203501,206501.7,207001,206450.3,207801,209250.7,205001.3,205001.7,212451,216800.3,221625,226375,229250,230001,231500.7,229550.3,229400,231551,235900.7,237251.3,243800.7,250550.3,256251,262401.7,265802,268501,269550.3,270501,275351.7,277652,279301,281701.3,287901.7,297152.5,307101.35,312825.45,321526.5,332226.05,336775.45,335451.5,337102.55,341453,346753,351751.5,364750.45,380851.5,393101.05,403452.45,407853.4,407154,408102,408752.6,414153.4,418004,417854,421104,431154,442752,453502.6,466003.4,479754,489904,495104,493204,496052,493502.6,491503.4,492504,501752,508753.1,513204.25,517055,521752.5,521753.25,520751.75,520003.25,520754.25,525527.5,526228.25,528254.25,536755,542755,552005,557405,559855,563255,554780,537727.5,527653.25,517351.75,506752.75,506153.9,503354.85,506505,504255,502030,493729.5,477954.15,455804,443754,435004,429004,412753.5,408403.65,408353.85,405004,410004,420954,423129,414004,409754,404253.4,398003.5,395053.15,388203,378653,382101.5,379000.45,384052.55,381201.5,385453,385627.55,387751.5,382403,375803,373903,361903,358753,362253,365128,366378,367853,369553,365003,361501.5,350003,345503,353951.95,344002.55,344503,357578,366377.55,368253,374251.5,379500.45,380700,382500,381750,383250,391600,382550,379350,398500,421000,439900,455100,460250,459250,456950,453650,450500,452125,446525,447250,456000,468000,478675,481075,485750,486000,483750,481100,475150
"Cook","IL","Chicago","17","031",127300,131425,134975,135550,137300,133400,130500,129000,128000,125800,123450,124050,126225,128125,129350,132100,132575,133125,129525,127875,128025,126275,126500,128225,131375,133725,137275,139750,140850,139500,136700,136275,136875.5,136925.35,136900.15,136425,136650,137350,141350,145700,147225,146225,145300,145000,145000,142000,142900,145350,149375,152325,155700,156900,157150,156000,156300,155200,155700,158875,157425,155875,157425,161000,167225,172225,174550,173500,172450,169500,168250,168850,170200,171350,173350,176550,181150,187425,189875,190300,188000,187100,185850,186550,185875,190375,197500,206050,226350,223287.5,214937.5,209675,208950,208225,208400,205775,201400,199250,204350,211350,215600,221850,225750,225675,225025,220850,219700,219550,220000,220500,227350,234050,240900,243700,245825,245625,242800,239750,239800,237550,237900,240900,243750,247350,251750,253250,252300,250300,247800,243450,245900,246000,243500,245925,251075,254000,259825,265925,267750,266450,260300,254000,250750,251000,253950,252575,260975,266000,271800,275450,276050,271950,260050,251450,247875,238750,236125,235950,241000,242300,243950,246875,248175,244300,234700,225450,218550,213250,209250,212450,218000,226100,232600,232750,233550,223000,217125,206275,207500,206750,202750,200400,202350,205250,212200,220000,224075,212500,201250,185900,175950,175275,166125,169000,184600,190750,209400,216625,223525,221975,200900,191000,183500,186000,178150,175350,186750,210250,229800,245700,247750,239000,232750,222850,215900,214950,214750,209950,220100,234625,250625,248250,245850,243900,236650,225750
"Maricopa","AZ","Phoenix","04","013",105493.85,104211.65,105300,106400,108000,107947.5,107524.75,107360.3,107440.45,107750,107925,108300,108821.5,109518.05,110733.45,111246.5,111711.05,111895.45,112652.5,112956.75,114495.75,115225,116282,115885,115385.4,116061.6,118217.5,118557.5,118800,119331,119086.7,119419.3,119528.5,120836.95,120886.55,120987,122433.4,124503.6,127210,127066.5,127713.5,128375,128675,128325,127610.5,127674.85,128860.65,129650,129965,130750,132535.5,133379.5,134325,134775,134000,133800,133800,133465,134635,135595,136252.5,136918.2,138591.3,139625,139500,139715,138895.5,139269.5,139665,139985,140850,140595,140255,141375,143912.5,145477.5,146485,147345.5,147546.85,148083.65,149936.5,149337.5,147028.5,146392.5,147415,149010,153450,157102.5,158273.5,157909,156325,156075,158491,159247.7,159846.7,161211.95,163449.4,166645.25,171150,173425,175005.5,176601.35,178644.15,181847,185802.4,189650.9,192986.7,199905,210248.5,222106.5,233115,242450,247785,252200,253000,255656.5,256697.05,256159.45,257800,259250,261000,262200,263850,264218.5,262392.95,258516.55,258494,259325,259975,259982.5,259492.5,259650,259800,260415,260189,261057.3,259166.7,253750,250700,252350,254250,252500,244750,238739.5,237007.65,238506.85,239625,236045,232231.5,222763.5,222425,219132,214413,211966,205746.2,199319.8,190000,188475,187921.9,184185.6,178637.4,173685,168565,168091,164044.2,161411.8,160000,160000,160000,160000,160678.5,158455,156795,155250,157157.5,156750,156104.5,154248.15,151950,150450,150000,149500,162692.5,161750,158250,156250,154947.5,155868.25,149770.2,151500,151050,153950,159950,168300,173150,174850,171855,171550,172875,171750,171250,172850,174900,180350,187400,194125,199625,203215,202185,200700,198915,198250,199235,199500,198312.5,200087.5,201675,205250,209375,210040,210010,207350,205750,204950
"San Diego","CA","San Diego","06","073",158225,158125,158925,158700,157300,157300,158700,157200,152250,155050,156200,158600,159400,160750,161525,158425,160550,163150,163100,161275,161725,166550,170800,172200,173150,172950,175475,175675,175700,174175,172375,171800,172850,176200,178750,181350,182050,183650,187050,186750,187500,186225,185525,187000,187400,196300,202300,208000,209600,211150,212700,215200,218050,219550,222500,224750,227100,233625,238600,240275,241400,240875,244875,247400,249325,249775,249000,249300,253700,259550,267925,275175,278425,284075,293000,303350,310250,313725,313275,316450,323800,327000,331450,336300,339250,345000,353500,361000,365750,365050,367250,368950,380000,385500,391450,408800,422500,436400,445100,449750,455350,456150,454750,456800,459950,462200,463850,469200,475650,484100,486000,488250,490250,491200,495650,498650,501750,493725,494275,497050,496200,491050,492900,492000,489550,481450,479300,481750,484250,475000,475500,480250,481750,483250,488250,490300,480950,473350,472650,479250,482000,472950,454350,441450,441100,448650,443500,438000,427500,417250,401500,384000,376200,366218.5,359167.95,358000.55,359250,364500,369150,374250,375000,372000,365400,361350,360500,348850,347100,355550,356750,357800,358600,359850,362000,361400,355750,360750,362500,346750,340250,351000,356250,358000,362550,360000,351950,346500,341000,337200,342750,339100,336500,340000,349000,359500,358350,358650,363450,365650,365600,372500,382750,383500,381000,389650,406850,427000,432500,431850,429150,434300,432200,431800,435400,428800,425500,433250,443800,453950,465500,464900,464100,461400,457600,446900
"Orange","CA","Los Angeles","06","059",191525,197550,197875,198050,199300,199625,196300,193900,195500,197250,198500,200850,199900,202250,204450,206350,207100,208675,209125,212150,214100,216250,216625,219900,220525,221950,226050,228450,228650,226150,225100,225600,230025,229875,229400,231100,232575,235575,238750,239300,240125,241125,238850,241900,245250,243525,246125,251000,255250,259200,262750,261050,263050,262800,264600,266400,272450,271075,274750,277775,282350,286750,289250,292500,296250,297400,300550,300775,305525,302500,305800,313200,323500,333500,343500,348500,355000,358000,359650,362850,367100,365400,371700,379450,387600,394450,402450,412650,418700,424850,425800,429100,437450,443550,456850,475700,499200,518750,530250,528000,525625,519875,521675,526075,530250,530200,534950,545850,557750,571000,583750,589200,598300,601850,604275,603625,603800,599350,607850,615550,622700,625850,630775,635700,631325,626350,620975,619825,627200,623750,621450,622225,626325,628900,638850,643800,643450,621100,603150,607900,618600,594250,571500,568250,567750,556500,545500,537500,525725,512625,496300,475350,463750,447500,446750,445600,440900,456500,466500,466750,464700,461050,456550,459750,459200,449700,437550,440500,443300,451900,457600,463500,462450,461050,452500,455450,450550,444250,435400,447275,448000,449750,449250,450000,442500,442250,433500,425500,418250,417850,416050,418875,432475,445325,455300,463950,468500,470500,472200,471250,483250,481250,490500,511000,534825,551575,555850,554750,556800,548950,543000,545000,550000,545800,551275,564075,573100,584850,586800,586350,585000,580000,581500,586000
"Kings","NY","New York","36","047",163000,168075,167675,167500,168950,170575,168575,163750,160900,164000,167800,169700,169000,169800,168050,173750,175900,177100,175350,172950,172450,171950,173475,176975,180250,179200,180000,187575,190475,190750,191000,189200,181750,180800,183800,182900,183550,181750,188250,195000,196575,193175,195750,197000,203950,209050,210700,214300,215300,220450,231000,247750,234500,226750,223500,225000,230000,226000,232250,242000,246000,,,,,,,275000,,,,,,,,,,,,,,,,,,318000,307411.7647,327700,318839.5,315937.65,338121.35,335697.65,342244.15,353215.7,357750,356500,354950,364965,367985,374200,387800,391920,387370,387088,393252,398415,402835.5,418039.5,427515,434656.5,447959.3,444717.2,444687,457314,466952.5,460226.5,460500,458400,459455,456581,462995.2,457640.8,448000,467000,482850,485150,482650,479305,471795,476800,470050,484135,494165,515000,530500,531000,532040.5,550853.35,539687.15,535300,515460,505290,494965,513985,515312.5,518097.75,532501.55,529958.7,510812.5,505550,502450,496495,491496.5,491248.5,480875,483875,491850,498720,484500,486250,486000,484550,499160,503000,497500,490750,494000,510250,515903.5,518606.95,509035.7,497650,513850,524250,513538.85,493416.65,489473,472500,487110,487102,495386.3,495885.2,507365,518648.75,531586,526270.7,521649.15,502348.1,492996.05,496315,487750,492000,387950,403750,445000,481750,478750,463500,474750,463250,455000,462250,469100,458980,441656,450644,470254,483466,506875,500075,488800,467250,459550,488250,488200,466250,458650,491500,510850,509000,532250,528500,499250,502750
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",105650,103600,103600,104100,103990,106850,105510,107000,107415,98530,94055,94325,95300,95725,97800,98315,96750,96935,97550,98950,100165,98835,99100,102050,104250,105000,104200,104940,104110,104950,105050,105150,105000,103500,102950,103850,105200,105350,107050,109330,109670,109800,110100,109425,107550,107175,108560,110640,112200,114350,114550,115300,116200,116350,119100,120065,120785,117850,117400,116050,118550,123170,127380,128375,128725,129350,127850,130100,130450,130650,132140,134460,138700,140100,141300,142450,144025,144775,147500,152500,152275,150975,148500,152200,154325,154675,157565,161900,166885,169250,167500,168250,171500,173575,174575,177350,180750,191050,199900,201465,198060,200675,201750,207275,211925,212850,213810,221990,227750,231250,238875,243475,246400,250875,253875,257650,261855,264795,267850,271900,276750,273250,270800,275950,277875,278325,278850,282200,286750,291750,294250,295000,292500,290750,298500,296950,295750,297050,294250,291250,291325,296975,299650,305300,315950,319465,316460,317150,306325,298715,288435,275415,265035,256750,244700,245050,235250,228750,225450,227500,221750,229250,216550,233900,222050,204000,190000,189115,183590,183965,183585,182150,176850,169825,171425,168500,167500,163250,172250,167120,165500,166750,169250,172500,166750,159400,155600,159250,160475,155450,152500,156275,162800,170700,174250,177500,176750,182250,179550,181950,188500,186000,184750,189250,206000,213750,220750,220850,225645,225955,220750,217000,220350,220150,215050,226200,235500,242500,242250,248600,247900,246500,247500,247250
"Dallas","TX","Dallas-Fort Worth","48","113",,,,,,,,,85200,83035.2941,83482,85823,87852.2,89119.9,89666.85,90331.05,90928.65,90435,90313.3,90518.15,90787.55,89947.7,88617.15,90687.25,92179.1,93287.6,93978.7,93924.55,93885.65,92041.55,92245.4,93321.9,93453.55,96268.05,97685.5,99313.15,100370.6,102490.7,103332.9,104110.8,103416.7,102483.25,102064.05,102593.65,103033.9,99806,98808.35,100484.25,103714.05,103898.65,105629.4,105189,106187.1,105575.05,105722.45,104468.95,105583.6,106083.2,109736.35,113102.1,115130.95,115279.15,117395.4,117426.2,116888.05,115322.75,115574.95,116537.4,118536.9,118563.8,119777.95,119617.2,119597.45,118951.75,120953.1,121901.95,120767.05,119964.15,120338.85,120821.55,121575.3,120386.15,121597.7,122989.15,123612.65,123652.9,125967.85,127039.85,126329.9,123742,120945.95,119321.8,118067.6,119358.7,124433.45,128891.2,131759.55,131819.55,133318.85,134407.5,133601.55,132195.55,129874.15,130311.1,131396.95,130854,131862.75,134440.85,134649.75,136009.25,137220.1,138489.55,137386.85,136848.95,136273.7,135617.3,135458,133465.6,135604.4,137427.9,139454,142651.5,144683.05,145531.15,143734.8,140490.45,137718.15,138212.4,138814.95,138461.15,139892.55,142070.15,147639.8,154202.55,157193.85,156970.65,155890.45,150756.05,151219.45,153676.8,154335.7,142982.95,138137.25,142588.8,150362.95,153435.55,154775.5,154912.65,150536.6,142878.7,137297,135182.9,133572.95,131624.8,133347.65,131705.7,132246.75,139077.1,145615.6,143286.55,139090.1,135245,133674.65,133363.7,130401.55,125620.9,125062.3,130813.7,133256.8,131580.2,132062.25,134324.7,128786.5,130216.25,131309.85,131260.7,136888.55,130810.15,135567.65,135790.7,130426.2,130779.65,136382.05,137400.7,136690.65,131827.55,123388.15,120383.4,123893.2,117915.2,115489.7,125670.5,135646.7,147772.75,152949.2,154971.8,149998.4,147332.65,142287.1,139413.8,144022.95,137800.55,139391.2,151432.8,164030.75,173035.45,177696.9,176860.1,172984.5,166622.15,156177.35,152600,159573.5,155626.45,159364.55,167167.75,172869.6,173368.7,175990.45,176025,173150,169285,168499.5,169200.65
"Queens","NY","New York","36","081",157750,155950,152450,149600,141800,128950,131900,146850,151000,155800,158200,160000,162500,162250,161100,164650,166400,166625,166075,168000,169400,170000,170000,167500,169750,171800,174000,176450,176225,179525,178300,181550,182150,184450,182400,181900,185700,183800,185000,189950,192800,199300,202700,202650,198450,193400,190750,195000,198500,195500,199350,205400,211750,214250,217000,216400,220600,222250,224625,226975,227550,,,,,210000,,,,,,,,,,,,,,,,,,,,305000,299117.6471,295250,299125,305125,300400,308900,315950,320250,330175,332075,331500,329000,326800,330950,345350,355700,359046,362042.2,366553.8,374250,381000,385250,387700,386700,395600,407000,416000,426250,434850,440565,446035,441450,438750,431050,429450,437750,445950,457050,456250,457950,458800,463000,467100,471300,469530,466810,476510,487910,488390,486150,487350,484250,477750,473875,471425,460450,460500,455250,449750,449750,455300,454950,464700,454050,453150,450530,440870,450500,447250,448750,461000,458960,451250,464150,460250,472310,462040,448300,429000,427250,426050,422950,426225,422332.5,423092.5,436300,438750,447250,444500,443750.5,445381.5,433663.5,427550,433675,427250,416550,417500,435200,431550,437750,445800,434250,429500,417250,408550,412700,287500,293466,303931.2,308823.8,314651,311750,318250,327750,353500,366500,375750,373500,371500,360000,368000,380000,380650,379600,385750,378550,380250,382610,390112,373548,332500,312550,321700,324450,337550,343500,336100,334650
"Riverside","CA","Riverside","06","065",114550,112500,115000,113975,113225,113675,114375,117325,117925,115375,114500,114625,114000,115550,117325,118350,118250,119575,120050,121900,122225,122225,123500,125800,126625,130900,131225,129000,127775,127525,125325,127175,129450,130350,129650,131650,135500,137575,138075,138750,139525,140425,139850,139800,141600,142475,145900,150025,152150,155052,154983.9,156268.1,156725,161075,163800,165000,168450,167415,172535,176800,179025,179075,181000,182400,183500,187850,189300,189950,195850,192736.5,193775.55,197410.95,199925,201225,202700,206700,211600,214250,217500,223000,227625,225125,230350,236100,239550,240000,245000,248500,254000,259300,260750,262450,268900,275100,281975,292050,303975,313950,323625,329925,335800,340275,340975,342950,354250,357000,361500,368500,373000,378650,382900,387375,390325,395700,396300,400750,404000,407850,409400,414000,412800,415700,420650,419100,418613.5,418979.45,416384.05,417550,424450,425600,420375,418775,414250,411500,407500,406250,404100,399275,385125,377300,379700,373500,368000,357500,347250,341500,335000,325500,313300,299450,292250,282500,277250,262500,257750,249800,247100,237625,233650,227300,224775,220000,219000,219250,220000,220000,216500,215050,213200,216450,218800,217500,215750,215000,211500,218250,218400,218000,217100,218350,217400,218600,219250,215000,211500,210500,206600,207525,208125,204250,206700,213700,218850,220300,222500,224750,225350,223650,226450,228300,234650,237350,236800,242950,255250,262750,273000,279350,279025,278475,279050,279850,287500,287250,288650,293600,294400,297725,299225,297650,297750,294900,292050,294800
