"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",98.4827,98.2514,98.3103,98.456,98.6879,98.927,98.9896,98.9951,98.9939,98.8712,98.7254,98.691,98.5926,98.5334,98.5006,98.4912,98.6612,98.7107,98.7657,98.6468,98.6242,98.5572,98.4873,98.0998,98.128,98.1324,98.4354,98.5151,98.5496,98.642,98.7818,98.8468,98.9619,98.943,98.8398,98.7584,98.7408,98.5542,98.5121,98.6747,98.8661,98.9401,98.9003,98.8786,98.9131,98.8115,98.7449,98.7023,98.6679,98.5811,98.6347,98.7086,98.847,98.8681,98.889,98.8888,98.797,98.8605,98.8485,98.746,98.716,98.839,98.869,98.92,99.0078,99.03,99.0446,99.0675,99.1201,99.0598,99.0799,99.104,99.0861,99.0206,98.9274,99.0334,99.1371,99.2236,99.2411,99.2328,99.2493,99.1455,99.1804,99.1961,99.1924,99.1358,99.1309,99.1816,99.242,99.267,99.3024,99.3227,99.3836,99.33,99.2214,99.124,97.3906,95.8665,94.5256,93.4526,94.0223,96.4167,97.9614,98.3115,98.3015,98.2434,98.0505,97.9072,97.5907,97.2358,97.2482,97.0035,96.8056,96.4498,96.232,95.814,95.359,94.7191,94.2281,93.4154,92.4767,90.9329,89.4482,88.6447,87.2832,86.2593,85.0917,84.7221,83.11,81.3188,79.5627,78.4298,76.1635,74.7806,75.4236,74.5543,74.5028,75.9716,77.6376,77.6399,78.32,76.8846,76.3186,75.7752,74.1307,72.9173,72.28,71.7349,72.2787,72.5545,72.9176,72.2807,73.486,74.5303,74.1459,73.5911,71.1797,69.6497,68.9165,71.2806,71.3813,71.4023,72.8173,73.0202,72.0048,70.1477,69.6119,68.3622,67.3383,67.1391,67.3859,69.6379,71.0372,71.99,72.0702,72.4638,72.3828,72.0895,72.6326,73.4878,74.2856,75.364,76.8799,78.6366,80.1643,82.1128,83.4606,84.7818,85.4109,86.0537,86.2094,85.786,86.0972,86.2371,86.9395,88.0505,88.8121,88.8131,89.4104,89.6727,89.9517,89.9558,90.1781
"Cook","IL","Chicago","17","031",99.4106,99.2101,99.0655,99.1106,99.2643,99.3021,99.1459,99.1277,99.1877,99.1008,99.0915,99.0158,98.6543,98.6548,98.6026,98.6284,98.623,98.6582,98.7118,98.7421,98.5931,98.4751,98.3946,98.2497,98.1624,98.3409,98.1829,98.0417,98.089,98.1592,98.3568,98.3925,98.4777,98.2076,98.1326,98.0849,97.7672,97.4563,97.5722,97.6126,97.8788,98.0528,98.0897,98.1809,97.9776,97.9191,97.9341,97.8617,97.577,97.3869,97.1628,97.2776,97.5444,97.778,97.9908,98.0062,97.7022,97.636,97.528,97.5323,97.4703,96.7971,96.4882,96.4555,96.6888,97.2123,97.1685,97.1567,97.3523,97.4539,97.1255,96.9824,96.8914,96.764,96.6527,96.9391,97.1543,97.1918,97.3012,97.3994,97.5026,97.4203,97.2234,97.1587,97.0157,96.8519,96.883,96.8226,97.1716,97.3705,97.4196,97.5016,97.5707,97.3685,97.0545,96.5518,96.6858,96.6783,96.5196,96.7594,96.9209,96.9081,96.8812,96.8692,96.6284,96.3147,96.1337,95.8145,95.4807,94.7479,94.3163,94.1939,94.1756,94.2569,94.236,93.9823,93.166,92.1324,90.8345,89.3268,86.9631,84.7482,83.5656,83.3508,82.9994,83.0081,82.9414,81.9271,80.3284,77.9495,73.9099,70.8082,66.2325,61.8074,60.1972,59.4746,60.0884,61.6041,64.2123,65.7039,64.9495,64.7005,64.1074,64.8118,61.9194,59.2738,57.1871,59.6375,62.1152,64.5685,65.0304,63.0941,60.9568,59.2658,59.8661,58.9983,55.2374,51.116,48.8511,49.7018,51.1685,52.9583,55.0186,54.9515,52.9929,52.4301,51.2397,50.9315,51.4854,50.7332,49.2826,50.2675,51.5213,52.1912,52.5142,52.2458,52.1759,50.6984,50.3612,51.2827,53.3032,52.27,52.4076,53.3064,56.2176,58.1015,59.7875,60.4387,60.9664,61.2973,61.5455,62.3117,61.7627,61.8436,62.2788,62.1854,63.4246,65.5738,65.992,66.7491,68.026,68.1055,67.5734
"Maricopa","AZ","Phoenix","04","013",98.6295,98.4719,98.6584,98.578,98.6266,98.5803,98.6104,98.6054,98.6838,98.5695,98.4274,98.518,98.556,98.5695,98.624,98.5852,98.6735,98.6291,98.6839,98.6763,98.5796,98.7627,98.6149,98.4648,98.3995,98.3083,98.368,98.3832,98.2792,98.1759,98.1818,98.2993,98.2847,98.1631,97.8983,97.6624,97.569,97.3936,97.3484,97.4397,97.6161,97.8982,98.0677,97.9429,97.8754,97.6872,97.6387,97.505,97.2611,97.2104,97.2244,97.1137,97.24,97.4235,97.6441,97.4301,97.2647,97.1902,97.3354,97.3711,97.157,94.14,90.5436,88.747,89.5781,93.9478,96.6974,97.6502,97.7341,97.63,97.5907,97.5469,97.4408,97.5592,97.5024,97.5945,97.7347,97.8889,98.0843,98.1545,98.2853,98.3473,98.4439,98.4344,98.4645,98.6313,98.7419,98.8456,99.0198,99.1056,99.0589,99.0948,99.1478,99.2236,99.1118,99.0388,98.8843,98.8295,98.91,98.8674,98.8522,98.8205,98.7789,98.6222,98.541,98.3073,98.1161,97.7519,97.1928,97.1112,97.1309,96.8135,96.4177,96.0715,95.8394,95.6116,95.0294,94.5061,93.7758,93.1942,92.4116,91.4462,90.2056,88.5297,86.1367,84.5412,84.6153,84.0197,83.1294,81.9404,79.8239,78.4944,77.3504,75.5066,73.3965,72.1952,72.0426,71.3454,69.9626,67.3774,65.9217,66.2526,67.5463,65.2232,61.5107,60.6461,61.3262,61.661,61.6496,61.0208,58.4104,56.7472,56.0759,56.5525,57.2177,57.8219,54.9705,52.3479,52.0583,53.072,54.273,53.8255,52.7083,51.008,45.3398,45.009,46.5412,47.3004,47.3896,49.3639,52.8192,55.6249,56.616,57.9816,59.6501,57.6397,57.9907,58.4514,63.1811,66.9005,68.6852,70.0844,71.608,72.3149,73.618,75.6783,77.2855,78.1081,79.2803,79.8052,80.293,79.9852,79.5886,81.1592,81.1486,80.8127,81.032,80.8228,81.3841,82.0918,81.5971,81.3497,82.0797
"San Diego","CA","San Diego","06","073",98.8104,98.8448,98.853,99.0172,99.1499,99.2792,99.2,99.1911,99.1494,99.1072,98.8972,98.6847,98.8946,98.9631,99.0569,98.9079,98.9964,99.1049,99.2638,99.1555,98.9968,98.9408,99.0875,98.9586,98.9945,99.0216,99.1152,99.0946,99.037,98.9494,99.0552,99.1299,99.1597,99.1526,99.0426,98.8728,98.838,98.7971,98.9494,99.111,99.1062,99.1807,99.1523,99.0816,98.9802,98.9597,98.6031,98.2597,98.3509,98.5774,98.8432,98.8186,98.766,98.9046,98.91,98.9934,98.8709,99.0126,99.0652,98.8994,98.7752,98.7268,98.8087,98.9226,98.979,98.9477,98.9835,98.7442,98.6536,98.8278,98.9339,99.0045,98.9347,99.0419,99.0366,99.0791,99.1065,98.9752,99.056,98.9744,98.8769,98.6862,98.6589,98.7258,98.5871,98.4588,98.7887,98.9142,99.0473,98.969,98.8658,98.6813,98.6494,98.6284,98.5528,98.233,97.872,98.1718,98.1155,98.0091,97.6667,96.4153,95.1532,94.1776,93.7912,93.615,93.7206,93.1334,92.4031,92.0992,92.2114,91.4181,90.5685,89.6307,89.3078,89.1004,89.147,89.9458,89.2109,88.8743,85.2132,82.8144,79.9265,79.2457,75.935,76.8732,75.8709,75.391,72.6224,72.524,69.83,68.2273,65.1418,63.6637,62.7838,63.7399,65.1263,65.6913,65.0905,64.8341,66.0717,65.5699,66.8252,65.9238,62.6813,61.1797,61.7814,63.0988,64.1984,64.2547,63.8144,63.2295,63.5983,64.2623,65.6723,65.4438,60.4425,59.2262,60.5408,62.3771,63.1209,63.9117,64.6786,63.6713,61.7653,60.3994,61.2382,59.2302,56.976,56.0059,57.4194,59.4054,61.8712,63.2424,63.5037,63.1243,63.0396,63.6909,64.3513,64.4008,64.6982,66.2393,70.2443,73.1381,74.9315,76.6114,78.4963,79.9003,80.5632,80.5273,81.5486,81.0202,81.2078,83.0422,84.3847,84.5324,85.2942,84.975,85.4639,86.4344,86.9907,86.6551,86.4213
"Orange","CA","Los Angeles","06","059",98.4415,98.6023,99.098,99.3334,99.3744,99.3602,99.3334,99.2636,99.2751,99.2015,99.216,98.9609,99.0988,99.4599,99.4014,99.3288,99.2986,99.3428,99.2857,99.2095,99.204,99.1881,99.2358,99.0438,98.9093,98.8866,99.0571,99.2763,99.2928,99.2865,99.3083,99.2675,99.3531,99.3312,99.3067,99.184,99.0785,99.1388,99.2125,99.2423,99.249,99.2866,99.3188,99.3767,99.3425,99.1795,99.0218,99.123,98.9415,99.0213,99.0362,99.1937,99.21,99.2911,99.3123,99.2236,99.2591,99.2357,99.2794,99.2369,99.2203,99.1827,99.2681,99.2749,99.3414,99.4303,99.4375,99.4509,99.4743,99.3129,99.2554,99.3376,99.391,99.4553,99.308,99.2934,99.4207,99.4499,99.3162,99.3381,99.4315,99.4175,99.3588,99.4159,99.469,99.3028,99.2401,99.2877,99.2945,99.3917,99.4289,99.5359,99.5465,99.4714,99.3162,99.2696,99.2848,99.3094,99.2611,99.3293,99.391,99.3068,98.9669,98.851,98.6836,98.3853,97.9505,97.7736,97.7542,97.6395,97.5659,97.4496,97.1685,96.9769,96.5607,96.4248,96.4401,95.5487,94.6685,94.2809,92.5477,91.4042,90.9288,90.6642,90.2687,89.7427,89.5445,88.9536,88.3434,87.1738,87.728,86.5822,84.898,83.1091,83.3751,83.4928,84.5569,85.3511,85.7061,85.7215,85.5912,85.7252,86.2491,85.8931,84.2656,82.3491,82.3302,83.2863,85.1092,85.1213,85.6253,85.2413,85.2132,85.2683,85.7902,85.5752,84.3146,83.1531,83.8316,83.5677,83.3835,83.5978,84.0145,83.625,65.9965,66.004,64.7302,63.7418,63.3105,61.9075,62.3997,62.925,64.1798,65.8344,67.8426,68.2643,68.8806,69.4474,70.382,70.2276,70.7624,72.0234,74.4828,77.6375,80.0051,82.0647,82.8946,83.6159,84.5754,85.4902,85.3912,85.4966,85.8692,86.6376,86.9391,87.0938,87.4906,87.8249,87.8549,88.1321,88.1102,88.2006,88.8838
"Kings","NY","New York","36","047",99.08,98.5839,98.9522,98.9892,98.7658,98.5061,97.6587,97.2013,97.7442,98.3091,97.9591,98.402,98.7,99.4535,98.9888,98.4102,98.7337,98.0815,97.1728,97.0703,98.1945,97.8097,97.7402,97.9596,97.9037,97.4633,97.959,98.0898,97.458,95.4861,96.6382,98.0922,98.325,97.4431,97.3504,98.1436,98.2753,99.143,98.2514,98.5122,,,,,,,97.4359,,,,,,,,,,,,,,,,,,94.4954,96.9695,98.341,98.7067,98.5397,97.0417,97.6998,98.0783,98.4344,98.1238,98.0594,97.5689,97.7142,98.6265,98.635,98.281,98.1588,98.2708,98.0086,98.0571,98.0234,98.2871,98.667,98.6079,98.2728,97.4928,97.6767,98.4387,98.063,97.515,97.897,97.972,97.8133,97.5698,97.6847,97.5097,97.4175,97.3869,97.4781,97.8315,97.7835,97.9555,96.8613,96.3278,95.4764,96.3692,97.1146,96.7831,97.0938,96.8934,97.4903,97.7081,98.4768,98.5224,97.7949,97.7431,97.2805,96.976,96.8381,96.7761,96.2523,96.9424,96.9093,96.6107,96.7057,96.3013,95.9338,95.2147,95.4112,92.187,91.425,90.2519,91.2835,92.7253,93.144,92.46,92.2266,92.081,92.8203,91.7401,90.7721,90.6651,91.4604,90.8253,91.6836,92.937,93.4267,90.9874,90.7917,92.0466,93.5678,92.7761,91.6133,91.0467,91.5689,91.5533,92.0158,91.2143,91.3652,90.5538,90.4356,89.7422,90.4001,89.7553,87.9086,86.7744,85.368,86.6487,88.014,88.6626,89.6145,89.214,89.7283,89.7581,90.1704,89.6531,88.5673,88.4535,88.3037,88.4802,89.748,91.1308,92.2734,92.5588,92.6738,92.5574,92.5862,92.8897,92.8054,92.9039,92.8559,91.8292,92.3009,92.1876,93.3042,89.5515,90.9308,91.6561,92.844
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",97.6771,97.4364,97.4476,97.3848,97.4156,97.2564,97.3191,97.2641,97.0461,96.8357,96.4265,96.3375,96.1424,95.5774,95.5007,95.3984,95.3714,95.2571,95.3522,95.0649,94.7651,94.5198,94.3328,94.2281,93.7318,93.1987,93.519,93.4688,93.505,93.5196,93.6968,94.0223,93.956,93.8812,93.6252,93.9097,93.1138,93.3155,91.4898,92.227,93.513,94.4181,94.8051,95.2413,95.1228,94.8022,94.3616,94.0117,94.5253,94.9853,95.53,95.7194,95.6444,95.7592,95.4566,95.2559,95.4828,95.6683,96.2692,95.6377,94.9612,94.3468,94.7866,94.7745,94.7132,94.6112,94.6511,94.8122,94.9661,94.6152,94.7794,95.4518,95.1356,94.4226,94.5298,94.9647,95.5342,95.5881,95.6295,95.568,95.6536,95.5661,94.9509,95.0175,94.4842,94.099,94.4863,94.6237,94.495,94.6971,94.8743,95.0252,94.8431,94.7886,94.9991,94.9926,94.7268,94.5058,94.8371,94.9403,95.383,95.3667,95.6177,95.3534,95.1865,95.3609,95.401,95.0522,94.6617,94.1392,94.0735,93.7381,93.1396,92.761,92.2909,92.0431,90.6254,89.6301,89.1429,87.7849,86.151,84.9692,83.9687,82.0066,79.0664,77.6824,78.1568,72.8568,68.3912,62.9842,60.1782,58.3689,52.7591,47.2995,46.133,45.3839,45.3668,47.3504,48.9924,50.6176,51.7802,51.5566,56.1401,56.1104,52.7235,50.5584,52.1364,53.8103,54.3755,54.9672,57.515,57.5173,56.08,54.5623,55.873,61.0544,62.1719,58.9888,56.0234,56.2569,59.0455,59.2137,60.9844,58.1297,56.9794,55.204,55.2918,55.177,54.8265,54.3337,55.5063,58.516,60.3306,61.3171,61.7224,61.4654,60.9776,60.6085,61.7881,64.261,64.4856,66.2395,66.7178,68.7047,69.7146,70.637,72.3301,73.1994,73.8066,74.5215,76.6086,75.2535,74.7878,75.3523,78.2666,80.224,80.0755,80.7109,81.1507,81.8921,82.223,82.6131,83.7492
"Dallas","TX","Dallas-Fort Worth","48","113",97.8111,97.5019,97.6407,97.6159,97.738,97.5903,97.5158,97.14,97.1165,96.9138,96.962,97.017,96.8664,96.9754,96.665,96.5931,96.6158,96.3398,96.0634,95.9288,96.0689,95.5205,94.869,94.8684,94.0914,93.7697,93.5002,93.0985,92.9515,92.6424,93.0573,93.4383,93.639,93.0849,93.3979,93.0476,92.4484,91.7857,91.6252,91.4059,90.8632,91.3322,91.1681,91.3429,90.9024,91.0108,90.6858,90.0439,89.38,88.5346,89.0702,90.2156,90.1105,90.4265,90.5545,90.0186,89.7049,89.6807,89.7663,90.1521,90.3563,89.8434,89.9309,89.7722,89.8702,89.8726,89.6739,89.2319,89.0535,89.6934,89.3762,89.3447,91.181,92.3833,93.2754,93.0894,92.95,92.5077,92.6228,92.511,92.5833,92.8303,92.8724,92.7928,92.8057,92.4398,92.6027,93.0596,93.2402,93.6064,92.6022,91.8801,91.8485,92.0535,91.9631,91.758,92.072,92.291,91.9828,91.0727,91.8156,91.7049,92.232,92.6465,92.5975,92.5407,92.7895,92.3202,92.0072,91.336,91.2564,91.0802,91.1373,91.0536,91.0384,91.4951,91.6881,91.2984,90.7726,90.3877,87.7248,85.9123,85.3612,84.837,85.0998,85.0086,84.3777,84.3198,83.5741,82.2991,81.943,80.6989,79.8239,79.2825,77.0268,75.616,75.7708,75.9074,75.9882,76.3336,76.6007,77.7151,78.0532,77.1345,76.4159,75.7427,75.2321,75.0836,75.1543,76.7565,76.2811,74.2768,72.2679,73.0182,73.698,73.5934,72.9375,70.3288,70.8422,71.9347,73.6401,72.377,71.4504,72.4373,71.4357,70.6028,69.1424,70.4388,69.978,69.5692,68.4507,69.1478,69.9833,69.6018,70.1497,70.3283,71.4334,71.2635,73.2385,74.3248,73.2052,73.5644,74.2442,74.9323,75.7654,77.5226,78.3518,78.1162,78.3274,77.4558,78.5159,79.6389,79.849,79.8154,81.2549,82.1964,82.289,82.1947,83.2632,83.836,83.9565,82.8816,81.3646
"Queens","NY","New York","36","081",98.8599,98.482,98.5307,98.704,98.4144,98.7188,98.8642,99.0647,98.5208,98.8872,98.7419,98.5694,98.4774,98.6862,98.6667,98.3849,98.6282,98.7291,98.2375,97.9623,98.3198,98.3713,97.5792,98.0919,98.2202,98.007,97.9569,97.8835,97.3612,97.0443,97.315,97.1638,97.638,97.442,98.1997,97.6468,98.1541,97.8523,97.5932,98.6806,,,,,100,,,,,,,,,,,,,,,,,,100,100,99.6296,99.3571,98.6454,98.1794,97.779,97.8828,98.384,98.5884,98.6494,98.8966,98.7468,98.6592,97.7263,97.7079,97.9607,97.9985,98.202,98.3664,98.3372,97.8253,97.7017,97.9149,97.4959,97.3835,97.9731,98.2933,98.1706,98.2267,97.4286,97.2546,97.4812,97.3517,97.4994,96.9781,97.1118,96.994,96.9966,97.5466,97.7786,97.8147,97.551,97.2003,97.3025,96.8208,96.5238,95.9791,95.9933,95.8726,95.2495,95.4013,95.6961,96.1449,95.7525,95.7676,95.6544,95.752,95.42,95.8276,94.2738,92.7623,91.4605,92.2035,93.3475,93.5003,92.9144,91.9216,91.4922,90.898,90.3537,89.9946,88.9737,90.3856,90.7694,90.0625,89.2275,90.7,91.5935,90.8343,89.7094,89.0647,88.4943,87.4901,88.3255,88.4957,88.4125,87.8226,89.2576,88.4042,86.8062,85.1586,85.2821,87.0551,88.4172,87.7411,87.9694,88.0096,85.8779,87.4263,88.9334,88.8255,87.003,86.3421,86.9241,87.2969,87.5529,86.0265,85.6793,83.9647,84.9206,85.3246,86.1332,86.2002,86.3504,86.1446,87.878,83.6609,82.5703,80.4902,80.6895,79.705,81.3306,83.0998,83.5772,84.2255,83.7374,83.8672,84.2578,84.4583,84.9486,84.4193,86.1191,86.8181,87.6395,87.3037,88.6632,89.2002,89.1673,88.888,88.8026
"Riverside","CA","Riverside","06","065",97.0902,97.1494,97.2821,97.4941,97.7021,97.4939,97.4734,97.4557,97.4077,97.3079,97.4037,97.2524,97.0532,96.6587,96.9283,97.0947,96.9395,97.399,97.2765,97.3056,97.6707,97.743,97.7341,97.3603,97.214,97.2495,97.674,97.9906,98.0828,98.095,97.6955,97.8001,98.1127,98.0866,98.1114,98.2459,98.2153,98.1432,97.9837,98.0479,97.8193,97.931,97.9503,98.2019,98.3279,98.0476,98.0521,97.9182,97.5415,97.328,97.6047,97.8013,97.9051,97.9875,98.1182,98.1767,98.066,97.8956,97.9285,97.9027,97.4882,97.4364,97.1711,97.2846,97.2607,97.352,96.8482,97.0757,97.7085,98.0065,97.9275,97.9767,97.5431,97.4891,97.5757,97.7328,97.8582,97.8391,97.8171,97.4693,97.5496,97.8098,97.7446,97.4229,97.3786,97.4088,97.501,97.3845,97.5661,97.6533,97.7519,97.1327,96.7366,97.0669,97.2389,97.3318,96.999,96.277,96.0801,96.3361,96.3563,96.5375,97.0043,97.4176,97.5645,97.3143,96.7377,96.3388,96.2231,95.7217,95.4325,95.2527,94.71,94.1328,93.821,93.1265,92.9533,91.6786,91.4535,90.9101,89.6566,87.044,85.7399,83.099,82.1228,80.1083,77.5715,74.8505,73.8021,72.6828,70.6584,69.2795,65.0973,63.4247,63.3188,63.5843,63.2899,63.7435,60.9561,60.0483,58.5093,59.3261,59.8534,57.594,55.7267,54.9006,54.203,53.0398,53.8786,55.7597,55.5826,55.1763,53.497,53.9916,53.7313,54.7494,53.2539,53.164,54.4703,55.4111,54.7135,55.7562,56.2579,55.5631,52.743,51.5836,51.4734,51.1659,48.994,48.7105,50.5577,53.7977,54.0213,54.4001,53.5131,53.926,55.0684,55.199,56.009,57.7604,59.0037,62.2479,64.6098,67.0872,69.4828,71.8061,73.2775,75.4844,78.5935,80.3508,80.0747,79.446,79.268,80.5037,80.237,80.2385,80.6997,81.9368,82.0221,82.4034,82.8965,82.9221,82.4209
