"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",19.7424,21.1672,21.129,19.7385,17.6396,16.2287,15.6897,16.0692,15.8996,15.4295,14.918,14.5759,15.6755,17.046,16.728,15.22,13.7897,12.4698,12.817,13.8612,14.5779,15.1003,14.4645,13.8975,14.258,14.0314,12.7034,11.5616,11.0319,10.5787,10.2027,9.4596,9.1485,9.1234,8.7095,8.597,9.244,9.3278,8.3996,7.6275,7.0431,6.3388,5.8054,5.561,5.5486,5.6797,5.5397,5.6054,5.9128,6.1542,5.979,5.9124,5.7254,5.3991,5.2232,4.9823,4.8907,4.7637,4.8125,4.6048,4.7795,4.719,4.5389,4.0285,3.5368,3.3465,3.1656,2.9438,2.7567,2.6369,2.6717,2.5925,2.4572,2.6239,2.5985,2.3674,2.1107,1.8187,1.7033,1.6435,1.6347,1.5943,1.5422,1.4878,1.5728,1.6285,1.5676,1.4295,1.3409,1.1924,1.1644,1.152,0.9997,0.9732,0.9631,0.8959,0.9275,0.9908,0.9677,1.0482,1.0857,1.1351,1.0274,1.0101,1.1047,1.1917,1.4131,1.6281,1.8729,2.1813,2.4794,2.5358,3.0523,3.7556,4.279,4.6809,5.7194,7.4956,9.22,11.304,14.2821,18.549,21.8969,23.9607,24.9404,26.75,29.5554,32.105,35.026,37.3598,40.0104,44.1245,48.5868,50.2136,49.1867,47.5645,45.344,41.6414,38.5249,36.0061,33.5403,32.1375,31.1286,30.3267,30.7206,32.3045,32.0348,30.2766,27.673,26.2342,26.6922,27.035,27.2422,26.6082,26.9936,27.5014,29.2077,30.2636,29.9906,27.81,27.1388,27.9174,28.1003,28.0582,28.3356,29.7969,29.4596,29.5845,30.1663,30.0861,29.9778,28.6035,27.0225,25.1182,23.031,20.588,18.5391,17.4217,16.2212,15.7925,16.358,16.8414,16.0603,14.6557,12.9562,11.2966,10.1594,8.8107,8.3393,8.4464,8.4328,8.5001,8.4594,8.5955,8.1128,7.7073,7.216,6.9918,6.8621,6.4793,6.5532,6.4388,6.6132
"Maricopa","AZ","Phoenix","04","013",1.2701,1.1282,1.0171,1.0614,1.0843,0.9986,0.974,1.1274,1.3255,1.4506,1.4854,1.4808,1.5043,1.4682,1.2888,1.2902,1.4391,1.4532,1.5403,1.6476,1.6551,1.5932,1.6358,1.8351,1.8986,1.9876,1.8456,1.8215,1.5854,1.518,1.4919,1.5149,1.6374,1.7114,1.7449,1.9131,1.8876,2.0117,2.0233,1.832,1.6472,1.5728,1.5709,1.5829,1.5372,1.7034,1.8299,1.7373,2.1504,2.499,2.8699,2.8855,2.7177,2.5265,2.3521,2.3699,2.3369,2.3659,2.3244,2.2454,2.3945,2.2683,2.1675,2.0334,2.1298,2.372,2.4519,2.447,2.4101,2.7673,2.8967,3.0765,3.0183,3.142,2.9498,2.7077,2.7101,2.7003,2.7424,2.6728,2.7369,2.6405,2.5026,2.3427,2.439,2.4161,2.3078,2.0391,1.8479,1.677,1.548,1.5033,1.3227,1.2274,1.1892,1.1622,1.057,1.0067,0.9795,0.9323,0.861,0.8992,0.8944,0.8741,0.8968,0.8758,0.861,0.8851,0.9787,1.1137,1.272,1.5779,1.7867,2.0634,2.25,2.5271,3.1421,3.8424,4.7761,6.5494,9.0203,12.3204,15.6834,18.9348,20.1951,22.6861,28.3806,33.1178,35.8872,38.7761,43.7588,48.6476,54.2612,57.2826,59.4713,59.9271,59.1355,56.9264,53.8723,51.0374,48.4354,45.636,42.2863,41.7334,42.5713,42.9101,42.9414,41.9796,41.1313,39.1651,40.2616,41.585,43.5769,45.3327,45.96,47.1304,46.6471,45.7604,45.7417,44.866,43.2731,40.8087,41.0096,40.6481,38.6712,36.707,32.8258,30.101,29.4542,28.0017,25.5612,22.8065,20.7808,18.6603,17.8727,16.3265,15.0717,14.256,13.824,15.1286,15.4346,14.656,13.0653,11.9928,11.4678,11.214,10.718,10.3207,9.8028,9.2159,8.9912,8.988,10.219,10.6205,10.5195,10.0024,9.5979,10.0382,9.5983,9.7062,9.6762,9.8889,9.9527
"San Diego","CA","San Diego","06","073",8.096,7.8834,7.7033,7.1291,6.6933,5.8024,5.3428,5.5102,5.6316,5.0798,5.1194,4.9284,5.2199,4.9571,5.0955,4.6535,3.8544,3.7326,3.999,4.127,4.0663,4.2044,3.7301,3.5765,3.0918,3.2805,2.8717,2.4789,2.1037,2.2961,2.3276,2.2074,1.9188,2.0687,2.1635,2.1658,1.9034,1.7516,1.4508,1.3121,1.1395,1.0159,1.0367,1.0594,1.0785,1.1299,1.1429,1.2484,1.292,1.3234,1.2884,1.034,0.995,0.9312,1.0479,1.0039,0.8097,0.8515,0.8805,0.7977,0.753,0.6895,0.5704,0.6172,0.552,0.5631,0.5198,0.5057,0.4875,0.5033,0.4655,0.4194,0.4247,0.4616,0.5198,0.4852,0.4206,0.3449,0.3453,0.3133,0.369,0.2826,0.3235,0.3616,0.4043,0.3116,0.2952,0.3005,0.2591,0.2771,0.3488,0.3945,0.3094,0.3173,0.337,0.3469,0.5847,0.6139,0.5597,0.7648,0.8076,0.8079,0.8377,0.983,1.1433,1.07,1.3258,1.9432,2.8206,3.1437,4.0198,4.5523,5.299,6.3215,7.1873,8.3127,10.7373,12.9164,14.2498,16.7989,21.3344,27.2564,29.6033,30.3839,30.4509,32.9187,35.7738,37.7295,40.6447,41.0515,43.6116,43.9642,48.4778,49.2379,49.0361,46.7049,43.2696,38.5001,35.0798,32.9028,31.5432,30.8462,28.9369,29.9015,32.4189,33.999,31.7001,29.3553,26.7748,25.4673,25.8956,27.1138,27.1093,27.2291,26.1352,26.6465,28.0746,29.8616,29.8975,28.9649,28.5435,27.3922,26.9287,26.2137,26.0791,25.5161,24.7202,23.8019,23.9797,25.5377,24.1637,22.0337,19.6314,18.3126,15.9846,14.2744,12.7812,12.5245,12.523,11.8657,14.1209,14.0622,12.5511,10.6152,8.7965,7.4718,6.5942,6.0708,5.5709,5.4368,5.5438,5.6935,6.169,6.5285,6.5298,6.2188,5.5883,5.0164,4.7895,5.1295,5.0842,4.5693,4.4994
"Orange","CA","Los Angeles","06","059",10.7807,10.704,9.545,8.1356,7.3038,6.5627,5.6774,5.808,6.0992,5.9998,5.5462,5.0201,5.0294,5.5385,5.2355,4.8213,3.8587,3.5272,3.5914,3.7358,3.9028,4.2203,3.9735,3.456,3.2614,3.4934,3.191,2.8763,2.6067,2.539,2.422,2.182,2.0038,2.0951,2.27,2.2502,2.1124,2.3433,2.347,1.9682,1.777,1.6909,1.5583,1.5138,1.4991,1.4069,1.4243,1.4319,1.6074,1.8297,1.7089,1.6881,1.5773,1.3848,1.2833,1.2369,1.1791,1.117,1.2186,1.3611,1.5135,1.409,1.3002,1.0052,0.802,0.8261,0.8843,0.8767,0.8637,0.9192,0.9695,0.9953,0.9394,0.8486,0.7789,0.7298,0.63,0.5347,0.5398,0.5604,0.4955,0.5549,0.5627,0.6026,0.6688,0.714,0.7184,0.6238,0.6426,0.5583,0.5073,0.4836,0.5024,0.6155,0.4893,0.4657,0.5059,0.578,0.7194,0.7073,0.7737,0.7611,0.7246,0.7999,0.7876,1.0832,1.2428,1.4888,1.4484,1.8572,2.2968,2.7044,2.9247,3.3251,3.5746,4.2904,5.6533,7.6689,9.2809,12.4811,17.2484,20.9341,23.9579,25.0305,26.0766,27.1036,29.4578,30.2839,32.1021,33.8667,35.4812,36.8641,40.1865,39.9542,37.6334,34.8621,31.8049,27.2447,23.5897,21.7429,19.6234,19.0641,18.5016,17.6536,17.3964,18.6399,17.9361,16.7715,15.6374,15.8412,16.8629,18.16,18.1703,18.6203,18.9395,20.1956,21.7931,22.7118,22.8299,21.4726,20.3788,20.311,19.5662,19.4898,19.9915,21.083,21.6589,21.8039,21.8929,22.4167,22.6579,21.6364,19.4955,17.4254,14.9791,13.2897,11.8726,10.985,10.3925,10.0302,11.5374,12.4162,11.3469,9.3001,7.9744,7.0866,5.9875,5.6401,5.1559,5.1621,5.5743,5.6102,5.6868,5.6747,5.622,5.3361,4.7433,4.273,4.1384,3.6647,3.3753,3.4705,3.6863
"Kings","NY","New York","36","047",1.6119,1.7007,1.823,2.5204,2.3553,1.8518,1.3263,0.9023,1.315,1.7214,1.7654,1.5302,1.7722,1.8694,2.1239,1.4747,2.0223,2.0924,1.1167,0.772,0.5149,0.6435,1.1291,0.8154,1.1976,0.9526,1.7379,2.3078,2.6709,2.001,1.7516,1.9586,1.2741,1.1433,1.176,1.1869,1.7958,2.6314,2.9941,1.9666,,,,,,,2.381,,,,,,,,,,,,,,,,,,,0.382,,0.9171,0.7632,0.3785,,,0.1057,0.5145,0.7229,0.5705,0.704,0.6148,0.7866,0.7253,1.2699,1.2842,0.9374,0.9605,0.6752,0.5561,0.6416,0.6701,0.5929,0.4356,0.5836,0.7605,0.6375,0.281,0.7619,0.8752,0.5858,0.3135,0.4998,0.5274,0.5649,0.5476,0.5041,0.569,0.4872,0.3332,0.6211,0.3757,0.4783,0.454,0.255,0.1678,,,0.0795,0.138,0.3542,0.3911,0.2046,,0.2128,0.2709,0.1492,0.3471,0.4348,0.3632,0.5202,0.3901,0.6909,0.8252,0.4604,0.5957,0.958,1.3546,1.115,1.1502,0.9668,1.7493,2.4204,1.8437,1.5323,1.2009,1.2363,1.2731,0.8483,1.3951,1.6804,1.2481,1.4266,1.2636,1.0269,0.8271,0.7173,1.1883,1.3014,0.9975,0.9471,0.8476,0.8669,0.6276,0.2707,,0.4184,0.6642,1.0089,0.9753,1.1555,1.1087,0.8084,0.5462,0.5782,0.2859,0.3074,0.3497,0.2572,0.1793,0.2194,0.2103,0.1917,0.2654,0.2447,0.2875,0.32,0.2737,0.2802,0.1403,0.1213,0.1152,0.1164,0.1883,0.3165,0.441,0.389,0.1802,,0.1767,0.3992,0.4142,0.2864,0.1106,0.1953,0.2626,0.2524
"Dallas","TX","Dallas-Fort Worth","48","113",3.2836,3.207,2.7148,2.2613,2.2739,2.3161,2.3598,2.4392,2.939,3.2932,3.2049,3.0108,3.2305,3.6834,3.7396,3.025,2.4204,2.0244,2.1437,2.6797,3.2921,3.8465,3.4855,3.4776,3.7218,3.5374,3.2624,3.0355,2.851,2.4713,2.739,2.6918,2.7024,2.8795,2.9698,2.8987,3.7866,3.7624,3.395,2.85,2.4446,2.1223,2.3684,2.4039,2.5164,2.7382,2.8946,2.6951,2.8176,2.8487,3.1462,3.3281,3.1091,3.3068,3.5572,3.4882,3.6612,3.6281,3.8154,4.1378,4.9267,5.593,5.5899,5.437,4.6819,4.6218,4.6881,4.9584,5.0383,5.2869,6.2032,6.9778,8.2874,8.804,8.89,8.4805,8.0669,7.3283,7.5557,7.6951,8.2653,8.5065,8.7882,9.0107,9.9749,10.9913,10.5322,10.2911,9.7072,10.1799,9.4015,9.2355,8.908,8.7072,8.2265,7.8534,8.4233,8.7066,9.5911,9.4688,9.5299,9.5898,9.3777,9.8179,11.3788,13.07,13.4758,13.8268,14.9417,15.4061,14.9214,13.5317,12.8188,12.5365,13.2509,13.7778,14.3628,15.9087,16.7266,17.261,20.4098,21.2199,20.7932,19.8795,19.5004,19.748,19.3463,18.9968,19.8509,21.6845,24.3347,24.7215,25.508,24.65,25.6649,26.4411,25.1594,22.3501,20.2631,19.8791,20.134,19.6382,18.7865,21.2425,23.166,22.6045,22.7931,22.4741,21.5981,20.1377,20.1788,21.5716,23.167,23.593,23.8421,22.5724,23.1421,21.6505,22.8959,24.0125,23.508,21.6582,21.4693,20.7972,21.1379,23.6649,24.3846,23.7119,24.1663,23.532,21.7187,20.0306,17.9108,17.9955,18.025,16.755,17.5423,19.5528,18.0021,16.608,18.0901,18.2501,16.4654,13.8287,11.3898,10.5956,9.6294,9.6786,9.582,10.2999,10.7187,10.4325,11.4599,11.9013,11.7953,10.3977,9.1328,8.0753,7.5739,8.3262,8.4052,7.6144,7.78
"Queens","NY","New York","36","081",0.8941,1.0385,1.448,1.1045,0.8987,0.8898,0.6647,0.7026,0.8546,1.4673,1.4064,1.3115,1.4964,1.3667,1.3699,1.0926,1.4804,1.5153,1.1178,1.3732,1.2493,1.5039,1.4926,1.6753,1.5842,1.3278,1.6984,1.7467,1.9283,1.372,1.1607,1.5083,1.8648,1.3339,0.9437,1.0556,1.3783,1.3702,0.9815,1.0892,,,,,,,,,,,,,,,,,,,,,,,,,,0.1276,0.4384,0.4093,0.3658,0.6349,0.3851,0.381,0.346,0.5281,0.56,0.6968,0.6353,0.4335,0.3929,0.5119,0.606,0.7874,0.7709,0.7212,0.7508,0.5606,0.4609,0.4672,0.7145,0.6006,0.4559,0.3329,0.3917,0.4083,0.4491,0.6588,0.4755,0.4376,0.3663,0.4022,0.3246,0.4302,0.2328,0.2685,0.2344,0.3897,0.5285,0.4583,0.2063,0.172,0.1602,0.0886,0.0943,0.1162,0.1929,0.3911,0.311,0.6567,0.3859,0.4869,0.8049,1.1277,1.4277,1.5366,1.5295,2.2728,2.2838,3.4778,3.6744,4.8251,6.0188,5.8099,6.7498,8.7906,9.073,9.5963,10.0391,9.7549,8.9813,8.6654,7.3256,8.9762,8.7361,9.1366,8.0888,8.4552,9.0764,9.9511,9.4064,8.2929,7.4693,8.3843,6.8992,5.9018,6.2857,5.9142,5.3447,5.7588,5.441,5.8125,4.9508,4.7259,4.2779,4.8737,4.2651,4.017,3.1432,3.4536,3.4452,4.2844,4.3205,2.26,1.8354,1.9006,1.5468,1.2393,0.9774,0.9587,1.033,1.0742,0.9759,1.433,1.2704,1.0679,0.9671,0.6497,0.7182,0.6935,0.8318,0.774,0.7457,0.7345,0.7772,1.3674,1.5484,1.3346,1.2613,1.1999,0.8895,0.5634,0.4771,0.6305,0.9297
"Riverside","CA","Riverside","06","065",20.0488,19.3273,19.8385,19.4516,18.4939,17.9821,19.0548,20.3046,21.1002,21.7851,20.1555,17.7933,16.1859,15.5601,15.2966,14.9015,12.4963,12.0313,13.3372,14.2735,15.472,15.2155,14.5344,13.3543,13.2137,12.3672,11.3417,10.3455,9.5414,9.1235,8.9993,8.56,8.1345,7.6692,7.6296,7.3812,7.5371,6.876,6.2576,5.5562,5.1624,4.6662,4.369,4.3395,4.4031,4.4316,4.5085,4.3369,4.54,4.6299,4.5272,4.1164,3.9652,4.1427,3.9814,3.626,3.621,3.4487,3.1076,2.8662,3.0431,3.1954,3.062,2.7825,2.4384,2.1098,2.0343,2.0619,1.8341,1.8204,1.8655,1.7102,1.6991,1.5475,1.5624,1.4683,1.3206,1.1789,1.0747,0.9741,1.0192,1.1202,1.0501,0.9659,0.849,0.7041,0.8029,0.7823,0.8137,0.6976,0.6654,0.6723,0.6779,0.6212,0.5047,0.5849,0.6746,0.6333,0.6235,0.651,0.6765,0.8442,1.0304,1.1397,1.2835,1.3621,1.6307,1.6415,2.1523,2.5399,2.8808,3.7434,4.463,5.2827,6.1683,7.8596,10.5353,12.9944,15.8545,19.9216,27.2349,33.2559,38.7356,42.4152,46.4037,50.72,55.6186,58.9627,60.8794,61.9257,63.5935,64.3972,67.874,69.1239,67.9246,66.8889,64.0435,59.8505,56.9174,54.5075,52.4912,51.2233,47.3758,46.9596,47.4106,47.3034,45.2947,43.0941,40.3852,37.2678,38.2873,39.1934,40.0535,40.8145,41.3245,41.9413,42.9399,42.6552,42.2189,42.0364,42.1676,42.137,43.0466,42.6195,42.1281,41.3606,39.0506,38.1225,38.3402,38.0767,37.8212,35.3262,33.639,30.9996,28.8995,26.4537,23.1031,20.6767,18.164,16.9613,19.0472,19.928,19.1261,17.2015,15.431,13.3306,11.7709,10.982,11.099,11.3217,10.7686,10.8378,10.809,11.215,10.7897,9.9675,9.4263,9.659,9.3914,9.6118,9.3961,9.5747,9.6582
"San Bernardino","CA","Riverside","06","071",28.2267,28.1363,28.101,27.0728,25.7151,25.6908,27.4756,30.4716,31.825,29.873,25.7766,23.7666,24.5405,24.9219,24.362,23.5268,20.3168,18.5526,21.6093,24.4787,25.6317,25.8532,24.0815,22.5417,23.4779,24.2292,23.7732,22.5909,21.4317,19.7725,18.9278,17.324,15.9347,15.4742,15.3703,15.1826,16.1395,15.9155,14.5569,13.7098,12.9955,12.4425,12.2146,11.9405,11.1606,10.4947,10.4378,10.7002,10.8119,12.0573,12.2731,11.6593,10.8877,10.3308,9.9743,9.7364,9.5819,9.3324,8.9346,8.7387,9.0822,9.5074,8.1513,7.0097,6.8908,6.8603,6.345,5.7096,5.2083,4.9107,4.7624,4.7083,4.9579,4.7341,4.6859,4.0295,3.7322,3.1974,3.042,2.6864,2.5088,2.4384,2.4862,2.328,2.3622,1.8136,1.6994,1.8213,1.8097,1.6086,1.4999,1.3233,1.2261,1.3632,1.3463,1.3083,1.3445,1.2215,1.2405,1.2546,1.2127,1.3173,1.449,1.4254,1.5002,1.7312,1.8035,1.6597,1.8002,2.4075,3.0991,3.9338,4.62,5.4924,6.6098,7.3996,8.8278,11.0339,13.331,18.297,26.6698,33.4593,38.2688,43.4073,46.7424,50.4397,54.2402,58.1646,60.185,62.6221,65.0702,67.9406,69.4038,71.0815,71.9138,72.9391,72.8305,71.0826,69.2031,66.6901,63.6385,58.3933,54.1658,52.8705,53.7232,54.0403,52.269,50.6484,47.0482,44.3581,45.3865,46.0222,45.5588,46.5337,47.7691,47.5596,48.0787,48.3612,48.6919,48.8496,49.4351,48.8685,47.8455,47.7599,46.4291,46.4172,44.8584,44.1677,44.5682,45.4365,45.0913,42.7465,40.8856,38.4098,35.1541,31.3792,27.6608,25.6662,24.2085,23.836,25.0388,25.6942,24.7175,22.9085,21.0486,19.5834,17.9453,15.9807,14.2717,13.5313,14.087,13.9615,15.5302,15.8544,15.9128,14.9828,13.7015,13.2364,12.8673,12.9678,11.8516,10.7796,11.6813
"Clark","NV","Las Vegas","32","003",2.2426,2.0531,1.946,2.1292,2.1689,2.191,2.3833,2.8177,3.3706,3.3622,2.9688,3.5221,3.001,3.2126,3.0789,3.0981,3.0779,3.3646,3.3444,3.7806,4.6917,5.3891,6.1528,7.8221,6.8246,5.4135,5.0322,4.555,4.5734,4.6121,4.8479,5.0818,5.7901,5.9171,6.1809,6.4382,5.7498,4.9869,4.2458,4.1879,4.1755,4.1635,4.0891,4.0858,4.4057,4.382,4.4944,5.066,5.1114,5.2521,5.6791,5.7629,5.3301,5.1247,5.0328,5.154,5.6176,6.1075,6.5639,6.608,6.1639,5.3688,5.0723,5.1166,5.0656,5.0446,5.0758,5.1549,5.2735,5.923,6.3718,6.3933,5.0875,4.3919,3.9338,3.7044,3.3063,3.0389,2.6354,2.531,2.5325,2.4175,2.3675,2.5892,2.0776,1.72,1.431,1.3542,1.2572,1.1644,1.1301,1.0201,0.9401,0.9211,0.9329,0.9616,0.8931,0.9757,0.8979,0.7736,0.7404,0.757,0.7491,0.8229,0.9431,1.1214,1.1693,1.4112,1.6034,1.9881,2.2618,2.4436,2.8949,3.4418,3.84,4.1143,4.9239,5.8677,7.0071,9.1457,14.0451,18.1578,20.916,24.0926,28.29,32.0709,36.7218,38.8198,40.3892,42.8024,45.6517,48.2323,48.6992,48.5726,49.2392,51.6054,53.889,53.2487,52.8609,51.6899,50.3588,49.3962,47.7367,46.7946,44.2172,40.2332,38.0459,35.713,34.3146,31.7404,32.1664,33.4671,33.51,34.7045,32.7348,36.3904,36.7881,38.5404,39.2769,40.2437,40.0469,40.8114,42.0688,42.8201,41.8445,40.5101,39.7293,38.9295,38.0237,36.1173,35.2914,33.4657,30.0861,25.6657,21.9455,18.2028,15.4582,13.9375,12.3475,11.3643,11.1932,10.7096,10.6623,10.5671,10.0533,9.3759,8.9138,8.8583,8.2147,8.6242,9.114,9.546,10.3905,10.9076,11.6468,13.1052,14.2922,14.5738,14.14,14.2793,14.1739,13.1592,13.2946
