"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",334300,333100,331500,328900,326600,324800,324200,324900,327400,330300,332900,334900,336600,338100,340000,342600,344800,346300,347500,349500,352800,356600,360400,364100,367800,371700,375300,377900,380800,384200,388200,393600,397800,399400,401800,405700,408500,410800,415000,419700,423000,425900,429000,432800,436600,439400,441100,443200,444800,445100,445200,446800,450400,455400,459500,462100,464700,469000,473800,478700,482800,484900,485500,487000,489000,491800,495800,500400,504800,510000,514600,518500,522900,528800,535900,544400,553500,561400,567900,574700,582600,591000,599600,608300,618400,628600,637500,646300,655300,664700,674200,684000,693600,703700,714200,726200,742100,760300,777500,791300,803000,812700,822000,830500,838600,846500,855200,864800,875600,887700,901300,915600,929200,941300,952000,962800,972900,981200,988800,995700,998000,999000,1001600,1003800,1003800,1005200,1006400,1005300,999800,994800,992200,989100,986400,985100,982300,977600,972200,965500,958000,949000,940200,931700,922300,910100,896200,882700,869400,855800,844000,834300,825900,817500,811100,807500,803800,797800,791400,785400,781500,780900,781800,783000,786100,790700,795400,797300,797800,798300,798500,795700,791800,788100,786100,783300,779000,775200,773600,770900,766400,762700,761100,759300,756200,751900,748900,747100,745200,743200,741700,742200,743800,745000,746500,750400,756300,763800,771000,777200,783500,790400,797300,805900,817100,831300,844500,856000,865900,874100,878600,883400,888700,896700,905000,911000,915500,924300,933800,940200,943600,946800,950600,954800,961100,967500
"Cook","IL","Chicago","17","031",250000,251400,252800,253400,253100,252300,252200,252100,251600,252100,252700,252500,252900,254500,255400,255500,256400,257700,258300,259100,260600,262600,264700,266600,268400,269500,269700,270900,273400,275200,276400,277400,279600,282400,284900,286900,289700,292500,294200,293900,294000,296900,301400,305100,307600,309700,312600,316000,318000,318600,319500,321600,323900,326100,329200,333500,337700,341400,345500,349600,352900,355700,358600,361100,362400,364100,367000,370000,371200,372200,373300,374500,375300,375900,376500,377400,379500,382600,385600,389400,393900,397400,401600,407600,412100,416800,426100,437700,444500,443900,437700,432000,430600,431800,433100,435400,439500,442900,444300,445100,447400,452600,459400,465500,470000,473700,476300,477900,479900,483600,487000,489000,491800,494900,498700,503000,506500,509500,512600,514500,516300,518400,519800,522300,524600,526100,528700,532600,534300,534900,534500,533200,531500,530200,529300,527300,525700,525700,525700,523600,519600,514500,510400,506900,503200,499700,495900,491000,487900,488000,487500,483600,481800,483300,482600,479200,476600,474500,470900,468700,468400,466300,463000,461400,460300,459300,458400,457400,456200,454200,451700,448800,444800,439800,434900,431200,428300,423900,420800,419600,417300,413000,409900,407200,404800,402000,399500,397600,396400,395700,395200,395000,395800,397300,400000,402300,402100,401000,401100,401400,401100,401600,403000,404900,406900,409700,412200,414500,416800,419900,423900,426800,427600,428500,430800,434500,438700,442100,444500,448300,451500,453200,454300,455300
"Maricopa","AZ","Phoenix","04","013",199900,198400,198000,197900,198200,199400,200600,201200,202300,202900,202400,202100,202500,203400,204600,205900,206400,206800,208100,210000,211600,213400,215300,217000,218400,220000,221100,221900,222600,223500,224200,225000,226300,228100,229900,232200,234600,236300,237100,237500,238400,239400,239500,239900,242200,244900,246800,248800,250900,252600,254800,256900,258000,258300,258700,259100,260200,262200,264200,265500,266300,267600,269200,270800,272100,272600,273000,273600,274100,275000,276800,279100,281100,282000,282300,283200,285100,286600,288200,291200,294400,296100,296700,297400,298400,300300,302700,304500,304900,305800,308400,312100,315300,318700,322100,325100,328700,333000,336700,340400,348000,360000,371800,378400,382700,389800,400800,413800,427700,442100,458100,475900,491100,501800,511400,522700,531500,536000,538700,540900,542300,543300,544700,545500,544800,542400,539700,538400,537400,535600,532500,528800,524600,520700,516400,513000,509800,505700,500700,495200,489200,481200,471500,461900,453400,445300,436200,426300,416400,406800,397200,387200,380000,376000,371200,363900,356200,348200,341100,336000,332500,330300,328500,326700,325200,324400,324100,323100,322100,320700,318000,313800,309300,304400,299400,295500,292800,291400,292200,293900,294000,293200,293100,293200,293200,294000,296100,298900,302500,306100,309200,313000,317000,321800,327400,333100,338300,344500,351300,356700,360100,362700,366000,370900,377800,384900,390600,394600,397800,398400,397800,398500,399800,399200,397800,397600,398000,398400,397800,396800,396100,397500,399700,401800
"San Diego","CA","San Diego","06","073",297400,293000,290200,287900,285400,283800,282600,281600,281400,281800,282500,283500,285100,287900,291500,294100,296300,300200,304200,306700,309900,314700,318100,320300,323700,328000,331100,333400,336400,339300,343100,348200,353100,354800,355700,357500,360800,363600,366300,368900,372200,375500,377700,380300,385400,391300,397200,403900,410200,415400,420600,426500,433000,438800,442300,443500,444600,447700,452400,458100,463100,467100,470200,474500,478300,480200,482300,487500,493700,499400,504200,507600,511700,517000,523400,531300,539100,547100,557200,567700,575700,581700,586600,591400,595100,598600,602300,608200,616700,628400,641800,654800,664900,675200,687900,703000,721500,741500,760900,776700,788400,797400,805000,810400,816100,823600,831600,838100,841700,843100,844300,845900,846800,847600,847800,848000,848400,849000,849500,849700,849300,848800,845700,841400,838800,835300,828500,822200,818100,815100,812700,808500,803700,800800,798100,793500,788200,781700,775900,772700,769200,762600,752600,740700,727800,716000,706900,699100,689000,679900,673300,665600,657500,652400,648500,644100,640600,637600,635300,634100,635900,640000,643600,646400,649600,651800,654400,657800,660100,660200,659800,658100,654800,649600,644200,639200,633500,627400,622400,619600,618300,616400,613100,610800,610800,612000,613300,613300,612500,612200,613500,615000,617600,622100,627800,632600,636400,640100,644200,649100,655300,662500,669400,676700,684800,693200,702000,711600,719500,724400,728900,734200,740100,744200,745300,747900,752900,756500,757200,758100,759800,762800,766500,770200
"Orange","CA","Los Angeles","06","059",308800,308400,307900,307500,307900,308400,308700,309100,310800,313400,314800,313500,311700,312100,314700,317800,321300,325300,328500,331700,335600,340800,344400,353900,,,,367500,375600,375700,377700,380100,383300,386600,388200,388000,387600,390200,393800,395600,397500,401300,404700,408100,411700,415100,419400,423800,427300,430800,433600,435100,436800,440800,445200,449700,454700,460100,464300,467200,470300,472600,472800,474700,479600,484800,488400,492800,498300,503600,508100,512000,517600,525500,534100,541000,548700,558900,569600,579000,587000,595700,606200,615600,623000,630900,640400,649600,658700,668500,680600,693700,706700,719200,732500,748600,768000,786700,804200,821900,836600,846300,852700,857400,858800,862800,869700,876600,882600,890000,896300,902000,908900,918300,928800,937700,943500,947300,952000,958800,962600,963500,962400,959700,955600,951600,946400,941500,936500,932900,931400,931200,929500,923700,915800,908800,900700,888100,876100,867700,862300,854600,842800,826800,812800,802700,795000,787500,782800,780200,777800,774000,772100,769200,763200,756700,753000,751300,751500,753100,755700,758200,758300,757500,757000,757200,756900,755500,753600,751900,750300,747100,743200,739600,737100,734300,730200,725100,720700,716800,712000,707100,702500,699400,697100,695800,694200,692300,691400,692600,694700,697300,699600,701000,703400,707600,712100,716600,721200,726600,734300,744900,756800,768200,780900,793300,804900,814800,823700,831400,841900,850500,853700,854500,856800,862700,871000,876900,877500,876700,875000,874000,874300,875400
"Kings","NY","New York","36","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521800,526000,523900,521500,526800,535300,532900,526600,530400,543800,552700,564300,578500,589300,598400,613700,629400,639000,642600,648300,658700,671200,683200,699100,716800,732100,746400,759200,768000,779700,787000,784100,783600,787000,787100,787900,787400,789000,795800,796900,793000,791900,788900,787000,786400,785700,787500,795000,801300,805000,807200,812200,817000,822300,822600,811900,799400,800100,796700,782400,771500,768500,761600,752700,748500,745400,738200,734000,736900,741800,745300,745500,745000,747000,749000,748100,747200,747200,749100,749700,748700,745100,742700,745100,747200,744100,746100,750800,749800,745100,743300,740300,738200,737600,738500,740400,742700,741100,739900,742300,747300,750200,752600,754400,759800,767700,775400,778900,780800,784300,790500,797000,800400,805100,812500,823800,833600,845100,857900,868900,872900,883500,895800,906500,921600,946300,965100,983600,1000000,1007000,1013700,1026100
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",273300,276300,277700,277800,276600,275800,275600,275400,275200,275700,276400,275900,274800,273800,273800,274900,275200,273900,273600,274200,274100,275300,277300,278700,279300,279700,280300,282000,284400,287200,289300,290400,291700,293700,295300,296500,297500,298300,297800,297900,299300,302400,305300,308200,311000,313900,316900,319900,322300,324000,324300,324700,327500,331500,335100,338200,340100,342300,345500,347600,348600,351100,355700,362200,370000,376400,379700,380200,379300,379000,381900,387700,395100,403200,409800,413500,416700,420000,424500,430600,437600,443000,447100,449800,450000,451700,458100,467200,473400,477600,482900,490500,499500,509400,520000,530700,541400,550700,558800,565700,571600,579500,589500,601000,615500,630400,640600,651000,667200,684500,697700,708800,721000,734900,748300,761000,771400,779100,786800,795700,802500,808300,813900,818800,823500,827300,829500,829500,828600,829500,831400,830300,826700,822600,819700,818600,816500,811500,801500,787500,772800,760000,746700,730900,714600,699900,684000,665800,649400,634600,620300,604700,588600,575600,564900,553400,542800,534500,528200,524000,521100,519500,520700,524600,530700,536400,540600,543400,546600,548100,547600,545300,540400,533500,529500,527300,523800,520300,517400,515200,512200,508500,506800,507700,507000,504700,501500,500800,501700,502000,503600,508300,512300,515800,519700,525600,533300,539600,544500,549300,553300,556700,561300,566700,572700,577800,582700,587200,590500,596700,604000,610900,616800,621200,624400,628600,631800,634500,636400,637200,639800,643300,647500,651900
"Dallas","TX","Dallas-Fort Worth","48","113",,,,,,,,,,,217900,217000,216100,216100,216200,216600,216900,217300,218100,218500,219300,219900,221100,221700,221900,222000,223000,224400,226700,228500,229700,230300,231000,232000,233600,235300,237600,239800,242700,245700,249000,251900,254500,256700,258700,259700,260300,260800,261300,261900,262400,262900,263500,264400,266200,269100,272400,275200,276900,278500,280600,283500,286200,288800,290900,292200,292900,293500,295300,297800,301000,302600,304200,306000,308400,310600,311700,312300,313000,314600,315300,315100,314700,315400,316200,315900,314500,313400,313900,315400,316400,317800,318900,322400,326200,330400,333400,335700,336900,337300,337400,338200,339200,339500,339900,340100,341000,342100,343800,346100,348200,350100,351300,352300,353400,355000,356300,357400,358900,360900,362600,364000,366400,369400,372800,375100,377300,378700,380000,381100,382800,384400,385600,387100,388000,389600,391400,393100,394800,395500,395700,394200,391300,387300,384200,382300,381000,379700,377800,375600,373400,371600,370100,368700,367400,366100,364700,362800,360800,359300,358400,357800,356900,356500,356600,356800,356600,354700,352900,351700,351600,351400,351000,350600,350100,350000,350400,351800,353000,354600,354800,353400,351200,349600,349200,349300,349800,350500,351300,351700,351600,352300,354100,356500,358300,358800,358400,358500,359800,362400,365800,369000,372400,376400,381200,386000,390200,393200,395600,397700,400000,399900,399900,400200,402100,403600,404600,405900,407700,409300,411000,412500,413300,414800
"Queens","NY","New York","36","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471300,480000,487400,491000,494800,500800,500000,496600,499800,510000,519000,527700,534700,542400,551200,562600,575300,589100,596100,598300,603600,613300,623300,633800,642600,651100,660300,669700,678400,686900,690400,689200,690400,694700,696700,698500,701800,702100,701500,702600,704000,704200,701700,696600,690500,686300,684700,686400,689500,692200,693500,693500,694000,696200,697500,697100,695500,693400,690100,684600,678100,673000,668700,664200,660200,655000,648800,642900,639000,638100,639100,639800,640200,641400,644300,646000,646300,647200,648200,649200,650800,651600,651000,651400,651300,649800,648600,648800,648200,645900,643400,641600,639700,637400,635300,634000,633600,632100,628600,626700,628600,632200,634100,634500,633800,632600,632300,634800,638200,641000,643000,644800,644600,643700,646100,652200,660700,669100,676400,683700,690700,697000,702100,706900,712000,721200,728800,733000,739100,749500,756900,759700,761300
"Riverside","CA","Riverside","06","065",192800,189500,187500,186500,185100,184200,185400,188600,192900,196800,199200,200300,201400,202300,203900,204400,204100,205900,210200,213300,216400,220000,222200,223900,225700,225900,224900,224700,227000,230400,231700,232100,233600,235100,236400,238900,243200,248700,253300,256500,259400,260700,261100,260800,259800,259500,261300,262200,264200,268300,271700,271800,271300,270900,270800,271500,272400,273700,275400,278700,283500,289200,293000,297400,302100,304500,304400,303700,304000,305500,308200,312000,315100,315800,317400,320800,324600,329600,336700,345300,353000,359500,363900,367200,369700,373400,379000,386300,393600,400300,406200,412400,421100,431500,441200,450400,459700,470300,480900,491800,503200,514400,524700,533200,536600,537200,539900,543900,546600,549800,556900,565500,571800,575200,579400,586100,594300,600400,603700,605400,607700,608600,607300,604200,601200,599000,596800,592200,585300,579500,575300,571100,565500,558500,551000,543800,535700,526300,516300,506100,495100,483400,471700,459700,447600,435500,421900,407900,395300,384300,373900,363600,354500,347600,341400,336000,331500,327400,324200,321500,319000,317900,318000,318600,320200,322000,323800,325200,326300,326600,325500,323900,323100,323000,322600,322000,321100,319800,318000,316400,314600,312600,310700,309100,307500,305800,305100,304400,303900,304600,306700,308900,311400,314000,316900,319800,322300,324700,327200,329900,333200,337500,343000,349400,356500,364300,373100,382000,390000,397500,404100,409000,412700,415600,417900,419800,421800,423900,425600,425900,426500,427800,429300,430400
