"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",161000,161100,160800,160500,160300,160100,160200,160500,160800,161400,162300,162900,163000,163000,162900,163000,163200,163800,164600,165400,166500,168100,169900,171500,172600,173500,174600,175600,176500,178100,179900,181600,182900,184000,185100,186300,187400,188800,190300,191800,193100,194200,195500,197200,199100,201200,203400,205500,207300,209000,210700,212400,214200,216000,217600,219300,221300,223600,225900,227900,229700,231600,233600,235100,236800,238900,241200,243600,246200,249200,252400,255600,259200,263200,267500,272100,277200,281900,286700,291800,297100,302100,306700,311300,316300,321100,325600,330900,337300,343900,350400,357400,364600,372200,380200,389100,398800,409200,419800,429900,438400,445100,451000,456400,461800,467700,473800,480400,487500,494900,503200,512600,522500,531900,540500,547900,553100,556300,559100,561700,563400,565400,567500,568500,568100,566900,565300,563200,560800,558700,557100,555400,553100,549900,545500,540800,536100,531400,526800,521700,514300,506000,497200,487400,476400,465900,456000,445700,435300,426700,419800,413300,408200,405300,402800,399800,397000,394200,391700,390100,389700,389600,390000,391000,392800,394200,395200,395900,396900,397200,396200,394300,392800,390900,388100,385600,384100,383000,381300,379100,376700,374100,371200,368400,366300,364700,363700,362600,361400,360400,360200,360900,361800,363500,366300,369600,372600,375400,378900,383100,387500,392100,397600,404200,411100,418000,425700,433300,439700,445300,450200,454200,457500,460700,463600,467000,470900,474200,476100,478100,480700,483300,485900,488400
"Cook","IL","Chicago","17","031",126100,126000,125900,125700,125600,125600,125600,125700,126000,126400,126500,126600,126700,126900,126900,126800,127000,127600,128200,128500,128800,129600,130400,130700,130700,130900,131300,131900,132400,132900,133600,134400,134900,135400,136200,136900,137700,138600,139600,140400,141100,141900,143000,144200,145300,146400,147900,149500,150800,151900,152700,153600,154800,156000,157100,158400,160000,161600,162800,164000,165400,166900,168000,169000,170400,172000,173600,175000,176400,178200,179900,181300,182200,182700,183000,183500,184500,185900,187400,189000,190400,191600,193000,194700,196700,199800,204300,208000,210200,211000,210900,210600,210900,211400,212300,213400,214700,215900,217200,218900,220800,222600,224500,226500,228400,230100,231600,233100,235000,236600,238000,239800,241500,243100,244900,246500,247800,249000,250400,251700,252800,253400,253600,253700,253700,253600,254100,254800,255000,255200,255400,255000,254300,253500,252400,251400,250500,249900,249400,248900,248100,246600,244600,242200,240100,238200,235600,232600,230300,228400,226200,223500,221500,220300,218900,217300,215900,214300,212700,211300,210100,209400,208800,208400,207700,206600,205100,203300,201800,200900,199800,198400,197000,195200,192600,189700,186900,184000,182600,182100,180500,177900,175700,173500,171600,169700,167800,166000,164500,163100,161700,160800,160600,161000,161500,161500,161100,160900,160900,161200,161500,162000,162600,163500,164400,165700,167900,170700,172700,174100,176200,178200,179500,181100,182900,183500,183400,183000,182500,182700,183500,184200,184800,185400
"Maricopa","AZ","Phoenix","04","013",106400,106500,106900,107200,107600,108000,108200,108500,108900,109500,110300,111100,111800,112300,112600,112800,113100,113500,114000,114400,114900,115500,116100,116500,116700,117300,118400,119200,119300,119600,120100,120600,121200,121900,122700,123300,124100,124900,125600,126100,126800,127600,128300,129100,130000,130800,131600,132600,133300,133500,133500,133700,134200,134900,135200,135400,136000,136900,137600,138300,138900,139300,139500,139900,140300,140400,140700,141400,142100,142800,143700,144500,145200,145700,146200,146800,147500,148200,149000,149800,150700,151500,152100,152500,153200,153900,154600,155200,155800,156600,157400,158400,159400,160600,162000,163400,164500,166000,167800,170300,173500,177300,181400,186200,191100,196100,201600,208500,216900,226200,236100,245900,254700,262400,269000,274000,277100,278900,279900,280200,280000,279600,278900,277700,276300,274500,272700,271200,269200,266900,264600,262400,260400,258500,256700,255000,253300,251800,250200,248000,244900,241000,236500,231600,227200,223200,219100,215000,210800,206700,202200,197400,194200,192700,190500,187100,183700,179900,176100,172900,170200,167900,165700,164100,163000,162100,161100,159800,158300,156500,154000,151000,148000,145000,142700,140700,138900,138100,139200,140700,140800,140000,139300,138600,138000,138000,138800,140500,142500,144400,146400,148500,150700,153000,155800,159100,162600,166200,169400,171700,173300,174700,176000,178200,181600,185700,189900,193700,197100,198400,198600,199200,200100,199700,199200,199100,199200,199400,199700,200100,200600,201800,203500,204900
"San Diego","CA","San Diego","06","073",163600,163600,163500,163200,162900,162600,162300,162000,162100,162900,163900,164400,164800,165300,165900,166600,167600,168800,169800,171400,173300,175500,177700,179700,181100,182500,183600,184800,186400,188000,189700,191800,193600,195100,196700,198600,200500,202700,204700,206500,208400,210400,212600,214900,217300,220200,223700,227200,230400,233600,236900,239900,242700,245700,248800,251600,254200,257000,260200,263400,265900,268000,270300,273100,275800,278100,280700,283700,287000,290600,294300,298300,302400,307000,312900,319500,325700,331900,338300,344400,350000,354900,359200,363200,367400,371200,374400,378500,384100,390900,398600,407000,415700,424700,433700,443100,454300,467200,480200,492000,501900,509500,515100,519100,522200,525100,527700,530200,532200,533400,534400,535600,536800,537900,538500,538100,537500,537400,537300,536800,536500,536000,533400,529400,525500,521900,518600,516400,514500,513200,513000,511900,508600,504300,500100,496200,491600,486000,480700,475400,469000,461200,452000,442100,433300,425900,419100,412200,405300,398800,392400,385700,380400,376800,374100,371400,368600,366000,364900,364900,365800,367800,370100,372500,374700,376300,377400,378900,380200,380900,380500,379400,377800,375500,372800,370400,367600,364500,362200,360200,357900,355100,352300,350300,349100,348200,347400,347200,347500,348100,349300,350400,351700,353700,356500,359300,362500,366600,370800,374500,378700,383900,389800,396800,404500,412600,420300,427000,432500,436800,441000,445000,449100,452100,453200,454200,456300,457700,457800,458100,458900,460400,462600,465000
"Orange","CA","Los Angeles","06","059",205600,206100,206900,207700,209000,209900,210200,210400,210600,211500,212500,212300,211600,211800,212900,213900,215200,216800,218600,220400,222600,225300,227100,232300,,,,240100,245700,247300,249000,250800,253400,256700,260400,262800,263500,264700,266300,266400,266400,267700,270400,273500,276800,280100,283000,285300,289000,293600,296700,298000,299900,303000,306700,310100,313100,316800,320800,324800,328800,331800,332900,335300,338900,341900,343700,347200,352000,355300,357100,359600,363600,369000,375100,381300,388200,396000,402400,407900,414400,421700,428400,434900,440500,445300,449600,453500,458500,466400,478300,490100,498700,507300,519300,532800,547200,563100,580300,596400,608600,616100,620500,623300,625900,628800,633100,638400,644700,651800,658600,665900,673900,682700,691800,700700,707300,712700,716900,719400,720800,721300,718600,714600,711200,708100,704800,702300,699900,697200,694500,692100,688800,684600,681900,679400,673200,663600,654900,647800,641500,634000,623900,611200,598900,588300,578500,570500,565000,560400,553600,545800,540500,537300,534300,532000,530100,528000,527500,528100,529800,532300,533700,534200,534700,535200,535400,535100,534700,533000,529500,524100,520300,518300,517800,516400,514000,510500,507400,504500,501600,499000,496300,493800,491500,489400,487600,486100,485000,484900,485800,487200,487800,488000,490300,495400,500300,504200,507900,512900,519200,526700,535200,545000,556100,568000,579200,587900,594200,599500,606600,612900,615700,617600,620300,623000,625200,626100,625000,623800,623100,623400,624600,626000
"Kings","NY","New York","36","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360600,363400,362700,359600,359300,363200,361100,354800,354700,361300,365700,368600,371500,375100,386100,403600,411500,408600,405600,406400,411500,421500,429600,436600,444500,452000,457300,460700,466000,474000,478500,478400,479000,480500,481200,483000,486300,490200,492800,493900,496300,499400,498400,496100,496600,500300,504300,507400,506900,505300,504600,505200,506800,510200,511500,510100,507400,504300,498200,491300,487800,486800,483000,477400,473000,469300,465000,461400,460300,461300,463600,466800,470200,473500,476000,476700,477600,479900,481700,481400,481100,481700,483000,484400,484400,483100,483100,483600,482900,481600,481300,482400,485100,487600,488000,487700,488000,488600,489500,490900,493100,496200,498600,500700,503800,508200,512600,515500,516700,517800,519200,521100,524200,528100,532300,537800,543700,549900,556500,561500,564700,570500,577000,583100,592600,605400,614500,620500,625400,629100,632600,636100
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",99200,99200,99200,99200,99100,99200,99200,99300,99800,100400,100900,101400,101800,101900,102500,103100,103700,104100,104200,104400,104600,105000,105600,105600,106000,106900,107000,106700,107000,107600,108000,108400,108600,108700,108800,109700,110500,110800,110800,111200,111600,111900,112400,113000,113800,114900,115700,116000,116300,117200,118100,119100,119800,120700,121700,122700,123200,123900,125300,126700,128000,129600,131200,132700,134100,135500,137000,138700,140500,142500,144300,145700,146800,148200,149900,151800,153900,156000,158000,160300,162400,164200,166200,168700,171000,172900,174700,176800,178800,181100,183400,185800,188500,191500,194500,197500,200600,204200,208300,212600,217200,221800,226500,231400,236300,241200,246600,252900,259500,266000,272300,278600,285000,290900,296500,301200,305200,308400,311900,315600,319600,323000,325600,327700,328600,328900,329600,330600,331100,331700,332100,331800,330800,329200,327200,325100,322900,320200,316500,312200,308000,303700,298000,291000,283100,274700,266300,258000,249500,240500,231900,223800,216300,209400,202900,196200,189800,185100,181800,178600,176500,175800,175200,174100,173200,172400,171300,170300,169800,169500,168900,167900,166800,165100,163600,162400,161500,160500,160000,159700,159200,158300,157400,156900,156600,156800,157200,157500,157500,158100,159500,161500,163400,165100,166800,168500,170300,171700,172700,173900,175500,177300,178900,180600,183000,185800,188600,191300,193200,195400,198900,202800,205900,208800,211500,214100,216700,219000,221100,222700,224400,226000,227900,229600
"Dallas","TX","Dallas-Fort Worth","48","113",,,,,,,,,,,79100,79200,79300,79400,79400,79600,79800,80200,80600,81200,81800,82200,82800,83300,83600,83900,83900,84100,84300,84500,84600,84900,85300,85900,86600,87400,88300,89200,90200,91300,92300,92800,93300,93900,94600,95300,95700,95600,95600,95700,96100,96400,96700,97100,97800,98500,99300,99900,100400,100600,100800,101200,101600,101900,102400,103000,103600,104000,104500,104800,105400,105800,106300,106900,107500,108200,108800,109400,110100,110700,111300,112000,112600,113000,113200,113200,113000,112800,112800,112900,113000,113200,113300,113900,114800,116200,117900,119600,120900,121900,122500,123000,123300,123800,123900,124300,124600,125000,125400,125800,126100,126400,126500,126500,126500,126400,126400,126300,126600,126700,126900,127000,127200,127600,128200,128700,129000,129100,129200,129300,129300,129300,129400,129500,129700,130000,130200,130400,130700,130900,131000,130400,129200,127600,125900,124200,122400,120800,119600,118600,117700,116800,116000,115300,114700,114000,113200,112200,111100,110400,109900,109500,109000,108600,108300,108200,108300,108400,108500,108500,108500,108300,107800,107200,106800,106400,106300,105900,105500,105100,105000,104700,104300,103700,103200,102500,101800,101200,100500,100300,100000,100100,100000,100200,100600,101200,101500,101800,102300,103100,103700,104400,105000,105800,106900,108200,109500,110500,111600,112800,114000,114600,115000,115800,116500,117300,117900,118700,119600,120400,121000,121500,122000,122900
"Queens","NY","New York","36","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343200,347200,349800,351600,354700,359700,358400,354000,355600,363900,370900,376700,381700,386900,393500,401600,409500,418100,420900,420300,424100,433300,440900,449300,457200,464000,471100,478500,485300,492600,494900,493100,493800,498700,502600,506200,508600,510000,511000,512400,513700,514800,513200,509700,507400,506900,505800,504500,503500,502800,502100,500400,497300,494200,489400,482300,475400,470500,465400,460400,455300,451200,447800,444500,440900,438200,435700,433000,430800,429800,429700,430400,431600,432600,433200,433100,432700,433100,434800,436900,438900,440300,441100,441300,441700,442100,442200,442000,442100,441300,439700,438500,437700,436400,434800,433700,433300,432600,431600,430700,430600,430800,430900,431500,432600,433700,435100,436200,436800,437800,439200,440700,442400,444400,447400,451100,454400,457400,460700,464000,467100,470100,473600,478700,483300,486000,486300,486000,488400,493100,497300,501000,504400
"Riverside","CA","Riverside","06","065",123700,123300,122600,122000,121600,121200,121200,121200,121500,122300,123400,124200,124600,125100,125800,126600,127400,127900,128300,128800,129600,130900,132200,133200,134000,134600,135200,135600,136200,137000,138100,139000,139700,140400,140800,141300,142100,143500,145400,147300,148600,149900,151200,152600,153800,155300,157000,158600,159900,161400,162800,164400,166000,167100,168000,169200,170600,171800,173200,175000,177100,179000,180900,182700,184500,186000,187000,188000,189800,192200,194700,197200,199900,202600,204800,206900,209600,212900,215900,219100,222800,226400,229800,233000,236100,239000,242800,246800,250500,254800,261100,268000,274500,280900,287800,295100,303300,312500,321100,329000,337500,346200,353700,359700,363900,367100,370500,374000,377500,381100,385100,389900,394800,398900,403400,408200,412300,415700,418600,420800,421800,422300,422700,422500,422000,420800,418100,414200,410800,408000,405700,403000,399600,395600,391300,386700,381500,375400,368800,362000,355000,348000,340700,332900,324800,316600,307600,299100,291000,282800,274500,266500,258700,251600,244800,238900,233900,229500,225900,223100,220500,218300,217400,217300,217600,218100,218500,218600,218300,217800,216700,215200,213800,213100,212800,212500,212000,211400,210800,210000,209000,207800,206700,205200,203900,202400,201300,200400,200400,200700,201100,201600,202700,204200,206000,207800,209800,211900,214100,216300,218800,221900,226400,231300,235400,239700,245300,251900,258000,263700,269000,273200,276000,278400,280700,282900,285500,288400,290800,292200,293900,295800,297400,298700
