"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",170400,170600,170500,170000,169500,169400,169600,169900,170400,171200,172100,172900,173100,173000,172800,173000,173400,174200,174900,175900,177400,179200,181100,182700,183900,185300,186700,187900,189400,191400,193400,195400,197000,198500,200000,201300,202600,204300,206000,207700,209200,210400,211800,213400,215100,217300,219700,222000,223900,225700,227300,229100,231000,232900,234500,236300,238300,240800,243500,245900,247900,249900,252000,254100,256200,258400,260700,263100,265800,269000,272500,276000,279800,283800,288500,293800,299400,304600,309900,315600,321500,326900,331900,336800,341800,346600,350900,356100,362200,368900,375700,383000,390700,398600,406700,415700,426000,437300,448900,459700,468700,476100,482700,488400,494100,499800,505700,512100,519700,527900,536600,545600,554800,563900,572500,580100,585700,589300,592000,594300,595500,596500,597700,598000,597200,595900,594000,591700,588700,586600,585400,583900,581800,578900,574600,569500,564600,559700,554800,549000,541700,533600,525200,515900,505100,494600,485200,476200,466900,458700,452100,446200,441400,438600,436200,433200,431100,429100,427400,426500,426200,426200,427000,428300,429900,431200,432700,434000,434700,434400,432700,430100,428300,426300,423600,421300,419800,418500,416600,413700,410800,408000,405000,402200,400100,398800,397700,396400,395000,394100,393800,394500,395800,397600,399800,403100,406800,410300,413700,417800,422700,427800,433700,440700,448000,455500,464000,472200,478700,484500,489200,493300,497200,501000,504000,507800,511900,515300,517500,519500,521800,523900,527000,530300
"Cook","IL","Chicago","17","031",128200,128700,128900,128700,128500,128400,128600,128800,129100,129400,129900,129900,129800,129500,129500,129500,129600,130000,130600,130900,131200,131800,132400,132700,132700,132900,133300,133800,134300,134900,135300,136000,136600,137200,137900,138700,139600,140400,140800,141400,142400,143400,144500,145500,146600,147800,149300,150800,152000,153100,154000,154800,155700,157000,158100,159400,160900,162400,163700,165000,166400,167800,169000,169900,170900,172400,174100,175700,177100,178600,180000,181400,182600,183200,183400,184100,185300,186900,188400,190000,191400,192600,194000,195900,197900,201100,205500,209600,211900,212600,212200,211700,212000,212800,213800,215000,216300,217400,218800,220700,222700,224400,226400,228500,230400,232100,233700,235100,236800,238700,240300,242000,243600,245100,246800,248600,250100,251600,252900,254000,254800,255500,255900,256000,255900,256100,256800,257400,257400,257600,257800,257600,256900,256000,254700,253300,252300,251600,251000,250500,249600,248000,246100,243700,241400,239000,236300,233200,230800,228700,226200,223300,221300,220000,218300,216400,214600,212700,210900,209500,208500,207800,207200,206700,205800,204700,203100,201500,200400,199700,198600,197100,195400,193500,191000,188300,185600,183000,181600,180500,178600,175900,173700,171800,169800,167800,166200,164900,163600,162200,161000,160200,160100,160300,160600,160600,160600,160500,160600,160900,161200,161600,162300,163200,164100,165600,167800,170300,172200,173700,175500,176700,177500,178600,179800,180700,181700,182500,182700,183000,183700,184500,185100,185800
"Maricopa","AZ","Phoenix","04","013",105000,105300,105500,105700,106200,106500,106800,107000,107300,107900,108800,109600,110300,110800,111100,111400,111700,112100,112400,112600,113000,113700,114400,114800,115000,115500,116500,117200,117500,117900,118300,118700,119400,120200,120800,121400,122100,122800,123200,123600,124400,125200,125800,126700,127700,128400,129000,129900,130500,130800,131100,131400,131800,132200,132800,133300,133700,134300,135000,135700,136300,136800,137000,137500,137800,138000,138300,139000,139900,140800,141500,142100,142600,143200,143600,144000,144600,145200,145800,146500,147300,148000,148900,149500,150000,150400,151200,152100,153000,153700,154700,155700,156600,157600,158900,160300,161400,162900,164800,167100,169700,173200,177400,182100,187000,191900,197300,204100,212500,221900,231700,241300,250100,257800,264000,268800,272300,274200,275300,275500,275300,274700,273900,272600,271100,269300,267400,265600,263500,261200,259000,257100,255200,253300,251400,249600,248200,246900,245100,242900,239900,236000,231400,226800,222400,218500,214400,210200,206100,201900,197500,192800,189600,188100,186000,182400,179000,175200,171500,168200,165400,163100,161300,159800,158400,157600,156600,155400,153900,152200,149900,147100,144000,141200,139000,137000,135400,134700,135400,136400,136500,135500,134700,134100,133800,133700,134400,135600,137500,139300,141300,143400,145500,148000,151000,154400,157900,161400,164700,167400,169100,170400,171900,174300,177600,181600,185600,189400,192800,194000,194000,194600,195500,195100,194400,194200,194500,194900,195000,195100,195500,196600,198100,199500
"San Diego","CA","San Diego","06","073",164100,164100,163800,163300,162800,162600,162300,162000,162100,163000,164000,164400,164800,165300,165800,166400,167400,168600,169900,171300,173100,175200,177400,179300,180800,182200,183400,184800,186400,188000,189700,191800,193600,195100,196900,199000,201100,203100,205200,207000,208900,210900,213100,215400,217900,220800,224100,227500,230600,233900,237200,240400,243100,245900,249000,251700,254200,257000,260300,263400,265900,268100,270500,273200,275700,278100,280700,283500,286800,290500,294300,298100,302300,307100,312800,319500,325900,332000,338200,344600,350300,355300,359500,363500,367500,371200,374400,378400,384000,390900,398500,406900,415800,425000,433800,443400,454700,467500,480600,492500,502300,509900,515400,519500,522600,525200,527800,530300,532400,533500,534100,535200,536600,537900,538700,538500,537500,537000,537000,536700,536300,535600,533200,529300,525500,521800,518500,516100,514200,513200,512900,511600,508300,504000,499700,495700,491100,485400,480000,474900,468500,460700,451500,441700,432900,425600,418700,411800,404800,398200,391800,385000,379500,375700,372800,369900,367100,364700,363800,363900,364900,367100,369500,371900,374200,376000,377400,378800,380000,380700,380300,379300,377700,375400,372700,370300,367600,364500,362400,360500,358100,355100,352400,350300,349100,348100,347300,347100,347500,348200,349300,350500,351700,353700,356500,359300,362400,366500,370700,374500,378700,383900,389600,396800,405000,413100,420400,427100,432700,436900,440900,445000,448900,451600,452600,453900,456200,457700,457900,458000,458600,460100,462600,464900
"Orange","CA","Los Angeles","06","059",175200,175300,175500,175900,176400,176800,177100,177500,177800,178300,178800,178700,178400,178800,179700,180700,181800,183200,185100,187000,188600,190200,191400,195800,,,,202100,206200,207200,208700,210400,212300,213800,215700,218500,221000,223000,224300,224500,224700,226200,228500,231400,234300,237100,239500,241800,244500,247800,250300,252200,254700,257800,260500,263100,265600,268100,270900,273800,276900,279400,281100,282900,285700,288700,291400,294400,297900,301600,305000,308100,311700,316500,322000,327500,333500,340200,346800,353000,358900,364300,369500,374600,379300,383500,387800,392600,398000,404500,412900,421800,430500,440000,450300,462100,475800,490500,504900,517900,528200,535700,541400,545600,548500,551300,555400,560300,566200,573200,580200,587300,595000,603100,609900,615900,621400,627300,632400,636300,638700,639700,639000,637900,636500,633900,630900,628600,627100,626100,624700,621700,617700,613000,607100,600600,593400,585600,577600,569300,561000,553400,544700,533000,519900,507300,496600,487500,479800,473100,467300,462600,457900,451500,445200,440500,436800,433500,431900,432000,433600,435700,436900,437200,437400,437400,437000,437100,437400,437400,436700,434500,431400,428800,427600,426500,424700,422200,420200,418400,416400,414200,411700,409000,406400,404000,402000,400500,399500,399500,400000,400800,402900,405600,408400,411600,415200,418800,422300,426100,431200,437900,445300,453400,462100,471700,481400,490200,497000,502200,507800,512300,514600,516900,520000,523000,525500,526800,526600,526900,527600,528900,530200,531300
"Kings","NY","New York","36","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276700,280600,282400,283400,285200,288700,288700,286200,286200,290200,294100,298300,302000,306300,314400,324800,333300,337600,336900,336400,341300,349300,355500,362000,369100,375500,380500,385500,391700,399300,404200,405400,406600,408900,410400,412500,415200,418300,420700,421600,421800,423200,423400,422300,422200,424600,427200,429900,430000,428100,426400,425900,425100,424900,424400,422400,418300,412700,405400,397300,392400,390900,389200,384600,380100,376200,372600,368900,366500,365900,366700,368300,369300,369800,370600,371600,372200,372900,372700,372000,371300,370900,370000,369000,367900,366600,366000,365300,362800,359800,358200,357900,358300,358800,358700,358200,357500,356700,356100,356100,356500,357500,358500,359400,361500,364500,367000,368900,369800,370000,370000,370300,370900,371800,373000,374700,376900,379800,382700,384600,385400,386300,386200,387800,392600,398300,402800,406600,407900,408000,409400,411000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",95100,95000,95100,95200,95100,95200,95400,95600,95800,96400,97000,97400,97700,97900,98300,99100,99800,100000,99900,99800,100100,100500,101100,101100,101600,102300,102300,102000,102600,103000,103200,103700,104100,104200,104300,105200,106000,106500,106600,106900,106900,107200,107800,108500,109300,110300,110900,111400,111700,112400,113700,114700,115200,115900,116800,117600,118200,118800,119800,120900,122100,123500,125100,126600,128100,129700,131100,132500,134200,136100,137900,139200,140100,141200,142700,144600,146400,148400,150600,152800,155000,157000,158900,161000,163200,165000,166700,168400,170500,172800,175100,177200,179500,182100,184800,187600,190900,194700,198700,202700,206800,211000,215500,220300,224700,229300,235200,241800,247800,253500,259300,265500,272000,277900,283000,287600,291800,294900,297600,301400,306000,309500,311800,313700,314800,315000,315200,316000,316700,317600,317800,317400,316200,314700,312900,311000,308800,306100,302600,298900,295400,291700,286400,279500,272300,264700,256600,248000,239100,229900,221400,213500,206000,198900,192000,184900,178500,173600,170000,166900,164800,164100,163700,162600,161700,160800,159800,158800,158000,157500,156600,155700,154700,153300,151900,150700,149500,148800,148500,148100,147400,146700,146300,146100,145800,145900,146200,146200,146200,146400,147400,149100,151000,152600,154100,155800,157600,159000,160200,161400,162800,164400,166200,168200,170300,172600,175000,177600,179100,180700,183700,187000,189600,192100,194800,197500,200100,202500,204500,206200,207900,209800,211700,213500
"Dallas","TX","Dallas-Fort Worth","48","113",,,,,,,,,,,88400,89000,89300,89700,90100,90600,91100,91800,92400,93100,93700,94300,94900,95300,95800,96100,96200,96200,96400,96600,96900,97300,97800,98400,99300,100000,101000,102000,103200,104400,105400,106300,106900,107800,108600,109500,109900,110000,110200,110500,111000,111400,111700,112300,113300,114300,115500,116300,117100,117400,117700,118200,118900,119400,119700,120100,120600,121000,121300,121500,122000,122400,122800,123200,123700,124300,125000,125600,126100,126500,127000,127600,128300,128700,128800,128700,128500,128500,128500,128700,128900,129100,129300,129900,131100,132900,134700,136200,137400,138400,139200,139700,140000,140100,140300,140600,140800,141000,141300,141800,142100,142200,142400,142400,142500,142700,142900,143200,143400,143900,144200,144600,145000,145400,145900,146400,146800,146900,146900,146900,147100,147200,147200,147300,147500,147900,148400,148700,149100,149500,149900,149300,148000,146000,144300,142700,141200,139700,138500,137500,136600,135800,135100,134500,133900,133100,132200,131200,130100,129300,128500,128200,127900,127900,127800,127800,128000,128400,128700,128800,129100,129100,128800,128300,127900,127400,127000,126300,125700,125400,125400,125400,125000,124400,123800,123100,122400,121700,121300,121300,121400,121700,121900,122000,122300,122900,123600,124100,124400,124600,125000,125700,126400,127400,128600,129900,131100,132400,133700,135100,136200,136700,137200,138000,139000,139800,140200,141000,142100,143000,143700,144200,144800,145900
"Queens","NY","New York","36","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284400,288000,290400,292200,294700,299000,298000,293800,293600,298600,302800,307300,311900,317000,322400,328700,335500,343600,346800,346500,349900,358300,365400,372600,379000,384400,390100,396500,402600,409200,411900,412100,415200,421800,427400,432600,436600,439500,442000,444300,446000,447400,446700,444200,442600,442400,441400,440000,438500,437400,436400,434000,429900,425700,420800,414900,409400,405800,401900,397100,392100,388300,384500,380400,376100,372400,368600,364800,360900,357200,354300,352700,352200,352000,351600,351000,351000,351900,353300,353900,353900,354100,354200,353900,353000,352000,351800,351900,351500,350200,348700,347400,346700,345800,344700,343300,342200,341400,340800,340900,342300,343700,344800,345900,347000,348300,349400,350000,350600,351400,352000,353000,354600,356600,358700,360900,362800,364500,366300,368900,371400,373700,376000,378600,380000,379500,377800,376900,378700,381600,384400,387300,390100
"Riverside","CA","Riverside","06","065",115600,115000,114600,114400,114200,113900,113800,113900,114300,115000,115900,116700,117000,117400,117900,118500,119000,119500,119900,120400,121000,122100,123300,124200,124800,125600,126300,126900,127600,128400,129400,130100,130600,131200,131600,131900,132600,133900,135500,137000,138200,139400,140800,142200,143600,145100,146500,147900,149300,150800,151800,152600,153800,155000,156100,157200,158500,159700,161300,163300,165300,167100,168900,171000,173000,174600,175600,176600,178000,180100,182400,184600,186700,188800,191000,193200,195600,197800,200100,202900,206600,210200,213500,216700,219900,222900,226300,229900,233700,238500,244900,251700,257900,263700,270000,277100,285000,293800,302100,309900,318000,326100,333200,339200,343800,347500,351200,355000,358900,363000,367400,372400,377100,381300,385800,390400,394300,397800,401000,403300,404600,405400,405900,405700,405200,404400,402300,398600,394800,391700,389000,386100,383000,379400,375200,370900,366200,360500,354200,347400,340600,333900,327000,319100,310600,301600,292300,283600,275300,266500,257900,249700,241900,234800,228200,222300,217200,212800,209400,207000,204400,202300,201100,200700,200900,201500,201600,201400,201100,200700,199700,198100,197000,196700,196400,196000,195700,195100,194700,194100,193300,192400,191400,189900,188600,187300,186400,185800,185600,185900,186200,186800,188100,189500,191100,192900,194800,196900,199300,201700,204100,207100,211200,215700,219800,224200,229600,235400,240900,246100,251400,255800,258700,260900,263300,265700,267900,270300,272700,274400,276100,277800,279300,280400
