"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",165500,165700,165400,165100,164700,164600,164700,165000,165300,166100,166900,167400,167500,167500,167400,167600,167900,168400,169000,170000,171200,172900,174700,176100,177200,178400,179400,180200,181500,183300,185200,186900,188500,189800,191100,192400,193500,194900,196600,198300,199500,200600,202000,203600,205500,207600,209900,212000,213900,215600,217300,219200,221200,222900,224200,225700,227700,230000,232300,234600,236600,238400,240300,242100,243800,245900,248200,250700,253400,256500,259900,263100,266400,270600,275200,280000,285200,290200,295300,300800,306100,311300,316300,321400,326700,331500,335700,340800,347100,353800,360600,367600,374900,382800,391000,399800,409800,420600,432000,442800,451700,458900,465400,471200,476800,482500,488300,494500,501900,509800,518300,527600,537400,546900,555500,563100,568700,572500,575600,578200,579700,581500,583300,584000,583600,582700,581100,579100,576700,574700,573300,571600,569300,566200,561700,556300,551200,546200,541200,535800,528300,519700,510600,500800,489500,478400,468000,457700,447100,437800,430000,423100,417900,414600,411800,408700,406000,403200,401100,400000,399400,399200,400000,401000,402400,403800,404900,405700,406800,407200,406200,404200,403000,401500,398900,396500,395100,394200,392800,390600,387900,385100,382300,379600,377400,375800,374700,373600,372400,371300,371000,371800,373000,374700,377300,380700,383800,386900,390600,394800,399200,404000,409500,416000,423300,430700,438700,446500,453200,459300,464600,469000,472700,476100,479100,482700,486400,489500,491500,493700,496600,499200,501800,504400
"Cook","IL","Chicago","17","031",141100,140700,140100,139500,139000,138700,138500,138500,138800,139100,139500,139600,139600,139500,139200,139000,139200,139700,140300,140900,141100,141500,142100,142500,142700,142700,143000,143600,144200,144600,145200,145900,146300,146900,147800,148500,149300,150000,150700,151700,152800,153600,154700,155700,156600,157600,158800,160000,161300,162500,163600,164500,165600,166900,168200,169500,171000,172500,173700,174800,176100,177400,178500,179200,180200,181700,183800,185600,187000,188700,190400,192000,193500,194700,195400,196500,198400,200500,202500,204500,206300,207900,209600,212000,214400,218100,223000,227000,228900,229400,228700,228200,228700,229600,230700,231900,233400,234600,236100,238300,240700,242800,245000,247400,249800,252100,254100,256200,258400,260300,262200,264300,266500,268700,270800,272400,274000,275900,277500,278800,280100,281100,281700,282200,282600,282800,283300,283900,284100,284400,284900,284700,283600,281700,279500,277300,275600,274400,273700,272700,271000,268500,265800,263000,260100,257600,254700,251100,247900,245000,242000,239000,236700,234900,232800,230300,228100,226200,224300,222500,220900,219600,218800,218300,217400,215900,214200,212900,211700,210600,209400,208100,206600,204600,202100,199500,197200,194900,193100,191600,189400,186900,184400,182200,180400,178800,177100,175800,174600,173500,172500,171900,171700,172000,172500,172800,172900,173300,173900,174400,174500,174900,175700,176800,177800,179300,181600,184500,187000,188700,190300,191500,192400,193300,194400,195500,197100,198700,199600,200100,200900,201900,202600,203000
"Maricopa","AZ","Phoenix","04","013",111700,111700,112100,112400,112800,113100,113500,113800,114200,115000,115600,116200,116900,117800,118000,117900,118200,118900,119500,120100,120600,121200,121900,122400,122500,123200,124400,125200,125300,125600,126000,126400,127000,128000,128900,129500,130100,130900,131600,132100,132800,133600,134300,135300,136200,136800,137500,138700,139800,139900,140100,140600,141100,141600,142200,142500,143000,143800,144600,145300,145900,146300,146600,147100,147400,147300,147400,147900,148700,149700,150600,151200,152100,152700,153300,154100,154900,155600,156500,157300,158100,159100,159900,160200,160600,161500,162500,163200,163800,164500,165200,166200,167400,168500,170100,171800,173200,174900,176800,179500,183000,187500,192300,197400,202500,208000,214200,221500,230200,239700,249700,259600,268800,276900,283500,288600,292100,293800,294500,295000,294800,294100,293100,292000,290400,288500,286900,285500,283700,281300,279000,276600,274500,272400,270200,268100,266300,264700,262700,260100,256700,252700,247900,242900,238200,234200,230100,225700,221100,216600,212100,207300,203800,201900,199600,196200,192900,189200,185500,182200,179600,177400,175300,173700,172600,171700,170600,169200,167700,165900,163400,160400,157400,154400,151800,149600,147900,147300,148300,149600,149700,149000,148300,147600,147100,147200,148100,149800,151900,153900,156000,158100,160300,162700,165800,169500,173100,176800,180400,182800,184300,185600,187200,189700,193600,198100,202600,206700,210200,211500,211800,212700,213800,213700,213400,213300,213400,213500,213900,214200,214800,216000,217500,218700
"San Diego","CA","San Diego","06","073",177100,176900,176500,176000,175500,175400,175700,175800,176000,176900,177900,178600,179100,179600,179900,180300,181100,182200,183400,185000,187000,189400,191800,194000,195700,197100,198700,200900,203300,205400,207500,210000,212300,214100,215900,217600,219400,221200,223400,225500,227500,229000,230500,232700,235500,238700,242300,245900,249300,252700,256000,258900,261800,265000,268300,271200,273900,276900,280200,283500,286200,288700,291300,294400,297200,299500,301800,304800,308000,311700,315700,319700,324100,329200,335000,341400,347900,354500,361500,368500,374500,379900,384700,389100,393100,396900,400400,405000,411100,418400,426100,434200,442500,451700,461300,472100,485000,499700,514400,527400,537900,546000,552100,556700,560300,563200,565200,567300,569100,570400,571100,571900,573300,575300,576700,576700,576200,576000,576100,575500,574500,573000,570600,567100,563400,559800,556400,553900,551700,549800,548800,547200,543600,539400,535300,531400,526700,520800,514800,509900,503800,496100,487500,478700,471000,464100,456700,448900,441000,433100,426000,418600,412900,409500,406600,402600,398600,395200,393600,393100,394300,397000,400000,402600,404800,406700,408300,410100,411200,411000,409600,407700,405200,402400,399200,396500,393400,390000,387400,385900,384100,381700,379300,377300,376200,375300,374700,374200,374000,374500,375500,376500,377700,379800,383000,386800,390800,395300,399700,404000,408500,413800,419500,426400,434500,443400,451600,458800,464600,469300,474200,479200,484100,487300,488400,489000,490900,492300,492700,493500,494400,495900,498200,500600
"Orange","CA","Los Angeles","06","059",214700,215400,216400,217200,218400,219300,220200,220800,221500,222200,223000,222900,222300,222600,223700,224800,226300,228300,230600,233200,236200,239100,240600,246100,,,,255100,261100,262600,265000,267200,270000,272700,275000,276900,278700,281200,283700,283900,283700,285100,287800,290400,293100,296000,299300,303100,307400,311800,314900,317000,319700,323700,327200,330700,334300,338000,341700,345300,348700,351700,353200,354500,357500,360800,363400,366800,371100,374900,378000,380700,384500,390000,395900,402000,409100,417200,425500,432900,439300,445800,452400,458200,463700,469300,474700,480400,487200,495400,505300,516600,527500,539100,551800,565600,580500,597200,615000,631300,643500,651100,656100,659000,661200,663200,666500,671700,678800,686300,693700,701600,710100,719000,728600,737500,744000,749600,754800,758700,760100,759700,756700,752400,748000,743600,739200,735900,732500,729500,728000,726900,723400,718100,712700,708000,701300,692300,683800,677000,671000,663300,652400,639400,628100,617700,607400,599400,594500,590300,584400,578000,573500,569700,565300,561100,557600,555400,555200,556200,558100,560700,561900,561700,561500,561700,562100,562400,561800,560400,558100,553700,549300,546400,545200,543300,540700,537500,534400,530800,527100,523600,520300,517400,515000,512900,510900,509000,507800,508300,509600,511100,512900,515100,518400,523000,527300,531100,535400,540800,547100,554600,563800,574300,585700,597900,609900,618800,624900,630200,637100,642600,644800,646400,649100,652200,654300,654000,651500,649400,648100,648000,649500,651300
"Kings","NY","New York","36","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379200,387700,394700,398400,402100,407200,406000,402100,405300,414700,422200,431200,440600,448000,455200,464500,474800,484900,488000,487000,491600,502100,510800,519400,527900,535300,542200,550000,558800,568400,571000,567700,565500,565100,563200,563300,563900,564100,565000,566000,565600,565400,563800,560500,557900,559100,562100,565100,563400,560400,559600,560800,561300,562400,560700,555700,549300,544300,536500,527000,522400,522000,519000,513100,508500,505300,502200,499000,498000,499600,502600,505800,508500,510200,510800,510100,509000,508700,508900,509200,509900,511100,512600,514000,513800,512400,513200,515000,513800,510600,509000,508800,509300,509400,508600,507800,507900,507600,507700,508500,510400,512600,514200,515500,518100,521600,525100,526600,526300,526200,527500,529700,531700,533400,534700,537600,542000,547100,552200,555900,557400,560100,563500,566500,571100,576700,581300,584800,587600,589300,590900,592400
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",120800,120700,120800,120900,120600,120600,120800,121100,121500,122100,122500,122700,122500,122300,122300,122800,123500,123900,124000,124100,124200,124600,125300,125700,126300,127000,127000,126700,127100,127900,128500,128700,128700,128500,128600,129400,130300,130800,131400,131900,132000,132100,132700,133600,134400,135500,136600,137100,137300,138000,139000,139900,140500,141100,141800,142500,143400,144600,146000,147400,148900,150400,151900,153300,154700,156200,157600,159300,161100,163300,165500,167500,169300,171000,172800,174900,177100,179400,182100,185000,187800,190300,192600,194900,197400,199800,202300,205300,208800,212000,214900,218300,222000,225300,228300,231700,236100,241200,246500,251700,256900,261800,266600,271200,275900,281000,287200,294200,301300,308600,316100,323000,329800,336800,343300,348600,353200,357800,362700,367500,372100,375200,377300,379000,380900,382800,385000,386400,386600,387100,388000,388600,388200,386800,385000,383400,381200,377800,373200,368500,363900,358900,351300,341900,332400,322700,311800,301400,291900,282000,272400,263900,255700,247500,239700,232000,224500,218800,214900,211200,208400,207400,206800,206400,206300,205300,204300,203700,203100,202500,201700,200600,199200,197100,194500,192400,190700,189600,188800,188100,187200,186300,185700,185200,184100,183500,183600,183400,182900,183200,184800,186800,188800,190700,192700,194700,196600,197900,198800,200200,202000,204100,206200,208200,210700,213600,216900,220500,223000,225100,228500,232000,234700,237300,239700,242200,244900,247100,248800,250100,252000,254100,256600,259000
"Dallas","TX","Dallas-Fort Worth","48","113",,,,,,,,,,,80800,80900,80800,80900,81100,81300,81700,82100,82600,83200,83600,84000,84400,84900,85300,85600,85700,85800,86000,86100,86300,86700,87300,87900,88500,89100,90000,90900,91900,92800,93800,94600,95100,95700,96300,96900,97500,97600,97600,97500,97700,98000,98300,98900,99400,100200,100900,101600,102200,102300,102600,103000,103500,103900,104500,105000,105600,106000,106500,106800,107400,108000,108600,109200,109700,110200,110900,111500,112200,112800,113500,114000,114800,115200,115300,115200,115000,114800,114700,114800,114900,115100,115300,115900,116800,118200,119800,121500,122900,123900,124600,125100,125400,125600,125800,126200,126400,126700,126900,127400,127900,128200,128200,128100,128000,128100,128000,128100,128200,128400,128500,128600,128900,129300,129900,130400,130900,131100,131200,131100,131000,131000,131200,131500,131700,131900,132100,132100,132200,132400,132500,131900,130700,129100,127400,125700,123800,122300,121100,120100,119100,118200,117300,116600,115900,115200,114300,113200,112100,111400,110700,110400,109900,109500,109300,109200,109400,109400,109500,109500,109500,109400,109000,108500,108000,107700,107500,107200,106900,106600,106500,106200,105700,105100,104500,103900,103200,102400,101800,101400,101200,101100,101200,101300,101800,102200,102700,103200,103800,104500,105200,105900,106500,107300,108400,109700,111000,112000,113200,114300,115500,116100,116700,117400,118200,118800,119400,120200,121100,121900,122500,123000,123500,124400
"Queens","NY","New York","36","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366800,372000,375800,378800,382200,387400,385500,380000,381400,391000,399400,406300,412600,419600,427600,436600,446000,456400,459500,458300,462400,472600,480800,489300,496700,503200,510700,518700,525800,533400,535100,532400,532400,536800,539900,543100,545000,545100,544500,544700,545300,545500,542800,538200,535300,534600,534000,533400,533000,532500,531600,529800,527900,527400,525100,519000,512200,507400,501500,495000,489400,485100,481600,478000,474000,470400,466800,462800,459500,458000,457800,459300,461400,462800,463200,463000,462500,463500,465400,467100,468400,469100,469000,468000,466900,466400,466100,465600,465200,463700,461300,459300,458000,457700,457900,458200,458200,458200,458000,457700,456800,456300,456600,457500,458200,458400,458200,458200,458200,458500,460000,462200,464300,466800,470600,475100,478900,481700,485100,489800,494000,497700,501300,506000,510600,513400,513400,513800,517400,522600,527300,531400,534800
"Riverside","CA","Riverside","06","065",127700,127000,126200,125700,125400,124900,124600,124700,125300,126200,127100,127900,128400,128900,129400,130100,130700,131300,131600,132200,133200,134500,136000,137100,137900,138700,139300,139700,140000,140700,141900,143100,144000,144700,145100,145500,146400,148000,150000,151900,153400,155000,156700,158000,158800,160000,161700,162900,164100,165500,166900,168500,170300,171600,172400,173200,174400,175700,177200,179100,181000,182800,184600,186700,188400,189800,191000,192400,194400,196900,199600,202400,205100,207900,210400,212600,215400,218800,221800,225200,229500,233500,236900,240300,243700,247100,250800,254700,258600,263300,269500,276700,283600,290100,296900,304400,313200,322500,331300,339700,348500,357300,365000,370600,373900,376400,379400,382800,386300,389900,393800,398400,403200,407400,411900,416500,420400,423800,427200,429600,430900,431400,431800,431900,431400,429900,427100,423600,420300,417900,416000,413600,410000,405600,401000,396100,390700,384400,377600,370300,363100,355900,348400,340000,331800,323700,314500,305400,296900,288300,279600,271400,263300,256000,248700,242200,236600,231700,227900,225100,222400,220000,218900,218800,219100,219500,220000,220000,219700,219400,218600,217000,215800,215400,215200,215200,215000,214200,213500,212900,212100,211000,209800,208300,206800,205400,204500,203600,203300,203600,204100,204800,206200,207500,209300,211400,213400,215500,218100,220500,223100,226500,231200,236000,240200,244500,250200,257100,263700,269900,275500,279600,282600,285300,287800,290100,292900,296500,299300,300700,302100,303900,305400,306500
