"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",307000,306800,306300,305500,304900,304500,304500,305300,306900,309100,311600,313700,315300,316900,318400,320600,322900,325300,327900,331000,334600,338600,342700,347000,351100,354900,358900,363400,367600,371900,376300,380200,382800,384400,387100,390200,392300,394400,397500,400700,403500,405800,408100,410900,414000,417200,420400,423900,427000,429200,431400,434300,437800,441700,445600,449400,452800,456800,461300,465800,469100,471300,472500,474100,476300,479100,482500,486600,491400,496700,501500,506100,511200,517300,524400,532700,541900,551000,559200,567000,575500,584000,591500,598500,606500,614900,621700,628500,637000,646600,656800,668600,681200,692800,703800,716600,732700,750200,766800,780500,790700,798500,805500,811900,818800,827400,836700,845800,855700,868200,882900,896700,908200,917900,926500,934800,942000,947100,952400,957500,960000,961100,963300,965200,964900,963500,962400,960500,954800,949100,946200,944700,943200,941800,938900,935500,932900,929900,925200,918200,911000,903500,894900,884000,870600,856900,844300,832300,821500,814200,808700,801800,795600,793300,791500,786800,782300,779300,777800,778700,780900,783700,787800,792500,796900,799400,801000,802900,803600,801100,796700,792200,789200,786200,782200,779800,780000,778800,775500,772500,771600,770000,766800,763700,762000,760400,758300,756900,755800,756400,758100,759200,760100,763200,768300,775400,782300,788900,796300,805600,815200,825900,837000,850400,863400,875800,887900,898600,905100,910700,914900,921100,928800,935200,939600,948000,957400,963600,966900,970200,974900,980200,988200,996600
"Cook","IL","Chicago","17","031",204400,205000,205400,205500,205300,205200,205200,205600,206300,207400,208600,209200,209300,209700,209800,209700,210300,211100,211600,212000,212700,213700,214500,215100,215600,216400,217300,218400,219300,220700,222900,225100,226400,228000,229800,231400,233000,234900,236400,238000,240000,242400,245000,247300,249400,251800,254300,256400,258600,260600,262200,263700,265400,267600,270200,273000,275800,278500,280800,283000,285200,287200,288900,291000,293500,296500,299400,302000,304200,306200,308000,309600,311000,311700,312600,314300,316600,318800,321000,323100,325000,326600,328800,332000,335000,339700,346700,352400,354600,354000,351400,349600,349700,350800,352800,355500,358100,360000,361600,363300,365900,368700,371800,375200,378900,382500,385400,388100,391500,394600,396700,398800,401600,404900,408500,411400,413400,415000,416300,417800,419200,420300,421500,422900,423600,424100,425200,425900,425300,425000,424500,423100,420900,419100,417100,415300,413600,412400,411200,409700,408100,406600,404900,402400,399400,395500,390800,386000,382000,379200,377300,375100,373200,372000,370700,368200,365800,363500,361300,359200,357700,356600,355500,354400,353400,351900,349900,348300,347400,346700,345900,344900,343200,340600,337400,334800,332100,328500,325900,324200,322000,319600,317700,316000,314600,313000,310700,308900,307700,306100,304700,304000,304200,304700,305700,307000,307800,308200,308900,310000,311200,312900,314500,316600,319800,324000,328400,332700,336400,339600,342600,344500,345800,347700,350200,351700,352300,353000,353800,353900,354200,355100,356100,356900
"Maricopa","AZ","Phoenix","04","013",171900,171600,171300,171100,171500,172000,172100,172300,173500,174900,175600,176200,177100,178100,179000,179900,180700,181700,183100,184100,184500,185400,186900,188100,189000,190100,191000,191700,192100,192600,193000,193800,195100,196900,198800,200800,202400,203900,205300,206800,208000,208800,209200,210100,211600,212800,214000,215800,217700,219300,220900,221900,222700,223800,224900,226000,227200,228400,229100,229900,230800,231600,232300,233000,233600,234200,235400,236200,236500,237200,238600,240100,241300,242000,242500,243000,244000,245200,246800,248700,250700,252200,253200,253600,253900,254900,256900,259200,261300,263400,265700,267900,269500,271300,273700,276800,280400,284500,288600,293500,299600,306400,313700,321800,330800,340500,351000,363200,376700,390200,403500,417100,429800,440800,449500,457000,463400,467800,470400,471500,471000,470200,469800,468800,467500,465400,462700,460400,458200,455400,452100,448700,445700,442800,439800,437300,434700,431200,427800,424300,419200,412300,405100,398000,391200,384600,377600,370200,363000,356400,350000,342400,336000,332200,328400,322400,316200,310600,305900,302500,300100,298300,297100,295900,295200,295200,294900,293900,292800,291600,289600,286200,281800,277300,273200,270100,268000,267500,268800,270300,270500,269700,268900,268300,268100,268900,270400,272500,275500,278700,281700,285500,289800,294100,298600,303400,308300,314200,320100,324600,327400,329000,330900,334900,341500,348500,354100,357800,360800,361100,360000,359800,360700,359900,358800,358600,358500,357900,357400,357400,357400,358400,360500,362800
"San Diego","CA","San Diego","06","073",263200,261900,260900,260000,259100,259000,259700,260500,261700,263300,264400,265200,266500,268400,270400,272300,274500,277400,280700,283700,286800,290700,294900,298700,302400,306100,309800,314100,319100,323400,327100,331200,334800,337100,339200,341000,342900,345100,347600,350200,352600,354400,355700,358100,362100,367500,373300,379300,385200,391200,396900,402400,407900,413700,419300,423700,427200,431100,435900,441600,446300,449900,452800,455800,458700,461300,463900,467800,472900,477900,481300,483300,486800,492300,499300,507700,515600,522700,530600,539300,547200,553600,559500,565800,570500,574100,577700,583300,591000,601100,612300,622800,633000,645500,659600,674600,692200,710800,728700,743600,754700,762400,768400,772200,774600,777600,782400,787000,789600,791000,792500,794000,796300,798400,800000,800600,800100,799100,797400,795500,794500,793700,789800,784100,779700,776200,771700,768900,767300,765100,763300,761800,758400,755000,753300,752500,750500,746600,742500,739900,735600,727700,717100,705900,695100,686400,679000,671400,662300,654400,648800,642000,637700,638200,638700,636300,634300,632500,631700,632200,635300,640000,643800,646500,649000,650600,652300,654400,655800,656000,655300,653200,649300,643400,637800,633500,628800,623600,619800,617600,615700,612700,609100,606200,605600,606100,606700,606700,606600,607200,610100,613300,616500,620600,625700,629800,633800,639000,644600,650600,657200,664000,670300,678400,688200,697100,704800,713400,721300,726600,731200,736000,741200,744900,746000,747600,751200,753600,753800,754300,755000,756700,759700,762800
"Orange","CA","Los Angeles","06","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355500,358600,361300,363500,365600,368300,373000,376700,377000,377000,380100,384200,387700,391600,397000,401600,404000,406800,411700,415300,416700,418400,421700,424600,428500,433400,438500,443500,448600,453000,455800,457500,459800,463200,466200,469300,473600,478200,482100,485400,489200,494600,502300,508900,515400,523900,535400,546300,555500,563000,571100,580000,588400,595400,602000,609500,618100,628700,639500,650800,662800,675900,688800,702900,719600,739100,758500,777500,795100,808800,817300,823400,828000,830000,832700,837500,842100,847600,857100,866800,874400,881100,888700,896300,904100,910400,915500,921500,929600,933200,931600,927800,923700,920000,917700,915700,911700,905800,901700,901800,903000,901700,896200,888800,882900,875700,867600,861300,856900,851300,843800,832100,817400,804500,795500,786000,775800,769200,762200,754300,748000,746300,745200,741400,734900,729500,724800,725500,731000,736300,740000,742000,741700,741000,738700,734900,730900,726900,722800,719100,712900,706800,703700,702200,699600,696600,692900,690000,686000,680300,675300,672800,672000,672300,673200,673600,673400,672700,674500,676200,676700,677600,681300,684900,689500,694900,700600,705800,711100,720500,731700,742300,753100,766300,778400,794300,809900,818600,820700,826900,833700,834100,833400,836300,846900,864100,877000,874700,867200,862200,860800,859600,858400
"Kings","NY","New York","36","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424000,428900,433700,437700,440400,443400,438800,432100,434200,443700,450700,456800,463100,469400,477000,486900,495700,502400,503500,502900,508700,521000,530200,536600,543100,549700,556200,563000,571400,580700,583900,581700,581800,582800,581900,584400,589700,594200,596600,597400,597500,597400,594100,590600,590600,594500,597300,598600,596400,595100,596500,599000,601300,605000,606700,605000,601300,597200,590700,583900,580000,578100,573000,566000,560400,556600,552700,549400,549300,552300,556400,560100,563600,567300,570800,572400,573000,574100,575900,577300,578600,581200,584400,586400,586500,585500,586800,589200,588200,584200,581900,582600,585100,586800,586500,585600,585400,587000,589800,592000,595000,599500,603800,607300,611700,617400,623300,626900,628600,630500,633000,636400,641600,647400,653200,659900,667300,675000,685000,695400,703700,710900,719300,729500,742600,757700,769700,778600,785100,790400,794700,798800
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",168300,168200,168500,168600,168600,168800,168800,169000,169200,169700,170400,170900,170600,169900,169800,170100,170300,170600,170900,171000,171300,171900,172800,173200,173600,173900,173600,173600,174500,175300,175900,176500,176600,176700,177200,178100,179100,179900,180500,181200,182200,183200,184100,185200,186200,187500,189100,190300,191300,192900,194600,196100,197300,198800,200700,202300,203400,204900,207100,209900,212900,215800,218300,221000,224200,227600,230500,233300,236800,240600,243700,246100,248700,251700,255300,259000,262500,265400,268000,271100,274700,278000,280700,283100,285700,288800,292300,295900,298700,301300,304700,308600,312900,317400,321700,326200,331500,337400,343300,349200,355700,363200,370600,378000,385200,392100,400300,410700,421800,431500,440500,450000,459900,468900,477200,484600,491300,497900,505400,512900,520300,526000,529300,529800,529100,528700,530700,533800,534500,533100,531800,529700,526200,523400,520800,518800,516500,513000,506700,499300,492000,484800,474400,461200,447000,433500,421800,411900,402800,392900,382200,371400,362100,354800,349000,343100,336300,330800,327200,323700,321300,321800,323200,323900,325600,327600,328300,328700,330000,330900,330300,329600,328400,325400,322500,321400,320100,318300,316800,316500,317200,318200,318400,318600,318700,319400,320800,322000,322900,324500,327800,331900,335800,339200,343100,347400,351400,354600,357600,360900,364800,368400,372000,376100,381300,386500,392000,397000,400200,403400,407400,411500,414900,418800,422600,425400,426900,428600,430800,432400,434300,436300,439400,442600
"Dallas","TX","Dallas-Fort Worth","48","113",,,,,,,,,,,152700,155700,158100,159700,160900,161600,162100,162500,163200,164000,165100,165900,167600,168000,168300,168400,168900,169800,171300,172800,174500,176200,178100,179900,182400,183800,185600,187600,189600,191500,193300,194900,195700,196600,197800,199300,201100,201700,202400,203400,204200,204800,205400,206000,207400,209100,211000,212600,214500,215800,217200,219300,221300,223500,225400,226900,227400,227400,227300,227500,228200,228400,229000,229900,231300,232600,234000,235000,236100,236800,237500,238000,239000,239400,239500,239300,238500,237800,237200,237500,238100,238700,239000,240100,242000,244800,247500,249900,251800,253300,254700,255800,257100,258400,259500,260400,261400,262600,263700,264800,266100,267600,269000,269800,270400,271100,271900,272800,274200,275300,276200,276500,276800,277400,278300,279400,280800,282200,283700,285200,286300,287100,287800,288700,289800,290900,292100,293100,294400,295500,296500,296100,294600,292100,290300,289200,288100,287000,286000,285100,284000,283000,282200,281600,281200,280800,280100,279000,277700,276800,276200,276000,275600,275400,275200,275100,274700,274100,273600,273300,273200,272700,272100,271700,271500,271200,270800,270400,270000,270100,270100,269900,269400,269100,268400,267600,266800,266800,267600,268200,268400,269200,270300,271900,273600,275000,276000,276900,278300,280300,283000,285200,287700,290400,293300,295900,298000,300500,303100,305600,307300,306800,306900,307600,310000,312300,314300,317000,320500,323100,325400,327400,329600,332100
"Queens","NY","New York","36","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437000,444500,449500,452700,456700,462400,461000,456400,459500,471100,480300,487500,493800,500400,509100,520000,530800,542700,547800,548300,553500,563900,572000,581100,589900,597800,606200,614600,622200,630600,633000,630700,631300,636000,638800,640600,640600,639000,637200,636700,636800,637000,633800,627200,622000,621300,622200,622300,623000,623700,623700,622600,623100,625100,624800,621000,616300,612400,607500,602200,596400,591700,587900,584400,579800,575200,571500,568500,565300,563000,561900,562400,564800,568200,571000,572800,573400,573500,574400,577100,580400,582200,582800,583000,583000,582500,582500,582400,581900,580100,577300,574800,574300,574800,575300,576000,576700,577100,577100,576400,575400,575200,576300,577400,577800,577300,576900,577300,578600,580000,581100,582600,585000,589200,594500,599800,604600,609400,614100,619200,623700,627700,631700,637700,643100,645800,645900,646600,650300,655500,660300,664600,668300
"Riverside","CA","Riverside","06","065",184600,182700,181400,180700,180400,180300,180600,182200,185000,187600,189000,189500,189900,190300,191000,191800,192500,193600,195600,197200,199300,202000,204300,206200,207900,208800,208900,209100,210500,212800,214600,216400,218400,220000,220800,222000,224500,227900,230800,233700,236000,237500,238700,238900,238500,239400,242000,244300,247300,251100,254600,256700,257500,257400,258000,259500,261000,262900,265200,268100,270900,273700,275700,278300,281500,284000,284800,285600,287200,289300,292200,295700,298500,300300,302800,306300,310900,316300,321300,325400,329800,335100,339700,343500,347800,353600,359500,364300,368800,375100,382700,391200,400100,408200,415600,424500,434900,445700,456800,468100,479200,489300,498800,506200,509500,511300,514900,519600,523200,527300,534500,543400,550800,555700,561400,570200,580400,588000,592100,593000,593000,592100,589600,586700,584800,582400,578400,573100,567500,563100,560100,557200,552500,546100,539500,533200,526400,518700,510400,501900,492000,481200,470800,461000,450800,440100,427800,415400,404000,394000,384500,375000,366200,359700,354100,349200,345200,342000,339800,338200,336600,335600,335900,336600,337600,338900,340400,341300,342000,342200,341400,339300,337800,337300,336500,336000,336100,335500,333900,332100,330400,328700,327500,325900,323600,321300,320000,319000,318800,319400,320600,322000,324200,326300,328400,331100,334100,336700,340000,343600,347200,352000,358300,364600,370500,377100,384600,392500,400100,407900,414200,418100,421000,423300,425200,427300,430000,433100,435800,437200,438800,440500,441800,442900
