"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",1.484,1.492,1.492,1.49,1.49,1.488,1.486,1.482,1.484,1.486,1.486,1.486,1.486,1.49,1.488,1.488,1.488,1.496,1.506,1.518,1.52,1.518,1.514,1.514,1.52,1.53,1.536,1.544,1.55,1.554,1.554,1.55,1.548,1.548,1.554,1.558,1.566,1.574,1.578,1.584,1.588,1.59,1.596,1.602,1.614,1.63,1.644,1.654,1.664
"Cook","IL","Chicago","17","031",1.112,1.114,1.11,1.102,1.092,1.1,1.096,1.094,1.09,1.09,1.096,1.1,1.114,1.124,1.14,1.154,1.162,1.156,1.152,1.146,1.148,1.148,1.15,1.156,1.156,1.148,1.142,1.142,1.15,1.16,1.172,1.178,1.182,1.18,1.184,1.188,1.192,1.192,1.198,1.202,1.206,1.208,1.214,1.226,1.236,1.246,1.248,1.246,1.234
"Harris","TX","Houston","48","201",0.728,0.728,0.726,0.724,0.726,0.726,0.726,0.722,0.72,0.718,0.714,0.712,0.71,0.714,0.716,0.718,0.72,0.726,0.73,0.734,0.738,0.74,0.746,0.75,0.752,0.758,0.758,0.762,0.764,0.766,0.768,0.772,0.778,0.782,0.786,0.79,0.796,0.804,0.808,0.81,0.814,0.814,0.816,0.82,0.824,0.828,0.834,0.838,0.844
"Maricopa","AZ","Phoenix","04","013",0.708,0.712,0.714,0.718,0.72,0.724,0.724,0.726,0.724,0.724,0.724,0.726,0.732,0.732,0.732,0.728,0.726,0.726,0.73,0.734,0.736,0.736,0.738,0.74,0.742,0.742,0.744,0.744,0.746,0.746,0.742,0.74,0.738,0.738,0.738,0.738,0.742,0.744,0.746,0.75,0.754,0.756,0.76,0.764,0.77,0.776,0.778,0.782,0.784
"San Diego","CA","San Diego","06","073",1.348,1.35,1.348,1.346,1.348,1.352,1.352,1.354,1.352,1.35,1.344,1.344,1.348,1.352,1.356,1.356,1.356,1.356,1.358,1.362,1.364,1.364,1.366,1.366,1.372,1.376,1.38,1.384,1.386,1.386,1.386,1.39,1.394,1.4,1.406,1.412,1.416,1.422,1.426,1.432,1.44,1.448,1.454,1.458,1.462,1.472,1.48,1.488,1.492
"Orange","CA","Los Angeles","06","059",1.504,1.508,1.51,1.514,1.52,1.528,1.532,1.536,1.54,1.544,1.552,1.558,1.564,1.57,1.574,1.576,1.574,1.576,1.582,1.592,1.598,1.6,1.598,1.598,1.6,1.608,1.612,1.616,1.622,1.628,1.632,1.634,1.638,1.642,1.648,1.654,1.662,1.674,1.68,1.686,1.692,1.694,1.696,1.696,1.7,1.706,1.712,1.718,1.726
"Kings","NY","New York","36","047",,,,,,,,,,,,,,1.266,1.282,1.274,1.27,1.296,1.344,1.4,1.432,1.45,1.482,1.518,1.562,1.564,1.578,1.592,1.604,1.584,1.572,1.564,1.582,1.596,1.63,1.662,1.702,1.696,1.704,1.702,1.706,1.702,1.7,1.692,1.686,1.69,1.666,1.632,1.612
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",1.142,1.144,1.146,1.154,1.164,1.168,1.168,1.166,1.166,1.168,1.176,1.184,1.194,1.2,1.204,1.202,1.202,1.21,1.222,1.234,1.238,1.24,1.24,1.244,1.25,1.256,1.262,1.266,1.27,1.272,1.278,1.282,1.29,1.3,1.308,1.318,1.326,1.334,1.342,1.35,1.356,1.358,1.36,1.362,1.368,1.374,1.376,1.376,1.378
"Dallas","TX","Dallas-Fort Worth","48","113",0.742,0.756,0.766,0.766,0.762,0.756,0.752,0.748,0.746,0.746,0.746,0.746,0.752,0.752,0.752,0.752,0.754,0.76,0.766,0.772,0.774,0.776,0.78,0.782,0.788,0.79,0.788,0.792,0.798,0.802,0.802,0.802,0.804,0.806,0.808,0.812,0.82,0.824,0.824,0.826,0.832,0.834,0.838,0.844,0.852,0.858,0.86,0.864,0.872
"Queens","NY","New York","36","081",,,,,,,,,,,,,,1.35,1.374,1.38,1.386,1.402,1.426,1.456,1.482,1.496,1.488,1.482,1.474,1.486,1.492,1.496,1.502,1.504,1.504,1.504,1.516,1.538,1.564,1.58,1.592,1.596,1.61,1.62,1.63,1.632,1.638,1.65,1.668,1.686,1.688,1.684,1.676
