"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",2107,2119,2119,2118,2121,2119,2116,2113,2117,2122,2125,2127,2126,2127,2120,2114,2111,2122,2136,2155,2156,2151,2140,2138,2148,2169,2186,2200,2211,2216,2216,2208,2203,2201,2212,2220,2228,2234,2236,2242,2246,2247,2249,2257,2274,2293,2309,2319,2334
"Cook","IL","Chicago","17","031",1367,1382,1378,1384,1375,1397,1380,1371,1359,1361,1387,1399,1433,1436,1457,1466,1474,1466,1471,1494,1510,1520,1500,1492,1487,1476,1477,1480,1502,1512,1534,1537,1543,1548,1564,1589,1611,1617,1624,1631,1634,1635,1648,1653,1666,1673,1677,1673,1656
"Harris","TX","Houston","48","201",1226,1232,1234,1235,1235,1230,1221,1215,1213,1214,1213,1216,1223,1235,1239,1242,1243,1251,1255,1262,1263,1268,1273,1275,1277,1281,1283,1289,1300,1310,1321,1326,1330,1329,1333,1336,1341,1350,1354,1356,1357,1359,1365,1373,1384,1393,1401,1408,1419
"Maricopa","AZ","Phoenix","04","013",1143,1141,1136,1126,1126,1135,1148,1153,1156,1154,1154,1152,1152,1154,1156,1159,1157,1156,1154,1158,1162,1167,1169,1174,1175,1178,1181,1186,1188,1183,1175,1167,1163,1162,1164,1168,1171,1176,1183,1192,1200,1205,1210,1219,1225,1232,1238,1242,1244
"San Diego","CA","San Diego","06","073",2059,2044,2034,2016,2029,2050,2074,2083,2074,2061,2050,2053,2054,2077,2091,2106,2102,2090,2076,2074,2085,2100,2112,2113,2107,2107,2111,2121,2122,2127,2131,2141,2149,2153,2160,2170,2178,2194,2201,2209,2215,2221,2223,2225,2232,2243,2253,2260,2265
"Orange","CA","Los Angeles","06","059",2178,2192,2199,2196,2188,2216,2252,2279,2263,2252,2277,2328,2400,2457,2492,2508,2521,2525,2528,2532,2548,2560,2561,2550,2530,2530,2535,2552,2570,2578,2590,2600,2622,2638,2644,2639,2624,2629,2635,2657,2682,2693,2693,2693,2712,2737,2749,2761,2768
"Kings","NY","New York","36","047",,,,,,,,,,,,,,1708,1717,1711,1705,1761,1854,1964,2011,2026,2058,2108,2178,2188,2210,2230,2240,2201,2170,2147,2174,2203,2263,2310,2364,2349,2357,2360,2369,2359,2346,2318,2301,2302,2264,2216,2187
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",1514,1523,1524,1550,1567,1583,1577,1576,1575,1579,1589,1597,1612,1621,1628,1621,1619,1625,1639,1654,1658,1662,1659,1659,1667,1675,1683,1687,1694,1698,1709,1721,1736,1745,1754,1764,1782,1798,1808,1812,1817,1816,1820,1822,1829,1839,1848,1858,1865
"Dallas","TX","Dallas-Fort Worth","48","113",1170,1180,1185,1179,1169,1161,1158,1155,1152,1154,1156,1156,1155,1155,1154,1157,1160,1169,1176,1185,1186,1187,1187,1189,1195,1200,1205,1214,1225,1229,1226,1225,1227,1231,1236,1240,1247,1250,1247,1248,1252,1255,1261,1266,1274,1276,1280,1284,1291
"Queens","NY","New York","36","081",,,,,,,,,,,,,,1654,1678,1686,1696,1715,1740,1775,1805,1827,1821,1815,1810,1829,1839,1845,1854,1854,1853,1854,1876,1908,1946,1967,1985,1996,2018,2034,2049,2055,2069,2088,2107,2120,2124,2126,2126
"Riverside","CA","Riverside","06","065",1641,1632,1625,1630,1643,1658,1661,1665,1666,1663,1659,1653,1649,1654,1656,1655,1650,1648,1647,1644,1639,1638,1642,1650,1660,1675,1684,1687,1686,1682,1681,1683,1689,1693,1698,1702,1704,1709,1712,1713,1716,1718,1725,1733,1743,1752,1757,1762,1765
"San Bernardino","CA","Riverside","06","071",1428,1418,1419,1413,1419,1413,1408,1395,1391,1392,1392,1387,1382,1386,1385,1385,1382,1395,1408,1414,1406,1398,1399,1402,1406,1421,1430,1438,1440,1438,1432,1429,1430,1432,1436,1443,1443,1441,1433,1430,1429,1427,1427,1439,1454,1464,1462,1460,1462
"Clark","NV","Las Vegas","32","003",1198,1197,1195,1196,1200,1200,1194,1189,1184,1181,1176,1168,1162,1162,1161,1158,1152,1149,1150,1154,1154,1151,1148,1147,1149,1151,1150,1150,1152,1153,1155,1156,1159,1163,1168,1171,1176,1179,1179,1176,1176,1176,1177,1177,1179,1180,1184,1188,1193
"King","WA","Seattle","53","033",1628,1626,1632,1629,1641,1641,1656,1667,1674,1674,1677,1684,1690,1699,1707,1718,1721,1732,1739,1749,1755,1760,1760,1755,1758,1767,1777,1789,1803,1817,1817,1815,1819,1832,1855,1883,1911,1933,1939,1947,1949,1954,1961,1976,1992,2007,2013,2018,2021
"Wayne","MI","Detroit","26","163",818,810,798,785,779,791,808,823,830,835,840,834,818,808,807,809,808,803,797,794,791,789,787,789,788,795,801,806,809,805,799,792,788,786,784,787,786,795,802,807,810,805,800,796,797,797,796,799,800
"Tarrant","TX","Dallas-Fort Worth","48","439",1234,1232,1228,1223,1220,1217,1219,1223,1228,1230,1230,1231,1231,1236,1238,1241,1241,1246,1247,1249,1248,1250,1251,1250,1248,1255,1261,1267,1273,1275,1277,1278,1281,1283,1288,1294,1297,1301,1305,1310,1315,1317,1321,1323,1326,1329,1333,1338,1342
"Santa Clara","CA","San Jose","06","085",2388,2396,2389,2382,2391,2424,2453,2469,2463,2459,2470,2489,2511,2531,2546,2566,2585,2591,2588,2585,2595,2605,2606,2606,2625,2663,2688,2701,2700,2686,2680,2678,2688,2702,2733,2765,2791,2813,2836,2869,2904,2944,2987,3043,3095,3141,3171,3195,3213
"Broward","FL","Miami-Fort Lauderdale","12","011",1411,1419,1423,1451,1465,1484,1482,1489,1492,1499,1516,1534,1554,1560,1566,1564,1565,1567,1573,1573,1569,1567,1564,1564,1569,1577,1587,1587,1590,1591,1600,1606,1615,1622,1627,1633,1640,1645,1649,1647,1650,1650,1658,1665,1677,1683,1684,1680,1680
"Bexar","TX","San Antonio","48","029",1071,1064,1058,1058,1060,1063,1065,1069,1073,1076,1083,1091,1096,1107,1116,1120,1121,1125,1129,1135,1137,1141,1141,1140,1138,1144,1151,1160,1168,1172,1174,1171,1173,1176,1180,1185,1186,1193,1197,1199,1201,1203,1209,1214,1220,1223,1226,1229,1230
"New York","NY","New York","36","061",,,,,,,,,,,,,,3387,3450,3499,3530,3604,3679,3750,3767,3798,3814,3826,3793,3779,3756,3780,3810,3802,3785,3756,3767,3755,3747,3720,3713,3720,3736,3794,3839,3856,3849,3830,3858,3915,3964,3991,3977
"Philadelphia","PA","Philadelphia","42","101",983,969,958,948,959,974,977,975,959,954,969,986,1003,1026,1052,1070,1067,1067,1075,1088,1094,1097,1098,1099,1088,1082,1074,1070,1069,1066,1069,1072,1084,1089,1084,1080,1076,1092,1103,1114,1126,1132,1137,1137,1150,1163,1171,1176,1174
"Alameda","CA","San Francisco","06","001",1997,2006,2009,2009,2016,2007,2001,1998,1994,1986,1987,2007,2050,2092,2115,2129,2140,2158,2169,2171,2178,2193,2205,2206,2200,2210,2212,2224,2238,2254,2268,2271,2272,2272,2283,2296,2307,2322,2334,2351,2362,2383,2409,2452,2493,2531,2555,2573,2587
"Middlesex","MA","Boston","25","017",1954,1967,1976,1972,1977,1984,1999,1994,1987,1977,1971,1962,1967,1989,2007,2035,2052,2084,2102,2125,2121,2122,2126,2129,2141,2152,2164,2179,2190,2185,2184,2186,2193,2196,2205,2228,2254,2270,2251,2233,2226,2218,2214,2220,2252,2284,2302,2308,2316
"Suffolk","NY","New York","36","103",,,,,,,,,,,,,,1852,1897,1962,1955,2035,2089,2259,2272,2233,2147,2166,2255,2321,2299,2382,2423,2520,2503,2472,2455,2468,2517,2482,2504,2406,2435,2368,2440,2354,2420,2421,2451,2463,2431,2455,2425
"Sacramento","CA","Sacramento","06","067",1396,1401,1398,1394,1390,1390,1391,1394,1388,1381,1377,1379,1376,1376,1374,1375,1378,1385,1391,1393,1393,1391,1388,1382,1381,1385,1386,1386,1390,1391,1390,1388,1391,1397,1402,1404,1408,1417,1424,1428,1430,1425,1423,1426,1434,1443,1452,1461,1472
"Bronx","NY","New York","36","005",,,,,,,,,,,,,,1334,1350,1384,1426,1482,1526,1566,1592,1622,1638,1633,1608,1606,1626,1646,1655,1647,1643,1659,1682,1687,1681,1689,1694,1705,1711,1728,1764,1791,1800,1793,1794,1804,1805,1795,1768
"Nassau","NY","New York","36","059",,,,,,,,,,,,,,2369,2387,2375,2372,2372,2412,2447,2469,2477,2493,2505,2508,2532,2585,2602,2624,2611,2617,2622,2620,2608,2596,2585,2564,2572,2614,2619,2631,2613,2627,2623,2638,2656,2667,2649,2613
"Palm Beach","FL","Miami-Fort Lauderdale","12","099",1550,1551,1553,1560,1558,1561,1563,1568,1562,1559,1558,1561,1563,1554,1548,1548,1559,1568,1572,1572,1576,1576,1577,1577,1587,1592,1594,1591,1595,1602,1609,1616,1625,1639,1655,1674,1697,1716,1735,1747,1751,1750,1754,1765,1778,1788,1797,1798,1796
"Cuyahoga","OH","Cleveland","39","035",990,996,1001,1006,1007,1005,1003,1000,998,995,1002,1012,1026,1024,1018,1015,1014,1015,1023,1035,1044,1049,1045,1038,1036,1036,1041,1049,1059,1067,1071,1067,1063,1062,1068,1078,1089,1095,1100,1100,1100,1102,1101,1106,1113,1123,1125,1123,1121
"Hillsborough","FL","Tampa","12","057",1201,1209,1212,1211,1208,1205,1201,1197,1194,1194,1197,1199,1203,1204,1204,1205,1206,1205,1203,1202,1203,1204,1205,1208,1214,1219,1221,1225,1231,1240,1249,1257,1261,1265,1269,1270,1270,1271,1273,1275,1278,1280,1283,1288,1293,1295,1296,1297,1304
"Allegheny","PA","Pittsburgh","42","003",1083,1056,1023,984,976,956,954,949,976,1000,1018,1004,962,961,981,990,979,995,1028,1061,1063,1048,1038,1036,1043,1058,1074,1100,1118,1130,1112,1090,1067,1062,1081,1108,1121,1125,1129,1141,1151,1148,1143,1148,1155,1163,1154,1158,1142
"Oakland","MI","Detroit","26","125",1311,1328,1339,1333,1340,1337,1346,1355,1366,1372,1373,1373,1378,1388,1391,1396,1388,1394,1395,1403,1400,1404,1412,1420,1429,1434,1436,1447,1457,1460,1456,1456,1464,1470,1472,1472,1475,1480,1482,1489,1498,1510,1521,1522,1522,1522,1531,1541,1560
"Franklin","OH","Columbus","39","049",963,984,978,975,990,1002,1008,1012,1012,1014,1026,1045,1071,1086,1098,1100,1097,1108,1122,1138,1145,1155,1159,1154,1148,1144,1149,1159,1164,1162,1162,1162,1167,1164,1153,1144,1146,1155,1166,1177,1180,1179,1179,1178,1182,1191,1205,1220,1227
