"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Los Angeles","CA","Los Angeles",0,2334,0.00646830530401035,0.0178805058874836,0.0475763016157989,1757569
2014-11-30,"Cook","IL","Chicago",1,1656,-0.0101613867304244,-0.0101613867304244,0.0279329608938547,1307269
2014-11-30,"Harris","TX","Houston",2,1419,0.0078125,0.018664752333094,0.058165548098434,1008041
2014-11-30,"Maricopa","AZ","Phoenix",3,1244,0.00161030595813205,0.00974025974025974,0.0623398804440649,1188474
2014-11-30,"San Diego","CA","San Diego",4,2265,0.00221238938053097,0.00980829246544806,0.0399449035812672,729253
2014-11-30,"Orange","CA","Los Angeles",5,2768,0.0025353132922854,0.0113262696382901,0.0548780487804878,748347
2014-11-30,"Kings","NY","New York",6,2187,-0.013086642599278,-0.0499565595134666,-0.0748730964467005,103982
2014-11-30,"Miami-Dade","FL","Miami-Fort Lauderdale",7,1865,0.00376749192680301,0.0141381185426862,0.0465768799102132,673848
2014-11-30,"Dallas","TX","Dallas-Fort Worth",8,1291,0.00545171339563863,0.0117554858934169,0.0352846832397755,565588
2014-11-30,"Queens","NY","New York",9,2126,0,0.00283018867924528,0.0710327455919395,180130
2014-11-30,"Riverside","CA","Riverside",10,1765,0.00170261066969353,0.00742009132420091,0.0357981220657277,576319
2014-11-30,"San Bernardino","CA","Riverside",11,1462,0.00136986301369863,-0.00136612021857924,0.0131670131670132,515375
2014-11-30,"Clark","NV","Las Vegas",12,1193,0.00420875420875421,0.0110169491525424,0.0144557823129252,596488
2014-11-30,"King","WA","Seattle",13,2021,0.00148662041625372,0.00697558545092177,0.0575614861329147,567419
2014-11-30,"Wayne","MI","Detroit",14,800,0.00125156445556946,0.00376411543287327,0.0178117048346056,713366
2014-11-30,"Tarrant","TX","Dallas-Fort Worth",15,1342,0.00298953662182362,0.00978179082016554,0.0346954510408635,467193
2014-11-30,"Santa Clara","CA","San Jose",16,3213,0.00563380281690141,0.0229226361031519,0.151200286635614,410908
2014-11-30,"Broward","FL","Miami-Fort Lauderdale",17,1680,0,-0.0017825311942959,0.024390243902439,619297
2014-11-30,"Bexar","TX","San Antonio",18,1230,0.00081366965012205,0.00572363041700736,0.0370994940978078,344914
2014-11-30,"New York","NY","New York",19,3977,-0.00350789275870709,0.0158365261813538,0.0711015351467816,100614
2014-11-30,"Philadelphia","PA","Philadelphia",20,1174,-0.00170068027210884,0.00945829750644884,0.0910780669144981,463940
2014-11-30,"Alameda","CA","San Francisco",21,2587,0.00544111931597357,0.0221256420387199,0.12136974425661,354860
2014-11-30,"Middlesex","MA","Boston",22,2316,0.00346620450606586,0.0140105078809107,0.0275066548358474,361754
2014-11-30,"Suffolk","NY","New York",23,2425,-0.0122199592668024,-0.0154283394234673,-0.0315495207667732,434700
2014-11-30,"Sacramento","CA","Sacramento",24,1472,0.00752908966461328,0.0200970200970201,0.0454545454545455,233946
2014-11-30,"Bronx","NY","New York",25,1768,-0.015041782729805,-0.0199556541019956,0.0436835891381346,38405
2014-11-30,"Nassau","NY","New York",26,2613,-0.0135900339750849,-0.0161897590361446,0.0191107644305772,326240
2014-11-30,"Palm Beach","FL","Miami-Fort Lauderdale",27,1796,-0.00111234705228031,0.00447427293064877,0.0583382439599293,533066
2014-11-30,"Cuyahoga","OH","Cleveland",28,1121,-0.00178094390026714,-0.00178094390026714,0.0293847566574839,371470
2014-11-30,"Hillsborough","FL","Tampa",29,1304,0.0053970701619121,0.00694980694980695,0.0267716535433071,367009
2014-11-30,"Allegheny","PA","Pittsburgh",30,1142,-0.0138169257340242,-0.0180567497850387,0.0187332738626227,415928
2014-11-30,"Oakland","MI","Detroit",31,1560,0.0123296560674886,0.0249671484888305,0.0576271186440678,401460
2014-11-30,"Franklin","OH","Columbus",32,1227,0.00573770491803279,0.0302267002518892,0.0706806282722513,350486
2014-11-30,"Hennepin","MN","Minneapolis-St Paul",33,1544,-0.00451321727917473,-0.0108904548366432,0.00194678780012979,357267
2014-11-30,"Orange","FL","Orlando",34,1313,-0.00076103500761035,0.00305576776165011,0.0225856697819315,334663
2014-11-30,"Fairfax","VA","Washington",35,2493,0.00443190975020145,0.0117694805194805,0.024239934264585,321880
2014-11-30,"Contra Costa","CA","San Francisco",36,2309,0.00217013888888889,0.0176289114147201,0.100571973307912,314555
2014-11-30,"Salt Lake","UT","Salt Lake City",37,1414,0.0092790863668808,0.0209386281588448,0.0128939828080229,273114
2014-11-30,"Travis","TX","Austin",38,1763,0.00742857142857143,0.0214368482039397,0.0736906211936663,216085
2014-11-30,"Saint Louis","MO","St. Louis",39,1186,0.00593723494486853,0.0224137931034483,0.0197764402407567,366578
2014-11-30,"Pima","AZ","Tucson",40,1104,0.00181488203266788,0.00181488203266788,0.0203327171903882,283066
2014-11-30,"Montgomery","MD","Washington",41,2293,-0.00390964378801043,-0.00130662020905923,0.0191111111111111,302815
2014-11-30,"Honolulu","HI","Honolulu",42,2359,0.000424088210347752,0.00382978723404255,0.0212121212121212,274603
2014-11-30,"Westchester","NY","New York",43,3408,-0.00496350364963504,-0.0087260034904014,0.069344210856605,179048
2014-11-30,"Milwaukee","WI","Milwaukee",44,1070,0.00187265917602996,0.0103871576959396,0.0239234449760766,118474
2014-11-30,"Fresno","CA","Fresno",45,1195,0,0.016156462585034,0.0109983079526227,203228
2014-11-30,"Shelby","TN","Memphis",46,1021,0.000980392156862745,0.00690335305719921,0.0354969574036511,276967
2014-11-30,"Fulton","GA","Atlanta",47,1445,0.00767085076708508,0.0176056338028169,0.0455861070911722,274598
2014-11-30,"Mecklenburg","NC","Charlotte",48,1261,0.0047808764940239,0.016116035455278,0.0447390223695112,309387
2014-11-30,"Erie","NY","Buffalo",49,1228,0.0207813798836243,0.0362869198312236,0.0857648099027409,232409
2014-11-30,"Du Page","IL","Chicago",50,1860,-0.00321543408360129,-0.00641025641025641,0.0242290748898678,295837
2014-11-30,"Fairfield","CT","Stamford",51,2422,0.0053964300539643,0.0193602693602694,0.031955688112484,250830
2014-11-30,"Pinellas","FL","Tampa",52,1301,0.00231124807395994,0.0124513618677043,0.0594462540716612,360240
2014-11-30,"Bergen","NJ","New York",53,2623,-0.0120527306967985,-0.00719152157456472,0.0706122448979592,249964
2014-11-30,"Marion","IN","Indianapolis",54,1064,-0.00187617260787992,-0.00374531835205993,0.0201342281879195,267202
2014-11-30,"Wake","NC","Raleigh",55,1383,0.00655021834061135,0.0117044623262619,0.032089552238806,290255
2014-11-30,"Hartford","CT","Hartford",56,1651,0.00548112058465286,0.0235585864848109,0.0576553491351698,235242
2014-11-30,"Duval","FL","Jacksonville",57,1127,0.00714924039320822,0.00805008944543828,0.0144014401440144,275515
2014-11-30,"Prince Georges","MD","Washington",58,1835,-0.00163220892274211,-0.00325909831613254,0.00824175824175824,256017
2014-11-30,"New Haven","CT","New Haven",59,1617,0.00497203231821007,0.00434782608695652,0.0338874680306905,224724
2014-11-30,"Macomb","MI","Detroit",60,1183,0.000846023688663283,-0.00252951096121417,-0.000844594594594595,289277
2014-11-30,"Kern","CA","Bakersfield",61,1266,0.0176848874598071,0.0317848410757946,0.0301057770545159,185808
2014-11-30,"Ventura","CA","Ventura",62,2409,-0.00618811881188119,-0.00618811881188119,0.0277303754266212,205308
2014-11-30,"Middlesex","NJ","New York",63,2063,-0.0148042024832856,-0.0133907221425155,0.0716883116883117,196743
2014-11-30,"Gwinnett","GA","Atlanta",64,1300,0.00619195046439629,0.0116731517509728,0.0425020048115477,227365
2014-11-30,"San Francisco","CA","San Francisco",65,4001,0.00984351337708228,0.0593063277733651,0.175381903642773,140511
2014-11-30,"Baltimore","MD","Baltimore",66,1670,-0.00298507462686567,-0.000598444045481747,0.00240096038415366,240945
2014-11-30,"Hamilton","OH","Cincinnati",67,1062,0.00950570342205323,0.0330739299610895,0.0892307692307692,233111
2014-11-30,"El Paso","TX","El Paso",68,1008,-0.00689655172413793,-0.0165853658536585,-0.00198019801980198,183193
2014-11-30,"Montgomery","PA","Philadelphia",69,1834,-0.00163309744148067,-0.00757575757575758,0.0149418926397344,244393
2014-11-30,"Worcester","MA","Worcester",70,1465,-0.00136332651670075,0.0027378507871321,-0.0252827677977379,202196
2014-11-30,"Pierce","WA","Seattle",71,1477,0.000677506775067751,0.00271554650373388,-0.00404585300067431,219115
2014-11-30,"Essex","NJ","New York",72,1780,-0.00946021146355036,-0.0203632361034673,0.0439882697947214,154212
2014-11-30,"Collin","TX","Dallas-Fort Worth",73,1840,0.00656455142231947,0.014892443463872,0.0562571756601607,218059
2014-11-30,"Hidalgo","TX","McAllen",74,1032,-0.0124401913875598,-0.00578034682080925,0.0606372045220966,162135
2014-11-30,"Monroe","NY","Rochester",75,1366,0.00589101620029455,-0.000731528895391368,0.0186428038777032,208830
2014-11-30,"Essex","MA","Boston",76,1988,0.00100704934541793,0.00964956830878619,0.0636704119850187,183714
2014-11-30,"Jefferson","KY","Louisville/Jefferson County",77,1047,-0.0178236397748593,-0.0205799812909261,0.030511811023622,336798
2014-11-30,"Multnomah","OR","Portland",78,1536,0.0152015862524785,0.0343434343434343,0.0786516853932584,221528
2014-11-30,"Suffolk","MA","Boston",79,2437,0.00123253903040263,0.0112033195020747,0.0423438836612489,100829
2014-11-30,"Oklahoma","OK","Oklahoma City",80,1102,0.000908265213442325,0.0100824931255729,0.0857142857142857,235769
2014-11-30,"San Mateo","CA","San Francisco",81,3531,0.00856898029134533,0.0228852838933951,0.159986859395532,181874
2014-11-30,"Snohomish","WA","Seattle",82,1773,0.00853242320819113,0.0224913494809689,0.0472533963378618,201332
2014-11-30,"Lake","IL","Chicago",83,1807,-0.00110558319513543,-0.00330943188086045,0.0237960339943343,213574
2014-11-30,"Dekalb","GA","Atlanta",84,1112,0.0054249547920434,0.0183150183150183,0.033457249070632,204140
2014-11-30,"Cobb","GA","Atlanta",85,1369,0.00810014727540501,0.0201192250372578,0.0482388973966309,209681
2014-11-30,"San Joaquin","CA","Stockton",86,1385,0.00289645184648805,-0.00144196106705119,0.0374531835205993,156139
2014-11-30,"Will","IL","Chicago",87,1695,0.0107334525939177,0.0155781905332534,0.018018018018018,225855
2014-11-30,"Jackson","MO","Kansas City",88,945,0.0205183585313175,0.0139484978540773,0.0194174757281553,213679
2014-11-30,"Norfolk","MA","Boston",89,2298,-0.0128865979381443,-0.0179487179487179,0.0531622364802933,185168
2014-11-30,"Denton","TX","Dallas-Fort Worth",90,1702,0.0035377358490566,0.0143027413587604,0.0460971112476951,174460
2014-11-30,"Bernalillo","NM","Albuquerque",91,1124,-0.0343642611683849,-0.0474576271186441,0.0302474793767186,196597
2014-11-30,"Jefferson","AL","Birmingham",92,928,0.0299667036625971,0.0654420206659013,0.0666666666666667,232258
2014-11-30,"Hudson","NJ","New York",93,2288,0.0209727800089246,0.0746829497416628,0.119921683798336,112613
2014-11-30,"Monmouth","NJ","New York",94,2383,-0.00955943474646717,-0.00584063412599082,0.0442594215600351,196269
2014-11-30,"Davidson","TN","Nashville",95,1345,0.00673652694610778,0.0212604403948367,0.0666137985725615,174239
2014-11-30,"Providence","RI","Providence",96,1446,0.0154494382022472,0.0432900432900433,0.0547045951859956,119988
2014-11-30,"Bucks","PA","Philadelphia",97,1796,0,0.00898876404494382,0.0210346787947698,192591
