"RegionName","StateName","RegionType","CBSA Title","MSAstate","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10"
"United States",,"Country",,,1,140,143,143.25,136.25,122.75,112.75,108.75,108.25,111.25,115.25,118.5,122.25,126.75,129.25,128,123.25,116.5,112.25,112.25,114.75,118.75,122.25,124.5,127.25,129.75,130.25,127,118,108.5,105,106.25,109.25,112.25,114,115.75,119.5,123.75,124.25,117.5,105.75,96.5,92.5,91.5,92.25,94,96.25,99,103.75,110,112.75,107.375,96.25,87.875,85.25,86.5,90.25,94.5,98
"Ada","ID","County","Boise City-Nampa, ID","ID",173,158,161.5,145.375,128,119.375,108.5,102.25,107.75,111.5,106.75,103,101,99,100.25,99,95.5,92.5,87.75,83.375,84,88.625,93.5,96.5,98.875,98.125,90.25,84.125,82,78,70.875,67.125,70.875,77.375,83.875,90.25,94,98.5,103,92.75,74.75,66,64.875,65.75,66.125,68.5,75.25,84,92.625,99.75,101.5,89.25,70.125,62.5,65.25,71.5,76.75,79,83
"Bay","FL","County","Panama City-Lynn Haven, FL","FL",264,209,230.75,206,198.5,192.5,160.25,140.75,139.75,147.5,165,181.375,187.25,181.625,161.5,136.25,108.75,91.6666666666667,109,136,136.75,126.25,122.5,131.25,140.5,144.75,139.375,141,153.75,152.875,139.375,131.875,129.75,128,127.5,131.375,137.25,135,129.5,130.25,130.125,121.625,117.125,122,121,114.5,115,118.75,118.875,121.375,124.625,120.625,114,109.75,109,112,113.75,113.25,113
"Lee","FL","County","Cape Coral-Fort Myers, FL","FL",54,179.5,154.375,144.5,151.5,151.5,135.25,119,110.75,111,115,116.125,113.75,111.875,116.25,125.75,135.25,143.25,140,113.75,87.25,86.25,97.5,105.75,113.75,121.625,123.75,124.125,124,120.5,122,126.25,128.125,124.75,114.625,108,109.75,116.5,119.25,119.5,121.5,123.75,126.75,123,112.25,102.5,98,97.75,99.25,102.5,106,108.125,106.75,106.875,113.25,117.25,115.75,112.25,107
"Bell","TX","County","Killeen-Temple-Fort Hood, TX","TX",211,157,146.25,119,99.5,95.5,100.75,106.25,111,117.5,122.875,134.5,147.75,151.5,139.625,123.75,122.625,122,116.875,123.75,130.875,127.5,127.625,132.375,134.75,139,143.25,135.875,129.125,125.5,113.25,108.5,114,126.25,135.125,128.75,121.5,120.5,128.25,132,127.625,129.125,128.625,120.375,113.625,116.5,117.125,106.875,102.75,102.25,93.75,86.875,88,95.75,96.5,91.75,93.5,95.75,99
"Cass","ND","County","Fargo, ND-MN","ND",349,107,125,140.75,155.875,140.75,115.875,109.5,106.125,102,107,114.25,119.25,126.75,131.375,137.625,136,123.375,110,103.25,110.375,121,127.25,129.75,133.5,141.5,146.75,143.75,126.625,102.125,93.375,93.625,97.625,103.5,95.375,89.5,97.125,111.125,134.75,143.5,116,86.625,75.25,70.75,71.25,74.5,73.625,74.75,84.625,95.5,104,97,74.75,65.5,68.5,69.25,71,72.75,68
"Clay","FL","County","Jacksonville, FL","FL",316,185,184.5,193.5,184.5,167,157,140.625,123.5,117.375,126.5,140.875,142,139.375,144.5,145.75,146,147.875,138.5,129.625,133.625,145.875,154.875,153.875,146.25,143.5,147,145.25,146.375,146.75,136,127.875,131,136.125,136.25,137.375,141.5,144.875,144.125,132.75,120.25,112.25,99.875,97.25,106.375,112.5,113.875,112.125,117.75,132.125,137.5,128.25,116.375,110,108.25,103.5,101.5,106.75,104
"Clay","MO","County","Kansas City, MO-KS","MO",274,159,141.125,130.25,129.125,120.25,109.75,111.625,114.875,109.375,110.75,124,147.375,170.625,166.75,146.25,131,124.375,123.25,126.25,124.5,113.5,114.25,128.875,134.75,134.375,139.5,133.25,112.25,98.75,101.5,111.25,119.5,118.75,119.5,125.25,116.75,109.75,118,119.75,107.5,105.125,110.125,102.75,96.125,99.25,104,110.125,114.25,113.25,120.25,122.25,104,91,93.375,97.375,98.125,98.5,103.5
"Cobb","GA","County","Atlanta-Sandy Springs-Marietta, GA","GA",85,182,166.75,159,151.5,133.5,120.5,118.75,117.25,121.25,129.75,138.5,154,160.75,154,148.25,137.375,123.5,118.125,122.5,128.75,132.25,136.75,138.5,133.25,128.5,131.5,133.75,124.25,108.125,104.25,113.25,118,118.875,121.75,127,132,133,134.625,131,116.375,102.875,96,96.125,99,99.25,97.75,96,97.25,103.375,109.25,104.125,91,82.5,81.125,82.5,85.25,91.75,102
"Cook","IL","County","Chicago-Naperville-Joliet, IL-IN-WI","IL",2,189,188,190.5,191.75,176.25,151,135.5,128.5,130.25,139.5,149.5,157.5,159,155.75,153.5,147,135.75,130.75,131.75,134.75,140.25,145,146.75,148.75,153.25,155.75,153.75,148.75,138,127.75,126.75,128.75,131.25,134.25,134.5,136.5,141.5,144.5,142.5,132.5,119.5,113.75,113,112.75,114.5,115,112.25,112.75,120.75,129.375,127,111.625,96.5,94,100.75,108.25,113,115
