"RegionName","CBSA Title","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex"
"New York","New York-Northern New Jersey-Long Island, NY-NJ-PA",1,0.9671,31.0166,137,7.78481012658228
"Los Angeles","Los Angeles-Long Beach-Santa Ana, CA",2,0.9874,31.4645,70,0.886075949367089
"Chicago","Chicago-Naperville-Joliet, IL-IN-WI",3,0.9666,44.6651,103,8.73417721518987
"Dallas-Fort Worth","Dallas-Fort Worth-Arlington, TX",4,0.9864,29.8646,54,0.632911392405063
"Philadelphia","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5,0.9691,46.3185,106,8.60759493670886
"Washington","Washington-Arlington-Alexandria, DC-VA-MD-WV",6,0.9889,40.9958,77,2.91139240506329
"Miami-Fort Lauderdale","Miami-Fort Lauderdale-Pompano Beach, FL",7,0.9616,29.5259,107,6.20253164556962
"Atlanta","Atlanta-Sandy Springs-Marietta, GA",8,0.9753,32.8836,90,3.16455696202532
"Boston","Boston-Cambridge-Quincy, MA-NH",9,0.9811,42.3056,77,3.79746835443038
"San Francisco","San Francisco-Oakland-Fremont, CA",10,1.0077,22.7674,46,0.126582278481013
"Detroit","Detroit-Warren-Livonia, MI",11,0.9701,43.1204,91,7.34177215189873
"Riverside","Riverside-San Bernardino-Ontario, CA",12,0.9871,32.7863,79,1.39240506329114
"Phoenix","Phoenix-Mesa-Scottsdale, AZ",13,0.9792,41.575,83,4.49367088607595
"Seattle","Seattle-Tacoma-Bellevue, WA",14,0.9946,33.93,62,0.949367088607595
"Minneapolis-St Paul","Minneapolis-St. Paul-Bloomington, MN-WI",15,0.9834,44.9503,89,4.43037974683544
"San Diego","San Diego-Carlsbad-San Marcos, CA",16,0.9795,37.3152,68,3.10126582278481
"St. Louis","St. Louis, MO-IL",17,0.9796,42.3086,88,4.93670886075949
"Tampa","Tampa-St. Petersburg-Clearwater, FL",18,0.9658,36.9624,93,6.89873417721519
"Baltimore","Baltimore-Towson, MD",19,0.9843,45.8371,103,5.69620253164557
"Denver","Denver-Aurora, CO",20,0.9943,27.2391,55,0.316455696202532
"Pittsburgh","Pittsburgh, PA",21,0.9631,40.4091,95,8.10126582278481
"Portland","Portland-Vancouver-Beaverton, OR-WA",22,0.9921,37.3014,65,1.70886075949367
"Sacramento","Sacramento--Arden-Arcade--Roseville, CA",23,0.9866,34.6567,69,1.58227848101266
"Orlando","Orlando-Kissimmee, FL",24,0.9711,35.6083,93,5.12658227848101
"Cincinnati","Cincinnati-Middletown, OH-KY-IN",25,0.9643,35.6795,94,6.70886075949367
"Cleveland","Cleveland-Elyria-Mentor, OH",26,0.9587,42.2893,94,8.86075949367089
"Las Vegas","Las Vegas-Paradise, NV",27,0.9863,31.9422,84,1.45569620253165
"San Jose","San Jose-Sunnyvale-Santa Clara, CA",28,1.007,22.0701,42,0.0632911392405063
"Columbus","Columbus, OH",29,0.9771,38.3923,80,3.9873417721519
"Charlotte","Charlotte-Gastonia-Concord, NC-SC",30,0.9728,29.3358,89,2.34177215189873
"Virginia Beach","Virginia Beach-Norfolk-Newport News, VA-NC",31,0.9822,39.8665,95,4.24050632911392
"Providence","Providence-New Bedford-Fall River, RI-MA",32,0.9653,44.0557,101,8.67088607594937
"Nashville","Nashville-Davidson--Murfreesboro--Franklin, TN",33,0.9814,30.0997,77,1.32911392405063
"Milwaukee","Milwaukee-Waukesha-West Allis, WI",34,0.9669,44.0611,99,8.35443037974684
"Jacksonville","Jacksonville, FL",35,0.9698,34.6022,103,6.07594936708861
"Memphis","Memphis, TN-MS-AR",36,0.9728,32.1076,92,3.35443037974684
"Richmond","Richmond, VA",37,0.9796,36.5973,91,3.73417721518987
"Oklahoma City","Oklahoma City, OK",38,0.979,33.8025,76,2.15189873417722
"Hartford","Hartford-West Hartford-East Hartford, CT",39,0.9691,45.968,107,8.54430379746835
"New Orleans","New Orleans-Metairie-Kenner, LA",40,0.9694,33.08,102,5.18987341772152
"Raleigh","Raleigh-Cary, NC",41,0.9815,34.3705,77,1.9620253164557
"Rochester","Rochester, NY",42,0.974,42.3129,105,7.65822784810127
"Tucson","Tucson, AZ",43,0.9768,39.9151,97,5.94936708860759
"Honolulu","Honolulu, HI",44,0.9893,24.2537,74,0.379746835443038
"Tulsa","Tulsa, OK",45,0.9774,30.0265,91,2.08860759493671
"Fresno","Fresno, CA",46,0.9871,31.94,74,1.0126582278481
"Stamford","Bridgeport-Stamford-Norwalk, CT",47,0.9647,43.3585,109,9.17721518987342
"Albany","Albany-Schenectady-Troy, NY",48,0.9709,43.7001,122,9.11392405063291
"New Haven","New Haven-Milford, CT",49,0.9602,43.2129,112,9.55696202531646
"Dayton","Dayton, OH",50,0.9687,43.4213,99,8.0379746835443
"Bakersfield","Bakersfield, CA",51,0.9896,33.8394,75,1.26582278481013
"Ventura","Oxnard-Thousand Oaks-Ventura, CA",52,0.9835,35.2941,70,1.89873417721519
"Allentown","Allentown-Bethlehem-Easton, PA-NJ",53,0.9651,43.1972,111,9.24050632911392
"Worcester","Worcester, MA",54,0.9718,48.2316,101,7.84810126582278
"Grand Rapids","Grand Rapids-Wyoming, MI",55,0.9717,41.823,83,5.88607594936709
"Columbia","Columbia, SC",56,0.9679,35.9954,121,8.22784810126582
"Greensboro","Greensboro-High Point, NC",57,0.9665,37.0274,114,8.29113924050633
"Akron","Akron, OH",58,0.9676,41.5337,87,7.15189873417722
"Sarasota","Bradenton-Sarasota-Venice, FL",59,0.9636,30.6437,98,5.06329113924051
"Little Rock","Little Rock-North Little Rock-Conway, AR",60,0.971,34.9418,109,6.45569620253165
"Knoxville","Knoxville, TN",61,0.9624,36.346,105,8.16455696202532
"Springfield","Springfield, MA",62,0.9719,50.4684,97,7.59493670886076
"Stockton","Stockton, CA",63,1,31.9635,68,0.759493670886076
"Poughkeepsie","Poughkeepsie-Newburgh-Middletown, NY",64,0.9632,40.4971,176,9.87341772151899
"Charleston","Charleston-North Charleston-Summerville, SC",65,0.9711,21.9427,101,2.21518987341772
"Toledo","Toledo, OH",66,0.9627,36.2581,90,6.9620253164557
"Colorado Springs","Colorado Springs, CO",67,0.985,39.129,76,2.72151898734177
"Greenville","Greenville-Mauldin-Easley, SC",68,0.9686,32.2195,95,4.36708860759494
"Fort Myers","Cape Coral-Fort Myers, FL",69,0.965,26.7923,112,5
"Lakeland","Lakeland-Winter Haven, FL",70,0.9689,32.7089,102,5.31645569620253
"Des Moines","Des Moines-West Des Moines, IA",71,0.978,40.247,87,4.62025316455696
"Madison","Madison, WI",72,0.974,39.4181,89,5.37974683544304
"Augusta","Augusta-Richmond County, GA-SC",73,0.9685,29.4787,117,5.63291139240506
"Melbourne","Palm Bay-Melbourne-Titusville, FL",74,0.9667,34.7313,92,5.82278481012658
"Lancaster","Lancaster, PA",75,0.9782,38.5773,97,5.25316455696202
"Modesto","Modesto, CA",76,0.9929,36.5479,66.5,1.64556962025316
"Durham","Durham, NC",77,0.9752,30.9402,90,2.65822784810127
