"RegionName","StateName","RegionType","CBSA Title","MSAstate","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10"
"United States",,"Country",,,1,140,143,143.25,136.25,122.75,112.75,108.75,108.25,111.25,115.25,118.5,122.25,126.75,129.25,128,123.25,116.5,112.25,112.25,114.75,118.75,122.25,124.5,127.25,129.75,130.25,127,118,108.5,105,106.25,109.25,112.25,114,115.75,119.5,123.75,124.25,117.5,105.75,96.5,92.5,91.5,92.25,94,96.25,99,103.75,110,112.75,107.375,96.25,87.875,85.25,86.5,90.25,94.5,98
"Abilene, TX","TX","Metro","Abilene, TX","TX",208,123,126,111.25,96.75,85.75,82,94.5,107.5,104.75,100.75,106.25,119.375,137.5,137.125,121.125,111.625,105.625,95.625,85,91,102.125,101.25,105.375,113.375,121,125.125,112.5,98.5,96.5,92.75,87.25,89.25,98.75,111.5,112.25,110.625,117.875,114.375,103.875,94.25,82.75,75.75,70.5,68.75,75.375,81.5,79.625,80.375,88.875,90.875,82.875,71.625,65.75,72.375,78.875,72.375,65.875,69
"Akron, OH","OH","Metro","Akron, OH","OH",71,163,159.25,163.25,158,135.75,114.5,104.75,107.5,121.25,130.375,132.25,128.375,113.25,107.25,115,121.125,121.5,119.375,118,118,122.75,128.75,136.125,138.5,132.625,131.5,134.25,133.25,121.75,106.75,105.5,115.5,123.875,128.5,135.375,140.5,148,156.75,148.75,127,106,95,92.75,91.5,92.5,98.625,106.75,114.125,121.375,125.5,115.375,97.75,87.625,83,82.875,86.25,89,90
"Albany, OR","OR","Metro","Albany-Lebanon, OR","OR",237,146.5,150.166666666667,142,121.833333333333,107.75,106.875,120.75,126.125,129.625,127.125,125.625,132.75,136.625,145.75,142.625,121.625,105,106.625,126.875,137.125,128.5,125.875,130.875,130.25,127.75,120.5,117,117.5,108.5,105.75,106.875,102.5,107,116.75,129.125,138.625,138.75,144.25,146.875,136.75,120.625,102,94.125,97.625,105.75,113.25,114.625,129.5,144.75,144,140.25,126.5,106.25,88,80.25,86.25,92.25,93
"Albany, NY","NY","Metro","Albany-Schenectady-Troy, NY","NY",55,156,161.375,161.875,151.625,129.25,118.75,121,122,127,135.25,143.375,154.75,164.25,162.75,159.5,158.75,145.125,122,112.25,121,132.625,143.25,154.75,159.75,165.75,182,189.875,185.875,177.25,155.625,138.25,137.875,143.5,147.875,151.5,161.125,174.625,180.125,179.125,177,162,137,122.5,120.875,125,131.125,139.625,151.75,161.875,167,169.25,166.5,149.375,126.25,115.625,116.75,123.75,134
"Albuquerque, NM","NM","Metro","Albuquerque, NM","NM",57,129,128.5,128.125,121.5,111.25,104,100.5,103.75,109,113.125,118.75,123,124.125,124,126.25,129.5,128.125,124.375,119.5,112.375,114.875,125.625,128.25,128.5,137.875,147.125,137.25,115.375,101,91.125,88.25,95.125,104.5,111.25,115.75,119.75,118,113.625,109.125,99.875,93.625,95.5,93.75,93.5,101.75,109.25,109.75,110,118.5,121.75,111.75,99.25,91.125,86.5,87.875,95.75,104.75,112
"Allegan, MI","MI","Metro","Allegan, MI","MI",233,108.5,146,186.333333333333,191.875,187,156,130.25,131.25,142.375,165.25,172.875,146.5,129.5,142.75,156.875,151.875,146,139,132.375,137.125,132.5,128,140.5,151.25,159.75,160.375,153.25,152.125,142.25,128.5,123.75,123.75,131.5,146.75,159,160.5,162,160.625,153.5,156.75,151.375,127.375,118.875,125.875,125,122.125,127,147.125,169.25,159.625,135.25,140.75,146.75,119.5,99.25,102.25,112.25,126
"Allentown, PA","PA","Metro","Allentown-Bethlehem-Easton, PA-NJ","PA",62,162,157.5,155.25,153.375,138.875,116.625,108.125,111.875,117.5,128,139.25,149,160,160.375,158.125,164,157.125,138.875,130,132.375,137.75,142.5,153.25,166,165.5,159.625,162.5,158.375,139.5,126.5,123,125,133.75,138.5,141.5,150.5,161.5,167.5,157.5,134.5,117,112.5,111.625,110.25,113.375,118.25,119.5,122.875,130.75,135.875,140.25,139.75,124.625,107.75,102.875,109,116.5,113
"Amarillo, TX","TX","Metro","Amarillo, TX","TX",175,130,146.5,145.75,125.25,104,96,96.75,95.75,97,99.875,101.75,112.625,115.75,110.25,111.5,112,105.5,97.5,100,104.75,106.625,108.25,110.5,127.75,145.125,142.25,130.25,115.5,106,105,101,98,98,92,90.125,97.25,113.375,127.75,118.25,99.25,87.25,83.5,87.5,95.25,99,96.875,100.75,110.375,115.5,110.875,99.75,89.625,83.75,82.25,87.375,93.375,90.75,86.5
"Anchorage, AK","AK","Metro","Anchorage, AK","AK",134,129,145,140.75,116.375,98.125,90.625,86,89.75,96.125,99.5,104.25,115.375,131.75,138.125,124.5,105.75,98.375,94.25,88.375,91.375,96.375,99.875,111.625,121,123.25,127,123.625,105.875,86.125,77.5,77.5,81.375,86.75,92.75,103.25,118.875,130.25,124.875,105,84.75,74.625,73.125,75.125,78.375,81.75,88.25,99.75,109.625,111.5,104.875,89.625,73.75,67.625,68.75,72,74.375,76.5,82
