"RegionName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",1.8452,1.8264,1.8733,1.8903,1.8259,1.8653,1.8531,1.7752,1.7117,1.7222,1.6399,1.6582,1.6207,1.5375,1.5598,1.49,1.3274,1.2954,1.2705,1.2678,1.2328,1.1957,1.1676,1.2114,1.2266,1.2314,1.2863,1.2211,1.2161,1.268,1.1842,1.1921,1.1729,1.1714,1.1299,1.1135,1.1682,1.1172,1.0165,1.0278,1.1011,1.1825,1.0979,1.1144,1.0338,1.1196,1.1394,1.1325,1.2233,1.2267,1.244,1.2968,1.3444,1.3072,1.2639,1.2746,1.2629,1.318,1.2713,1.2862,1.3044,1.2457,1.2699,1.2981,1.3454,1.3574,1.367,1.3602,1.3532,1.4032,1.3018,1.3309,1.644,1.7556,1.8835,1.8869,1.8106,1.8488,1.9071,1.9622,2.0063,1.9741,1.9095,2.0026,2.0429,1.9588,1.9904,2.0007,1.9487,1.964,1.9062,1.9537,1.9685,1.9082,1.8216,1.8512,1.9461,1.9428,2.1102,2.0829,2.1119,2.2463,2.2469,2.3303,2.4488,2.5566,2.7165,2.7782,3.0453,3.065,3.2622,3.361,3.525,3.7764,3.9081,4.3259,4.3849,4.734,4.9227,5.2184,5.9317,6.4457,6.4154,6.7493,7.3106,7.8557,8.4621,8.9911,9.1052,8.5255,7.6751,7.5528,7.4496,7.8838,7.2452,6.6832,6.6201,7.9133,8.6232,8.2893,7.7886,8.0879,7.9178,8.3797,8.2982,8.1581,8.8381,9.3887,9.2304,9.3714,9.2411,9.4782,10.1667,10.2508,8.8052,7.9789,8.0828,8.2448,8.9407,8.8687,8.6143,8.6179,8.1329,8.1269,7.8629,7.496,7.3307,7.4707,7.5264,7.4326,7.1877,6.6369,6.358,6.2598,6.0861,6.3334,6.3338,6.5396,6.4826,6.2284,6.0204,5.6635,5.5065,5.5971,5.5425,5.3396,5.3656,5.5035,5.4316,5.6177,5.2207,5.1213,5.2231,5.257,5.316,5.2466,5.0227,5.0899,4.9933,4.7392,4.536,4.7584,4.2476
"New York, NY",0.4026,0.4969,0.5709,0.5257,0.5613,0.6027,0.6329,0.616,0.5544,0.5808,0.5743,0.5594,0.5321,0.5667,0.6727,0.6404,0.6126,0.624,0.6237,0.6026,0.574,0.629,0.5997,0.6517,0.6307,0.552,0.6554,0.6781,0.7203,0.6222,0.5786,0.5742,0.5485,0.5843,0.515,0.5403,0.5157,0.5556,0.5844,0.5811,0.5678,0.511,0.4253,0.4503,0.4328,0.4641,0.4576,0.4241,0.4507,0.3942,0.3582,0.4354,0.4699,0.468,0.4147,0.3731,0.3823,0.4346,0.3964,0.3721,0.3897,0.325,0.3922,0.4083,0.3572,0.3458,0.3104,0.3072,0.313,0.3169,0.2858,0.2574,0.4277,0.5794,0.6611,0.6139,0.6223,0.6158,0.6312,0.5638,0.4481,0.3791,0.3541,0.3309,0.3563,0.293,0.311,0.2889,0.3168,0.3786,0.4054,0.4254,0.4186,0.3851,0.3165,0.3219,0.3285,0.3261,0.3871,0.3943,0.4255,0.436,0.3796,0.4371,0.4525,0.4734,0.4421,0.4554,0.4875,0.4433,0.4508,0.5193,0.605,0.5932,0.6358,0.7145,0.7194,0.8947,0.8826,0.8256,0.8517,0.9325,1.01,1.1803,1.2632,1.3767,1.4336,1.4063,1.4307,1.6095,1.5322,1.4744,1.2365,1.1627,1.2601,1.2664,1.1718,1.2734,1.3829,1.5046,1.5394,1.4326,1.4776,1.4846,1.5733,1.487,1.7824,1.9923,1.8509,1.7159,1.5887,1.5945,1.6919,1.7909,1.5453,1.1554,0.816,0.5631,0.4499,0.4209,0.4266,0.4328,0.4272,0.4599,0.4639,0.5213,0.5455,0.5562,0.5185,0.5039,0.5374,0.5517,0.6095,0.5964,0.548,0.5743,0.5573,0.5676,0.5693,0.5777,0.5367,0.5669,0.6498,0.7195,0.6791,0.6881,0.8497,1.2183,1.2672,1.2487,1.0772,1.028,1.0716,1.0422,1.0809,1.2346,1.2364,1.3175,1.3518,1.4652,1.5417,1.6052,1.4686
"Los Angeles, CA",10.714,10.7541,10.6287,9.8414,9.0488,8.8272,8.7305,8.6402,8.5097,8.0495,7.4029,7.2381,7.0101,6.5865,7.1118,6.9765,6.2465,5.9946,5.9657,5.8344,5.3905,4.9006,4.6747,4.57,4.5187,4.5343,4.7023,4.2641,4.0126,4.1433,3.9287,3.7113,3.2968,3.1602,3.179,3.0648,3.1384,2.8034,2.0582,2.1652,2.4207,2.6326,2.5996,2.6818,2.3769,2.5508,2.4515,2.3741,2.5018,2.3853,2.306,2.4367,2.32,2.0949,1.9341,1.8403,1.6455,1.577,1.3839,1.3085,1.2468,1.0216,0.8887,0.8767,0.8955,0.8745,0.8272,0.7702,0.7268,0.7564,0.6262,0.656,0.6829,0.6075,0.5024,0.4304,0.3872,0.4002,0.3473,0.311,0.3039,0.3245,0.2859,0.2534,0.2517,0.2623,0.2571,0.2447,0.2328,0.253,0.2463,0.2804,0.2953,0.2898,0.2855,0.3257,0.3705,0.3876,0.4712,0.5026,0.5455,0.6041,0.7468,1.0205,1.1048,1.5639,1.7686,2.0672,2.5846,2.9571,3.6112,4.2637,4.6186,5.3873,6.0875,7.2362,7.748,9.059,8.1707,9.7236,12.8817,14.5679,14.1808,15.0405,17.6745,20.5283,22.5734,24.1813,23.0905,18.5269,14.7934,13.3074,14.2174,15.1765,12.7423,10.6013,10.1736,13.6164,15.3847,15.0221,13.5384,13.8465,13.5854,14.4598,13.9157,12.7489,13.1021,14.2456,14.1225,13.4243,12.4894,12.4778,13.7174,13.4887,11.7673,10.5152,11.44,11.9979,13.2764,12.7163,12.7103,13.2148,12.8103,12.8182,12.4669,11.4387,10.5791,10.6155,10.0744,9.5738,8.8064,7.6009,6.906,6.6068,6.4714,6.733,6.9675,7.2935,6.9887,6.5295,5.7931,4.6874,4.0517,3.8024,3.3909,2.9159,2.8103,2.5479,2.4051,2.4651,2.3841,2.4891,2.5804,2.314,2.322,2.3732,2.2573,2.1972,2.2148,1.9987,2.02,2.114,1.8785
"Dallas-Fort Worth, TX",2.1332,2.1361,2.1239,2.3945,2.1438,1.87,1.9166,1.8233,1.769,2.04,1.5436,1.4983,1.8521,1.7053,1.6018,1.7447,1.849,1.7447,1.8222,1.6113,1.5568,1.4711,1.5923,1.8245,1.7563,1.6387,1.7745,1.6765,1.6238,1.5025,1.4693,1.4172,1.5833,1.5717,1.6305,1.6097,1.7072,1.8765,1.5103,1.465,1.5093,1.6008,1.4798,1.4864,1.6424,1.7399,1.9281,2.1882,2.2882,2.5376,2.4149,2.522,2.7918,2.6683,2.6252,2.9476,3.3221,3.3816,3.3873,3.7081,3.9556,3.9728,4.0271,3.7385,4.1193,3.8472,3.935,4.1786,4.3254,4.8069,4.6686,4.8737,5.7018,5.7489,5.5692,6.0713,5.7149,5.3638,5.8091,5.7885,6.4778,6.5253,6.1003,6.7104,6.8561,6.7231,6.2824,6.8529,6.6604,6.7298,6.1382,6.0027,6.7878,7.1625,6.5916,6.7517,7.3622,8.08,8.6224,8.4158,8.0724,8.4609,8.0865,8.0222,8.9456,9.1194,9.9563,9.4036,9.6901,10.1493,9.5516,8.9822,8.7533,9.7547,8.4315,9.5089,9.796,9.6242,10.3796,10.4185,10.2929,11.397,10.6716,10.1464,10.3111,9.9853,9.1631,9.6097,9.8185,9.8893,9.7927,9.3176,9.3457,10.5596,9.3719,7.8969,8.559,9.1504,10.5955,10.1338,9.4125,10.1461,11.2594,11.1178,11.8384,11.0261,10.8784,11.4521,10.7296,10.0565,10.7012,10.6539,12.222,12.1031,10.028,10.1295,9.8125,9.4043,8.9985,9.2627,8.6644,8.6981,8.198,8.052,8.2125,7.9526,8.8908,9.4099,9.7501,9.571,9.0707,7.9671,7.813,8.4671,8.5805,8.8026,8.3222,7.9301,8.4066,7.844,6.3159,5.7306,5.1665,4.7428,4.073,4.4678,5.0244,6.5595,6.9406,6.0374,5.1682,4.8105,5.4068,5.1559,4.6994,4.4715,4.6106,4.6153,4.3793,4.2111,3.9683,4.0737,3.9996
"Philadelphia, PA",3.3012,3.238,3.4207,3.6665,3.7053,3.5037,3.0087,2.3371,1.5242,2.2949,3.1249,3.8238,3.5047,3.302,2.8299,1.7452,0.9047,0.5992,0.6661,0.7785,0.7579,0.8361,0.8733,0.9519,0.8468,0.9754,0.9071,0.8595,0.9487,0.9826,0.8298,0.8773,0.8381,0.8828,0.8376,0.9086,0.832,0.8139,0.8995,0.791,0.629,0.5336,0.5975,0.613,0.6019,0.5838,0.5415,0.4695,0.5866,0.5667,0.5965,0.635,0.5893,0.6193,0.6605,0.7616,0.6904,0.7208,0.5844,0.5605,0.5312,0.5704,0.6599,0.6585,0.5751,0.5418,0.8036,1.2268,1.428,1.4535,1.316,1.2592,1.7527,2.4269,2.7647,2.6531,2.4435,2.5485,2.4005,2.3607,2.6221,2.8086,2.8626,2.7408,2.7703,2.8077,2.9168,2.6465,2.179,2.2864,2.3819,2.7439,2.7936,2.7724,2.4538,2.4019,2.3704,2.3194,2.6153,2.3441,2.2941,2.5342,2.5691,2.3808,2.2882,2.589,2.6154,2.2041,2.2952,2.0961,2.1564,2.0785,2.0673,2.0801,1.9586,1.8507,1.5915,1.4229,1.6903,1.8683,2.0323,2.2514,2.3403,1.9764,2.0972,1.9265,2.075,2.1726,1.9176,1.9209,1.8978,2.3288,2.5457,3.0136,3.5187,2.9803,2.3305,1.9751,1.9833,2.2177,2.4853,2.204,2.1381,2.3265,2.2259,2.1473,3.8513,4.1222,3.4173,3.2605,3.4686,3.3605,3.5062,3.4047,3.3641,2.9589,1.946,1.3867,1.3036,1.8242,1.9375,2.2164,2.8713,2.8371,2.5213,2.5473,2.3532,2.5467,2.4465,2.9123,3.1599,2.7242,2.4061,2.3094,2.7535,2.4999,2.1735,2.6957,2.6761,1.9994,2.5283,2.7375,3.6186,3.7543,3.932,3.4515,3.1857,3.1642,3.1716,2.8757,2.5625,2.8842,2.6195,2.6423,3.8205,4.1592,3.9186,4.2077,4.175,5.5174,5.4595,5.5774,4.2908
"Washington, DC",2.0672,2.0515,2.3222,2.4061,2.3554,2.4968,1.9131,1.6208,1.6168,2.0903,2.4087,2.4402,2.0902,1.881,2.1553,2.2777,2.197,2.3795,2.0181,1.917,1.848,2.2593,2.3703,2.416,2.3421,2.1847,2.2287,2.083,2.0445,2.3135,1.736,1.7422,1.7254,1.9682,1.9486,1.7804,1.8949,1.4782,1.3414,1.4295,1.661,2.041,1.6026,1.5333,1.352,1.5932,1.5842,1.4302,1.4601,1.5337,1.5658,1.5538,1.4364,1.4752,1.2325,1.0885,1.0509,1.247,1.3313,1.2172,1.1848,1.05,1.0931,1.0919,0.9889,1.1182,0.9167,0.7999,0.7084,0.8464,0.8358,0.8383,1.0102,1.1058,1.2291,1.1261,1.1146,1.0339,0.9735,0.9125,0.7711,0.738,0.6651,0.5606,0.532,0.5662,0.6007,0.6385,0.5785,0.5557,0.3989,0.3534,0.3109,0.3825,0.335,0.3136,0.2998,0.3449,0.4583,0.4631,0.4877,0.537,0.5078,0.5835,0.7197,0.8347,0.9768,1.2162,1.7416,2.3332,2.5911,2.9808,3.4275,4.104,4.2749,4.8848,4.9277,5.7953,6.5434,10.3356,8.2434,8.2058,9.2177,11.1219,12.3903,13.641,15.2967,16.1907,16.5597,16.7468,13.7691,12.7697,11.3047,10.9192,10.9994,10.8442,9.571,10.7778,10.7178,10.549,9.9755,10.4825,9.7966,9.3971,9.5292,9.4868,11.5384,11.9455,11.4344,11.1252,8.9223,8.6025,9.1657,9.8296,9.1026,8.2255,8.2544,8.3966,8.5124,7.7912,7.1,7.0696,6.0299,5.712,5.1304,4.913,4.1728,3.8539,4.0263,4.2756,4.292,4.0798,3.8262,3.7582,2.9304,2.8888,3.0147,3.2625,3.4966,3.5646,4.0278,4.093,4.1393,4.2222,4.0801,4.0354,3.0903,3.139,3.279,3.8738,3.9474,3.6528,4.166,4.4511,4.9764,4.9462,4.4788,5.1058,4.074,3.2179,3.1018,4.358,4.713
"San Francisco, CA",2.7703,2.7893,2.6554,2.4087,2.3314,2.3553,2.4867,2.2058,1.8816,1.6944,1.5532,1.558,1.5395,1.4025,1.5002,1.5682,1.3467,1.2371,1.1237,1.2809,1.2696,1.1349,1.0277,0.9991,0.9545,0.9076,0.8633,0.6711,0.6455,0.6973,0.6087,0.578,0.5577,0.5055,0.4287,0.3566,0.3376,0.2847,0.2675,0.2601,0.2535,0.2735,0.2626,0.2772,0.2371,0.2875,0.3443,0.3482,0.4222,0.4906,0.4617,0.4668,0.4675,0.3622,0.291,0.3152,0.3696,0.3912,0.4178,0.4793,0.5181,0.472,0.4438,0.4589,0.4505,0.5463,0.6082,0.5647,0.4751,0.4956,0.4724,0.6056,0.6791,0.5507,0.5194,0.5164,0.4379,0.4582,0.5052,0.4839,0.3873,0.3804,0.325,0.323,0.3285,0.3406,0.3791,0.3609,0.3217,0.2813,0.2412,0.2984,0.3215,0.2982,0.2753,0.2764,0.3868,0.372,0.4228,0.5041,0.5511,0.6178,0.7204,1.0056,1.1912,1.3883,1.6693,1.9893,2.7087,3.3573,3.9395,4.5083,4.7236,5.661,6.4635,7.4317,8.1751,9.4061,10.3719,11.3063,12.8182,14.5374,15.9293,17.1529,18.4006,21.0584,23.6211,25.9529,26.0857,20.5981,17.0028,18.1086,17.3533,16.0552,13.3666,11.9461,12.7347,16.3451,17.2668,16.2754,15.0763,15.7711,15.5572,16.1452,15.1264,14.6157,14.9333,15.799,14.9512,14.5846,13.804,14.4789,15.6909,15.9467,13.6137,12.1521,13.1725,13.9057,14.8726,14.3594,13.7193,13.5313,13.2202,13.3648,13.5994,12.7286,11.2612,11.0116,12.4507,12.1368,10.1552,8.5423,7.7657,7.3659,6.9281,7.1107,7.3017,7.219,6.6413,5.9935,5.6644,4.7566,4.231,3.9823,3.2223,2.535,2.4102,2.3472,2.4038,2.4513,2.3344,2.3041,2.4223,2.0653,2.0821,2.0204,1.7699,1.634,1.6906,1.5711,1.441,1.4912,1.4641
"Riverside, CA",15.5996,15.6297,16.9407,16.8935,15.6258,15.6562,15.755,14.8482,14.8487,14.0735,12.9008,12.8142,12.5178,11.595,12.3165,12.1359,11.0354,11.1649,11.0262,11.0448,9.9889,9.1661,8.718,8.5453,8.3385,8.4568,8.8698,8.7336,8.4696,8.5306,8.1327,8.0071,7.444,7.007,6.4221,6.1175,6.4679,6.0567,5.4943,5.4816,5.66,5.6608,5.7675,6.1616,5.4557,5.5054,5.2781,5.286,5.6048,5.4331,5.108,5.1127,5.1309,4.7898,4.7928,4.5561,4.2689,4.0362,3.3545,3.1094,2.9931,2.7804,2.4747,2.3276,2.302,2.369,2.4021,2.218,1.9293,1.9091,1.5472,1.5788,1.4289,1.292,1.1828,1.0582,0.899,0.8934,1.0191,0.8529,0.8024,0.7068,0.6399,0.5484,0.4629,0.4837,0.4712,0.4691,0.453,0.486,0.7577,0.6801,0.6193,0.5862,0.5795,0.675,0.7502,0.7137,0.8807,0.9864,1.2607,1.4532,1.9146,2.1177,2.6455,3.1839,3.651,4.6342,5.864,6.8404,8.563,10.5369,11.6988,14.2917,16.3212,18.8558,19.4201,22.6303,21.0325,25.8174,33.3849,37.0006,35.8282,38.4157,45.0566,51.2879,57.7715,61.4266,59.5206,46.5935,36.1504,34.1152,36.0545,38.8044,32.9398,27.6793,27.3,37.3525,41.9099,38.5993,34.6992,35.3155,34.0084,36.423,32.9852,29.7402,30.6233,34.8298,34.1667,32.6819,29.7788,30.3479,32.1197,31.1018,24.9039,21.5982,23.8521,26.2887,29.6143,29.1554,27.6617,28.9089,27.1023,26.1051,24.8109,22.715,19.9856,20.0168,21.8244,21.0394,18.3552,15.4306,14.2227,13.8727,14.0387,15.216,16.6601,17.1214,15.8881,13.4932,11.9409,9.4632,7.9438,7.8041,7.0976,6.0793,5.9796,5.7525,5.6692,5.9279,5.6714,5.5047,5.3653,4.6817,5.0741,5.2966,5.1676,4.9116,5.4178,4.9958,4.7555,4.4893,4.1719
"Phoenix, AZ",1.6384,1.5544,1.5341,1.6033,1.6808,1.9661,2.0548,2.1843,2.1508,1.931,2.0404,1.93,1.9758,1.9834,2.1,1.9562,1.9208,1.9482,1.983,1.9837,1.8823,1.6639,1.7016,1.6951,1.897,1.8148,1.7057,1.6018,1.4747,1.6331,1.7157,1.8884,1.8503,1.9216,1.8506,1.8316,1.9422,1.8385,1.297,1.5354,2.0535,2.3213,2.3523,2.4605,2.2393,2.5366,2.566,2.3804,2.7837,2.9699,3.1615,3.1839,3.4412,3.3539,3.3154,3.2497,3.2222,3.3379,3.0299,3.1592,3.3233,3.4185,3.3776,3.4033,3.5308,3.7349,3.9326,3.8925,3.9146,4.0059,3.6948,3.6447,4.0634,3.8893,3.9195,3.5841,3.3765,3.291,3.2116,3.0649,2.7186,2.3962,2.2453,2.1476,2.0811,1.86,1.7077,1.4164,1.2464,1.0115,0.8341,0.6937,0.5668,0.4963,0.4602,0.3988,0.4265,0.417,0.3728,0.3644,0.425,0.4665,0.4975,0.646,0.853,1.0461,1.3965,1.8458,2.745,3.2447,4.2525,4.6019,4.9186,5.6996,6.8848,8.8242,9.2683,11.143,12.1711,13.7931,16.7567,19.4194,19.1206,21.9813,26.1108,30.5526,34.6138,35.9987,37.6633,39.3343,37.088,35.2967,35.5991,40.9948,36.6252,31.1103,30.6835,37.9967,43.8605,40.635,35.9681,38.6287,37.337,41.6738,41.0965,40.0783,43.6457,42.1385,39.4216,40.1478,42.5929,44.628,45.6976,42.0933,32.396,29.8138,35.084,40.1096,44.4472,44.0182,41.5013,38.1096,33.237,31.4494,27.9642,23.9505,22.1694,23.44,23.6862,21.556,19.6477,17.5771,17.7704,16.9703,17.5654,20.7851,19.477,18.2483,16.4672,13.9518,11.8272,10.6587,10.0821,9.832,9.9088,8.1648,7.8641,7.3555,7.0741,6.7653,6.2511,6.1039,6.1379,5.738,5.4174,4.7873,4.6252,4.4007,4.5571,4.3299,4.1856,4.4216,4.0005
"Seattle, WA",1.3794,1.3439,1.366,1.2976,1.3451,1.5445,1.3627,1.2894,1.3061,1.394,1.2877,1.342,1.3541,1.2609,1.2208,1.2287,1.1534,1.1512,1.3963,1.3167,1.4458,1.431,1.5204,1.5604,1.5237,1.4047,1.4139,1.2218,1.3133,1.4465,1.6165,1.6917,1.7201,1.5537,1.5771,1.7146,1.7659,1.7845,1.3804,1.0908,1.2509,1.615,1.6554,1.8233,1.7591,1.8951,2.0109,2.0849,2.384,2.5206,2.5606,2.5759,2.7384,2.6579,2.7396,2.856,2.8685,2.9357,2.8257,2.7574,2.6812,2.5515,2.5603,2.3623,2.3089,2.5148,2.7736,2.9415,2.9188,2.7186,2.5564,2.7622,2.957,2.9563,3.0597,3.0107,2.4962,2.411,2.5476,2.5393,2.2199,2.075,2.0143,1.9373,2.0779,1.9453,1.9114,1.7321,1.7739,1.5785,1.4087,1.2132,1.15,1.1609,1.082,1.1516,1.2718,1.0735,1.0723,0.9095,0.9437,1.0247,1.0743,1.0357,1.0117,0.9415,0.9817,1.1641,1.379,1.3457,1.2952,1.2305,1.259,1.4602,1.7112,1.8571,1.9599,2.1203,2.1847,2.4243,2.9366,3.2962,3.2732,3.3558,3.613,4.2405,5.0872,5.2424,5.9239,6.5819,6.7389,6.3426,6.2152,6.7716,6.3581,6.0048,6.2632,7.3917,8.843,9.3603,9.2819,10.6686,10.0345,9.8915,8.7643,8.5461,7.9968,7.952,7.8442,8.8095,10.4967,13.0914,15.0428,15.1654,12.9115,12.006,12.4705,12.8062,13.407,13.189,13.3029,12.5433,13.0213,13.2107,12.733,11.273,10.7224,10.7725,8.9496,7.1878,6.0591,5.8682,6.2662,6.6437,7.2069,7.9489,8.4695,7.8578,8.9144,13.043,16.1269,15.7255,15.7081,17.8058,17.3,15.5396,16.1064,15.7946,14.3685,13.6736,11.2572,9.1412,9.3638,8.5399,7.2186,6.9331,6.692,6.6234,6.782,6.3922,6.2078,6.2617,5.7935
