"RegionName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",1495,1475,1500,1500,1500,1500,1195,1200,1200,1197,1200,1225,1265,1300,1475,1500,1500,1468,1475,1400,1300,1295,1300,1300,1300,1350,1400,1450,1400,1395,1375,1350,1330,1339,1345,1295,1350,1450,1425,1445,1400,1495,1475,1500,1600,1520,1600,1568,1595,1600,1700,1700,1700,1550,1500,1500,1495,1471
"New York, NY",2000,2150,2250,2300,2350,2300,2155,2200,2200,2195,1995,1950,1950,2100,2250,2300,2250,2395,2490,2300,2300,2350,2395,2399,2450,2495,2500,2595,2595,2600,2600,2630,2650,2650,2650,2585,2649,2699,2700,2795,2795,2700,2750,2795,2800,2700,2700,2675,2700,2795,2750,2795,2850,2400,2375,2395,2395,2350
"Los Angeles, CA",2200,2200,2250,2300,2300,2300,2000,2000,2000,2000,1875,1850,1878,1900,2030,2100,2250,2200,2150,2050,1950,1800,1800,1800,1800,1800,1805,1850,1845,1800,1800,1850,1785,1750,1700,1700,1795,1950,1855,1900,1883,1890,1850,2000,2000,1800,1975,1925,1900,1995,1995,2070,2100,2150,2180,2195,2175,2180
"Chicago, IL",1250,1250,1250,1250,1250,1275,1200,1215,1295,1300,1300,1300,1310,1300,1369,1400,1450,1425,1400,1400,1400,1386,1395,1395,1375,1375,1350,1395,1400,1425,1435,1450,1451,1425,1450,1448,1500,1500,1500,1500,1535,1558,1550,1545,1500,1503,1570,1500,1475,1500,1500,1547,1590,1638,1550,1641,1631,1579
"Dallas-Fort Worth, TX",1250,1275,1295,1295,1250,1250,888,897,917,919,929,950,995,1005,1195,1200,1225,1250,1150,1100,995,900,966,944,960,989,950,1010,1040,1025,1020,1020,1005,1016,1065,1099,999,1150,1075,1029,1095,1141,1195,1250,1250,1225,1230,1253,1250,1295,1295,1295,1312,1325,1300,1285,1295,1300
"Philadelphia, PA",1350,1375,1395,1400,1400,1400,1230,1240,1240,1220,1200,1200,1200,1200,1325,1350,1375,1395,1350,1350,1275,1250,1288,1260,1285,1300,1300,1325,1300,1300,1293,1250,1230,1200,1200,1200,1250,1300,1295,1325,1300,1300,1300,1300,1295,1275,1275,1250,1250,1286,1335,1396,1400,1400,1365,1320,1318,1325
"Houston, TX",1400,1395,1450,1400,1400,1400,959,965,959,969,985,995,999,999,1150,1193,1250,1250,970,950,910,950,950,930,1085,1095,1060,1100,1104,1150,1150,1150,865,1125,1160,1050,1050,1250,1270,1225,1146,1230,1260,1350,1350,1325,1250,1370,1220,1259,1425,1475,1500,1500,1475,1460,1450,1450
"Washington, DC",1650,1695,1700,1700,1795,1795,1699,1680,1690,1675,1695,1697,1690,1695,1780,1800,1895,1900,1900,1925,1880,1766,1785,1778,1778,1800,1820,1870,1877,1850,1800,1800,1800,1800,1821,1819,1825,1887,1829,1754,1795,1829,1887,1900,1875,1850,1800,1800,1800,1822,1845,1899,1919,1950,1950,1900,1855,1855
"Miami-Fort Lauderdale, FL",1599,1550,1600,1600,1600,1600,1595,1520,1550,1500,1600,1600,1600,1600,1600,1650,1700,1675,1690,1650,1650,1600,1600,1600,1600,1600,1600,1599,1600,1600,1600,1600,1575,1575,1550,1600,1600,1640,1650,1678,1700,1800,1795,1800,1800,1800,1850,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
"Atlanta, GA",1150,1180,1195,1200,1200,1200,1000,1050,1000,1000,999,995,1000,1000,1100,1132,1150,1100,1100,1085,1004,995,1000,980,985,975,965,995,995,995,995,995,975,950,950,930,935,1000,995,1000,1000,1000,1000,1050,1050,1039,1050,1050,1050,1075,1089,1100,1100,1100,1100,1100,1100,1100
"Boston, MA",1200,1200,1200,1250,1450,1400,1605,1600,1610,1612,1650,1700,1795,1750,1800,1800,1775,1850,1850,1850,1800,1795,1795,1850,1880,1900,2020,2100,1995,1950,1850,1850,1845,1850,1890,1995,2000,2088,2000,2050,2075,2200,2150,2110,2100,2150,2100,2150,2200,2200,2290,2250,2300,2300,2300,2200,2195,2200
"San Francisco, CA",2250,2399,2550,2700,2700,2800,1590,1600,1561,1550,1585,1620,1689,1700,1750,1775,1895,1950,2000,2000,1958,1930,1895,1895,1895,1975,1875,1880,1950,1950,1900,1895,1872,1915,1900,1895,1940,1995,1959,2000,1995,2084,2034,2295,2295,2200,2400,2350,2300,2370,2560,2650,2625,2600,2700,2795,2750,2750
"Detroit, MI",1000,1100,1100,1100,1100,1125,950,950,950,950,900,895,895,900,1000,1050,1000,1050,1050,1000,795,795,800,825,825,825,830,850,800,810,850,850,845,825,795,750,800,850,800,800,800,800,800,850,850,850,850,850,850,850,850,850,850,850,875,875,875,875
"Riverside, CA",1650,1695,1695,1700,1750,1750,1500,1500,1525,1550,1425,1450,1550,1550,1700,1695,1700,1625,1600,1550,1500,1425,1450,1435,1400,1400,1395,1395,1400,1400,1395,1395,1395,1395,1363,1350,1399,1500,1450,1495,1425,1450,1495,1539,1525,1450,1495,1465,1450,1500,1490,1550,1550,1500,1500,1550,1500,1500
"Phoenix, AZ",1250,1250,1250,1250,1200,1200,995,995,1000,999,975,950,925,950,1095,1095,1100,1050,1025,1000,1000,995,995,995,975,975,981,995,995,995,995,975,950,950,950,945,970,1050,1015,1045,1045,1000,999,1069,1075,1050,1075,1075,1075,1100,1100,1175,1175,1150,1150,1165,1150,1175
"Seattle, WA",1125,1450,1450,1450,1450,1499,1235,1235,1225,1225,1259,1250,1250,1255,1380,1395,1450,1450,1395,1395,1350,1295,1290,1275,1239,1225,1235,1250,1260,1295,1300,1295,1295,1285,1250,1220,1260,1350,1350,1375,1395,1395,1445,1500,1500,1495,1500,1480,1480,1500,1550,1580,1595,1600,1599,1600,1595,1595
"Minneapolis-St Paul, MN",1400,1400,1395,1395,1395,1400,960,970,975,975,1000,1020,1025,1035,1195,1250,1295,1295,1290,1250,1195,1150,1175,1150,1100,1125,1125,1150,1170,1195,1195,1200,1195,1175,1160,1120,1195,1275,1230,1245,1250,1245,1250,1290,1260,1295,1295,1295,1295,1345,1299,1299,1300,1295,1300,1305,1299,1295
"San Diego, CA",2750,2600,2600,2500,2500,2600,1737,1799,1793,1760,1660,1650,1740,1750,1895,1995,2000,2000,1950,1950,1907,1800,1800,1769,1700,1715,1695,1695,1750,1747,1725,1730,1625,1625,1600,1610,1645,1800,1750,1750,1775,1700,1749,1950,1892,1750,1855,1895,1875,1987,1995,2090,2095,2050,2095,2100,2095,2100
"St. Louis, MO",1100,1150,1150,1017,1000,1100,865,875,870,865,840,815,825,850,900,925,900,895,850,850,875,850,855,925,890,875,850,875,875,875,855,825,825,825,824,810,826,850,850,850,850,850,850,875,850,850,875,850,830,870,866,850,865,895,875,875,865,850
"Tampa, FL",1100,1100,1100,1100,1100,1100,985,995,1000,995,995,995,1000,1000,1095,1100,1100,1095,1095,1050,1025,999,1000,999,995,1000,999,1000,1000,1015,1000,1000,995,1000,995,979,998,1100,1065,1100,1100,1146,1200,1195,1195,1125,1175,1150,1150,1199,1156,1200,1200,1200,1200,1200,1200,1200
"Baltimore, MD",1500,1500,1500,1575,1550,1575,1375,1360,1350,1350,1350,1345,1310,1300,1370,1400,1450,1450,1475,1400,1345,1350,1395,1395,1350,1350,1300,1300,1350,1350,1400,1400,1373,1369,1318,1355,1359,1385,1400,1425,1400,1395,1400,1450,1411,1400,1500,1450,1450,1450,1477,1500,1550,1550,1565,1500,1495,1477
"Denver, CO",1700,1600,1500,1550,1295,1295,975,991,995,995,1000,1017,1045,1060,1200,1250,1295,1295,1250,1250,1225,1175,1180,1125,1095,1110,1140,1180,1175,1185,1195,1199,1150,1130,1115,1115,1150,1250,1220,1200,1160,1250,1295,1350,1369,1350,1309,1290,1339,1369,1369,1400,1405,1486,1495,1525,1550,1550
"Pittsburgh, PA",1500,1600,1700,1500,1350,1350,900,910,930,930,850,850,800,795,725,756,775,789,750,750,725,700,749,800,800,810,825,825,800,795,795,790,775,775,775,795,850,990,995,950,900,950,900,950,900,825,895,925,925,950,995,1000,1000,1050,1045,998,995,975
"Portland, OR",1295,1300,1250,1350,1295,1295,895,905,925,893,920,945,955,975,1050,1100,1200,1250,1200,1200,1175,1095,1100,1095,1065,1095,1095,1112,1099,1138,1135,1195,1100,1082,1035,995,1045,1150,1083,1100,1190,1200,1204,1295,1275,1195,1175,1150,1150,1195,1205,1242,1280,1300,1325,1305,1300,1325
"Sacramento, CA",1100,1100,1100,1100,1200,1250,865,860,858,865,975,1050,995,1000,1150,1195,1200,1238,1200,1195,1150,1100,1100,1095,1050,1025,1092,1095,1100,1095,1186,1195,1195,1185,1100,1050,1145,1200,1190,1200,1195,1177,1200,1200,1200,1195,1195,1250,1225,1250,1250,1295,1295,1299,1300,1340,1350,1350
"San Antonio, TX",1100,1100,1125,1095,1025,1125,822,820,822,820,800,817,895,900,1019,1095,1100,1150,1100,1075,950,905,925,930,995,985,950,975,989,995,1000,995,950,950,919,874,900,899,956,921,950,950,950,999,999,999,1050,1095,1099,1150,1125,1188,1225,1250,1200,1199,1195,1195
