"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",79.3958,80.6125,81.5876,81.8509,81.7643,81.6583,81.9178,82.9296,83.7255,80.9748,78.2889,77.1945,78.2103,79.4536,80.7616,81.4296,82.3937,82.6511,83.1713,83.2673,82.556,81.8139,82.6089,83.7316,84.5724,85.6778,87.0563,88.305,88.9251,88.7855,88.3611,87.6845,87.0578,87.6039,87.9217,88.8095,90.1368,91.0104,92.0677,93.0699,93.4999,94.2232,94.1055,94.1491,94.1099,94.752,95.5673,97.0764,97.9154,98.7978,99.7681,100.7633,101.9099,102.9977,103.4708,103.5035,102.8537,101.7859,101.9981,103.9052,104.1665,104.225,105.944,107.9197,109.6411,109.2483,108.1149,107.773,108.2927,109.64,111.0979,114.202,116.4736,117.8946,118.4584,119.7535,121.4177,121.8833,122.4646,122.8098,123.398,123.4739,123.5692,124.0895,125.7547,128.2823,131.081,133.3562,136.5025,136.7553,136.9289,137.5874,139.5128,139.5379,140.2431,142.3191,146.2924,150.5019,153.6512,155.194,155.9228,157.1028,157.5257,159.1985,161.892,163.7131,166.6605,170.402,174.5036,177.5179,180.5276,182.3014,184.0501,185.1152,185.2934,186.9851,187.9947,188.9061,189.1515,191.946,193.4178,193.9785,193.1285,190.4692,189.7638,189.8327,190.4886,191.7985,193.4973,192.8622,194.4074,196.9521,196.7021,195.3029,193.7523,192.2312,192.1722,189.0854,185.2028,183.6427,181.8446,179.8154,178.4004,176.9884,174.6368,172.8443,172.8784,173.5909,173.835,171.163,167.5874,163.202,161.8832,157.1496,151.1602,148.5086,146.9953,146.4861,149.5185,149.324,148.927,151.5998,148.3055,146.6287,146.9066,146.0837,142.7673,141.6142,140.8528,142.7783,143.7292,144.9997,144.2694,142.4364,141.5096,139.1077,138.6595,134.5326,131.3842,128.1039,127.8121,130.5006,133.6788,133.9345,132.1985,129.2796,126.2009,125.9308,124.6101,120.4595,117.039,118.674,122.4111,126.6602,129.9579,131.9335,133.3194,133.0902,130.2202,131.956,134.6313,130.886,127.416,128.4718,132.4928,137.3984,142.9449,146.4994,147.6141,146.404,145.5774,145.15,145.0581,144.2296,143.2099,143.1343,146.0752,151.2923,154.1732,154.4035,153.534,150.6317,148.978,149.0928
"New York, NY",134.3005,140.9848,133.892,136.5969,143.1002,144.6549,137.127,153.5417,164.5232,148.7416,140.065,143.7606,145.454,136.2368,127.1658,125.6816,128.8708,127.5835,128.3659,127.7635,132.1803,134.2249,145.1307,147.6598,142.8181,139.509,,193.4077,,213.2815,186.5447,186.4374,170.4042,159.7686,147.7906,141.9807,148.4834,152.5845,156.1086,156.9205,159.9672,159.4361,158.1665,160.4519,162.6811,158.9239,156.7522,164.3265,164.7519,156.7956,150.0352,153.198,149.6949,153.4295,157.9782,155.5654,151.5493,146.5497,153.1859,161.7151,155.3558,141.4772,134.5583,131.5574,131.9502,131.8025,135.6969,137.4894,139.6446,139.8835,146.3862,143.7235,145.5976,151.1493,153.1885,156.0932,159.1673,160.2993,159.3781,161.092,162.3141,163.8883,160.6518,163.3103,168.899,171.4459,181.3047,189.7458,198.2321,209.7373,205.7902,204.078,209.0022,241.2094,267.9628,292.2872,290.5441,309.1553,278.2435,293.0941,339.4651,346.1342,325.6582,313.5988,323.2925,360.5689,388.1719,432.1279,427.2525,419.9718,403.4881,397.1136,387.5046,362.1153,369.9832,364.0351,364.9052,368.034,382.4441,427.2465,448.441,480.9373,449.3812,470.1716,461.556,470.7926,467.5263,447.9411,445.3281,442.2277,453.8324,482.1628,524.196,568.9049,558.986,620.8008,619.8599,598.1284,566.1772,551.5886,546.9105,575.7489,649.8139,760.1172,738.5691,736.2108,682.8935,732.5479,828.9583,816.6537,788.7504,763.2016,781.3898,710.17,669.8442,613.9656,581.4606,516.5036,485.6536,426.7571,418.6641,478.1459,463.9638,436.0712,447.4639,451.7546,483.42,500.0047,507.6035,502.9407,484.2757,469.8738,488.1783,488.7389,438.8191,459.5368,455.9649,476.4077,505.5855,503.4151,512.4921,520.2541,526.1717,537.3748,542.3563,512.8994,471.8126,458.9806,434.3548,402.8719,391.2178,411.8153,409.2675,423.6493,460.6884,485.7793,471.1687,443.0384,434.6058,459.4607,432.7276,434.7303,447.5568,461.7386,482.1729,469.8915,470.3207,460.2347,481.5129,504.6056,510.336,488.8562,470.6437,518.0664,535.1486,517.392,499.992,519.9858,497.0902,473.4633,465.4301,477.843,475.3154,494.8511
"Los Angeles, CA",105.7613,105.2136,106.7254,106.217,105.9776,106.918,106.7556,105.8992,105.0588,103.555,103.7688,104.7654,106.4966,107.8799,108.4476,108.8687,109.3566,109.693,110.5085,112.0673,113.5657,114.0509,114.7469,117.5936,119.1147,121.4611,123.6579,125.9856,125.9479,126.0902,127.0944,127.4762,127.5433,127.0815,126.0786,127.4548,129.4511,131.5086,133.5689,133.6379,132.6532,132.6855,132.8075,135.2977,134.9364,134.8851,136.7667,139.1725,141.2397,141.7642,144.4307,144.413,146.7499,147.913,148.8258,150.35,151.2895,151.2944,152.4069,154.3993,156.3393,158.4179,160.3054,161.3346,162.3867,163.8641,163.751,165.4707,165.896,168.228,170.1755,174.6868,179.2282,183.6126,187.9127,191.0778,194.4237,197.4158,197.9269,200.9013,202.5825,203.7532,207.7573,212.0165,215.83,222.1328,227.4037,232.6833,238.3146,241.9111,243.8856,249.7617,252.2096,255.4733,261.1528,271.2912,284.3663,295.4635,303.0037,304.2085,304.3801,304.2316,302.0721,301.9942,303.9642,305.2547,313.3063,322.0962,331.1509,341.5867,348.7457,354.7792,359.5515,364.3752,366.3493,371.5606,371.3918,372.1651,374.2756,377.4475,381.2996,385.0886,384.1141,381.9004,378.235,375.0379,371.8988,370.0565,369.0026,367.7167,369.3372,376.9191,382.365,385.0005,385.7731,388.2767,388.5179,387.1295,379.8322,374.2138,365.8764,353.7142,345.2695,342.2348,343.1328,338.3681,333.29,326.3203,318.8313,312.4962,308.9543,299.0938,287.5161,282.2876,276.4962,278.3282,274.4856,277.3239,282.2268,286.0278,284.8677,285.3324,286.9299,284.0923,283.3772,278.504,272.6952,272.1519,267.9806,268.0713,267.4514,268.5883,267.6077,265.2277,264.3578,259.2324,257.2309,254.1875,251.8402,251.0204,248.2721,248.9772,250.6847,248.3049,248.386,242.9932,237.3162,233.794,228.8805,225.4779,228.1927,233.9354,237.8077,236.405,241.1991,245.5181,243.8564,246.1331,248.5026,249.7114,250.1956,255.0335,254.7489,266.2611,280.909,297.0421,305.0982,310.0723,311.1287,312.4361,312.73,311.7135,310.3352,302.0632,309.3137,318.3319,322.9869,324.4149,325.4774,325.9357,324.9094,325.1693,326.6429,325.9408
"Chicago, IL",90.0364,89.437,90.7693,91.444,91.5352,90.6866,90.9518,89.7014,89.6138,89.7814,89.1988,90.4308,89.7744,91.405,92.4495,94.0973,94.0904,93.4437,92.9028,93.4521,93.8127,93.6019,93.6448,94.8699,94.2148,94.4324,95.712,96.07,95.4131,95.6693,96.0199,95.6945,96.4039,97.8827,97.3563,96.5928,96.0883,96.843,98.5,99.1884,99.7584,100.0651,102.1356,102.6741,102.5782,100.606,102.4165,102.1977,103.9446,104.438,105.3219,106.0393,107.5704,107.7147,108.1659,107.9551,108.5178,110.2289,109.9164,111.0126,112.2614,113.3758,115.4333,117.3687,119.2659,121.1997,120.9708,119.4816,117.8473,118.1972,118.9092,121.0568,122.1283,123.3939,125.1782,129.224,131.1703,131.6994,131.0402,130.9196,131.2855,132.0529,132.323,134.0197,135.1344,136.1868,140.2541,140.2798,140.2419,139.9668,139.9314,139.9986,140.7685,141.2586,143.4825,142.3471,143.0963,144.5847,147.7629,149.0262,151.1935,150.7192,152.2293,151.4249,152.5949,152.2087,151.8362,153.1986,157.3809,159.9242,161.735,164.1459,163.6438,163.8025,163.207,162.8822,162.2959,164.5343,164.4796,165.6035,165.8157,166.8549,164.9007,164.8492,167.7291,168.3887,170.4671,167.7218,168.4319,168.6243,166.7581,166.5851,167.8611,170.8103,173.1097,172.7201,172.0482,170.1735,167.1566,163.5419,161.5342,159.5632,160.5442,165.421,167.3846,169.1674,167.3645,168.6407,170.4333,169.8987,169.1126,163.4861,158.5079,151.8588,147.2646,151.2047,155.0909,157.0974,156.3738,153.5455,151.2726,150.8787,146.0243,143.4403,139.5288,144.0897,143.1109,140.0364,139.9629,138.6012,137.8092,139.6212,139.7338,135.53,135.4591,131.576,130.8851,131.4091,131.1332,129.7855,127.4919,128.4187,132.6118,131.2023,132.1645,131.2842,123.3211,117.2822,113.6604,110.3866,105.8349,107.951,109.5361,109.1502,112.404,113.2732,114.2725,114.8647,109.474,106.7222,103.3557,103.4649,100.9248,100.1103,102.7482,108.0966,117.3543,125.9298,124.7313,120.8075,121.0812,118.8146,117.3599,119.1824,117.9304,115.6499,121.3808,125.7783,131.6421,134.2,134.4314,134.8251,131.8128,128.0313
"Dallas-Fort Worth, TX",,,,,,,,58.0464371497198,53.8528,50.5925,52.0978,53.7501,55.0887,53.7421,52.7806,54.7131,55.1812,55.7802,54.923,54.1264,54.8767,53.7045,58.2924,58.5933,60.0971,58.187,58.2133,55.872,55.2085,55.6117,59.2005,57.9003,57.7012,58.5024,60.1636,61.4995,59.9767,60.3273,61.8124,63.0784,63.0441,62.5553,64.1541,64.7775,64.2889,61.4924,60.5212,63.9976,68.811,68.1685,66.2097,65.798,66.8375,66.5225,68.8941,68.1849,65.9388,65.4885,67.7299,71.8499,73.4325,72.5121,73.4801,74.7356,72.6718,69.0615,70.9774,74.0931,77.5392,76.1744,76.1519,76.3358,77.2282,76.1732,75.718,75.5525,77.1936,77.015,77.4224,80.9197,82.3347,81.6761,82.8013,85.0884,83.972,83.415,84.5879,83.7897,82.7844,83.4595,80.3139,79.1595,80.2219,81.7869,90.0604,92.4448,91.9548,89.215,89.9702,89.1819,89.7752,88.1222,87.1012,88.4449,92.8868,92.2715,89.1996,93.1282,95.4273,95.7986,95.509,96.5437,94.7204,93.2254,91.9873,91.0867,93.4136,92.3687,93.0808,92.0594,93.5604,96.7408,99.935,99.1987,100.11,99.1441,97.3774,97.628,101.4734,102.03,102.4022,102.536,106.8109,107.7224,106.5556,105.6768,106.9666,106.3503,109.3893,110.6417,110.3906,105.0313,100.3378,101.6804,105.1224,105.0956,103.7645,103.5903,102.811,100.0653,100.1528,99.0295,99.2815,98.4935,96.0305,97.7167,96.4606,101.3658,102.7418,97.9012,95.1239,94.958,94.0427,93.6242,94.0308,96.0069,94.7419,95.5663,97.2407,95.5935,94.2885,93.4393,90.249,91.8551,94.9011,93.6983,94.0223,89.5717,89.3945,86.3328,87.5755,91.6232,90.7918,90.2937,87.447,84.1971,83.1892,83.2889,81.6687,81.0096,83.3532,87.1458,91.9354,95.7219,95.981,94.4612,93.0613,94.4338,98.8116,100.6072,101.1744,98.3041,98.5168,102.1144,106.3399,107.9984,109.4068,109.1557,107.5377,106.0202,105.4073,108.8313,111.7406,106.1015,104.9076,105.8228,109.3049,110.4814,111.64,113.3805,113.5515,114.5872,115.5937,111.9527
"Philadelphia, PA",46.2243,47.3191,47.731,46.6247,47.6996,48.7097,49.2659,54.3336,53.7403,51.0826,47.3917,47.6493,50.0702,51.206,52.6249,52.383,53.075,54.8997,54.2796,54.2752,51.5409,48.5902,48.8361,49.1419,49.9682,51.7335,53.3024,55.4904,56.2614,57.7204,58.2641,57.3526,57.0458,56.7975,54.8958,54.3195,55.9789,58.1286,58.4332,58.4998,59.0186,60.4928,60.1553,59.3011,59.0632,57.8298,56.3072,55.0054,56.2248,58.1705,58.7306,60.8101,61.4447,62.546,59.2739,56.4603,54.966,53.2952,50.5892,50.2402,52.5115,54.7625,56.6867,61.9538,65.2538,65.4511,63.3208,61.8538,61.9341,61.4044,59.3305,59.8412,62.7533,65.5366,67.3014,70.2454,71.7876,73.4854,72.5552,71.3743,70.218,71.0803,71.552,69.709,73.731,77.7904,83.0934,85.4597,87.9465,87.0416,87.1078,85.3829,84.915,87.425,88.7731,88.2995,90.7734,96.1082,96.8204,100.5807,102.3777,102.1502,100.7491,98.1975,98.8082,101.4576,105.1135,106.7111,107.4415,108.1556,112.8289,118.967,124.2071,124.0336,122.0343,120.5783,118.4772,118.1452,119.3914,119.1056,119.5059,121.9233,126.4934,128.4596,131.1906,131.1277,127.5775,123.5857,122.3923,124.2313,123.7099,126.0095,129.4392,134.5646,140.5457,142.6309,141.8299,137.1703,135.5865,133.8872,130.6202,128.5747,123.6008,124.5538,128.118,132.968,136.357,141.2638,141.4765,137.6842,137.9044,134.2185,130.1964,121.915,115.1715,116.2689,122.1163,123.9753,125.2324,130.7468,135.3747,134.2681,131.3205,130.6118,129.1946,122.1497,120.5698,122.4608,124.3349,127.6682,131.55,131.1624,123.7163,120.3269,116.6554,115.3758,111.9364,114.0759,107.9596,102.7759,106.4208,111.2323,118.0678,119.6293,121.9812,118.9916,115.7618,111.0233,109.7148,107.5733,107.9577,102.5284,105.1554,108.0447,111.1226,116.3375,120.8662,116.1621,112.5046,114.9844,117.7713,117.3666,115.3293,116.905,120.5323,124.5468,127.8526,131.3262,132.327,129.4541,126.8594,123.3683,120.1721,117.2317,114.1272,115.1499,116.8469,122.5742,129.0653,129.0571,131.375,128.096,123.9533,120.389
"Washington, DC",93.8959,94.6707,94.4487,95.1911,95.3717,95.0648,94.7773,93.4757,92.9644,95.1443,99.4736,98.6277,96.7254,95.4462,95.5825,95.7692,96.8853,96.63,95.7007,97.9608,96.4746,95.3511,94.9679,94.5847,94.926,96.2142,96.8638,98.2775,97.9484,97.2465,96.7606,95.6715,96.0886,97.1253,97.3471,98.6366,99.6077,99.5576,99.9801,102.3041,102.2987,101.5591,99.8413,99.7837,101.1746,100.5194,100.3745,100.1618,101.501,104.2992,106.7534,109.1252,109.705,109.0116,109.0501,109.5136,109.9941,109.155,108.9199,110.1701,112.7503,114.9662,115.559,118.8398,120.322,119.1083,118.167,118.5078,121.2729,121.0405,120.4432,123.5772,125.8712,129.6782,131.6361,135.7452,139.4314,141.7777,142.0932,141.6164,142.5792,142.3823,144.2418,145.2049,149.8212,152.0185,156.1649,159.6327,163.5985,164.1995,163.6682,164.3137,169.4254,173.0898,171.8349,173.1789,181.7691,192.0175,199.6191,204.8999,207.1274,209.314,209.0514,213.739,219.2825,221.2982,222.2386,231.845,240.4893,249.527,256.3394,264.0987,268.0064,264.7983,260.3745,258.3507,257.0957,252.6078,252.7726,255.7527,261.6751,263.9555,264.887,264.6383,264.4377,260.8764,258.608,257.2932,257.8447,255.1132,254.7988,257.963,260.4178,262.5444,263.3317,265.1261,266.1139,258.9456,250.9016,244.4475,242.1166,243.8386,246.0469,241.7249,241.0255,242.3602,244.7514,241.7353,238.0111,229.5661,220.7376,217.105,209.7199,205.1947,200.2372,204.8941,207.5155,208.6447,211.3331,220.9386,217.6614,215.6392,213.9109,212.1755,208.0755,206.8305,205.9151,211.6571,214.4535,219.1,218.3527,219.2536,221.6675,220.257,219.5492,218.0607,231.3027,221.4848,209.528,206.5687,210.4726,214.6776,216.2764,218.3747,220.0512,220.796,213.1911,208.8595,205.5135,200.3611,197.8301,215.906,220.6113,223.6772,224.2343,229.2677,227.6844,226.4665,220.5986,221.3872,222.7064,218.7456,217.2024,218.5977,224.0511,234.0049,242.3474,246.3293,246.9516,238.5032,236.5501,238.6827,239.1137,233.7016,232.2037,235.9143,241.158,247.0426,247.1273,248.3476,246.7286,241.7598,240.9403,242.3811
"Miami-Fort Lauderdale, FL",59.2734,60.2383,61.2046,61.7514,61.2115,61.9456,62.4147,63.0598,61.9534,59.8326,59.8499,59.0583,59.7092,60.4226,61.9835,63.287,62.736,62.4526,63.0144,63.5454,63.5579,62.5729,62.406,62.5628,63.0955,63.7828,65.0332,64.6516,64.6733,65.3305,66.0317,65.4315,65.8263,65.8986,65.5251,65.1458,65.5774,66.0145,66.7587,67.0533,67.0816,67.7984,68.6085,67.3514,67.2337,67.9111,68.5037,68.6302,69.1263,70.5195,70.8766,71.1073,71.2859,71.5913,71.5554,71.6568,71.8506,72.2257,71.9507,72.1848,73.2956,75.9145,77.934,79.1273,80.5131,81.4928,81.917,82.5507,82.6964,83.4715,84.3531,86.1553,88.1828,89.2988,90.0945,90.5257,91.5616,93.343,95.7363,97.5395,99.0158,99.5824,99.9873,100.031,100.784,101.3838,104.1855,107.0962,109.4374,111.0953,112.5423,114.1807,114.8538,115.7224,117.3414,120.3965,123.6371,128.9378,134.151,135.193,136.7562,138.7585,139.8634,143.516,147.841,151.3236,154.7964,159.7211,165.7386,169.2532,173.1283,177.0564,181.7202,185.9443,189.7248,193.2892,196.3041,202.973,208.3948,209.1559,209.0201,207.3982,203.6728,204.0473,205.2131,206.5886,208.0154,209.4618,212.0424,211.5209,209.8315,208.1537,206.3372,205.9019,206.6196,204.8053,203.8457,201.3027,197.9279,191.307,188.6615,195.5713,196.9959,186.1853,172.2858,161.8073,158.7894,159.6283,157.521,148.9344,141.7464,132.7938,130.726,120.3175,111.2317,102.233,98.2767,99.3298,102.1975,104.2231,102.8594,114.7494,112.4435,117.9145,117.851,107.7959,101.9038,99.9214,95.8977,97.2825,96.6235,101.6132,95.8616,92.1162,87.9394,87.1166,86.0984,82.9548,84.9928,81.8309,82.9068,85.8138,87.6734,86.3149,85.7677,82.521,81.9668,82.6518,83.3598,80.6045,80.0871,81.0714,82.2475,85.5486,88.7657,90.7094,91.2661,93.5117,92.023,93.4995,101.4813,97.1993,91.2319,91.3685,94.9302,101.818,105.6241,106.3866,108.0212,109.5135,111.3983,111.1299,113.6978,113.9819,114.4967,116.5816,116.4223,120.8832,124.4128,127.3575,125.0776,123.11,124.6252,127.0088
"Atlanta, GA",57.2873,57.8666,58.5894,58.5111,57.176,58.377,59.2704,61.7545,64.1972,62.4753,63.9616,64.7634,62.9846,62.5201,64.1333,65.5444,66.4135,67.3509,67.699,68.0492,68.4977,71.9691,77.5247,80.6251,79.0464,77.7888,76.6799,81.1879,83.9579,83.8287,84.4847,81.1787,79.8838,80.9548,80.9696,81.2487,84.2011,86.3309,88.452,92.4003,94.7563,94.4387,92.3786,91.9886,104.5037,107.4508,111.1822,109.0415,111.8121,107.5158,108.2986,111.8872,111.0742,112.9199,115.4811,112.7827,110.5871,104.4711,112.3778,116.0658,115.8273,112.9596,115.0958,114.6065,114.8533,114.042,111.5598,110.9068,110.8839,114.0619,113.9845,118.9127,118.9017,119.472,117.8449,117.8391,119.3363,114.8254,113.8709,115.2729,121.8326,117.8931,117.6634,118.3352,119.1469,118.5639,121.357,119.4036,119.1337,117.3297,113.4836,115.5233,111.6659,114.423,113.983,115.6302,114.4995,117.5278,117.1972,117.5571,118.3083,117.5636,116.0098,117.2891,118.5294,119.5759,118.0475,117.571,116.3263,116.8155,117.5763,116.0631,115.1373,113.7335,112.8696,111.6566,111.0164,109.6443,114.2529,118.5408,117.839,116.6229,117.7806,116.5633,115.2426,114.9783,115.9211,114.5609,114.9846,116.5679,118.7399,120.7735,121.625,120.4235,120.9489,119.9192,119.8408,117.5473,115.6546,119.011,120.742,120.2687,117.5295,117.567,118.6837,119.2069,116.6875,115.025,114.6751,112.625,110.3313,115.3772,112.4878,107.0046,108.0538,111.6462,110.5318,110.4023,116.9686,122.492,121.402,107.6237,105.259,102.8246,109.4204,107.1574,102.7873,100.6922,103.9555,106.9303,104.6687,112.5873,109.2326,99.0211,91.0302,93.9137,90.7768,93.8205,92.8787,84.9972,83.2491,80.3088,78.1286,77.6831,93.4794,93.8223,94.2928,92.3617,93.6113,84.9919,80.4269,81.3458,84.5252,85.8582,88.897,90.406,89.2667,88.9703,86.9661,90.1403,90.4225,89.0545,88.737,92.3575,95.9011,97.352,101.4732,105.6572,106.3498,109.2192,108.8859,108.752,109.0711,108.7972,109.6404,112.697,115.931,119.5195,122.8029,120.6863,118.1449,116.5366,113.8306,112.8565
"Boston, MA",98.4945,102.3696,105.7016,108.756,110.5091,109.5957,107.1464,102.0125,100.0588,103.8608,104.1808,104.5346,105.2438,110.1432,113.1991,114.8739,116.103,117.7662,113.189,113.0807,111.6859,111.6594,111.7678,114.3989,116.2277,118.7821,123.0282,124.6328,129.2714,127.9287,121.8847,117.5331,117.0256,121.9018,124.5811,124.8771,126.9979,129.4062,133.8748,139.7099,142.1001,142.0384,136.7794,133.5899,136.468,138.86,136.2892,139.7498,141.085,145.4337,152.0491,156.9128,159.8206,162.4935,160.2815,160.3273,162.1803,163.9369,164.4671,165.5859,167.7481,170.2607,177.1395,183.1305,189.4013,188.8228,184.2276,178.5852,177.5851,179.9476,184.4319,189.2853,193.9231,201.8393,211.4299,213.2388,219.9769,221.5307,213.3446,210.371,210.0154,212.7705,210.2965,206.2511,209.7279,217.7602,227.2324,232.9172,239.1029,234.9737,227.7426,223.0142,226.6636,226.3734,226.8255,228.5322,235.5525,243.4585,249.4676,255.5435,258.7307,257.7524,252.2694,247.4136,244.5322,247.498,248.7383,251.3012,254.8792,262.2139,270.7582,272.922,274.5074,269.3539,265.3658,262.629,258.6103,254.5928,252.8922,256.9786,262.2083,263.0633,270.0228,270.3344,275.5244,268.8334,256.6605,254.8852,255.9792,261.9223,260.0285,257.0061,256.3861,266.5381,278.2919,282.0093,284.0913,269.9317,261.1134,254.1595,248.3269,247.9034,246.7401,253.719,255.516,263.7979,273.1978,270.7419,275.5232,263.8399,247.3241,232.5354,225.487,218.0541,211.8344,209.3669,217.9957,230.6898,252.4855,266.5208,263.6379,247.9287,233.5357,226.8683,221.4414,217.884,212.4528,216.6327,218.2354,230.4747,254.1954,264.1343,263.2897,245.8016,230.0247,227.4504,233.6017,223.6012,221.399,216.8993,228.4756,243.174,263.1391,269.0162,275.3681,261.4104,240.6245,229.9935,229.3392,214.282,205.5282,218.3492,236.6855,252.251,261.976,265.6316,262.4394,260.8004,246.384,238.2654,234.3935,228.6737,221.5241,230.9677,245.4963,260.0192,277.7724,281.4839,281.2251,268.1279,259.2108,253.8292,246.8089,245.5473,237.2653,243.8797,256.9401,268.1943,277.865,282.9034,286.0664,292.1085,280.493,255.0994
