"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",70.0319,70.8645,71.9305,72.227,72.6099,72.329,72.1038,71.9173,71.4121,70.5495,69.704,69.9733,70.7973,71.6481,72.6823,73.3401,73.9616,74.028,74.464,74.7255,74.6168,74.0521,73.5825,74.004,74.8255,75.9161,77.0318,77.7199,78.0805,78.1055,78.0766,78.0453,77.7813,77.602,77.3256,77.606,78.3743,79.3523,80.6362,81.5312,81.9394,82.1531,82.3551,82.3201,81.9101,81.531,81.4116,82.0286,82.9057,83.8499,85.2345,85.8145,86.526,87.0529,87.163,87.4489,87.5374,86.8362,85.9632,86.0861,86.6798,87.5129,89.1045,90.1355,90.9516,91.0646,90.7328,90.4811,90.4926,90.7225,90.8253,91.6153,92.419,93.4786,94.6881,95.7321,96.4753,96.7936,97.1197,97.3814,97.5251,97.5089,96.9578,97.2183,98.1382,99.4583,101.1132,102.5413,104.0458,104.9103,105.3315,106.1596,106.7732,106.535,105.7317,106.1794,107.5624,108.91,110.6477,112.143,112.5307,113.362,114.3823,115.2206,116.3222,117.1596,117.5989,119.1795,121.1931,122.8922,124.9115,126.394,127.8563,129.7792,130.5203,130.9553,131.0703,130.0322,129.0352,129.6881,130.7459,131.1114,131.9356,131.6522,131.0488,130.4628,129.7469,129.3525,128.8765,126.7797,125.0175,125.0981,125.3371,124.8147,125.1398,125.101,124.8274,123.0473,120.5509,119.0806,118.0433,116.675,113.8424,112.8751,113.2868,114.0497,115.2043,114.8819,113.8795,112.2543,110.9403,108.9486,106.9162,104.7334,102.1085,101.3378,101.3679,102.0739,104.018,105.1108,105.497,107.7983,106.6044,105.3213,104.7639,103.6584,101.7578,101.4182,101.936,103.6663,105.2096,106.2937,106.1793,105.0331,103.7624,102.7309,102.049,100.1747,98.5678,97.6929,97.8992,98.9876,100.8404,101.4319,100.789,99.2674,97.7202,96.8253,95.435,93.0431,91.3977,92.4611,94.9007,97.674,100.514,102.2501,102.6645,101.9085,101.0226,101.0323,101.0646,98.9085,97.9543,100.1511,103.2865,106.8635,110.3374,112.668,113.6141,113.0365,112.9685,112.8061,112.74,112.0308,111.1059,111.9265,114.113,116.6692,119.1505,120.556,120.7572,119.4163,118.3027,118.6774
"New York, NY",98.5967,97.7422,98.5889,99.1957,99.5876,99.7402,99.4617,98.1279,98.0358,99.5707,100.7609,101.3287,101.3426,102.1535,103.8883,106.0369,107.5121,107.2137,106.0628,105.9311,105.8701,106.0137,105.864,106.0357,107.1224,107.8827,109.9003,111.9668,113.6534,114.2394,114.1982,113.4851,111.9578,111.9274,113.6453,112.9912,113.4489,114.1363,115.6219,117.8783,119.7036,120.9032,121.7976,122.5141,122.8515,122.3119,120.7748,121.631,124.6707,128.0682,129.0893,130.8349,133.4931,133.9968,134.1754,134.5516,133.8468,134.6402,135.3465,135.3594,133.8274,134.6357,138.161,142.527,145.9585,149.6143,151.353,149.0264,148.5421,146.7887,147.7829,148.9761,150.8526,154.1393,158.4613,163.3604,167.5694,170.2449,171.0695,170.8299,171.9711,172.543,172.1214,172.5464,174.4029,176.1611,178.84,183.0357,189.3056,193.2219,193.5,193.6643,195.5364,197.229,196.8933,196.7629,200.0772,205.4762,210.0077,216.095,221.2818,224.6857,224.4639,225.4939,224.4938,224.9944,225.6002,229.0455,230.4538,233.1282,237.9365,242.6333,247.1525,248.8729,247.8365,247.4042,247.0697,248.5622,250.2267,252.3724,253.4986,254.633,256.7522,259.8505,261.9662,259.981,256.7069,253.2047,249.2344,248.0267,248.3212,249.7105,252.1792,255.53,258.6092,259.0445,258.1868,256.2534,251.9425,248.689,245.4053,244.634,244.8643,241.6466,239.6605,240.4846,240.311,241.6359,242.2488,239.1905,235.0615,231.8255,228.7885,227.8274,225.5552,222.3278,219.5866,218.6183,221.1939,223.9549,225.4041,228.6773,228.0499,225.6663,224.9917,226.5426,226.3153,224.498,222.1022,222.4423,224.0234,228.4248,230.4424,228.6701,225.4254,223.1248,220.2381,216.4936,214.7015,212.6926,213.0645,213.3147,215.6348,219.5011,219.6256,218.3904,216.4804,210.5092,204.4108,202.4294,204.224,203.9382,200.3222,202.7277,207.6124,210.788,211.7947,209.9517,208.2651,204.5826,201.5763,200.3793,198.4656,198.6634,198.0149,202.3177,208.0783,213.6135,218.9276,219.7034,217.3386,213.3622,213.1262,213.9096,212.8005,210.9007,211.9953,214.4268,216.8266,219.3639,225.0718,226.2746,224.9706,219.2463
"Los Angeles, CA",118.5837,119.3245,119.7421,119.9223,119.804,120.0016,119.1485,118.8239,117.9145,118.5776,118.1863,119.1673,120.8373,122.0065,122.5186,123.1719,123.4817,123.5301,124.2423,124.4842,125.0188,125.912,126.6681,129.0403,131.3774,133.1124,134.709,136.7742,136.987,136.9604,136.3792,136.5543,136.5168,136.5341,136.0309,138.3736,140.7335,143.0787,145.4684,146.3992,146.7875,146.2299,145.3914,145.9153,145.6155,145.7665,146.5519,149.4181,152.5824,155.0274,156.8766,158.149,159.9425,160.7256,160.4483,161.3169,160.1986,160.3911,160.4771,163.8998,166.5712,169.5654,172.2207,174.5898,176.2216,177.715,177.24,176.8558,178.0043,178.9621,180.5178,184.6662,189.8135,193.5544,197.9254,201.733,205.503,206.9019,208.9577,210.7891,211.9515,213.1534,214.0558,219.0599,225.4232,230.3804,233.8466,238.8504,243.9734,247.194,248.7863,251.8589,254.999,258.6039,262.3231,271.8632,282.2561,293.2354,304.2602,309.7288,311.6249,313.0286,313.9406,316.2557,319.2908,320.061,323.439,331.4957,339.6765,347.6789,357.4718,364.0872,372.5191,377.7691,378.9738,381.6969,381.0953,382.493,384.0811,389.7986,393.2872,395.8756,398.9261,398.7248,399.3521,398.0366,395.4379,393.5267,392.5803,392.0831,392.9439,396.8852,401.4978,403.5096,402.4849,401.7503,399.3597,393.0562,384.0705,373.8105,365.2755,356.7309,349.4842,346.4691,342.1109,335.9948,333.4897,326.5789,318.4716,308.9937,302.4003,295.6928,289.4364,283.0895,277.9987,275.628,273.0047,276.5563,280.1837,281.7961,279.7231,283.6842,280.8711,280.8874,279.1875,275.8607,270.7044,273.2343,274.5241,279.3574,277.8692,278.1287,276.593,277.065,273.7343,270.9825,270.1262,266.6045,263.2717,263.8548,266.0356,266.3251,266.4967,265.7596,263.9946,260.9115,257.2623,253.532,256.5873,252.4055,251.0871,255.5151,260.406,261.5845,264.7349,268.5061,271.3518,271.7479,272.0083,277.0212,279.5824,275.6056,279.01,288.4043,300.0711,307.9358,316.1705,323.14,327.0164,329.149,327.2319,326.456,327.2227,325.1482,325.8677,334.7808,340.8676,344.6562,345.2147,348.0381,347.8573,346.5133,348.3938,346.1082
"Chicago, IL",97.2324,99.5511,102.1708,102.8751,102.8536,101.6082,100.9218,101.0999,99.8593,98.0337,96.3373,97.4602,99.1218,100.4427,101.9696,102.5821,103.1502,103.4453,102.5632,102.0109,101.0165,100.0973,98.917,99.4702,101.7535,103.086,105.1245,106.2395,107.2131,107.144,106.2932,106.1256,106.1924,106.3064,105.7115,105.3076,106.2662,108.0248,110.1787,111.5367,112.5003,113.2906,112.6738,112.1917,111.9667,110.0014,109.5651,110.7042,112.6751,114.7262,117.6247,119.7818,121.0985,121.1002,120.6767,121.3028,121.4935,121.2175,119.2876,118.5372,120.3216,122.31,125.3739,128.7618,130.1785,130.8867,131.0067,130.1105,129.6601,129.0344,127.0186,126.3992,128.3326,131.6718,134.9429,138.1738,139.7638,140.4737,140.0493,138.8496,139.2973,139.4147,138.704,140.192,139.4884,141.7849,148.6175,151.2687,150.8302,151.122,150.9421,151.4425,151.9829,150.6137,146.2413,142.8855,144.4587,148.5405,152.4232,156.4147,158.4338,157.8909,156.8833,155.7958,155.8349,154.6607,152.1379,151.6416,153.7853,157.4948,160.4945,163.4474,164.8067,166.1448,164.4746,164.872,165.5152,163.1183,162.0091,162.4582,163.9278,166.8127,169.285,169.733,170.7086,170.5938,168.3054,166.9449,165.8707,165.0812,162.3307,163.331,166.9019,168.1443,171.3126,171.3444,171.2825,170.1131,167.2194,163.1561,162.9884,162.7537,159.3793,158.014,160.0131,161.2966,161.2094,162.0637,160.5605,158.583,155.411,150.9852,146.9711,144.4387,139.2215,138.4148,140.1261,140.9457,142.4506,144.5611,146.1154,145.9208,145.4472,135.4035,132.2727,132.4158,132.3322,131.336,132.0011,133.5944,135.3854,139.0432,139.9159,135.8009,132.4399,128.3116,127.5389,124.3699,118.7674,115.6308,115.1239,115.1485,116.9959,120.7945,123.4361,119.601,116.0474,111.9203,109.5843,106.0817,103.1274,108.0542,114.1115,119.5017,125.9282,128.6971,129.066,126.1222,121.3425,117.4059,114.2959,109.364,105.7578,109.0069,117.2104,125.3567,130.7797,135.984,138.2875,136.817,136.8602,137.9874,138.0792,136.3468,136.0922,136.8554,138.8944,142.0266,144.489,144.6532,146.3079,147.7346,145.9889,146.2977
"Dallas-Fort Worth, TX",57.3517,57.7545,58.5872,58.7026,58.7737,58.1458,58.4656,58.3419,56.6192,55.5375,55.6102,56.3268,57.1656,57.4659,57.4189,57.7307,57.8992,57.9332,57.7821,57.9015,57.7944,57.3372,57.2905,57.6737,58.3938,59.4001,60.1023,60.5964,60.8742,60.847,61.1488,61.5228,61.6522,62.3743,63.1004,63.7846,64.0065,64.8938,65.609,65.9897,66.0028,66.1399,65.9244,66.2289,66.6523,65.3351,64.7992,65.185,66.4344,66.7936,67.5752,68.2161,68.7793,68.9733,69.0382,69.0185,69.3244,68.2463,68.309,69.1767,70.1636,70.6682,71.2808,71.59,71.5092,71.3103,70.7602,70.9204,71.2491,71.06,71.4637,72.0052,72.4556,73.0683,73.2977,73.5916,73.3576,73.069,72.779,72.6778,72.7642,72.2335,72.6008,73.102,73.5205,74.2795,74.7771,75.0833,74.9242,74.5703,73.7619,73.4462,73.0464,74.0564,75.1892,76.2477,77.4063,78.3323,79.0601,79.0461,78.8227,78.3764,77.9259,77.6982,77.7057,77.3762,77.7569,78.4284,78.9598,79.8302,80.5686,80.8014,80.573,80.1332,80.1758,80.1425,80.2039,79.852,80.1427,80.6423,81.2318,82.3898,83.3636,83.9467,83.6131,82.7521,82.4069,82.4981,83.0186,82.1864,81.8541,82.7641,84.3752,86.0466,87.2727,87.7945,87.8392,87.0319,86.5496,86.2747,85.5765,82.3172,80.3998,80.7308,81.8094,83.1329,84.0049,83.9123,83.5222,82.0124,80.7752,79.2872,78.646,78.0957,78.5213,77.8459,78.0406,79.0815,80.3585,80.1936,79.485,79.3391,78.8175,78.9331,78.2936,76.4375,76.2633,77.1734,78.3388,78.6844,79.236,79.1156,79.0174,78.228,78.0224,77.2248,77.2198,76.3978,76.4942,76.5857,76.2941,76.6349,78.1164,78.2981,77.7589,76.6945,75.4062,74.3756,74.7306,73.8247,73.3147,74.9231,77.6541,80.054,81.3841,81.4737,81.3164,81.1284,80.8967,80.8995,81.6634,80.3599,80.3224,82.1131,84.8074,86.8962,88.0949,88.7459,89.0773,88.5718,87.5031,87.4535,87.8992,86.8366,87.367,88.7956,90.7507,92.1684,93.6507,94.2393,94.4179,93.543,92.3662,91.6343
"Philadelphia, PA",75.031,75.7168,76.1656,76.5865,77.2813,77.5423,77.2221,76.5203,75.3754,75.1748,74.5619,74.6198,75.6055,76.8798,77.6893,78.8207,79.2829,79.2479,78.797,78.1125,77.2594,76.2419,76.3538,76.5687,77.2056,77.8873,79.025,79.9936,81.1198,81.4508,81.8179,81.0333,80.4411,79.3262,79.2346,79.25,79.7629,80.3807,81.5639,82.8991,83.7985,84.4948,84.7596,84.6714,84.0229,82.8493,82.2824,81.9604,83.1204,84.1932,85.5347,86.5346,87.6481,88.4109,87.691,88.4334,88.4591,87.3679,85.9027,86.2468,87.3616,88.1523,89.8978,92.3563,94.1282,95.5211,94.4125,93.9392,94.1019,94.0716,94.5912,94.4351,95.0008,96.0854,97.8292,99.8915,101.841,103.4149,104.2416,103.9548,104.264,104.4,103.7073,104.7178,106.7168,107.0881,109.2167,112.2002,115.6967,117.3228,116.8645,116.6305,117.6176,116.9379,116.0977,115.185,116.7505,119.9477,124.2507,127.3493,129.7351,130.1116,130.2986,129.5093,130.0965,130.4374,130.5937,131.4391,133.3991,136.1515,139.1056,141.9391,144.4895,146.1833,147.1132,146.2746,145.3894,143.3387,142.7984,143.8902,145.4543,147.682,150.2447,153.5061,154.913,153.573,151.6873,149.8939,148.7124,147.0385,146.6783,147.5814,148.9538,151.5982,153.7186,155.4245,156.3057,155.1501,152.5749,151.6689,150.1762,148.0103,145.7725,145.6092,145.7418,146.9926,148.6201,150.0429,149.9573,147.3626,144.362,143.4331,141.0987,138.0453,135.7539,136.0696,136.2882,137.4648,139.8688,140.8147,141.5925,143.06,141.0167,140.0496,139.3201,136.6305,135.8404,136.1421,137.7419,139.8447,142.36,142.2424,142.1098,140.918,138.7469,136.8269,135.1947,133.2674,132.0572,131.7185,131.5831,132.2746,133.8739,135.8896,136.1345,134.2461,130.7097,128.9178,127.8612,126.0836,123.8841,123.9878,124.4376,127.111,129.0454,131.5228,131.9805,131.4907,129.9794,129.2852,128.3639,126.9147,125.2458,125.2832,126.7114,129.4854,133.3827,136.7731,137.6949,135.8099,134.1613,132.1596,131.294,128.4983,127.1268,128.7376,130.6327,133.196,136.6658,139.9988,141.2007,139.3815,137.202,137.1325
"Washington, DC",98.4948,99.0443,100.0746,100.3795,100.8768,99.9611,99.2518,97.774,96.7521,96.3175,96.3456,97.7871,98.6833,99.8987,100.0101,101.8384,102.5798,102.1537,100.8735,99.968,101.0724,100.4238,99.5664,99.5076,101.0537,103.3359,103.9505,105.3975,105.6237,103.8688,103.4718,103.3962,103.4871,102.2183,101.3021,102.0804,103.8156,105.2488,106.2596,109.5188,109.7378,109.1487,108.0103,107.3832,107.9671,108.6844,107.7355,107.7991,109.445,112.2025,112.9908,116.6501,117.4517,116.4605,115.8529,116.352,117.4378,116.442,113.848,115.0182,117.738,120.0496,120.7416,125.2784,127.634,126.7185,125.0516,124.2076,126.2039,127.4768,128.343,130.0241,130.8402,132.5201,133.763,139.0855,140.8416,138.9815,139.122,140.3453,141.5544,141.331,141.7671,143.043,145.524,148.4551,152.8201,156.5774,159.7022,161.1077,160.868,161.9754,164.256,164.0984,161.7466,162.1769,166.9879,172.8172,179.1123,186.8099,190.7708,191.9498,190.2598,191.5425,194.6968,197.2787,197.1712,199.3931,206.8735,214.4508,221.436,229.6018,235.144,233.3512,231.8154,230.3283,231.8003,230.3331,227.654,228.4152,235.2259,239.8878,243.641,245.0906,243.8827,240.1981,237.766,237.6626,233.5541,232.5005,231.1018,233.8051,235.3563,236.5779,237.8152,240.7802,238.4623,230.8768,222.7174,220.7791,220.8679,215.4409,211.4864,208.5382,208.7193,209.4312,206.9304,208.6559,204.6177,197.1797,192.8007,189.8314,186.8505,183.474,178.2528,175.8993,176.7995,177.4301,183.9723,187.6797,188.4374,197.8631,189.364,190.2648,192.8392,189.8991,187.4874,186.9654,193.946,199.9206,203.5364,205.0917,204.1743,198.8094,193.6952,191.5396,193.1848,189.4069,187.1541,189.3773,191.6069,198.3698,196.7187,201.1691,196.892,192.4881,182.7132,179.3101,177.2361,178.1077,179.9565,184.9983,193.0353,202.0951,204.6833,205.8867,203.0928,192.5816,188.2634,186.9849,182.2645,182.8593,182.0647,185.1643,192.6023,202.2691,208.3615,216.6363,214.8788,209.5406,206.2809,204.3824,206.1167,203.7594,203.4243,203.4851,210.5008,218.3259,222.764,224.2019,219.2576,213.3449,210.3809,209.3535
"Miami-Fort Lauderdale, FL",69.1025,69.0076,68.9889,69.2164,69.441,69.708,69.5569,69.9726,70.5671,70.2883,69.2865,68.9298,69.391,69.9059,70.3101,70.5911,70.8322,70.9609,70.9675,71.3107,71.6571,71.8836,72.0239,72.2724,72.2417,72.719,73.3237,73.5957,73.5558,73.9471,74.0629,74.0754,73.9994,74.0229,73.8219,74.74,75.2997,75.5537,75.6908,76.7103,77.213,77.168,76.7919,77.1159,77.553,77.9893,78.5119,79.0853,79.9536,80.6727,81.1383,81.9688,82.453,82.8364,82.789,83.2803,83.8453,84.3548,85.004,85.027,86.2869,87.5006,89.1282,90.2844,91.2672,91.9355,92.5231,93.0346,93.9273,95.0428,95.644,96.5239,97.6914,99.2231,100.9829,102.598,104.1415,105.2532,106.3608,107.3048,108.5435,109.0185,109.5933,111.0237,112.7315,114.3252,116.0245,117.7483,119.6629,121.4616,122.6832,123.6576,124.8121,126.6984,127.7699,129.6136,132.2575,135.7225,138.8365,141.3761,144.0598,146.8483,148.9105,150.8604,153.4904,156.1726,159.3769,164.3491,169.7831,174.7089,179.9878,184.1446,187.874,192.1383,195.1722,197.1755,198.0332,197.9971,199.1981,202.1343,203.8578,205.8544,206.6501,207.1091,205.3051,203.3833,202.4581,202.2233,202.5314,201.9757,202.101,202.3157,201.372,200.7811,200.4117,197.7891,194.4192,191.2167,187.2216,184.652,180.9267,177.8831,174.4536,170.5779,165.891,161.0982,158.6789,156.263,152.8143,148.7535,144.5716,140.8779,136.5036,131.9679,127.7594,125.4645,122.4019,120.6318,121.6633,122.729,121.6926,123.1778,122.5535,121.4233,121.1888,107.4892,106.1211,106.3667,106.0268,106.2458,107.7283,106.2279,105.9591,105.7143,104.9537,113.575,112.059,109.9395,108.7662,108.4405,109.0408,109.6632,111.3984,111.3561,110.0205,108.1999,106.6175,106.5843,106.0303,105.2587,104.8799,105.5481,106.7128,109.5761,112.1398,113.7027,114.0546,114.1757,114.4261,115.861,117.621,118.5463,117.8186,120.1696,123.7559,127.4519,130.8417,133.8457,136.1293,137.3858,136.7968,137.6083,138.5521,138.1769,139.9625,143.6932,145.9025,147.9333,149.8387,151.6274,152.0949,151.3482,151.4529,151.8485
"Atlanta, GA",60.388,60.4671,60.9072,61.2056,61.4746,61.9715,61.8693,62.377,62.3007,62.645,62.4903,62.914,63.3748,63.929,64.1529,64.482,64.8997,65.0608,65.1171,65.1366,65.4863,65.2563,64.9075,65.2545,65.8983,66.8043,67.0939,67.5792,67.7245,67.8718,67.9105,67.8636,68.0876,68.4997,68.7325,69.3231,69.8259,70.4746,71.3276,72.0876,72.469,72.7167,72.677,72.7202,73.0434,73.2688,73.6536,73.9655,74.6657,75.2555,76.15,76.8024,77.2387,77.507,77.5327,77.8307,78.2642,78.4743,78.0813,78.5597,79.2276,80.0931,81.0098,81.5399,81.8816,82.0164,81.9021,81.6188,82.1915,81.6566,81.9631,82.4146,83.0324,83.53,84.2231,84.8248,84.7381,84.3419,84.5377,84.8692,84.8851,84.7825,84.5422,84.3811,85.1255,85.8964,86.8694,87.3699,88.0103,87.907,87.3392,87.2752,87.2797,86.712,86.7173,87.2466,88.1179,88.9253,89.6439,90.1174,90.3269,90.39,90.3735,90.2488,90.4588,89.8666,90.2251,90.579,91.481,92.6607,92.7388,93.4799,93.8755,93.9669,93.3157,93.0121,93.054,92.8349,93.3497,94.0402,95.3416,96.5335,97.2456,97.6443,97.6238,97.1727,97.1248,95.9941,94.5707,92.9723,93.3673,96.0518,97.5304,99.1051,99.9162,100.0953,99.2422,97.8642,96.6379,96.3997,95.855,93.9352,93.6172,95.0764,95.8431,95.9132,96.314,95.1591,93.616,90.9803,95.9049,90.9046,86.9046,83.2163,81.551,83.3554,82.1048,83.5542,86.5256,86.9805,86.202,84.4117,83.526,82.6985,82.3589,81.2546,78.6405,76.0778,77.9459,80.0075,79.5788,76.8831,75.1335,73.4392,72.5695,71.0624,69.8166,70.7164,68.7221,63.8225,63.7656,64.9974,66.4727,68.8849,74.423,76.1029,75.6433,72.6863,70.7301,68.9492,66.8073,70.3869,72.5835,74.331,76.4705,78.7345,78.6466,76.6725,76.3763,76.686,77.638,76.48,76.7038,79.7977,84.0767,87.1874,91.5542,94.4289,95.7637,93.3798,90.7443,89.401,89.578,88.7361,88.8076,91.0935,93.3725,96.383,99.7892,101.0414,99.006,95.5241,93.4702,92.0095
"Boston, MA",95.1321,97.3506,99.8095,100.9675,102.4536,100.6226,98.6632,97.7868,97.3768,97.1515,96.689,97.9001,99.4103,101.6091,104.379,105.1663,106.0716,105.7357,104.3853,103.9086,104.2019,105.4424,103.9782,103.6612,105.1356,107.8214,111.2484,113.1794,115.2096,114.4265,113.8821,113.9557,114.559,115.2576,113.3811,113.2895,115.7568,118.9286,123.4077,128.3198,130.8979,129.9613,128.4089,127.9824,128.6269,125.9398,124.2272,127.1843,130.5546,135.1258,141.2157,143.9065,144.7293,144.3369,144.0241,146.381,146.7661,148.6235,149.1452,149.8613,152.014,157.3993,164.1139,168.4721,171.9089,170.8905,168.9581,168.1825,168.0507,168.2562,167.1105,168.4671,171.8566,178.4989,185.3065,190.3228,193.3876,193.9752,192.4894,192.139,192.5974,193.6493,192.5843,189.0982,190.749,194.0568,200.0116,204.5749,208.714,208.3796,205.4575,204.5696,207.3363,205.7552,203.3771,202.2745,207.8992,214.5159,221.1171,226.706,228.6458,229.0655,226.1971,224.6818,223.4673,221.5953,216.4083,219.5855,222.9811,227.2031,234.8885,240.9208,242.0757,241.1067,236.3506,235.717,234.4248,229.7141,225.3399,228.5606,233.0761,235.5469,238.4475,238.5951,238.1328,233.9202,230.2098,227.7979,225.5417,223.4664,222.9415,224.6859,226.6072,228.8319,232.1728,234.0208,232.7305,230.4549,224.517,222.1041,217.9183,216.8735,210.9759,208.4192,208.8366,211.9126,215.5188,215.2113,216.1509,209.942,202.5145,196.9104,192.6949,191.1492,188.7391,186.1139,187.0018,190.1213,197.7863,201.3558,202.9754,209.1921,206.0915,204.1011,205.3364,204.5451,198.2097,196.8278,202.5298,210.2639,218.1413,222.3926,221.1945,216.9112,211.2571,205.4974,204.2172,202.7376,196.9092,195.764,197.7661,202.9298,209.2565,210.7286,207.8927,203.3488,194.3067,193.5181,190.9023,188.3554,182.8446,185.4124,189.4922,197.9507,207.1038,210.2351,208.4074,200.8296,197.6796,198.4451,198.3691,194.7452,191.9934,192.2433,197.8858,206.7627,217.4469,221.2929,222.531,218.4549,215.0871,212.4528,213.8389,213.8685,210.4966,210.7283,213.6027,222.7991,229.1966,231.8768,230.8662,213.4907,184.3191,168.1326
