"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",109775,111000,113700,114900,115650,114350,113400,113940,113667.5,111792.5,109950,110150,111450,113368,116015.1,117602.9,119070,118730,118300,118450,118765,117950,117285,118000,119000,120960,123315,125375,126275,125750,124787.5,124443.75,124193.75,124075,123450,124115,125135,126368.5,128872.45,130916.05,131850,131500,130650,130150,130000,130000,130000,131137.5,132296.25,133641.25,136525,138575,139675,139425,138900,138825.5,139425.35,138850.15,138050,138825,139625,140650,144205,147320,149275,148350,146450,145800,146950,148520,149005,150240,151085,152242,155028,158025,159590,159811,159878.2,159947.8,161100,161270,160430,160629,162086.3,164338.65,167576.05,171385,173900,174800,173715,174110,175875,175875,175375,177000,179350,182535.5,186794.35,190211.15,190650,190265,190367.5,191767.75,194103.25,196756.95,197856.55,200575,203750,207300,212175,215990,218685,219700,219250,219475,221025,220875,219825,220493,220449.6,220763.4,223350,224700,223615,221435,220300,220000,222494.5,221096.15,218668.35,218667.5,217962.5,216778.5,218039.45,219359.05,220000,216000,210967,208936.9,209280.1,207350,203250,201500,201525,202925,206700,207600,206012,200559.9,197395.15,193110.95,191739,187060,182740,180415,178985,177895.1,182500,184250,184250,181632.5,177571.75,173467.75,173775.35,174810.5,172654.8,172463,171695,173398,177507.25,183415.2,186849.8,184000,180450.35,178750.05,173010,169500,168090,167640,167825.6,170031,175035,177660,176289.35,172605,168250,165750,164913.5,155535,152650,155316.4,161800,168100.5,174600,178619.2,178925,176894.85,173971,173950,174467.5,169500,167650,171759,177801.3,185032.7,193675,198629,200049.8,196714.2,194175,192060,193250,191365,189885,192000,196600,201750,208250,210800,210800,205150,201061.5,201193.05
"New York, NY",155800,156250,160750,163950,165500,165300,162615,159735,158800,159350,158850,158994,158735.8,159883.2,162625,166400,168900,168100,166025,164050,164225,164700,165000,165000,165000,167450,170465,175860,178875,179500,179600,176065,173360,173075,174200,173350,173950,174877.5,177729.25,181848.25,185500,187375,186425,186950,186050,184450,183800,185850,190900,193950,197000,199900,203610,202442,202668,202225,201225,205300,208000,209650,204850,206500,213500,221000,226750,232750,233950,229600,228700,228750,230150,232700,234900,237850,244400,253500,263000,268150,267350,265750,265000,269000,272300,274350,274850,277500,282000,290425,299275,306300,308750,309650,309850,311000,309400,309390,317060,325215,329235,340000,347000,350875,349612.5,349819.5,349829.9,352717.1,356857.5,364302.5,366000,368200,373215,382785,392200,397050,394675,394125,394400,397499.5,399199.65,399914.85,399950,403485,407200,414375,420925,421750,415250,406150,402350,402200,403850,403200,408950,414050,420700,426300,429250,427500,418250,410500,403775,403475,404700,402815,400885,400000,401000,409450,416425,412125,399750,389750,382500,377725,375525,372500,368250,369750,373465,379550,381750,380450,375000,366500,361500,365000,372500,375300,371950,372900,374100,382500,392750,395500,386652,378150,370171.8,366700,371775,364100,363000,363500,368500,381000,382016.5,380000,368600,351550,342625,334830,333250,328773,338200,345550,358750,369900,373950,372500,365750,361500,356500,355000,350665,354685,352050,360800,374200,390250,402750,403050,391185,376865,371300,375050,373650,367500,362200,367800,375250,389250,402000,397500,387300,374950
"Los Angeles, CA",171200.15,173550,174950,175175,175575,175350,172150,170400,170850,172200.5,173850.35,177200.15,178500,179975,182375,184225,184925,185000,185000,186000,189200,190250,189300.5,194050.35,197525.15,201076,205400.7,206101.3,203100.7,199250.3,195950,197200,199425,197775,195400.5,198651.35,202650.85,207200.3,212750,211451,210350.7,208200.3,204950,207750,209000,207450,209601,215300.7,219450.3,220850,225000,223301,226100.7,225825.3,225676,227500.7,229250.3,227500,227750,233150,236575,238901,244125.7,248150.3,249851,251250.7,250625.3,250201,252425.7,254750.3,257850,264901,273100.7,280625.3,289025,292500,296300,296600,297950,302551.5,304802.55,304801.5,309650.45,318351.5,326002.55,334253,341501.5,351100.45,359951.5,362626.05,361026.95,362952.55,366953,373403,380801.5,395800.45,413202,426951.4,439402.6,441226.4,438277.6,435603.4,437004,443902,450352.6,448903.4,451354,464002,478850.6,492200,505702.5,515254.25,524255,526255,523930,525721,525333.7,520267.3,522105,531530,538977.5,543200.75,547050,549252.5,549504.25,544655,543852.5,544250.75,550002.5,548501.75,549003.25,557751.75,563453.25,572801.75,577753.25,580001.75,585000.75,573002.5,554151.75,545853.25,541604.25,528055,525855,525077.5,525678.25,520001.75,516500.75,507502.5,494751.75,474750.75,458752,446503.4,439504,423604,420404,422052,417202.6,424753.4,433754,437058.9,430820.1,426503.4,422003.4,417904,415602,407500.6,397250,399500,399351.5,406026.05,403827.45,406804,406004,409254,405300.6,402252,399501.4,389652.1,382851.5,389502.55,391903,395778,397303,397926.5,391300.45,388800,376402.55,369752.55,380750.45,368551.5,367252.55,381351.5,395201.95,398902,404853.4,408502,410000,412150,416100,415900,423250,417250,416150,432300,460050,480500,493500,493500,489500,487100,483350,478550,483250,479250,482800,494075,507375,518500,522250,524125,522125,518250,515750,515000
"Chicago, IL",133975,136425,140775,142100,144800,141250,138250,136325,135075,134300,132750,133625,134475,136000,137700,141200,143250,143500,139400,136125,136150,135800,135625,137175,138975,140850,144033.5,147383.45,148325.05,147475,144475,144175.5,143550.35,144550.15,144875.5,143825.35,143125.15,144175,148625,153450,155150,154225,151800,151950,152550,151500,152450,153150,154825,156625,160200,162250,164000,163450,161625,159875,160650,163050,162050,160750,161500,164050,170050,175150,178050,176600,175175,173250,172375,172250,173175,173775,175250,177875,181225,187225,189725,190800,189850,188800,188900,189525,187925,189600,193100,198400,210600,212650,211650,210000,208500,205950,204700,204175,201575,200250,202350,207050,212210,218265,222700,222125,220250,217400,217025,217950,217525,216125,218725,223450,229750,234700,238725,239475,234800,233850,234250,233250,232775,233025,234175,235775,239700,242850,243525,241725,238450,235850,236475,237475,235500,234750,237200,239250,243750,247625,249625,250000,247250,243075,238175,235750,235000,236750,239725,242975,246050,251050,250950,247900,238100,229750,225750,222500,219275,216467.5,220307.5,222000,224950,227750,228300,223950,216900,205700,200175,202125,201110,203840,204800,207950,213461.5,217948.05,223513.45,217625,210125,200500,199398.35,196258.35,187550,184450,184250,186000,192830.95,199725,203833.15,193450,183550,174500,168625,162624.2,155793.5,162264.95,175138.55,184477.6,198550,205742.5,206800,202950,191750,183875,176550,170875,161825,166800,182000,198250,214375,228375,229200,223206.5,218984.55,213471.95,208350,205600,202500,201750,212200,220850,231700,233650,234725,230875,222375,215625
"Dallas-Fort Worth, TX",107610,108500,111470,112520,111410,109782.5,114642.5,113145,101873.5,92992.9,91848.35,94691.2,96970.3,97975.4,98754.75,100058.7,100547.1,100125.2,99076.1,98496,98930,98474.5,97470.35,98488.25,100713.9,103726.45,105802.5,107259.9,108353.65,106246.2,106558.9,105836.95,107212.55,109217.05,111106.5,113290.85,112931.5,116484.05,119608.7,121721.7,121033,119712.2,118954.3,119950.15,121540.6,117098.25,116042.55,117660.8,119658.2,120097,122498,124207,124281.4,124259,123056.1,122349.85,123093.2,121832.6,125179.45,129673.7,132652.2,133624.65,135950.35,136877.35,136105.65,134993.25,133346.5,135330.1,137334.65,136797.5,137121.65,137413.85,137383.5,137601.7,138249.3,138858.75,138691.6,137424.35,137196.1,137516.95,139651.75,138217.7,138078.3,138462.5,138386.25,139288.75,142522.75,144429.75,144725.75,142511.95,138820.3,137048.15,137545.8,138511.3,141410.75,143198.7,144815.15,145644.7,148611.7,150157.55,149650.5,147911.2,146885.95,146998.4,147870.35,146568.3,147206,148626.75,149505.25,151035.15,153452,155683.85,155717.5,154285,153300,152732.5,153812.75,152119.75,152177,153303.4,154361.75,157509.2,160587.6,161704.75,160864.05,157695.25,156110.5,156578.35,158440,156579.2,155771.95,157428,160670.1,165674.45,170407.15,172334.35,172239.95,168980.5,167051.5,168038.9,167956.75,160672.05,156381.45,160028.3,164053.85,168088.35,171049.2,172105.65,171506.75,163804,160386.75,156766.5,158104.05,154187.45,154000,150220,148920,156527.55,162178.45,160259.05,156788.65,153250.7,149309,148708.55,148664.1,146110.65,146705.15,148549.65,152208.7,151779.75,158207.9,163503.5,167066.95,165893.7,165385.9,161952,161523.9,156425.15,159682.35,161334.6,156158,154581.55,163146.1,165391.85,165573.8,159584,153225.7,148759.65,150765,148373.45,145203,149168.75,160548.85,170358.15,175827,177694.5,177291.65,174402.15,170411.3,168883,171880.45,168664.05,167407.1,171034.5,178440.55,184771.35,188451.2,189738.4,188883,185137.6,181365.55,179465.75,181967.1,177565,179155.5,182154.35,186929.65,189960.95,195533.1,196959.95,196155.75,191532.6,189185.25,190466.2
"Philadelphia, PA",105722,109950,113900,116550,118700,117700,116600,116500,117350,112600,105325,105125,108750,112815,117950,121400,122585,121325,119375,118800,113850,101500,102700,106800,110350,112850,116900,122997.5,126623.25,127524.25,128670,125920,122947.5,121012.5,120325,120075,120000,121250,123375,128125,129950,131300,129700,127100,126200,124275,123350,121425,122950,125000,126025,130575,133650,136000,133700,131400,128900,126125,123433,123235.6,125122.4,126265,130310,138375,142850,144150,139500,136350,137450,137715,137935,136900,137085,138490,141590,148635,152925,156750,156275,153065,152235,153500,152165,150735,154500,154900,160075,167025,174125,175625,172915,169965,170228.5,169556.25,167705.25,164375,166550,171265,180235,189200,193300,192100,190515,187400,186950,188360,191375,191725,192625,194375,204125,215675,222657.5,224767.5,222500,217850,215470,212380,210750,210000,212500,215000,223025,230475,234250,230000,226500,223350,220595,218730,216575,216450,218700,224900,231150,235750,240050,238250,232450,229875,226125,222550,217950,219250,219950,224300,230300,235950,238895,232346.5,224748.5,221250,217850,211950,207235,204315,204800,209525,215787.5,221525,226700,221575,214750,208750,208350,206725,207667.5,206400,209600,212475,219425,228350,231000,230750,223575,218692,215735,210000,201250,196325,199498.5,200650,213100,222250,220850,215275,209250.5,203550,200750,194650,189600,186397.5,190300,198900,206000,214250,217555,214475,209775,209965,210250,208800,203950,201050,205500,212850,222950,233200,237000,228950,221300,214075,209690,203005,196630,197075,202375,212400,222015,232735,237165,229285,220700,216100
"Washington, DC",155234.6,156869.65,160550,162495,164605,162545,159646.5,158623.5,156275,157250,162597.5,161543.25,157954.25,157450,158900,162350,163750,161400,158325,159450,159605,157370,155315,156060,158800,161975,165550,172150,173825,169425,164525,163850,162982.5,161357.5,160200,162450,164235,165500,166850,173700,174520,173424,168846,166725,167195,168889,167526,165921.5,166573.5,172050,176650,181699.5,181599.65,176999.85,175919,175355.8,175813.2,173390,171818,175490,180627,181885,183700,192075,195825,192600,190150,191115,197000,198071.5,198205.55,202330.95,204650,210300,214850,225695,231230,229225,227700,230550,236595,237946.5,236098.5,237450,244100,250000,258840,268403,277637,277670,270349.5,265925.5,272275,271750,262800,266600,279350,294750,309900,322100,326650,326300,320300,323000,328550,330750,330450,341015,352960.5,368979.5,382342.5,398687.25,404580.25,400750,394000,389250,388450,381700,379600,384250,390950,396215,398885,399850,400000,395000,393850,391645,390705,385000,383000,386000,388915,392485,396250,402282.5,402217.75,390514.75,381092.5,375759.75,379312.75,367916,364764,361315,365885,374500,381700,387050,381750,364750,348750,341950,339965,342390,337645,336950,338100,339578.5,347500,355246.5,353556.5,347250,334159.3,324750,324750,321949.85,320945,323350,327450,337050,343750,356401.75,405100.75,384750,358245,342750,356400,341850,331811.75,328309.75,332125,342750,348450,357123,354550,347250,332750,328225,326000,314750,296500,310950,326450,344100,355350,367450,358225,349198.25,334748.5,332218.65,333371.5,332348.5,325750,335000,347420,364129,379591,391215,389935,374300,363750,360000,367500,363750,358200,357950,368950,385300,394950,398955,394695,378915,366950,366210
"Miami-Fort Lauderdale, FL",95850,95800,98600,99925,100975,101025,100575,100650,101350,95850,91800,89500,89650,90850,93200,96550,96900,96400,96465,96285,96115,95985,97450,98015,98135,98750,100525,102125,103850,104650,104965,103651.5,103316.55,103074.95,102475,101330,102445,102975,104650,107550,108400,108800,108100,106475,105125,103825,104225,105850,107055,109970,112750,114100,115180,114745,115500,115340,115210,115000,114500,114150,116000,119400,123150,125725,127525,127525,127475,128675,128825,130940,131560,132975,135125,135550,137800,140750,143550,144200,145900,148225,148375,149125,148875,150725,153150,153875,158225,162400,166891.5,169086.55,168929.95,168800,170350,173050,174500,176415,179500,187335,195965,199020,198802.5,199112.5,200700,205250,209485,213065,214550,220000,228000,234050,242980,248020,251500,251145,253016.5,256778.5,259500,260175,262575,264850,266370,267845,270535,274295,274355,274600,272350,273355,275545,278375,279625,280000,277950,275565,279785,278350,278200,276190,273010,268250,267750,268900,264850,263950,261715,260735,262500,261750,259750,249300,240200,233250,228250,215750,204250,192625,182050,183290,189010,194500,190700,189250,182465,182760,178725,170500,162800,160100,154850,157500,162150,168850,165727.5,159638.75,157523.75,154500,151150,144400,144465,137100,137400,143500,148500,150525,149770,144650,139775,141450,142300,136500,135050,136150,136900,144250,152000,157275,159550,160000,157500,160000,169552.5,165772.5,157850,157445,164016.5,173578.05,185083.45,191085,195515,195750,190950,191425,194852.5,192172.5,188059,192538.8,196220.2,207725,218250,226375,224250,218750,217575,218825
"Atlanta, GA",104175,104775,107500,108700,109615,109785,107965,108535,110365,110685,109500,109390,110225,111335,113800,115815,116800,116985,117000,117000,117000,116950,116465,117635,118800,120825,122680,124710,125185,124400,122175,122165,123910,124610,124380,125060,126600,128080,130285,131985,133315,133835,132000,131250,131905,131960,131960,132375,133765,135550,137115,141270,143165,141910,140490,139985,142500,141750,139500,141525,143755,144935,147685,149390,150160,148170,147200,145380,146950,148450,149590,149825,150450,150585,152775,155540,155860,153875,152900,154015,156325,155610,153600,153800,154600,156535,158815,161875,163975,163850,162250,160765,160185,160485,158830,159785,162040,164610,167700,170050,170405,167710,166660.5,166138.35,167117.15,168050,168395,168710,169645,172025,174975,178050,179550,179500,179600,178265,178900,178935,178530,179085,181685,184600,188622,192057.4,192169.6,190465,189750,186315,182785,180125,179725,184350,189650,193400,197200,199675,199947.5,193882.5,191144.5,190014.65,191634.85,189900,187124.5,187840.65,192158.85,194606,196474.2,198376.8,192605,182785,194240,185275,181585,173075,167800,170500,170625,173650,179235,180978.1,178250,173215,172162.5,163498.75,162125,164912.5,157250,151700,153115,157665,157704.85,155650,150430,147101.6,148650,152858.65,147446.25,144595,135840,125900,127865,129185,133187.5,138045,153700,155150,155500,151750,145515,133157.5,127725,137635,143400,150365,154873.6,158425,155720,150115,152230,149550,153715,152255,151180,159965,167985,174950,188275,196275,196900,187925,179625,175715,176235,173825,169940,174085,182300,190525,200060,203215,199600,188200,180150,175625
"Boston, MA",144650,148075,153625,156050,158475,152975,150200,148625,147900,151175,149215,149300,151885,156700,161715,161985,162175,159200,156650,157725,160750,162500,158965,161185,163500,166750,171225,174025,175000,171500,168800,168775,168590,172925,171748,173242,176600,180500,185375,191775,195625,191875,186465,186585,189600,185550,185800,190800,196050,201925,214410,217165,218950,214815,212905,218380,220550,223250,224250,225950,227665,232185,244400,252115,254985,252250,248075,247175,248550,249700,250000,252500,261500,270075,283125,288765,294935,293100,288815,287735,288900,288350,282950,277850,281700,289375,302875,310300,314000,309700,304000,300250,304650,305850,300750,301500,308500,317750,330475,337475,339165,334425,330130,327709,324111,323900,320900,320050,323700,332750,347665,356635,355850,351200,344100,343350,343600,339650,333850,332250,335550,337600,349100,351665,348935,342165,335500,334035,331900,332250,332550,331500,335400,343465,354485,362700,361250,349950,337515,335610,327837.5,329202.5,321985,323665,325185,333500,347000,351265,351185,335750,321025,310925,304200,302515,298035,290850,296350,306350,326550,335850,335900,324000,309750,302750,310000,310500,299235,298750,305385,314600,340750,360700,367000,347900,331100,327750,326750,319500,302814.2,301125,312750,324750,342300,350885,351984.5,340525,320500,315250,312050,305750,296250,303825,315205,331800,356175,362650,354715,338385,324790,325010,325625,319250,312950,314750,327615,342535,361760,369737.5,371137.5,357630,346235,343250,344450,347590,336725,336200,338235,352850,373900,383750,383250,353250,315250,284900
