"RegionName","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",35.27,34.01,34.14,34.86,33.49,32.76,32.77,32.13,30.64,30.21,29.62,30.46,29.86,30.06,28.92,27.1,27.49,26.11,25.52,24.96,25.14,25.06,24.87,22.91,23.64,23.57,23.63,23.54,22.73,22.01,22,21.38,21.07,21.6,20.99,20.9,20.94,20.62,20.29,20.15,20.21,20.17,19.86,19.65,20.22,19.4,19.87,21.1,20.71,20.64,20.94,21.04,21.43,20.99,20.95,21.47,21.76,22.57,22.81,21.42,22.58,22.95,22.78,22.1,21.14,20.19,18.46,18.67,17.64,18.1,17.93,17.6,17.29,17.16,17.18,17.51,17.91,17.74,16.91,16.79,17.14,17.71,17.63,17.58,17.43,17.07,16.23,15.64,16.09,15.16,15.55,15.27,15.13,14.73,14.49,14.51,14.59,14.85,14.66,14.56,14.64,14.68,14.79,14.71,14.56,14.9,15.6,17.39,17.83,18.38,19.52,20.77,22.64,25.81,29.72,33.9,37.26,40.38,42.73,44.39,44.98,46.82,47.76,49.23,50.93,51.93,53.46,55.19,58.32,59.9,62.13,65.85,68.86,69.99,72.02,72.82,73.72,74.66,75.4,75.82,76.5,79.31,81.55,80.04,78.78,77.97,77.91,76.46,75,73.95,72.02,69.73,66.36,59.97,57.51,56.43,55.98,54.48,50.68,51.1,53.76,58.94,61.89,64.37,66.64,70.02,68.16,66.59,68.42,70.74,71.62,71.88,71.51,66.84,65.27,64.89,64.09,62.9,61.4,59.64,57.72,53.79,50.89,47.82,44.77,41.75,44.38,37.39,34.33,31.14,30.13,29.84,28.82,25.3,24.54,25.12,22.66,21.7,21.2,21.05,20.96,20.76,20.89,19.93,20.17,19.69,19.51,21.37,23.73,25.75,27.43,28.67,29.72,30.36
"New York, NY",39.91,35.81,33.53,38.25,33.98,31.52,33.13,31.35,32.02,30.2,30.94,33.63,31.35,34.08,33.27,29.8,34.23,27.56,26.87,25.43,25.73,27.54,26.99,23.68,23.28,22.32,22.85,21.66,22.95,20.82,19.55,19.25,19.36,18.61,17.84,18.29,18.46,17.35,17.8,17.29,16.98,16.36,15.98,17.72,16.07,15.52,14.73,15.33,13.83,14.68,15.1,15.76,17.25,17.16,17.29,16.93,16.05,17.23,16.73,19.61,20.74,19.24,19.21,18.31,16.99,16.55,4.06,10.92,8.07,6.51,4.97,4.53,4.47,5.44,6.08,10.94,11.52,12.16,9.06,6.96,7.92,10.96,11.87,12.82,12.75,11.31,8.14,6.28,5.86,5.03,8.03,5.09,5.31,4.56,5.04,3.78,3.73,4.04,3.42,3.71,3.44,3.44,2.98,3.35,3.22,3.68,3.94,4.54,5.32,6.83,8.39,11.62,14.28,18.22,26.55,36.07,42.64,49.11,56.71,57.85,61.47,60.64,61.78,60.79,62.62,63.99,64.72,65.3,65.91,66.68,68.08,66.63,71.54,75.23,78.65,80.07,83.18,82.85,83.08,84.98,84.62,84.8,85.03,88.95,87.2,86.82,88.02,86.46,86.31,84.66,80.69,78.84,74.99,71.25,67.73,61.5,57.55,57.22,52.73,53.07,47.29,51.75,58.28,57.29,63.9,66.33,65.69,68.19,70.52,71.88,71.97,74.35,75.16,71.95,70.38,72.04,71.12,73.22,70.97,74.04,71.94,68.38,65.21,61.9,60.45,59.1,61.37,55.08,50.5,44.86,41.57,38.77,39.41,39.11,39.22,36.48,31.74,28.29,25.93,23.66,22.34,22.1,22.76,20.87,19.77,20.08,19.32,22.72,24.11,25.37,26.27,27.12,27.96,28.85
"Los Angeles, CA",47.2,44.98,41.25,39.79,40.56,38.99,35.47,34.32,29.95,26.78,24.8,23.13,22.74,20.6,19.47,17.55,14.21,11.84,12.59,13.53,13.47,12.92,13.25,13.09,13.82,15,15.09,15.59,16.58,17.52,17.38,15.92,16.19,17.69,16.52,14.1,14.05,13.65,13.16,13.16,12.77,11.43,11.23,10.71,10.06,9.45,9.52,8.25,9.06,9.71,10.14,10.27,10.73,10.38,9.53,9.36,9.32,9.89,10.76,9,9.98,9.91,9.2,7.77,6.28,5.37,3.33,2.82,3.38,3.41,2.69,2.8,2.67,2.71,2.68,2.54,2.79,2.39,2.2,2.05,1.79,1.56,1.39,1.04,0.93,0.73,0.57,0.4,0.37,0.43,0.5,0.62,0.79,0.97,1.12,1.36,1.57,1.99,2.86,4.3,4.3,3.48,2.22,1.31,1.18,1.36,1.47,1.67,2.06,2.61,3.48,5.44,7.32,12.09,21.7,31.44,41.91,49.36,54.15,57.58,57.99,62.51,63.13,68.81,73.13,75.05,76.13,79.47,86.37,88.44,91.22,92.91,93.56,93.91,94.69,95.15,94.79,94.96,95.88,95.2,95.18,96.35,95.4,93.36,95.14,94.6,93.78,91.84,88.35,84.17,78.08,71.97,64.84,55.33,51.56,46.96,42.68,40.76,36.47,35.96,39.89,41.3,43.89,50.11,53.51,60.1,59.88,64.03,67.21,73.05,73.42,74.65,75.53,75.49,77.17,78.54,77.13,76.31,76.45,74.24,72.92,69.35,62.3,55.15,47.33,42.57,37.9,26.08,20.56,15.93,12.52,8.81,7.35,4.04,3.23,3.57,1.96,1.78,1.71,1.7,1.87,2.3,3.04,3.53,4.61,4.76,4.97,7.36,10.18,13.21,15.48,17.8,19.92,20.87
"Chicago, IL",39.66,35.78,37.77,36.78,37.88,36.52,37.18,36.31,35.23,34.69,34.39,33.88,36.56,34.69,35.24,34.93,33.43,31.77,28.43,27.25,28.41,28.82,27,26.74,27.14,29.33,28.02,26.14,25.45,23.91,22.98,21.38,21.48,19.12,18.12,16.63,17.18,16.84,18.33,18.32,18.41,17.75,16.96,16.71,16.06,16.35,16.52,15.57,14.7,15.87,14.45,13.96,12.86,12.78,12.78,12.82,12.66,12.94,13.95,15.02,17.26,17.16,19.45,19.24,19.28,18.23,11.16,10.5,10.6,10.35,9.71,8.96,8.66,6.63,8.61,8.71,4.64,12.39,11.14,11.46,11.66,11.91,12.53,14.27,14.7,19.18,13.57,12.66,35.35,11.1,11.51,11.58,11.64,11.7,11.18,9.53,8.53,9.13,8.06,8.3,8.1,7.47,7.15,7.11,7.09,7.48,7.81,8.41,9.82,8.97,10.25,11.07,11.95,14.15,16.37,20.19,23.01,27.77,30.49,30.13,32.26,37.63,43.13,47.04,48.55,48.53,54.34,55.37,60.31,61.58,67.59,71.44,73.77,69.46,77.89,69.89,72.81,73.87,72.29,73.35,67.54,79.79,91.74,88.44,88.23,88.06,81.47,83.49,79.57,79.05,78.04,77.15,88.16,80.58,74.92,76.4,76.52,75.44,72.6,71.04,70.26,71.01,72.94,76.66,77.82,82.8,80.84,80.76,81.92,82.85,82.61,84.22,84.92,82.32,82.11,80.42,80.94,78.59,80.69,80.6,80.91,75.35,72.98,65.88,62.29,62.54,64.71,54.9,56.01,49.07,40.79,42.67,39.33,43.09,35.82,37.61,25.66,22.91,20.29,18.73,17.64,15.84,16.37,15.08,17.31,16.3,15.5,17.87,20.63,24,26.51,28.24,30.01,31.51
"Dallas-Fort Worth, TX",15.46,17.32,17.38,18.05,13.15,14.39,18.33,15.48,25.73,28.16,32.77,41.38,41.96,42.87,35.31,28.19,28.69,30.73,30.27,37.39,25.31,28.79,32.99,13.51,13.69,10.58,11.59,16.04,15.58,14.36,16.44,12.58,16.76,14.39,13.61,23.67,39.67,32.82,30.41,27.88,27.7,25.47,22.09,19.47,17.54,25.26,23.76,15.22,11.11,10.51,13.09,13.64,15.7,14.85,15.83,16.8,18.38,17.04,17.4,21.7,29.55,29.54,29.13,27.17,26.47,25.27,22.57,23.51,22.73,25.94,27.74,28.67,28.3,31.43,30.32,30.33,34.04,34.3,34.57,36.42,36.66,42.15,40.12,18.32,17.09,15.73,18.14,17.1,15.6,15.31,14.5,15.87,18.09,15.54,13.76,27.39,29.97,31.9,32.68,29.48,32.25,32.63,33.4,32.5,26.94,26.08,27.83,29.1,28.04,27.62,27.06,25.44,23.46,24,25.29,24.12,25.36,29.38,26.81,31.43,34.42,33.94,28.08,27.5,26.1,28.18,26.65,28.92,30.27,31.56,39.57,64.98,72.62,66.99,70.81,73.4,77.75,76.83,77.96,76.08,85.7,88.61,84.99,62.23,58.2,71.16,76.06,76.97,72.77,75.18,72.41,68.9,51.66,40.15,51.57,62.11,56.21,42.63,36.33,34.8,43.31,52.75,66.7,76.15,78.68,84.3,79.39,60.21,66.38,74.94,78.24,78.61,70.45,64.78,60.49,60.78,59.85,55.63,51.88,57.51,52.77,45.7,36.48,32.65,34.6,31.47,36.84,26.45,23.57,20.3,24.79,34.33,28.83,6.76,4.45,6.11,6.98,6.99,6.8,7.64,7.31,7.92,8.26,7.13,7.06,6.96,6.5,8.06,9.88,11.72,13.29,14.81,16.03,14.72
"Philadelphia, PA",39,44.16,43.98,45.48,44.44,41.49,42.82,41.71,36.77,32.03,32.92,38.22,35.16,32.72,32.98,29.72,31.5,29.5,29.12,28.45,29.39,31.12,29.66,32.91,35.55,36.33,35.16,34.85,33.36,32.67,31.88,31.09,30.76,29.32,31.29,28.43,28.77,27.29,25.39,25.53,23.32,23.35,22.57,23,24.33,23.31,22,23.11,25.61,27.79,26.22,26.52,27.93,27.96,27.1,27.47,25.28,27.87,26.79,26.04,25,22.76,23.36,21.23,19.43,17.61,11.65,10.76,11.1,11.4,10.07,11.25,9.62,9.45,9.15,8.53,8.16,7.85,7.1,7.89,6.72,6.72,8.12,6.81,7.35,5.98,5.81,5.21,5.43,4.51,4.86,4.2,4.27,4.3,3.79,3.96,4.07,4.47,4.11,3.82,4.17,4.71,4.75,4.77,4.28,4.42,5.47,7.85,7.47,7.12,7.51,9.16,10.63,11.87,15.7,19.75,26.18,33.6,33.65,34.49,35.69,38.27,35.08,39.26,39.34,43.16,44.08,47.41,47.33,47.09,51.23,52.61,58.14,57.51,64.72,66.01,66.95,69.27,71.79,72.46,71.51,74.86,75.18,77.91,72.55,77.63,75.47,74.95,74.84,74.16,69.64,68.97,65.32,53.97,52.02,51.39,53.56,53.71,48.17,46.6,46.2,54.85,68.44,66.56,74.15,79.23,80.51,74.6,80.03,81.76,84.31,84.38,86,81.31,74.94,76.89,74.1,73.39,71.13,74.28,65.35,61.48,62.41,59.09,58.32,54.19,60.12,49.29,49.85,47.07,42.2,40.02,41.51,34.69,32.55,36.56,36.22,34.24,33.12,33.85,33.25,33.25,30.29,27.52,26.89,27.98,25.57,26.49,27.6,28.17,29.04,29.74,31.31,32.42
"Washington, DC",51.9,47.94,50.99,49.22,47.9,46.6,46.75,47.14,40.94,39.41,40.41,35.26,35.3,39.76,33.24,33.75,33.68,32.75,32.96,32.06,31.57,35.69,35.04,32.5,30.33,25.75,28.13,26.93,23.79,23.39,21.68,19.61,22.33,18.99,18.22,20.31,21.17,20.24,18.6,17.44,18.21,16.93,16.81,16.76,13.1,12.99,12.24,12.19,11.75,11.39,11.6,11.39,11.85,10.19,9.77,10.54,10.89,11.49,12,11.47,11.42,12.23,12.81,12.21,11.14,9.62,3.8,3.77,3.77,3.71,2.5,2.45,2.73,2.88,3.29,3.62,3.96,3.45,2.66,2.3,2.1,2.37,2.29,1.88,1.65,1.56,1.45,1.06,0.8,0.87,1.28,1.68,1.59,1.61,1.65,1.79,1.88,1.69,2.42,2.41,2.93,3,2.74,2.84,2.79,2.74,3.17,3.95,5.4,9.39,14.44,24.32,33.62,44.8,52.3,59.94,62.19,64.8,68.46,65.04,65.89,68.27,69,70.86,72.77,73.19,73.59,73.66,78.46,84.33,84.35,85.71,87.06,90.56,90.85,92.81,93.25,93.35,94.73,94.8,94.08,94.36,95.14,94.69,94.66,91.39,92.62,90.89,87.7,83.45,78.18,70.92,65.86,57.45,52.1,49.46,46.54,46.44,40.74,35.58,39.39,41.37,31.35,47.56,55.89,56.6,56.6,57.57,56.84,57.86,56.62,59.18,52.63,50.17,54.86,49.33,46.51,47.93,51.14,46.7,51.79,44.55,44.57,36.86,36.09,35.92,36.44,30.09,24.81,23.73,23.81,17.93,15.78,14.89,13.09,14.56,8.6,8.19,7.61,7.49,7.64,8.11,8.26,7.95,9.93,9.19,9.11,10.45,13.49,15.9,19.41,22.93,25.43,26.61
"Miami-Fort Lauderdale, FL",45.82,43.44,41.24,45.45,43.06,40.65,41.84,41.9,38.52,39.79,37.08,35.42,33.23,32.54,32.67,29.88,31.23,31.16,27.86,27.27,28.14,26.99,29.44,27.66,30.97,28.23,28.32,28.52,26.55,26.38,25.84,26.34,24.16,25.6,21.81,21.88,20.6,19.87,17.95,17.45,16.88,16.31,15.78,14.19,13.87,12.46,12.95,11.43,11.02,11.42,10.56,9.91,9.54,8.77,7.82,8.01,7.18,7.37,7.76,6.83,7.11,7.2,7.69,7.43,6.89,6.78,4.31,4.22,4.44,4.26,4.05,4.2,4.22,4.15,4.09,3.99,4.3,4.33,4.67,4.72,4.56,4.51,4.37,4.17,3.87,3.7,3.55,3.16,2.59,2.26,1.95,1.78,1.64,1.58,1.4,1.2,1.07,0.97,0.87,0.67,0.62,0.56,0.55,0.55,0.66,0.69,0.8,1.17,1.17,1.42,1.91,3.2,6.29,11.04,19.28,30.65,37.66,42.86,48.53,52.6,55.09,61.92,66.89,71.76,75.35,77.96,82.95,85.01,88.17,91.49,94.12,98.07,98.31,98.52,98.73,98.78,98.55,98.76,98.76,98.73,98.79,98.67,98.79,98.41,97.89,97.51,97.28,96.95,96.76,96.37,95.81,94.7,92.44,90.08,87.46,80.95,79.68,73,67.07,62.02,64.05,63.85,64.14,68.75,68.38,73.97,70.34,70.87,66.31,72.55,65.6,65.13,66.99,66.78,62.5,60.7,59.69,55.27,51.35,47.55,47.36,38.94,40.41,37.71,30.15,24.8,25.42,19.21,18.55,16.26,20,13.86,11.98,10.35,9.12,10.37,7.86,7.41,7.22,7.52,6.24,6.34,7.01,6.39,7.97,6.31,6.06,8.11,9.21,10.34,11.49,12.55,15.56,16.8
"Atlanta, GA",27.25,28.01,24.93,26.77,24.05,23.59,20.3,20.91,20.29,22.68,21.49,20.76,22.04,22.39,20.69,18.69,20.22,18.77,17.91,17.72,17.59,17.39,17.55,14.26,14.41,14.91,14.69,14.59,13.11,12.68,13.42,12.55,12.51,12.52,13.33,11.87,11.73,13.24,12.98,14.51,14.52,15.84,14.82,16.05,16.26,16.57,15.99,18.83,19.44,19.43,20.73,20.31,19.52,19.59,19.46,19.61,21,21.52,23.24,23.11,23.02,24.3,24.22,25.25,25.21,25.56,21.75,21.36,20.81,23.27,23.49,23.42,24.95,26.58,25.69,26.31,29.2,27.56,27.07,26.84,29.41,26.85,25.61,28.1,28.05,25.09,25.47,24.16,24.81,23.62,22.31,24.1,22.69,23.75,22.47,21.77,19.31,22.09,19.77,19.51,20.16,20.27,20.5,19.96,19.93,18.78,19.77,19.48,20.87,19.15,20.98,22.81,20.02,21.09,22.11,23.89,27.17,30.57,39.48,48.4,46.23,35.26,36.6,36.55,40.92,42.26,50.21,54.59,58.99,59.89,58.06,53.86,57.25,70.7,70.09,76.88,76.48,80.51,81.09,80.88,74.31,85.72,85.27,91.19,91.42,89.54,90.28,87.11,84.68,85.63,76.45,78.54,77.04,67.99,65.34,53.92,60.1,63.66,60.25,57.35,65.21,65.05,76.7,75.22,70.29,73.95,71.64,74.8,79.98,81.37,83.99,84.92,83.9,82.87,80.61,79.46,81.36,79.9,79.39,77.41,74.27,65.23,63.28,61.84,56.74,52.56,64.07,53.68,48.61,43.79,34.94,36.05,32.05,28.92,26.09,26.27,19.82,16.84,14.37,15.2,13.9,12.66,11.87,11.23,11.7,11.11,9.1,9.84,11.27,12.61,14.61,16.18,18.15,20.5
"Boston, MA",22.8,21.35,19.52,17.69,18.51,15.6,16.49,16.55,12.4,11.45,9.5,9.99,9.69,9.32,7.92,7.03,6.39,5.37,5.71,5.37,6.14,5.77,6.44,5.32,4.92,5.21,4.69,4.84,4.4,3.79,3.24,3.03,3.18,3.48,3.46,4.76,2.75,2.32,2.54,2.39,2.15,1.93,2.18,2.1,1.92,1.43,1.58,1.09,1.32,1.5,1.53,1.58,1.99,2.02,1.7,1.77,2.62,3.03,4.26,5.22,5.51,6.11,5.66,5.58,4.37,4.1,3.78,4.18,3.06,2.89,2.42,2.98,4.67,4.71,6.31,5.93,10.36,12.01,13.17,12.61,14.3,15.5,14.16,14.25,10.01,8.88,6.45,6.64,5.47,5.03,5.08,5.15,6.36,6.69,7.63,8.11,10.26,9.04,7.81,8.1,9.28,10.12,13.14,12.58,17.27,18.28,28.47,32.46,41.61,46.77,56.66,62.65,67.16,74.56,76.38,81.52,82.9,83.19,83.5,80.93,76.97,77.96,74.73,71.31,72.28,67.6,67.93,69.47,68.16,72.7,70.08,81.83,81.11,78.97,82.05,83.29,80.84,84.7,82.67,83.94,83.75,84.32,87.04,79.73,85.29,86.59,83.72,76.46,73.77,67.25,64.83,53.59,47.9,41.41,33.65,30.57,29.03,25.54,23.01,30.58,34.57,39.07,45.45,49.23,52.61,57.76,62.58,56.3,67.42,68.33,69.15,62.63,64.09,63.61,61.03,59.33,67.81,65.88,63.44,62.3,48.16,47.2,45.88,43.29,41.85,36.83,43.14,31.61,25.98,18.64,20.99,18.51,15.73,16.17,12.26,14.43,7.47,6.56,6.12,6.31,6.64,6.47,5.91,5.13,6.55,6.07,5.52,6.83,8.8,11.11,13.79,15.75,15.89,16.16
