"RegionName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",1.6194,1.6722,1.7067,1.6137,1.5223,1.4683,1.4804,1.54,1.603,1.7259,1.9079,1.9934,2.0724,2.1529,2.152,2.0891,2.0214,1.9398,2.0479,2.0979,2.151,2.2167,2.3361,2.5214,2.6885,2.7675,2.6678,2.5894,2.5021,2.4518,2.3899,2.4505,2.5245,2.6397,2.7231,2.8944,3.2209,3.4906,3.4454,3.265,3.1293,2.9649,2.8817,2.8728,2.9967,3.2063,3.4083,3.6285,3.7907,3.918,3.7973,3.6173,3.4348,3.2929,3.2599,3.3039,3.4549,3.6375,3.7906,3.9654,4.3117,4.6555,4.9236,4.9161,4.7384,4.4648,4.3699,4.3624,4.3146,4.3086,4.3218,4.3572,4.7667,5.1826,5.2123,4.9782,4.5752,4.3273,4.182,4.1816,4.2672,4.438,4.6856,4.8834,5.0834,5.2462,5.0824,4.8451,4.6149,4.2527,4.1068,4.151,4.2863,4.4523,4.6698,4.9268,5.5237,5.7808,5.8067,5.6839,5.5478,5.4296,5.4131,5.6026,5.9314,6.4236,6.925,7.5794,8.5292,8.8494,8.5631,8.0831,7.8702,7.689,7.7368,8.0211,8.6192,9.3427,10.0134,10.8436,12.4239,13.8037,14.2124,14.3636,14.3931,14.3491,14.4317,14.8291,15.7976,17.0116,18.6001,20.1217,22.6162,24.3068,24.6438,24.4736,23.911,23.1357,22.5391,22.2024,22.2373,22.3847,22.1636,23.3072,25.9471,27.4358,27.2548,25.9827,24.7676,24.0436,25.1009,26.4162,27.315,27.6874,27.8989,29.1379,30.8609,31.879,31.7238,30.7056,29.6426,28.9049,28.4014,28.3986,33.1768,34.0752,34.742,35.5043,36.7927,38.2068,38.533,37.2602,35.6993,34.8583,34.6297,34.8744,34.9943,35.3725,35.436,35.4574,35.7479,36.1079,35.2394,33.7554,31.9126,30.2836,28.8798,27.9145,27.2651,27.0102,26.6575,26.6859,27.2097,27.0138,25.917,24.4926,23.2912,22.3787,21.7108,21.3385,21.3692,21.4888,21.4591
"New York, NY",1.2342,1.3774,1.3772,1.3054,1.1566,1.1167,1.1167,1.0554,1.3065,1.2892,3.04,2.5258,1.997,1.5576,1.6691,1.6264,1.6198,1.4927,1.5132,1.4808,1.4734,1.4963,1.6651,1.6656,1.8014,1.8793,1.8547,1.8577,1.8409,1.8544,1.7843,1.7979,1.8738,1.9436,1.9251,2.0372,2.1811,2.4037,2.5233,2.5751,2.4019,2.1392,1.912,1.8478,1.7229,1.7222,1.9986,2.3412,2.4943,2.7373,2.7323,2.6753,2.4696,2.4287,2.3202,2.2062,2.1441,2.2936,2.3458,2.4779,2.9128,3.2595,3.3377,3.2524,3.1368,2.7922,2.5595,2.7612,2.7974,2.7976,2.8031,2.6891,5.5605,7.7545,8.5969,7.9998,7.4426,6.7478,6.0029,5.537,5.7082,6.1204,6.5667,7.318,7.9115,8.0445,8.0686,7.8235,7.6932,6.9671,6.3311,6.2632,6.802,7.1562,7.3827,7.8908,8.798,9.353,9.4306,8.9568,8.3852,8.0573,7.2686,6.7845,7.1915,8.0213,8.7115,8.7811,9.071,8.5838,7.732,6.1563,5.2237,4.6344,5.184,5.5841,6.3439,6.5672,6.8391,7.6048,8.6343,8.652,9.3255,9.9996,10.4846,10.4695,10.5379,10.4974,11.1795,12.4775,13.5024,14.209,15.4975,17.6595,19.1591,19.68,19.4391,19.1183,18.5285,18.0039,17.6142,17.6432,17.7206,18.3396,18.8138,19.457,20.4452,20.8943,20.792,19.9204,18.9655,19.517,19.8551,20.1357,19.7758,19.7546,20.5259,21.4894,22.4204,22.2002,21.8169,21.1917,20.0232,19.459,22.6693,23.5509,24.3261,25.2711,25.9083,26.8375,27.4586,24.7888,24.4487,24.2211,24.1636,23.8852,23.5716,24.1033,23.7849,23.885,24.0429,24.9567,24.5986,24.197,22.8929,22.4799,22.1345,21.2857,20.6512,20.4778,20.6673,20.1904,19.9584,19.9121,20.2969,20.3001,19.6037,19.6363,19.7317,19.2247,18.8861,18.2628,18.5381
"Los Angeles, CA",1.5369,1.6152,1.3888,1.2091,1.0522,0.9101,0.8822,0.9059,0.9033,1.0108,1.0981,1.2118,1.2256,1.135,1.175,1.2087,1.1126,1.0639,1.0508,1.1549,1.1728,1.2251,1.2535,1.5669,1.599,1.5956,1.3406,1.2203,1.1948,1.1356,1.0383,1.01,0.9057,0.9242,0.9979,1.0947,1.1449,1.2513,1.2495,1.1313,1.0044,0.9453,0.965,0.9617,0.9485,1.0716,1.1671,1.1643,1.2457,1.2781,1.2347,1.1329,1.0349,0.995,0.9761,1.0043,1.0584,1.0226,1.0185,1.1002,1.128,1.0533,1,0.9626,0.882,0.8381,0.8267,0.8063,0.7654,0.8611,0.868,0.8266,0.8242,0.847,0.9546,0.885,0.7753,0.7067,0.7347,0.7367,0.6998,0.7784,0.7694,0.7394,0.7271,0.8157,0.8356,0.7845,0.7412,0.6949,0.6594,0.6125,0.5682,0.6304,0.7525,0.8337,2.0737,3.1415,4.1175,4.8958,4.5088,2.8027,1.7711,1.5466,1.5988,1.7197,1.9756,2.1276,2.3682,2.6551,2.6652,2.8762,3.0977,3.4134,3.6833,4.029,4.3503,5.0543,5.6511,6.3411,7.4907,8.9175,10.1124,10.753,11.8034,12.6607,13.545,13.9612,15.2466,16.865,17.8489,18.965,21.0626,22.4978,21.9197,22.5154,22.1786,20.9478,19.7442,19.7699,19.3634,20.3285,20.489,21.0369,22.7191,24.0802,24.4028,24.474,23.4887,23.34,23.0853,23.7077,22.8336,22.1047,22.2404,22.7293,24.7957,26.2107,26.5334,25.0667,24.9091,24.7588,23.6876,23.6839,29.803,31.089,31.7998,32.9731,33.8259,34.3858,34.1087,32.4762,31.1707,29.9827,29.2685,28.8614,28.7123,28.7353,28.0688,27.5071,26.7956,25.6593,23.8569,21.6695,19.8841,17.9024,16.722,15.5712,14.8408,14.1108,14.0265,14.2935,13.9644,13.6399,13.0626,12.2388,11.5914,11.4916,11.0595,10.7904,10.6035,10.5655,10.2175
"Chicago, IL",0.5298,0.6458,0.7621,0.7318,0.7115,0.6742,0.7721,0.8153,0.7975,0.8652,0.9193,1.0209,1.2223,1.2419,1.3242,1.3852,1.5208,1.3149,1.128,1.0177,1.1299,1.2485,1.3123,1.4496,1.4824,1.4395,1.5624,1.6431,1.5579,1.4593,1.3415,1.30629999999999,1.2944,1.5184,1.6869,1.6976,1.783,2.0126,2.0782,2.0052,1.7103,1.5393,1.4564,1.4543,1.5966,1.6819,1.7679,1.916,2.1243,2.3969,2.504,2.4471,2.1814,1.929,1.7318,1.7051,1.8805,1.8898,1.972,2.0564,2.1421,2.5991,2.7957,2.7289,2.5866,2.28,2.2434,2.1451,2.1547,2.113,2.3081,2.4521,2.591,2.7368,2.7973,2.6043,2.3596,2.1972,2.0853,2.0755,2.0927,2.1417,2.2972,2.3819,2.4783,2.6552,2.6644,2.5918,2.2809,2.1375,2.1274,2.1158,2.1247,2.2469,2.5142,2.8252,2.7117,2.7287,2.8695,2.7983,2.6639,2.5607,2.6312,2.6805,2.8464,3.1333,3.3306,3.5763,3.9994,4.6416,4.9346,5.1075,5.1356,5.0668,5.0489,5.286,6.0508,6.9633,8.3011,9.8158,11.3489,13.3988,15.0061,15.4028,15.9638,16.0584,15.9947,16.9307,18.426,20.0789,23.1787,25.2183,28.7244,31.7706,33.3521,33.7424,33.5152,32.5861,31.2135,30.1188,30.7214,31.0532,31.2383,31.5043,34.5779,37.7349,39.0909,37.4093,35.2258,33.0996,33.179,34.8377,36.4195,37.4832,37.4563,38.4792,41.3963,44.3016,45.9959,44.6721,43.3868,42.1571,40.3646,40.1725,43.9435,44.3541,45.2031,45.5166,46.7917,47.9982,49.3532,49.2813,48.3677,47.4684,46.6539,46.929,47.3751,49.104,49.0813,48.6947,47.5099,48.9079,50.1325,49.2141,46.5992,44.3435,42.5082,41.7101,41.237,40.7736,40.4045,39.9855,41.1992,41.073,41.1455,40.5396,39.2918,37.2223,36.2687,35.2993,34.0908,34.0786,34.7341
"Dallas-Fort Worth, TX",1.8313,2.1038,2.1435,2.1996,2.1967,2.2985,2.4005,2.6021,2.6456,2.7493,2.9874,2.9093,2.9791,2.929,3.2351,3.3723,3.3336,3.7057,4.0669,4.2559,4.1807,4.2599,4.5602,4.4162,5.2259,5.6902,5.7705,6.0664,6.3199,6.6498,6.5854,6.6839,6.777,7.01439999999999,6.6934,6.7401,7.2173,7.727,7.5026,7.3707,7.7373,7.5321,7.5331,7.4971,7.5525,7.7835,8.0504,8.6316,9.1656,9.5674,9.0069,8.5921,8.3256,8.2537,8.3348,8.4886,8.9043,9.1839,9.0961,9.1992,9.4914,9.6298,9.4285,9.4133,9.7849,9.9792,10.1319,10.4314,10.9285,10.3667,10.5956,10.3309,8.6714,7.417,6.9039,7.0175,6.9129,6.8767,6.8128,7.0645,7.1877,7.0944,7.2526,7.6348,7.5759,7.539,7.2439,7.2913,7.0774,7.1427,7.5518,7.7084,7.8454,7.757,8.0582,7.9557,7.4192,7.3972,7.5179,7.7517,7.4471,7.3575,7.3451,7.3951,7.4374,7.5477,7.7145,7.9243,8.1495,8.6044,8.5363,8.38,8.1361,7.8736,7.7464,7.5575,7.8584,8.2399,8.8092,9.2748,11.3749,13.4596,14.0704,14.5295,14.5998,15.3104,15.8616,16.0142,15.6051,16.4294,17.8038,18.9198,19.1116,20.6995,22.5284,23.5624,23.5607,23.2954,23.3751,23.0957,22.5487,21.6647,21.0466,21.4386,23.5191,24.2715,23.9154,23.7575,23.7291,22.1065,22.839,24.3914,26.0817,25.8619,26.0717,26.4336,26.9853,27.9212,27.8115,26.5332,25.8236,27.163,26.724,25.1122,29.8692,30.0844,30.0757,29.8357,31.2571,32.4411,33.0061,31.0199,29.0184,28.9561,28.3768,28.912,27.789,27.0657,25.9681,24.956,26.1952,25.391,25.1537,24.0611,22.9052,21.4118,20.722,20.351,19.9679,20.3157,18.9086,18.1864,18.133,18.5416,17.3573,16.6567,16.0193,15.6669,14.9362,14.5293,14.4793,16.1912,18.8798
"Philadelphia, PA",1.7748,2.16,2.5993,2.482,2.3001,1.9903,1.8535,2.1499,2.2926,2.2229,2.1757,2.0759,2.2923,2.7725,2.7774,2.9769,2.7452,2.3914,2.0925,2.1775,2.5533,3.0497,3.6002,3.5679,3.5787,3.7544,4.1692,4.2422,4.2758,4.4919,3.7333,3.2223,3.1786,3.4878,3.4866,3.6451,4.5445,5.5904,5.5282,4.569,4.1346,3.8258,3.2001,3.0304,3.103,3.5689,3.9161,3.9074,4.0531,4.6178,4.8347,4.5852,4.2167,4.0269,4.0946,3.8465,3.5931,3.5346,3.6453,3.8283,4.3112,4.8344,5.1915,5.1808,4.8131,4.2646,3.9386,3.9532,3.9622,4.063,4.773,4.8709,6.7236,8.5285,9.6539,9.7553,8.9683,8.0078,7.2108,7.1422,7.4206,8.4416,9.2539,9.6053,10.1731,10.8673,11.4333,11.0913,10.5275,9.2742,8.5148,8.4481,8.8085,9.0264,9.4764,9.7083,10.9927,12.1486,12.2226,11.4435,10.9291,10.5871,10.2056,10.0263,9.908,10.7258,11.6355,11.9683,11.7119,11.2328,10.0341,8.8706,8.3388,7.4758,7.0773,7.0664,7.186,7.27,6.9505,7.699,9.2181,10.9246,11.785,11.634,11,9.4625,9.1998,8.3824,8.2137,8.536,9.7675,11.0021,13.1606,14.3685,14.664,13.5612,12.7339,12.9033,12.8134,12.0946,11.9961,12.0331,11.5923,12.0671,14.264,15.6095,15.5567,14.745,13.7334,13.4272,14.0219,15.1271,15.8461,16.3515,16.4152,18.1225,18.6463,19.8284,20.009,20.1483,19.2421,18.5042,18.9177,18.6426,23.9494,24.8876,25.979,28.1303,32.4739,34.8592,35.8474,34.088,32.9363,33.4212,32.6868,32.9391,33.8244,34.6561,34.0367,32.6711,32.675,34.5356,35.2988,33.7047,32.3782,31.2105,30.1526,28.9453,27.7756,26.5296,26.1238,26.4407,27.2703,27.5554,26.874,25.5824,24.3823,23.4465,22.7665,22.5645,22.8875,22.6677,22.2424
"Washington, DC",1.9588,2.0291,2.2435,2.0509,1.8323,1.7123,1.5562,1.5845,1.7324,1.9083,1.9039,1.9494,2.5802,2.8706,2.701,2.4036,2.3355,2.246,1.8915,1.8383,2.0981,2.6216,2.7058,2.7219,2.7568,2.7764,2.6717,2.5273,2.2599,2.3666,2.0725,2.0913,2.3764,2.3534,2.3196,2.4388,2.6317,3.0171,2.7557,2.2354,2.0954,2.1529,1.8144,1.6685,1.7228,1.8704,2.0382,1.939,2.0177,2.2647,2.1332,2.0507,1.8906,1.8444,1.7236,1.5795,1.6984,1.8669,1.9265,2.0048,2.2551,2.2213,2.3341,2.2573,2.1874,2.0736,1.9512,1.7995,1.7441,1.8799,2.0224,2.0709,2.6135,3.1568,3.1534,2.9869,2.6303,2.3609,2.1861,2.2247,2.1729,2.2593,2.3622,2.36,2.6249,2.9079,2.7698,2.601,2.3058,2.1914,2.0256,2.0569,2.2763,2.5637,2.8584,2.8531,3.328,3.6374,3.4847,3.3947,3.0667,2.8787,2.685,2.5649,2.8103,3.5497,4.5514,4.6872,4.8106,5.0615,5.3114,5.4814,5.6525,5.4562,5.3888,5.6535,6.0672,7.2869,7.8341,8.6513,9.9412,12.5032,14.0543,15.2741,16.0454,15.8735,15.1555,15.6141,16.8711,18.6287,21.5712,23.3101,24.1468,27.6689,28.9859,28.5852,26.9503,24.5291,24.3564,23.5609,24.3145,25.1189,24.5847,24.3438,27.0549,29.115,29.793,28.2385,26.2935,26.5238,25.7615,23.5205,24.0107,25.6657,26.8851,25.75,27.4732,29.6431,30.3124,29.5816,28.2935,25.0066,24.6207,25.5029,27.1915,27.0701,27.5067,27.6684,29.3663,31.335,31.1468,30.3724,29.309,29.4485,29.4055,31.183,31.944,33.9353,34.1423,34.3716,35.6738,37.1133,35.5089,33.2989,29.7944,26.1406,21.8954,19.5349,19.274,19.4133,19.3411,19.003,19.7098,20.0379,20.1413,19.6597,18.0152,17.4031,16.711,16.941,17.7749,17.996,17.8525
"Miami-Fort Lauderdale, FL",2.2756,2.5436,2.5177,2.3952,2.1919,2.2789,2.4683,2.709,2.932,3.1738,3.6332,3.7126,3.7667,4.0325,4.0664,4.0801,4.0906,4.2558,4.053,4.3947,4.7527,4.6726,4.6017,4.8961,5.3395,5.665,5.4192,5.3217,5.2409,5.1546,5.1533,5.0696,4.9164,4.8427,5.0402,5.0997,5.8572,5.8844,6.2549,5.9145,5.3314,4.8737,4.8035,4.4661,4.5072,4.4209,4.6098,4.6019,4.54,4.387,4.0415,3.8088,3.7145,3.6844,3.8195,3.9014,3.8905,3.8323,3.7394,4.2682,5.1899,5.3793,4.9818,4.6694,4.6551,4.6871,4.4798,4.3606,4.3058,4.2827,4.4516,4.2065,4.2399,4.5067,4.3283,3.983,3.577,3.5179,3.4491,3.4384,3.4056,3.3998,3.8885,3.8886,4.05,4.3038,4.1364,3.8645,3.8313,3.7162,3.8023,3.8443,3.851,3.9052,3.8441,4.093,4.3645,4.5429,4.2402,3.9781,3.8173,4.0175,4.0986,4.2397,4.5214,4.6579,4.8594,5.2967,5.7351,6.4694,6.7377,6.6158,7.0629,7.7051,8.3845,8.9916,10.1039,11.1655,12.0792,13.9535,15.8049,17.8985,19.3722,20.7118,22.9374,24.5323,25.9223,30.4778,33.396,37.3341,40.116,41.8441,46.7884,50.7238,51.5812,51.0361,50.5935,50.7097,50.0742,49.4339,48.9615,49.0219,45.6881,45.7363,49.0144,50.5001,49.2844,48.1344,47.3359,46.2441,45.4696,46.7252,48.4164,49.7906,48.586,45.2613,45.281,46.6114,47.4742,46.0525,43.4189,43.191,43.2682,44.6231,46.5113,48.0274,48.1241,47.8737,48.8701,49.4587,48.1517,45.828,43.8908,43.81,43.5871,43.397,43.6132,43.3,41.3644,40.2114,39.7848,39.0958,38.0606,35.9326,34.6465,33.6683,32.7372,31.6354,29.5084,28.5388,27.011,27.7653,27.8523,27.4591,24.9814,23.4888,22.6475,22.1321,21.8785,21.2791,21.1616,19.916,19.1638
"Atlanta, GA",0.9742,1.0096,0.9278,0.9001,0.9067,0.9643,0.917,0.9029,1.0101,1.3402,1.4378,1.3677,1.3778,1.4514,1.3244,1.2083,1.1054,1.1246,1.2391,1.3195,1.3342,1.4071,1.4797,1.4904,1.5174,1.6452,1.6809,1.6818,1.6104,1.531,1.5369,1.5911,1.6968,1.6057,1.5776,1.7287,1.8222,1.8186,1.7838,1.7366,1.666,1.6521,1.6494,1.574,1.593,1.9293,2.3489,2.4986,2.455,2.6982,2.9388,2.8961,2.8247,2.7175,2.6113,2.7839,2.9322,2.938,3.2203,3.4895,3.9697,4.5273,5.0918,5.4028,5.6444,5.5362,5.5442,5.5241,5.4721,5.2104,5.577,5.8073,5.6501,5.3376,5.403,5.1807,5.1824,5.2122,5.0262,4.9258,5.1945,5.4525,5.5724,5.6533,5.7154,5.5693,5.7361,5.5766,5.6576,5.5671,5.4807,5.2351,5.4476,5.7281,6.205,6.3578,7.4104,9.3215,10.1761,10.0107,10.0501,9.7545,9.4468,9.207,9.6172,10.5016,11.5621,15.4319,20.682,22.2935,18.3579,14.9456,13.736,14.2737,14.478,15.5073,17.5619,19.3061,20.211,21.8665,24.2064,28.4183,30.001,29.7817,30.1879,29.3816,30.216,31.2582,34.3239,34.0843,37.8541,39.3501,42.6011,44.9342,45.0024,45.3812,45.3582,44.9188,43.6504,42.3743,41.8148,42.1824,42.2625,42.3781,42.3533,42.1162,43.5675,42.9631,42.2473,41.2487,40.6727,41.9892,42.2876,40.3436,39.9092,42.4344,43.7258,43.6119,44.0693,43.0017,41.6421,41.6984,41.1581,41.6148,54.8422,55.2618,55.2474,54.1228,55.3715,56.1417,56.0054,53.6132,53.7441,54.416,54.8503,54.4557,54.6443,54.421,55.1706,54.0341,51.6954,50.6237,50.4075,48.6115,46.7822,44.6108,42.5487,40.7264,39.2913,38.7222,38.8422,37.5153,37.097,37.2614,37.2568,35.9442,33.877,31.8144,31.452,31.4502,31.304,31.3883,31.4476
"Boston, MA",2.8185,3.0462,3.3728,3.0977,2.668,2.0923,1.9755,2.3018,2.6148,2.9255,3.2168,3.3807,3.5204,4.0514,4.2179,3.6009,3.0613,2.4743,2.36839999999999,2.4614,2.5678,2.8531,3.0037,3.2789,3.9274,3.9742,3.5962,2.9973,2.8962,2.5962,2.3919,2.468,2.5148,2.6559,2.6796,3.0855,3.5137,3.7054,3.4622,3.4885,3.3488,3.0042,2.6999,2.4452,2.789,3.5294,4.1733,4.3537,4.2419,4.1267,3.8059,3.5492,3.0826,2.7715,2.811,3.1277,3.1895,3.8283,4.195,5.4866,7.9418,11.4688,21.0058,21.7571,20.6502,18.061,16.8609,16.1622,15.8007,17.5188,16.4966,15.288,19.2927,25.0812,27.9027,26.72,22.8852,20.622,19.6329,19.6068,21.4371,23.0935,24.8695,25.5082,27.2674,29.799,29.446,27.4701,24.3019,16.1138,10.9144,9.2563,10.1262,11.3167,12.8794,13.7152,16.6382,17.6021,23.1942,26.5374,26.9556,24.5827,23.8609,24.8627,27.0595,30.0663,31.8672,33.2715,36.3388,37.2896,36.3626,34.7444,32.7687,29.6161,27.9858,27.413,30.2752,34.4751,36.8317,38.62,43.1623,47.2026,47.6609,44.8965,40.2041,35.9441,34.2081,33.3688,37.119,40.0471,42.9339,45.1721,50.4185,55.451,56.2953,53.601,49.5329,44.1108,39.7529,37.9785,39.4085,40.2334,40.5721,43.0656,47.1631,50.4438,49.5915,44.4626,40.8833,37.7162,40.2476,43.118,46.8819,48.8841,50.2872,49.819,51.0109,54.7473,54.5166,51.5506,47.2831,43.3988,41.4952,42.5427,43.6472,47.4139,49.9664,50.4925,54.3235,57.6303,57.3188,53.1964,48.7892,44.2623,42.8972,42.8396,45.5089,48.7456,49.631,50.8408,55.0236,56.8912,55.6693,51.7299,46.1512,40.3085,37.4177,36.5538,38.6755,41.2665,42.5773,42.7983,45.1377,39.1278,29.3619,21.4484,17.9944,16.6228,15.5434,15.0046,17.67,21.2568,20.8492
