"RegionName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",2.3966,2.4995,2.4626,2.3353,2.185,2.0518,2.0016,2.0501,2.1566,2.1913,2.1322,2.1145,2.1582,2.3363,2.3755,2.2655,1.9893,1.7657,1.7531,1.8402,2.0057,2.1207,2.1401,2.1887,2.2645,2.3798,2.42,2.2966,2.0999,1.9493,1.8406,1.773,1.7903,1.8261,1.8759,1.934,2.0747,2.1213,2.0256,1.8228,1.6923,1.5892,1.4787,1.4548,1.4745,1.538,1.5593,1.5847,1.6674,1.827,1.9201,1.9149,1.8127,1.7,1.6027,1.566,1.5938,1.6534,1.7063,1.7392,1.8242,1.9203,1.9515,1.8722,1.7434,1.625,1.5259,1.4648,1.4852,1.5788,1.683,1.7415,1.7286,1.7952,1.8753,1.8692,1.7593,1.6806,1.637,1.6857,1.7626,1.868,1.9753,2.0544,2.1594,2.2394,2.283,2.1955,2.0764,1.9431,1.8456,1.8052,1.803,1.8623,1.9267,1.9831,2.1306,2.3146,2.3817,2.3558,2.2516,2.1248,2.0943,2.1564,2.2686,2.4272,2.5572,2.6631,2.8904,3.1588,3.3383,3.4044,3.3748,3.2896,3.2885,3.421,3.8285,4.3613,4.9536,5.564,6.7116,7.8153,8.6307,9.315,9.6025,9.9017,10.4766,11.178,12.2555,13.5892,15.276,16.7637,18.7061,19.6269,19.9235,19.7248,18.3002,16.674,15.057,14.2104,13.9523,13.7422,13.1188,13.3992,14.6693,15.8076,15.6507,14.6065,13.5286,12.4797,12.5792,13.3247,14.244,14.8392,14.9579,14.9815,16.0975,17.5928,18.443,17.901,16.8931,15.7058,14.7886,14.4243,14.304,14.3616,14.2919,14.078,13.9515,14.5306,14.4189,13.3914,12.1173,11.0462,10.3136,9.8022,9.4662,9.3442,8.9208,8.6824,9.242,9.9378,9.8838,9.212,8.3883,7.6065,6.9998,6.72,6.808,7.1603,7.3741,7.6737,8.6196,9.4205,9.5276,9.0642,8.2972,7.5289,7.0368,7.0439,7.2946,7.5648,8.0221
"New York, NY",0.278,0.348,0.4629,0.4486,0.4449,0.4293,0.429,0.4475,0.5228,0.53,0.612,0.5789,0.6694,0.6547,0.7957,0.824,0.7916,0.7199,0.6588,0.5495,0.4742,0.5473,0.6747,0.7521,0.8372,0.8206,0.9321,0.9391,1.0385,0.8722,0.7982,0.7512,0.7872,0.7964,0.8893,0.8646,0.9136,1.0143,1.1395,1.1676,1.0575,0.8318,0.7306,0.6847,0.7722,0.7525,0.722,0.7475,0.7699,0.8371,0.7878,0.8259,0.7715,0.7527,0.6025,0.5718,0.5725,0.6247,0.5834,0.6574,0.6515,0.6117,0.5925,0.6929,0.6689,0.6056,0.5736,0.5997,0.5751,0.5033,0.493,0.4929,0.5147,0.5583,0.6012,0.6745,0.7476,0.6746,0.6319,0.6359,0.6531,0.7355,0.7249,0.7265,0.7742,0.7527,0.7285,0.7154,0.7575,0.729,0.5655,0.5158,0.4837,0.4837,0.4944,0.5238,0.5731,0.6531,0.7222,0.7606,0.687,0.6603,0.5945,0.5637,0.531,0.5988,0.6148,0.6119,0.5871,0.634,0.6544,0.7103,0.7684,0.7651,0.7465,0.718,0.7279,0.8543,0.8528,0.9276,1.1736,1.3709,1.6271,1.6263,1.589,1.6376,1.603,1.7344,1.8273,2.1496,2.7294,3.0341,3.2778,3.8308,3.9925,4.4678,4.53,4.0048,3.5086,3.2504,3.1995,3.4124,3.4797,3.3973,3.5487,4.0922,4.3564,4.4117,4.1146,3.5284,3.1277,3.2342,3.3699,3.6031,3.7156,3.5346,3.6628,3.9977,4.4385,4.5291,4.0497,3.3522,2.6288,2.2693,2.2348,2.3148,2.2333,2.1398,2.0503,2.0957,2.0698,1.7704,1.6872,1.6417,1.5074,1.2846,1.1722,1.2335,1.1948,1.2357,1.2867,1.4032,1.5464,1.55,1.4228,1.2608,1.0447,0.9448,0.9429,0.974,1.3414,1.4641,1.6476,1.959,2.2066,2.2989,2.3032,2.1618,1.8377,1.6575,1.7535,1.8838,2.0822
"Los Angeles, CA",16.6851,17.5589,17.1188,15.6839,14.034,12.8637,12.2317,12.5787,12.584,12.2902,11.7837,11.3651,12.1443,13.2751,12.9456,11.7857,10.5384,9.5104,9.8118,10.5735,11.1409,11.6569,11.1327,10.5157,10.7729,10.5699,9.5449,8.722,8.3168,7.9774,7.7108,7.1239,6.866,6.8515,6.5898,6.5203,6.9815,7.1351,6.4528,5.7885,5.3497,4.8615,4.4855,4.3094,4.2877,4.3745,4.2761,4.3266,4.6224,4.8417,4.6449,4.5776,4.4267,4.1461,4.0103,3.825,3.759,3.6607,3.7388,3.6231,3.8021,3.6987,3.5069,3.0589,2.6558,2.5369,2.4383,2.2814,2.1604,2.1218,2.186,2.1345,2.0223,2.0966,2.0492,1.8678,1.6613,1.4273,1.3678,1.3403,1.3212,1.3061,1.2671,1.2313,1.3124,1.3617,1.3079,1.1771,1.1219,0.9975,0.9666,0.9504,0.8538,0.8736,0.8306,0.7722,0.8069,0.8722,0.8966,0.9534,1.0007,1.0351,0.9477,0.9552,1.023,1.1641,1.3693,1.592,1.7681,2.1002,2.4329,2.5794,3.0209,3.6492,4.1028,4.5832,5.7037,7.5419,9.237,11.61,15.0478,19.1786,22.4649,24.266,25.2716,26.8533,29.5271,31.5606,34.1696,36.3606,38.713,42.1109,46.2789,47.3558,45.9546,44.095,41.6081,37.7133,34.4899,32.1434,29.7306,28.5827,27.6367,26.8974,27.169,28.588,28.0847,26.4696,24.2157,23.2411,23.9428,24.5956,24.7123,24.3768,24.7397,25.4713,27.1636,28.1875,28.0168,26.1062,25.2416,25.7614,25.7249,25.6707,26.0139,27.4267,27.3634,27.4931,27.9638,28.0245,27.935,26.5535,24.7645,22.8183,20.6616,18.4281,16.5731,15.5163,14.4876,14.1052,14.9367,15.5361,14.665,13.0342,11.441,10.0081,8.8679,7.8479,7.3811,7.5034,7.6216,7.6616,7.6697,7.7549,7.3766,7.0006,6.4711,6.1641,6.0455,5.6461,5.6173,5.5757,5.718
"Dallas-Fort Worth, TX",3.1009,3.0602,2.6891,2.322,2.0911,2.0766,2.027,2.2162,2.4099,2.7234,2.7751,2.5836,2.7054,2.8182,2.757,2.2964,1.8178,1.6019,1.7004,2.2043,2.5873,2.8299,2.5265,2.4699,2.6657,2.6724,2.5131,2.3659,2.267,1.883,1.9934,2.0118,2.0498,2.1445,2.2117,2.154,2.928,3.0238,2.7309,2.2507,2.0101,1.7276,1.7463,1.7132,1.7886,1.9742,2.0555,1.8884,2.061,2.3002,2.4846,2.5757,2.4147,2.4339,2.5749,2.6062,2.8049,2.7896,2.9848,3.0623,3.5837,3.9645,3.9535,3.8554,3.5415,3.3639,3.2642,3.4437,3.8546,4.1162,4.6094,4.9582,5.5494,5.9734,6.3481,6.1623,5.8448,5.3312,5.2089,5.4766,5.8779,6.0368,6.2978,6.562,7.1724,7.8713,7.7867,7.6456,7.0719,7.1269,6.6528,6.5361,6.4887,6.0702,5.6506,5.5182,6.3453,6.8513,7.3444,7.4001,7.4001,7.1341,7.1305,7.3965,8.0812,8.5877,8.8534,9.2096,10.1241,10.9025,10.6463,10.0294,9.2044,8.5766,8.9937,9.222,9.8038,10.6777,11.414,12.1701,14.1718,14.4815,13.9527,13.8634,13.3371,13.0074,12.5195,11.9843,12.5993,13.8831,15.9249,16.72,18.4856,18.4908,19.9141,19.6892,18.4949,15.8766,14.2938,14.1453,14.9246,15.4525,14.2307,15.8009,18.013,18.6953,18.1982,16.8076,15.818,14.6773,14.6695,15.373,16.3536,16.9004,17.6797,17.2097,17.837,17.8125,19.2423,20.3271,19.956,17.5674,16.8324,15.7318,15.7321,17.0954,17.8312,17.5104,18.6423,19.0035,17.8786,15.8466,13.423,13.0727,12.8774,12.1135,12.6009,13.7208,12.8969,12.5586,13.4147,13.7168,12.2417,10.1084,8.4853,7.5178,6.9227,6.7207,6.8234,7.2466,7.4884,7.5251,9.1419,9.298,8.7268,7.668,6.8529,5.9652,5.4981,5.4209,5.6279,5.3269,5.1129
"Philadelphia, PA",0.1622,0.2577,0.4058,0.4893,0.5142,0.497,0.5156,0.4637,0.4768,0.4899,0.6822,0.8352,0.8746,0.7942,1.0475,1.0672,1.0194,0.8681,0.7122,0.7446,0.8763,0.976,1.0487,1.2761,1.4474,1.8898,2.0264,2.0374,1.7729,1.6924,1.6039,1.6295,1.7262,1.7569,1.8369,1.8206,1.8306,1.8557,1.9881,1.8345,1.7198,1.481,1.3656,1.4639,1.639,1.582,1.571,1.3755,1.3106,1.3007,1.597,1.5023,1.3907,1.2034,1.1976,1.1228,1.1573,1.1978,1.2378,1.2869,1.3324,1.4014,1.4216,1.3912,1.164,1.1274,1.0373,1.0849,1.1379,1.1742,1.3614,1.4,1.3295,1.4624,1.7723,1.978,1.9811,2.0224,2.0088,2.1344,2.1903,2.268,2.4371,2.511,2.6451,2.8513,3.0616,3.0427,3.0257,2.7766,2.5127,2.3336,2.3791,2.6225,2.6062,2.5975,2.6824,3.1445,3.2438,3.1876,3.1197,2.8813,2.5923,2.4528,2.4259,2.6056,2.7143,2.9073,3.0986,3.365,3.5793,3.6887,3.6737,3.5411,3.247,2.8544,2.7652,2.9983,3.4941,3.5723,3.8854,4.4291,4.4836,4.1597,3.505,3.4815,3.4694,3.4458,3.8141,4.3707,4.9605,5.4028,6.0311,6.9457,7.6948,7.6014,7.2194,6.5822,5.7865,5.2159,4.9071,5.2944,5.2153,5.1323,6.0642,7.4798,8.0261,7.428,6.4678,5.7731,5.6193,6.8424,7.1913,7.4495,6.8978,6.4038,7.1813,8.4777,8.965,8.2825,7.5663,6.8345,6.2321,5.7498,5.6905,5.7694,5.6933,5.7791,5.5693,6.0005,6.2625,6.0006,5.4625,4.8934,4.7426,4.9389,4.9148,4.8415,4.382,4.4014,4.9017,5.417,5.4874,5.4443,5.2203,4.6417,4.4826,4.5778,4.7799,4.8088,5.081,5.0525,5.738,6.6223,7.4309,7.2775,6.8687,6.0573,5.6421,5.3574,5.6985,6.5277,7.4279
"Washington, DC",0.966,1.3619,1.5664,1.536,1.6965,1.7147,1.5861,1.5368,1.9244,2.266,2.3529,2.2258,2.4611,2.7302,2.7726,2.4904,2.2039,1.9117,1.4327,1.3392,1.595,1.814,2.2046,2.4934,2.8656,3.2873,3.5703,3.4027,2.989,3.2665,2.6767,2.4514,2.4936,2.4869,2.635,2.7915,3.483,3.5726,3.2528,2.7184,2.4885,2.6672,2.0854,1.7761,1.9057,2.1573,2.128,2.1139,2.0865,2.2797,2.2291,2.2962,2.117,2.1642,1.9004,1.6123,1.3985,1.4492,1.5831,1.4223,1.5963,1.798,1.9039,1.8083,1.6786,1.467,1.309,1.0326,0.8926,1.052,1.1423,1.1301,1.0949,1.338,1.5197,1.4396,1.2523,1.2666,1.2078,1.1039,0.9216,1.0062,1.0911,1.0876,1.1487,1.1814,1.0457,0.9065,0.815,0.7096,0.551,0.461,0.5154,0.6021,0.6565,0.6845,0.6737,0.7618,0.7481,0.7091,0.6167,0.6102,0.5586,0.4807,0.5953,0.5811,0.6488,0.6784,0.7791,1.0016,1.1855,1.429,1.7436,2.0886,2.2836,2.4985,2.9115,3.7226,5.0895,6.2296,8.0114,10.084,12.1088,14.2052,15.72,16.1259,17.5806,18.2936,20.6367,22.3639,24.6851,26.3354,27.1275,28.7592,28.6777,26.8403,23.7417,19.6378,17.1669,16.3833,16.2769,16.5247,16.0643,15.455,15.6375,18.1923,19.2013,18.5347,16.8652,15.0118,14.343,13.1975,13.9289,14.9281,15.0729,14.7265,16.4581,18.8489,19.2949,17.5694,15.6643,13.4902,12.4417,12.3348,12.6813,13.1936,13.4678,13.2915,13.8677,14.5683,13.2552,11.7978,9.896,8.5761,7.3409,7.1326,6.8783,6.5726,6.3826,6.3688,6.7571,7.1125,7.0968,6.7406,6.1689,5.5383,4.8216,4.998,5.9599,6.2798,6.3227,6.3615,7.2907,8.234,8.4584,8.1961,7.3051,6.4171,5.7287,6.0373,6.3036,6.7821,7.1623
"San Francisco, CA",4.726,4.941,4.7449,4.248,3.676,3.3758,3.2032,3.0249,2.9807,3.1457,3.0912,2.8765,3.2087,3.2569,3.1187,2.7708,2.4759,2.2329,1.9276,1.9257,2.087,2.0522,1.9278,1.926,2.1588,2.1734,2.1007,1.8554,1.6847,1.4838,1.4786,1.3207,1.2645,1.2455,1.2298,1.1144,1.1301,1.182,1.1939,0.9666,0.8739,0.747,0.6964,0.7063,0.7009,0.7215,0.6976,0.6136,0.6745,0.8645,0.9591,0.8708,0.7845,0.6584,0.6041,0.4996,0.6378,0.6132,0.6606,0.6947,0.6895,0.612,0.7454,0.7989,0.8142,0.6838,0.6413,0.7117,0.7481,0.7294,0.833,0.8743,1.0132,1.0515,1.0843,0.9637,0.842,0.7393,0.6654,0.6353,0.6773,0.6807,0.6407,0.6267,0.6992,0.7724,0.7462,0.6002,0.5146,0.4961,0.4447,0.4254,0.4507,0.4676,0.5322,0.5005,0.5671,0.5946,0.61,0.5745,0.5412,0.6209,0.6671,0.5898,0.5579,0.6477,0.6924,0.8155,1.2119,1.6692,1.9018,1.8835,2.3665,2.61,2.9129,3.2704,4.1823,5.7413,7.2048,9.4753,13.3269,17.3675,20.2968,22.1019,22.3429,24.122,27.0901,31.0189,35.3267,38.5709,41.3256,44.0959,49.1478,51.535,51.0037,47.5948,42.8219,37.9776,34.483,32.7955,30.4283,28.5075,27.0553,26.5992,29.3515,31.2692,29.6299,27.7124,25.025,22.8882,22.0372,22.7031,23.7731,25.0332,25.2206,25.7248,28.8019,30.2078,29.7386,27.9638,25.8946,24.9325,24.3029,24.5054,24.6912,24.4087,23.7875,24.1011,25.3627,26.0128,24.7974,23.109,21.1967,18.7107,16.3491,14.373,14.3594,13.1168,12.6765,12.2319,13.8281,14.8775,13.3425,10.7668,8.7288,7.5007,6.6663,6.2618,6.0819,5.9458,5.9369,6.3519,7.0122,7.4855,7.0827,6.3353,5.7655,5.1016,4.9342,5.0308,4.9563,4.7112,4.5
"Riverside, CA",23.9007,23.3748,23.5285,22.8346,21.684,21.3962,22.9022,25.071,26.1427,25.6062,22.8275,20.6049,20.1716,19.9006,19.4284,18.8242,15.9991,14.9374,17.1267,18.9838,20.1643,20.1309,18.9239,17.5237,17.8398,17.6615,16.7912,15.6377,14.7236,13.7718,13.5045,12.608,11.7621,11.3028,11.1372,10.8605,11.2779,10.823,9.8469,9.0466,8.5136,8.0076,7.7871,7.7021,7.3782,7.1284,7.1616,7.115,7.2845,7.8251,7.8044,7.2957,6.8344,6.6902,6.4751,6.1927,6.1315,5.9365,5.5302,5.3118,5.6334,5.9179,5.2428,4.5791,4.2901,4.0706,3.7966,3.5773,3.2867,3.1418,3.0743,2.9467,3.0388,2.8381,2.8114,2.4713,2.2665,1.9727,1.859,1.6754,1.6481,1.6851,1.6702,1.5538,1.4748,1.1554,1.1608,1.1881,1.195,1.0417,0.9847,0.9237,0.8902,0.9206,0.8375,0.8733,0.9373,0.8622,0.8601,0.8873,0.8869,1.0304,1.1988,1.2572,1.3737,1.5206,1.706,1.6506,2.0048,2.4841,2.9625,3.8166,4.5235,5.3626,6.3442,7.6796,9.8697,12.2469,14.8913,19.3099,27.0204,33.3263,38.5801,42.7393,46.4999,50.6055,55.1074,58.6651,60.6162,62.2,64.1692,65.7624,68.4341,69.8903,69.5177,69.3598,67.6749,64.5366,62.1076,59.7196,57.1864,54.2985,50.2368,49.4025,50.0122,50.0254,48.1366,46.1811,43.1036,40.1595,41.2209,42.0473,42.383,43.2228,44.0467,44.2699,45.0979,45.0442,44.8838,44.8577,45.1204,44.8802,45.0308,44.7765,43.9424,43.5288,41.5769,40.6772,41.043,41.2134,40.8638,38.3328,36.5951,34.0092,31.4514,28.523,25.0186,22.7946,20.6873,19.6833,21.4733,22.2724,21.4008,19.4884,17.6787,15.8337,14.2933,13.0724,12.4407,12.2667,12.1444,12.115,12.7686,13.162,12.8722,12.0213,11.1753,11.1365,10.8653,11.0674,10.4858,10.1165,10.5664
"Phoenix, AZ",1.2589,1.1235,1.0127,1.0576,1.0944,1.0099,0.9836,1.1418,1.3071,1.4222,1.4423,1.4696,1.4858,1.4581,1.2717,1.2698,1.4069,1.4261,1.5131,1.6034,1.6427,1.5947,1.6311,1.8007,1.8586,1.9556,1.839,1.8045,1.5788,1.5155,1.4818,1.5057,1.6336,1.715,1.7478,1.916,1.911,2.0301,2.025,1.8117,1.6289,1.5898,1.6013,1.6,1.5629,1.7174,1.8373,1.7268,2.1225,2.4791,2.8322,2.8497,2.7096,2.5365,2.3553,2.3645,2.3283,2.3472,2.3147,2.2588,2.4729,2.3239,2.1843,2.0596,2.1522,2.4203,2.4676,2.4674,2.4224,2.7634,2.8864,3.026,2.9758,3.1158,2.9434,2.716,2.7053,2.7175,2.7455,2.6771,2.7248,2.6345,2.5194,2.371,2.4679,2.4118,2.2698,2.011,1.8367,1.6716,1.5711,1.496,1.3164,1.2439,1.1724,1.1011,1.0074,0.9836,0.9716,0.9177,0.8503,0.8571,0.8562,0.8646,0.896,0.8668,0.8399,0.8457,0.9415,1.0432,1.2595,1.5947,1.7966,2.1022,2.2882,2.5166,3.1723,3.9184,4.6609,6.3187,8.9758,12.0937,15.6081,19.102,20.5073,23.2711,28.9267,33.0736,35.5335,38.4041,43.3496,47.9325,53.4487,56.7464,59.2874,59.9602,59.2384,57.1425,54.2563,51.5331,49.1814,45.7965,42.5017,42.1519,43.146,43.417,43.3699,42.6588,41.9078,39.737,40.745,41.9908,44.0176,45.7943,46.7136,47.9491,47.5414,46.575,46.4637,45.5779,44.1237,41.7134,41.9263,41.5382,39.1623,37.129,33.3171,30.4484,29.8277,28.4795,26.1413,23.4997,21.4286,19.1647,18.3617,16.7533,15.5179,14.7443,14.3544,15.5901,15.9932,15.302,13.9155,12.9295,12.2066,11.772,11.2221,10.9883,10.4648,9.7986,9.542,9.5093,10.8461,11.2969,11.1584,10.5956,10.1929,10.6088,10.2261,10.2404,10.1356,10.2818,10.2448
"Seattle, WA",1.43,1.4734,1.429,1.3749,1.4198,1.4184,1.3799,1.2576,1.1488,1.2408,1.4143,1.432,1.5296,1.658,1.6784,1.5816,1.5194,1.4604,1.4352,1.4664,1.6568,1.7445,1.7939,1.829,2.2034,2.2897,2.3014,2.1934,1.8267,1.6115,1.5675,1.5368,1.5654,1.718,1.9175,2.5329,2.5848,2.4349,2.1583,1.7647,1.6116,1.5172,1.5492,1.5034,1.3598,1.442,1.8109,1.7921,1.9734,2.1773,2.3111,2.4369,2.588,2.3597,2.255,2.3363,2.3065,2.5066,2.9007,3.4663,3.4941,3.4066,3.1813,2.8096,2.4986,2.3841,2.3998,2.3419,2.4529,2.8102,2.8631,3.0103,3.1909,3.2296,3.1831,3.0614,2.855,2.501,2.4461,2.5062,2.5298,2.6621,2.6289,2.8451,2.911,3.013,2.6983,2.3449,2.1305,2.0052,1.9354,1.7448,1.6808,1.7086,1.7141,1.6491,1.4855,1.3857,1.509,1.4679,1.3979,1.2477,1.2078,1.2662,1.2352,1.2476,1.3829,1.3838,1.4205,1.4362,1.3409,1.2834,1.3929,1.2497,1.3028,1.276,1.4053,1.5745,1.7816,1.9909,2.4874,2.943,3.0506,2.9548,3.613,3.7945,3.7955,4.0447,5.2086,6.223,8.605,10.0312,12.2597,12.9957,14.0246,13.1036,12.9314,12.5217,12.0986,11.9458,12.3343,12.351,12.6983,15.1014,17.2814,17.9764,17.1774,15.347,13.0142,11.3665,12.334,13.2969,13.8744,14.6667,16.3499,18.3371,21.0654,22.8741,24.3034,23.6866,22.1424,21.3738,20.0039,19.4659,19.8647,21.5497,21.2302,20.2946,20.8371,21.6687,22.2815,19.3989,16.2826,13.1323,10.7551,9.3456,8.6756,8.6351,8.4632,8.234,9.0222,10.8193,11.5399,10.3086,8.7199,7.7896,7.27,6.743,6.6377,7.3348,8.2469,9.4642,11.9665,13.3733,13.4077,12.5451,11.4318,10.1697,9.129,8.8386,8.8735,9.0649,8.9633
