"RegionName","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",0.9604,0.9572,0.9547,0.9536,0.9541,0.9559,0.9586,0.9619,0.9648,0.9666,0.9682,0.9698,0.9713,0.9721,0.9711,0.9692,0.9677,0.9686,0.9706,0.9724,0.9722,0.9701,0.9678,0.9655,0.9639,0.963,0.9624,0.9622,0.9626,0.9634,0.9639,0.9653,0.9667,0.9669,0.9663,0.9658,0.9653,0.965,0.9645,0.9642,0.9641,0.966,0.9685,0.9711,0.9727,0.9736,0.9736,0.9735,0.9734,0.9735,0.9728,0.9718,0.9719,0.9738,0.9763,0.9785,0.98,0.9805,0.9801,0.9788,0.9773,0.9758,0.9744,0.9728,0.9728,0.9745,0.9767,0.9787,0.9801,0.9802,0.9795,0.9784,0.9771,0.9763
"New York, NY",0.9526,0.9499,0.9476,0.9441,0.9398,0.9389,0.9367,0.9396,0.9431,0.9475,0.9494,0.9504,0.9507,0.9515,0.951,0.9504,0.9487,0.9483,0.9496,0.9512,0.9538,0.9554,0.9554,0.9545,0.9522,0.9507,0.9498,0.9477,0.947,0.9462,0.946,0.9477,0.9495,0.9517,0.953,0.9514,0.9494,0.9473,0.9469,0.9461,0.9452,0.9453,0.9479,0.9506,0.9535,0.9555,0.9576,0.9577,0.9568,0.9559,0.9552,0.9553,0.9557,0.9551,0.9573,0.9607,0.965,0.9677,0.9692,0.9688,0.9672,0.9656,0.9649,0.9651,0.9636,0.9627,0.9633,0.9665,0.97,0.9724,0.9727,0.9713,0.9687,0.9671
"Los Angeles, CA",0.9632,0.9672,0.969,0.9706,0.9711,0.9734,0.976,0.9778,0.9808,0.9843,0.9875,0.9906,0.9937,0.9974,0.9973,0.9945,0.9902,0.9888,0.9894,0.9901,0.9896,0.9877,0.9857,0.9837,0.9829,0.9819,0.9811,0.9811,0.9806,0.98,0.9802,0.9808,0.9807,0.9794,0.9792,0.9787,0.9793,0.9794,0.9794,0.9785,0.9797,0.9803,0.9827,0.9855,0.9889,0.9925,0.9939,0.9942,0.9936,0.9967,0.999,1,1,1,1,1.0001,1.0002,1.0001,1,1,1,0.9972,0.9935,0.99,0.9899,0.9913,0.9934,0.9941,0.9933,0.9932,0.9915,0.9903,0.9887,0.9874
"Chicago, IL",0.9509,0.9472,0.943,0.9396,0.938,0.9385,0.9403,0.9424,0.9451,0.9458,0.9452,0.9462,0.9478,0.9496,0.95,0.949,0.9492,0.9491,0.9509,0.9516,0.9511,0.9502,0.9495,0.9486,0.9478,0.9462,0.9453,0.9443,0.9453,0.9459,0.9482,0.9489,0.9486,0.9484,0.9474,0.9469,0.9468,0.9463,0.9461,0.9468,0.9467,0.948,0.9501,0.9525,0.9547,0.9562,0.9569,0.9585,0.9588,0.9582,0.9578,0.957,0.9589,0.9598,0.9631,0.966,0.9684,0.9696,0.9706,0.9709,0.97,0.969,0.9675,0.9669,0.9667,0.968,0.9694,0.9707,0.9715,0.9718,0.9708,0.9696,0.9683,0.9666
"Dallas-Fort Worth, TX",0.98,0.974,0.9747,0.9749,0.9766,0.9779,0.9816,0.9837,0.9866,0.9862,0.9881,0.9928,0.9955,0.998,0.9953,0.9887,0.985,0.9871,0.9914,0.9953,0.9933,0.986,0.9791,0.9752,0.974,0.9725,0.9697,0.9677,0.968,0.972,0.973,0.9744,0.9761,0.9764,0.9748,0.9752,0.9761,0.9749,0.9757,0.9762,0.9772,0.9797,0.9848,0.988,0.9869,0.985,0.9826,0.9856,0.9889,0.9884,0.9868,0.9869,0.9879,0.9911,0.9958,0.9988,0.9999,1,0.9978,0.9958,0.993,0.9918,0.9902,0.9891,0.9916,0.9964,0.9992,1,1,1,1,1,0.995,0.9864
"Philadelphia, PA",0.9595,0.9578,0.9536,0.9503,0.9474,0.9491,0.9522,0.9573,0.9601,0.9623,0.9632,0.9619,0.9629,0.9646,0.9643,0.9607,0.9578,0.9563,0.9599,0.9645,0.9678,0.9664,0.9618,0.9583,0.9545,0.9537,0.9539,0.954,0.9519,0.952,0.9531,0.9556,0.9584,0.9587,0.9568,0.956,0.9545,0.954,0.9547,0.952,0.9506,0.9518,0.9549,0.9589,0.9607,0.9626,0.9629,0.9624,0.9612,0.9608,0.9619,0.9612,0.959,0.959,0.9619,0.9661,0.9688,0.9712,0.9712,0.9698,0.9681,0.9663,0.9657,0.9646,0.9624,0.9625,0.9647,0.968,0.9709,0.9732,0.9723,0.9704,0.9693,0.9691
"Washington, DC",0.9763,0.9754,0.9749,0.9774,0.9804,0.9809,0.9814,0.9812,0.9811,0.9824,0.9837,0.9852,0.9867,0.9881,0.9892,0.9889,0.9893,0.9904,0.9922,0.9927,0.9903,0.9882,0.9865,0.9854,0.9849,0.9842,0.9842,0.9852,0.9858,0.986,0.9853,0.9852,0.9852,0.9849,0.9835,0.9825,0.9815,0.9817,0.9807,0.9798,0.9808,0.9829,0.9854,0.9881,0.9887,0.9886,0.9876,0.9871,0.9868,0.9873,0.9868,0.9869,0.9884,0.992,0.9967,0.9992,1,1,1,0.999,0.9972,0.9941,0.9912,0.9888,0.9874,0.9903,0.9938,0.9976,0.9994,0.9974,0.9936,0.9906,0.99,0.9889
"Miami-Fort Lauderdale, FL",0.9099,0.9121,0.9091,0.9125,0.9092,0.9108,0.9147,0.9177,0.9209,0.9256,0.9301,0.932,0.9368,0.9402,0.9405,0.9436,0.9419,0.9374,0.9325,0.9299,0.9313,0.9367,0.94,0.9358,0.9336,0.9339,0.9362,0.9401,0.9416,0.9398,0.9376,0.9359,0.9386,0.9429,0.9454,0.9466,0.9464,0.945,0.9428,0.9435,0.9428,0.9415,0.9404,0.9434,0.9485,0.9517,0.9534,0.954,0.9544,0.9547,0.9549,0.9562,0.956,0.9561,0.957,0.9571,0.9586,0.9606,0.9622,0.9621,0.9628,0.9615,0.9597,0.9587,0.9575,0.9567,0.9574,0.9591,0.961,0.9619,0.9628,0.9632,0.9625,0.9616
"Atlanta, GA",0.971,0.9536,0.9374,0.9312,0.9351,0.938,0.9428,0.9481,0.953,0.9556,0.959,0.9602,0.9626,0.9636,0.9611,0.96,0.9612,0.9625,0.9632,0.9648,0.965,0.9636,0.9636,0.9618,0.9628,0.9643,0.965,0.9681,0.9687,0.9681,0.9674,0.968,0.9675,0.965,0.9616,0.9622,0.963,0.9646,0.9649,0.968,0.9663,0.9682,0.9707,0.9749,0.9766,0.9753,0.9759,0.9762,0.9774,0.9775,0.9784,0.98,0.9795,0.9781,0.9784,0.9806,0.981,0.9802,0.98,0.9793,0.9772,0.9753,0.9738,0.9733,0.974,0.9763,0.9792,0.9802,0.9805,0.9799,0.979,0.9774,0.976,0.9753
"Boston, MA",0.9594,0.9575,0.9543,0.9521,0.9484,0.9506,0.9542,0.9595,0.963,0.9652,0.9658,0.9654,0.9647,0.965,0.963,0.9631,0.9625,0.9645,0.968,0.9703,0.9708,0.9692,0.9677,0.964,0.9616,0.9617,0.9607,0.9593,0.9568,0.9572,0.9599,0.9646,0.9676,0.9678,0.9661,0.9652,0.963,0.9634,0.9625,0.9616,0.9604,0.9628,0.9659,0.97,0.9727,0.9734,0.9728,0.9711,0.9706,0.9712,0.9708,0.9702,0.9701,0.9717,0.976,0.9807,0.9844,0.9855,0.9849,0.9822,0.9804,0.9796,0.978,0.9757,0.9745,0.9773,0.9814,0.9859,0.9885,0.9886,0.9869,0.9847,0.9835,0.9811
