"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",100800,101100,101300,101400,101200,101000,101200,101500,101900,102400,102800,103200,103500,103700,103900,104200,104500,105100,105600,106200,106600,106800,107500,108200,108200,108100,108700,109600,110300,110800,111200,111500,111900,112600,113200,114000,114700,115400,116000,116600,117100,117500,118000,118600,119100,119900,120700,121500,122300,122900,123400,123900,124500,125200,125900,126400,127100,127900,128600,129000,129700,130500,131200,131700,132300,132700,133200,133800,134600,135200,135700,136000,136400,137100,137800,138500,139600,140500,141300,142300,143100,143600,144300,145300,146200,147100,148100,149100,149900,150900,152000,153200,154500,155600,156800,158100,159500,160800,162000,163600,165200,166700,167900,169100,170600,172400,174100,175800,177200,178600,180400,182400,183900,185300,186800,188300,189500,190400,191100,192000,193100,194100,194700,195000,195100,195700,195900,195700,195600,195700,195800,196000,196400,196300,195800,195000,194400,193600,192600,191400,190300,189100,187600,185900,184100,182700,181600,180500,179400,178500,177700,177000,176300,175600,174900,174100,173200,172100,171000,170100,169400,168700,168200,167900,167600,167200,167000,166400,165800,165400,164800,163900,163100,162200,161400,160600,159600,158800,158100,157400,156500,155800,155000,154300,153700,153000,152500,152400,152200,152100,152100,152100,152300,152700,153300,153800,154400,155000,155700,156200,156700,157400,158200,158900,159600,160600,162000,163400,164500,165500,166700,167500,168400,169600,170500,171700,173100,173900,174300,174900,175500,176300,177000,177600
"New York, NY",168500,169100,169200,168600,168100,167700,166800,165400,164400,164600,165600,166500,166900,167200,167400,167700,168100,168700,169200,169900,170500,171600,173000,174200,174800,175200,175700,176400,177000,177500,178400,179800,181000,182300,183900,185400,186600,188400,190400,192200,194000,195800,197400,199500,202400,205400,207900,209800,211300,213200,215600,218000,220300,223000,225700,228100,229900,232200,235000,237500,239700,242000,244000,246400,249200,252300,255500,258500,261400,262800,263700,266000,270200,274000,277600,281500,285900,289800,293400,297300,301000,304600,308700,313100,316300,319500,323700,327800,330800,333400,336000,338700,343000,348400,352600,355300,358700,362400,365900,369700,374300,378900,383600,388400,392700,397000,401800,407200,412200,416700,420800,424800,428400,432000,435600,438700,441200,443400,445400,447200,448800,450100,450900,451300,451300,451000,450300,449600,448300,446900,446100,445800,445300,445000,443800,441800,439400,437600,436000,434700,432800,430800,428200,425200,421700,418500,415100,412100,409100,405900,402300,398600,395300,393000,390900,388100,385400,382800,380700,379000,377700,376900,376600,376700,376700,376700,376700,376600,376300,376100,376000,375500,374800,373900,372800,371600,370400,368900,367600,366200,364200,362000,360600,359500,358100,356500,355000,353200,351400,349600,348300,347400,346700,346200,346300,346600,347400,348100,348600,349100,349300,349500,349800,350900,351900,353300,355200,357500,359200,361000,363100,365000,366400,368000,369400,370800,374100,377200,377900,378000,379400,380700,381900,382900
"Los Angeles, CA",172700,172800,172700,172500,172300,172200,172500,172900,173400,174200,175200,175700,175900,176100,176400,176800,177300,178000,178900,180100,181600,183500,185300,187200,189000,190400,191800,193400,195300,197400,199400,201500,203200,204800,206700,208500,209900,211200,213100,214800,215900,217000,218500,220300,222400,224900,227600,229900,231900,234200,236200,238000,239900,241900,243800,245700,248000,250500,253100,255700,258000,260100,262200,264400,266800,269200,271600,274100,276900,280200,283600,287000,291100,296000,300600,305500,311100,316900,322400,328200,333800,339300,344500,349700,354600,359100,363500,368500,374600,381100,388300,396200,404500,412600,421300,430900,441700,453600,466200,477700,487200,494900,501400,506800,511800,516700,522200,529000,536800,544400,552200,560800,569800,578300,586000,593200,599200,603900,607300,609900,611500,612800,614000,614200,613000,611700,610500,608200,604800,603000,602300,600200,597300,593700,588900,583500,578000,571800,565700,559300,551600,543300,534700,524600,513100,501900,492100,482800,473900,466100,459300,453300,448900,445400,441400,437700,435000,432300,430600,430200,430800,431500,432100,432800,434000,434900,435600,436400,437000,436900,434900,432100,430200,428200,425900,424300,422800,420900,418800,416500,413700,411000,408600,406200,403600,401800,400600,399500,398000,397200,397100,397700,399100,401100,403500,406600,410000,413600,417400,421500,426400,432100,438300,445400,453400,461900,470700,478800,485300,490700,495700,499900,503200,506600,509800,513500,517300,520300,521800,523200,525000,527000,529500,532200
"Chicago, IL",,,,,,,,,,137200,137400,137600,137700,137500,137400,137500,137800,138100,138400,138900,139600,140200,140600,140900,141000,141400,141800,142200,142500,142900,143500,144100,144600,145200,146000,146700,147300,148100,149000,149600,150200,151100,152300,153300,154300,155600,156800,157900,159000,160000,160800,161700,162400,163300,164300,165400,166900,168200,169200,170200,171400,172700,173700,174400,175400,176700,178100,179400,180800,182200,183600,184900,185900,186400,186800,187800,189100,190300,191500,192900,194300,195700,197200,198900,200500,202400,205300,207900,209400,210600,211200,211800,212600,213600,214700,215700,216800,218100,219300,220600,222300,223400,223700,223800,223900,224300,224500,225000,226400,227800,229100,230400,231800,233000,234500,236000,237300,238700,240000,241100,241900,242300,242800,243100,243200,243300,243800,244300,244500,244400,244300,244500,244300,243700,243000,242300,241400,240500,239800,239200,238200,236800,235100,233100,231400,230200,228300,225800,223600,221900,220200,218800,217400,216200,215000,213700,212100,210400,208600,207200,206300,205800,205400,204800,204100,203700,202800,201500,200300,199500,198400,197300,195800,194000,191800,189700,187900,186100,185000,184000,182200,179900,177900,175900,174100,172500,171000,169700,168400,167100,166000,165300,164600,164600,164900,164900,165100,165100,164800,164700,165000,165400,165800,166400,167100,167900,169700,171900,173500,175000,176800,178400,179700,181000,182200,183300,184300,185000,185300,185700,186400,187400,188200,188800
"Dallas-Fort Worth, TX",100300,100400,100400,100600,100900,101000,101000,98600,95300,94200,95100,95400,95600,95600,95800,96100,96500,96900,97300,97900,98700,99500,100000,100300,100400,100300,100400,100600,100900,101000,101300,101900,102800,103500,103900,104500,105200,106000,106800,107700,108400,109100,109800,111000,112100,112600,113000,113300,113400,113900,114200,114200,114500,115000,115400,116000,116800,117400,117900,118300,118700,119300,119800,120000,120200,120600,121100,121600,122200,122700,122900,123200,123600,123900,124200,124700,125100,125400,125700,126100,126600,127100,127300,127700,128000,128100,128100,128200,128300,128600,128800,128900,129200,129900,131000,132100,133100,134100,135200,136300,137100,137700,138100,138400,138600,139000,139400,139700,140200,140600,140800,140800,140800,141000,141300,141600,142100,142400,142900,143100,143300,143600,144000,144300,144700,145000,145200,145600,145900,146000,146200,146400,146600,146800,147000,147400,147700,148200,148500,148800,148600,147700,146200,144800,143700,142700,141700,140800,140000,139200,138400,137700,137100,136700,136200,135500,134700,133800,133100,132900,132900,132900,132900,132700,132300,132300,132700,132800,132400,132100,132000,131700,131100,130600,130100,129700,129400,129100,128900,128900,128800,128700,128300,127900,127500,127100,126700,126700,126800,126700,127000,127300,127500,128000,128500,128700,129000,129200,129600,130200,130900,131700,132500,133600,134700,135700,136900,138100,139100,140000,140500,140600,141100,142000,142600,143200,144300,145500,146400,147200,147900,148600,149700,150900
"Philadelphia, PA",107000,107200,107500,107600,107500,107400,107300,107200,107100,107200,107500,107700,107500,107400,107100,107100,107100,107000,107000,107100,107400,108100,108800,109200,109500,109700,109700,109600,109700,109800,110100,110500,111000,111500,112200,112800,113100,113500,114000,114400,114700,115300,115900,116200,116300,116700,117400,118000,118600,119100,119500,120000,120700,121400,122000,122800,123600,124200,124700,125400,126300,127200,128000,128900,129900,130600,131400,132300,133400,134500,135700,136800,137900,139100,140400,141800,143200,144800,146300,147900,149800,151400,152900,154500,156100,157600,159300,161100,162800,164600,166500,168400,170000,171600,173300,175000,176800,179000,181200,183700,186200,188700,191100,193400,195900,198500,200800,203100,205500,207800,210300,213000,215400,217600,219700,221800,223600,224900,226100,227200,228500,229400,230200,230700,231000,231100,231200,231100,230700,230700,231100,231400,231600,231700,231500,231100,230700,230300,229600,228800,228000,227200,226200,225100,224400,223500,222700,222000,221200,220200,219300,218200,217400,217100,216800,216300,215500,214700,213900,213100,212700,212700,212900,213100,213000,212700,212500,212300,212100,212000,211400,210400,209100,207900,206800,205800,204700,203600,202600,201600,200300,198900,197700,196700,195700,194600,193600,192700,192100,191700,191400,190800,190200,189600,189200,188800,188600,188800,188800,188900,189000,189000,189100,189400,189800,190200,190900,191600,192300,192700,193300,193900,194500,195100,195700,196700,197900,199100,200000,201000,201900,202500,203100,203600
"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126300,126400,125600,124900,124000,123400,122600,121900,121500,121000,121200,121500,122100,121800,121100,120200,120200,120100,120000,119400,118900,118500,119500,120500,121200,120500,119900,119600,119800,120400,120600,120700,121100,121500,122900,124700,126900,128000,129200,130200,132000,133000,134300,134800,135600,135700,137300,138400,140300,144100,147700,150500,149900,150000,150300,151100,151800
"Washington, DC",157300,157400,157400,157200,156800,156500,156400,156300,156300,156700,157100,157300,157200,155900,154000,153000,152900,153100,153300,153600,154000,154900,155700,156200,156400,156700,156900,157200,157300,157500,158000,158500,158900,159500,160500,161300,161700,162300,163400,164600,165600,166400,167000,167800,169000,170300,171500,172400,173300,174800,176400,177700,178700,179900,181400,183100,185000,187000,189100,191400,193600,195700,198100,200700,203100,205500,207900,210000,212100,214600,217300,220000,223000,226300,229600,232700,236100,239600,243100,246700,250300,253600,256800,259800,262600,265300,268400,271600,274900,278300,282000,286000,290100,294500,299400,304700,310700,316800,323000,329800,337100,344300,351300,358000,364700,371100,377100,383400,390400,397200,403900,410200,415600,419900,423500,426700,429100,430700,431400,431600,431400,430900,429400,427300,425000,422800,420600,418600,416600,415100,414300,413500,412100,410300,407700,404500,401100,397700,394100,390300,386000,381200,375700,369900,364200,358800,353600,348900,344600,340800,337100,332800,329100,326800,325200,323100,321000,319000,317000,315600,314500,313900,314100,314700,314900,314800,314600,314500,314300,314500,314700,314600,314100,313300,312400,311500,310600,309600,309100,308800,307900,306600,306100,306100,306200,306200,306200,306300,306400,306500,306600,307300,308200,309400,310600,311900,313200,314100,314900,316100,317400,318600,320300,322200,324600,327500,330800,334000,337100,340300,343400,345700,348000,350400,352200,353500,355000,356500,357900,358700,359500,360200,360900,361500
"Miami-Fort Lauderdale, FL",95300,95300,95300,95200,95100,95200,95200,95300,95800,96300,96600,97000,97400,97600,97700,98000,98700,99000,99000,99000,99200,99700,100300,100600,100900,101300,101400,101400,101600,101900,102100,102600,103100,103500,104100,104800,105100,105500,106100,106700,107000,107400,107900,108500,109200,110000,110700,111500,112200,113200,114300,115400,116100,116800,117600,118500,119400,120400,121600,122800,124100,125500,127000,128400,129700,131200,133100,134700,136300,138100,139800,141200,142600,143900,145400,147200,149300,151500,153600,155600,157600,159500,161300,163300,165300,167200,169100,170900,172900,175000,177300,179500,181900,184700,187800,191000,194700,198900,203200,207500,212300,217200,222100,227200,232500,237900,243700,249900,256600,263300,270100,277200,283700,289400,294500,299100,302500,304800,307000,309300,311200,312200,312300,311900,311000,310000,308900,307800,306100,304600,302800,300500,297600,294100,290200,286300,282400,278200,273700,269500,264900,259400,253000,246400,239900,233700,227600,221800,215900,209700,203200,196900,191600,187800,183900,179200,174800,171200,168300,165900,164100,163000,162100,161400,161200,160900,160500,159600,159000,158800,158200,157000,155700,154100,152600,151500,150400,149300,148300,147900,147400,146700,145800,145000,144400,144400,144700,144700,144700,144900,145900,147600,149100,150300,151500,152700,154200,155700,156900,158200,159300,160300,161900,163900,165800,167600,169900,172500,174600,177100,180400,183100,185100,187500,189800,191900,194400,197000,199200,201200,203000,204600,206400,208000
"Atlanta, GA",108400,108600,108500,108500,108400,108400,108600,108900,109200,109500,109900,110200,110500,111000,111600,112200,112800,113500,114000,114500,115000,115600,116500,117300,117800,118200,118800,119400,120100,120800,121500,122200,123000,124000,124800,125500,126200,127000,128100,129100,129900,130600,131400,132400,133100,133900,134900,135900,136700,137600,138400,139200,139900,140400,141100,141900,142500,143000,143800,144500,145100,145500,146200,146800,147300,147900,148400,148700,149100,149800,150200,150500,151000,151600,151900,152400,152900,153200,153500,153900,154200,154600,155000,155300,155600,156000,156200,156300,156600,156900,157400,157900,158400,158700,159200,159500,159800,160000,160400,160800,161200,161700,162200,162600,163100,163800,164400,164900,165400,166000,166500,166900,167600,168300,169000,169700,170500,171000,171500,172000,172400,172900,173400,173900,174300,174500,174600,174700,174800,174100,173200,172900,173200,173300,173100,172900,172900,172800,172400,171900,171100,170300,169400,168400,167100,165600,164100,162700,160700,158500,156400,153800,151700,150800,150300,149200,147800,146600,145800,145200,144500,144100,143900,143700,143600,143600,143600,143400,142900,142300,141500,140500,139400,138400,137400,136400,135100,133700,132400,131200,129900,128500,127200,126100,125000,124000,123100,122500,122200,121700,120900,120400,120400,120500,120300,120200,120400,120500,120600,120800,121100,121400,122100,122700,123300,124500,126100,128200,130300,132100,134300,136500,138100,139300,140300,141800,144000,145900,147600,149000,150300,151600,153000,154000
