"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",65600,65600,65600,65400,65500,65700,65800,65700,65700,65800,65800,66000,66100,66400,66500,66600,66900,67200,67400,67700,68000,68300,68700,69000,69200,69200,69400,69900,70200,70300,70600,70900,71200,71500,72000,72400,72800,73100,73400,73900,74100,74300,74700,75100,75400,75700,76100,76400,76800,77100,77400,77800,78100,78400,78600,79000,79600,80000,80300,80700,81200,81600,81800,82000,82500,83000,83300,83700,84000,84400,84900,85300,85600,86000,86500,86900,87300,87800,88300,88800,89200,89600,90100,90600,91200,91700,92300,92900,93400,93900,94400,95000,95600,96300,96900,97700,98500,99300,100100,101100,102100,103000,103800,104700,105600,106500,107400,108300,109400,110500,111500,112400,113200,114200,115200,116100,117000,117700,118400,119000,119300,119600,120100,120800,121200,121500,121700,121800,121900,122200,122100,122000,122000,122100,122100,121900,121500,121100,120500,119600,118800,118100,117300,116300,115300,114500,113500,112300,111400,110500,109600,108800,108000,107100,106300,105400,104500,103500,102500,101500,100700,99900,99300,98900,98300,97700,97200,96600,96000,95600,95100,94400,93600,92900,92200,91500,90700,90000,89500,89300,88700,87800,87100,86500,85800,85200,84900,84600,84300,84200,84300,84300,84100,84200,84500,84700,84900,85200,85500,85800,86200,86500,86900,87200,87800,88700,89800,90800,91800,92600,93400,94300,95200,96000,96600,97500,98100,98100,98000,98600,99200,99700,100200,100700
"New York, NY",121800,121200,120800,120400,119900,119500,119500,119600,119500,119000,118600,118500,118700,118800,118700,118700,118800,118800,118900,119300,119700,120200,121200,122100,122600,123000,123100,123100,123400,124000,124500,125100,125800,126500,127400,128400,129100,129800,130600,131400,132400,133600,134500,135500,136700,137900,139100,140300,141500,142800,144300,145800,147000,148000,149100,150100,151300,153000,154500,155600,157100,158800,160500,162200,164000,166100,168300,170100,171600,173300,175400,177800,180500,183300,186000,188600,191500,194200,196800,199700,202900,205900,208900,211900,214400,216600,219200,221900,224600,227500,230200,232700,235400,238000,240400,243000,245600,248600,251800,255400,259000,262600,266300,270100,273800,277400,281000,284500,288300,292100,295700,299100,302400,305200,307900,310600,312900,314600,315900,317400,318800,319900,320600,321000,320900,320400,319700,319100,318300,317500,317100,317000,316600,316300,315400,314000,312300,310600,309200,308100,306500,304800,302700,300500,298100,295600,292700,290000,287500,284900,282000,278700,276000,274700,273600,271200,268500,266100,263900,262000,260600,259800,259300,258700,257800,256800,256000,255400,254800,254100,253300,252400,251100,249600,248100,246600,245200,243300,241500,239900,237900,235700,233900,232300,230800,229200,227600,225900,224100,222600,221300,220200,219200,218500,218400,218600,218700,218700,218800,219000,218800,218700,218900,219200,219300,219900,220800,221800,222800,223800,225100,226400,227700,228900,230000,231100,233700,236100,236900,237000,238100,239300,240000,240400
"Los Angeles, CA",124200,124000,123600,123300,123100,122800,122600,122600,122700,123200,123800,124300,124400,124700,124800,124900,125100,125600,126100,126500,127000,128000,129200,130200,130700,131000,131300,132000,132800,133900,134900,135900,136300,136400,136800,137500,138200,138700,139400,140200,140700,141300,142200,143300,144800,146400,147800,148900,150000,151500,152900,154200,155300,156100,157000,158200,159600,161300,163100,164600,166100,167900,169500,170800,172300,174000,175600,177100,178900,181000,183200,185700,188300,190800,193100,196000,199400,202900,206400,210200,214200,218300,222400,226700,230700,234400,238100,241800,245600,250000,255300,261200,267300,273400,279400,285800,292900,301200,310300,319500,328000,335300,341300,346200,351000,356300,361600,367100,373100,379600,385900,392700,399600,406500,413200,419800,425200,428800,431700,434700,437500,440300,443800,447000,448900,449200,448500,446800,445200,444700,444900,444100,442300,439400,435700,431600,427500,422900,418200,413000,406500,399800,392400,383800,373900,363600,352800,341800,331400,322700,314900,307900,300800,293200,286100,280300,274900,270000,265800,262400,260400,259100,258100,257800,258100,258600,258700,258500,258500,258600,258400,257900,257200,256200,255000,253800,252700,251800,250900,249800,248800,248000,247100,246000,244800,243600,242700,242000,241200,241200,241500,242100,242900,244200,245800,247400,248900,250600,252700,254700,257700,261300,265900,271200,277200,282900,288900,295200,301000,306100,310800,314600,317400,320400,323800,327300,331300,334600,336700,338700,340900,343100,345100,346800
"Chicago, IL",87400,87200,87000,87200,87400,87300,87300,87700,88300,88800,89000,89100,89200,89100,89000,89000,89200,89300,89400,89700,90200,90600,91000,91200,91500,91800,92100,92300,92300,92700,93200,93300,93500,94000,94700,95400,95900,96500,97100,97600,97900,98400,99100,99700,100300,100900,101700,102300,103000,103800,104600,105100,105800,106500,107200,108000,108800,109600,110200,110900,111800,112700,113500,114200,115000,115800,116400,117100,118200,119300,120100,120700,121200,121600,122200,123000,123900,124500,125300,126200,127200,128300,129500,130500,131500,132600,133700,134700,135400,136100,136500,136400,136600,137400,138000,138400,139100,139800,140300,141100,142200,143200,144100,145300,145100,143600,143000,144100,145100,146100,147100,148000,148700,149200,150100,151000,151800,152600,153500,154200,154600,154900,155300,155700,155900,155900,155900,155900,156200,156800,157400,157600,157300,156900,156300,155800,155500,155200,154900,154500,153800,153200,152700,151600,150500,149700,148800,147500,146400,145200,144000,142700,141800,141200,139800,138000,136600,135300,134000,132900,132000,131200,130500,129800,129300,128800,128100,127200,126400,125600,124800,123600,122400,121200,119800,118100,116600,115200,113900,112700,111400,110000,108400,107000,105700,104400,103100,101900,100500,99400,98500,98100,97900,97700,97500,97300,96900,96400,95900,95500,95200,95100,95300,95600,95900,96600,97700,98800,99600,100500,101900,103400,104300,104900,105400,105600,105700,105700,105500,105800,106400,106900,107300,107600
"Dallas-Fort Worth, TX",,,,,,,,,,,56900,57100,57300,57600,57900,58200,58500,58900,58900,58900,59000,59300,59500,59800,60000,60000,60000,60200,60500,60700,60700,60600,60700,61300,62000,62500,62900,63600,64400,65100,65600,66200,66400,66400,66700,67100,67100,67000,67500,67900,68200,68400,68600,69100,69400,69400,69600,69900,70200,70400,70600,70900,71000,71100,71300,71400,71500,71700,71800,72100,72500,72800,73000,73500,73900,74400,74800,75200,75400,75900,76300,76700,77000,77300,77500,77500,77400,77500,77600,77900,78200,78300,78500,79000,79700,80600,81600,82400,83100,83800,84300,84700,84900,85100,85500,85900,86100,86300,86500,86700,87000,87400,87700,87800,87900,88000,88000,88000,88100,88100,88200,88600,89000,89000,89300,89700,89900,90100,90300,90500,90600,90700,90700,90700,90600,90400,90200,89900,89900,90100,89700,88600,87500,86700,85500,84400,83500,82900,82200,81700,81100,80500,80100,79700,79300,78800,78300,77700,77100,76800,76600,76400,76100,75900,75800,76000,76000,75800,75700,75500,75200,74800,74600,74300,73800,73300,72800,72600,72600,72800,72600,72200,72000,71800,71100,70400,70100,69800,69500,69400,69200,68800,68600,68700,68900,68900,69000,69300,69800,70200,70500,70900,71300,71800,72600,73200,74000,74800,75600,76200,76700,77300,77900,78600,79100,79500,80200,81000,81600,82200,83000,83600,83900,84100
"Philadelphia, PA",57100,57200,57400,57300,57100,56800,56500,56300,56300,56300,56300,56300,56100,56000,55900,55800,55700,55700,55700,55600,55800,56100,56400,56400,56600,56700,56500,56400,56500,56500,56500,56500,56600,56600,56900,57300,57400,57400,57400,57500,57700,58000,58300,58400,58200,58400,58800,59000,59100,59300,59400,59300,59400,59800,60200,60300,60300,60400,60500,60700,61000,61100,61200,61600,62000,62200,62600,63200,63700,64000,64600,65100,65400,65800,66300,66800,67200,67600,68100,68600,69200,69800,70500,71100,71600,72100,72800,73400,74100,74700,75100,75700,76600,77500,78200,78900,79800,80700,81700,82800,83900,85000,86300,87700,88900,90100,91200,92500,93900,95600,97200,98600,100200,101900,103300,104800,106400,107500,108200,109000,110400,111800,113000,113900,114700,115200,115700,116200,116500,116900,117300,117700,118300,118800,119400,120000,120200,120200,120000,119600,119100,118700,118300,118000,117600,116900,116200,115800,115600,115300,115000,114600,114400,114700,115100,115100,114700,114500,114100,113800,113700,114000,114200,114500,114800,114700,114400,114200,113900,113700,113700,113300,112700,112000,111300,110500,109700,109000,108700,108300,107300,105900,104900,104000,103100,102300,101800,101100,100500,100200,99800,99400,99100,98600,98100,97800,97600,97500,97300,97000,96800,96600,96600,96600,96600,96900,97200,97200,97100,97100,97400,97800,98100,98500,98900,99500,100500,101200,101500,101700,102000,102300,102500,102800
"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75500,75400,75200,74400,73300,72700,72400,72400,71800,71000,70400,70300,70300,69400,68600,68300,68000,67500,67200,67400,67500,67200,67400,67900,67800,67100,66800,66800,67400,67800,67900,67800,68400,68500,69300,69900,71600,72100,72600,73400,75100,76100,76400,76200,77300,77800,79600,80400,81600,86100,89900,92800,91800,91300,91400,91400,91700
"Washington, DC",107900,108100,108300,108200,107700,107200,106600,106300,106400,106600,106800,106800,106700,105900,104800,104400,104400,104300,104400,104700,104800,105100,105600,105900,106000,106100,106000,106000,106100,106400,106200,106100,106400,107000,107300,107700,108000,108200,108300,108700,109200,109500,110100,110700,111100,111400,111700,112000,112400,113000,113400,113600,113600,114100,114700,115200,116000,116900,118000,119100,120200,121400,122900,124200,125400,126500,127600,128500,129500,130600,131800,132900,134000,135400,137100,138600,140100,141700,143400,145400,147200,149300,151500,153300,155000,156900,158800,160800,163100,165500,167900,170300,172700,175300,178100,181300,184600,187900,191600,196100,200600,205100,209900,214800,219800,224600,229000,233500,238600,243700,248600,253200,257700,261700,265600,269200,272000,274000,275600,277300,278900,280200,281000,281600,281900,281600,280600,279900,279300,278900,278700,278700,278500,278000,276800,274800,272500,270100,267600,264800,261500,258000,253900,249600,245200,241200,237500,234100,230600,227200,224500,221400,218400,216400,214700,212600,210500,208300,205700,203100,201000,199300,197800,196700,195600,194500,193200,191700,190000,188800,187700,186300,184700,183100,181700,180400,179000,177600,176900,176500,175400,173400,172000,171000,170500,169900,169300,168600,167900,167400,167200,167300,167400,167800,168300,169200,170400,171600,172600,173500,174300,175100,176400,177400,178400,179900,182100,184500,186600,188500,190700,192400,193600,195200,196400,198100,201100,203900,205600,207100,208300,209300,210200,210800
"Miami-Fort Lauderdale, FL",55700,55500,55200,55000,55000,55000,54900,54800,54900,55300,55500,55400,55300,55300,55600,55800,55900,56000,56100,56300,56600,56900,57300,57500,57600,57500,57500,57700,57900,58100,58400,58700,58800,58700,58900,59200,59400,59600,60000,60100,60300,60600,60700,60800,61100,61600,62000,62300,62600,63100,63600,64000,64200,64600,65100,65700,66100,66500,67100,67800,68500,69300,70000,70800,71600,72500,73300,74100,74900,75800,76800,77700,78700,79700,80600,81700,82900,84100,85100,86100,87200,88200,89200,90600,92000,93200,94400,95700,96900,98100,99600,101600,103500,105500,107600,109600,111700,114000,116600,119200,122000,125000,127900,130700,133600,136800,140100,143700,147500,151500,155600,159600,163600,167300,171000,174400,177300,179900,182200,184000,185500,186500,187100,187300,187300,187300,187200,186700,185700,184900,184200,182900,181200,179300,177200,175000,172700,170300,167500,164600,161200,157000,152100,147300,142700,138100,133700,129600,125300,120600,116000,111200,106900,103500,100400,96800,93300,90100,87400,84900,82700,80700,78900,77500,76500,75500,74700,74000,73200,72600,71900,70900,69900,68900,67900,67000,66100,65300,64700,64200,63500,62900,62400,61900,61400,61200,61300,61300,61300,61400,61800,62200,62800,63400,64000,64700,65500,66400,67100,67800,68600,69400,70000,71000,72400,73700,74900,76200,77500,78700,80400,82100,83600,85100,86200,87500,89300,90900,92300,93700,95000,96300,97400,98200
"Atlanta, GA",72400,72300,72600,72500,72300,72500,72600,72600,72600,72800,73100,73400,73700,74100,74500,74800,75300,75600,75800,76300,76700,77000,77500,78000,78200,78400,78600,78900,79400,80000,80500,80900,81400,81900,82200,82700,83600,84300,84600,85200,85900,86500,87000,87600,88100,88800,89600,90100,90700,91400,92100,92700,93100,93300,94000,94700,95100,95900,96600,97200,97800,98700,99500,100100,100500,100800,101200,101600,102000,102400,102900,103400,103900,104300,104400,104800,105500,105900,106100,106400,106800,107100,107400,107700,107800,107800,108200,108600,108900,109200,109500,109900,110300,110500,110500,110600,110800,111000,111200,111400,111500,112000,112400,112700,113200,113600,114000,114500,114900,115200,115700,116100,116500,117100,117600,117900,118300,118400,118400,118600,118800,119000,119200,119400,119700,119700,119700,119600,119100,118400,117900,117600,117400,117100,116700,116300,115900,115700,115400,114700,113900,113300,112600,111400,110100,108700,107100,105600,103900,102000,100000,98100,96500,95500,94700,93700,92400,91100,90100,89400,88500,87600,86700,86100,85600,84900,84100,83300,82800,82200,81500,80400,79200,78100,76900,75700,74500,73300,72100,71000,69900,68600,67100,65700,64600,63500,62900,62300,61800,61300,60900,60300,59900,59800,59500,59100,58800,58800,58800,58800,58600,58500,58900,59300,59400,59900,60800,62100,63500,64700,65800,67100,68300,69300,69800,70900,72800,74600,76000,77200,78300,79700,80700,81400
