"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",96700,97000,97000,96900,96700,96700,96600,96600,96700,97000,97400,98000,98300,98500,98600,98800,99100,99500,99900,100100,100500,101100,102000,102300,102100,101900,102500,103500,104300,104600,105200,105800,106300,106800,107500,108400,109100,109700,110500,111100,111600,112200,113100,113900,114600,115500,116500,117600,118600,119600,120400,121100,121900,122600,123300,124300,125300,126400,127400,128400,129300,130300,131200,132200,133300,134300,135200,136200,137400,138200,138400,138800,139800,141100,142200,143300,144600,146000,147500,148800,149800,150900,152200,153700,155000,156300,157600,159200,160700,162000,163200,164600,166500,168600,170400,171900,173700,175800,178000,179900,182000,184300,186500,188300,190300,192600,195200,198100,201000,203600,206400,209200,212100,214700,217200,219700,221900,223900,225700,227300,228600,229400,229900,230100,229900,229600,229200,228700,227900,227300,226900,226400,225800,224800,223700,222600,221200,220000,218800,217300,215200,212900,210400,207900,205500,203400,201300,199200,197200,195100,193100,191200,189500,187800,186100,184300,182300,180200,178300,176800,175700,174800,173900,173300,172700,172100,171400,170600,169700,169200,168500,167300,166100,165000,163800,162600,161400,160200,159300,158700,157700,156500,155500,154400,153500,152600,152100,151600,151200,150900,150700,150900,151200,151600,151900,152300,152800,153300,153700,154100,155100,156200,157400,158300,159400,160800,162800,164900,166700,168100,169700,171400,172800,174100,175100,176100,177200,178000,178700,179600,180300,180900,181600,182400
"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317400,319400,322500,325700,325400,324000,328500,338400,346300,349200,349000,349800,353700,358200,362200,367000,369700,370100,371700,374900,378500,381700,382400,382500,384300,386600,388400,390500,389100,385800,384200,385200,386400,387900,387200,385200,384200,384200,384400,385300,384300,382200,381800,383300,384500,385600,386100,386500,386600,386000,384500,383000,384200,387500,389500,389000,388500,387800,386500,385400,385300,385500,385800,387000,387600,387400,387700,387900,387400,388300,390100,391100,391500,391900,391600,391800,391500,390700,391100,392300,391700,390400,389900,390100,390400,390000,389100,388800,387500,385300,383600,383100,382300,381800,382700,385100,387600,389600,391500,393400,394500,395500,397000,399000,400500,402500,405600,408700,412100,416200,421300,425900,428500,430000,431100,434300,445100,456100,459500,460400,464000,467200,470000,472100
"Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173200,175400,177100,178400,179100,179500,180300,181600,183000,185100,187100,189000,191000,193300,195700,197800,198800,199400,201000,203100,205000,207100,209700,212500,215000,217900,221000,224000,225700,226900,228400,230500,232700,235100,237700,240600,242300,244300,248700,253900,257700,261500,265700,270400,275100,279600,284100,288500,293000,297500,301800,305500,309200,313700,319500,326100,333400,340800,348000,354900,362800,371800,382400,393600,404200,412900,420300,425400,427700,428900,431200,436000,442500,448900,453000,456000,461300,470200,476800,482600,488800,495400,500900,505100,506600,508500,508300,508000,509200,509800,508900,508000,506700,505000,501300,496600,493300,490800,488900,488200,486300,482600,478500,473600,468900,464400,459400,453700,447600,439600,431300,423500,415700,407900,402000,397700,394000,389900,386600,383800,380900,377800,375400,372900,370900,370000,370100,370500,371200,372100,373400,374600,375500,376000,376200,375700,373900,371200,368600,365700,362700,360300,358400,356300,353900,351400,349000,346400,343300,340400,338200,336700,335600,334400,333100,332200,332200,332500,333200,334500,336300,338100,340400,342900,345300,347900,351400,356000,361900,368800,376400,384000,391700,398900,405100,410500,416000,420900,424600,427900,430900,434100,437500,439800,440400,441100,442500,444300,446000,447200
"Chicago, IL",107500,107300,107100,107400,107500,107500,107400,107600,108000,108500,108800,109000,109300,109300,109200,109400,109900,110300,110700,111100,111300,111600,112100,112400,112500,113000,113700,114600,115300,116000,116600,117100,117400,117900,118600,119200,119800,120600,121500,122200,123100,124200,125300,126400,127200,128300,129700,131300,132600,134000,135400,136400,136700,137100,138000,139300,140900,142300,143100,143700,145100,146900,148600,150200,151900,153500,154500,155800,157800,159500,160700,162000,162800,162900,162900,163100,163600,164400,165600,166900,167700,168000,169000,170500,172000,174000,176100,177700,178500,179000,179000,179000,179100,179400,180000,181000,181900,182200,182300,183100,184600,186100,187400,188200,188800,189500,190800,191900,193000,194500,196100,197400,198100,198400,199000,199900,200800,201700,202400,202700,203100,203300,203400,203600,203900,204100,204600,205000,205200,205500,205600,205400,205100,204600,204200,204000,203900,203900,203900,204000,204200,204100,203500,202100,201200,200600,199200,197500,196600,195900,195100,193700,192700,191900,190800,189500,188300,187100,186200,185300,184300,183900,183500,183200,182800,181800,180100,178600,177500,176800,175800,174200,172400,170400,168200,165700,163000,160700,160300,160400,158800,156000,153700,152300,151100,149200,146900,144700,142600,140800,139200,138100,137500,137700,137600,136900,136200,135800,135500,135600,135900,135900,136100,136200,136400,137400,139800,142800,143900,144500,146600,149000,150300,151500,152500,153300,154000,153600,152100,151500,152700,154300,154900,154700
"Dallas-Fort Worth, TX",,,,,,,,,,,68500,68100,67400,66900,66400,66100,66000,65900,66000,67300,69000,70000,70100,69800,69100,68900,68800,68600,68700,68700,69100,70800,72400,73100,73400,73900,74400,74900,75300,75600,75700,75900,76600,78300,79900,80300,80000,79700,79500,79300,79100,79200,79200,78900,79200,80500,81800,82100,82100,82600,83000,83100,83300,83200,83400,83700,84200,85100,85900,86300,86400,86800,86900,86900,87000,87400,87900,88400,88800,89300,89700,90300,90800,90900,91000,91400,91600,91700,92000,92200,92300,92500,93000,93900,95300,96700,97700,98400,99000,99300,99700,100100,100300,100300,100700,101100,101400,101400,101700,102000,102400,102800,103200,103600,104300,104700,104700,104700,104800,105100,105500,105900,106300,107000,107400,107600,107800,108200,108500,108600,109000,109300,109600,110100,110900,111300,111500,111700,112100,112400,112300,111700,110400,109200,108300,107200,106400,106300,106300,106300,106300,106200,106300,106400,106500,106500,106300,105800,105200,104800,104300,103700,103200,102800,102600,102600,102400,101700,101100,101000,100600,99900,99300,99100,98600,98000,97400,96700,96200,96400,96500,96200,95900,95400,94800,94600,94200,93800,93600,93700,94000,93900,93900,94300,94700,94700,94900,95000,95200,95500,96000,96800,97500,98200,99000,100000,101100,102100,102800,103000,103200,103300,103800,104500,105200,105800,106500,107100,107500,108200,109100,109900,110900,112100
"Philadelphia, PA",53100,53100,53000,53000,52800,52500,52400,52400,52300,52300,52500,52700,52700,52400,52100,51800,51900,51900,51900,52000,52100,52100,52300,52600,52800,53000,53000,52800,52700,52800,53000,53000,53100,53200,53500,53800,53900,53900,54000,54200,54300,54300,54400,54700,54800,54900,55100,55400,55500,55400,55500,55700,55900,56100,56200,56300,56700,57000,57100,57100,57300,57500,57700,58000,58500,58900,59100,59600,60200,60900,61500,61900,62300,62900,63600,64200,64700,65400,66000,66600,67200,67900,68600,69200,69800,70600,71300,71900,72600,73400,74000,74600,75300,76300,77200,78000,79000,80100,81100,82300,83700,85300,87200,89000,90400,91900,93500,95200,97000,98900,101200,103400,105200,106900,108700,110600,112200,113300,114400,115700,117100,118400,119700,120700,121500,122000,122500,122900,123100,123200,123700,124300,124800,125200,125700,126100,126500,126500,126000,125300,124700,124300,123900,123500,123200,122700,121900,121400,121000,120700,120500,120100,120200,121000,121400,121200,121000,120800,120700,120800,121000,121500,122200,123000,123600,123400,123100,123000,123100,123200,123300,122900,122000,120800,119700,119000,118600,118300,118100,117700,116900,116000,115100,114300,113700,113400,113100,112500,111700,111100,110700,110400,109900,109100,108300,107700,107500,107300,107100,107200,107400,107400,107300,107400,107700,108200,108600,109200,109300,109500,109900,110500,111000,111700,112300,112800,113400,114100,114800,115200,115700,116400,117000,117400
"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71600,71200,70700,69200,68200,67800,67500,67500,67500,67200,67400,67500,68000,67400,66700,66300,66900,66800,66300,65100,64800,63700,64900,66100,67100,66000,64800,64400,65000,65500,65900,66200,66900,66500,68100,69300,70900,70200,70000,69600,70600,71600,72500,73100,74200,74200,76600,78200,79900,87300,93500,98500,96500,95400,95000,94500,94400
"Washington, DC",125100,125300,125100,124700,124300,123800,123600,123500,123300,123400,123800,123900,123400,123100,122700,122000,121300,121200,121000,121200,121600,122200,122700,123000,122900,122900,122900,122900,122900,122900,123300,123700,124200,124700,125300,125700,125900,126100,126600,127400,128300,128800,129400,129900,130500,131300,132200,133100,133800,134500,135400,136400,137300,138100,139000,140000,141300,143000,144700,146300,148000,149700,151700,154000,156200,158300,160200,162100,164000,165900,167800,170100,172400,174900,177800,180500,183300,186400,189700,192900,196300,199600,202800,205600,208200,210800,213300,215900,219200,222600,225900,229200,232800,236900,241000,245600,250800,256500,262200,268300,274500,280700,286800,292800,298800,304600,310400,316700,323500,329900,335800,341400,345900,349600,353200,356200,357800,358600,358600,358300,357400,356100,354100,351700,349100,346800,344700,343100,341800,341000,340600,339900,338900,337800,336000,333700,331300,328800,326200,323300,319900,316000,311800,307300,302600,298000,293800,290000,286500,283100,279600,275900,273000,270700,268500,266000,263900,262200,260600,259000,257900,257400,257600,258100,258000,257800,257600,257500,257700,258100,258400,258900,259100,258500,257500,256500,255600,254700,254500,254500,253800,252900,252300,252200,252400,252400,252100,252000,252100,252200,252400,253000,254000,255100,256200,257400,258700,259800,260900,262000,263000,264200,265700,267400,269500,271900,274600,277500,280200,283100,285700,287500,289400,291700,293500,294600,295200,295900,296500,296300,295900,296000,296800,297700
"Miami-Fort Lauderdale, FL",70600,70700,70400,70300,70100,70100,70200,70300,70100,70400,70800,70900,70800,70700,70900,71200,71400,71400,71400,71500,71700,72100,72600,72900,73000,73000,73100,73100,73100,73200,73500,73900,74100,74200,74500,74900,75100,75300,75400,75500,75800,76100,76200,76600,77200,77700,78100,78600,79000,79500,80200,80900,81200,81800,82600,83100,83400,84200,85100,85900,86900,88000,89100,90000,91100,92300,93400,94500,95900,97500,98800,100000,101300,102700,104000,105600,107500,109400,111300,113000,114500,115900,117400,118900,120300,121800,123500,125200,126700,128000,129600,131600,133300,135100,137400,139800,142300,145000,148000,151200,154600,158000,161300,164800,168500,172200,176300,180900,185800,190900,195900,201000,206100,210800,215100,219000,222500,225500,228100,230000,231300,232100,232200,231700,230900,230100,229400,228100,226500,225400,224300,222700,220700,218200,215700,213100,210400,207400,204400,201400,197900,193800,188800,183700,178900,174000,169000,164200,159400,154200,149200,144200,139900,136200,132300,128400,124600,121500,118800,116300,114200,112800,111700,110700,110000,109200,108600,107900,107300,107000,106400,105400,104300,103000,101400,100100,98900,97700,96800,96300,95500,94500,93600,92800,92200,91900,91900,91900,91800,91900,92500,93500,94300,95200,96100,97300,98700,100200,101300,102300,103400,104600,106000,107500,109300,111300,113400,115700,117700,119600,122000,124300,125900,127500,129100,130500,132300,134100,135800,137400,138500,139300,140200,141000
"Atlanta, GA",93700,93600,93200,93100,92800,92500,92200,92100,92200,92800,93500,94100,94600,95300,96100,96900,97500,97900,98800,99600,99800,100000,100600,101300,101900,102800,103800,104700,105800,107400,108800,109600,110700,112300,113900,114900,115600,116700,118300,119900,121500,123100,124400,125700,127200,128400,129100,129800,130700,132200,133400,134000,134500,135100,135800,136500,137100,138000,138800,139500,140000,140600,140900,141200,141800,142600,143200,143700,144100,144400,144900,145500,145700,145900,146100,146500,147100,147400,147500,148000,148800,149300,149200,149300,149600,149900,150000,150100,149900,149600,149600,149700,149700,149900,150300,150900,151400,151600,151600,152200,152900,153100,153200,153500,153900,154500,155100,155400,155500,155700,156200,156600,157200,157900,158500,159200,159900,160500,161200,161600,161900,162300,162500,162500,162300,162200,162600,163000,163100,162700,162500,162500,162600,162800,162800,162500,162100,161800,161300,160500,159700,158800,157800,156700,155700,154600,153600,152600,151200,149600,147700,145200,143000,141400,139700,137900,136300,134900,133900,133100,132700,132600,132400,132200,131800,131300,130900,130300,129600,129100,128600,127900,126800,125700,124600,123500,122000,120400,119100,118100,116700,114500,112200,110000,108200,106600,105300,104200,103700,103100,102200,101700,102000,102200,102200,101900,101800,102100,102500,102900,103300,104000,104900,105800,106600,107800,109400,111500,113600,115100,116700,118500,119900,121100,122500,123900,125500,127000,128400,129800,131100,132100,133100,133900
