"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",99600,99800,100200,100400,100400,100500,100600,100800,101100,101600,102200,102700,103000,103200,103400,103700,104100,104600,105100,105500,105800,106200,106900,107400,107500,107600,108100,108800,109300,109800,110200,110500,110900,111600,112200,113000,113700,114400,114800,115300,116000,116600,117000,117600,118200,118800,119300,120000,120700,121400,121900,122500,123000,123400,123800,124400,125100,125800,126200,126500,127200,127900,128500,128800,129300,129800,130300,130900,131500,132200,132800,133400,134000,134400,135000,135800,136600,137300,138100,138900,139400,140200,141200,141900,142400,143300,144300,145000,146000,147000,148000,149200,150300,151300,152300,153500,154700,156000,157200,158400,159800,161100,162500,163900,165500,166800,168300,170000,171700,173100,174700,176400,177900,179300,180800,182100,183100,184300,185200,185900,186900,188000,189000,189600,190000,190500,191000,191000,190800,190900,191100,191400,191700,191600,191200,190900,190500,189700,188800,187800,186500,185200,183800,182200,180500,179100,177700,176500,175300,174100,172900,171900,170900,169800,168900,167800,166500,165100,163700,162400,161500,160900,160200,159800,159600,159300,158700,158200,157600,157000,156400,155800,154800,153800,153000,152200,151400,150600,150000,149300,148600,147900,147100,146200,145700,145300,144700,144400,144400,144500,144700,144700,144700,145100,145700,146200,146800,147500,148000,148500,149000,149800,150600,151300,152100,153300,154900,156200,157400,158500,159600,160500,161400,162500,163400,164600,166100,167000,167400,168200,168800,169200,170000,171000
"New York, NY",171100,170800,170700,170700,170200,169900,169100,167700,166600,166800,167300,168000,168500,169000,169400,169600,170100,170700,171300,171900,172500,173400,174500,175300,175700,176300,177200,178000,178600,179200,180400,181800,183200,184400,185500,186600,188100,190200,192400,194400,196100,197700,199300,201600,204600,207800,210100,211500,213000,215100,217700,220000,222400,225000,227600,229900,232100,234500,236900,238900,240900,243500,246300,249200,252000,255300,258600,261700,264500,266900,271400,277600,283000,286600,290700,295100,299800,304000,307700,311800,315900,319900,323900,327800,331300,333400,334000,335300,338000,340800,343700,346600,349300,352200,354900,357800,361000,364900,369100,373700,378400,383000,387700,392500,397100,401700,406000,410200,414800,419700,424400,428700,432200,435400,438600,441600,444300,446500,447900,449000,450200,451600,452800,453200,452900,452200,451200,449900,448500,447400,446400,445500,444700,444300,443300,441400,439100,437200,435400,433800,432200,430200,427500,424200,420700,417300,413900,410700,407600,404400,400800,397100,394200,391900,389700,386800,384000,381600,379500,377700,376400,375600,375500,375700,375700,375600,375800,376000,375800,375300,375100,374800,374300,373400,372200,370900,369600,368200,366800,365400,363600,361700,360200,358900,357400,355500,353900,352400,350600,348800,347500,346600,346000,345700,345700,346100,346800,347600,348000,348200,348300,348600,349300,350200,351300,352800,354500,356300,358300,360200,362200,363800,365100,366500,367900,369500,371700,373800,375000,376000,377100,378400,379500,380400
"Los Angeles, CA",172500,172800,172600,172300,171900,172000,171900,172100,172500,173300,174200,175000,175300,175500,175600,175700,176200,176900,177900,179200,180600,182500,184700,185600,185400,185700,188400,191900,194600,196300,198200,200200,202100,203600,205300,207200,208900,210600,212300,213400,214200,215500,217400,219400,221400,223800,226400,228900,231400,233900,235600,237100,239000,241000,242700,244800,247000,249500,252200,255000,257600,259900,261500,263400,265700,268300,270900,273500,276300,279700,283500,287200,291000,295600,300500,305700,311300,316900,322400,328100,333800,339100,344000,349100,354300,358800,363100,368000,374000,380700,388000,395800,404200,412700,421700,431500,442500,454700,467400,479100,488700,496600,503200,508600,513600,518500,524000,530400,537800,545500,553600,562200,570900,579500,587200,594100,599900,604600,607700,610000,611700,613100,614100,614100,613000,611200,608900,606300,603500,601900,601100,599100,596200,592500,587100,581200,575600,569600,563500,556800,549100,540700,532000,521900,510300,499100,489500,480200,471200,463600,457400,452100,447700,443500,439300,435800,433200,430700,429000,428700,429200,430000,430800,431700,432900,433800,434600,435500,436100,435900,434600,432200,429800,427500,425400,423700,421900,420200,418200,415600,412800,410300,407700,405200,403000,401300,399800,398300,397000,396500,396700,397300,398600,400500,403000,406000,409500,413000,416700,420700,425700,431200,437500,444900,453000,461400,470000,477900,484500,490300,495300,499400,502600,506100,509200,512700,516300,519200,520500,522000,524000,525900,528400,530900
"Chicago, IL",134500,134500,134500,134500,134500,134400,134500,134800,135300,136000,136700,137000,137000,137000,136800,136800,136900,137100,137400,137900,138200,138600,139300,139700,139800,139900,140200,140400,140600,141200,142100,142700,143000,143600,144400,145000,145500,146200,146900,147700,148500,149300,150000,150800,151800,153000,154200,155100,156000,156900,157900,158700,159800,160800,161600,162400,163800,165200,166100,167100,168400,169600,170500,171400,172500,173700,174900,176000,177100,178300,179500,180800,181800,182500,183300,184300,185200,186100,187400,188800,190200,191900,193300,194500,196000,198300,201000,203400,205100,206200,206800,207100,208000,209200,210200,211300,212600,213700,214700,216100,217800,219600,221300,223200,223700,223000,223400,225200,226600,228000,229500,231000,232400,233500,234800,236100,237400,238800,240100,241100,242000,242800,243100,243300,243400,243400,243600,243900,244100,244300,244600,244500,244200,243600,242700,241900,241100,240100,239100,238200,237100,235800,234200,232200,230400,228800,226900,224700,222700,221000,219100,216800,215200,214200,212700,210800,208900,207300,205900,204700,203700,203100,202700,202200,201500,200800,200100,199100,198200,197300,196200,195000,193300,191400,189400,187400,185800,184200,182800,181400,179700,177500,175400,173500,172000,170600,169100,167800,166600,165300,164200,163500,163200,163100,163100,163100,163200,163200,163300,163300,163400,163500,163900,164700,165500,166400,168200,170300,172000,173400,174900,176100,177200,178200,179200,180200,181400,182600,183000,183400,183900,184700,185500,186200
"Dallas-Fort Worth, TX",91000,91000,91200,91800,92400,92300,93200,94700,95400,95200,95600,95900,96100,96500,97000,97300,97700,98300,98600,98800,99300,100000,100500,100900,101200,101400,101600,101800,102000,102500,102800,102900,103300,104000,104500,105100,106000,107000,108000,108800,109600,110400,111100,111700,112400,113000,113400,113600,114000,114500,115000,115300,115500,116000,116400,116900,117300,117600,118100,118900,119700,120200,120500,120800,121200,121500,121900,122300,122600,123100,123700,124000,124100,124400,124800,125300,125700,126000,126400,126800,127200,127500,127800,128100,128500,128500,128400,128600,128900,129200,129400,129300,129700,130400,131400,132500,133600,134600,135800,136700,137300,137800,138300,138700,139100,139500,139800,140100,140300,140600,140800,140900,141100,141400,141700,142100,142400,142700,143000,143300,143700,144200,144500,144900,145100,145400,145500,145700,145800,146100,146600,146800,146800,147200,147500,147900,148300,148600,148800,149100,149100,148100,146700,145300,144200,143200,142100,141300,140500,139800,139000,138200,137600,137200,136700,136000,135200,134300,133600,133200,133200,133200,133200,133100,132800,132700,132800,132900,132800,132600,132500,132200,131700,131200,130600,130300,130100,129700,129600,129600,129400,129100,128800,128200,127700,127500,127300,127200,127200,127200,127500,127800,128000,128400,128900,129200,129500,129700,130100,130700,131300,132100,133000,134100,135200,136200,137400,138600,139600,140600,141100,141100,141500,142500,143100,143600,144800,146000,146900,147700,148400,149000,150000,151200
"Philadelphia, PA",108600,108700,109000,109100,109100,108900,108900,109100,109100,109100,109300,109500,109600,109400,109200,108900,108600,108500,108600,108700,108800,109500,110300,110900,111100,111100,111300,111500,111600,111600,111700,112100,112500,113000,113700,114300,114600,115100,115500,115800,116200,116800,117400,117700,117800,118200,118900,119400,119700,120100,120600,121200,121800,122500,123200,123900,124600,125200,125700,126400,127400,128300,129000,129900,130800,131600,132200,132900,134000,135300,136300,137300,138400,139700,140900,142300,143700,145400,147100,148800,150400,151900,153400,155000,156600,158200,159900,161600,163300,165100,166800,168500,170100,171900,173600,175200,177100,179300,181500,183900,186400,188700,191100,193800,196300,198600,200900,203200,205500,207800,210300,213000,215400,217700,220000,222000,223800,225100,226100,227300,228500,229500,230100,230400,230900,231100,231000,230900,230700,230600,230800,231100,231300,231300,231100,230900,230400,229800,229100,228400,227700,226900,225800,224700,223800,223200,222500,221600,220700,219800,218900,217800,216900,216600,216400,215900,215000,214100,213400,212600,212100,211900,212000,212100,212100,212000,211800,211500,211200,210900,210500,209800,208700,207300,206100,205100,203800,202500,201700,201000,199800,198400,197000,195800,194600,193800,193000,192300,191500,191000,190600,190100,189500,188900,188400,188100,188200,188200,188200,188100,188300,188300,188400,188800,189300,189700,190300,191100,191700,191900,192200,192700,193300,194200,194700,195300,196400,197600,198300,199000,199800,200600,201000,201200
"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126700,126700,126000,125400,124500,124000,123200,122400,122100,121600,121700,121900,122500,122200,121600,120700,120700,120600,120500,120000,119400,119100,120100,121100,121700,121200,120600,120500,120700,121200,121300,121500,121800,122300,123600,125300,127600,128600,129900,130800,132500,133500,134800,135500,136300,136600,137900,139000,140600,144200,147500,150100,149600,149800,150300,151000,151700
"Washington, DC",159900,159900,159900,159700,159500,159200,159100,159200,159400,159700,159900,159900,160000,158900,157000,155900,155900,155800,156000,156300,156700,157400,158300,159000,159100,159400,159700,159800,159900,160200,160500,161100,161700,162200,163000,163800,164200,164800,165900,167100,168100,169000,169700,170500,171500,172800,174100,175300,176400,177800,179400,180700,181800,183200,184900,186600,188600,191000,193300,195500,197700,200100,202700,205200,207600,210000,212300,214600,216800,219000,221600,224500,227500,230400,233600,236800,240100,243500,246900,250300,253800,257200,260300,263200,265800,268500,271400,274500,277900,281700,285400,289300,293600,298100,302700,307900,313700,320000,326500,333300,340600,347800,354800,361500,367900,374300,380700,387300,394400,401400,407900,414200,419900,424300,427900,431000,433400,435000,435800,436100,436000,435300,433700,431500,428900,426200,423900,422000,420000,418000,416700,415500,413800,411800,409100,405600,402000,398100,394200,390200,385600,380700,375400,369600,363800,358500,353400,348700,344500,340700,337100,332800,329200,327100,325400,323200,321200,319300,317500,316000,315200,314900,315100,315900,316400,316200,315900,315700,315800,316000,316300,316200,315500,314700,314000,313100,312100,311200,310600,310100,309200,308100,307500,307400,307500,307700,307700,307500,307400,307500,307800,308400,309200,310400,311500,312900,314300,315300,316200,317500,318800,320100,321600,323500,325900,328600,331700,335100,338300,341300,343900,345900,348000,350400,352400,354000,355400,356500,357300,357700,358200,358700,359300,359800
"Miami-Fort Lauderdale, FL",95000,94900,94700,94800,94900,94900,94900,95100,95300,95900,96400,96700,96900,97200,97600,97900,98300,98500,98600,98800,99100,99300,100000,100400,100500,100700,101000,101100,101200,101500,102000,102600,103100,103400,103700,104300,104700,105200,105700,106100,106500,106900,107400,108000,108700,109500,110400,111300,112000,112900,113900,114800,115600,116400,117200,117900,118600,119800,121100,122300,123500,124900,126400,127800,129200,130700,132200,133600,135300,137000,138400,139800,141500,142900,144300,146000,147900,150000,152100,154200,156100,158000,159800,161900,164100,166000,167700,169700,171700,173700,176100,178500,180900,183800,186800,189800,193200,197300,201700,206200,210900,215700,220600,225700,231000,236300,242200,248500,255200,262200,269000,275700,282300,288100,293200,297900,301300,303300,305400,307900,309800,310500,310500,310100,309400,308300,307000,305600,303900,302200,300300,298100,295200,291600,287700,283800,279800,275700,271300,266900,261900,256100,249500,242600,235900,229900,224300,218600,212700,206400,200100,193800,188500,184900,181500,176800,172200,168400,165600,163200,161300,160100,159400,158900,158800,158500,157900,157300,156900,156500,155700,154700,153400,152000,150700,149600,148300,147000,146200,145800,145300,144600,143600,142700,142200,142100,142100,142400,142600,142900,143700,145200,146700,147900,149100,150300,151700,153200,154300,155400,156700,158000,159500,161400,163300,165300,167700,170100,172200,174700,177700,180100,182000,184400,186700,188900,191300,193600,195700,197900,199600,201100,202900,204600
"Atlanta, GA",107000,107100,107200,107400,107500,107400,107600,107800,108200,108600,109200,109500,109800,110300,110800,111200,111800,112600,113400,113900,114300,115000,115800,116400,116800,117300,117800,118300,118700,119500,120400,121100,121600,122400,123200,124000,124800,125800,126800,127700,128400,129200,129900,130800,131600,132400,133200,134000,134700,135600,136400,137200,137900,138400,139100,139800,140300,140900,141600,142200,142900,143600,144200,144800,145300,146000,146300,146700,147200,147800,148300,148800,149300,149600,149900,150400,150900,151300,151500,151900,152300,152500,152600,153100,153600,153900,154000,154100,154600,155000,155300,155600,156300,156700,157100,157400,157700,158100,158400,158800,159200,159500,159900,160300,160900,161600,162400,162900,163300,163700,164100,164700,165200,165700,166600,167500,168100,168500,169000,169400,169800,170200,170800,171400,171800,172000,172200,172500,172300,171600,171000,171000,171100,171300,171100,170900,170900,170800,170400,169800,169200,168600,167600,166500,165300,163800,162200,160700,158900,157000,155000,152400,150300,149400,148700,147400,146000,144900,143900,143200,142600,142200,142000,141600,141300,141100,141100,140800,140400,140000,139500,138600,137300,136000,135000,134300,133200,131700,130400,129300,127900,126600,125300,124000,122700,121900,121100,120500,120200,119800,118900,118500,118400,118300,118300,118300,118400,118500,118600,118600,118600,118900,119500,120300,121300,122600,124200,126200,128400,130400,132300,134400,136100,137200,138300,139500,141100,142500,143900,145000,146200,147400,148400,149200
