"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",101300,101700,102100,102100,101900,101800,101800,102000,102400,103000,103800,104100,104300,104500,104900,105200,105600,106000,106400,106700,107200,107800,108400,108900,109100,108900,109300,110100,111000,111500,111900,112400,112900,113200,113700,114500,115200,116000,116700,117200,117700,118300,119000,119500,119800,120400,121300,122100,122800,123400,123700,124200,124800,125400,126100,126900,127700,128300,128700,129100,129700,130400,131000,131300,131900,132500,132800,133300,134000,134800,135300,135600,135900,136500,137300,138000,138700,139600,140500,141400,142000,142600,143400,144400,145400,146300,147300,148100,148900,149900,150800,151800,152900,154200,155400,156700,158000,159100,160100,161600,163200,164400,165500,167000,168600,169900,171200,172700,174100,175700,177700,179400,180400,181700,183100,184300,185200,186200,186800,187600,188700,189500,190000,190400,190700,191100,191600,191500,191400,191400,191700,191800,191800,191600,191200,191000,190800,190200,189100,188000,186900,185800,184600,183200,181600,180400,179400,178400,177500,176700,176000,175400,174800,174200,173600,172900,172000,171000,170100,169300,168600,167900,167400,167200,167000,166800,166500,166100,165500,165000,164500,163700,162800,161900,161000,160100,159300,158700,158100,157300,156500,155900,155100,154300,153600,152900,152400,152400,152400,152300,152400,152500,152600,152900,153300,153800,154400,155400,156000,156500,157000,157600,158200,158900,159600,160600,162100,163400,164500,165400,166300,167000,168000,169100,170100,171400,172700,173400,173900,174400,175000,175700,176500,177200
"New York, NY",171000,171000,171000,170900,170500,170400,169500,168000,166900,167300,168100,168800,169500,170100,170500,170600,170900,171200,171700,172400,173100,174200,175400,176500,177200,177700,178100,178500,179200,179900,180900,182300,183600,184900,186300,187800,189300,191000,192900,194800,196600,198400,200300,202600,205400,208300,210700,212500,214100,216100,218300,220800,223200,225500,228100,230500,232600,235100,237800,240200,242400,244400,246500,249000,251800,254900,257900,261000,263700,266100,268800,271900,275500,279100,282600,286600,291000,294900,298800,302800,306800,310700,314800,319100,322600,326500,331100,335000,338100,341100,344000,347000,350000,353000,356200,359500,363100,367000,370700,374700,379200,383900,388900,393800,398400,402900,407500,412400,417500,422100,426400,430300,434000,437300,440500,443400,446300,448700,450500,452000,453800,455100,455600,455900,455900,455400,454300,453300,452100,451000,450200,449700,449100,448500,447200,445100,442800,440900,439200,437500,435700,433800,431300,428100,424400,420600,416900,413600,410500,407000,403200,399500,396100,393500,391000,388000,385100,382400,380200,378500,377100,376100,376000,376000,376000,375900,375900,375600,375400,375200,375000,374400,373400,372500,371600,370300,368700,367100,365900,364400,362300,360100,358600,357500,356000,354100,352400,350800,348900,347200,346000,345100,344100,343500,343600,344200,344900,345600,346000,346200,346300,346400,346800,347700,348700,350100,351900,353900,355700,357300,359200,361000,362500,364000,365300,366800,370000,372800,373300,373300,374700,375900,377000,377900
"Los Angeles, CA",179500,179700,179700,179600,179600,179800,180000,180100,180700,181700,182700,183300,183600,183700,183900,184200,184700,185400,186400,187800,189600,191500,193600,195600,197600,199600,201500,203400,205400,207400,209300,211100,212700,214400,216400,218200,219500,220900,222600,224200,225300,226400,228000,229900,231900,234400,236900,239300,241600,243900,245900,248100,250300,252600,254600,256600,258900,261600,264400,267000,269300,271300,273400,275500,277800,280400,283400,286400,289300,292500,296000,299700,304000,309000,314100,319600,325400,331200,337000,343100,348800,354200,359600,365000,369900,374300,378600,383500,389400,396100,403600,412200,421000,429900,439300,449700,461200,473500,486400,498700,509000,517000,523500,528800,534000,539100,544600,551300,559000,567300,575700,584400,593500,602800,610900,618000,624000,628800,632300,635000,636400,637400,638300,638700,638000,636100,633800,631000,628300,627200,626600,624500,621300,617500,612200,606300,600500,594300,588000,581100,573200,564800,555900,545200,533500,522400,512600,503000,493800,485800,479200,473700,468800,464100,459800,456100,453000,450500,448900,448600,449300,450200,450900,451900,453600,454800,455400,456300,457200,456800,454800,452100,449700,447500,445400,443600,442000,440200,438200,435700,433200,430600,427900,425300,422800,420800,419500,418300,416600,415900,416000,416700,418300,420500,423300,426500,430200,434000,437900,442000,447000,452700,459200,467000,475500,484500,493600,501900,508600,514300,519600,524000,527400,530900,534400,537900,541300,543900,545200,546600,548700,550700,553100,555600
"Chicago, IL",147400,147000,146700,146400,146100,145800,145600,145600,146100,146900,147300,147400,147600,147900,148000,148000,148300,148600,148800,149100,149600,150300,150900,151100,151400,151800,152100,152300,152400,152600,153300,154100,154500,155200,155900,156700,157400,158200,158800,159500,160300,161100,161800,162600,163700,165000,166400,167300,168100,169000,170100,171100,172000,173200,174400,175400,176700,178200,179400,180300,181300,182300,183200,184300,185300,186400,187600,188800,190300,192000,193400,194500,195600,196500,197500,198700,200100,201600,203000,204400,206200,208100,209900,211600,213400,215500,217800,220000,221600,222500,222900,223300,224700,226700,228200,229000,230300,231600,232900,234400,236100,237600,239200,241600,240100,235800,234200,236600,238500,240100,241500,243100,244700,246200,247500,248700,250300,252400,254000,254800,255600,256200,256600,256900,257200,257400,257700,258000,258300,259100,259500,259400,258900,258100,256900,255600,254400,253300,252100,250900,250000,248900,247100,244700,242700,241000,239200,236800,234800,232800,230700,228200,226400,225300,224000,222200,220400,218400,216700,215400,214200,213400,212900,212300,211800,211700,211000,209800,208700,207900,206900,205600,204000,202300,200500,198500,196600,195200,194100,192500,190500,188300,186100,184200,182600,181100,179700,178400,177200,175900,175000,174500,174200,174100,174400,174800,175100,175200,175200,175200,175500,175800,176200,176700,177400,178500,180400,182500,184100,185500,187200,188800,189900,190900,191900,193100,194900,196700,197700,198300,199100,200100,200900,201500
"Dallas-Fort Worth, TX",100300,100300,100500,100700,101000,101100,101100,99100,96500,95700,96600,96700,96800,96800,97000,97200,97600,98000,98500,99300,100200,100900,101300,101500,101700,101900,101800,101800,102100,102600,102900,103400,104200,104900,105400,106000,106600,107400,108300,109300,110000,110700,111300,112500,113500,114000,114400,114900,115100,115500,115700,115900,116100,116600,117100,117700,118400,118700,119000,119600,120200,120800,121400,121600,121800,122000,122300,122700,123300,123800,124300,124700,125000,125200,125400,125700,126300,126700,126900,127300,127700,128200,128600,128800,129100,129300,129300,129400,129600,129900,130200,130200,130400,130900,131900,133000,134300,135300,136500,137600,138300,138700,139200,139700,140100,140500,140900,141100,141300,141600,141800,142000,142100,142300,142700,143200,143400,143700,144000,144400,144700,145100,145500,145900,146100,146300,146500,146700,146900,147400,147700,147700,147800,148100,148500,148900,149300,149600,149800,150200,150100,149100,147600,146400,145100,143900,142900,142000,141100,140300,139600,138900,138400,137900,137400,136900,136100,135300,134600,134300,134200,134200,134100,133700,133400,133500,133800,133900,133800,133700,133400,132900,132600,132200,131600,131200,130900,130600,130400,130400,130300,130000,129600,129200,128700,128200,128100,128100,128000,128100,128300,128500,128700,129100,129400,129800,130100,130600,131100,131700,132400,133100,133900,135100,136200,137200,138400,139700,140700,141500,142000,142100,142600,143400,144000,144600,145800,147000,147900,148700,149600,150400,151300,152300
"Philadelphia, PA",123300,123700,124100,124100,124000,123900,123700,123600,123700,124000,124300,124500,124500,124200,124200,124100,124100,124200,124500,124800,125100,125800,126700,127500,127900,128100,128000,128200,128300,128300,128300,128600,129100,129800,130700,131400,131700,131900,132300,132700,133300,134100,135000,135300,135500,136100,136900,137600,138300,139000,139600,140000,140700,141300,141900,142700,143400,144000,144600,145500,146400,147200,148300,149500,150600,151700,152800,153800,155100,156400,157600,158900,160300,161800,163200,164700,166300,168100,170000,171900,173800,175700,177600,179500,181100,182800,184800,187000,189000,191000,193000,195200,197200,199300,201400,203300,205600,208400,211200,214100,217100,220100,223100,226100,228900,231500,234000,236300,238900,241200,243500,246000,248300,250500,252700,254800,256400,257600,258400,259300,260500,261600,262400,262700,262900,262800,262400,262000,261700,261700,261900,262100,262300,262200,261800,261200,260700,259800,258700,257700,256800,255800,254500,253300,252200,251100,250000,249000,248000,247100,246300,245000,243800,243100,242900,242400,241600,240600,239600,238700,238200,238100,238200,238300,238500,238500,238200,237900,237500,237100,236500,235800,234500,232900,231400,230200,229100,228000,227100,226000,224600,223100,221900,221000,219900,219000,218300,217500,216800,216400,216200,215800,215300,214700,214300,214000,214000,214200,214200,214200,214000,214000,214100,214400,214900,215600,216400,217300,218100,218400,218800,219500,220200,220800,221500,222400,223900,225300,226300,227000,227700,228800,229700,230100
"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,129000,128300,127700,126800,126100,125200,124600,124000,123400,123400,124100,124700,124500,123800,122900,122700,122400,122400,121900,121200,120900,122000,123100,123500,122800,122100,122100,122300,123000,123200,123400,123900,124500,126200,127700,130000,130800,132400,133200,134800,135700,136900,137400,138500,138600,140200,141400,143200,147200,150700,153500,152900,153000,153400,154100,154800
"Washington, DC",179800,180100,180200,180100,179700,179600,179600,179600,179600,179900,180400,180500,180100,179500,178900,178200,178000,177900,178000,178400,178800,179600,180600,181400,181900,182100,182300,182600,183100,183600,184200,184900,185800,187000,188100,189000,189700,190500,191400,192600,194000,195200,196300,197300,198600,200200,201900,203500,205000,206600,208600,210400,211800,213500,215600,217800,220000,222200,224700,227400,230000,232400,234800,237300,240100,242700,244900,247100,249500,252100,254900,257900,261000,264200,267500,271000,274500,277900,281700,285500,289000,292600,296100,299300,302300,305500,308900,312700,316700,320800,325000,329700,334700,339600,344800,350400,356600,363000,369700,377000,384600,392200,399600,406900,414100,421100,428100,435100,442700,450600,458200,465200,471300,476700,481300,485200,488200,490300,491600,492400,492800,492600,491400,489300,486900,484300,481700,479200,476700,474900,473700,472400,470700,468600,465500,461300,456800,452200,447700,442800,437200,430900,424100,417000,409700,402800,396400,390900,386000,381700,377300,372600,369000,367200,365900,363900,361900,359900,358000,356400,355400,354900,354900,355700,356200,355800,355100,354800,354900,355100,355300,355100,354500,353400,352700,352000,351100,349800,349000,348400,347600,346400,345800,345600,345800,346200,346400,346100,345900,345900,346200,346600,347200,348500,350000,351800,353200,354100,354900,356100,357200,358400,359900,361700,364000,366800,369900,373200,376600,380000,382900,384800,386900,389500,391600,393700,396200,398500,399800,400500,401200,402100,403300,404500
"Miami-Fort Lauderdale, FL",122400,122600,122500,122200,122100,122100,122300,122300,122400,122800,123500,124000,124200,124000,124000,124200,124600,124800,124800,124900,125200,125800,126700,127200,127500,128000,128300,128200,128500,128900,129500,129900,130100,130300,130600,131300,131900,132300,132800,133500,134000,134400,134900,135500,136200,137100,138300,139300,139900,141000,142200,143000,143800,144700,145500,146500,147700,148700,149900,151600,153200,154700,156300,158200,159900,161700,163400,165300,167500,169800,171700,173400,175000,176900,178900,181100,183400,185700,188500,191500,194400,197100,199400,201800,204600,207500,210100,212900,215800,219100,222400,225600,228700,232200,235900,239800,244300,249300,254600,259900,265500,270800,276000,281600,287400,293400,300500,308000,315500,323100,331500,339700,347400,354000,359800,364900,368900,371800,374600,377100,378900,379400,378900,378000,377400,376700,375900,374600,372400,370200,368000,365300,362200,358400,354100,350000,345600,340800,335600,330500,324800,318300,310700,303000,295200,287300,279300,271400,263900,256800,249600,242500,236700,232200,227700,222700,218100,214600,212200,209900,208100,207300,206900,206900,207300,207300,207100,206800,206400,206000,205500,204700,203400,201600,199600,197800,196000,194800,193600,192700,191900,191200,190400,189500,188500,187800,187500,187400,187200,187300,188700,190700,192700,194500,196000,197500,199300,200900,202500,204300,206000,207700,210000,212500,214900,217200,219800,222900,225900,229300,233300,236700,239500,242200,244200,246000,248300,250600,253000,255300,257600,259400,261300,263000
"Atlanta, GA",109700,109900,110100,110000,110000,110000,110100,110400,110600,111100,111700,112200,112500,112800,113200,113700,114300,114900,115400,116000,116500,117100,117800,118500,119200,119700,120200,120800,121300,122000,122900,123600,124100,124900,125800,126500,127200,127900,128700,129600,130600,131500,132100,132800,133700,134800,135800,136500,137100,138000,138900,139700,140400,140900,141600,142400,143000,143500,144300,145000,145500,146000,146700,147300,147900,148400,148900,149200,149700,150100,150400,150800,151500,152100,152400,153000,153500,153800,154000,154400,154700,155100,155500,155800,156100,156400,156800,157000,157100,157500,158200,158700,159100,159500,159900,160300,160600,161100,161300,161500,162100,162600,162900,163400,164100,164700,165400,165900,166300,166700,167300,168000,168600,169300,170000,170700,171400,172100,172600,172900,173400,173900,174400,174900,175300,175600,176000,176100,175800,175000,174200,173900,174100,174300,174100,173900,173900,173800,173400,172800,172200,171600,170700,169600,168300,166500,165100,163700,161700,159500,157400,154800,152700,151800,151300,150500,149300,148100,147000,146300,145900,145500,145100,144900,144700,144700,144800,144600,144200,143900,143000,141900,140900,139800,138900,137900,136800,135400,134200,132900,131400,130000,129000,127800,126600,125800,125000,124400,124200,123700,122900,122400,122500,122400,122400,122500,122500,122500,122600,122900,123000,123100,123600,124400,125200,126300,127900,130100,132000,133800,135900,138200,140000,141200,142100,143500,145400,147600,149200,150700,152200,153700,154900,155600
