"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",168400,168700,168700,168700,168800,169100,169100,169400,170000,170700,171600,172600,173300,173700,174300,174900,175600,176500,177300,178100,178900,179800,181000,181800,181800,181900,183200,184700,185600,186300,187400,188400,189100,190200,191600,193000,194100,195300,196600,197700,198600,199600,200800,202100,203300,204500,205800,207300,208700,210100,211300,212500,213600,214900,216100,217300,218700,220200,221400,222600,224200,225600,226400,227400,228900,230200,231200,232300,233600,234800,235500,236400,237600,238900,240100,241700,243200,244700,246400,248000,249500,250900,252600,254100,255600,257500,259600,261400,263100,264800,266700,268600,270900,273200,275600,278000,280500,283100,285600,288300,291100,293900,296700,299600,302400,305200,308500,312000,315300,318500,321900,325400,328700,331700,334400,337100,339400,341100,342500,344100,345700,347100,348000,348600,348800,349100,349200,348700,348400,348400,348500,348600,348600,347900,346900,345800,344600,343100,341100,339000,336800,334800,332300,329300,326300,324000,321900,319600,317500,315700,314100,312600,311200,309900,308700,307300,305500,303500,301500,300000,299300,298700,298100,297700,297300,296700,296400,296000,295200,294100,293300,292300,290900,289200,288000,287100,286000,284600,283500,282200,280800,279700,278700,277700,276900,276400,275800,275700,275800,276100,276300,276600,277100,277800,278600,279500,280600,281800,283000,284000,285000,286200,287900,289600,291400,293600,296300,298900,301100,303000,304600,306100,307800,309500,310800,312700,315600,318000,319500,320800,321700,322600,323900,325200
"New York, NY",267600,269000,269500,269200,268400,267500,266400,264900,263900,265000,266900,268200,268900,270200,271500,272800,274100,275400,276500,278000,279800,281900,284000,285800,287100,288700,290700,292700,294600,296900,299700,302600,304900,307500,310200,312400,314700,318000,321900,325800,329300,332500,335800,339200,343400,348300,352300,355100,357900,362000,366900,372300,377200,381700,385800,389400,392800,397300,401400,403700,405600,409300,413800,418400,422800,427600,432200,436300,440100,441100,447300,459700,470100,474700,481200,487900,494200,499400,504700,511300,517500,523400,529100,534300,539800,543200,540900,538400,540500,544700,548900,553200,558900,565900,570300,572100,575100,580100,586200,593600,601400,609000,616500,624300,631800,638900,645700,652800,660100,667700,675300,682300,687500,691800,696200,700300,703700,706700,708500,709800,711400,713500,715500,716700,715900,714100,712100,710100,707600,705500,703800,702400,701000,700700,700300,698800,696500,694700,693200,691900,690500,689000,687600,686100,683800,681000,677800,674600,671300,667900,664400,660200,655900,652000,648100,643100,638300,634300,631000,628300,626700,625700,625300,625300,625900,626600,626900,626900,626600,626700,627200,627500,627400,627100,626100,624400,622400,620300,618800,617300,615300,612700,610900,610000,609100,607600,605800,604100,602600,601500,601000,600400,599800,599300,599500,600700,602300,603700,605200,606600,607800,608800,610400,612300,614300,617200,620900,624600,628200,632100,636500,640500,643300,645600,648300,652500,658300,663900,667600,670600,673400,675800,678300,680600
"Los Angeles, CA",293700,294100,294900,295400,295600,296000,296500,297300,299000,301600,304200,305700,306200,306700,308300,310700,313400,315800,318500,321400,324600,328100,331100,338400,348900,356600,356800,355900,357100,361200,364400,367700,370600,373100,375800,378000,379300,381600,385800,389300,391300,393400,396400,399700,403500,407800,411800,413700,415000,417800,421300,424800,428400,431600,434600,438800,443100,447700,452800,457200,460000,461600,463700,466600,470000,472700,476100,480600,485300,489800,494100,498500,503300,509300,516100,524200,533600,543700,553100,561500,569300,577500,585900,593700,601000,608000,615400,623600,633200,643200,654000,665800,678600,691200,704300,719300,736900,755300,773300,789600,802000,810800,817700,823100,827400,833100,840100,847500,855600,866900,879200,889800,898800,907800,916500,924400,931100,936000,940900,946700,949900,949400,948600,947600,945800,943800,941100,937100,932200,928600,927000,926300,925000,921800,916200,911200,906500,900900,895100,889600,883900,876700,866200,852700,839400,828500,817700,806800,796700,788300,781200,774800,770900,770000,767900,762900,758200,754400,754000,756900,761200,765200,768400,770700,771600,770700,770100,769800,768300,765300,761400,756300,752200,749200,746600,744500,742800,739700,736200,732800,729200,725200,721800,719700,718500,718200,718000,717800,717600,717600,717800,718800,720700,724100,728900,734400,740800,748000,755200,762800,771200,781200,793600,807900,820900,832300,845400,859100,866600,869100,873800,880700,885200,889400,893600,901000,913600,925300,927600,925500,926300,929000,932000,934700
"Chicago, IL",213500,214300,214700,214600,214500,214500,214700,215200,216200,217600,218800,219400,219700,220100,220500,220800,221500,222200,222800,223500,224100,225000,226300,227500,228300,228900,229500,230000,230500,231500,233200,234900,236200,237700,239000,240300,241600,242900,244300,245800,247500,249300,251200,253000,254700,256700,258600,260300,262200,264100,265700,267400,269300,271200,273200,275400,277700,280100,282200,284000,285800,287800,289600,291600,293800,296300,298200,299900,301800,303800,305600,307300,308900,310100,311500,313300,315400,317600,320200,322500,324300,326000,328200,330800,333300,336600,341200,345100,347200,347500,347000,346900,347900,349300,351100,353200,355400,357300,359100,360900,363200,365700,368200,371400,373700,374900,376700,379800,382600,384900,387000,389300,391600,393800,396300,398500,400700,403000,404600,405900,407500,408600,409000,409200,409700,410500,411400,411600,411200,411300,411500,411100,410000,408700,407400,406300,405000,403500,401800,400100,398300,396600,394600,391900,389400,387000,384100,380400,377200,374600,372500,370100,368000,366500,364500,361600,359000,356700,354400,352600,351400,350400,349600,349000,348500,347600,346200,345100,344200,343300,342000,340500,338700,336600,334200,332000,329800,327000,324800,322800,320500,318500,316800,315100,313700,312200,310200,308500,307100,305700,304700,304200,303800,303700,304100,305000,305600,306000,306300,306900,307700,308600,309900,311600,313900,316500,319800,323300,326700,329600,332400,334200,335400,337200,339200,340500,341800,343600,345200,346000,346400,347100,348300,349500
"Dallas-Fort Worth, TX",164500,164800,164900,164900,164400,162900,163700,166500,167700,167200,167600,168200,168900,169300,169700,170500,171400,172600,173600,173900,174500,175200,175900,176400,176600,176700,177200,178100,179200,180200,180600,180900,181500,182800,184100,185300,186400,187800,189000,190200,191500,192600,193100,194000,195400,196300,196400,196500,196700,197300,197800,197600,197200,197500,198000,198300,198700,199300,200700,202800,204900,206400,207700,208400,209200,210400,211300,211700,212200,213000,213500,213800,214000,214300,215000,215900,216500,216800,217300,218000,218400,219000,219400,219300,219200,219200,219200,219500,219900,220200,220200,220400,220800,221900,223500,225300,227200,228900,230300,231400,232700,233900,235200,236200,237100,237600,238100,238900,239700,240400,241200,242300,243300,244200,245000,246200,247300,248300,249400,250300,251000,251900,252900,253800,254600,255500,256400,257000,257800,258900,259900,260500,261100,261700,262200,262900,264000,264900,265600,266500,267000,266100,264400,263000,262100,261400,260700,259800,258600,257400,256400,255400,254600,254000,253400,252700,251600,250300,249200,248700,248500,248400,248300,247900,247800,248100,248600,248800,248800,248900,248800,248300,247700,247400,247200,246900,246400,246200,246200,245900,245300,244800,244300,243800,243500,243400,243200,243500,243600,243900,244700,245500,246000,246600,247400,248000,248700,249600,250800,252300,253800,255300,256900,258800,260700,262400,264300,266500,268400,269900,270100,269700,270400,272000,272900,274400,277500,280800,283300,285300,287200,288600,290900,293500
"Philadelphia, PA",180400,180700,181100,181200,181100,180800,180800,180900,181000,181500,182400,183000,183100,183100,183100,183200,183300,183300,183800,184400,184900,185900,187500,188800,189400,189700,190000,190000,190000,190200,190700,191400,192200,193400,194500,195600,196500,197300,198200,199600,201400,203300,204600,205500,206200,207400,208800,210100,211300,212500,213800,215400,216900,217900,219100,220800,222500,224100,225700,227200,228900,231000,233100,234900,236800,238900,241000,242800,244800,246800,249100,251600,254000,256200,258500,261000,264000,267100,270000,273100,276500,279800,282700,285400,288300,291500,294300,297100,299900,303100,306300,309500,312500,315100,317700,320600,323900,327600,331500,335300,338800,342100,345400,348800,352200,355400,358400,361300,364200,367400,370900,374300,377400,380300,383000,385800,388100,389600,391100,392500,393800,394500,395000,395300,395600,395300,394600,393700,393100,393000,393100,392900,392600,391900,391200,390300,389000,387700,386700,385800,384500,383000,381300,379600,378400,377600,376700,375500,374300,373400,372000,370200,368500,367400,366800,366200,364800,363000,361400,360200,359100,358500,358300,358300,358100,357800,357500,357100,356800,356500,355600,354400,352900,351300,349900,348800,347700,346900,346000,344800,343200,341800,340600,339400,338100,337100,336200,335300,334400,333700,333300,332900,332200,331100,330500,330600,331200,331600,331600,331300,331300,331400,331900,332700,333600,334800,336100,337900,339500,341100,342700,344700,346200,347500,348500,350200,352700,355600,357500,358800,360000,361300,362400,363100
"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248700,248800,248500,248000,247100,246100,245200,244500,244500,243900,244000,244300,244900,244000,242300,241300,241200,240900,240300,239200,238800,240100,242200,243900,244300,243400,243800,244100,244600,244600,245000,246000,247600,249800,252800,256000,259700,263400,266900,270900,274900,278200,280300,281000,281300,282500,284200,286200,289800,293900,298100,300900,302500,304900,307600,310600,313300
"Washington, DC",257200,256800,256700,256600,256200,256000,256300,256700,257100,257900,258700,259000,258900,257500,255100,253800,254000,254100,254600,255500,256800,258400,260000,260800,261400,262100,262800,263500,264300,265400,266500,267900,269200,270600,272200,273800,275200,277300,279900,282500,284800,287100,289100,291100,293600,296500,299900,303100,306000,309300,313100,316800,320500,324300,328100,331900,336000,340200,344400,348600,353100,357500,362200,366900,371300,375200,379000,382400,385600,388800,392600,396500,400500,404500,408600,413100,417900,422700,427300,431800,436600,441500,446000,450300,454300,457800,461400,465500,470100,475400,481300,487500,493800,500700,508200,516300,525200,535100,545300,555700,566200,576500,586700,597100,607300,617200,626900,636500,646800,657100,666200,674000,680100,684500,688200,691400,693400,694100,693500,691700,688900,685600,680900,675200,669500,664900,660800,656800,653200,650800,649000,647600,645800,643400,640500,637100,633200,629300,625400,621200,616700,612100,607300,601900,596100,590500,585300,581100,577600,574000,570300,566400,562700,559100,556200,553800,551900,550200,549100,549000,549700,551000,553100,555500,557500,558600,559000,559300,560500,562100,563900,565300,566300,566300,565500,564600,564100,563700,564000,564100,564000,563800,564200,564800,565800,566400,566300,566000,566100,566800,567900,569200,570500,572300,574200,576000,577300,578400,579600,581500,583500,585900,588800,591900,595100,599000,603900,609200,614300,619400,623900,627400,630700,634200,636800,639000,641400,643200,643700,643400,642900,643400,645100,646700
"Miami-Fort Lauderdale, FL",175600,175700,175800,175600,175300,175000,174800,174900,175200,176000,176800,177000,176800,176900,177200,177400,178000,178900,179800,180600,181200,181600,182300,183000,183200,183500,183800,184000,184500,185100,185800,186500,187000,187800,188700,189700,190600,191900,193400,194500,195100,195800,196500,197300,198500,200300,202200,204300,206200,208000,209600,211100,212200,213700,215400,217200,219100,221400,224000,226900,229800,232700,235000,237400,240200,243200,246200,248900,252000,255500,259700,263400,266700,269000,271900,276100,281000,284800,288100,292100,296000,299000,300900,302400,304300,306700,309200,312000,315100,318600,322500,326300,330300,334500,338700,343200,348700,355500,362900,370400,377900,385700,393500,401300,409000,417000,425900,436300,447600,458600,469200,479700,489700,498100,505900,513100,518500,522700,526800,530200,532300,533600,533400,531800,529500,527700,526600,525500,522600,518600,514600,510600,505700,500200,493800,487000,480300,473300,465500,458000,450100,441300,431400,421100,410700,400600,391500,383300,375400,367000,358200,349300,342500,338700,335600,331400,327000,323700,321600,319600,318100,317900,318700,319800,321500,323300,324600,325300,325800,326200,326100,325800,325200,323700,321800,320100,318400,316800,315600,314900,314600,314500,314000,313600,313100,313100,313400,314200,315400,316500,318000,320800,324200,327100,329800,332300,335000,337600,339900,341800,343600,346000,349400,352900,356300,359600,363000,366500,370100,374800,380200,384600,387400,389900,391900,394100,396300,398500,400900,403200,405000,406400,408700,410900
"Atlanta, GA",181600,181500,181600,181600,181600,182000,182500,183200,184000,184800,185500,186400,187400,188200,188700,189100,189800,190700,191600,192300,193300,194500,195800,197000,198300,199500,200900,202300,203800,205400,207100,208700,210300,211800,213600,215600,217400,218800,220700,222600,224400,226000,227700,229200,230700,232200,233800,235400,237000,238800,240400,241900,243200,244100,244900,245700,246400,247400,248500,249400,250100,251000,251800,252600,253600,254600,255600,256500,257300,258000,258500,259100,259900,261100,262200,263000,263600,264000,264400,264900,265600,266500,267100,267900,268500,268800,269200,269800,270600,271300,272200,273200,274200,275000,276000,277200,278500,279300,280000,281000,282000,283000,284100,285700,287400,289000,290700,292300,293600,294600,295800,297100,298600,300400,302200,303900,305700,307200,308600,309800,311100,312400,313800,315000,316200,317000,317500,318000,318000,317200,316500,316600,317200,317700,317900,317900,317900,318000,317700,316700,315400,314200,312800,311000,309000,306900,304900,302500,299300,296200,292900,289100,285900,284300,283100,281400,279400,277600,276200,275100,274400,274100,274000,274000,274200,274300,274800,275000,275000,274900,274200,273000,271800,270700,269700,268500,267000,265100,263100,261100,259400,257800,256400,255200,254400,253700,253100,253200,253800,253900,253600,253600,254200,254900,255600,256300,257000,257600,258700,260000,261100,262200,263600,265100,266900,269800,273400,277300,280700,283500,286200,289100,291700,293600,295500,297600,299800,301500,303100,304700,306400,308000,309900,311400
