"RegionName","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"United States",0.776,0.782,0.784,0.786,0.786,0.788,0.79,0.794,0.794,0.792,0.79,0.792,0.798,0.802,0.806,0.806,0.808,0.814,0.818,0.822,0.822,0.822,0.824,0.824,0.824,0.826,0.828,0.83,0.832,0.832,0.832,0.832,0.834,0.836,0.838,0.842,0.846,0.848,0.85,0.852,0.854,0.854,0.854,0.854,0.86,0.866,0.87,0.872,0.874
"New York, NY",,,,,,,,,,,,,,1.244,1.262,1.272,1.28,1.302,1.33,1.358,1.372,1.382,1.382,1.382,1.38,1.392,1.406,1.424,1.436,1.43,1.428,1.422,1.43,1.438,1.446,1.446,1.44,1.438,1.442,1.45,1.464,1.464,1.468,1.468,1.482,1.496,1.502,1.5,1.492
"Los Angeles, CA",1.49,1.496,1.498,1.498,1.5,1.5,1.498,1.498,1.5,1.502,1.504,1.504,1.508,1.512,1.512,1.512,1.512,1.52,1.526,1.538,1.54,1.54,1.538,1.538,1.544,1.552,1.558,1.564,1.57,1.574,1.576,1.574,1.574,1.574,1.578,1.584,1.59,1.598,1.604,1.61,1.614,1.618,1.622,1.628,1.638,1.65,1.662,1.672,1.682
"Chicago, IL",0.964,0.974,0.978,0.98,0.976,0.982,0.98,0.98,0.978,0.98,0.986,0.992,1.004,1.008,1.016,1.022,1.026,1.028,1.032,1.038,1.042,1.044,1.044,1.048,1.052,1.05,1.046,1.046,1.05,1.054,1.06,1.064,1.068,1.068,1.07,1.072,1.078,1.078,1.082,1.088,1.092,1.094,1.096,1.098,1.104,1.11,1.112,1.114,1.112
"Dallas-Fort Worth, TX",0.72,0.728,0.732,0.734,0.734,0.734,0.734,0.734,0.732,0.732,0.73,0.73,0.732,0.736,0.736,0.736,0.736,0.742,0.746,0.752,0.754,0.758,0.76,0.762,0.766,0.768,0.768,0.77,0.772,0.774,0.776,0.776,0.778,0.78,0.782,0.786,0.794,0.798,0.798,0.802,0.804,0.806,0.808,0.81,0.814,0.818,0.822,0.826,0.832
"Philadelphia, PA",0.874,0.876,0.874,0.872,0.872,0.876,0.882,0.884,0.882,0.882,0.888,0.898,0.906,0.914,0.92,0.924,0.926,0.93,0.934,0.936,0.936,0.934,0.934,0.934,0.934,0.936,0.938,0.94,0.944,0.946,0.946,0.944,0.948,0.95,0.952,0.952,0.952,0.952,0.956,0.958,0.962,0.962,0.962,0.966,0.974,0.98,0.98,0.98,0.976
"Houston, TX",0.736,0.732,0.73,0.73,0.732,0.732,0.73,0.728,0.724,0.72,0.718,0.716,0.716,0.72,0.722,0.726,0.728,0.732,0.738,0.744,0.748,0.752,0.756,0.76,0.762,0.768,0.77,0.772,0.774,0.776,0.778,0.78,0.784,0.788,0.794,0.798,0.804,0.812,0.818,0.82,0.824,0.824,0.826,0.83,0.834,0.84,0.844,0.848,0.852
"Washington, DC",1.21,1.218,1.224,1.234,1.24,1.248,1.25,1.252,1.248,1.246,1.25,1.262,1.28,1.288,1.292,1.294,1.296,1.3,1.308,1.318,1.324,1.328,1.328,1.328,1.332,1.336,1.34,1.342,1.346,1.344,1.342,1.34,1.342,1.344,1.344,1.344,1.342,1.34,1.338,1.336,1.338,1.338,1.34,1.342,1.348,1.352,1.354,1.354,1.354
"Miami-Fort Lauderdale, FL",1.06,1.06,1.062,1.068,1.074,1.078,1.082,1.082,1.082,1.084,1.088,1.094,1.102,1.106,1.11,1.112,1.116,1.124,1.134,1.142,1.146,1.148,1.15,1.152,1.156,1.162,1.164,1.168,1.168,1.17,1.174,1.178,1.184,1.19,1.196,1.204,1.212,1.22,1.226,1.232,1.236,1.236,1.236,1.236,1.24,1.244,1.248,1.248,1.25
"Atlanta, GA",0.644,0.646,0.644,0.642,0.642,0.644,0.646,0.646,0.646,0.644,0.644,0.644,0.646,0.648,0.65,0.65,0.65,0.652,0.654,0.656,0.656,0.658,0.656,0.656,0.654,0.656,0.658,0.658,0.662,0.662,0.662,0.662,0.662,0.664,0.666,0.672,0.674,0.678,0.678,0.68,0.68,0.68,0.682,0.682,0.686,0.69,0.692,0.694,0.696
