"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Neighborhood","River North","IL","Chicago-Naperville-Joliet, IL-IN-WI",4794,3,0.9987,40.4145,97,0.9375,8.73417721518987
"Neighborhood","Archer Heights","IL","Chicago-Naperville-Joliet, IL-IN-WI",486,3,1.0022,34.6939,102,0.625,8.73417721518987
"Neighborhood","Jefferson Park","IL","Chicago-Naperville-Joliet, IL-IN-WI",733,3,0.9726,52.6882,105,7.8125,8.73417721518987
"Neighborhood","Rogers Park","IL","Chicago-Naperville-Joliet, IL-IN-WI",524,3,0.9681,40.1674,116,8.75,8.73417721518987
"Neighborhood","Belmont Heights","IL","Chicago-Naperville-Joliet, IL-IN-WI",3394,3,0.952834683182468,41.25,105,8.125,8.73417721518987
"Neighborhood","West Town","IL","Chicago-Naperville-Joliet, IL-IN-WI",1374,3,0.9811,43.0108,101,3.75,8.73417721518987
"Neighborhood","Mount Greenwood","IL","Chicago-Naperville-Joliet, IL-IN-WI",2324,3,0.9716,42.7184,104,5.9375,8.73417721518987
"Neighborhood","Lincoln Park","IL","Chicago-Naperville-Joliet, IL-IN-WI",2898,3,0.9729,41.7647,104,4.6875,8.73417721518987
"Neighborhood","Near East Side","IL","Chicago-Naperville-Joliet, IL-IN-WI",5263,3,0.9628,32.6733,112,6.5625,8.73417721518987
"Neighborhood","Lake View","IL","Chicago-Naperville-Joliet, IL-IN-WI",573,3,0.9771,50.677,100,5,8.73417721518987
"Neighborhood","Humboldt Park","IL","Chicago-Naperville-Joliet, IL-IN-WI",744,3,0.9786,41.5842,89,1.5625,8.73417721518987
"Neighborhood","Garfield Ridge","IL","Chicago-Naperville-Joliet, IL-IN-WI",1158,3,0.9562,44.697,91,5.625,8.73417721518987
"Neighborhood","Bucktown","IL","Chicago-Naperville-Joliet, IL-IN-WI",2096,3,0.9685,41.7722,103,6.25,8.73417721518987
"Neighborhood","West Rogers Park","IL","Chicago-Naperville-Joliet, IL-IN-WI",398,3,0.9684,35.2227,97,4.0625,8.73417721518987
"Neighborhood","Clearing (W)","IL","Chicago-Naperville-Joliet, IL-IN-WI",2561,3,0.9656,40.4762,111,7.5,8.73417721518987
"Neighborhood","South Loop","IL","Chicago-Naperville-Joliet, IL-IN-WI",853,3,0.9843,34.4988,114,3.125,8.73417721518987
"Neighborhood","Old Town","IL","Chicago-Naperville-Joliet, IL-IN-WI",3968,3,0.9917,41.6667,98,1.875,8.73417721518987
"Neighborhood","South Shore","IL","Chicago-Naperville-Joliet, IL-IN-WI",696,3,0.9279,40.2299,133.5,10,8.73417721518987
"Neighborhood","Wrightwood Neighbors","IL","Chicago-Naperville-Joliet, IL-IN-WI",4346,3,0.9727,42.5,101,4.375,8.73417721518987
"Neighborhood","Lake View East","IL","Chicago-Naperville-Joliet, IL-IN-WI",799,3,0.9741,50.9479,109,7.1875,8.73417721518987
"Neighborhood","Gresham","IL","Chicago-Naperville-Joliet, IL-IN-WI",599,3,0.9702,40.3226,131,8.4375,8.73417721518987
"Neighborhood","Logan Square","IL","Chicago-Naperville-Joliet, IL-IN-WI",270,3,0.9774,35.0598,93,0.3125,8.73417721518987
"Neighborhood","West Lawn","IL","Chicago-Naperville-Joliet, IL-IN-WI",896,3,0.9737,34.2105,102,2.8125,8.73417721518987
"Neighborhood","Edgewater Beach","IL","Chicago-Naperville-Joliet, IL-IN-WI",928,3,0.9519,44.856,110,9.375,8.73417721518987
"Neighborhood","Gold  Coast","IL","Chicago-Naperville-Joliet, IL-IN-WI",999,3,0.9621,42.4963,122.5,9.0625,8.73417721518987
"Neighborhood","Albany Park","IL","Chicago-Naperville-Joliet, IL-IN-WI",527,3,0.9922,47.1698,112,5.3125,8.73417721518987
"Neighborhood","Buena Park","IL","Chicago-Naperville-Joliet, IL-IN-WI",3797,3,0.9684,50.3356,113,9.6875,8.73417721518987
"Neighborhood","West Loop Gate","IL","Chicago-Naperville-Joliet, IL-IN-WI",5230,3,1.0036,45.1613,99,2.5,8.73417721518987
