"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Neighborhood","Fresh Meadows","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,5.53547818422212,,,,719900,0.699398517275143,7.14392022622414,0.0215363244895124,57.2,,,157
"Neighborhood","Lawncrest","Philadelphia","PA","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,2.58924636403702,79.0012,23.0643,9.7153,93200,0.865800865800866,4.48430493273543,0.0176609442060085,81.2,,,101
"Neighborhood","Maspeth","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,9.21551344204495,,,2.7214,554200,0.235123892204739,9.85133795837463,0.0377174305304944,24.2,,,167
"Neighborhood","Montbello","Denver","CO","Denver, CO","Denver-Aurora, CO",,8.90260026443367,92.7822,7.965,1.768,177000,1.3745704467354,19.7564276048714,0.0718587570621469,99.9,,,62
"Neighborhood","Penn Wynne","Wynnewood","PA","Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,7.2190392243279,,,,367500,-0.675675675675676,9.375,0.039352380952381,22.1,,,110
"Neighborhood","Rego Park","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,9.21771705597179,93.2603,,,601200,0.400801603206413,7.47229174115123,0.0321723220226213,21.8,,,176.5
"Neighborhood","Saugus","Santa Clarita","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",,6.74526223005729,82.4243,5.4867,1.5563,445200,0.4739336492891,7.92727272727273,0.0269137466307277,56.5,,,63.5
"Neighborhood","University Gardens","Great Neck","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,6.46760687527545,,,,777400,0.556202302418833,5.99945459503681,0.0208644198610755,10.1,,,158.5
"Neighborhood","Westchester","Los Angeles","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",,5.77126487439401,91.681,2,,815800,0.542272615232931,3.72536554354736,0.00831944103947047,53.6,,,56
"Neighborhood","Wicker Park","Chicago","IL","Chicago, IL","Chicago-Naperville-Joliet, IL-IN-WI",,2.33142353459674,,,,427200,-0.396362788528795,3.11368573497466,0.0172003745318352,58.9,,,113
"Neighborhood","College Point","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,8.77258704275011,,,,541600,0.482374768089054,11.578079934075,0.0411170605612998,24.7,,,157
"Neighborhood","Fort Hamilton","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,8.73953283384751,86.4682,,,715200,0.449438202247191,12.0476265079116,0.0458948545861297,20.5,,,157
"Neighborhood","Arverne","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,5.63464081092993,,,,298600,0.403496973772697,4.88233227959255,0.028700602813128,33.3,,,157
"Neighborhood","Arlington","Baltimore","MD","Baltimore, MD","Baltimore-Towson, MD",,0.182899955927721,,,16.6612,60400,-1.62866449511401,-7.50382848392037,-0.024453642384106,110.5,,,116
"Neighborhood","Belle Harbor","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,4.20229175848391,,,,716100,0.887573964497041,0.0838574423480084,-0.00976679234743749,14.2,,,157
"Neighborhood","Broad Channel","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,3.13794623182019,,,,344900,0.847953216374269,-0.833812535940195,0.00367062916787475,43.6,,,157
"Neighborhood","Corona","New York","NY","New York, NY","New York-Northern New Jersey-Long Island, NY-NJ-PA",,7.49228735125606,82.5,,,417400,0.699638118214716,10.2774108322325,0.0328749401054145,27.2,,,185
"Neighborhood","East Cambridge","Cambridge","MA","Boston, MA","Boston-Cambridge-Quincy, MA-NH",,8.16879682679595,,,,578000,0.907821229050279,11.3465613561934,0.032712802768166,6.7,,,52
"Neighborhood","Kingsgate","Kirkland","WA","Seattle, WA","Seattle-Tacoma-Bellevue, WA",,7.83164389598942,72.318,6.4561,1.3872,432400,0.745573159366263,6.08439646712463,0.051473172987974,44.4,,,60
"Neighborhood","Lauderdale Isles","Fort Lauderdale","FL","Miami-Fort Lauderdale, FL","Miami-Fort Lauderdale-Pompano Beach, FL",,9.38959894226532,,,,360600,1.40607424071991,21.4141414141414,0.0330255130338326,68.2,,,111
"Neighborhood","Montclair","Denver","CO","Denver, CO","Denver-Aurora, CO",,7.23446452181578,,,,366000,1.46936512337122,10.1414384592236,0.0406010928961749,62.5,,,58
"Neighborhood","North Hills","Los Angeles","CA","Los Angeles, CA","Los Angeles-Long Beach-Santa Ana, CA",,6.24944909651829,84.2425,14.3146,1.5436,459000,0.525624178712221,6.64498141263941,0.0226296296296296,67.6,,,76.5
"Neighborhood","Okolona","Louisville","KY","Louisville/Jefferson County, KY","Louisville/Jefferson County, KY-IN",,3.60951961216395,69.8419,,,113900,0.264084507042254,0.975177304964539,0.0133977172958735,3.9,,,93
