"RegionName","City","State","Metro","CountyName","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",50.6582,56.1909,57.6077,56.4262,52.0329,49.8542,45.6906,42.1465,42.6182,38.6439,33.6085,36.8874,44.6437,48.4111,50.4971,43.2936,48.8263,46.695,42.7665,42.2145,40.4641,39.0294,35.9795,39.298,37.3413,39.8212,41.0464,40.3042,42.823,45.9528,43.699,40.4642,41.8655,35.119,36.8471,32.3741,32.1672,32.7883,34.6526,35.8657,39.569,40.2534,39.5248,38.0615,36.0656,33.8286,29.5363,12.6534,27.6894,33.8873,37.6195,34.0677,40.8273,40.255,36.6733
"Paradise","Las Vegas","NV","Las Vegas","Clark",19.2532,21.8557,27.8085,32.0029,35.8744,37.53,36.4537,33.9234,37.1889,31.5059,27.3275,29.9265,29.4624,29.0023,32.1724,25.3125,29.1092,28.8288,26.283,28.751,26.0747,23.819,20.0078,18.7554,15.3071,13.6364,13.1113,13.472,14.2257,14.5998,15.292,14.6488,15.654,14.4322,14.8122,13.0548,11.4499,12.0582,13.2567,18.3292,22.4595,24.8125,24.5062,26.3085,26.8608,26.442,26.335,10.983,19.3647,23.7944,27.9164,29.7115,30.8511,31.5822,29.1262
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",25.8581,32.014,39.8637,39.6799,41.5789,41.7015,39.2839,36.0998,35.5431,30.2192,25.2252,25.2673,20.3105,15.4358,15.3462,13.1449,11.4544,11.5108,12.6739,13.6651,12.7511,11.1319,10.5018,8.4469,8.7324,11.4074,12.8205,18.1818,19.0328,22.6772,24.7818,22.5256,21.8391,20.5082,17.8333,17.3077,21.6495,19.4605,21.1429,29.4915,27.9035,38.1429,42.1196,40.7303,38.8594,36.8421,37.0725,15.7353,24.024,30.2721,33.1804,34.697,36.3497,38.0117,34.3305
"Upper West Side","New York","NY","New York","New York",20.1741,27.7076,29.1628,30.0699,29.8997,32.4251,31.9688,32.7368,28.5005,19.4175,15.2621,19.4684,21.4556,22.3354,22.1354,19.0661,26.4948,22.7879,23.2078,25.067,21.3731,20.0963,21.519,21.226,23.1871,23.4269,22.7862,20.9302,20.1264,17.2308,17.1149,14.5688,13.7128,12.8032,13.0703,12.3123,12.5767,12.709,12.7103,12.9771,15.0905,14.5383,13.2394,13.4106,11.7117,11.7378,14.9434,5.4785,10.6278,12.5533,16.9014,17.5113,18.108,20.6691,19.3683
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",23.1343,24.0484,28.2051,33.3333,32.5383,30.3957,30.6338,31.3131,33.1046,32.3052,27.7213,31.0016,30.1056,29.0572,31.2402,26.491,37.4194,37.4593,31.9885,32.0724,31.7324,30,28.8889,31.1304,28.4192,28,25.6654,26.8102,21.9844,22.9039,21.8884,21.1302,19.3277,18.6969,21.4854,16.6205,21.8289,27.3481,25.0737,23.0088,27.673,26.3975,29.1525,29.304,25.7764,24.6006,21.4876,10.8974,17.9811,23.053,26.1765,24.5223,23.1034,26.0586,20.4545
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",29.0272,33.3596,38.2545,40.683,41.2795,41.5922,37.7946,34.2489,34.0444,32,26.971,31.2704,36.2212,36.8169,36.785,29.9904,38.883,40.0215,39.5616,33.7472,34.5165,32.6923,29.3706,26.9962,24.7175,24.4713,21.2168,20.9732,21.7172,23.6036,21.9557,20.1814,19.3023,16.5975,19.057,16.9091,16.8081,16.8614,20.2055,26.5677,28.6972,30.4348,30.7832,31.7021,32.3829,30.0971,26.5239,14.8837,28.2844,33.5777,37.0904,40.1575,38.9041,39.1123,33.5907
"Upper East Side","New York","NY","New York","New York",19.7189,27.9936,28.7664,29.3567,28.1538,29.1257,29.8767,28.8587,27.2451,22.05,19.2,24.9734,27.1516,26.6367,24.9464,21.3668,27.5102,24.7639,25.3247,25.8278,22.7038,25.3684,24.2334,22.404,23.152,25.8316,25.8242,23.7825,22.4946,21.972,22.9592,21.3675,18.125,16.0643,14.1618,12.6554,12.7865,13.0999,12.5926,11.1455,14.3885,16.25,12.7557,14.4699,13.0667,13.5021,18.4077,6.5531,10.8167,13.3788,18.5201,17.9721,20.4545,23.9556,23.4579
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",15.7332,15.47,21.2468,25.4991,28.8732,31.7708,31.8088,28.8184,36.4887,31.1387,26.542,28.7284,26.7368,26.6904,29.3319,26.6282,31.1957,30.1081,27.5462,28.8325,25.1211,23.1476,18.3414,15.8001,14.4917,13.0466,11.3176,10.8696,14.1374,12.543,14.8416,12.2669,14.0673,12.3482,13.0879,14.5361,14.1393,15.9878,14.5455,17.443,20.804,23.9654,25.2319,25.5,26.5683,24.7359,25.1941,9.4774,18.4475,21.2921,24.2188,27.8626,27.881,31.0473,27.9359
"East New York","New York","NY","New York","Kings",15.655,19.1597,18.3908,20.2899,18.7123,17.8218,18.5682,16.1765,16.7076,13.7019,13.1696,20.6799,20.1102,20.0477,19.656,18.2635,21.9219,17.3502,13.9241,13.5762,13.7584,14.511,16,15.6364,13.3333,13.2616,13.7931,12.7413,13.6929,14.6245,12.7389,12.5,16.0656,15.8228,17.0279,17.1254,12.3077,11.336,9.9138,8.1448,8.427,13.7056,10.0386,10.7807,10.6267,11.2219,9.7561,4,6.5789,7.8498,9.2369,7.8358,8.1395,9.7872,9.607
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",20.6977,24.263,28.6041,31.8396,31.1659,31.6514,29.0323,30.8235,27.3973,29.9145,25.3968,30.6889,31.5315,30.3609,30.2714,22.1402,31.0195,32.809,30.8316,35.5658,31.3679,32.4645,31.1213,29.1771,26.4305,25.8242,24.2165,24.1692,22.508,22.0183,19.7802,19.2771,18.9831,22.0974,21.3287,17.5676,15.0943,15.9664,19.0265,24.424,29.0816,29.902,29.9539,26.4423,24.8848,26.0465,26.9912,8.6364,17.3516,18.7793,22.2222,23.1132,25.7919,22.5,20.0837
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",17.5696,19.845,25.8273,29.9825,32.3872,35.077,33.6761,31.189,37.8471,32.8358,29.2486,31.2459,31.4678,29.9744,33.1646,27.91,32.0215,31.1531,27.2086,25.6616,23.7288,21.6374,17.9968,15.4967,13.2542,12.2317,13.15,12.5321,13.714,14.3935,14.8885,12.3888,13.0064,12.119,13.0631,12.6241,14.3066,14.6395,15.8838,18.564,20.7927,24.1212,26.4758,28.3056,31.1688,28.33,27.2973,11.7647,20.9025,24.8344,27.3043,30.5663,30.6323,32.1539,31.1097
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",35.7208,40.7136,47.0127,49.3596,48.9202,51.5827,50.1786,47.0641,45.4945,39.9743,33.6574,33.461,32.3642,28.1717,28.7699,25.778,25.1977,22.8406,21.3762,22.5116,22.7848,20.0504,17.7289,15.6089,14.5631,15.7115,16.7508,18.9084,21.7047,23.7805,23.9019,25.6861,27.9762,25.459,23.8824,23.1043,23.6559,25.9259,29.611,33.2963,40.2582,46.6447,45.8963,44.2604,42.4437,42.3232,46.4083,23.8095,38.676,44.4033,45.8294,47.2892,46.6382,49.413,45
"Astoria","New York","NY","New York","Queens",13.079,15.4995,13.0396,15.1481,14.752,15.1394,13.3333,12.5369,11.6379,9.3185,9.6916,17.0886,20.915,22.6537,20.5128,15.903,20.0573,19.1781,18.1319,17.4785,16.129,9.4395,10.1064,11.5385,9.3985,11.9342,13.9303,13.1707,14.4628,14.4487,18.8073,14.7783,12.7907,11.4458,12.2995,15.3285,16.5354,16.0714,8.3333,11.4286,18.8119,17.9487,14.0625,15.9292,11.7647,7.4627,7.4689,3.2922,7.6271,12.8099,11.2,12.8906,11.2,11.2033,9.0909
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",38.8549,41.5215,45.6245,48.8333,50.8885,51.4368,50.2936,48.2282,44.9495,38.6738,33.4784,35.3903,33.364,30.8333,29.5739,23.6781,26.3506,26.2304,25.6438,26.0844,24.1379,23.1203,21.9041,23.132,24.0953,23.9787,23.2044,28.7054,31.6759,33.5437,32.4048,29.6188,34.2421,32.2513,33.018,27.4081,27.8122,30.5704,32.1462,39.1928,45.2335,47.5536,47.7941,46.3415,48.4115,50.683,52.008,25.968,42.4585,47.6881,50.8065,51.7217,52.0314,51.4674,48.1865
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",35.9366,40.3422,45.4443,48.9762,51.0968,50.6004,48.7208,47.6376,46.4965,41.1176,34.3291,34.1158,33.7522,31.2539,31.9289,26.5847,28.0546,28.3968,24.91,25.372,23.4177,22.3325,22.3923,22.8409,22.7047,26.4151,26.4741,28.886,30.7398,34.414,33.121,30.7796,34.0942,33.6795,30.5249,29.932,31.6369,32.1762,32.5269,38.6973,42.0635,50.365,45.7998,44.9938,48.3871,49.8945,50.0492,24.532,41.4585,46.3102,48.5746,46.3606,45.9732,46.6976,42.8737
"Washington Heights","New York","NY","New York","New York",23.8971,38.5281,38.9381,36.3229,29.386,27.6786,33.1754,40.3061,41.7112,39.2344,31.3901,34.1709,27.4194,21.2121,26.9504,22.7273,24.3243,29.8507,27.6316,27.3973,21.3333,28.5714,17.1875,18.8235,13.4146,23.3766,21.7949,22.3881,23.5294,8.9552,8.6207,9.434,15.3846,17.9487,16.2791,12.766,17.9487,19.4444,13.3333,13.6364,13.9535,12.2449,12,13.9535,13.6364,12.2807,10.6061,2.3346,6.8182,6.5693,7.4699,10.2564,10.0257,13.2013,14.0741
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",39.7686,46.6769,48.2882,49.1277,45.525,44.0261,40.7171,39.3499,37.3977,37.9368,33.3333,38.1843,43.3762,46.7939,48.5294,43.4953,46.905,44.0114,39.6264,37.3085,35.2941,33.8395,34.2023,38.5684,40.0203,41.8744,42.4686,43.7972,45.0176,43.949,39.7558,34.4985,33.0684,30.5263,31.5508,30.0792,29.4856,32.6873,34.7185,34.6304,40.3727,39.5899,40.6551,36.7033,34.4519,31.8471,29.9435,10.19,20.2765,28.0347,32.9032,34.0295,40.8223,37.9257,37.0438
"Hollywood","Los Angeles","CA","Los Angeles","Los Angeles",33.3333,40.9836,45.1923,41.5094,41.3043,43.4629,43.4483,44.1406,40.9836,41.5385,33.0961,40,38.4615,32.13,36.9295,30.6773,36.8664,41.5789,34.0909,30.303,28,35.514,29.7561,28.7293,28.125,23.8994,21.4286,22.6277,24.1379,29.8507,27.6923,26.2136,24.7525,20.202,15.4639,12.3711,15.7407,23.6641,24.812,20.5298,26.9461,27.6836,29.932,33.6066,33.6283,22.5,23.1343,8.1081,18.4713,23.1788,36.4865,36.6197,32.6923,26.1628,28
"Williamsburg","New York","NY","New York","Kings",14.6825,16.047,16.2264,15.1277,15.2,16.5064,16.6058,15.304,13.9344,12.8834,9.6296,12.2172,11.4035,15.4242,12.4601,10.3774,10.6796,7.8431,7.2973,8.1395,6.5714,4.9875,5.8104,3.6212,6.25,10.5442,12.3596,11.6,12.1951,12.6087,10.6796,9.375,6.875,6.7797,6.135,5.102,7.0755,9.7436,10.1796,6.6667,10.5263,16.092,9.9707,10.2679,12.1827,8.8889,9.6618,8.8496,14.1304,16.6667,18.3594,16.2698,16.9118,17.7083,16.0448
"Bedford Stuyvesant","New York","NY","New York","Kings",14.7208,20,16.8766,15.4054,16.9192,20.339,19.0981,22.4299,20,18.1564,17.2805,19.6429,15.7143,18.8925,17.3285,11.588,12.9464,15.9574,10.396,13.1868,14.0351,10.3846,8.2305,6.6667,6.6964,8.2902,8.982,7.7419,6.7114,9.3333,10.0671,9.3333,6.7164,5.8824,4.0816,5.8824,5.8442,6.9231,8.7379,8.9431,13.0435,10.5556,10.4615,7.5718,13.0137,14.4737,11.0803,0.9836,2.5,6.4151,7.9295,10.3604,12.037,12.987,9.4891
"Camelback East","Phoenix","AZ","Phoenix","Maricopa",37.6992,41.5112,47.0843,49.5575,49.7624,48.4143,46.3928,43.5844,42.2958,36.7026,30.8844,32.7343,33.3151,32.9867,31.697,25.1253,28.648,28.1559,26.9207,27.6913,25.5944,28.0608,28.6307,28.9702,29.052,27.0633,28.8363,28.9362,31.6894,35.4037,35.4,33.4365,36.1381,35.9002,37.1373,32.6128,30.6703,31.9849,34.0909,37.3832,42.6894,45.4545,43.9655,43.5633,44.4546,45.9677,48.6375,21.3938,37.0518,45.0704,46.8203,47.4976,48.9302,48.5068,45.6204
