"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Paradise","Las Vegas","NV","Las Vegas","Clark",197900,197200,197300,197400,197300,197700,198000,199200,200800,201500,200800,199900,199100,198900,198500,197800,197300,197600,198500,198600,197700,197200,197700,198100,198300,198500,199000,199400,199500,199300,198500,197900,198800,200200,201000,202900,205400,206700,207100,207800,208800,211000,213800,216500,218900,220300,220400,220400,220600,220500,219900,219900,221800,224000,224700,225500,227100,228500,228600,228000,228100,228500,229000,230800,234000,236700,238700,239800,240700,241700,242300,242900,244600,247000,249700,251600,252300,252100,252800,254600,257500,260900,264500,266900,268700,270600,272600,275400,279800,285800,292800,299500,304700,311700,323600,338400,354400,372500,391100,406800,417100,423500,429400,436300,442100,445500,449900,457600,465300,470000,473200,476000,478800,482200,485600,490700,495500,498700,500500,501300,500200,498000,496600,496000,494900,491800,488500,485700,484000,482500,479900,475900,472800,471100,468400,464000,459700,456000,451900,446400,438900,429700,418500,406100,392500,379600,368400,358700,349200,341000,332700,321900,313900,310300,306400,298900,290400,281500,272500,264400,258200,254800,253000,251500,248500,245500,243900,243200,241500,239200,236900,235600,234200,231800,228800,226400,225400,223900,221200,218400,216300,214100,212200,211400,211400,210700,209600,209100,208100,206200,205000,205500,207700,211300,215000,218000,221600,225800,229600,233200,236200,238900,242600,247000,251800,258000,265700,272000,276100,279100,282100,284600,287700,290800,293400,296000,299400,302200,304300,306300,308400,310400,312800,314900
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",74100,74100,74300,74700,74600,74500,74700,75200,75300,75400,75700,76300,76800,77200,77800,78200,78200,78400,78800,79200,79600,80200,81100,81800,82100,82600,83500,84200,84600,84800,85000,85300,85600,86000,86800,87700,88500,89100,89500,90100,91100,91800,92000,92200,92700,93100,93800,94700,95800,96900,98200,99000,99500,99900,100600,101200,101900,103200,104500,105400,106300,107100,107500,107800,107900,108100,109000,109800,110200,111000,112400,113800,114900,115500,116000,117100,118300,119000,119400,120300,121600,122800,123100,123800,125100,126300,126900,127500,128200,128900,129400,130400,131500,131700,131700,132200,132500,132900,133400,134300,136200,138700,141100,143600,146400,149900,153300,156500,160400,165600,171500,178200,185100,192700,199800,205700,211100,215900,219400,221300,222400,223800,226000,228500,230700,231500,231900,232600,233900,235100,235300,234300,232800,231700,232100,232800,231600,229400,227700,225300,220800,216100,212300,208600,205100,201300,196600,191800,187500,183300,179100,175600,172200,167500,161800,156700,151800,146700,140700,135200,131600,129400,126300,122300,118900,116200,113900,112800,111800,110100,107500,104300,99800,96100,93900,92200,89900,88200,88000,87500,86400,85700,85400,84100,83300,82800,81700,80500,80900,82500,84900,87000,89100,91800,94800,96400,96500,96700,98100,100300,102800,105000,106200,108000,110800,113100,115200,117900,121000,121900,122800,124200,124500,123400,123900,125100,126000,126100,126900,128900,132200,135800,138400,139700
"South Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",145700,144700,144700,144500,142400,139100,137500,138400,140300,141400,141900,142500,143100,143300,143300,143200,143500,144500,145700,146400,147000,147700,148400,148900,148900,149200,150700,152700,154700,156900,158700,159100,158600,158100,158500,159600,160300,160500,160200,159900,160300,161700,162900,164200,165300,166200,167700,169700,172300,174400,175500,175400,175400,175100,174800,175800,178100,180600,182000,183300,185100,187300,189100,190500,191300,191600,191600,191700,192600,194300,196200,198500,201500,204700,207800,211100,215100,220700,226500,230900,233800,236300,238800,241700,244000,245500,248300,253300,259100,263700,267800,272500,278600,285800,293100,299900,308000,316500,324900,332600,339800,347300,356200,365200,373800,383900,394600,404700,414500,424400,432800,440300,449400,458500,466900,474000,478300,480200,484300,489500,495800,506800,521100,534100,542700,547800,550500,552500,555900,560100,561500,561200,560800,558000,552100,546600,542500,539500,533600,525100,516600,509700,501800,492100,479400,467600,457300,446700,434000,420600,408700,402600,394500,381500,371700,367000,360200,350100,339600,330000,322500,317600,315500,313500,312100,310800,308200,304300,300000,295700,292900,292200,292900,294300,294700,293500,292000,291300,291000,290200,290100,289400,287300,285600,283900,282700,283000,285200,287500,289100,289000,289100,290600,292900,295800,298600,300700,301800,303200,303800,306600,312300,318600,324100,331000,338500,345600,351600,357400,362900,367900,372100,375900,380100,385200,389400,394200,400800,407600,414200,420400,425800,429600,432500
"Sherman Oaks","Los Angeles","CA","Los Angeles","Los Angeles",409900,410500,407500,402100,395300,396100,401200,404600,410300,423200,432500,436500,439000,442300,442700,438100,431000,426400,421400,420300,427100,438400,449000,456300,460900,470800,480500,481300,480700,480700,483900,495000,508700,514800,519600,525500,527800,521500,518400,530100,547200,558500,561300,558000,547900,539800,536400,538100,543900,551200,559300,568000,579500,591700,602800,607100,607000,609400,616700,623400,622700,621200,625300,626900,618900,609900,619200,635600,645400,648200,651500,655300,668300,686700,702800,719700,735900,747300,752100,754700,758500,763200,768900,778500,794100,807000,814500,825300,837600,844700,846400,858500,885500,910300,919800,929700,948800,967500,977700,978300,985200,999300,1010200,1023300,1043500,1059600,1072700,1092700,1111900,1120900,1127800,1142000,1166000,1188400,1202400,1209400,1203800,1210600,1227100,1229300,1211200,1219800,1247700,1277700,1295400,1313100,1328400,1333000,1324900,1315400,1314500,1312500,1305500,1291300,1279600,1271900,1267100,1265100,1265100,1259600,1252200,1245600,1232900,1212800,1189600,1169900,1154100,1137900,1121000,1108100,1098200,1085000,1075700,1074600,1077600,1078400,1078800,1074500,1066100,1058500,1054100,1048200,1044800,1050700,1059800,1057400,1056400,1065900,1077100,1077100,1069100,1052100,1035100,1020100,1007700,999400,998900,997400,992300,992300,1000600,1002500,1003300,1006100,1005200,1003200,1004000,999600,993200,994100,1000600,999600,995300,1003700,1020500,1033600,1045900,1058100,1073400,1091200,1101400,1112800,1132800,1157600,1176600,1191600,1206600,1229100,1241400,1245400,1247500,1254900,1270900,1283700,1276600,1267500,1274300,1284000,1282500,1275200,1278300,1290200,1301300,1308600
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",172900,173300,173800,173200,173100,174300,175500,176100,177000,177600,177700,177500,177500,177600,177600,177400,177300,177400,177500,177000,176200,176000,176500,177100,177700,178300,179700,181700,182800,182800,182100,181700,183200,185900,187400,187900,188700,189800,190400,191200,192400,193700,195500,197500,198300,197600,197100,197000,196200,194400,192900,192300,192700,194000,196200,198300,199600,200900,201800,201700,201500,202100,202900,204700,207300,208800,209300,210500,211400,211300,211200,211200,211300,212300,213700,214900,216300,217800,217900,218100,219600,222000,224700,228100,231700,235400,238500,241800,244700,248300,253400,259900,267000,275300,284300,296400,310800,325100,340300,353300,361200,366800,372800,377600,383100,388300,392400,395000,397800,401900,408300,415700,421700,425700,431300,437100,439100,439900,442700,443800,442800,442600,441100,438900,439400,440400,440300,439800,439400,438700,438300,437800,436000,431300,425800,420300,414300,407700,401100,392900,384300,376000,368300,359300,349700,342000,336000,328200,317800,308600,300000,289100,277000,267600,260500,254400,248500,239400,225200,211800,204600,202600,200200,199700,201200,201100,197100,193400,190200,187200,185000,184800,185200,183700,181400,179800,179100,177900,176300,174200,172700,171600,171000,170600,170000,168900,167800,166100,164100,163000,162900,163400,163700,164900,167700,171000,173500,174300,175600,178000,179800,181400,184400,187400,190000,193500,197900,202500,206600,210900,215400,218200,219800,222300,225900,229800,233700,237500,241500,244700,245900,246400,247600,248900
"Southeast Los Angeles","Los Angeles","CA","Los Angeles","Los Angeles",127100,125500,124600,123500,121500,119000,117600,117600,118600,119800,120700,122100,124500,126300,126900,128000,129800,131800,133000,134100,135500,136300,136100,136100,137100,137800,138200,138200,138700,139900,141000,140600,139500,138300,137400,137000,136800,136700,136500,136900,137800,138600,138700,138900,138900,139300,140700,142800,143400,143000,143500,144400,144800,144800,145100,145900,147200,148800,150100,150500,150800,152600,154200,155100,155600,156100,156900,157500,158100,159200,160400,161500,162800,164000,164900,165700,166700,168100,170600,174000,177100,179900,183600,187700,191100,193500,195900,198900,201400,203700,206900,212300,218900,224700,229500,234300,240200,247200,254400,260000,266100,273800,281900,287300,291400,297200,304400,311800,320100,329800,341200,353500,364500,374100,383400,391200,397700,403600,408600,413400,419000,426100,435200,446400,456600,463800,466900,468000,472000,479300,484100,485300,486100,485100,482500,480100,479300,478100,474300,469100,465200,462300,457100,450200,442000,433200,422500,411000,399200,387200,375500,365000,347800,325300,308700,299600,289700,278900,269100,261500,255100,249300,244400,242100,242800,244000,243200,240400,237900,235800,232300,228200,226800,227500,228600,228600,227900,227500,227000,226400,226600,227100,227700,227800,226400,224300,222600,221900,222200,223400,225900,228500,230300,231300,232100,232200,232600,234500,238200,242600,247500,252700,257400,261200,264900,269000,274000,278800,283900,288500,293700,297500,300100,303200,306900,311500,318800,326300,331900,337500,341900,345100,347400,349100
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",237900,235100,233100,232000,231100,230100,229000,228100,229700,232800,234500,234900,235400,235600,235300,234100,233400,233300,233300,232900,233000,232700,232500,232700,233800,234800,236800,240300,243300,244700,245300,245700,245500,244800,244600,245300,245500,245800,246500,246900,246900,248000,249300,250700,251600,251700,251900,252300,253100,254700,255800,256000,256800,258200,259900,261900,263800,266000,267800,268800,269400,269500,269300,269300,269800,271000,273400,275900,277100,278000,278800,279500,279800,280700,281600,282400,283400,285000,287000,289100,291400,293500,295900,298500,301400,304300,307300,311200,316300,322500,329300,337800,347400,356900,368200,384900,405900,426700,446800,465700,480700,489700,496300,502900,510600,518200,523900,525400,525300,527400,530700,534100,537500,541000,544200,546900,548900,551000,554300,557400,558700,558400,558200,557900,558600,560600,560900,558200,553700,549600,546000,542600,538500,535200,532200,529200,523700,514700,505100,497000,487200,475000,462500,449800,437500,424400,411700,401600,394700,388300,380300,368800,359600,354800,349800,341500,332900,324100,313700,303100,294600,289600,287200,287000,287400,287500,286100,283300,279800,277600,276400,274800,272000,269200,267200,265600,263600,261200,259300,258600,257400,255700,254600,253500,251800,250100,248500,247000,245600,244500,244900,247600,252400,256700,259700,262100,264000,265400,267800,271200,274100,276700,280200,284100,287700,293000,300500,308800,317000,324100,329800,334700,339000,341800,343900,347400,351700,354900,356700,358700,361700,365500,368100,369700
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",195300,193800,192000,191200,192200,193800,193900,194200,195600,196500,196600,195600,194600,194800,196200,196700,197000,199300,203100,205500,206300,207500,209200,210700,210900,212300,214700,216900,216600,216400,216000,215300,215400,217100,220200,224200,227700,229800,231600,233200,235300,236600,236800,236800,237800,238600,238800,239700,242000,244800,247300,250500,252700,253400,254100,254300,254500,257100,259800,260700,261700,263400,264400,266300,269200,271500,272600,273600,274900,277100,280000,282600,285200,286000,284500,282900,284100,286500,288600,291700,295800,298100,298400,298500,299300,301000,304300,308300,311800,314300,317800,321600,325800,330100,334800,339100,342700,346100,349700,351900,353500,358000,365200,373100,380800,390000,401000,414400,428400,442300,457300,475400,491200,502000,511400,522400,528800,528900,526500,525200,526200,530800,536200,538300,538200,537800,537000,536200,535500,534400,533000,529300,521600,514000,509100,505100,501800,499800,498000,493600,486700,477600,468000,458900,452500,446100,435600,422200,410300,399900,389200,377600,369600,365700,362400,356600,348200,338400,330800,326600,324000,322000,319700,317300,314800,313900,312300,309400,307500,306000,302500,297900,294000,289100,284000,279900,275900,272400,272600,274500,274800,274200,274800,275600,275600,275600,277100,280200,284200,288300,291900,295300,299300,303900,309500,315700,321400,327600,334100,338100,340800,344000,347700,352600,360400,368700,375000,379800,384900,386600,386400,388300,391000,390300,388400,389700,391900,392500,390600,388300,386100,387800,389800,390500
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",223600,221900,220600,219300,218800,219200,219600,220200,221800,223900,225400,226300,226800,227200,227000,227100,227400,227900,229000,230400,231700,233200,234800,236300,238100,240100,242000,243300,244800,246100,246000,246000,246900,248600,250400,252800,255700,258700,260400,261800,264300,267400,269700,272100,275500,278300,280200,282300,284500,286200,287600,289500,290800,292300,294800,297300,298100,298800,300100,302400,305300,307300,308900,310600,311200,311600,313200,314300,313100,311900,312900,315100,316500,317600,318500,320000,322500,325500,327400,329500,332900,336300,337500,337200,338300,340900,344300,348200,352200,354300,357100,360400,364000,367500,371900,376300,381800,389100,398700,406800,413200,421700,432200,444900,460400,477500,496400,517100,535500,553000,572800,593000,610700,627100,640700,650000,655400,659100,659800,656000,650900,647900,645400,644400,646800,647500,646300,647100,649100,649600,648400,645500,641400,636700,630700,624300,618200,611100,604700,599300,591100,579900,570300,564600,559500,551800,542400,533800,526000,518400,510600,499600,489600,483900,478200,469300,463100,458200,451500,443800,437900,434700,432700,429800,427400,426500,424900,422600,420300,417800,414900,410500,404000,396400,388000,381500,377300,373300,371800,374300,376600,376400,376000,376800,377500,378500,380800,383700,385800,390100,396200,401500,405600,410600,417500,426000,435200,444600,453200,460500,466400,470500,471900,476800,485500,493300,497700,502300,508000,511000,511600,514700,520200,523100,525100,524000,519200,515200,513100,510100,507600,508300,511800,515600
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",190000,189400,189400,190300,191500,191000,192400,195200,197600,199400,199700,199400,199400,198500,198400,201600,203300,203400,205200,206400,206800,209700,213000,215100,215700,216300,217700,219300,221600,223700,224400,224100,223300,221700,222500,224900,226700,229600,232500,234600,237100,239800,240500,241800,244000,246100,247900,249500,251100,253900,255800,256700,257300,259200,260500,260500,260400,260500,261600,264400,268100,269800,269300,268500,269700,271500,272000,272500,273000,272500,271800,274300,276700,277600,277800,278100,277300,278300,280500,283700,287600,291400,294000,294800,296000,298800,302200,304700,307800,310100,312300,313700,315300,319300,324400,327100,328900,331600,334500,338100,342700,348000,354900,364900,375600,387200,398800,409700,423100,438800,455700,472400,487700,499300,510100,519900,529700,536300,537400,534900,533900,534700,536300,536900,537400,541000,544500,542700,537400,534600,535500,536800,533600,528800,528400,527700,525000,520700,517000,512800,509400,504100,494600,484800,476700,469400,458200,447700,437200,427900,419500,411500,404700,400300,394200,387300,381500,374500,368100,366700,366000,361600,355700,352800,349400,343600,339600,338400,337800,337000,335700,329700,322000,315800,310900,305600,300400,296800,301100,308200,309300,306800,305700,304400,304300,305400,306500,308400,312000,316700,320400,323000,325900,329900,333900,340100,349600,359800,366000,370300,375400,380000,382100,385500,392800,399200,402000,403800,403500,400000,399400,403200,404900,402400,397700,393700,391700,391600,390900,390400,389700,391000,394300,397700
