"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-11-30,"Paradise","NV","Las Vegas","Clark","Las Vegas",0,168500,0.00717274357441721,0.0236938031591738,0.10347085789129,0.0478251425457616,-0.0408866489348774,"2006-07","2006-Q3",293800,-0.426480599046971,"2003-10"
2014-11-30,"Upper West Side","NY","New York","New York","New York",1,1325500,0.00492797573919636,0.0122957079578433,0.0221314003701419,0.0672504206026889,,"2014-11","2014-Q4",1325500,0,"2014-11"
2014-11-30,"South Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",2,329400,0.00243457090687766,0.0201300712294828,0.14375,0.0776872327892641,0.00942652563913859,"2007-04","2007-Q2",455100,-0.276203032300593,"2005-04"
2014-11-30,"Sherman Oaks","CA","Los Angeles","Los Angeles","Los Angeles",3,504400,0.00338173861149791,0.00538170221247758,0.0738769427294017,0.0523594482315928,0.00741067437811549,"2006-08","2006-Q3",591700,-0.147540983606557,"2005-05"
2014-11-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",4,132300,0.0099236641221374,0.0295719844357977,0.183363148479428,0.0577885731174943,-0.0416261975138869,"2006-09","2006-Q3",259400,-0.489976869699306,"2002-11"
2014-11-30,"East New York","NY","New York","Kings","New York",5,323800,0.00123685837971552,0.0128245229903034,0.0512987012987013,0.00186336696484601,0.0228181676449337,"2007-11","2007-Q4",390300,-0.170381757622342,"2005-11"
2014-11-30,"Southeast Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",6,281000,0.00716845878136201,0.0225618631732169,0.164043082021541,0.105606036542857,0.0120822965313159,"2007-02","2007-Q1",409400,-0.313629702002931,"2005-03"
2014-11-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",7,181600,0.00609418282548476,0.0230985915492958,0.110703363914373,0.0575211488794027,-0.0411689910030109,"2006-03","2006-Q1",305300,-0.40517523747134,"2003-12"
2014-11-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",8,185100,0.00762112139357648,0.0209597352454495,0.0358142137660884,0.0471715070669037,0.00872424102195013,"2006-02","2006-Q1",258200,-0.283113865220759,"2005-03"
2014-11-30,"Astoria","NY","New York","Queens","New York",9,636200,0.00315357931251971,0.01792,0.0670915800067092,0.047523361847168,0.0490295077837219,"2014-11","2014-Q4",636200,0,"2014-11"
