"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1632,0.003690036900369,0.0225563909774436,0.149295774647887,51832
2014-11-30,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,1181,0.00425170068027211,0.0137339055793991,0.0163511187607573,56866
2014-11-30,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,922,0.0087527352297593,0.0244444444444444,0.0597701149425287,46980
2014-11-30,"Upper West Side","NY","New York","New York","New York",3,4057,-0.00709740577581987,0.000986923266716013,0.0378613456126887,18959
2014-11-30,"South Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",4,2078,0.0282038594755072,0.0902413431269675,0.136761487964989,22200
2014-11-30,"Sherman Oaks","CA","Los Angeles","Los Angeles","Los Angeles",5,2496,0.00767056923698022,0.0196078431372549,0.0540540540540541,33861
2014-11-30,"Upper East Side","NY","New York","New York","New York",6,4022,-0.0029747149231532,0.0320759558634847,0.138087153367289,17511
2014-11-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,1040,0.00386100386100386,0.00872938894277401,0.036889332003988,40000
2014-11-30,"East New York","NY","New York","Kings","New York",8,1995,-0.0167570231641203,-0.042246759481517,-0.0172413793103448,5206
2014-11-30,"Southeast Los Angeles","CA","Los Angeles","Los Angeles","Los Angeles",9,1914,0.0191693290734824,0.0698714365567356,0.127872716558633,13690
2014-11-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",10,1172,0.00085397096498719,0.00687285223367698,0.0129645635263613,59933
2014-11-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",11,1206,0.00249376558603491,0.0125944584382872,0.0691489361702128,49667
2014-11-30,"Astoria","NY","New York","Queens","New York",12,2439,0.00785123966942149,0.00701899256812552,0.114207400639561,3545
2014-11-30,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",13,1494,0.00134048257372654,0.0101419878296146,0.072505384063173,54237
2014-11-30,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",14,1094,0.0036697247706422,0.0120259019426457,0.0842418235877106,46126
2014-11-30,"Washington Heights","NY","New York","New York","New York",15,2555,-0.00622325943212758,0.0122820919175911,0.061046511627907,789
2014-11-30,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",16,2166,0.00557103064066852,0.0126227208976157,0.0685742476566354,28604
2014-11-30,"Hollywood","CA","Los Angeles","Los Angeles","Los Angeles",17,2621,0.011969111969112,0.0290537887711033,0.096652719665272,5439
2014-11-30,"Williamsburg","NY","New York","Kings","New York",18,2847,-0.0279959030385797,-0.0326197757390418,-0.0401213755900202,8871
2014-11-30,"Bedford Stuyvesant","NY","New York","Kings","New York",19,2649,-0.0104594695554725,-0.0199778024417314,-0.0134078212290503,3067
2014-11-30,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",20,1274,-0.00234925606891151,-0.00234925606891151,0.0417007358953393,41375
2014-11-30,"Flatbush","NY","New York","Kings","New York",21,2289,-0.0116580310880829,-0.0446577629382304,-0.0777598710717164,2475
2014-11-30,"East Side","TX","El Paso","El Paso","El Paso",22,1032,-0.0152671755725191,-0.0273327049952875,-0.0143266475644699,36066
2014-11-30,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",23,993,0.00303030303030303,0.00812182741116751,0.05863539445629,29558
2014-11-30,"Crown Heights","NY","New York","Kings","New York",24,2436,0.00123304562268804,-0.00895036615134255,-0.0502923976608187,2297
2014-11-30,"Alahambra","AZ","Phoenix","Maricopa","Phoenix",25,998,0.00808080808080808,0.0235897435897436,0.0617021276595745,31067
2014-11-30,"Jamaica","NY","New York","Queens","New York",26,1848,-0.0133475707421249,-0.0191082802547771,0.0364554122265844,8788
2014-11-30,"Roosevelt","CA","Fresno","Fresno","Fresno",27,995,0.00505050505050505,0.0132382892057026,-0.0187376725838264,23972
2014-11-30,"Williamsbridge","NY","New York","Bronx","New York",28,1737,-0.00458452722063037,-0.00172413793103448,0.0326991676575505,2565
2014-11-30,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",29,2409,0.00166320166320166,0.000415282392026578,0.0631067961165049,55443
2014-11-30,"East Harlem","NY","New York","New York","New York",30,2783,-0.0103129445234708,-0.0221363316936051,0.0341880341880342,1513
2014-11-30,"East San Jose","CA","San Jose","Santa Clara","San Jose",31,2595,0.00309238500193274,0.0208497246262785,0.121919584954604,19673
2014-11-30,"East Flatbush","NY","New York","Kings","New York",32,2004,-0.0342168674698795,-0.0948509485094851,-0.136206896551724,5261
2014-11-30,"Harlem","NY","New York","New York","New York",33,3064,0,0.005249343832021,0.0747106278498772,3730
2014-11-30,"Bushwick","NY","New York","Kings","New York",34,2404,0.00166666666666667,-0.00372979693327808,-0.0279013344116458,736
2014-11-30,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",35,1014,0.00595238095238095,0.0201207243460765,0.0606694560669456,28875
2014-11-30,"Corona","NY","New York","Queens","New York",36,2125,0.00330500472143532,0.00235849056603774,0.0716086737266768,1608
2014-11-30,"Enterprise","NV","Las Vegas","Clark","Las Vegas",37,1246,0.00241351568785197,0.00564971751412429,0.0130081300813008,43592
2014-11-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",38,934,-0.00106951871657754,0.00214592274678112,0.0482603815937149,38222
2014-11-30,"Sunset Park","NY","New York","Kings","New York",39,2072,-0.0123927550047664,-0.0317757009345794,-0.0258580159849553,1102
2014-11-30,"Alief","TX","Houston","Harris","Houston",40,1247,0.00645682001614205,0.0221311475409836,0.0322847682119205,20945
2014-11-30,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",41,1567,-0.000637755102040816,-0.00697084917617237,0.0295663600525624,24772
2014-11-30,"North Hollywood","CA","Los Angeles","Los Angeles","Los Angeles",42,2375,0.00892098555649957,0.0254749568221071,0.0490282685512368,11182
2014-11-30,"Elmhurst","NY","New York","Queens","New York",43,2126,0.00188501413760603,0.00853889943074004,0.0780933062880325,3559
2014-11-30,"Borough Park","NY","New York","Kings","New York",44,2179,-0.0246195165622202,-0.0684053014108593,-0.0848383032339353,2990
2014-11-30,"Central City","TX","Corpus Christi","Nueces","Corpus Christi",45,1194,-0.0197044334975369,-0.0197044334975369,0.15028901734104,25392
2014-11-30,"Bullard","CA","Fresno","Fresno","Fresno",46,1326,0.00454545454545455,0.0160919540229885,0.00151057401812689,28105
2014-11-30,"Mid City","CA","Los Angeles","Los Angeles","Los Angeles",47,2749,0.00843727072633896,0.036967182195398,0.128026261797292,9890
2014-11-30,"Bensonhurst","NY","New York","Kings","New York",48,2059,-0.0292314945780292,-0.0816235504014273,-0.0832591273374889,3003
2014-11-30,"Southwest Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",49,1184,0.0102389078498294,0.0233362143474503,0.0802919708029197,20770
2014-11-30,"West San Jose","CA","San Jose","Santa Clara","San Jose",50,3475,0.00172960507350822,0.0110561536223451,0.14422127099111,19631
2014-11-30,"Northeast","TX","El Paso","El Paso","El Paso",51,919,-0.015005359056806,-0.015005359056806,0.017718715393134,23519
2014-11-30,"East","TX","Dallas-Fort Worth","Tarrant","Arlington",52,1130,0.00983020554066131,0.020776874435411,0.0472659870250232,15213
2014-11-30,"Westlake","CA","Los Angeles","Los Angeles","Los Angeles",53,2201,0.0142857142857143,0.0372290292177191,0.0411542100283822,1986
2014-11-30,"Koreatown","CA","Los Angeles","Los Angeles","Los Angeles",54,2418,0.00876095118898623,0.0224101479915433,0.0619235836627141,2628
2014-11-30,"North Long Beach","CA","Los Angeles","Los Angeles","Long Beach",55,1981,0.0030379746835443,0.0285565939771547,0.0708108108108108,11133
2014-11-30,"White Haven-Coro Lake","TN","Memphis","Shelby","Memphis",56,784,-0.0050761421319797,-0.00127388535031847,-0.0138364779874214,25914
2014-11-30,"Soundview","NY","New York","Bronx","New York",57,1790,-0.00500277932184547,-0.00500277932184547,0.0835351089588378,601
2014-11-30,"Sun Valley","CA","Los Angeles","Los Angeles","Los Angeles",58,2260,0.006233303650935,0.0203160270880361,0.050185873605948,14817
2014-11-30,"Lower East Side","NY","New York","New York","New York",59,3561,-0.00168208578637511,0.0162671232876712,0.052616021282885,1386
2014-11-30,"Logan Square","IL","Chicago","Cook","Chicago",60,1731,-0.0108571428571429,-0.0253378378378378,0.0408899579073963,7092
2014-11-30,"South Bronx","NY","New York","Bronx","New York",61,1768,-0.00896860986547085,-0.0177777777777778,0.0741190765492102,727
2014-11-30,"Northwest","TX","El Paso","El Paso","El Paso",62,1369,0.00810014727540501,0.0155786350148368,-0.0207439198855508,20616
2014-11-30,"Southeast","TX","Dallas-Fort Worth","Tarrant","Arlington",63,1350,0.00446428571428571,0.0119940029985008,0.0273972602739726,23394
2014-11-30,"South Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",64,1426,0.00281293952180028,0.0142247510668563,0.0860624523990861,39939
2014-11-30,"Flushing","NY","New York","Queens","New York",65,2173,0.00230627306273063,0.00648448355720241,0.0810945273631841,6278
2014-11-30,"Preston Hollow","TX","Dallas-Fort Worth","Dallas","Dallas",66,2027,0.00996512207274539,0.0145145145145145,0.113736263736264,18063
2014-11-30,"Canarsie","NY","New York","Kings","New York",67,1944,-0.0121951219512195,-0.0530930345835363,-0.027027027027027,3625
2014-11-30,"Little Village","IL","Chicago","Cook","Chicago",68,1301,-0.0106463878326996,-0.00838414634146342,0.00930954228083786,3015
2014-11-30,"Estrella","AZ","Phoenix","Maricopa","Phoenix",69,996,0.00606060606060606,0.0101419878296146,0.0451206715634837,17217
2014-11-30,"Canoga Park","CA","Los Angeles","Los Angeles","Los Angeles",70,2431,0.00745959386655615,0.0214285714285714,0.0496545768566494,12195
2014-11-30,"Boyle Heights","CA","Los Angeles","Los Angeles","Los Angeles",71,1875,0.0113268608414239,0.0422456920511395,0.0825635103926097,3754
2014-11-30,"Sylmar","CA","Los Angeles","Los Angeles","Los Angeles",72,2250,0.00356824264049955,0.0204081632653061,0.0349586016559338,14300
2014-11-30,"Downtown","CA","San Jose","Santa Clara","San Jose",73,2718,0.000736377025036819,0.0314990512333966,0.147319544111439,12241
2014-11-30,"Ahwatukee Foothills","AZ","Phoenix","Maricopa","Phoenix",74,1515,0.0033112582781457,0.0120240480961924,0.0684062059238364,27302
2014-11-30,"West","TX","Dallas-Fort Worth","Tarrant","Arlington",75,1402,0.00790797987059669,0.0211216314639476,0.0385185185185185,22016
2014-11-30,"Pacoima","CA","Los Angeles","Los Angeles","Los Angeles",76,2117,0.00426944971537002,0.0231996133397777,0.0718987341772152,9828
2014-11-30,"Gravesend","NY","New York","Kings","New York",77,2117,-0.0130536130536131,-0.0553324408746095,-0.0910261914984972,2752
2014-11-30,"Evergreen","CA","San Jose","Santa Clara","San Jose",78,3171,0.0111607142857143,0.0275437459494491,0.139417894358606,23069
2014-11-30,"Sharpstown","TX","Houston","Harris","Houston",79,1303,0.010077519379845,0.0300395256916996,0.0795360397680199,12059
2014-11-30,"San Pedro","CA","Los Angeles","Los Angeles","Los Angeles",80,2348,0.00556745182012848,0.0271216097987752,0.0790441176470588,13124
2014-11-30,"North Valley","CA","San Jose","Santa Clara","San Jose",81,2752,0.00879765395894428,0.036144578313253,0.127868852459016,14073
2014-11-30,"Sheepshead Bay","NY","New York","Kings","New York",82,2071,-0.0109837631327603,-0.0692134831460674,-0.115335326783426,5559
2014-11-30,"Murray Hill","NY","New York","Queens","New York",83,2245,0.00447427293064877,0.0186025408348457,0.0840173829068083,5235
2014-11-30,"Willow Glen","CA","San Jose","Santa Clara","San Jose",84,3248,-0.000307787011388119,0.0134165366614665,0.135267389024816,18212
2014-11-30,"North Raleigh","NC","Raleigh","Wake","Raleigh",85,1444,0,0,0.0119131044148563,25557
2014-11-30,"South Ozone Park","NY","New York","Queens","New York",86,1845,-0.0144230769230769,-0.0149492792311799,0.0267111853088481,7542
2014-11-30,"Southwest","CA","San Diego","San Diego","Chula Vista",87,1968,0.00974858902001026,0.0228690228690229,0.0407191961924907,11545
2014-11-30,"Northridge","CA","Los Angeles","Los Angeles","Los Angeles",88,2855,0.00351493848857645,0.017100106875668,0.0826697004171407,13889
2014-11-30,"West Anaheim","CA","Los Angeles","Orange","Anaheim",89,2311,0.0012998266897747,0.00434593654932638,0.0335420393559928,8847
2014-11-30,"Forest Hills","NY","New York","Queens","New York",90,2273,0.00708905626938414,0.0115709835336004,0.0412276683463124,5412
2014-11-30,"East Village","NY","New York","New York","New York",91,4170,0.00144092219020173,0.0329452563784989,0.133152173913043,1480
2014-11-30,"Eldridge - West Oaks","TX","Houston","Harris","Houston",92,1810,0.00166021029330382,0.00166021029330382,0.0408280621046579,10237
2014-11-30,"Cordova-Appling","TN","Memphis","Shelby","Memphis",93,1243,0.000805152979066023,-0.0056,0.0016116035455278,20325
2014-11-30,"Blossom Valley","CA","San Jose","Santa Clara","San Jose",94,2817,0.0093156574704407,0.0337614678899083,0.120525059665871,17113
2014-11-30,"Jackson Heights","NY","New York","Queens","New York",95,2157,-0.00046339202965709,-0.00599078341013825,0.0806613226452906,1512
2014-11-30,"Northwest Raleigh","NC","Raleigh","Wake","Raleigh",96,1478,-0.00337154416722859,-0.00269905533063428,0.0144131777625257,20729
2014-11-30,"Far Rockaway","NY","New York","Queens","New York",97,1864,-0.00956429330499469,-0.0137566137566138,0.0590909090909091,2513
2014-11-30,"Ridgewood","NY","New York","Queens","New York",98,2105,0.000475285171102662,-0.00378608613345954,0.104407135362015,801
2014-11-30,"West Rogers Park","IL","Chicago","Cook","Chicago",99,1563,-0.0279850746268657,-0.0333951762523191,-0.0113851992409867,12177
2014-11-30,"Reseda","CA","Los Angeles","Los Angeles","Los Angeles",100,2304,0.00919842312746386,0.0185676392572944,0.0530164533820841,13179
2014-11-30,"Mira Mesa","CA","San Diego","San Diego","San Diego",101,2198,0.00319488817891374,0.0143054914628519,0.0531863919501677,19071
2014-11-30,"East Elmhurst","NY","New York","Queens","New York",102,2253,0.00490633363068689,0.0180750112968821,0.0995607613469985,3061
2014-11-30,"Midtown","TN","Memphis","Shelby","Memphis",103,737,0.00820793433652531,0.0193637621023513,-0.0147058823529412,21140
2014-11-30,"Cambrian Park","CA","San Jose","Santa Clara","San Jose",104,3182,0.00473634354278497,0.0208533846647417,0.128368794326241,19701
2014-11-30,"Hickory Ridge-South Riverdale","TN","Memphis","Shelby","Memphis",105,978,0.00513874614594039,0.0113753877973113,0.0155763239875389,12019
2014-11-30,"Panorama City","CA","Los Angeles","Los Angeles","Los Angeles",106,2113,0.00666984278227727,0.0232445520581114,0.088053553038105,6931
2014-11-30,"Princess Anne","VA","Virginia Beach","Virginia Beach City","Virginia Beach",107,1753,0.000570776255707763,-0.00113960113960114,0.00114220445459737,20633
2014-11-30,"Midwood","NY","New York","Kings","New York",108,2129,-0.0170821791320406,-0.0707114797031864,-0.112176814011676,4764
2014-11-30,"Central Southwest","TX","Houston","Harris","Houston",109,1240,0.00813008130081301,0.0214168039538715,0.0562180579216354,16162
2014-11-30,"North Hills","CA","Los Angeles","Los Angeles","Los Angeles",110,2416,0.00750625521267723,0.0202702702702703,0.040930633347695,10996
2014-11-30,"South Dorchester","MA","Boston","Suffolk","Boston",111,2296,0.00437445319335083,0.00481400437636762,0.0693991616208663,5266
2014-11-30,"Roxbury","MA","Boston","Suffolk","Boston",112,2431,0.0158796489761805,0.0205709487825357,0.0852678571428572,2842
2014-11-30,"South Belt - Ellington","TX","Houston","Harris","Houston",113,1350,0.00671140939597316,0.0158013544018059,0.0613207547169811,12895
2014-11-30,"Southeast Colorado Springs","CO","Colorado Springs","El Paso","Colorado Springs",114,1140,0.0160427807486631,0.0506912442396313,0.0734463276836158,14273
2014-11-30,"Clear Lake","TX","Houston","Harris","Houston",115,1649,0.0104166666666667,0.0147692307692308,0.0638709677419355,16707
2014-11-30,"Northside-Northline","TX","Houston","Harris","Houston",116,1205,-0.000829187396351575,0.0168776371308017,0.109576427255985,11007
2014-11-30,"Park Slope","NY","New York","Kings","New York",117,2771,-0.0173758865248227,-0.0361739130434783,0.0225092250922509,3386
2014-11-30,"Cedar Crest","TX","Dallas-Fort Worth","Dallas","Dallas",118,875,0.00922722029988466,0.016260162601626,0.0318396226415094,17827
2014-11-30,"Oxford Circle","PA","Philadelphia","Philadelphia","Philadelphia",119,1094,-0.011743450767841,0.0120259019426457,0.0810276679841897,17147
2014-11-30,"East Colorado Springs","CO","Colorado Springs","El Paso","Colorado Springs",120,1234,0.0114754098360656,0.0240663900414938,0.0266222961730449,18422
2014-11-30,"Northeast Raleigh","NC","Raleigh","Wake","Raleigh",121,1208,0.00582847626977519,0.00834724540901502,0.0185497470489039,20161
