"RegionName","StateName","RegionType","CBSA Title","MSAstate","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10"
"United States",,"Country",,,1,140,143,143.25,136.25,122.75,112.75,108.75,108.25,111.25,115.25,118.5,122.25,126.75,129.25,128,123.25,116.5,112.25,112.25,114.75,118.75,122.25,124.5,127.25,129.75,130.25,127,118,108.5,105,106.25,109.25,112.25,114,115.75,119.5,123.75,124.25,117.5,105.75,96.5,92.5,91.5,92.25,94,96.25,99,103.75,110,112.75,107.375,96.25,87.875,85.25,86.5,90.25,94.5,98
"Alaska","AK","State",,,47,129.5,143.625,140,115.75,96.625,89.25,84.875,88.625,95.5,99.75,105,115.625,131.75,138.5,123.75,104.375,98.5,94.625,88.25,90.5,94.5,98.875,112.25,121.625,122.75,126.75,123.5,106.75,89.25,79.5,77.75,82.75,91,98,107.125,122.25,133.125,129,111.5,89.25,76.5,75.125,76.75,79.875,84.25,90.75,103,114.625,119.25,114.875,96.5,77.25,70.25,70.75,73.5,75.5,78.75,86
"Alabama","AL","State",,,23,165,165.375,170.5,173.5,159,127.5,104.125,99.625,108.125,122.25,137.25,148.125,152.25,150.375,140.75,127.875,120.25,123.375,133.5,141.5,142.5,140.25,139.625,138.5,139.125,144.25,146,143,138,130,125.75,130.5,138.5,142.25,143.75,145.125,145,144.5,143.75,139.125,128.75,120.5,118,118,120.5,125.75,130.25,134.25,142.75,148.5,147.25,139,123,114.75,117.25,120.75,125.5,131
"Arkansas","AR","State",,,31,127.5,132.25,138.625,141.375,135.125,121.5,108.25,105,111.5,120.875,131.75,138.875,139.625,136.75,126.875,116.5,114.125,116,119.125,122.875,129.5,135.125,136.75,144.25,156.625,161.375,154.875,145.375,133.75,120.25,116.75,122,127.5,130,133.5,141.5,147.75,149.75,144.25,129.25,114.5,107.75,106.5,106,107.75,112.75,117.5,125,133.25,134.75,128.25,118.75,110.75,103.5,102.75,110,115.25,114
"Arizona","AZ","State",,,14,112,117.5,120,116,108.25,101,95.75,95.75,97.75,97,97.25,102.25,108,109.5,105.75,99.5,95.5,93.25,91,89.75,89.75,90.25,91.25,93.25,95.75,95.5,90.5,86,85.25,84.75,83,81.75,82.625,84,85.375,89.25,92.5,91.5,87.5,82.25,77,73.75,73.25,73.5,73.75,74.5,76.375,81.25,88.875,92.5,88.75,84.5,84.75,87.25,89,89.75,89.75,89
"California","CA","State",,,1,111,114,110.75,102,93.5,89.25,86.75,87.25,91.25,95.25,98.5,102,106,107.5,102.5,94.5,91.25,92.75,94.5,95.25,96.75,99.25,101.5,104.25,106.25,104.75,98.5,89.75,84.5,83.25,83,83.5,83.75,82.75,82.75,85.75,88,83.25,73.5,66,63,62.5,62,61.5,62.25,64.25,67.5,72.75,77.25,74.25,66,61.5,61.5,62.5,63.5,65.25,68,71
"Colorado","CO","State",,,22,133,140.25,137.5,124,109.5,103.5,102,102.75,107.25,111.125,112,113.875,119,123.5,124.25,118,108.25,102.25,100,101.25,105.25,110,114.25,116.75,117.5,115.125,106.5,93.375,84,81,81,82.25,84,86.25,88.25,92.25,97.25,94.5,83.25,72.5,66.75,64,63.25,65,68.25,72.25,77,82.25,87.25,86,75.5,64.25,59,58,58.5,60.25,63,66
"Connecticut","CT","State",,,29,166,166.75,169.25,165,147.25,126.625,118.75,121.125,126.75,130.75,134.25,138.5,142.25,148.5,153.75,149.625,133.5,117.875,115.25,122.5,133.75,145.75,155.75,163.5,172,177,175.25,166.25,145.5,128.25,127,132.5,139,146,153.25,158.875,163.25,169.125,170,153,125.75,110.5,107.75,109,115.25,123.25,127.25,131.5,142,152,153.25,143,122,105.5,104,110.75,118.75,126
"District of Columbia","DC","State",,,48,120,140.625,146.875,139.375,117,97,94.25,98,102.75,101.125,91.25,94.125,109.75,119.5,119.75,108,91.125,84.25,86.625,94.75,104,107,102,102.75,115,114.75,98.375,85,79.875,80,82.75,86.75,87.5,82.25,80,86.25,92.25,88,75,63.5,59,59.75,60.75,61.5,63.25,62.5,63,70.625,80.625,81.375,71,61.5,57.625,57.5,60,62.875,62,53
"Delaware","DE","State",,,44,131,158.25,170.625,158.625,136.75,123.125,117,121.25,131.375,137,138.125,136.875,143.875,155.875,157.75,155,147.75,132,124.875,132.25,143.75,152.25,154.625,156.25,160.125,159,150,140.75,131.875,123.375,122.375,125.625,132.25,136.25,128.75,122,129.5,141,142,134.5,120.5,105.75,99.75,102.25,107.75,111,111.75,113.375,118.875,126.875,128.375,120,108.75,100,97.875,102.5,107.75,111.5
"Florida","FL","State",,,3,179,175.75,171.5,169,160.5,144.75,131.25,124.25,123.75,125,124.5,124,125.5,128.5,131.5,135,137.25,137.25,135.5,131.75,129.25,129.25,129.5,129.75,130.25,130.5,129.75,127,124.25,124.5,125.25,125,123.5,119.75,118,119.5,121.5,122.25,120.5,117.25,114,111.75,110.25,108,104.5,102.25,102.75,105.25,109.25,111.75,110.75,108,104.5,102,102.5,103.75,104.25,105
"Georgia","GA","State",,,10,173,171,169.25,162.75,148.25,132.75,123.25,119.75,122.25,127.25,132.5,138.5,143.5,143.5,137.875,131,124.875,123.75,128,131.25,135.5,138.75,137,134.5,131.75,131.5,131.5,124,115.25,113.75,115.5,117,119.5,122,124.5,127.75,130.5,130.25,123.75,112.75,104.25,101.625,102.25,102.375,103,106,109.25,111.75,115.75,118.75,114,103.25,95.5,93.75,95.25,99,103.25,106
"Hawaii","HI","State",,,41,137,160.75,159.25,140.5,116.25,104.25,100.75,95.75,87.75,81.75,83.25,90.5,103.25,113.5,111,105.75,104.25,102.25,102.5,102.25,103.125,109.625,114.375,118.375,125,123.75,116.25,110.5,107.125,106.25,104.125,99.5,98.5,102.5,103.875,104.5,108.125,110.75,107.5,97.875,91.25,88.625,84.75,81,80.5,84,86,85.25,89.25,91.375,85.75,83.125,85.5,86.75,85.25,82.5,82.25,90
