"RegionName","CountyName","StateFullName","City","MSA","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Alabama",,"Alabama",,,24652,25838,27019,29086,30088,31316,34346,33310,32644,32060,31637,30645,28546,29768,33788,34528,33939,34213,33929,33946,32944,32452,31254,29380,27566,28059,25719,25358,25967,26102,26525,26209,25692,25196,24822,23750,22664,23770,24890,25386,26057,27115,26677,26579,24746,23617,23686,23258,22106,22626,23736,25389,26648,27626,27774,29622,29526,29178,28291
"Alaska",,"Alaska",,,2219,2252,2516,2586,2744,3005,3122,3204,3182,2968,2686,2419,2218,2267,2493,2613,2814,2977,3296,3241,2937,2760,2491,2148,1956,1925,1972,2014,2164,2452,2634,2668,2613,2388,2173,1880,1728,1857,2046,2203,2442,2799,3002,3106,2893,2602,2243,1926,1750,1836,1928,2207,2494,3279,3456,3419,3208,2982,2764
"Arizona",,"Arizona",,,44808,46538,48435,49197,47324,49481,49736,50468,52509,55584,56896,57150,55071,56817,59407,55376,53215,52973,51816,49025,47762,45355,45893,43920,43302,40151,32711,30592,28282,28474,28264,28419,28271,29073,29834,28867,27856,29016,29355,28662,27727,26859,26456,27530,28946,31725,34149,34001,34035,36634,37886,38738,38600,38094,38000,37062,36855,37477,38108
"Arkansas",,"Arkansas",,,13406,13715,14197,14286,14344,15112,16102,15950,15710,15578,15652,14959,14715,16231,17006,17592,17388,17291,17694,17633,17366,17016,16424,15508,14547,14632,14958,15135,15459,16045,16041,16192,15986,16188,16146,15421,14511,15037,15606,16213,17098,17787,17690,16737,16758,17265,17336,16761,15874,16352,16548,17548,18378,18760,18984,19195,19098,19272,18956
"California",,"California",,,101415,100900,117007,120044,118700,124291,128200,131836,134764,139456,138715,134405,130332,135137,149328,145834,144750,147939,149546,146192,141986,136460,132184,121942,112168,107960,100410,91258,88851,86528,83261,79941,76302,70463,65810,58574,53555,54887,55818,55938,58208,58484,58902,64116,64818,66399,63650,59888,55550,59388,63818,69506,72896,80226,84323,83922,84448,84822,82320
"Colorado",,"Colorado",,,36038,37852,40021,42966,42443,43920,45519,44812,45470,45113,43000,40756,37374,39031,42395,41317,41288,43366,44176,43035,39290,36659,34603,31008,28664,28298,28021,26596,27781,28892,29310,29146,28322,27134,25119,22208,20641,21852,22946,23744,25283,26962,28442,28644,27802,26606,25519,22486,20818,21208,22424,24881,27858,29924,30914,30466,29986,27146,24092
"Connecticut",,"Connecticut",,,16522,17470,18913,20595,20932,21804,21856,21203,21132,20667,20786,19486,19354,19216,20824,22690,24366,25717,26542,26494,25682,25216,23749,21314,19687,20101,22556,23406,24732,25418,24937,23952,23243,21461,19790,17686,16088,16864,17956,19602,21407,22423,22355,22362,22585,22263,21317,19482,17978,18500,19629,22009,25938,27636,27952,27868,27525,26697,25584
"Delaware",,"Delaware",,,5537,5664,6096,6472,6310,6487,6474,7416,7726,7630,7309,7236,6760,7020,7863,7860,7820,7989,7965,7840,7503,7319,7022,6682,6266,6174,6015,5969,6161,6238,6090,5858,5703,5659,5352,4937,4679,5172,5422,5713,5599,5569,5475,5494,5509,5476,5388,5070,4815,4888,5050,5602,6110,6286,6313,6223,6244,6302,5997
"District of Columbia",,"District of Columbia",,,1624,1647,1800,1978,1922,1999,1996,1654,1850,2206,2192,2074,1833,1908,2068,2090,2160,2316,2240,2094,2039,2062,2035,1756,1480,1465,1507,1480,1476,1484,1368,1314,1136,1117,1058,901,767,793,767,904,975,880,844,853,932,1026,1018,920,771,768,777,927,1020,1168,1133,1082,1116,1233,1158
"Florida",,"Florida",,,211649,206668,219378,217791,210295,214021,217360,215386,221118,228354,227703,234367,225818,230279,231479,221924,203612,203021,207273,198041,193870,190621,189424,179398,171526,170162,161427,144870,140239,138845,133328,131925,128220,126157,126604,125446,123678,130588,132226,126506,123443,121208,111206,112117,114874,119856,126220,128014,128704,133652,137658,140205,141802,145613,143667,142086,140670,141447,142476
"Georgia",,"Georgia",,,73910,76756,79531,84006,82362,84693,86343,82937,83169,82003,82575,81911,77878,81028,88986,90973,89996,90537,88968,86605,83912,69726,80319,74952,69298,68605,67005,63057,62312,62102,59066,54153,49992,46812,45803,43557,41093,42090,43508,44296,45376,45524,44056,47501,47434,48063,47650,45786,42962,44514,45972,49593,53738,55668,56345,56558,55848,55151,53813
"Hawaii",,"Hawaii",,,4442,4490,4636,4462,4303,4144,4045,3912,4033,4224,4236,4304,4102,4333,4777,4771,4640,4713,4996,5156,4920,4812,4725,4476,4260,4289,4372,4226,4064,3940,4051,4174,4065,3940,3724,3545,3427,3932,4014,3934,3846,4107,4099,4077,4014,4003,4278,4336,4413,4883,5292,5574,5882,5922,6018,5986,5910,5847,5888
"Idaho",,"Idaho",,,10648,11222,11647,12119,11776,11927,12200,11990,12213,11717,11072,10699,10554,10554,11252,11224,11116,11835,12432,12784,12546,11853,11107,10306,9366,9290,8928,8968,9124,8720,9931,9728,9610,9258,8725,8012,7351,7642,7952,8418,9097,9814,10368,11002,10942,10758,10222,9172,8923,9176,9761,10445,12520,13514,13681,13947,13420,13052,11746
"Illinois",,"Illinois",,,64746,67764,73840,78219,77186,80126,83544,83026,81062,78112,76064,74367,71760,73371,81645,81998,83886,85850,86740,85075,83050,81319,78403,72040,68098,67685,68132,68030,70349,72230,71524,70359,62622,58685,55266,50302,47595,49528,51306,53098,55036,53589,53760,55646,55574,54585,52050,48196,45150,45866,48436,50624,57015,60864,63376,64634,64754,63086,59799
"Indiana",,"Indiana",,,37594,39550,41630,42982,37690,38493,39696,39630,40573,38270,35060,34237,33692,35324,38530,40702,40837,41825,42559,42079,40804,38830,37698,34138,31660,31846,33316,33499,34825,36774,36724,37042,35216,33017,31346,29404,27517,27836,28570,29474,30624,31291,32197,32843,32620,31411,30133,28778,26714,26264,26804,28997,31878,33138,33850,34898,34615,33494,32006
"Iowa",,"Iowa",,,10511,10852,12029,12542,12703,12808,13594,13506,14730,14259,14060,14524,14313,14870,16564,17084,17854,18206,18316,18596,18130,17698,17287,15927,14992,15427,15790,16254,16356,17266,17046,16901,16678,16330,15302,13740,12986,13692,13940,14494,15216,15534,15609,15903,15752,15405,14928,13755,12713,12745,12927,14051,14890,15516,15738,15880,15994,15642,14955
"Kansas",,"Kansas",,,11965,12092,13611,14158,13894,15882,16770,16754,17235,16810,15900,15350,14508,14499,16274,17098,16848,17074,17488,17132,16686,16204,15507,14098,13346,13429,14034,13790,12921,12916,12906,12726,12288,11763,11363,10423,9979,10442,10762,10972,11341,11532,11644,11604,11482,11306,10916,10274,9522,9519,9860,10631,11794,12101,11818,11898,11829,11834,11287
"Kentucky",,"Kentucky",,,17514,17723,18094,19172,18654,19061,20108,20774,21056,20662,20480,19766,18874,19426,20429,21672,22714,24198,24175,24064,23662,23852,22914,20840,19626,19883,20180,20280,20764,21778,21848,21767,21568,21192,20476,19950,18872,19218,20383,20814,21613,21979,21665,22056,21814,21664,21012,19856,18910,18774,19116,20582,22116,23114,23677,23980,23962,23565,22543
"Louisiana",,"Louisiana",,,12727,13346,13334,13486,13222,13912,15418,15297,15133,14763,14304,,14160,14469,14857,15042,14848,15422,15845,15992,15298,15111,14930,14257,13363,13230,13184,12250,12293,12680,12504,12612,12419,11932,11815,10965,10583,11396,11682,11644,11866,12141,12013,12312,12196,12181,12360,11916,11311,11476,11664,12258,13285,13139,13376,13482,13164,12988,12928
"Maine",,"Maine",,,8164,8792,8862,9168,9206,10882,11148,11287,11188,11001,10030,9282,8505,8622,9149,10182,10684,11893,12624,12586,12317,11905,10999,10221,9476,9056,9028,9184,9723,9660,10778,10936,7862,7770,7242,6470,8324,8398,8619,8969,9931,10474,10986,11486,11686,11518,10925,10322,9628,9676,10022,10907,12742,13878,14512,14886,14682,14127,13013
"Maryland",,"Maryland",,,28752,28632,30427,32590,32142,33162,34358,33232,34864,34905,33798,33062,30774,31938,35401,33796,35130,35552,35546,34262,32994,32319,30828,27830,25833,25212,26719,26286,26205,26521,25800,24987,22496,21463,20367,18496,17191,17803,18269,19052,20467,20326,20414,21000,21430,21881,21470,20081,18734,18750,19880,23073,25165,27952,28624,28158,28198,28312,28452
"Massachusetts",,"Massachusetts",,,25511,28744,30378,32879,32627,34620,34274,34064,34428,35870,34181,29280,26911,27212,30815,36028,38792,38054,38769,37889,37174,36406,33837,29352,26688,26709,29094,30184,31967,32202,30864,30175,29033,28264,25947,21884,19323,20248,21832,23468,24670,22278,21482,22526,22724,22880,20886,18134,16144,17042,18508,21584,24768,27547,27920,27618,27796,26821,24184
"Michigan",,"Michigan",,,65243,66756,68872,70510,69716,71737,77252,76784,76506,74518,73159,69495,67696,67892,69278,70068,71384,76296,78030,76880,74710,72552,68376,64593,60751,59576,59150,57404,59042,62342,63744,63722,61505,58668,54933,51606,47942,47693,48150,49652,52777,55156,55077,58622,58372,57151,55117,52533,48047,47388,46927,49500,55022,63027,67162,70054,68784,65435,62314
"Minnesota",,"Minnesota",,,21255,21798,24875,26648,26714,28596,28978,29166,29896,29272,29088,27220,26148,26774,29063,29556,29404,33799,34278,32659,31168,29541,27621,23850,22186,22128,22760,22285,22398,23093,23317,22290,21697,20275,16184,15362,14105,14804,15741,16616,18186,19768,20611,21481,21408,20923,19359,17313,15501,15680,16634,18878,21274,24734,25992,27259,27083,28397,24849
"Mississippi",,"Mississippi",,,10694,11230,11533,11839,11740,11845,12760,12478,12441,13040,12566,12218,11482,12426,12858,13232,13107,13154,12791,12876,11962,12093,11591,10812,10065,10869,11188,10764,10829,11252,11082,10642,10311,10023,10461,10046,9587,9916,10595,10975,11271,11620,11707,11808,11886,11831,11638,11373,10727,10599,10818,11457,12002,12272,12153,12260,12166,12213,12302
"Missouri",,"Missouri",,,37603,39822,46094,49812,47231,47241,47836,48325,47416,46939,44848,42340,39354,40262,43285,45626,46020,47962,48504,48493,47135,45822,43555,39424,35422,36367,38026,38204,37998,38572,38401,37931,36526,35690,34046,31050,28934,29862,30774,31576,32985,33870,33845,34698,34472,34489,33537,31438,28821,29479,30944,33907,35918,39536,40155,40916,40178,39553,37766
"Montana",,"Montana",,,4136,4284,4602,4946,4990,5291,5456,5480,5173,4929,4858,,5086,5296,5735,5946,6352,6962,7379,7718,7578,7251,6798,6144,5504,5480,5397,5372,5693,6082,6323,6431,5860,5495,5050,3671,3545,3921,4132,4489,4865,5136,5320,5463,5384,5212,4980,4738,4461,4558,4616,5582,6346,7345,7859,8052,7873,7453,6852
"Nebraska",,"Nebraska",,,5172,6370,6133,6408,6378,6706,6992,7018,7259,7492,8080,7211,5330,5733,6886,6987,7181,7587,7832,7806,7546,7378,7091,6285,5894,5745,5857,5776,5827,6114,6142,6148,6062,5964,5706,5160,4784,4818,5097,5052,5201,5338,6427,6548,6476,6396,6358,5614,5264,5187,5294,5579,5879,6088,6297,6409,6384,6359,6087
"Nevada",,"Nevada",,,18200,18386,18972,18572,18456,17994,19682,21176,22213,25169,24480,24168,23692,24028,24863,26906,26394,25971,26674,26760,26286,25720,24839,22778,21050,20064,18540,16864,16550,16607,16124,15873,14709,9546,9144,9146,8422,8471,8688,8664,8910,9248,9324,10108,10702,11069,11434,10988,10444,10571,11180,11747,12585,12594,13642,13968,14292,14303,13990
"New Hampshire",,"New Hampshire",,,8068,8092,9066,9624,9384,9600,9800,9698,9503,8674,8019,8435,7730,8110,8790,9547,9928,10933,11454,11543,11296,10773,9773,8434,7606,7530,7806,8222,8907,9434,9818,9694,9479,9085,8430,7456,6702,7004,7368,7950,9164,9767,9917,10022,9808,9436,8658,7766,6947,6280,7008,8112,9871,10829,11572,11890,11904,11214,10110
"New Jersey",,"New Jersey",,,48334,48888,54167,58344,58440,59935,61022,61172,62772,62336,60714,57321,52847,55040,58762,63930,65206,67674,69470,68341,64586,63392,61937,55839,51893,51942,54825,54727,58318,59308,57690,56693,54071,52003,48850,44849,41556,43290,45566,47264,49452,51218,50332,50436,49769,49170,47923,44496,42000,43576,46138,51380,56028,59004,59630,60254,59188,59076,56679
"New Mexico",,"New Mexico",,,10088,10179,10450,10620,10546,10921,11613,11474,11584,11343,10982,10661,10254,10597,11480,11472,11096,11267,11617,11691,11304,11080,10494,9801,9255,9082,9062,8566,8804,9153,9644,9749,9854,9757,9512,8914,8369,8694,9218,9484,9840,10196,10556,11139,11220,11172,10958,10528,10255,10601,11006,11978,13274,13884,14229,14504,14186,13790,12892
"New York",,"New York",,,53208,55831,61279,64924,63532,66923,67224,67060,67708,68011,68026,64251,60326,63014,65288,72895,77406,82026,84297,84679,81964,80229,76913,72061,65542,65653,68705,68888,72944,74860,73892,71653,69304,67180,62652,56982,53370,55145,58179,61062,66677,68159,67549,67990,67113,66238,64814,60956,56803,58120,61769,69096,76346,81388,82454,83070,82536,79024,75841
