"RegionName","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",338900,310000,300000,299000,294900,294900,296000,299900,299000,295900,294500,299990,299900,291840,306000,323900,329000,326000,329999,339000,344500,325000,325000,319000,311100,304900,297900,294500,298000,292000,289900,298500,299000,295000,295000,290000,289900,285000,279900,279900,279900,285000,292000,299000,305000,315000,319000,319900,315000,324900,319900,325000,349000,360000,379000,399000,399900,400000,399900,400000,399999,395000,390500,382000,390000,399500,416900,419900,425000,425000,423000,417000,410000,399999
"Texas",169900,169000,168540,168500,168900,174900,174500,179900,175900,178900,175000,175000,172990,170000,170000,169900,169000,169000,169900,170000,170000,169900,165365,169900,170000,170990,169900,168500,171500,171537,168000,171000,175000,174900,171990,168000,168900,167400,166999,166990,169000,169900,171327,174900,175000,174900,174990,174500,169000,171995,174000,172500,178000,182500,186000,189900,189900,189900,189900,189900,192990,189900,189990,189900,196631,199900,209000,214900,210555,211490,218000,215000,215000,216900
"New York",375000,379995,375000,369900,369000,359900,369000,360000,359000,349000,349900,350000,359000,349900,349000,344900,339000,339000,335000,349000,347000,339021,333000,339000,338900,335000,329000,329000,328000,337500,334913,329990,335000,329000,324900,319000,325000,324999,324990,323200,327000,329000,329999,329900,325000,319990,319000,320000,319000,320000,325000,325000,334750,339000,329900,329000,319000,305000,299500,299222,299999,319900,319990,325000,325000,325000,325000,325000,329900,324500,319900,319900,324500,325000
"Florida",223250,215000,209900,209900,205000,200000,200000,203000,199990,199900,199500,199000,195900,189900,192500,189000,187000,182566,180000,180900,179900,178900,174900,170000,170900,174900,169900,169900,175000,174900,166900,174900,175000,174900,175000,176000,179000,175000,175721,177900,179900,179900,177400,175000,179000,179900,180000,179900,170770,179000,179900,185000,189000,194000,199000,199700,199900,199500,199000,199000,199500,199900,199900,199900,202000,207000,209500,207799,201265,210000,211815,214900,214900,214999
"Illinois",229914,228000,224500,220000,219000,219895,219000,219995,215000,214700,210000,210000,205990,199000,199500,198900,199000,199000,199500,199900,199900,195000,190000,186500,188000,184900,176900,174000,174999,175000,175000,177900,179000,175000,174500,169900,168000,164900,159900,159900,159900,160000,162500,162500,164000,159900,159000,155000,149000,150000,148900,149500,150000,158000,162900,169000,169900,167000,165000,165000,164700,159900,159000,154900,163500,170000,179500,185000,189900,187500,184900,179900,179900,179000
"Pennsylvania",214900,207990,207000,204900,200000,205000,199900,209000,199900,199000,190000,189900,189550,185500,185000,184000,185000,188240,180000,179900,186500,185000,180000,184900,182000,182500,179900,179900,179900,179900,179900,179900,184500,179900,179000,174900,174000,170000,169900,169900,169900,174900,174900,174900,174500,169900,169900,165900,159900,162500,159900,159900,164900,169000,169900,177500,178990,174900,169900,169900,169500,167700,169900,165000,167900,169900,177500,179900,179900,175000,174900,174900,175000,174900
"Ohio",129900,124500,121750,121900,120000,121000,124900,128500,125500,129900,127500,125000,124900,119900,122900,120000,124900,124900,129900,129900,125900,125000,124900,128500,127500,126500,120000,119900,120000,122500,120000,124900,129000,124900,124900,124900,123900,120000,119900,119900,119900,119900,123500,124900,125000,124900,124900,120000,118900,119900,116900,115000,116900,119900,123200,125000,127000,125000,124900,124900,124900,119900,119900,119900,121900,125850,129900,132500,134900,134500,130000,129900,129900,129000
"Michigan",129900,124900,124900,124000,119900,119900,119900,124900,119900,124000,119900,119900,119900,118500,118900,115000,115000,114999,115000,119000,119000,119000,115000,115000,115000,113400,105900,100000,103374,100000,100000,109900,114900,112900,110000,109900,109900,104900,99900,99900,99900,103900,105000,109900,110740,112900,110000,109900,99000,105000,100000,104900,107000,110900,119000,124500,127000,129000,127900,125000,124900,119900,119000,115000,119750,123900,129900,135000,138900,138900,138900,135900,134900,129900
"Georgia",189000,180405,180000,180000,179500,178000,179000,179900,176250,175000,174900,174900,172900,169900,169900,169900,169900,169900,169900,169900,169900,169000,166500,164900,162000,159900,155000,150000,150000,150000,149900,149900,150000,149900,144900,148000,145000,144900,140000,140000,143900,145000,145900,149500,149900,149900,150000,150000,148000,154500,154900,155000,159900,163900,169000,169900,174000,173900,170000,172000,170000,169300,165000,160000,167500,174000,179000,179900,185000,185000,180000,179900,179000,177000
"North Carolina",220900,217900,218900,215900,215000,215750,214900,218900,213000,209900,200400,200000,199900,199000,199000,197500,195000,195000,194999,197000,195000,194900,189900,189900,190000,190000,187500,184900,185000,185000,184900,187000,189900,189000,185000,184900,184900,182315,179900,179900,179900,184800,184990,184500,184000,181900,183900,179900,165000,175900,175300,175000,179000,184900,189856,190000,195000,192500,190000,190500,190500,189000,189900,185000,189000,192700,195000,199000,198700,199000,198990,197500,196070,197900
