"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",109.6253,110.3367,112.554,111.7946,111.3104,111.8486,113.0013,113.1649,113.268,111.8874,111.4336,111.8339,113.9347,115.9193,116.616,117.4565,118.5255,118.4,119.0034,119.3795,119.6567,120.5427,121.2544,122.5944,122.897,125.2454,127.0443,129.0927,128.5187,128.5539,128.2147,128.8664,128.5098,128.4456,128.2114,130.5529,132.3182,133.8435,135.1499,136.2355,135.6914,136.0682,136.8671,138.9012,138.8656,139.207,140.7028,143.1805,145.3811,146.1693,148.2145,149.4617,153.7419,155.5649,157.0905,158.2821,158.4731,158.7709,160.6266,162.8276,163.0312,163.3719,165.1712,167.0019,168.3076,169.3498,168.8757,170.3146,173.1209,175.682,179.6498,185.0581,189.8457,193.3474,196.6045,200.539,205.4267,207.9767,208.2611,210.6624,210.7624,211.9403,216.0915,221.0524,225.5691,231.6156,235.7503,240.0363,244.7754,247.9169,249.6451,253.0962,255.9053,257.9419,263.1693,271.9218,282.0096,292.2141,301.3056,306.9162,309.2737,311.561,311.0416,311.1558,311.3262,311.021,316.2097,322.4819,329.2582,336.2388,343.2057,348.2461,351.8084,355.1106,358.4839,362.2102,362.2121,362.5736,365.6839,368.7748,369.8883,371.7889,371.3728,369.0869,367.82,365.5566,361.5527,360.4071,358.9163,358.3143,360.5988,365.8573,369.8984,370.3591,369.2907,372.0115,370.6961,365.3847,361.8554,359.1815,345.9572,335.4824,334.1801,329.9432,327.6724,324.9304,318.2791,317.9579,311.4532,302.966,294.1482,284.7887,281.1313,272.5846,259.9344,258.0995,260.2805,263.9621,268.2721,269.267,269.6538,270.4717,268.3397,265.2114,264.0398,257.2761,252.617,252.9548,249.4242,252.9851,249.7917,249.3919,246.7585,245.4582,243.6924,238.9843,236.8676,229.4354,224.6761,226.1988,226.2166,227.1469,230.2685,229.4911,227.3615,223.165,218.0756,217.2857,212.93,208.6925,207.3158,214.2312,220.8569,223.509,225.8662,230.1732,230.4726,231.5029,233.3415,237.0599,238.4282,235.5597,233.5759,244.7561,260.9596,277.6561,288.8892,297.2974,301.0232,301.4003,301.51,303.64,299.2144,289.7287,291.5083,297.8122,306.4928,313.0731,317.4169,320.2398,321.2004,320.4159,321.5397,317.8027
"Florida",61.0296,62.0483,62.9046,62.4642,62.2143,62.6616,63.6819,64.7408,64.5,62.9477,62.2433,61.0553,61.4284,62.2747,63.315,64.0263,63.6451,62.9741,63.5868,64.2817,64.357,64.472,64.6356,64.536,64.8702,65.3402,66.1723,65.7683,65.1148,65.2964,66.2505,66.2018,66.2412,66.5336,66.5911,66.5982,67.0512,67.4024,68.2402,68.2356,67.9117,68.158,68.6652,68.2343,68.3133,70.5171,70.9813,70.6498,71.1602,72.1492,72.6052,72.4353,71.9818,72.4137,72.647,72.674,73.1581,74.0784,74.1559,74.3428,75.4699,77.5159,78.957,79.7178,80.6208,81.1222,81.4556,82.1428,82.9314,83.3241,84.4394,86.2329,87.7735,89.1975,89.5996,91.0028,91.6288,92.8378,94.8048,96.1753,96.9729,97.6922,98.0639,98.435,99.7485,101.7553,103.7479,104.7946,105.9013,107.3422,109.0709,110.1821,111.6642,113.526,114.2274,116.5635,119.6106,124.779,128.9477,129.8309,131.3624,133.0904,134.4838,137.1122,140.9029,145.192,149.5665,153.1082,158.3855,162.8362,166.4817,169.5541,172.6704,174.8147,176.6525,179.8521,182.5892,186.6628,188.531,189.2964,189.7215,189.2437,187.3479,185.7926,185.5965,186.0633,188.2043,190.1306,191.9217,190.2284,188.8537,188.4628,187.1504,189.7732,188.0528,187.8354,188.0639,184.6858,181.5904,175.6717,170.8792,170.9797,168.3046,160.2371,151.8296,142.9046,142.4155,144.1334,145.0174,147.2776,138.0335,123.7922,118.1611,114.9613,110.4985,109.4305,104.8903,103.1942,102.0604,99.7894,97.6771,103.5878,97.0071,99.211,99.2474,97.4248,93.7536,93.4547,93.2687,94.6421,93.186,93.1866,86.9744,84.5257,84.0415,83.2561,84.8119,82.8853,83.0365,80.8042,82.5832,86.0806,87.1358,86.6076,84.0063,81.1245,81.2494,81.9398,84.3948,82.2767,82.0672,83.5594,88.3472,90.2869,91.5097,91.89,90.4469,91.5604,90.5636,91.8902,97.4964,95.0483,92.3708,93.7738,97.709,100.2888,103.3458,106.0293,105.8219,104.8735,104.5858,104.5957,107.363,108.3468,107.7907,108.786,111.0732,114.3123,116.016,115.7385,115.1044,114.8461,115.4113,117.7949
"Illinois",89.6956,89.2976,90.761,91.622,90.9041,89.7342,89.4526,88.6723,87.7055,88.32,88.5025,90.0589,89.3124,90.6586,91.6232,93.4279,93.4518,92.8944,92.3183,93.1316,93.4225,93.2914,93.2817,94.4483,93.8,93.7907,95.1003,95.4843,94.6398,95.0094,95.1256,94.2589,95.3193,97.3973,97.1027,96.2666,95.6971,96.3013,97.7241,98.3022,99.1801,99.6392,101.6937,102.0416,101.7847,99.9161,101.5362,101.3247,102.6033,103.4542,104.3388,105.3756,106.8852,106.8625,107.424,107.2056,107.8614,109.4648,109.2358,110.4648,111.8888,113.0876,115.0536,116.8474,118.4419,120.2346,120.3411,119.1089,117.3473,117.2686,118.1908,120.3054,121.5297,122.3121,124.2909,128.3493,130.478,130.9947,130.3745,130.4253,131.0129,131.8412,131.9319,133.6125,134.3988,135.3412,138.4778,138.9185,139.0691,139.2881,139.2521,139.3199,138.9814,139.6812,142.6877,141.7019,142.467,143.8458,146.7993,148.2358,150.1227,149.455,150.9673,150.3995,151.1676,151.1474,150.5253,151.9669,155.8442,158.6428,159.7838,162.0506,162.0852,162.6189,161.8319,162.0738,161.9718,163.4742,163.5346,164.5886,164.6289,165.2919,163.5351,162.7064,165.9823,167.023,169.5001,166.8414,167.3532,167.5169,165.6263,165.8515,167.2578,169.4302,171.3487,171.1958,170.9608,169.3589,165.6633,161.6471,160.48,158.5581,158.6291,163.3992,164.4791,165.7033,161.8454,162.1721,164.3475,166.5215,167.2651,162.8334,156.877,147.6184,143.105,147.8845,149.2988,148.8529,149.2662,146.7841,146.7199,145.8952,143.9164,140.9559,138.0482,141.3749,138.8024,136.5839,137.1254,134.9488,133.9285,136.9222,136.2114,132.2824,132.5538,129.7062,129.7479,128.7963,128.66,127.4032,127.1262,125.9309,130.493,129.4025,129.2465,130.1878,121.7334,114.5142,112.63,109.9862,105.9955,107.291,108.1096,107.5621,111.4037,110.7517,111.8325,112.6729,108.1719,106.3876,103.7138,103.6839,101.0286,99.8622,102.6055,107.9361,116.0694,123.6015,123.1221,121.1744,120.9284,118.3812,116.5144,116.6166,115.4291,114.0931,119.9657,124.107,129.3295,132.0964,132.343,133.3013,130.5876,126.4535
"Pennsylvania",46.6361,47.4336,48.5895,47.5966,48.3548,49.2549,49.7583,53.5866,53.1054,50.4946,47.3048,47.4924,49.7287,50.9715,52.5438,52.5318,53.4514,54.4522,53.6597,53.9739,51.5569,48.6809,48.5749,49.2612,50.7551,52.9192,54.685,55.8725,56.0326,57.0926,57.2865,56.9495,57.5865,56.8041,55.1303,54.7873,55.8618,57.6035,57.828,58.1432,59.1324,60.2355,58.843,57.7424,57.6244,57.6494,56.6971,55.4336,56.1877,58.243,59.2911,61.0326,61.3684,62.2214,59.2677,57.7377,56.5389,54.2783,51.3773,52.3243,54.8281,58.0183,59.2328,62.8413,65.5711,66.2484,64.6946,63.0433,62.4688,62.363,60.5326,61.4255,63.7228,66.4183,68.4264,69.6171,70.9178,71.9345,71.452,70.9535,70.4377,70.1473,70.2077,70.2397,73.5544,76.5986,80.359,81.1251,82.4597,82.6479,82.2534,81.5446,81.4715,82.2139,82.1389,81.6108,83.4339,87.0301,89.0892,91.3993,93.0012,93.2068,92.6443,90.7858,92.2993,94.0943,95.8452,96.3811,97.9496,98.9363,101.4243,105.3356,110.4494,110.9264,109.507,107.386,105.7077,106.2959,104.9284,104.931,105.81,107.917,111.5501,114.8588,116.8878,116.9986,114.2597,111.0186,109.64,110.4836,111.2665,112.6252,114.4054,116.9019,121.2153,124.2996,123.0772,119.4602,119.3053,119.5211,117.21,115.7644,111.3533,112.0562,114.5792,115.959,118.0876,120.7981,122.3004,119.6702,117.944,114.6937,113.0586,109.0752,105.1045,104.8357,109.0523,110.5282,111.3749,113.4967,117.9742,116.7085,115.5467,113.9095,113.7882,110.1119,108.3051,106.6338,108.1941,110.7974,114.3322,114.6234,111.771,109.5082,107.275,105.376,103.44,103.3299,99.3112,96.5815,99.4639,104.1769,108.5427,109.343,109.0683,106.4091,104.3863,102.3127,101.6185,100.2401,99.575,96.3379,98.0376,100.2919,103.415,106.6949,112.0273,110.268,106.7068,107.2725,108.0031,107.5104,106.9146,107.0284,109.133,111.3295,115.7152,119.1747,120.1216,116.7703,114.8144,112.0335,110.2658,109.1389,106.5528,105.6559,107.9828,112.4555,118.175,119.0097,119.0775,116.3108,113.63,112.1265
"Ohio",71.5332,73.8811,74.9885,76.3262,73.0826,72.9663,71.7003,72.8803,73.1416,73.3585,71.8487,71.3471,70.7317,70.2572,70.0321,71.0688,71.1596,71.9316,72.3939,72.797,72.528,72.4141,72.4199,73.1225,73.8914,74.5574,74.6852,73.9529,74.2495,74.3881,75.0648,74.1799,73.9062,74.8942,74.5528,74.0066,74.3449,75.548,75.6563,76.3386,76.2943,76.5846,75.6914,76.6003,77.4902,78.1396,77.1987,76.5983,77.969,79.7224,79.4849,79.6288,79.5184,80.6788,81.4268,80.6102,80.9614,80.7297,79.9914,79.8999,81.1217,83.3272,83.9305,85.0947,85.5514,83.9716,83.2619,84.94,87.2404,87.5882,86.4943,85.3098,85.9637,86.4572,86.9633,87.4195,87.9782,87.8017,88.3208,88.1514,88.3618,88.6583,90.9173,90.0224,89.4831,90.2836,90.6198,91.2861,90.8623,90.434,91.7449,92.3785,94.2143,94.5529,93.1903,92.9312,93.3594,93.8212,94.3831,95.6581,95.7639,95.7305,95.1313,96.2494,96.5745,96.9784,96.5281,97.0446,96.7417,97.9251,98.016,97.6393,98.2216,99.1896,100.0462,99.6835,100.3314,102.2035,102.171,100.7677,100.3101,100.7949,101.349,101.2922,100.2484,102.2292,100.9053,100.3983,100.0778,100.0174,101.983,101.6673,100.9797,100.2961,100.9514,101.8952,101.9282,100.5077,101.7334,101.8407,101.2222,100.4943,98.6084,96.1315,95.3294,97.1952,97.2919,96.9874,96.1757,95.6778,94.7225,94.4512,93.4727,90.7014,89.4828,87.3905,87.3411,86.8715,88.1552,90.0433,90.0918,91.3713,91.5752,88.3219,89.2681,87.1657,85.911,86.0446,86.1946,87.2756,88.2367,87.3686,87.4772,89.3427,87.2633,84.9204,85.7687,84.2713,78.66,79.7599,80.5936,81.6576,81.5823,81.6458,82.4978,82.5687,81.3006,79.3276,77.8724,76.7642,76.1707,75.4909,77.428,80.0424,80.9288,82.6449,83.1304,83.0358,83.2305,82.3271,82.3679,79.1906,79.0754,79.224,80.3233,82.713,88.7484,88.2052,86.3472,84.6071,83.6965,84.5994,81.9967,81.0459,79.0844,78.2448,78.7818,81.5308,84.1727,86.2682,85.0007,82.2663,81.3661,81.4815
"Michigan",83.3808,84.4032,84.2383,85.8443,87.3538,87.1401,86.2415,87.5869,85.7586,86.5449,89.0192,88.5529,88.4072,89.353,91.0025,92.0527,91.5418,92.646,94.2777,96.3873,95.4658,94.275,93.8418,95.3072,95.6653,97.4591,99.0912,99.29,99.1993,100.1429,99.9983,100.5386,101.1612,101.3427,100.799,101.0313,102.1281,103.0397,104.9876,106.7287,107.5541,108.4485,109.0179,108.6741,109.7465,110.4328,108.6629,108.3223,108.507,109.7851,110.8517,112.4673,113.7084,113.5593,113.9802,115.097,116.8135,116.295,114.8823,114.5237,114.5785,116.4336,116.7183,117.915,120.2888,119.9373,120.0295,119.6111,119.3644,118.9281,118.6883,118.2711,118.5651,119.9954,121.5072,121.5592,121.634,121.5709,121.2151,120.9826,122.0246,121.5812,122.0489,124.4191,124.3898,123.3272,125.6018,126.6944,126.8321,126.6035,125.6751,126.9615,127.5432,125.472,126.1067,125.5524,124.963,124.6284,126.623,127.8351,127.8645,127.8441,128.0272,127.3915,128.2781,127.9176,126.4482,125.4378,125.4444,127.0116,127.7091,128.3886,130.6057,131.1096,129.8288,128.5184,128.7233,126.4646,125.6584,125.5122,125.3531,124.7992,125.3309,125.0944,125.5136,124.5905,123.0483,122.5131,122.846,120.4074,118.4193,116.5158,114.4335,112.8219,113.8638,115.272,114.7749,114.5165,112.96,109.5771,109.5343,106.5632,104.1838,103.3253,103.3982,103.8429,102.1616,101.4742,100.5558,97.5628,96.3045,93.7872,96.1521,93.2959,88.3049,81.7696,78.9711,80.8656,83.4255,81.7327,80.9154,82.0037,79.9457,78.5656,77.0489,77.939,74.9627,72.2603,72.3035,74.8381,75.7544,75.1375,74.8133,74.9244,78.1952,74.8795,75.4079,72.7065,71.5716,66.9416,67.388,72.7382,78.3358,79.176,77.1519,78.1808,75.3434,72.3635,72.8871,70.5777,67.7579,72.2722,75.6687,77.6591,81.5434,83.5129,87.6499,87.8105,84.5654,82.1658,85.683,88.9627,88.0105,88.9084,92.1474,93.6144,95.705,99.1714,100.8102,101.2614,101.1623,103.1094,102.4389,102.1293,102.4423,102.5592,105.0581,107.7292,110.8416,111.6571,112.6174,111.2705,110.2907,111.8316
"Georgia",57.1126,56.9886,57.8936,58.1942,56.7313,58.0912,59.1479,61.5237,63.8042,62.1008,63.386,64.3301,62.55,61.9281,63.5869,65.3055,66.3668,67.3155,67.1552,67.5342,68.2151,71.7058,76.8134,79.7874,78.1982,76.8622,76.1157,80.6392,83.2434,83.0081,83.4031,80.1523,78.9584,79.5886,79.5473,79.4108,82.3327,85.3072,87.9473,91.0566,92.9289,93.3472,91.8737,91.6696,104.2774,106.7396,109.6498,106.939,109.8394,105.7408,106.2346,110.2514,108.4061,111.0318,113.9333,111.2299,109.4326,103.3569,111.5949,115.1206,114.0859,111.021,113.9429,114.0313,113.2123,112.5484,110.4182,108.7399,109.2282,112.7005,112.9323,118.147,118.5605,118.4693,116.8106,115.9805,117.7963,113.7956,113.2786,114.3206,121.0748,117.0465,116.8095,117.3472,118.0134,117.8225,120.7492,118.9295,118.2975,116.6576,112.5734,114.5775,110.6997,112.9362,112.1997,114.0963,113.1845,116.1578,115.5126,115.511,116.4838,117.5199,116.733,116.8094,117.5956,118.5113,117.02,116.6805,115.5826,115.9694,116.2971,115.1345,114.3624,112.7316,111.8363,110.7835,110.1827,108.9145,113.3562,117.2057,116.5582,115.6694,116.8815,115.9451,114.2958,113.3363,114.6081,113.5108,113.7489,115.1644,117.2628,119.3186,119.8614,118.2869,119.3842,117.6333,117.9466,114.9515,109.988,113.4993,116.8636,117.4383,115.7017,115.6997,117.4116,117.3918,115.0887,113.4102,112.9592,110.8479,108.9724,114.5109,111.1527,106.2216,107.6734,110.9477,110.2355,110.2474,116.0969,117.6998,116.8222,106.0894,104.6994,102.3927,105.9694,103.9655,100.9292,98.8753,101.3457,104.2912,102.2744,110.0036,107.0786,97.8781,89.6885,91.9609,88.0879,89.0639,89.0628,82.8687,81.8266,80.0151,78.6647,80.9724,93.8828,92.7663,93.7334,90.8393,91.675,85.458,78.9636,79.9261,84.177,86.4176,89.3838,91.1206,90.8556,90.4113,89.2881,91.0483,91.3462,89.4687,87.8227,91.3208,95.4577,97.8477,101.0171,104.636,105.5259,108.7231,107.8201,108.0788,108.7971,108.1484,109.1431,110.4828,113.7109,118.2921,120.5108,118.8649,116.7834,115.5469,112.0508,111.0079
"North Carolina",68.4864,69.907,68.3644,67.682,68.6192,69.6512,69.933,69.7649,68.7995,66.3898,68.5558,69.6572,69.6156,70.2626,70.9735,69.7012,69.6261,71.4227,72.9751,75.4812,76.1722,76.8145,73.1806,72.9738,75.2572,75.6589,75.2376,75.1958,77.3903,77.2852,77.3475,77.055,76.8953,78.5222,79.5238,79.3279,79.2982,78.894,80.8398,81.5175,82.4487,81.6397,79.0331,80.9456,81.2509,82.3688,80.8764,81.4163,82.9497,81.5257,82.4465,83.1278,82.1146,81.6159,82.7205,83.0358,82.8057,81.8453,82.2166,82.2263,83.1629,83.7143,82.9589,83.9749,84.9949,84.6681,84.8121,86.114,86.5551,86.8088,86.3494,86.327,87.2204,89.0712,88.7593,89.7591,88.0286,88.7946,89.6873,89.5474,88.2917,88.3702,89.1754,88.7146,88.559,89.2069,89.2424,89.1429,88.3833,88.1012,88.7584,89.1749,90.6251,91.4821,91.1432,90.3563,91.1091,92.1078,91.7874,90.2777,89.4898,91.6472,93.8675,95.1818,95.1499,97.3965,98.8745,98.3429,98.4268,97.5084,96.963,97.1981,96.8308,96.3835,97.6389,97.8378,98.0222,100.5094,101.5678,101.1756,100.8007,100.0121,105.7745,103.4739,101.4308,100.6254,102.0267,102.9898,100.8092,99.8545,98.4567,99.5257,100.7025,103.0292,103.2195,103.5348,104.0263,105.1753,106.4308,107.4263,106.2762,106.3395,106.1769,107.2478,106.5358,105.6357,105.6783,104.6189,105.0627,104.5584,105.2173,106.492,106.5682,104.8719,101.2595,100.9342,100.4609,99.495,101.3435,104.2727,101.9905,100.0129,100.4012,99.6661,102.5932,108.3655,107.3534,103.1938,100.5796,99.1329,98.0876,98.7283,98.4309,99.7636,99.3716,98.2918,100.0176,102.1812,101.2709,98.2927,95.5417,95.7885,99.9903,99.1043,96.5466,94.6072,96.0648,95.3943,94.1721,95.2232,97.8989,98.9569,98.4918,99.8582,99.9446,102.102,101.2302,98.3073,98.276,101.0246,97.9142,94.7575,95.6459,97.5812,98.3828,99.8123,99.9658,101.9325,100.6142,100.3534,100.0337,101.1059,101.4398,99.9838,99.2812,99.7032,100.1063,102.0017,102.2393,100.7736,100.5086,101.0251,100.866,101.5382
"New Jersey",81.003,77.9589,81.2671,80.7588,83.4797,80.2499,86.9485,85.4932,91.734,87.219,86.1768,86.1154,87.4809,85.9065,84.0492,85.658,85.7316,85.4513,,101.862,90.5986,83.5343,80.0243,82.0378,83.9168,84.2521,81.1893,80.7323,82.5023,84.361,87.5874,86.2234,85.8813,82.6977,86.2166,83.5504,81.2078,82.924,85.6529,88.8273,89.4522,90.6412,88.1268,86.64,86.1022,92.8125,93.0779,96.6088,94.711,98.1294,99.5845,99.6092,100.4218,95.9695,100.3196,102.1984,105.758,108.4316,112.8862,112.3481,112.3516,117.4552,121.8618,125.2445,121.9715,118.3247,120.2487,123.2238,124.1046,128.0259,128.863,128.1329,131.215,136.4752,138.4874,140.6416,141.3277,143.8002,144.8141,142.8892,141.9914,139.6005,139.3998,145.204,155.3331,153.8347,156.4093,160.0209,168.0085,177.5249,182.1926,188.1468,184.8425,176.4849,174.9287,180.1364,182.6012,183.261,182.605,193.7676,187.7146,188.237,188.0722,189.8397,188.3964,192.6729,197.5803,206.1573,215.6665,223.8183,230.4721,229.4983,223.8649,224.407,237.1014,235.1187,230.4203,229.4528,225.5889,228.3873,230.0812,230.9963,229.559,224.8563,234.0271,242.041,238.4207,229.8995,226.3372,240.528,253.5769,248.3809,235.5866,238.6314,240.282,238.4866,234.9795,239.3824,243.6439,239.9206,234.6248,235.2085,242.6091,246.1161,245.8112,240.8653,237.0678,235.0121,232.8702,222.6225,221.2854,230.0132,229.991,231.0354,225.3193,219.6134,207.2967,205.1998,212.4942,210.0406,207.7014,215.346,222.7632,228.5209,222.8759,227.1154,240.033,228.7548,228.5166,231.8838,236.8178,236.4983,227.7641,219.2064,202.9667,209.1523,211.8856,219.8901,218.6467,224.5246,227.2426,233.8838,235.4371,235.8761,236.078,215.0776,200.7027,191.1888,201.0408,187.5524,185.6934,195.766,180.9734,188.4728,192.9089,196.3823,200.7846,191.9037,190.2774,184.2404,188.888,186.6796,178.32,178.358,187.7872,188.2768,197.9297,201.8172,203.3191,205.7694,208.1798,202.9299,197.012,195.7381,191.6647,188.3267,194.3568,199.7069,198.6496,202.0081,198.9702,203.9321,207.5259,202.9339
"Virginia",80.3606,81.4031,84.9576,85.8414,84.661,83.8843,85.4776,86.1325,86.9376,90.643,90.3673,91.1099,90.4084,90.9671,90.8989,90.9616,92.6419,92.9313,91.4216,91.8155,91.8086,90.9971,90.3342,90.2229,91.0675,92.0212,93.9902,94.9652,95.4213,93.6043,92.4815,92.0739,92.2598,93.16,92.6295,94.4685,95.5133,96.0302,96.5018,98.3625,99.1512,98.2812,97.0451,97.8522,97.7504,97.2872,96.6434,97.3601,98.2943,100.1932,103.0558,104.8711,105.9747,105.8796,106.0487,107.3029,106.7775,108.7471,109.2693,109.2348,111.7719,114.5194,116.3401,117.2429,118.7613,116.9214,117.1438,116.0974,119.4803,118.1129,115.8596,119.82,123.2621,127.0482,130.1393,131.3511,133.7653,137.3198,138.2993,135.0704,133.3109,134.359,135.8935,139.3365,140.6119,143.5878,149.9648,152.1736,154.5402,152.7924,152.2524,150.4804,152.1141,155.9476,158.7154,162.3478,170.0301,179.4896,188.6694,193.3395,195.2895,193.4229,195.7019,200.9146,203.9471,203.9857,203.3911,208.8538,218.5791,230.2522,239.7044,246.4565,250.2025,252.5437,246.3928,242.4069,236.9832,233.6288,234.8139,236.0876,238.0935,240.8016,244.3653,243.2883,237.3834,234.3637,233.7673,232.4235,233.0744,232.2783,235.1461,236.6468,232.3874,229.1767,230.8685,232.1351,227.5714,219.571,216.3538,203.3887,199.8225,187.2892,186.4644,185.7033,195.0392,199.3857,198.2512,194.1581,193.4911,189.5996,182.2188,177.166,173.638,166.3944,163.771,164.6076,171.6208,170.731,173.0022,175.1817,173.0155,180.1446,183.1979,180.4298,174.2676,171.847,171.4411,178.2779,184.234,188.1239,187.0715,186.8872,187.9055,191.4105,192.9904,191.4577,188.9063,184.8969,180.292,181.1092,185.5812,189.6532,192.1456,190.0213,189.6655,188.8102,186.7035,185.3215,178.9128,177.35,176.921,193.1245,193.7673,194.7194,194.2006,196.0002,193.8544,200.8015,195.3875,194.3283,190.0658,185.8365,182.2285,185.8365,194.9441,203.2445,209.9917,213.9727,215.2832,213.8086,211.7617,214.8502,212.5943,208.2369,210.6624,215.7382,219.0487,221.536,222.5243,219.3663,217.2594,214.068,212.6681,209.8192
