"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",100.963,102.5347,103.2447,103.4576,103.5948,103.2834,103.176,103.1223,102.5579,101.4749,100.0987,101.2265,103.6702,105.3899,105.7751,106.4231,106.7881,106.9326,107.6451,107.8409,107.8925,108.1966,107.9103,108.6117,110.7139,112.7617,113.5094,114.5525,113.6943,113.0399,112.0837,112.0271,112.2718,112.5191,111.9298,113.9248,116.6431,118.7781,120.9412,121.9485,122.039,121.595,121.5317,122.2618,122.0699,122.1513,123.4012,125.5057,127.5751,129.38,130.7453,131.5465,133.3528,133.7313,134.4053,135.1189,134.1602,133.1817,133.0219,135.5271,137.2627,138.7731,140.7257,142.9245,144.4271,144.1745,142.3461,141.8008,143.7439,145.2456,147.8881,151.3085,155.6767,158.8169,161.0116,162.164,163.3648,164.2744,165.091,166.0981,167.2888,167.1995,166.9908,171.0895,176.7558,181.3361,183.8844,188.1062,192.4159,193.6969,193.3937,194.1258,195.7249,195.8168,196.4179,201.538,210.2347,217.914,224.661,229.3708,232.0895,233.8284,236.0928,238.7295,240.1939,242.1126,243.4206,248.944,256.1329,262.2809,269.0554,273.2668,277.0019,278.7773,280.1196,280.6771,277.6007,275.1936,274.9121,280.2356,286.2228,290.5861,293.1987,293.7714,293.9042,290.4459,288.5432,286.7026,284.9707,282.8364,283.4961,287.9825,295.9194,299.2693,300.1885,301.4875,299.0469,284.817,272.5312,268.9238,260.1361,253.4421,249.7577,249.6945,252.3058,254.0161,253.4974,252.3661,248.0792,233.5255,225.621,218.3431,210.5115,199.5584,196.9515,194.1974,193.9162,198.9623,204.8742,209.9365,208.5985,205.5412,202.2346,199.9861,196.3391,187.6831,184.1714,188.0361,191.487,196.9761,195.4138,198.0973,195.7681,194.221,190.7491,187.9643,186.3362,180.4321,176.301,178.8258,181.7391,183.4048,185.5439,186.2239,181.6697,177.2249,172.2161,169.0355,163.9155,166.7205,164.8272,169.5578,179.0011,186.0311,187.1113,186.8087,185.2513,182.8037,182.7041,186.5684,191.0716,187.0262,184.6715,195.6299,208.3571,218.0906,224.5616,226.3769,227.1791,226.0639,225.2809,227.3232,226.2843,220.7112,216.6165,223.8961,232.3411,239.2335,241.4383,242.7423,244.1142,241.5136,240.427,237.8293
"Florida",56.9523,57.0948,57.6503,58.1244,58.3309,58.3598,58.4273,58.5585,58.2172,58.9868,59.2209,59.5563,59.9517,60.717,61.2336,61.6088,61.976,61.933,62.0019,62.4058,62.587,62.5547,62.3449,62.6247,62.8016,63.2795,63.9099,64.4237,64.8464,64.796,64.8062,64.7173,64.7983,64.9353,65.0118,65.4099,65.7018,66.2241,67.2043,68.1263,68.2216,68.1368,67.9895,68.1767,68.4592,68.2879,68.4068,69.1102,70.0137,70.8486,71.8552,72.4958,72.8673,73.1505,73.2319,73.5387,73.9976,74.1281,74.1114,74.5127,75.6578,76.589,77.7667,78.628,79.2433,79.6459,79.7157,80.0315,80.2883,80.9802,80.8181,81.5612,82.1781,83.3669,84.921,86.2383,86.6684,86.7466,87.3292,88.1708,88.3503,89.0053,89.0933,89.9764,90.9509,91.9959,93.2043,94.5009,95.7458,96.6819,97.1882,97.7578,98.2603,99.3524,99.7079,101.1937,103.1406,105.613,107.5729,108.8208,110.2367,112.0786,113.2503,114.0938,115.9645,118.2088,120.3653,123.3817,126.4023,129.895,132.8646,136.4515,138.8772,141.2533,142.7965,144.3614,145.5469,146.0723,147.0511,149.0924,150.7548,151.7741,152.2208,152.2421,151.1566,150.7577,150.0832,149.1556,148.2509,147.7686,146.9395,146.0482,146.1852,145.5613,144.9337,143.304,141.6116,138.757,135.6715,132.8991,130.784,129.504,127.0296,125.1161,123.6984,122.5693,121.4851,120.7918,119.0206,116.8061,114.0513,110.9753,107.9272,104.9309,101.8658,99.9628,98.6489,97.982,98.3312,98.1872,97.2147,97.6351,96.663,96.0967,95.4907,91.7389,89.8381,89.3537,90.1436,90.1956,91.1258,90.1777,89.1218,87.8504,87.0646,87.8464,87.6682,85.7236,84.1084,83.6546,84.2994,85.3371,86.1084,86.6584,85.4696,84.0001,82.3339,82.1539,82.3405,80.0927,79.6101,80.8408,83.1449,85.6944,87.7859,88.2657,87.9777,88.0358,87.8112,87.9329,89.2149,89.6456,89.5189,91.3873,94.2726,96.6584,99.2014,101.1035,101.5976,101.1675,101.5605,102.6299,103.669,103.7485,104.1132,105.7511,107.751,109.6649,110.9558,111.9638,111.8041,111.0168,110.917,111.9884
"Illinois",95.1996,97.7608,100.6138,100.8435,97.6601,94.5779,92.477,92.3919,91.8922,91.9047,90.2387,90.8668,92.1442,93.876,95.7992,96.8681,96.7955,96.4678,95.8815,95.8935,94.8845,94.4587,92.7938,92.6054,94.1582,95.6699,98.1043,99.803,100.8689,101.142,100.287,99.5743,99.2823,100.2646,99.9332,98.6265,99.4229,100.9439,103.4965,105.3932,106.3982,107.2297,106.9306,106.4506,105.4614,103.7914,102.2211,102.5899,104.1012,106.4839,109.8682,112.905,114.0667,113.7924,112.8139,113.2626,113.2828,114.3225,112.0498,110.329,112.1362,114.6024,117.4682,120.8496,122.6824,123.133,123.6626,122.489,121.4065,121.5366,119.6502,119.4079,121.089,123.5909,125.4817,128.2904,130.9047,131.0706,131.3114,129.8151,128.9697,130.2699,130.2357,130.9116,128.98,130.7957,137.1926,140.0535,139.6867,140.1839,140.0414,140.0456,140.2704,141.934,136.9309,132.7357,131.5413,134.7519,138.5614,144.0556,147.0089,147.4118,147.2336,145.4801,145.691,146.014,143.8042,142.4005,143.7156,146.198,149.3807,153.7796,155.1452,156.7255,154.8479,156.2034,156.739,155.9871,153.6541,151.6979,152.5954,154.2066,156.8547,157.2971,158.7319,159.1702,157.0982,156.7611,156.1865,156.7745,153.3184,152.834,153.7798,153.1336,155.1485,156.3532,157.512,157.9431,155.32,150.0387,147.9974,148.9558,143.1014,138.7906,137.6307,135.4065,137.0519,139.4125,140.0247,139.3836,137.9085,136.1627,132.1567,127.83,121.4881,115.8361,115.1954,112.125,113.5753,117.2941,121.1622,122.5892,121.3559,117.3682,120.192,124.2602,121.4981,117.2599,115.5281,115.6015,119.3182,125.22,124.6518,119.6976,115.7757,109.1703,108.8916,110.6039,107.9126,105.5223,103.364,103.4971,106.5594,110.9437,111.9454,109.8882,106.7083,104.7838,103.1198,98.1434,97.7059,98.9806,101.9941,105.6834,111.3407,113.952,115.1224,112.7675,109.6893,108.2911,107.0867,103.5105,102.4819,102.2385,107.5421,113.5635,118.5569,123.262,125.2088,124.3993,123.986,122.924,121.4102,119.3121,120.1919,119.7615,121.6489,123.7523,127.4921,129.837,131.3905,133.5127,132.4859,130.8737
"Pennsylvania",64.7061,65.4704,66.7841,68.0511,69.074,68.738,67.6851,66.9513,66.3668,66.5965,66.3711,66.4058,67.0225,68.0525,69.2175,70.9399,71.5023,71.2665,70.8391,70.3266,69.8984,68.144,67.3198,67.5793,68.2025,68.8825,69.8899,71.3279,72.6459,73.0866,72.4077,71.7755,71.4793,71.0377,70.5591,70.0004,70.5399,71.4301,73.1096,74.5854,75.229,75.6789,75.2221,74.2254,73.4924,73.1857,72.6704,71.9216,72.4915,73.6023,75.2141,77.0795,77.8397,78.0556,77.467,77.1137,77.0096,76.6786,75.214,75.5017,75.621,76.5617,78.4797,81.1204,82.0951,83.0777,81.7614,81.1258,80.8671,81.4054,81.1044,80.9357,80.5971,81.8419,83.3579,85.336,86.8285,88.4397,88.0119,87.6914,87.8119,88.1797,87.4086,86.7171,86.8682,87.0989,89.4699,92.448,94.393,94.7373,94.0199,93.4716,94.1715,95.4837,95.5179,94.3901,93.3813,95.1686,98.0888,101.7922,103.7591,103.9916,103.3903,102.8174,103.6321,104.1937,104.3489,103.7184,103.525,104.5522,106.7105,110.5803,113.1034,113.9162,114.1366,112.5098,112.538,113.0601,112.2807,111.6746,111.141,113.2292,115.8179,119.3441,121.2544,120.1882,117.7852,117.1844,117.1171,115.9736,113.6076,113.2701,115.3323,117.1358,118.9321,121.2668,122.5715,121.9999,119.9985,119.4893,118.2624,118.1544,115.3811,113.952,114.2029,115.3635,116.2551,118.2675,119.5677,117.8832,115.3242,112.6808,111.2729,109.7864,107.2898,105.3449,106.0512,107.5003,110,111.4323,112.2709,114.2673,112.0724,110.7046,111.138,109.4354,106.4418,106.6439,107.7104,110.7624,113.0324,114.5566,113.8445,112.103,110.3969,109.3479,108.3572,106.0889,103.8693,103.6073,103.9662,105.7329,109.0913,110.2108,109.9791,108.0048,106.1045,105.3938,104.0458,100.2691,97.777,98.56,100.5306,103.8168,106.1019,108.216,108.8309,107.6174,105.9979,105.5935,104.261,101.8832,100.1971,101.8025,104.1572,107.7974,111.4969,114.2433,114.2103,111.7829,109.7563,108.0734,106.5869,104.9241,103.5039,104.0759,106.7758,110.3541,114.5119,117.9166,118.7059,116.019,113.9628,113.7095
"Ohio",62.093,63.0536,64.096,64.5823,65.3375,65.366,64.956,65.3276,65.1959,63.9345,63.1277,63.8709,65.39,66.4063,67.4198,67.8134,67.7658,67.5703,67.3213,67.4663,67.5287,66.2794,66.0762,67.2094,68.5144,69.6707,70.8189,71.4151,71.446,71.1083,71.2004,71.0358,71.0369,70.9408,70.0148,70.3033,71.0647,72.386,73.6435,74.6881,75.1461,74.9031,74.5924,74.2264,73.9162,72.804,72.0763,72.9286,74.3688,75.9468,77.0436,77.7731,78.1004,77.8761,77.5774,77.6024,77.7481,76.7381,76.1992,77.0408,78.1963,79.544,80.7784,81.5452,81.7014,81.7648,81.5052,81.3827,81.294,80.4363,79.3705,79.87,80.8275,82.1179,83.4434,84.1083,84.5014,84.7242,84.2302,83.9964,83.8813,82.9402,81.9797,82.6694,84.3488,86.0592,87.6845,88.4749,88.9544,88.5888,87.8836,87.1811,86.6614,85.5281,84.4898,84.5195,86.0157,87.7936,89.2844,90.1221,90.8802,90.5089,89.9599,89.2309,88.7095,87.2726,86.6397,87.479,88.8296,90.3581,92.2016,93.2372,93.5159,93.1768,92.8495,91.7759,91.0788,89.3266,88.5155,89.2553,90.9324,92.272,93.7461,93.9933,93.8502,93.1471,91.7866,90.5385,89.4002,88.2377,87.9566,89.1965,90.0392,91.6802,93.08,93.5249,93.4479,92.1545,90.1727,88.5909,87.6803,87.3482,86.7893,86.6191,86.9744,87.691,89.0041,89.4099,88.7135,86.9174,85.0748,82.3045,80.5416,77.7459,76.0783,76.1946,77.6495,79.1196,80.9274,82.2088,81.5763,82.5524,81.8195,80.9571,77.9987,75.5205,74.0327,75.8735,78.4612,81.138,82.833,81.8885,81.1032,79.2973,77.2983,75.7608,74.1822,72.0239,69.9973,70.984,73.8458,76.4842,80.0869,80.1201,79.7337,77.5147,75.4234,74.1848,72.4157,69.072,67.6949,69.4043,72.1929,74.5158,76.7845,78.395,77.5917,75.7698,73.8169,72.7224,71.713,71.257,70.1917,72.1329,74.9083,78.4019,81.7142,83.7914,83.5901,81.4632,78.9484,77.6274,77.0108,77.0383,75.6786,77.8109,80.4986,83.8697,86.8613,88.2596,88.16,86.8547,84.5999,84.8252
"Michigan",74.6706,75.9626,77.0815,76.809,76.8584,78.0898,78.2663,77.4717,77.0284,77.8491,77.2932,78.7061,80.7211,79.237,82.1008,84.5581,86.7682,87.3679,86.4702,85.9786,86.2185,85.8293,85.6109,85.0919,85.9206,86.3592,88.6552,90.609,91.3896,91.8979,92.2144,91.9049,92.2714,91.1664,88.2076,86.378,86.1928,88.3676,92.0265,93.7996,95.3984,95.836,95.9155,94.0497,93.5573,92.4524,92.198,92.0756,93.019,94.2423,94.8577,96.6359,98.8499,99.782,99.5819,98.2451,98.5277,100.1264,99.6006,98.09,98.897,101.3151,105.102,106.1487,106.1342,107.4889,107.3907,106.8702,104.892,106.4359,103.4554,103.1588,102.1033,104.2778,107.151,109.2087,110.15,109.1782,107.7113,107.5444,106.2455,103.3911,103.2189,104.7615,106.8627,108.761,109.7118,111.646,113.0847,115.5279,114.7029,114.7782,111.5883,111.245,111.0825,110.2207,110.0849,110.1847,112.5221,114.3376,116.3738,117.2492,117.7144,115.5868,114.6002,113.5623,113.1932,110.5313,109.9627,112.2481,114.6503,116.4933,118.0529,118.0593,117.3021,115.8178,114.7751,113.1657,107.7034,105.4514,106.898,109.2806,110.5671,110.7193,111.1267,111.3246,109.8347,106.2263,103.8088,103.0999,103.1742,102.6579,101.7025,102.6251,103.573,105.332,105.7312,104.1231,101.7152,98.8193,96.941,94.4953,93.1935,92.4938,90.914,90.3935,91.7354,93.6485,92.3143,90.6931,87.6523,83.6143,79.738,77.4045,73.9457,72.4027,71.1812,72.3185,74.4836,76.2637,77.4381,77.4938,76.1946,75.4929,74.5087,72.0078,69.1932,69.3129,70.5207,72.8059,74.911,74.6236,74.2494,74.2056,72.7513,71.7313,70.259,69.221,66.6392,65.4622,66.0903,68.9946,71.8918,73.6482,74.128,73.9921,73.031,70.5346,70.0543,70.1902,67.5921,66.2883,68.6228,73.0682,76.7629,79.7923,81.0142,81.2847,80.5549,80.054,79.4512,78.8355,77.7652,79.2089,80.1952,82.7738,86.191,91.0336,93.5832,94.207,93.8637,92.6493,91.0306,90.532,89.1276,89.7531,90.661,93.8057,96.9314,100.0385,100.474,101.1641,100.4172,99.4204
"Georgia",58.1238,58.4287,58.8874,58.9695,59.2841,59.5686,59.8174,60.2032,60.0235,60.7713,60.7795,61.1847,61.5213,62.023,62.3926,62.9489,63.1695,63.4523,63.541,63.8094,64.1904,63.8444,63.3855,63.5716,64.2863,65.1424,65.469,65.7854,65.8815,66.106,66.1485,66.2677,66.5669,66.9299,66.9407,67.4179,67.9009,68.709,69.5327,70.31,70.5821,70.9738,70.975,71.1176,71.2478,71.5487,71.6849,71.956,72.5303,73.1662,74.0458,74.8047,75.114,75.1324,75.3291,75.5739,75.9273,75.9443,75.3568,75.6392,76.5152,77.5418,78.3776,78.9046,79.1554,79.3572,79.5176,79.2013,79.7844,79.572,79.8129,80.2936,80.7207,80.9928,81.7717,82.3747,82.0803,81.7345,82.2512,82.65,82.7421,82.5182,82.0666,82.075,82.7096,83.3263,84.079,84.5716,85.2218,85.271,84.8958,84.7798,84.8496,84.457,84.0665,84.4418,85.0881,86.0809,87.0445,87.5647,87.7221,87.8173,87.8401,87.7589,88.0934,87.6518,87.9551,88.1127,89.0819,90.3623,90.5688,91.156,91.5924,91.8789,91.4855,91.2767,91.4387,91.3334,91.6736,92.0946,93.2934,94.5071,95.3782,95.7679,95.9601,95.4492,95.3734,94.319,93.3267,91.7785,91.8874,93.6834,94.9926,96.2549,96.9829,97.2554,96.562,95.3174,94.307,93.9622,93.6929,91.6735,91.0019,91.7519,92.2003,92.4262,92.9264,92.4571,91.1863,88.9335,92.6965,88.3117,84.7798,82.0167,80.8347,81.8297,80.9967,81.8215,84.6259,84.9897,84.0192,83.4246,82.4532,81.5748,80.7641,80.3124,78.2939,76.7167,77.6044,79.2042,78.875,77.4842,75.8848,74.2405,73.1045,71.6273,71.0727,72.172,69.6323,66.4597,66.5757,67.8552,69.4797,70.7997,73.6731,73.3192,72.2141,70.028,69.3524,67.363,66.2069,67.7322,69.5991,71.3674,73.4765,75.2773,75.3039,73.4132,73.4249,73.4868,73.5767,73.5017,73.8892,76.1119,78.289,79.9974,83.3035,85.6951,86.5778,85.6173,84.261,83.5552,83.1008,82.2251,81.3285,83.1218,84.8741,87.735,90.2271,91.1426,90.0546,88.2034,86.7567,86.1747
"North Carolina",64.0598,64.9755,65.3595,66.2343,66.3741,66.2136,66.4613,66.4077,66.737,65.3067,64.8647,65.6188,66.7314,67.4991,68.1869,68.6609,69.5644,70.2548,71.6058,72.5111,72.9081,71.1517,71.3094,72.4936,72.827,73.3682,74.3241,74.8969,75.4033,75.1533,74.9231,75.2064,75.3996,74.57,74.2041,74.8664,75.7712,76.5183,77.5536,77.8896,77.7329,77.4732,77.8383,77.992,78.077,75.5248,75.3079,76.392,77.4935,78.5976,79.5176,79.73,79.6404,79.5573,79.3616,79.3654,79.1553,78.9457,79.4291,81.099,82.2096,82.9008,83.6185,83.9273,83.8567,83.3063,82.8958,82.9296,83.3327,82.9339,82.7305,83.2767,83.6607,84.4029,84.9194,85.019,85.4318,85.201,84.7061,84.4967,84.8304,84.4845,84.1462,84.2863,84.9647,86.1072,87.0747,87.5874,87.7704,87.3661,87.1866,87.1184,86.7006,85.6152,85.6358,86.319,87.3667,88.7274,89.7801,90.4209,90.082,89.854,89.9979,90.0302,90.0176,89.1857,89.1387,90.1055,91.4377,92.9433,94.2184,94.8672,95.3121,95.1785,95.5405,95.7213,95.373,94.2518,93.7317,94.6999,95.7694,96.9648,98.239,99.0792,99.0988,98.6163,98.2514,98.0235,97.6079,95.7156,95.2758,97.9057,99.9214,101.3154,102.8662,103.6736,103.4174,102.4644,101.2456,101.1511,100.9136,100.1713,99.8422,100.3794,100.9956,102.6625,104.1681,104.3629,103.3873,101.5008,100.6063,99.4516,98.9843,98.0554,97.3826,98.1831,98.7702,99.8544,100.9756,100.7808,100.2775,100.0466,99.4651,98.5259,97.6957,97.4234,96.5734,96.8309,98.0292,99.4183,99.8071,99.5808,99.5015,98.0981,97.1785,96.4776,95.5205,94.4673,92.0635,92.6862,94.6109,96.3047,97.4931,97.3545,96.9494,94.5852,93.2541,92.0718,91.1175,90.2124,89.9596,91.5842,93.7077,95.8593,97.4926,97.5052,96.4963,94.8445,93.5883,94.1596,92.7684,92.1107,91.5206,93.4019,96.0706,98.6445,100.6369,101.7643,101.7471,100.9326,99.8892,99.5047,99.3724,98.2495,96.7948,97.6248,99.2191,101.4373,102.4786,102.9658,102.7653,101.3467,100.651,101.1711
"New Jersey",85.1283,86.6414,88.5318,89.7408,89.7247,89.0689,88.3639,87.138,86.7406,85.8627,85.5769,85.9641,86.3566,88.1685,90.4071,91.7484,91.9296,91.2634,89.5653,89.1745,89.5247,90.4381,89.5445,88.196,90.4061,91.9033,93.3582,94.8562,95.6978,96.0029,97.326,94.763,93.1263,92.0688,93.0296,91.8204,91.6389,93.6185,95.7738,97.4833,99.1664,99.722,99.617,99.4718,99.1855,98.8547,97.8979,98.4894,99.926,101.6325,104.0618,106.7232,109.1253,110.1542,109.0557,109.6656,108.6505,108.2912,106.7457,106.1858,107.0483,110.3336,115.7822,119.342,121.6692,122.2969,119.0321,118.2655,120.515,120.2021,120.108,120.4183,123.0912,125.0796,128.1833,133.1553,135.1069,137.8121,137.1621,136.2713,136.8701,138.0744,137.035,140.2966,145.0674,147.6594,148.9608,151.8907,156.5011,160.2588,160.5385,162.7246,162.1014,160.7432,158.7165,157.7333,159.3728,165.5472,171.3737,179.6459,178.9267,177.8623,175.1879,174.1702,174.8915,175.3203,174.2341,175.0993,179.7698,186.2903,193.5448,197.5894,200.7452,202.4474,200.7645,200.2569,199.4125,196.8571,195.7197,196.5261,200.8289,204.1258,208.5172,209.3845,207.1305,205.3729,202.0276,200.2501,198.0713,198.1781,199.2977,200.6837,203.8038,207.2732,210.2111,210.9492,209.7069,206.5885,201.9856,199.9308,198.7832,197.2056,196.0973,196.293,197.4543,198.2526,199.6655,200.7035,200.7674,199.5713,194.5028,189.9046,186.7114,181.16,179.9278,179.7321,180.0313,181.3736,184.2964,185.7363,186.4677,186.0959,183.0964,181.785,180.8183,177.3979,176.6458,177.8054,178.652,179.7785,182.6922,184.8355,186.9887,185.2764,179.0262,175.573,175.2141,174.1093,170.812,166.4982,165.7985,168.6026,171.3456,174.3089,173.8591,170.8362,166.1831,160.1127,157.3016,156.0675,153.9773,153.862,154.6162,158.4813,162.6511,166.2228,168.0605,167.4799,163.4552,158.5984,156.9982,156.4701,155.2933,154.2978,155.7749,160.4189,166.0067,171.1529,174.5716,175.5026,172.1676,166.8922,166.7273,164.9336,161.0676,162.3656,162.1224,165.433,168.1095,175.2702,179.7883,180.092,174.092,169.7398
"Virginia",67.6975,68.438,70.0968,70.2695,70.9162,70.7302,70.6103,70.2442,70.2148,70.0498,69.9292,70.2822,71.2595,72.5567,74.0832,75.1128,75.4715,75.0621,74.1923,73.7205,73.1289,72.2335,71.5535,72.1586,73.8083,75.1832,76.8597,77.2911,77.6807,76.2879,75.0593,75.0644,75.1216,74.0492,73.6762,74.358,75.7401,76.7289,77.6049,78.6798,79.2315,79.1676,78.5173,78.2642,78.2935,78.1955,78.2817,78.6314,79.5264,80.5121,82.1103,82.8812,83.2689,82.7977,82.8681,82.9226,83.378,82.7205,82.0685,83.1189,84.176,85.2769,86.376,87.0812,87.3467,87.3959,87.128,87.4142,87.9121,88.8775,89.3607,89.7766,90.2451,91.764,93.6759,95.0882,95.9725,96.0989,96.1327,96.3766,97.2473,97.6963,97.3618,97.6995,99.3401,101.9796,104.9346,106.768,109.0176,109.0423,107.4254,105.8173,106.7638,107.2611,106.893,108.26,109.788,113.3536,118.0166,121.9136,123.7232,123.8913,125.1327,125.9261,127.0282,127.564,127.184,129.071,133.4437,137.9459,143.3516,146.7778,147.0541,146.2351,145.1664,145.8753,146.1243,145.9611,145.8173,147.5025,148.4957,149.822,150.9145,151.3655,150.4239,148.7915,148.2963,148.0008,149.1463,146.6154,146.1092,146.3751,148.0802,149.204,151.1794,150.7131,149.62,146.9781,145.2764,144.1767,143.0097,139.4316,137.3473,136.7142,137.1933,139.0677,140.6893,140.7573,138.9635,136.2185,134.254,131.0903,129.9038,127.9129,125.6385,125.9053,126.6552,127.5717,129.4492,132.1327,132.4562,137.3388,134.484,132.6065,129.7087,126.8669,125.8387,126.5951,129.2893,132.9826,133.9157,135.9751,136.5558,134.8875,132.3808,131.7651,131.9778,128.6039,125.5352,125.5913,126.8384,128.5501,129.8372,130.7503,129.9284,126.9562,122.0627,119.7979,120.004,119.0073,114.1116,117.0626,122.5817,126.7536,129.64,129.6022,127.2877,125.9532,123.8032,124.4844,122.693,118.4808,118.7346,121.5018,125.419,129.8893,135.2118,137.6646,139.0508,138.2029,137.3512,135.9044,136.7833,133.9846,132.5721,134.6922,138.9247,142.9923,146.0815,147.346,145.8808,143.3784,141.7501,141.6944
