"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",155725,157525,159025,159775,160000,159000,157800,157650.5,157100.35,156225.15,155900,157925,160900,163550,164700,165000,166000,166200,165650,166150.5,167700.35,168700.15,168750,169575.5,172450.35,175325.15,177450,178025,176075,173600,171050,171625,173225,173025,172375,176000,179800,182950,186375,186325.5,185600.35,185000.15,185000,186250.5,187375.35,187925.15,190500,195750,198950,200000,202500,202750,206450,208051,209475.7,212275.3,212750,209950,211750,216300,219250,220000,223250,226275,228525,229525,227425,228250,233750,235650,240600,246227.5,251909.25,256818.25,261750,263751,265900.7,266975.3,268250,271776,275350.7,273375.3,276125,283500,291500,297101.5,303651.05,310975.45,319375,321151.5,318751.05,321100.45,326151.5,326752.55,329501.5,340125.45,355329.5,367818.15,378461.35,381175,381925,383775,385900,391850,397000,399050,401650,411250,420102,429251.4,440250.6,447225,452275,454250,455000,457500,458250,454300,454700,462450,465550,468250,474250,476000,475500,469825,466675,467677,473328.4,471304,472652,480802.6,487403.4,492352,496250.6,498400,494418.5,473794.95,457726.95,453250.6,446750,434750,432250,431002,433251.4,431750.6,428252,425501.4,414827.6,392927.9,380751.65,369875.45,363675,344951.5,336652.55,334101.5,335000.45,342500,347751.5,350001.05,345001.95,341350,335300.45,331900.45,328800,313951.5,305301.05,310876.5,313875.45,322376.05,319876.95,322251.05,321000.45,320750,315000,313250,313550,302275,296140.8,299250,303500,303750,306451.05,308450,304150,298500,288100,282251,281400,278950,277400,288000.3,301950,310850,314250,317000,316400,315450,315000,320000,326000,319750,315850,331900,352250,370250,385250,388250,386850,384150,381800,382950,383250,374300,370200,381750,393750,404750,408850,411150,410700,407800,403250,399500
"Florida",83075,83500,84850,86150,86815,86435,86565,87250,86550,85710,85145,85030,85000,86500,88300,89525,89925,89550,89685,89865,90000,90000,89750,89825,89925,91000,93200,95050,95850,95000,95300,95200,95150,95000,94000,94300,95200,96350,98850,102400,101900,101250,100300,99615,99135,99450,99765,100450,102335,104300,107525,109275,109465,109135,109200,109090,109475,108850,109070,109540,112375,114215,117485,119750,120900,120535,120165,120500,121350,122850,122700,123800,125000,126815,129635,132865,133385,133445,134130,135075,135310,136610,136795,137460,138775,140950,143875,147225,149275,150660,151005,150560,152650,155050,155560,157740,161250,166400,171600,174250,175000,176950,178765,179765,182220,186575,189175,193250,198775,205525,213700,220825,224175,225000,226500,228550,231200,233550,234650,234965,235485,235650,237810,239305,237485,237250,237550,237500,238650,239550,239750,238825,236725,236596,235802.2,234843.8,234150,229500,226350,222500,220750,221500,216050,211950,210000,209000,209300,209700,207750,204425,196525,189300,185250,179650,173350,168850,163765,161550,163165,162825,161400,160314.2,154915,153900,152715,150100,144395,142875,143615,144100,146645,147215,144190,141295,140150,138750,138175,134255,130000,127700,129925,134250,137150,139500,137380,133190,130770,130015,132500,127550,126050,127515,132075,137625,142125,144250,143750,144125,142155,143250,147450,144750,141640,143510,149665,153610,159925,166000,166750,164250,163950,164550,165000,163500,161450,164800,168150,172850,177100,181850,181715,180685,179965,179985
"Illinois",127425,130250,134200,134750,130380,123651,119529,117650,117150,120250,119775,120325,121550,122950,125175,127975,129550,129250,126975,125525,125500,125600,124825,124725,126100,128375,132125,135500,136625,135900,132725.5,131500.35,131525.15,133425,133050,131450,131050,132525,136125,140750,142750,141650,139950,139650,139850,139500,138650,138225,139052.5,141722.5,145900,148750,150350,150350,148900,147375,147150,150600,148525,146350,147250,150325,155800,160875,163900,162850,161850,160130,158343.5,158786.5,159550,159500,161400,163575,165275,170350,173650,175000,175000,172500,170972.5,174655.75,174216.75,174800,175475,178350,187150,189575,188975,188400,187025,185275,185475,188375,185575,182675,181525,185065,190010,197500,202575,202200,201250,198100,198575,201825,201750,198250,199250,202450,209550,216000,219250,220000,216750,216725,216075,217625,215975,214000,213975,214625,217856,219999.2,221706.8,221025,217875,214500,216625,218875,217500,215250,214650,214850,218250,223275,225175,227300,223900,218350,213400,211950,209350,206750,208300,207100,211400,216350,217900,216450,210300,205250,200320,194461.5,187108.5,182200,182800,179775,182725,188000,191375,186500,182050,174450,176200,182500,178675,173550,173025,174250,182500,190250,193250,184300,177700,168950,165662.5,167500,162600,161400,158750,159650,167350,174000,175625,169175,161950,156075,151400,138200,135400,136925,144425,149575,159350,164950,165835,162650,155750,152750,148500,138950,137550,140000,148800,160125,172350,183310,186015,181750,179700,173300,170625,167125,167000,165375,172525,178400,188510,191055,193310,191650,185675,179000
"Pennsylvania",86225,88400,91700,93900,94850,93500,91200,92375,91500,89875,86690,87835,90175,93150,96965,100340,103233,102757,99975,97835,95075,88100,86650,89100,91900,94600,99225,103775,106725,108025,106675,103725,102490,101085,99375,98300,98500,100050,103900.5,108152.35,109883.15,110135,107000,104400,102650,101150,99550,97475,98375,101850,106215,111385,114100,114000,110800,109700,108665,105785,102200,102915,104235,106500,111050,117450,119950,120800,117600,115475,115125,115187.5,114062.5,114215,113400,115360,119000,123825,126500,128625,126890,125595,125440,126600,126525,124725,124450,124700,129450,135615,139085,139750,137325,135675,135000,137450,136465,134010,132840,136285,141415,149235,152450,151765,149535,146870,147730,149575,150225,148865,148560,149190,153800,161535,167275,166840,165060,161575,160250,162593,161420.1,157972.9,156600,160350,167305,172520,176625,173900,168350,165400,164850,166000,164200,164250,167000,169165,173950,178285,182500,179365,173985,171750,170650,171015,166760,165600,166475,168700,171950,177916.5,180114.05,174902.45,169150,163450,161900,156950,152675,150375,152250,154036.5,159625,163150,164850,162800,158295,155010,156260,153790,149200,150085,152950,157350,162715,170125,169375,163985,158250,155450,153200,151715,145450,144250,144850,149275,158950,162200,160450,154600,152050,150400,150965,143275,139540,138915.2,143670,149800,155725,160990,162385,158975,153625,153000,151575,149775,148620,150205,153925,160215,168735,175465,175385,167400,161900,156815,155280,150805,147700,148200,153435,159565,167675,174250,175825,170450,164000,160750
"Ohio",87525,88625,90000,91450,92575,91960,90965,91505,91420,88725,87585,88084.5,90050.5,91375,93875,94865,95135,95000,94000,93800,94350,92350,92135,93969.5,96015.5,98300,102015,103735,104650,102350,101500,100025,99875,100850,98200,98550,99750,102600,105925,108615,109310,107685,105965,105150,105450,103815,102585,103500,105800,108375,111625,113900,114850,114000,112800,112100,112715,110510,109725,111130,113520,116450,118925,120865,121225,119635,118400,117965,118735,117575,116060,115665,117300,119015,122335,124250,125450,125315,123635,123950,124200,122005,121720,121800,123575,125500,129165,131185,131965,130985,128550,126275,126475,126625,125900,125725,126400,129635,133190,135300,135925,134000,133100,131350,130450,129500,127650,128950,131250,133700,137200,139750,140350,139650,137650,135950,136400,133975,131545,131930,134225,137125,140750,141790,140985,138690,135435,134100,133350,131650,131450,133950,135075,137725,141750,144250,143000,140100,136700,135275,134675,133825,132625,132330,133645,135625,138700,139400,139750,135565,131510,126997.5,125335.75,121386.75,119050,119500,121050,122435,124900,127125,125215,124275,121945,119800,115250,111055,109265,113100,116725,121125,124600,124785,125715,122650,117550,115250,114450,110735,103700,105750,111500,118350,126415,126415,124950,119825,116959.9,115206.25,112310,103600,99112.5,102525,109687.5,114875,119200,122165,121410,117525,112900,110550,109965,108985,106250,109315,114060,121150,129225,133150,131650,125250,120750,118580,117320,115940,113710,118700,123125,128350,134850,138725,138500,134450,129850,130315
"Michigan",93148,93642,94325,94650,94912.5,96462.5,93550,93700,91750,93750,92100,95482.5,99157.75,98039.75,101035,105000,108050,109300,108315,107435,107250,105675,103525,102800,106350,110400,114515,116885,116850,117300,118200,118350,121600,118415,112635,108400,109650,112750,117550,119550,121615,121035,119700,117975,117487.5,116183.75,115828.75,116765,118650,119685,121250,124375,125325,123800,122950,121350,124950,126650,125300,124100,125600,128725,132325,134295,134955,135000,135000,133150,131955,133720,129825,129150,129250,131750,134725,136975,138100,137675,136175,135015,134310,132075,133100,133750,134650,136850,138650,142580,143458.5,144421.5,142200,141250,139850,139800,141300,140015,139985,140875,145275,148450,151300,151012.5,149283.25,147156.75,147403.75,146311.25,145502.5,142000,140350,144265,148100,151285,153465,153150,150185,147925,147325,144411,139640.2,136720.8,138930,140570,143150,145650,145875,145375,143000,140100,137950,136150,132848,131810.6,133233.3,135558.1,139200,142050,142560,141240,138050,133925,131175,128650,127900,128815,129616.5,129952.05,132479.45,134250,131500,128550,124900,120925,117175,112450,105400,103850,102687.5,101625,106324.6,109900,111550,111345,107875,105750,102500,99037.5,95471.25,95912.5,99500,105400,109190,108100,106775,105150,102455,101750,99850,99950,94650,92850,93550,99550,107000,113050,114970,113243,110900,103655.65,103101.2,107050,98830,95250,98100,106031.6,113494,120125,121700,120650,118450,117232,117150,116200,112900,115215,117135,122150,129300,136150,139250,137500,136250,132850,130900,129500,127150,127850,129575,135275,141650,146350,146375,146275,144525,142075
"Georgia",95650,96500,98715,99660,100790,100260,99922.5,99835.75,99911.75,101965,101385,101850,102375,103875,107165,109935,110890,110940,110935,111735,112025,111575,110900,112025,113215,114875,116785,118720,118645,117750,116135,116800,119000,119115,117805,118040,119390,121775,124550,126750,127690,128450,126935,126620,126695,126435,125665,126620,127830,129195,130790,134900,136490,135035,134525,134200,136150,134400,131900,133750,135765,137880,140905,143075,143975,141985,140980,139715,141085,142780,142955,143655,144370,144590,146725,148775,148835,147150,147145,148120,149835,149700,147850,147885,148495,149470,152150,154860,156965,156275,155450,154250,154425,154740,152435,152965,154060,156625,160190,162657.5,162743.25,160754.25,159950,159719,160358.3,161775.7,161185,160950,162050,165340,168310,171000,172160,171315,171860,170980,171400,171685,170950,170865,172905,175380,178665,181885,181850,180210,179420,176145,174725,173025,171375,172800,176250,178900,182800,185565,185435,179570,177065,175515,177520.5,175463.85,172406.65,171220,173010,174405,176950,178804,174793.3,167825.7,177395,170702.5,165867.75,159449.75,154365,155535,154900,152965,159325.55,160035,157765,155600,153873.5,147360,144150,149040,143491.5,139065,139085,142950,144250,145440,141627,137675,135375,135283.5,133225,134175,126750,121749.45,122050,124250,128865,130650,137490,133400,133090,129010,126325,120400,117075,122400,126865,132605,137835,141087.5,139450,134100,133900,131875,133325,134250,135000,141500,146050,149000,158950,164975,166225,162550,158075,155175,153800,151755,148995,151450,156250,163215,170285,173450,171150,164400,159850,157600
"North Carolina",96050,97950,99275,100850,100700,99800,99650,99850,100000,95000,93500,96150,100425,102975,105600,106475,107650,107950,110075,112400,114200,108350,107950,111050,111575,113175,116750,118250,118800,117850,117300,117000,117000,115500,114950,116350,117800,119175,122275,123000,122375,121400,122075,122200,121400,115475,113575,115900,118750,120850,124200,125250,124050,122875,122250,122075,122250,120925,121700,125225,127425,128575,131850,133100,132550,130975,130225,130000,130750,129775,128700,129825,130725,131825,134775,136250,136900,136675,135575,136050,137625,135200,134050,135950,137075,139225,142400,144400,143250,141275,140225,140250,141675,138125,137100,138225,141125,144050,148300,149925,149225,148300,149000,148700,149300,147200,146750,148200,150050,152850,156900,159250,160000,159500,159650,160350,159850,157300,155600,157500,159250,162500,169250,169500,168700,166350,164450,163800,164350,159850,157500,161700,164500,167550,173075,175725,175800,175150,172500,171750,170700,167800,167250,168550,168700,171300,175100,174900,175250,171050,168850,166350,166700,163125,161524.5,164077.15,162797.35,163250,166735,168100,166100,162800,160700,158900,158800,161800,158900,158850,159750,162350,165550,169100,170075,168425,165700,164700,163000,161425,156800,157550,160500,164950,170500,170975,171500,164000,160800,159200,158975,150075,149550,153850,158150,162700,166925,169325,168000,163500,159250,163475,162200,158500,154350,158625,164275,171400,176800,180400,179950,175775,171975,170300,172500,169250,166500,167500,171750,178000,181425,181285,177890,173250,170000,169975
"New Jersey",136930,137820,143075,146575,148145,146630,144607.5,141857.75,140474.75,140000,138500,136950,136600,138565,142710,146675,148300,146575,145350,142925,143550,145865,144035,142550,143842.5,146394.75,148697.75,152700,156600,156550,158100,153250,150800,149700,150000,148000,147600,149700,151900,156350,160450,161375,158927.5,156372.5,155225,155750,156025,157075,158650,158665,161785,165950,170900,171250,170193,169215.1,167027.9,167600,167900,168100,167465,170280,177451.5,183968.5,188150,188870,184421.5,181688.5,183925,187172.5,187737.5,188500,189790,192125,198965,208570,213925,217750,216825,213250,215750,221750,220575,223235,226905,229535,232500,240750,247050,253700,255300,258950,257450,253500,250215,247135,248100,255250,264200,278800,280000,279600,276550,275600,277617.5,280582.25,279910.25,281425,285925,292025,304600,314650,322250,326100,324747.5,322933.25,323514.25,322050,323250,321750,324609.5,326701.65,331457.85,340950,342350,339315,332885,329410,328090,327500,327400,323675,325625,330196.5,333782.55,342363.95,345250,343250,335750,330500,324300,321200,317500,317100,315945,315405,320000,328500,331000,328125,315662.5,309462.5,303550,293700,289750,289750,289217.5,291600,297875,307300,312850,306700,297250,289000,285750,282500,283250,283250,283511,287500,293750,305650,312600,310237,299035,290003.5,290023.25,287750,286050,277500,277250,279000,287200,297350,298200,290975,278200,265875,263275,257610,252850,250000,257875,264694,273900,285850,292750,289000,278173.3,270375,266450,266550,260875,259375,260500,269625,281500,299375,308375,306725,294850,280300,277425,274575,267200,266300,268150,274850,283500,301000,309750,307700,295175,285175
"Virginia",116999.5,121314.65,128384.85,129365,129710,128125,127450,127500,127850,130000,129150,129675,129895.5,132591.85,135866.15,138870.75,140711.75,139635,137040,136425,137085,134224.25,130985.75,132035,134425,136775,141700,146167.5,148457.25,144460.25,140350,139300,139200,137150,136100,137650,139260,141390,144765,149060,149825,147450,144600,144300,144700,143991,144293.7,144584.8,144921.25,147966.25,152600,154500,154975,152425,150750,151750,153200,151907.5,150592.5,151250,153850,156457.5,161192.5,164450,166350,163350,161050,161500,164000,166015,165835,167800,168750,173450,180010,184390,186800,186165,185597.5,185113.75,190048.75,191000,190250,191357.5,195295.25,202987.25,212875,220815,226735,225200,218165,212485,214800,214400,209725,212625,218050,229400,244100,252450,255000,252500,254750,257800,261650,262870,259138.5,263426.5,272557.5,287917.5,302917,313736.9,313530.1,309350,303600,300400,299650,299350,295150,294450,294075,294725,297350,298750,294650,291350,290950,290165,292435,288600,284650,282300,283000,283700,292000,295100,290750,283950,280665,274700,280810,263575,253250,248750,252350,256750,266750,269250,267550,257950,249250,243900,246300,243245,235111.5,234633.5,237500,234946,239500,240875,242375,244375,235058.5,227350,225750,223500,221000,222650,228850,234480,239250,255447.5,261600,258300,249875,247850,247200,241185,237452.75,238225,238987.15,244015,252912.5,256074.85,252450,239875,226721,225292.3,225346.7,222415.55,200465,213800,228375,241900,250650,253100,248892.5,248310,237189.35,237884.45,237075,222975,222424,231106.8,243232.2,257985,276650,283100,285375,279975,276650,274612.5,277978.75,269608.75,266940,273660,285110,294690,303875,303500,296500,284000,274750,270750
