"RegionName","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",9045,9655,9739,9800,8921,9727,15947,17961,17973,17339,25651,32199,35815,38436,27354,28250,25616,31078,38308,41791,45430,46531,42801,47784,53308,58749,62198,64148,66566,66867,75895,75895,82937,82704,94311,105918,92192,66169,76512,78013,83392,80464,90732,58157,61448,77386,61060,65572,65969,62902,74255,62893,60325,64679,62395,58312,60492,58373
"Texas",2008,2994,3342,3570,3217,3769,20232,21196,21794,21470,26118,28700,36205,38244,17719,17111,16482,21293,28232,28162,34634,44325,41097,50473,50141,54537,56329,49222,49165,50376,57090,56858,75663,64477,79340,119047,85444,52982,61577,72006,75676,74351,66147,45834,48894,53083,44918,43774,47517,43764,54392,48476,45606,48394,51494,48910,49251,47325
"New York",10971,15602,17495,18291,17276,17529,17862,19755,20383,19714,31374,38534,55366,78556,57506,57603,50939,49678,79535,63994,63785,72640,69742,83799,84329,106709,111209,102715,114118,114417,119135,118352,127336,123796,163882,184171,179355,135143,162538,172052,160907,176478,167429,140787,204588,198410,189779,190899,213847,198828,265970,233253,229645,122463,113461,106844,105624,102235
"Florida",18472,23012,23649,24573,22084,24765,28155,36075,35535,32561,48115,58114,85911,92036,69337,67604,61988,69569,81048,83952,87943,90670,87641,88662,92572,95687,95356,99012,104425,101434,112554,110311,110629,109769,122734,139747,134002,113224,125455,128456,131030,141602,138276,114971,121128,145615,116573,121130,113935,96704,112464,105673,104265,109009,105883,105650,101911,92722
"Illinois",2608,3407,3890,3907,3682,4196,7010,7680,6866,6775,11337,16925,23053,28684,23777,23626,17027,27178,35172,32073,33015,34460,31170,35780,37826,41402,31879,37420,39765,38072,39129,36898,43293,39428,44516,45500,42672,36615,43897,40304,43841,48475,44631,37733,38510,46730,37852,33728,33697,34742,49067,43379,41588,47492,40259,41490,38957,35449
"Pennsylvania",1006,1403,1620,1558,1492,1872,4452,4728,4913,4848,6900,8055,9061,9348,5392,5403,5256,5782,6695,6785,7853,8937,8509,9929,10466,10882,10792,10799,11736,11335,11778,11458,12065,11957,13738,14857,13612,10220,12074,13171,14817,14583,13249,11195,11992,16070,12482,13144,13464,12479,15923,14431,14982,16449,15836,15179,16365,16616
"Ohio",254,343,399,398,359,428,3105,3269,3348,3343,4432,5070,5602,5626,2132,2166,1945,2515,2855,3340,4835,5793,4830,5313,5572,5464,6366,6928,7066,7305,7293,7573,8715,8317,10175,12229,10210,7443,8579,8582,9170,9015,8747,6843,7173,9706,6496,8110,8577,7649,9178,7195,7161,8295,8448,8177,9324,9770
"Michigan",1213,2070,2005,1812,1782,1816,4092,4238,4365,4251,4859,5275,6335,6582,3574,3592,3272,3860,4395,4756,14643,17203,12978,12771,13015,12638,11945,11566,13492,13575,13104,13103,13841,13846,19900,26547,16660,11585,15839,14039,14064,14085,13411,9597,11072,11328,9933,10235,10212,9902,9937,9003,8728,9871,10110,10423,11335,12956
"Georgia",2610,4226,4351,4534,4313,5623,8831,10608,10073,9795,11526,12354,13566,13501,8277,8744,8453,11049,12793,13096,15966,18950,15875,18830,20330,21703,22407,21989,21879,21806,28786,25988,25787,26427,32214,38135,35141,24631,27931,30531,30298,27875,29674,20834,20583,23509,20776,22431,23192,22018,22970,21683,20969,21621,21250,20167,20450,19413
"North Carolina",2265,3235,3394,3572,3383,4001,6744,7159,6944,6750,8402,9344,11350,11909,7816,7875,7319,9167,9982,10141,11063,11793,11030,12043,12121,12412,12496,12986,13686,13583,15654,15702,17001,17036,18926,21340,22312,15892,17023,18364,20873,19695,19123,15743,16636,18315,16066,17226,17674,16974,18376,17491,17889,18990,18922,18476,19093,18775
"New Jersey",1741,2304,2583,2586,2309,2922,5094,5753,5938,5658,8653,9361,12387,13362,9162,9153,8094,9045,10668,10924,11336,14172,13526,14322,14814,16071,16575,16283,17170,16457,17029,17167,17198,17015,18406,20753,19257,15751,17509,18030,16391,17921,16787,13938,14381,17538,14261,15184,14971,13310,16387,15803,15812,17778,18252,17897,19061,18605
"Virginia",3060,4648,5075,5263,5028,5910,9662,10445,10375,9638,10823,11754,12310,12744,7806,8250,7461,8823,9848,9791,10683,13505,12678,14892,14788,16447,16407,17744,18923,18902,20554,20404,22401,23188,23603,24279,22706,13826,18151,18914,19687,18766,18312,15048,15764,18100,15693,17085,16660,17145,21816,20117,20530,21629,22144,21202,21406,20909
"Washington",340,1081,1139,1217,1357,1446,2939,3007,3025,2908,4664,5510,5609,6108,4015,4283,3906,5177,7311,8390,9700,10300,9191,9949,11282,12666,12730,12605,13961,14131,15150,15326,16608,16959,19650,23085,18154,11093,13992,15264,15869,15463,14820,10872,11221,13840,11682,12285,12082,11495,14572,12592,13283,14240,14580,13566,13825,13014
"Massachusetts",184,259,278,306,364,409,1938,1974,2080,1950,4460,10844,12025,15384,19132,20254,13325,14944,15423,12101,11682,12731,13918,18346,23334,26484,50888,80804,36552,27146,29798,27070,29683,29314,32976,34906,37339,26420,33994,37201,38255,43373,40535,30270,29671,34591,31365,43737,44878,40141,63044,50410,50197,58516,57087,43389,34944,33255
"Indiana",215,282,322,341,323,336,2069,2181,2269,2264,2867,3154,3275,3314,1256,1167,1045,1613,1902,2226,2742,3195,2801,3030,3315,3182,3163,3139,3329,3457,3954,4175,4939,4997,6113,7028,6022,4329,5248,5118,5692,5669,5473,4752,5098,5983,5051,5437,5733,5233,5591,5122,5100,5973,6308,6212,6705,6878
"Arizona",2979,3929,4101,4196,5369,5961,8030,9563,9534,9174,11662,13179,14541,15062,10821,11068,10307,13872,16608,17782,18894,19778,18576,20279,20491,21781,22373,22907,24184,24543,26953,27480,28948,28696,31886,36410,31655,23547,26517,29042,30010,28534,30879,22619,22501,24022,19642,19978,19158,18001,19550,19205,19214,20020,20537,19212,19293,18269
"Tennessee",576,835,835,614,539,615,2139,2302,2407,2412,3020,3381,4310,4457,2589,2372,2256,2728,3031,3199,4153,5644,4941,5991,5437,5419,5196,5484,5765,5861,6384,6693,7484,8061,9321,11326,10003,6291,7577,8691,8846,7720,7395,5931,5956,6247,6032,6301,6746,5975,6357,6300,6358,7015,7257,7160,7726,7681
"Missouri",231,319,314,341,339,344,1687,1724,1736,1676,2956,3523,4204,4422,2569,2526,2211,2516,3253,3525,4428,4895,4550,5210,5004,4995,4440,4349,4681,4709,6226,6870,7151,6840,7857,9137,7343,5626,6694,6797,7584,7724,7509,6575,6582,8277,6881,7497,8046,7387,8323,7734,7177,7615,7502,7731,8092,8043
"Maryland",1878,2666,2776,2862,2637,3404,6122,6637,6572,6544,7324,7728,8351,8190,4126,4329,4036,5185,5711,5615,6831,9947,8801,10928,10987,12043,13523,14199,14280,14363,17154,17476,18526,19415,18657,19300,16268,9590,12579,14276,14691,13390,12433,9623,10187,12147,10112,11423,11882,11661,15343,12681,12719,13818,14753,13039,13626,13322
"Wisconsin",51,66,72,69,70,87,1448,1485,1513,1507,1994,2308,2649,2684,764,783,619,952,1217,1235,1583,1729,1491,1378,1581,1843,1938,1809,2034,1811,1706,1746,1739,1662,2365,3063,2282,1519,2069,2200,2337,2340,2265,1703,1923,2619,2182,2189,2040,1885,2527,2477,2385,2663,2722,2643,3028,3355
"Minnesota",50,70,94,102,130,146,2578,2657,2788,2796,4258,4993,5258,5408,2529,2477,2297,2892,3558,3715,4772,5084,4246,4842,5513,5861,5744,5839,6060,5909,6084,6313,6778,6993,7440,8708,6772,4495,6100,6278,6639,6917,6083,5652,5985,7240,5420,5460,6246,6208,7907,7556,6959,7602,7907,6520,6659,6768
"Colorado",325,616,675,730,925,1101,3136,3586,3632,3396,4099,4877,4772,4753,2167,2439,2481,3829,4548,5032,5651,5683,5134,5981,7447,9085,8843,8673,9057,9148,9765,10441,11071,11895,13999,15745,13559,8122,10813,12405,13783,10741,9576,7059,6921,7597,7170,8073,8115,7996,10664,9839,9962,10653,10097,9145,9161,8529
"Alabama",80,200,437,551,576,601,1590,1648,1612,1599,1892,2035,2302,2427,1256,1328,1205,1513,1766,1922,2153,2530,2374,2546,2404,2492,3432,3548,3502,3825,4382,4369,4678,4474,5392,5916,5235,3935,4633,5291,5828,5621,5252,3661,4000,5103,3775,4370,4730,4463,5111,4336,4110,4334,4588,4339,4596,4812
"South Carolina",819,1180,1199,1192,1129,1276,1892,2029,2003,1955,2620,3129,3573,3625,2389,2289,2028,2580,2798,2997,3587,4178,3761,4267,4486,4417,4041,4078,4354,4452,4444,4531,4884,4701,5547,6857,6264,4031,4973,5329,5519,5278,5043,4104,4527,5560,4419,4725,5061,4957,4890,4411,4357,4948,4711,4376,5193,5230
"Louisiana",106,141,154,146,139,248,1225,1253,1226,1210,1489,1569,1605,1668,583,586,541,778,1034,1113,1262,1501,1391,1492,1677,1859,1818,1828,2076,2189,2263,2363,2234,2217,2589,3113,2593,1752,2182,2502,2893,3236,3118,2222,2272,2724,2144,2225,2346,2130,2453,2286,2382,2607,2684,2750,2880,2844
"Kentucky",70,100,108,110,132,154,724,743,798,786,995,1080,1205,1210,549,556,450,764,894,1192,1459,1850,1582,1950,1953,1981,1998,2173,2335,2313,2582,3550,2913,2750,3288,3922,3312,2143,2737,2906,3017,2577,2466,1746,1910,2469,1819,2309,2549,2449,2686,2316,2252,2726,2649,2445,2621,2621
"Oregon",62,210,221,232,278,304,902,956,1021,1023,2207,2983,3113,3190,2051,2254,1928,2578,3049,3733,3950,3985,3650,4056,4306,4804,4794,5260,5885,6046,6583,7681,6601,6796,7205,8255,7265,5600,6301,6619,8455,6870,6870,5411,5159,6032,5244,5604,5367,5439,6510,5818,6323,6549,6136,5741,5562,5113
"Oklahoma",35,54,68,96,76,68,820,838,834,856,1020,1123,1140,1149,295,306,326,507,722,801,1040,1268,1226,1251,1392,1464,1616,1822,1769,1941,2459,2229,2510,2496,2986,3575,3051,2331,2835,2911,3115,2961,2881,2129,2539,3079,2715,3161,3387,3465,3955,3518,3767,4399,4556,4204,4490,4428
"Connecticut",1482,2012,2290,2260,2145,2795,3801,3925,3993,3919,4615,5129,5445,5676,3936,4000,3687,4415,4916,5076,5361,5589,5338,5524,5744,6229,6556,7618,7714,7894,8040,8110,8090,7844,8021,8719,7830,6430,7065,7345,7646,8228,7600,5892,6399,7499,6030,7052,6534,5912,7749,6868,6618,7644,7628,7124,7362,7977
"Iowa",,,14,16,30,41,501,503,505,508,661,710,765,777,241,251,181,280,308,336,418,503,477,512,584,628,680,728,851,860,935,833,871,892,1097,1391,1165,863,1033,1038,1108,1001,933,745,1022,1268,946,1036,1282,1145,1236,1019,1055,1322,1306,1171,1338,1591
"Mississippi",45,51,51,56,80,80,447,450,461,474,621,706,758,777,335,330,331,410,454,416,706,935,716,892,899,998,961,847,943,1018,1050,1073,1347,1308,1639,1917,1575,876,1294,1494,1426,1235,1140,830,991,1226,1002,1140,1224,1006,831,828,834,982,1147,1165,1277,1244
"Arkansas",260,286,300,272,291,345,664,702,692,661,765,892,987,952,420,452,470,646,789,774,1034,1211,1190,1382,1219,1158,1119,1165,1326,1316,1434,1400,1506,1420,1812,2252,2034,1261,1612,1804,1990,1688,1680,1870,1477,1763,1594,1805,1713,1634,1790,1673,1640,1854,2114,2036,2242,2169
"Kansas",17,19,21,22,24,47,790,785,792,851,1177,1297,1446,1444,523,602,523,807,947,948,1037,1087,1018,1234,1384,1345,1349,1300,1469,1356,1558,1696,1861,1829,2401,2717,2423,1722,1973,2092,2542,2575,2164,1716,1689,1948,1640,1909,2148,1974,2340,2121,1943,2106,2198,2330,2539,2398
"Utah",15,33,40,43,44,46,551,563,562,578,678,731,768,777,328,385,408,675,806,1035,1085,1113,1073,1625,1926,2012,1969,2021,2029,1993,2284,2144,2132,2016,2247,2528,2230,1715,2059,2393,2846,2351,2581,1967,2111,2266,1891,2083,2044,2065,2602,2570,2460,2617,2558,2330,2413,2375
