"RegionName","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",43.66,41.88,40.51,38.87,39.11,35.82,33.79,32.74,30.58,28.45,25.68,24.95,23.72,22.73,21.1,18.91,17.47,16.19,16.68,16.36,16,14.75,15.4,14.98,16.08,16.65,15.94,15.73,15.74,15.97,15.47,14.48,14.68,16.04,14.42,12.76,12.41,11.92,11.67,11.86,10.99,10.18,9.7,9.23,8.95,7.97,8.36,7.45,7.49,7.81,8.5,9.53,10.86,11.95,12.86,14.29,16.84,19.7,21.69,20.93,21.58,20.97,18.71,15.19,12.36,10.02,5.58,4.95,4.63,4.16,4.09,4.09,4.14,5.23,6.75,8.2,8.86,8.24,7.12,6,5.17,4.32,3.37,2.94,2.74,2.19,1.72,1.45,1.17,1.13,1.13,1.12,1.2,1.31,1.35,1.61,1.84,1.99,2.57,3.44,4.15,4.54,4.1,3.86,3.8,4.78,5.76,6.31,7.77,11.33,14.56,18.56,23.77,31.9,41.41,50.81,57.49,62.63,65.17,67.25,67.56,70.08,70.55,74.14,76.73,77.52,78.81,81.12,84.01,85.65,89.19,91.11,92.71,93.79,94.58,95.13,95.25,95.26,96.06,95.79,95.97,96.64,96.07,95.69,95.76,94.73,94.82,93.04,91.43,89.11,85.24,81.32,74.73,65.74,60.51,53.59,50.97,47.26,42.49,42.22,44.36,46.1,48.73,52.26,58.62,63.25,65.5,68.16,72.09,75.56,76.25,78.46,78.39,78.1,77.24,78.09,75.99,75.04,74.29,70.94,68.48,63.4,56.09,48.7,43.56,36.12,34.02,24.16,18.93,15.16,13.3,9.24,7.82,5.42,4.51,4.64,3.5,3.23,3.05,3.03,2.99,3.2,3.77,4.01,4.9,5.08,5.25,7.07,9.38,11.55,13.56,15.57,17.64,18.92
"New York",45.21,43.35,39.71,44.67,38.51,35.5,37.65,37.03,37.04,35.7,37.63,41.9,37.05,39.22,40.12,36.77,40.65,34.9,33.53,32.56,32.35,34.11,31.89,27.18,30.74,29.67,29.8,30.84,31.49,27.06,26.67,27.25,26.25,26.14,27.45,29.8,27.43,27.45,24.48,23.74,25.32,25.32,24.24,23.78,23.79,22.4,20.93,22.91,22.3,20.7,22.03,22.95,23.09,22.13,22.01,22.48,22.31,22.38,21.45,22.1,22.14,21.91,22.79,22.7,20.16,20,14.99,21.51,15.57,15.29,12.82,15.94,13.11,14.71,16.79,18.15,19.35,18.15,12.25,13,13.92,17.51,22.76,22.43,25.45,20.57,19.03,16.2,14.6,14.33,20.49,16.26,19.26,16.76,16.24,14.35,12.65,16.97,13.88,16.45,16.21,15.42,16.55,14.4,11.94,12.91,13.98,17.22,15.89,15.48,17.65,18.94,20.69,22.78,26.24,31.45,36.33,38.44,42.88,41.83,43.77,43.48,44.92,42.91,45.23,48.73,46.97,48.62,49.19,52.99,52.03,52.4,56.25,57.34,58.9,61.88,63.93,62.48,64.58,65.77,67.34,66.29,68.45,73.35,73.58,73.11,73.26,68.36,67.13,65.75,62.83,61.67,58.33,55.06,54.46,48.69,44.92,43.74,41.5,41.59,40.64,48.6,54.4,53.08,55.81,57.27,57.06,56.43,61.64,61.57,61.36,65.83,64.64,56.97,55.39,56.37,57.16,59.38,56.14,58.01,54.17,54.34,55.28,52.4,49.82,47.77,50.13,44.75,42.05,35.13,36.45,38.91,37.49,36.24,34.68,35.13,30.38,28.98,27.02,26.63,27.47,28.33,29.72,28.55,27.5,28.69,28.37,32.1,33.57,34.71,35.72,36.27,36.35,36.03
"Florida",38.78,37.4,37.05,38.69,36.29,35.14,34.91,35.92,33.17,32.61,31.52,30.11,30.41,30.85,30.89,29.23,28.6,27.66,26.46,25.19,26.49,26.45,27.14,25.25,26.17,24.75,25.9,25.03,25.02,23.67,23.54,23.13,21.89,22.71,20.09,20.73,19.48,19.38,17.82,17.77,17.36,17.7,17.27,16.44,16.53,15.57,16.24,15.62,14.89,15.55,14.98,14.16,14.4,13.54,13.07,13,12.44,12.87,13.3,12.99,13.94,13.41,13.87,13.37,13.12,12.27,8.57,8.71,8.26,8.16,7.64,7.68,7.66,7.78,7.23,7.09,8.25,7.99,6.89,6.78,6.76,6.82,6.04,5.9,5.48,5.03,4.5,4.3,3.68,3.16,2.79,2.45,2.37,2.36,2.1,1.84,1.73,1.5,1.38,1.18,1.09,1.1,1.12,1.21,1.33,1.28,1.49,2.08,2.11,2.97,4.08,6.55,11.18,16.48,24.89,35.09,43.23,50.07,56.49,61.13,64.92,71.56,74.31,76.57,81.13,83.09,86.02,87.23,88.78,90.68,91.9,94.38,95.29,95.52,96,96.53,95.7,96.51,96.22,96.56,96.1,96.88,97.03,96.4,96.28,95.76,95.72,94.41,94.58,94.03,93.52,91.56,90.15,85.62,83.92,81.14,79.22,75.94,70.5,69.82,69.38,70.75,72.59,74.83,74.58,78.61,76.52,77,74.67,78.68,76.29,75.72,76.63,72.66,69.02,68.17,66.5,63.38,60.44,57.1,55,47.3,46.12,43.6,37.93,34.21,36.21,30.7,28.41,25.51,27.99,21.88,19.99,17.11,15.94,17.23,13.46,12.27,11.48,11.43,10.65,10.12,10.63,9.98,9.86,10.07,8.99,10.72,11.75,13.1,14.25,15.33,17.13,18.05
"Illinois",40,35.9,38.16,37.51,37.64,36.97,37.17,37.2,36.16,37.42,36.29,35.06,36.33,35.27,35,36.02,34.77,33.15,29.72,28.28,29.74,28.57,27.36,26.98,27.42,28.74,27.36,25.74,25.35,24,23.28,22.03,22.54,20.06,19.84,17.92,18.56,19.6,20.26,19.93,20.23,19.27,18.42,18.38,17.59,18.25,18.71,17.98,18.24,17.66,16.81,15.86,14.9,14.97,14.66,14.29,14.57,15.14,15.71,16.77,18.49,18.15,20.11,20.38,20.67,19.29,14.68,14.55,14.32,14.53,14.49,12.91,13.47,11.79,13.11,12.87,9.67,15.36,14.86,14.9,14.72,14.53,15.32,16.89,17.22,19.77,15.61,15.87,33.7,14.29,14.26,15.35,15.37,14.93,14.99,14.21,12.12,13.23,12.52,11.93,10.88,11.26,10.32,10.11,10.07,11.06,11.36,11.01,13.08,12.22,12.99,13.08,14.67,15.79,19.64,21.99,24.3,28.29,30.25,30.42,31.47,36.45,40.86,44.7,45.37,45.98,49.08,50.56,55.28,55.44,61.97,64.78,67.87,64.98,70.94,64.39,67.13,66.67,65.94,67.79,62.48,73.26,77.43,80.44,79.91,79,75.32,77.36,74.43,74.47,74.34,72.43,80.92,75.24,67.16,74.53,74.1,74.62,70.16,69.59,68.58,71.44,73.46,76.99,78.55,82.32,81.38,79.9,81.66,83,83.02,84.55,85.18,81.69,79.84,78.99,78.83,78.12,79.3,77.56,77.62,70.98,67.75,63.42,61.22,59.93,63.48,53.98,55.05,48.84,41.28,42.57,40.82,42.11,39.27,40.49,30.02,27.79,25.77,25.2,24.19,23.03,23.51,22.27,23.36,22.17,23.11,24.84,26.9,29.72,31.65,33.06,34.66,35.91
"Pennsylvania",43.04,42,43.05,44.66,42.06,41.49,44.1,39.67,36.62,33.72,34.52,39.24,37.4,34.75,33.71,30.17,33.94,33.8,31.5,31.99,31.42,30.42,31.23,29.12,29.16,34.36,33.56,36.54,32.79,30.59,31.18,31.82,30.59,32.21,30.09,31.36,32.88,28.98,29.64,27.46,27.91,26.7,26.58,24.98,26.72,25.07,26.22,25.72,28.13,29.37,26.4,26.81,27.7,28.61,27.55,27.46,28.37,28.02,27.14,25.58,24.78,24.1,24.28,24.89,22.52,20.08,19.49,20.37,17.99,20.86,17.94,21.73,21.34,19,19.5,17.76,16.98,16.79,17.41,16.65,16.69,17.04,18.72,18.99,17.61,19.17,17.44,18.28,17.57,15.42,16.14,15.79,16.03,16.23,15.67,14.09,13.7,13.52,14.53,14.4,15.23,15.13,13.35,14.42,15.97,13.96,14.07,17.14,16.07,17,16.7,16.71,17.38,17.86,23.16,23.81,27.71,31.32,31.6,33.89,32.61,31.52,32.23,34.07,34.23,38.76,36.15,37.01,39.05,39.64,44.81,45.13,52.28,49.05,51.24,52.77,55.23,58.03,59.12,61.66,59.58,64.86,65.87,68.4,63.96,66.1,64.04,63.89,62.17,58.26,56.66,56.23,53.87,45.28,45.69,42.27,43.47,44.14,42.07,42.01,43.42,52.77,58.14,57.59,61.59,67.73,62.34,60.46,62.72,65.9,70.01,69.34,70.56,66.03,62.01,64.24,61.81,59.95,61.29,60.99,55.53,54.24,53.17,53.45,52.16,47.51,53.31,43.55,43.64,43.02,38.55,39.7,38.55,32.48,31.44,32.43,33.98,33.5,32.78,33.75,33.74,33.5,30.8,29.11,31.72,28.33,28.23,29.74,31.87,33.13,34.27,35.15,36.59,37.59
"Ohio",26.04,26.09,26.08,26.66,25.6,27.57,28.28,30.49,25.12,24.45,23.6,26.01,26.83,28.43,26.67,26.54,25.65,24.88,25.14,23.55,24.03,24.55,24.02,20.4,23.17,24.09,23.22,22.21,21.43,21.62,20.89,19.68,21.95,22.61,23.06,25.06,22.71,21.64,22.61,23.17,23.81,23.92,25.96,25.08,25.24,26.33,26.57,27.13,30.33,28.93,31.18,30.81,30.36,29.44,27.09,28.44,28.91,27.33,28.37,27.03,26.76,27.64,28.9,29.02,26.94,26.04,26.82,27.2,26.11,26.41,25.63,24.69,23.85,25.57,22.64,22.81,23.49,20.42,21.44,22.39,21.85,24.26,24.51,27.18,26.03,25.71,26.14,26.7,26.79,28.15,28.64,27.36,26.91,26.55,26.3,26.27,27.23,26.51,27.32,26.87,23.6,25.48,25.57,25.29,27.03,26.6,30.2,33.72,33.83,34.64,35.61,38.07,41.4,39.99,43.36,44.33,46.8,50.31,51.12,50.44,49.86,52.3,52.3,52.03,54.33,57.8,55.39,60.55,61.46,60.65,60,61.9,68.26,69.77,69.97,67.78,66.28,67.75,71.13,71.25,73.38,78.62,82.92,83.88,82.65,78.66,78.37,74.34,73.45,71.84,71.22,65.16,60.73,55.29,53.26,48.66,50.42,48.16,47.17,47.42,50.41,65.24,63.67,66.95,72.63,75.48,72.41,71.18,73.21,74.73,74.75,75.26,75.96,64.53,65.98,65.62,63.37,58.07,60.95,56.83,55.23,48.73,49.73,49.59,48.05,44.85,48.85,41.41,34.99,37.14,33.86,32.75,34.23,32.68,32.24,34.3,29.57,27.12,26.39,27.35,27.49,27.14,26.81,25.96,26.27,23.76,24.81,25.91,28.69,30.57,32.15,33.34,34.35,35.6
"Michigan",26.03,25.6,34.72,32.21,32.93,29.08,28.07,28.78,30.19,31.82,31.09,29.58,29.78,30.2,25.7,26.14,25.32,25.11,23.38,21.75,20.61,21.33,22.91,21.41,22.36,24.44,27.69,24.71,22.65,21.82,22.26,21.46,21.7,20.66,21.06,19.47,20.35,19.41,20.46,23.88,23.62,25.41,23.88,25.03,26.74,24.56,26.24,27.65,28.4,28.69,28.56,23.23,26.78,24.97,25.94,25.53,24.87,25.6,28.47,28.22,31.4,31.35,31.52,34.14,33.39,31.7,27.83,28.3,26.12,28.6,31.77,29.38,26.42,27.64,25.51,24.87,26.6,26.78,25.9,25.36,24.58,25.89,23.88,25.36,27.12,28.85,30.96,30.96,28.89,29.81,30.82,30.62,31.8,31.06,29.69,31.19,31.47,32.99,27.14,30.22,31.83,31.67,32.18,35.22,33.94,33.64,37.86,39.26,43.02,40.31,47.09,46.85,50.63,52.48,56.03,57.07,63.18,64.2,63.45,62.93,60.75,62.91,67.73,69.84,69.16,67.74,69.25,73.04,75.98,78.59,78.48,76.82,81.09,81.57,84.09,85.09,83.82,86.03,86.01,85.61,85.61,86.65,90.31,89.1,87.49,87.64,87.29,85.57,85.42,84.35,82.17,82.5,79.65,72.39,68.18,70.86,73.28,68.21,60.99,60.8,59.89,66.35,65.24,64.8,67.54,71.54,69.69,64.28,63.37,64.64,66.95,66.29,69.73,63.1,65.47,61.94,59.65,57.36,55.93,54.94,52.02,48.68,43.79,41.54,37.34,34.78,37.16,32.44,29.63,28.7,27.84,28.38,27,20.22,19.2,18.3,20.1,19.36,18.44,17.94,17.63,18.75,19.58,19.43,19.92,20.55,21.78,24.08,26.6,28.15,29.59,31.25,32.76,33.41
"Georgia",28.46,28.55,27.48,29.55,26.3,25.96,24.4,25.05,23.53,24.47,22.57,24,24.73,25.07,23.23,21.54,23.17,21.91,20.93,19.45,20.25,21.68,22.26,16.43,17.89,18.97,17.72,16.9,16.21,15.88,15.7,15.99,16.94,14.3,16.55,15.85,15.43,15.58,16.68,18.58,17.61,18.76,18.35,18.47,19.52,21.28,20.03,23.59,21.87,21.89,22.71,22.23,21.48,21.87,21.43,21.82,22.35,22.95,25.01,24.08,24.35,25.41,25.14,25.74,25.98,26.07,23.53,24.84,23.03,25.87,25.44,25.14,26.09,26.68,24.63,25.26,26.38,25.98,25.07,24.98,28.2,26.52,26.84,29.13,28.76,26.02,27.14,26.28,26.18,25.22,26.5,26.9,25.89,25.83,23.83,24.22,21.25,24.44,21.34,20.75,21.02,20.76,19.84,19.95,20.26,19.84,20.51,19.86,20.91,19.44,20.13,22.01,20.52,21.58,23.15,24.82,26.05,28.72,35.96,42.1,40.27,34.54,36.44,35.98,39.08,41.29,46.59,50.49,55.46,56.92,55.9,52.74,56.47,64.45,64.85,70.09,70.24,73.37,75.24,74.38,71.81,79.3,80.23,82.34,81.37,81.13,81.92,79.99,77.21,77.56,70.8,71.37,67.58,61.76,60.11,53.23,58.88,61.3,57.44,55.57,61.2,63.01,70.57,70.34,70.85,73.28,71.57,72.82,74.05,74.21,76.78,76.92,77.63,74.23,73.07,72.44,71.73,71.54,71.41,73.17,71.51,65.6,63.74,62.19,57.81,53.01,60.21,53.74,47.15,42.7,36.5,38.5,36.3,33.36,32.3,33.42,26.4,24.79,23.73,23.12,21.91,21.53,21.76,22.02,22.87,22.17,17.65,17.89,19.67,20.72,22.29,23.35,24.89,26.44
"North Carolina",26.05,26.21,29.09,27.96,26.6,28.74,26.04,25.98,23.97,22.07,22.82,26.46,24.38,24.72,27.38,26.57,25.77,24.96,25.6,25.15,27.63,28.66,26.39,24.55,27.14,28.7,27.43,26.39,25.86,25.85,28.18,29.58,24.99,25.84,26.31,27.34,25.26,25.14,25.41,27.05,26.78,28.73,27.38,25.54,28.08,28.08,28.95,28.57,30.65,30.44,31.26,31.9,32.96,32.16,31.84,36.53,37.39,37.82,36.23,36.37,37.89,39.65,40.08,39.89,39.37,39.56,34.58,31.56,32.88,32.34,32.4,31.99,34.21,32.01,29.24,28.4,29.25,29.62,26.89,28.19,28.03,26.25,27.18,30.37,27.77,28.75,28.54,26.87,25.62,24.86,26.31,25.01,24.3,26.14,24.86,23.83,22.05,21.01,21.52,21.78,21.66,20.72,19.11,19.65,20.66,19.64,19.38,20.48,22.56,21.62,21.2,20.03,18.76,20.94,21.55,22.27,21.89,22,26.42,30.72,27.89,24.91,24.61,25.33,27.73,26.87,31.24,32.04,35.21,37.94,37.11,36.74,38.55,44.79,47.47,48.38,49.77,51.25,51.67,55.05,56.39,59.68,63.71,67.55,66.73,64.77,68.03,67.46,65.57,66.88,67.63,64.97,61.63,58.87,58.31,55.82,59.44,58.15,53.37,57.86,62.24,67.43,65.77,68.1,71.54,68.05,68.45,67.81,68.9,71.62,71.05,70.2,65.4,62.27,61.21,61.67,62.48,66.29,62.1,58.41,56.28,53.21,51.96,51.57,51.53,45.77,52.49,46.43,47.44,44.4,37.83,42.33,39.76,38.08,38.48,36.12,32.21,31.13,31.12,31.08,30.98,29.96,30.87,30.95,28.57,29.91,28.48,29.95,32.04,33.66,34.83,35.49,36.12,36.37
"New Jersey",42.41,42.38,38.51,41.78,42.65,43.17,41.24,39.95,40.29,36.08,36.54,37.06,35.95,37.71,36.33,33.99,36.51,30.78,30.4,28.71,30.04,31.91,29.49,28.76,29.9,28.1,29.05,27.93,25.67,26.4,26.03,23.5,24.02,21.03,21.16,19.88,20.24,19.6,18.65,18.59,17.89,18.22,17.7,19.58,18.99,19.71,18.72,17.88,16.51,18.68,18.99,19.61,20.25,19.72,19.45,19.94,18.71,20.45,20.95,22.85,25.46,24.56,25.46,24.72,23.99,23.22,6.68,5.87,5.88,6.05,5.51,5.26,5.76,5.58,5.03,5.26,5.19,5.55,5.7,6.34,5.99,6.87,6.55,5.84,5.6,5.19,5.12,4.61,4.43,4.09,4.35,4.41,4.11,4.59,4.03,3.94,3.83,3.51,3.33,3.08,3.26,3.35,3.15,2.94,3.07,2.8,2.94,3.99,4.48,5.79,7.43,9.52,12.18,17.94,23.91,34.34,42.28,50.4,56.28,59.22,61.35,61.65,60.56,62.35,62.34,61.77,65.69,66.06,66.01,64.66,68.55,66.35,69.46,74.1,79.28,80.16,82.89,83.74,82.92,82.88,83.25,84.82,87.07,87.24,85.87,85.97,87.94,86.9,85.38,84.15,80.85,79.12,75.87,70.19,64.56,65.21,63.07,64.43,56.23,55.62,53.23,59.06,65.02,68.17,74.06,76.79,74.17,77.36,79.75,84.09,82.89,82.79,84.46,81.5,80.47,80.3,77.99,82.55,81.74,81.91,78.74,70.86,70.03,69.15,67.91,66,69.23,60.41,55.34,49.28,43.35,39.45,41.67,42.86,43.33,38.67,39.6,35.5,33.04,31.39,29.49,27.6,27.74,25.29,22.45,24.58,21.65,21.38,22.18,23,23.82,24.45,26.05,27.98
