"RegionName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",98.4126,98.322,98.353,98.4005,98.5267,98.6085,98.6013,98.4618,98.4269,98.2892,98.2406,98.072,97.9673,97.9965,98.0543,98.1198,98.2157,98.3753,98.429,98.3416,98.3472,98.303,98.2713,98.0455,97.9559,97.9118,98.1412,98.243,98.2659,98.3866,98.4151,98.4256,98.4581,98.3886,98.3678,98.2699,98.0536,97.8224,97.7818,97.7748,97.7904,97.868,97.8593,97.8606,97.7927,97.5393,97.3159,97.0324,96.8199,96.805,97.0633,97.3163,97.5414,97.7003,97.7027,97.7106,97.5145,97.3395,97.2539,97.1013,96.6742,96.5332,96.6819,96.8903,97.002,97.1474,97.1398,97.2314,97.3563,97.2901,97.3695,97.4569,97.3407,97.2715,97.3088,97.4032,97.5467,97.6632,97.8065,97.7892,97.7649,97.735,97.6372,97.4631,97.3096,97.1737,97.3331,97.4822,97.6198,97.6675,97.6383,97.5153,97.5165,97.5572,97.5389,97.3285,96.7418,96.4038,96.2391,96.0949,96.2249,96.5728,96.6691,96.3873,96.2348,95.9674,95.6304,95.2533,94.7185,94.381,94.356,94.0361,93.6233,93.2756,93.0002,92.6572,92.5315,91.8243,91.2701,90.4581,88.5607,86.7423,85.4775,84.3064,82.6866,82.3237,82.0825,81.6117,80.1897,78.6711,77.0926,75.9494,73.0687,71.1069,70.9285,70.799,71.1142,71.4935,71.9563,72.0801,72.1744,71.6946,71.71,70.6658,68.4254,66.9889,67.0803,67.0799,68.4447,68.8228,68.5336,67.6914,67.4202,67.3878,67.1838,66.8672,64.9076,63.8321,64.32,65.7226,66.0702,66.567,67.0886,66.8966,62.061,60.4272,59.5984,58.7281,57.7472,57.3608,58.7011,60.589,62.6512,63.8258,64.3931,65.0026,65.2515,65.6586,66.3727,66.9496,67.5526,68.7938,71.246,73.6531,75.8654,77.9094,79.3874,80.7864,81.8103,82.4423,82.8285,82.3641,82.4146,82.9864,83.9316,84.7706,85.4625,85.8559,86.2346,86.4691,86.7496,86.7892,86.6943
"New York",98.9192,98.938,98.9755,98.9835,99.003,99.0528,99.0522,99.1227,99.0408,99.0102,98.9125,98.8339,98.7727,98.6619,98.591,98.617,98.6996,98.7009,97.6548,96.7949,96.5683,96.9027,96.7081,95.9768,95.2025,94.7118,94.5584,94.7512,94.691,94.7026,94.6825,94.7889,94.6174,94.3048,93.7896,93.523,93.4948,92.9638,92.9936,92.6312,92.5559,93.0982,93.8874,94.1768,93.8297,93.6233,93.6421,93.3137,93.0052,92.0474,92.0296,92.2284,92.8114,93.492,94.0159,94.279,94.2416,94.1115,93.9816,93.6147,93.0366,92.4792,92.3495,92.2867,92.6735,92.7828,93.114,93.7083,94.4811,95.0948,95.4256,95.3287,94.7381,93.9005,94.2738,94.9082,95.5687,95.7112,96.0033,95.8122,95.5937,95.2052,94.7894,94.6533,94.4402,93.6971,93.1432,93.0035,93.2708,93.845,94.4062,94.314,94.2847,94.0585,93.6593,93.1527,92.3621,91.282,91.3288,91.8768,92.6361,93.1909,93.4684,93.0016,92.2271,91.1783,89.8054,88.606,87.8321,86.9862,86.8743,87.3227,88.012,88.5287,89.083,89.0741,88.6075,87.8599,86.8167,85.5595,83.828,81.7251,80.8704,80.8323,81.8441,82.7884,83.9829,84.5136,84.3917,83.6726,82.9685,81.7839,79.8625,77.1806,76.0398,75.89,77.5526,79.6404,81.1984,81.8487,82.1065,82.0282,82.5045,82.3111,81.2412,80.2174,79.635,79.8276,80.8765,82.0216,81.9855,80.2109,78.7754,78.0378,77.956,77.5854,76.9768,75.6451,74.9969,76.0507,77.3075,78.6507,79.547,79.68,76.706,76.2787,75.328,75.0919,74.5783,72.9297,72.2615,74.7639,75.7996,76.7645,77.3743,77.2326,77.3643,76.6446,76.0471,75.8154,75.7176,74.5759,75.3511,76.2359,77.4481,78.514,79.5774,80.9008,81.5685,81.3832,80.6199,81.0496,81.2513,80.7273,80.4208,80.0319,81.0845,81.6918,82.2382,82.9954,83.3917,83.7191,84.459
"Florida",98.0327,97.8648,97.8555,97.9405,97.9948,97.9415,97.7691,97.6058,97.488,97.2853,97.0497,96.9033,96.7415,96.6085,96.6296,96.7829,96.7177,96.6851,96.7503,96.5262,96.1838,96.1143,96.0191,95.9112,95.7013,95.4589,95.6797,95.804,95.859,95.8773,95.8025,95.7475,95.7574,95.6917,95.5008,95.2938,94.846,94.6865,94.6396,94.9566,95.244,95.5838,95.5291,95.5537,95.4047,95.3475,95.137,95.0329,95.1855,95.2971,95.6351,95.7868,95.9013,95.9956,95.9996,95.8566,95.6757,95.5817,95.5648,95.3292,94.953,94.8926,95.2159,95.4595,95.5749,95.6233,95.6837,95.6234,95.5389,95.5334,95.4021,95.4534,95.4483,95.3863,95.5759,95.9037,96.241,96.3145,96.3796,96.3543,96.3865,96.2919,95.9922,95.8594,95.7911,95.684,95.941,96.1337,96.2381,96.141,95.9737,95.7652,95.5839,95.3576,95.1012,94.6819,94.3282,94.4772,95.0812,95.5241,95.7247,95.6471,95.6015,95.4622,95.2499,94.9649,94.6037,94.0824,93.6847,92.9619,92.8513,92.8995,92.6048,92.1312,91.6532,90.9431,89.9125,88.8888,87.9751,86.4531,84.9481,82.8816,81.5051,80.3793,79.2521,77.745,76.2181,73.7344,72.2342,69.7633,66.9233,64.3351,59.7924,56.9003,56.4229,55.8302,55.5601,55.7108,56.4658,56.6751,57.1624,57.5573,58.7227,58.554,55.4145,54.2947,54.6109,55.9757,56.2634,56.5144,56.0371,54.8379,53.3978,52.7589,53.045,54.9891,54.4225,53.2571,53.1845,54.5865,56.3572,57.0126,57.9204,57.601,52.3514,51.7888,51.6169,51.6435,50.675,49.7548,50.3115,52.1091,54.8601,54.8711,54.7503,54.5786,54.1829,54.1699,54.7972,55.948,55.6748,55.5237,56.4973,58.1555,59.2025,60.1147,60.9482,61.6658,63.5111,65.1961,66.6588,66.4827,66.2101,66.7866,68.6513,70.3003,71.1038,71.6237,72.5289,72.5857,72.766,73.3779,74.0582
"Illinois",99.4049,99.3379,99.1682,99.2183,99.2094,99.2108,99.1504,99.0947,99.147,99.0704,98.9823,98.8897,98.7286,98.6932,98.626,98.5869,98.473,98.6465,98.7831,98.8477,98.7345,98.6275,98.5442,98.3988,98.4165,98.4326,98.3368,98.2524,98.3218,98.4499,98.5822,98.5475,98.56,98.3998,98.1781,98.0588,97.913,97.74,97.7201,97.875,98.1589,98.3173,98.3936,98.3817,98.2518,98.1601,98.0965,97.8957,97.6675,97.3182,97.2708,97.3638,97.6151,97.8503,98.0445,98.0741,97.9305,97.9011,97.7533,97.6641,97.5062,97.0268,96.9089,96.9103,97.1282,97.5197,97.6359,97.6895,97.6543,97.6711,97.4882,97.3267,97.0815,96.9095,96.8203,97.0355,97.368,97.5457,97.7232,97.7343,97.744,97.6819,97.4753,97.3863,97.2166,97.0588,97.0897,97.1605,97.4449,97.6133,97.6691,97.7016,97.7106,97.5161,97.2616,96.9397,96.9619,96.8779,96.7924,96.8766,97.0604,97.1574,97.1412,97.0713,96.8712,96.5608,96.2671,95.9126,95.4429,94.8069,94.5621,94.5438,94.7886,94.8974,94.8753,94.6063,93.8752,92.9542,91.7095,90.4287,88.6874,86.9527,85.7592,85.7147,85.6267,85.8049,85.6407,84.7685,83.4549,81.8269,79.0819,77.1027,73.6248,70.9606,70.2689,70.2371,70.7261,71.8199,72.8426,73.4543,72.9618,72.6284,72.602,71.6964,68.362,66.3344,66.0338,67.9662,70.0703,71.311,70.4274,68.8033,67.7953,67.2016,67.4938,66.1261,61.6606,58.1593,56.5447,57.8499,59.3783,60.7227,62.1384,62.0432,58.8678,58.1079,57.2306,56.4508,57.6331,56.118,55.0944,55.7608,57.1773,58.0393,58.3094,57.892,57.3434,56.1692,56.4643,56.8794,58.2709,56.3836,55.2807,55.932,58.007,59.933,61.5169,62.0981,62.2713,62.329,62.4925,62.8317,61.7289,61.6394,61.5608,62.1186,63.573,65.798,66.7529,67.5386,68.0304,67.8206,67.1823
"Pennsylvania",98.7698,98.6042,98.4074,98.5583,98.4542,98.5106,98.5762,98.5201,98.4445,98.4086,98.4992,98.7007,98.4877,98.0489,98.0476,98.0833,98.3359,98.5136,98.6472,98.5867,98.2585,97.8991,97.554,97.4876,97.284,97.2328,97.1384,97.1372,97.2359,97.1371,97.5774,97.8486,97.7987,97.5252,97.4597,97.299,96.8182,96.3496,96.4641,96.8544,97.0421,97.2416,97.6542,97.7364,97.6421,97.2557,97.0416,97.1578,96.7675,96.2675,96.2017,96.5171,96.8348,97.07,97.0787,97.2161,97.3321,97.1958,97.0814,96.9182,96.524,96.0576,95.8348,95.8576,96.2822,96.7477,96.9911,96.9958,97.0584,96.9404,96.4502,96.3451,95.8235,95.1804,95.0328,95.2888,95.9465,96.4081,96.7209,96.4443,96.117,95.4179,95.2682,94.9646,94.1969,93.8624,93.8093,94.2316,94.5817,95.1513,95.4201,95.29,95.1044,94.9147,94.774,94.612,94.0044,93.625,93.5523,93.8603,94.1127,94.3106,94.3276,94.4053,94.3822,93.9347,93.3643,92.7318,91.8533,91.4456,92.0855,93.2968,94.0709,94.7018,95.0505,95.1006,94.9978,94.8588,94.6583,94.083,92.9457,92.0218,91.9976,92.2176,92.6782,93.5168,93.7112,93.995,93.8005,93.5375,92.8808,91.9567,90.4872,89.8447,89.7752,90.8313,91.4989,91.7933,91.5521,91.588,91.5709,91.6702,92.0033,91.4374,90.0439,88.7136,88.539,89.499,90.4021,91.1768,90.3367,89.5894,88.8166,88.7191,88.764,87.9003,87.1839,86.1379,86.1239,86.3142,87.1792,87.6828,87.7425,87.867,83.1797,82.6563,81.7428,80.2864,77.4895,74.5586,72.6114,73.3255,74.3321,74.4257,74.9269,74.9223,74.2227,73.518,72.9224,72.7231,72.2359,70.1192,69.7509,71.2442,73.6524,75.2541,76.2368,76.9067,76.8023,76.967,76.9454,76.6037,76.1303,76.1703,77.0172,78.9479,80.7517,82.1593,82.758,82.9671,82.7329,82.5116,82.3984
"Ohio",98.8377,98.899,99.005,99.0788,99.1156,99.1225,99.1562,99.1077,98.9032,98.8118,98.6503,98.4871,98.4328,98.3763,98.4411,98.4483,98.526,98.5758,98.6207,98.5454,98.4383,98.2504,98.0434,97.9227,97.7494,97.5728,97.7097,97.733,97.9984,98.0861,98.2133,98.0809,97.8996,97.7563,97.5547,97.2905,96.731,96.6321,96.8899,96.9969,97.239,97.4073,97.5607,97.5111,97.3011,97.0658,96.9913,96.6764,96.2304,96.0849,96.3053,96.581,96.8455,96.9657,96.9187,97.1102,96.9708,96.6743,96.3909,96.3012,95.8598,95.6833,95.7228,96.0645,96.5853,97.052,97.2395,97.2126,97.1928,97.0733,96.8793,96.7268,96.4219,95.9906,96.2552,96.5913,96.9607,97.1131,97.2176,97.1529,97.0921,96.9869,96.6265,96.3916,96.1547,95.9348,95.898,96.0369,96.2539,96.4995,96.7166,96.5557,96.292,96.1624,95.9552,95.6242,95.1498,94.8159,94.8976,95.1016,95.3138,95.562,95.6656,95.5449,95.1954,94.5593,93.884,93.2551,92.6318,92.2114,92.157,92.4949,92.5741,92.6406,92.57,92.478,91.8413,91.4771,90.6473,89.9274,89.025,88.1648,87.6596,87.3581,87.7068,87.7774,87.7866,87.7603,87.8194,87.1115,85.975,85.0372,84.2852,83.4349,83.1591,82.9972,83.3212,83.6587,84.0389,83.9807,84.4061,83.9236,83.552,83.1325,82.0379,81.1348,80.9573,81.1432,81.4004,81.6504,81.1056,80.6072,79.9008,79.7573,79.5047,79.9592,79.7372,78.7041,78.4746,78.6226,78.9582,78.7669,78.8416,79.1729,65.7618,66.6085,66.5977,65.6322,63.3533,61.4477,60.3428,60.2191,60.7724,61.5854,61.3746,60.8307,60.6978,60.0898,60.2361,59.7121,58.2032,55.4709,55.3186,56.3266,58.1653,60.1506,61.1746,61.4049,61.5238,62.0651,63.9813,64.1093,63.6732,63.2533,65.3005,68.4037,70.4256,72.3036,73.5234,74.0975,73.4452,72.8783,72.6848
"Michigan",99.047,99.0793,99.1294,99.2648,99.18,99.1995,99.1366,99.0675,98.9844,98.8195,98.4793,98.5338,98.0811,97.3331,96.5352,96.5133,96.7504,97.31,97.6632,97.7957,97.8238,97.7883,97.518,97.055,96.8039,97.0181,97.0492,97.179,97.469,97.7477,97.8066,97.0848,97.0558,97.7603,98.1535,98.214,97.7976,97.4902,97.3103,97.555,97.8936,98.1256,97.9668,97.9591,97.8724,97.6665,97.4175,97.4704,97.1311,96.6962,96.4893,96.665,96.9148,97.2333,97.3015,97.3491,97.4305,97.402,97.191,97.1698,96.7694,96.4804,96.5898,96.7676,96.8811,97.0872,97.2182,97.3422,97.0568,96.9276,96.8168,96.5559,96.4026,96.1562,95.8956,96.0626,96.4091,96.6643,96.8741,97.0291,96.9766,96.8526,96.7697,96.667,96.525,96.0825,96.0292,95.9923,96.2494,96.4119,96.5391,96.4412,96.4475,96.4412,96.3175,95.6648,94.8162,94.1221,93.7765,93.6735,93.557,93.7354,93.8092,93.5348,92.6365,91.8344,91.3375,90.2019,88.9858,88.7141,88.114,87.5462,87.2593,87.4402,85.9549,85.4327,84.0448,83.758,83.4514,82.5839,81.007,79.9653,79.5027,79.4152,79.4292,79.4833,79.1777,78.6238,78.0125,76.8429,76.2839,74.6256,73.324,72.0885,71.3679,70.5362,68.9669,67.6137,68.6517,70.0727,70.9847,71.2893,72.3212,72.0259,70.2582,68.7322,68.0426,68.8982,69.2002,69.6681,68.6299,68.3197,68.9427,68.7644,68.5492,68.8681,68.4262,66.4899,65.2922,65.8833,66.0043,66.941,67.6505,68.152,66.3395,65.9066,66.5327,66.074,65.3244,63.8329,61.0285,61.3942,63.1165,64.8571,65.2294,65.5327,65.9705,66.7034,66.4089,67.1203,67.414,66.9766,67.1575,67.1861,68.5369,69.3869,71.1156,72.0886,72.7874,73.6304,73.5857,73.4362,73.7784,73.2328,73.0185,73.051,74.1747,75.5084,76.8809,78.0803,78.639,78.1054,77.6816
"Georgia",99.1698,99.1605,99.2374,99.2364,99.2194,99.1765,99.224,99.2275,99.1455,98.881,98.7893,98.6424,98.7013,98.7572,98.9304,98.9888,99.0575,99.0353,98.9432,98.8654,98.8324,98.7853,98.6995,98.6509,98.6475,98.6141,98.5875,98.573,98.5991,98.6577,98.6368,98.6003,98.5128,98.5368,98.5682,98.4489,98.3432,98.427,98.4887,98.5475,98.5521,98.5425,98.5304,98.5833,98.5814,98.3401,98.1135,97.9521,97.9461,97.7404,97.5726,97.5766,97.6533,97.7326,97.8166,97.6716,97.5803,97.5539,97.2938,97.1135,96.7155,96.2949,95.8752,95.6665,95.4649,95.5347,95.5993,95.645,95.6442,95.8129,95.5277,95.3071,95.4063,95.7288,95.7221,95.9279,95.9255,95.9195,96.0513,96.1187,95.9002,95.6754,95.6451,95.5957,95.3533,95.358,95.295,95.5008,95.4729,95.5969,95.6585,95.8201,95.6311,95.3653,95.0781,94.9291,93.9828,92.6244,92.0868,92.2468,92.2315,92.4574,92.6859,92.8608,92.5081,91.6895,90.8188,87.7145,83.3613,82.2984,85.5664,88.4415,89.5505,89.1937,88.9233,88.1148,86.6239,85.3337,84.6362,83.3712,81.3972,78.3427,77.351,77.6004,77.3555,77.9471,77.14,76.0868,73.6047,72.8041,70.0266,68.6653,65.9516,64.2289,64.6509,64.8559,64.8214,65.3873,66.1507,67.046,67.1321,66.7372,66.7916,66.5999,64.8958,64.3555,63.2535,63.7757,64.3777,65.1548,64.9466,63.9409,63.5246,64.8127,65.3882,63.8096,61.9214,60.9803,60.3603,60.5188,61.1297,60.9471,61.7333,61.427,52.8741,52.387,51.7537,52.109,50.9982,50.29,50.1605,51.7936,51.5833,51.2105,50.5796,50.2566,50.0389,49.9895,49.4403,50.1348,51.5826,52.4287,53.3315,54.6719,55.9013,57.4685,59.0572,60.8759,62.2633,62.741,62.6055,63.9248,63.9795,63.3263,63.497,64.8497,66.5616,68.2212,68.5453,68.8024,68.9949,69.1671,68.7293
"North Carolina",99.1621,99.2413,99.359,99.4371,99.4672,99.3853,99.2948,99.1793,99.2283,99.2051,99.0177,98.9342,98.8893,98.9187,98.9929,98.926,98.9266,98.9849,95.1117,96.1734,97.6079,98.6563,98.5967,98.4706,98.3513,98.4536,98.5768,98.6212,98.7876,98.7787,98.7365,98.6419,98.619,98.5266,98.3735,98.1381,97.4878,97.0473,97.0242,97.3004,97.3121,97.3397,97.3961,97.3576,97.2582,97.0978,96.9129,96.8283,96.5792,96.3798,96.4221,96.3594,96.397,96.5752,96.5051,96.128,95.963,95.5576,95.1294,94.717,94.7311,94.5343,94.5751,94.2755,94.6778,94.8875,94.5235,94.6219,94.4708,94.478,94.438,94.5018,94.8808,95.0966,95.4553,95.8064,95.8162,96.0407,96.206,96.2133,96.2693,96.184,96.2426,96.0763,95.9044,95.7448,95.8115,95.9427,96.0814,96.0083,95.6862,95.6381,95.567,95.661,95.6357,95.5786,94.7045,94.3166,94.2396,94.5257,94.776,95.0287,95.0292,95.0168,94.8001,94.4578,94.0785,92.7437,89.8649,89.3251,88.539,91.2528,92.8596,94.4804,94.8453,94.9977,94.242,93.8013,93.52,92.8901,91.8205,91.3432,91.4091,91.7468,92.0833,92.1991,91.8127,91.486,88.8799,88.5983,88.3061,87.4254,85.6781,84.6038,84.135,83.902,84.2666,85.1976,85.4379,84.8063,84.4969,84.5614,84.5811,83.8122,82.7084,82.067,82.427,82.7361,83.4556,83.7808,82.5176,80.3954,80.3531,79.9018,78.9893,78.1452,76.7362,75.9177,75.892,75.8546,75.9218,75.8147,75.4223,75.122,69.7145,68.0751,67.6311,67.6808,66.2363,66.0437,65.5646,65.2045,65.0618,65.6377,65.824,64.5727,63.2077,62.0789,62.1312,61.6424,60.2715,59.8789,61.932,64.2642,66.2139,67.805,69.4664,71.183,71.7756,72.4078,72.8332,72.8422,72.7142,72.6879,73.0348,73.3459,73.7871,74.1551,74.3349,74.255,73.9545,74.0715,74.2475
"New Jersey",98.4844,98.3197,98.3526,98.484,98.6872,98.797,98.8086,98.4927,98.2429,98.3656,96.2272,96.9231,97.6342,98.1145,97.9413,98.0028,98.0291,98.2262,98.3112,98.3331,98.2956,98.2181,98.0711,97.9879,97.8254,97.6929,97.724,97.8726,98.0313,98.0827,98.0824,98.033,97.9772,97.8645,97.8083,97.6355,97.1484,96.5817,96.3927,96.7698,97.1851,97.5707,97.8141,97.9301,98.0236,97.7903,97.5334,97.1836,97.0259,96.7392,96.7314,96.9118,97.0984,97.161,97.3661,97.4485,97.4774,97.348,97.1642,97.0383,96.5115,96.1711,96.0543,96.2523,96.44,96.8033,97.0529,96.7383,96.7017,96.6252,96.672,96.6384,92.1326,88.5355,86.5463,86.5944,87.4517,88.7961,90.3312,90.6968,90.1637,89.4843,88.8112,88.23,87.3479,86.1252,85.5812,86.1021,86.9697,88.7869,89.9804,89.937,89.2834,88.7975,88.3271,87.8208,86.3612,84.6698,84.0886,85.0132,86.0779,86.7174,87.8524,88.1385,87.4115,86.4764,85.8328,86.1421,86.424,88.1413,89.6469,91.7452,93.0758,93.8599,93.2629,92.4873,91.4072,91.2023,90.6657,89.6357,88.1062,87.4578,86.6735,86.2433,86.3283,86.7091,86.7235,86.4934,85.8202,84.2621,82.7271,82.0803,79.9123,77.341,75.689,75.4719,76.6344,77.7992,78.9483,79.4156,79.1722,78.7407,78.8515,78.1968,77.3594,75.7179,74.722,74.8481,75.525,76.9462,77.504,76.8276,76.3812,76.0884,75.9179,75.8288,75.2756,73.4266,71.9161,72.2079,72.8112,73.3984,74.2494,74.9693,73.1022,72.0232,71.147,70.7127,68.9382,67.6737,66.6607,68.6554,69.8572,69.8879,70.0079,70.1135,70.1185,69.4544,69.1795,69.6109,69.5436,68.5317,68.6014,69.3919,70.6985,71.5323,72.0611,72.7097,73.0296,73.2118,73.5603,73.3409,72.4461,71.7948,71.25,71.971,72.5793,73.0277,73.7733,74.4268,74.9335,75.3648,74.3303
