"RegionName","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",12.6032,12.8855,12.55,11.687,10.6516,10.0089,9.848,10.2464,10.5553,10.3901,9.7809,9.3594,9.5792,10.1107,9.9165,9.2427,7.9618,7.1785,7.5452,8.1668,8.6505,8.8648,8.5347,8.1896,8.394,8.4067,7.9156,7.2662,6.8559,6.4257,6.223,5.7364,5.3959,5.3066,5.2641,5.3232,5.6431,5.6311,5.0875,4.6157,4.2917,3.9554,3.7205,3.6225,3.5632,3.6374,3.6082,3.6289,3.7849,3.9236,3.8223,3.6575,3.4705,3.296,3.1694,3.0461,3.0024,2.9013,2.8717,2.8033,2.9701,2.967,2.7582,2.4521,2.2328,2.0901,1.9826,1.8442,1.7533,1.7387,1.8066,1.8061,1.8376,1.808,1.7747,1.6057,1.4218,1.253,1.2042,1.1079,1.1014,1.0926,1.0795,1.0528,1.038,0.9625,0.9445,0.8974,0.8584,0.7751,0.7303,0.7236,0.7007,0.6994,0.6648,0.6476,0.7198,0.735,0.7387,0.7726,0.8039,0.8553,0.8815,0.9243,0.9999,1.0573,1.2158,1.3955,1.7569,2.1131,2.5908,2.9997,3.64,4.244,4.9361,5.9012,7.5758,9.7669,12.0387,14.8786,20.0342,25.0328,28.7554,31.4492,32.9372,35.5434,38.8856,41.5702,44.3263,46.7545,49.3823,51.2864,55.4704,57.0833,56.3601,54.3719,51.1832,46.7851,43.3479,41.39,39.2111,37.461,35.2686,34.825,36.4525,38.0098,36.5036,34.5977,31.6685,29.6886,30.0891,30.7057,30.9841,31.3778,32.0395,32.8617,35.1431,35.9467,35.9333,34.5894,33.5569,33.1404,32.7555,32.3563,31.8456,31.8172,30.8938,30.5046,31.3418,31.9428,31.3161,29.3527,27.5242,25.0717,22.5999,20.2529,18.3019,17.0768,15.9544,15.4142,17.05,17.8791,16.7604,14.8247,12.8601,11.2293,9.9305,9.1085,8.6804,8.6065,8.6195,8.7479,9.3399,9.8542,9.5154,8.8227,8.089,7.6313,7.3834,7.3453,7.2492,7.1518,7.2177
"New York",0.4222,0.5123,0.6255,0.4952,0.4395,0.3449,0.3769,0.3912,0.4317,0.4148,0.4861,0.4291,0.5222,0.543,0.5479,0.4603,0.4752,0.4837,0.4402,0.3348,0.2484,0.2926,0.3403,0.4059,0.49,0.5138,0.6158,0.642,0.6281,0.5153,0.4425,0.3835,0.435,0.4093,0.428,0.4331,0.5861,0.6763,0.676,0.6184,0.4754,0.3869,0.3028,0.2579,0.2674,0.2597,0.2562,0.2778,0.3141,0.3987,0.4111,0.3545,0.2883,0.2959,0.2741,0.2387,0.2792,0.3482,0.3559,0.4053,0.4695,0.5029,0.5178,0.5669,0.5531,0.4883,0.4205,0.3515,0.3165,0.2712,0.2777,0.3082,0.3552,0.4209,0.4574,0.5084,0.5055,0.447,0.4143,0.3768,0.4002,0.4433,0.5235,0.5807,0.6491,0.791,0.9503,0.9461,0.8565,0.7604,0.7095,0.6588,0.6803,0.6787,0.7864,0.8778,0.9233,1.1186,1.3529,1.5122,1.4651,1.3299,1.128,1.1171,1.0672,1.1806,1.1241,1.1584,1.2126,1.3019,1.4602,1.5074,1.3919,1.2879,1.2692,1.2807,1.2763,1.4185,1.4607,1.6625,1.8179,2.1074,2.4552,2.5196,2.4402,2.4179,2.2414,2.3198,2.4488,2.7592,3.1318,3.4445,3.7306,4.1688,4.4576,4.695,4.6487,4.3687,4.0382,3.677,3.5834,3.8653,3.9175,4.0491,4.4047,4.7985,5.2221,5.0211,4.6875,3.8248,3.5592,3.7565,3.8075,3.8429,3.6888,3.7605,3.864,4.4204,4.8781,4.7337,4.057,3.2808,2.6884,2.245,2.2444,2.1517,2.0639,1.944,2.0251,2.0389,2.1246,1.7517,1.6752,1.53,1.2969,1.161,1.1296,1.2093,1.2958,1.307,1.3958,1.516,1.586,1.5383,1.4369,1.3518,1.152,0.984,1.0075,1.0363,1.2373,1.3504,1.4853,1.7097,2.0699,2.2501,2.2421,2.1003,1.8764,1.8856,2.0822,2.277,2.3876
"Pennsylvania",0.1437,0.2485,0.3903,0.5,0.5084,0.4941,0.5668,0.5404,0.5419,0.5868,0.7445,0.8805,0.9205,0.8989,1.1115,1.1237,1.02,0.8314,0.7131,0.7197,0.8704,0.9496,1.0111,1.2176,1.3133,1.6845,1.9463,2.0713,1.7987,1.5124,1.3574,1.3143,1.4006,1.4855,1.5403,1.5474,1.6482,1.8196,1.9381,1.6853,1.5819,1.4382,1.3434,1.4211,1.5504,1.5867,1.6045,1.4797,1.5955,1.7957,2.1161,2.095,1.9148,1.6463,1.4765,1.3728,1.475,1.5623,1.6273,1.6255,1.6935,1.902,1.9049,1.9213,1.7367,1.6105,1.348,1.1644,1.1452,1.1338,1.2867,1.2969,1.2985,1.4784,1.7844,1.8768,1.8203,1.7127,1.7832,1.8623,1.9178,2.1765,2.4044,2.6326,2.9595,3.3288,3.5936,3.5339,3.3935,2.9713,2.7187,2.4596,2.3961,2.5238,2.598,2.6765,2.75,3.1454,3.291,3.139,3.0281,2.7185,2.4175,2.3095,2.2874,2.479,2.5591,2.7769,3.0977,3.1967,3.256,3.3663,3.3102,3.0635,2.7676,2.6001,2.6815,2.8395,3.3487,3.7084,4.6585,5.4876,5.593,5.1048,4.4762,4.2293,4.2112,4.1786,4.5547,4.8998,5.5685,6.0701,7.4589,8.2187,8.434,7.7748,6.9962,6.0306,5.3118,4.9041,4.8923,5.1024,4.9154,4.9563,6.1147,7.4457,7.5388,6.9439,6.0957,5.3563,5.6571,6.7424,6.8851,6.7877,6.3381,6.3056,7.5503,9.0938,9.9048,8.8689,7.6878,7.0261,6.0809,5.6021,5.6891,5.8462,5.8083,5.9457,5.5816,5.9371,6.0757,5.6194,5.0927,4.4581,4.2448,4.5189,4.7995,4.7773,4.2418,4.0863,4.5882,5.4754,5.9995,5.8739,5.3322,4.7267,4.6821,4.6859,4.7552,4.9248,5.0989,5.2261,6.247,7.4977,8.1118,8.0803,7.3975,6.5424,5.9921,5.6876,5.862,6.5639,7.6387
"Ohio",0.6906,0.8573,0.8073,0.7486,0.7886,0.7604,0.7895,0.7376,0.8016,0.8162,0.9244,0.9849,1.0222,1.243,1.2839,1.2255,1.0819,1.0439,0.9547,0.972,1.0906,1.1943,1.346,1.4569,1.4828,1.5966,1.7849,1.8302,1.5309,1.3709,1.3554,1.3894,1.4536,1.5943,1.7666,1.9466,2.2695,2.4989,2.421,2.2772,1.9903,1.8107,1.7109,1.8665,2.0034,2.0948,2.2667,2.3892,2.7672,3.0875,3.1459,2.9035,2.6241,2.4362,2.3481,2.432,2.468,2.6409,2.7443,2.934,3.1743,3.5152,3.8583,3.9208,3.763,3.558,3.2813,3.3564,3.5094,4.0153,4.3471,4.6909,5.0259,5.2575,5.5862,5.6616,5.2731,4.7108,4.6617,4.7625,5.058,5.2457,5.5697,6.0088,7.0961,7.8706,7.8865,7.3437,6.5649,5.8558,5.581,5.4492,5.7305,6.2766,7.0839,7.8029,9.0427,9.5741,9.8009,9.4833,8.7836,7.7607,7.4771,7.566,8.264,8.8637,9.5901,10.3382,11.2957,12.4742,12.9831,12.6953,12.032,10.9391,10.2618,10.1783,11.1989,12.6396,13.808,14.8943,16.8337,19.1834,19.6025,19.3944,17.6135,15.8637,15.1538,15.883,17.4497,19.498,21.953,24.0847,27.0884,28.0115,27.306,24.6357,20.8672,17.4754,14.8865,13.7359,13.1183,12.6416,12.2326,12.8164,14.9065,16.4932,16.4746,15.0918,13.5769,12.1217,13.5463,14.3807,14.8644,14.4174,13.4425,12.99,15.0471,17.3917,19.185,18.9689,17.2598,16.1602,14.1557,13.4722,13.0476,12.9604,13.4734,13.3827,13.6479,14.376,13.6497,12.1411,10.675,10.2656,9.9693,9.9798,10.0961,10.093,9.6259,10.0073,10.6756,11.32,11.4213,10.8841,10.421,9.8162,9.4048,8.9379,9.2201,9.9247,9.6065,9.7255,10.3313,11.066,10.7109,9.4795,8.274,7.294,6.7664,6.8844,7.3256,7.9366,9.0674
"North Carolina",0.1255,0.1583,0.1829,0.2098,0.248,0.3012,0.283,0.3144,0.3801,0.3897,0.358,0.4176,0.4594,0.4122,0.3479,0.4087,0.3751,0.3243,0.2634,0.2983,0.3624,0.4249,0.4519,0.4549,0.4449,0.568,0.5919,0.6665,0.658,0.7051,0.6587,0.6154,0.6462,0.7516,0.8343,0.8967,1.0122,0.9986,1.0593,0.9181,0.8364,0.7949,0.7912,0.7753,0.7214,0.7452,0.8471,0.7903,0.798,0.9013,1.0104,1.0462,0.9841,0.9431,0.9252,0.949,1.0061,1.1389,1.2086,1.2821,1.2899,1.3603,1.343,1.2201,1.0964,1.0901,1.0179,1.023,1.1238,1.3531,1.559,1.6844,1.7487,1.8474,2.0829,2.0527,1.9521,1.8943,1.8192,2.0092,2.3397,2.5266,2.4913,2.6729,2.7955,2.7936,2.7433,2.7369,2.5653,2.3532,2.3826,2.3351,2.4526,2.5955,2.8187,2.969,3.0679,3.02,2.9877,2.7953,2.6504,2.4613,2.4532,2.4694,2.627,2.9107,3.1107,3.0982,3.0734,3.0351,3.196,3.3095,3.2466,2.9311,2.676,2.838,3.2564,3.6892,3.9328,3.9914,4.3618,4.6307,4.8235,4.7676,4.4738,4.3847,4.2629,4.609,5.1114,5.4534,5.9404,6.4307,7.6627,8.2195,8.0894,7.7244,6.7257,5.7737,5.2616,5.2131,5.5771,5.6555,5.4149,5.6319,6.8732,7.443,7.5418,7.2561,6.9777,6.2741,6.7623,7.0453,7.4562,7.9209,8.1594,8.2818,9.1858,9.9815,9.8163,8.7735,8.0161,7.4318,6.7453,6.7831,6.9565,7.3192,7.57,7.737,7.6382,8.2889,7.968,7.4557,7.0144,6.8081,6.8112,7.2548,7.5213,7.6905,7.2362,7.5508,8.9416,9.9739,9.4009,8.2901,7.4166,6.7608,6.3272,6.0477,6.3333,6.4492,6.7133,7.1456,8.0282,8.3154,8.3352,7.7038,7.0159,6.257,6.1467,6.3928,7.1055,7.1124,7.3895
"New Jersey",0.006,0.0327,0.0729,0.1425,0.1894,0.2803,0.2586,0.2997,0.3969,0.4385,0.5309,0.5487,0.55,0.5306,0.7233,0.8034,0.7469,0.6226,0.5778,0.54,0.5883,0.6624,0.819,0.8902,1.0256,1.1267,1.2307,1.1789,1.1474,1.029,0.9997,0.9993,1.0162,1.0881,1.2138,1.1489,1.1405,1.2493,1.4948,1.4323,1.3448,1.024,0.9098,0.8817,1.0631,1.0474,1.0093,0.9875,0.9624,0.9648,0.9312,0.9879,0.902,0.8414,0.6706,0.6753,0.6517,0.7399,0.7681,0.7775,0.7304,0.777,0.7875,0.8269,0.7575,0.7325,0.6661,0.6846,0.6474,0.6503,0.6638,0.6798,0.664,0.6627,0.7203,0.8895,0.9675,0.9255,0.8266,0.869,0.8861,0.9912,0.9841,0.9627,0.9792,0.996,1.0536,1.044,1.0401,0.9579,0.7426,0.657,0.5743,0.6505,0.6972,0.7235,0.8043,0.9637,1.0812,1.0406,0.9895,0.9225,0.8442,0.7899,0.7871,0.8218,0.8556,0.8899,0.9289,1.1293,1.1612,1.1994,1.2103,1.1173,1.0152,0.9108,0.8908,0.9517,0.9478,0.9711,1.1949,1.2683,1.3121,1.2286,1.0669,1.1353,1.129,1.1444,1.2704,1.6568,2.0557,2.534,2.7785,3.197,3.3943,3.7543,3.4941,3.0844,2.5439,2.4342,2.5439,2.5525,2.6026,2.4561,2.777,3.3153,3.6248,3.6692,3.3278,2.8536,2.6324,2.8624,3.1516,3.4105,3.3135,2.9686,3.2961,3.5315,4.2077,4.4022,3.9623,3.1322,2.4252,2.1,2.0588,2.0147,1.9672,1.9187,1.751,1.6982,1.8311,1.9254,1.6976,1.5559,1.4457,1.2904,1.2728,1.3645,1.255,1.3124,1.4972,1.6642,1.9465,1.8697,1.6713,1.3998,1.1832,1.2151,1.2614,1.3402,1.8799,2.1285,2.4659,2.9509,3.3719,3.5658,3.32,2.9028,2.434,2.3086,2.4796,2.6766,2.9286
"Virginia",0.2552,0.2486,0.2556,0.2112,0.1948,0.177,0.24,0.2521,0.2878,0.2833,0.2351,0.2838,0.2911,0.2822,0.3046,0.2457,0.2004,0.1518,0.1433,0.1276,0.1545,0.1822,0.1842,0.2363,0.2742,0.3128,0.2819,0.2568,0.2332,0.211,0.1884,0.1617,0.1924,0.2527,0.2286,0.2059,0.2574,0.2299,0.1833,0.1622,0.163,0.187,0.1704,0.1662,0.1459,0.1197,0.0891,0.1005,0.1331,0.1462,0.1583,0.1734,0.1659,0.1972,0.2011,0.2081,0.1623,0.1428,0.1498,0.1733,0.141,0.1574,0.1455,0.137,0.1329,0.1305,0.1074,0.0749,0.087,0.0972,0.0891,0.1295,0.1045,0.1073,0.1815,0.18,0.1831,0.2115,0.203,0.1737,0.139,0.1572,0.2204,0.2034,0.221,0.1703,0.1476,0.1569,0.1586,0.1665,0.1574,0.1238,0.1339,0.1098,0.0922,0.1293,0.1148,0.1576,0.1543,0.1707,0.1396,0.1042,0.1069,0.1329,0.1729,0.1751,0.2133,0.2532,0.4387,0.6242,0.7753,0.9494,1.238,1.4883,1.6548,1.8208,2.3264,3.0181,4.1193,4.9523,6.7923,8.1289,9.3653,10.9946,12.0528,12.582,13.3485,13.9866,16.6914,18.9403,21.4382,22.764,24.3401,24.2195,22.8601,20.4582,15.9041,13.2927,11.3168,10.7669,10.9749,10.98,10.4245,10.0347,11.0726,11.8064,11.7094,10.9318,9.7765,8.3046,8.4365,8.7892,9.9419,10.8379,10.9249,10.5881,11.6887,12.2592,12.1181,10.7099,9.5061,8.5552,7.8751,7.4477,7.4851,7.3984,7.6509,7.8634,8.5794,8.359,8.1659,7.5234,6.411,5.6061,5.2454,5.0502,4.8577,4.8565,4.8518,4.6606,4.4856,4.8548,5.2328,5.1725,4.7507,4.1174,3.8116,3.7761,4.4001,5.1254,5.3819,5.4929,5.8751,6.7674,6.4153,6.2105,5.5228,4.6644,4.3527,4.2805,4.4616,4.6514,5.0545
"Washington",1.636,1.7686,1.673,1.5837,1.5496,1.5265,1.4354,1.3395,1.3939,1.5444,1.7023,1.7957,2.086,2.3111,2.2811,2.147,2.0531,1.8596,1.8541,1.8211,1.9958,2.249,2.2808,2.5818,3.1712,3.4936,3.6336,3.2723,2.6876,2.4436,2.3386,2.3484,2.3167,2.4571,2.8446,3.5422,3.7832,3.4514,2.9116,2.4069,2.2457,2.1102,2.2006,2.2272,2.295,2.4476,2.7677,2.7999,2.9105,3.1147,3.2368,3.3554,3.2883,2.9474,2.9044,2.978,3.0111,3.2406,3.6155,4.006,3.9326,3.9367,3.8909,3.5954,3.1793,2.832,2.775,2.6838,2.7584,3.1091,3.2245,3.5243,3.5336,3.4776,3.4473,3.4584,3.1742,2.7976,2.7189,2.7933,2.762,2.8987,2.8709,3.3057,3.331,3.237,3.0523,2.8055,2.5562,2.338,2.153,1.9699,1.9796,1.984,2.0189,2.0205,1.8607,1.8189,1.8293,1.8248,1.7271,1.5132,1.4619,1.4629,1.4491,1.5149,1.6567,1.6906,1.6939,1.7189,1.7124,1.6755,1.6794,1.582,1.6393,1.6236,1.7429,1.9879,2.339,2.7255,3.1375,3.4146,3.5276,3.7106,4.1089,4.0138,4.3497,4.6666,5.6731,6.5637,8.8305,10.2059,12.2205,13.1894,13.6406,12.8754,12.0852,11.4464,10.7903,10.5663,11.2918,11.3431,11.6639,13.513,15.3699,16.1556,15.3866,13.6904,11.4931,10.1839,10.8153,11.7062,12.3475,13.1123,14.4867,16.1241,18.6187,20.0398,20.7752,20.3977,19.1455,18.6132,16.9202,16.2213,16.3264,17.0524,16.9934,16.3484,16.9455,18.0052,18.0681,15.9408,13.6258,10.9253,8.995,7.7757,7.3593,7.1252,7.015,7.0773,8.0316,9.3146,9.7135,8.9212,7.9063,7.4055,7.0877,6.9002,6.9664,7.5859,8.4667,9.2514,10.7131,12.0669,12.1109,11.1372,9.9744,8.8711,8.0643,7.7394,7.803,7.8358,8.0261
"Massachusetts",1.4523,1.7919,1.5436,1.3588,1.1343,0.9925,0.943,0.9644,0.9701,1.0166,1.0572,1.0947,1.1623,1.3887,1.4607,1.2992,1.0337,0.8067,0.7288,0.694,0.9276,0.9755,0.933,1.0138,0.9916,1.1784,1.1688,1.1075,1.005,0.8478,0.7503,0.7431,0.7529,0.7566,0.7262,0.6694,0.8497,0.927,1.0759,1.0047,0.8347,0.7223,0.6985,0.6607,0.6398,0.6383,0.6501,0.6739,0.6846,0.7393,0.8406,0.7499,0.6879,0.5681,0.5292,0.5358,0.5837,0.5745,0.6133,0.692,0.6185,0.6461,0.6075,0.6022,0.5359,0.4486,0.431,0.3559,0.3664,0.3588,0.4582,0.4742,0.5116,0.4253,0.3813,0.3251,0.3354,0.2981,0.2913,0.3006,0.3332,0.3798,0.4145,0.3761,0.3613,0.3292,0.3732,0.3474,0.3732,0.3782,0.366,0.3303,0.3361,0.4059,0.4151,0.4194,0.425,0.4095,0.3691,0.3607,0.3566,0.3868,0.4117,0.4006,0.5156,0.6882,0.8144,0.8763,0.9726,1.2962,1.5557,1.6208,1.5724,1.4758,1.5925,1.9032,2.2911,2.4612,2.5617,3.0874,3.6495,4.1331,4.4403,4.6454,4.8281,4.9557,4.743,5.0376,5.6653,6.2469,7.1339,7.3233,7.8364,8.1194,8.1402,7.5023,6.3633,5.2494,4.5138,4.1783,4.699,5.123,4.7886,4.8349,5.4628,6.5016,7.2852,7.3616,6.9042,6.429,6.5178,6.8035,7.1137,6.3431,2.5808,2.7622,3.2557,3.5595,3.5892,3.1013,2.629,2.0861,1.8434,1.7852,1.878,1.8418,1.7642,1.7303,1.8384,2.0989,2.1998,2.1196,1.8904,3.0922,5.0659,6.296,6.4333,6.5386,6.3518,5.8439,5.8061,6.0034,5.8266,5.4226,4.8322,4.1326,3.6197,3.4703,3.3532,3.4918,3.5969,3.8292,4.0519,4.6796,5.9093,6.0476,5.1046,4.1089,3.5045,3.62,3.5385,3.9104,5.622
"Arizona",1.0283,0.955,0.8469,0.8668,0.9045,0.8494,0.8498,1.0054,1.1326,1.2193,1.2129,1.2569,1.2876,1.2738,1.1099,1.0917,1.2102,1.2244,1.3159,1.4274,1.4605,1.4065,1.4342,1.6397,1.6376,1.7249,1.7253,1.7371,1.51,1.3989,1.3596,1.4158,1.6156,1.6595,1.6696,1.8536,1.8271,1.929,1.9282,1.7693,1.5786,1.5108,1.5218,1.5914,1.5708,1.695,1.7919,1.73,2.0286,2.2944,2.6778,2.7706,2.6525,2.4705,2.3354,2.3587,2.4247,2.3813,2.3361,2.3058,2.4842,2.3641,2.2871,2.1538,2.2413,2.4225,2.3877,2.344,2.3283,2.6346,2.7616,2.9143,2.8781,2.9737,2.8368,2.6607,2.5856,2.5403,2.5216,2.4897,2.6138,2.5768,2.4461,2.2815,2.3368,2.2636,2.1635,1.9579,1.7751,1.6296,1.5359,1.4293,1.2786,1.2115,1.1644,1.1141,1.072,1.0471,1.0522,1.0261,0.9589,0.901,0.8994,0.9138,0.9193,0.9065,0.8859,0.8721,0.9804,1.1,1.34,1.6137,1.7586,2.0546,2.2571,2.4596,2.9925,3.5892,4.3403,5.8565,8.2386,10.9247,13.6511,16.4952,17.5561,19.9162,24.5805,28.3846,30.7753,33.5513,38.2803,42.6376,47.8185,50.4418,52.9971,53.8346,53.0848,50.9821,48.082,45.8796,44.3867,41.8477,38.9353,39.0464,40.2139,40.7479,40.2831,39.4715,38.9304,36.9648,38.292,39.5334,41.5617,43.2553,44.2825,45.5069,45.0741,44.1082,44.2927,43.463,42.3736,40.7481,40.7805,40.2622,38.1863,36.6091,33.0115,30.4153,29.9912,28.7821,26.7306,24.2754,22.3088,19.9747,18.9208,17.4434,16.3712,15.6464,15.0222,15.9075,16.9093,16.4913,15.0971,13.8442,12.8111,12.2313,11.5188,11.2655,10.951,10.4407,10.4005,10.461,11.7072,12.2974,12.0431,11.3855,10.9422,11.0617,10.6779,10.6906,10.663,10.8221,10.7207
