"RegionName","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",14.4,14.32,14.3,14.32,14.2,14.09,13.83,13.67,13.5,13.42,13.27,13.24,13.16,13.12,13.06,13.05,13.07,13.09,12.96,12.95,12.94,13.09,13.25,13.39,13.53,13.69,13.85,14,14.16,14.4,14.63,14.89,15.19,15.49,15.69,15.83,16.03,16.3,16.45,16.43,16.47,16.56,16.75,16.73,16.64,16.59,16.58,16.61,16.67,16.77
"Texas",8.96,9,8.92,8.98,8.98,8.78,8.71,8.65,8.47,8.61,8.79,8.71,8.82,8.78,8.73,8.75,8.77,8.79,8.58,8.54,8.46,8.44,8.45,8.47,8.49,8.52,8.55,8.54,8.55,8.56,8.53,8.51,8.5,8.5,8.43,8.86,8.91,8.93,8.91,8.38,8.38,8.39,8.77,8.56,8.46,8.42,8.41,8.47,8.48,8.57
"New York",12.98,12.77,12.81,12.82,12.54,12.53,14.23,11.68,11.54,11.67,15,13.71,11.51,11.35,11.19,11.12,10.98,10.8,10.27,10.12,9.9,10.27,10.35,10.4,10.56,10.61,10.62,10.55,10.38,10.46,10.2,10.17,10.1,10.31,10.21,10.38,10.62,10.63,11.02,11,10.93,10.89,10.96,10.59,10.24,10.5,10.48,10.3,10.54,10.73
"Florida",9.27,9.2,9.03,8.97,8.84,8.75,8.7,8.65,8.56,8.54,8.33,8.42,8.35,8.31,8.34,8.26,8.35,8.38,8.31,8.3,8.36,8.43,8.46,8.48,8.52,8.56,8.55,8.61,8.65,8.67,8.75,8.8,8.88,8.92,9.01,9.11,9.06,9.17,9.18,9.26,9.23,9.45,9.43,9.59,9.64,9.75,9.79,9.71,9.79,9.86
"Illinois",11.57,11.3,10.9,11.15,11.03,10.85,10.19,10.3,10.13,9.84,10.09,9.62,9.48,9.31,9.27,9.19,9.15,9.12,8.65,8.57,8.37,8.5,8.48,8.51,8.56,8.57,8.66,8.66,8.61,8.58,8.6,8.62,8.66,8.73,8.75,8.75,8.7,8.76,8.9,8.91,8.88,9.02,8.94,8.99,8.99,8.99,9.02,9.07,9.12,9.23
"Pennsylvania",11.22,11.34,11.28,11.33,11.15,11.22,11.02,10.75,10.69,10.56,10.46,10.42,10.42,10.36,10.24,10.22,10.19,10.17,9.81,9.73,9.76,9.73,9.72,9.84,9.82,9.9,9.98,9.94,9.93,9.88,9.77,9.75,9.74,9.74,9.8,9.83,9.9,9.94,10.11,10.07,9.9,10.11,9.96,9.9,9.85,9.83,9.87,9.9,9.99,10.08
"Ohio",9.72,9.75,9.77,9.74,9.78,9.81,9.52,9.32,9.15,8.99,8.98,8.88,8.86,8.75,8.72,8.68,8.66,8.64,8.62,8.67,8.66,8.65,8.66,8.72,8.75,8.74,8.73,8.76,8.76,8.72,8.69,8.66,8.68,8.75,8.76,8.71,8.68,8.73,8.75,8.7,8.66,8.84,8.92,8.78,8.64,8.63,8.71,8.76,8.8,8.85
"Michigan",8.61,8.63,8.43,8.46,8.5,8.44,7.9,7.61,7.35,7.1,7.17,7.23,7.59,7.72,7.86,7.9,7.93,7.98,7.87,7.85,8,8.04,8.07,8.11,8.19,8.22,8.35,8.51,8.57,8.62,8.7,8.81,8.9,9.02,9.03,8.98,9.05,9.19,9.22,9.18,9.23,9.29,9.34,9.12,9.03,8.97,9.09,9.04,9.02,9.09
"Georgia",9.94,9.84,9.7,9.76,9.86,9.75,9.41,9.2,9.02,8.95,9.06,8.96,8.95,8.95,9.03,9.01,9.03,9,8.68,8.62,8.53,8.59,8.63,8.69,8.74,8.73,8.8,8.85,8.9,8.91,8.92,8.98,9.04,9.1,9.16,9.19,9.24,9.36,9.55,9.63,9.61,9.74,9.82,9.85,9.87,9.9,9.93,10,10.04,10.07
"North Carolina",11.84,11.82,11.62,11.7,11.67,11.65,11.47,11.31,11.22,11.17,11.1,11.05,11.05,11.03,10.99,10.98,10.99,11.01,10.71,10.64,10.55,10.57,10.58,10.66,10.7,10.67,10.71,10.75,10.76,10.73,10.69,10.69,10.64,10.63,10.62,10.6,10.62,10.67,10.81,10.88,10.92,10.86,10.89,10.83,10.75,10.71,10.74,10.8,10.82,10.83
