"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",124300,124200,124000,123800,123700,123500,123500,123600,124000,124600,125200,125800,126200,126600,126700,126900,127100,127500,128200,129000,129700,130700,132100,132800,133000,133500,134800,135900,137000,138000,139300,140400,141300,142200,142900,143900,144900,145900,146900,148200,149600,151000,152500,154000,155800,158200,160500,162700,164800,166900,168900,170800,172700,174600,176400,178200,180300,182700,185300,187600,189900,192100,194100,196100,198400,200800,202900,205100,207300,209700,212300,214800,217800,221300,224900,228600,232500,236400,240400,244300,248200,251700,255300,259000,262600,265600,268600,272100,276200,280600,285400,290700,296100,301800,307800,314400,321900,330200,338900,347200,354600,360700,366100,371300,376000,380600,385400,390400,395500,400500,405500,410900,415800,420400,424800,429000,432400,434400,435700,437000,437900,438100,438100,437900,437300,435800,433900,432100,430100,428100,426300,424600,422700,420200,416700,412800,409100,405000,400900,396300,390800,384300,376800,368200,359300,350500,341700,333000,324700,317300,310500,303700,298400,295000,292100,288200,284300,280900,278100,275700,273900,272700,272100,271600,271300,271100,271100,271200,271000,270500,269600,268300,266900,265600,264100,262400,260400,258500,256700,254800,252600,250300,248500,247100,245700,244400,243500,242900,242400,242000,242100,242400,243200,244600,246400,248500,250800,253400,256200,259000,262100,265700,270200,275500,281400,287500,294000,300900,307200,312400,317100,321300,324600,327200,329300,332300,336800,341000,343500,345500,347700,350000,352500,354600
"New York",70600,70500,70400,70300,70100,69900,70100,70500,70700,70700,70800,70900,70700,70700,70900,70900,70900,70900,70800,70800,70900,71200,71400,71800,72200,72300,72200,72000,71800,71600,71600,71600,71700,71900,72100,72200,72400,72500,72700,73000,73300,73600,73900,74300,74300,74400,74600,74800,75100,75500,75600,75900,76400,76900,77100,77300,77600,77900,78500,79000,79300,79500,79700,80000,80200,80500,80700,81100,81500,82000,82100,82300,82700,83200,83600,83700,84000,84600,85200,85700,85900,86200,87000,87800,88300,88900,89900,90700,91200,92000,92700,93600,94700,95400,95700,96200,96900,97600,98600,99800,101000,101800,102800,103700,104200,104800,105700,106600,107700,108600,109600,111000,112400,113300,114100,115100,115700,116100,116500,117200,117500,118000,118400,118500,118600,118900,119300,119300,121100,124200,126100,126300,126800,127400,128000,128300,128700,129100,129400,129500,129400,129200,129000,129000,129300,129300,129000,128800,128700,128800,128600,128600,127500,126000,125300,125500,125500,125300,125000,124600,124500,124300,124200,124200,124100,124000,123600,123400,123400,123500,123400,123000,122800,122600,122500,122300,122000,121500,121300,121100,120600,120200,119800,119400,119200,118900,118800,118700,118500,118300,118200,118000,117700,117700,118000,118200,118300,118200,118000,117900,117900,118100,118300,118600,118700,118700,118900,119500,119900,119900,120000,120600,120900,120900,121100,121200,121300,121200,121200,121300,121400,121500,121600,121800
"Florida",66300,66400,66500,66600,66500,66400,66300,66400,66600,66800,66900,67100,67200,67200,67300,67500,67700,67800,68000,68300,68700,69000,69500,69900,70000,70100,70000,70200,70300,70600,70700,71000,71100,71500,72000,72400,72700,73100,73200,73200,73600,74100,74400,74600,75000,75600,76100,76400,76800,77400,78000,78300,78700,79200,79900,80300,80900,81400,81900,82600,83300,84000,84800,85600,86200,86800,87700,88600,89300,90200,91100,92000,92700,93600,94600,95700,96900,97900,99000,100400,101800,103200,104600,106000,107300,108800,110400,111800,113200,114600,116200,117800,119500,121200,123100,125100,127400,129700,132200,135000,138200,141500,144600,147700,151000,154300,157700,161700,166300,170800,175100,179700,184200,188400,192200,195800,199000,201700,203900,205800,207100,207700,207800,207300,206400,205400,204300,202900,200900,198800,196900,195000,192600,190100,187600,185100,182500,179800,177000,174200,171200,167400,163000,158600,154500,150800,147000,143400,139600,135700,131900,127900,124600,122300,120300,117600,114900,112600,110700,108900,107400,105900,104800,104000,103400,102800,102200,101500,100800,100100,99400,98400,97300,96200,95100,93900,92600,91400,90600,89900,89000,87900,86800,85800,85100,84700,84400,84200,83900,83900,84200,84500,85000,85700,86300,86800,87500,88200,89000,89700,90400,91000,92000,93200,94400,95700,97300,99100,100800,102400,104300,106200,107500,108600,109600,110900,112700,114500,115900,117100,118100,119100,120000,120800
"Illinois",97100,97000,97000,97000,96800,96600,96500,96400,96700,97400,97800,97900,97800,98000,98200,98400,98500,98800,99100,99300,99400,99400,99700,100200,100400,100300,100300,100600,101100,101600,102100,102600,103200,103800,104300,104800,105500,106200,106500,106900,107400,107900,108500,109200,109600,110100,110800,111400,112000,112800,113600,114200,114800,115400,115900,116800,117900,118500,119200,120200,121300,122100,123000,123900,124700,125700,126900,127900,128900,129900,130700,131300,131900,132600,133500,134300,135100,136000,137000,137900,138700,139500,140500,141700,143000,144100,145400,146600,147400,147900,148300,148400,148800,149500,150200,150900,151800,152800,153600,154500,155700,156700,157700,158700,159700,160700,161700,162800,163700,164200,164800,165700,166700,167700,168600,169100,169800,170700,171500,171800,172000,172400,172700,172700,172900,173100,172900,173100,173500,173600,173600,173900,174000,173800,173500,172900,172000,171500,171100,170800,170200,169200,168200,166900,165700,164800,164000,162800,161400,160300,159100,157800,156200,154400,152400,150600,149100,147600,146300,145500,144700,143800,143100,142500,141500,140900,140300,139500,138500,137500,136300,135000,133800,132500,131000,129500,127900,126400,125300,124200,122800,121000,119300,117700,116100,114700,113500,112200,111000,110200,109400,108800,108300,107900,107500,107200,106900,106400,105700,105200,105100,105000,104900,105000,105300,105800,106600,107600,108500,109100,110100,111200,112000,112400,112900,113600,114800,115900,116700,117500,118300,119300,120200,120700
"Pennsylvania",73400,73100,72600,72300,72100,71800,71600,71300,71000,70800,70800,71100,71100,70900,71000,71300,71400,71500,71700,71900,72100,72400,72600,72900,73200,73200,73000,72900,73000,73100,73200,73400,73800,74100,74400,74600,74900,75100,75400,75600,75800,75900,76100,76200,76300,76700,77100,77000,76700,76900,77500,77800,77900,78000,78300,78700,79000,79200,79500,79800,80100,80300,80400,80400,80700,81000,81100,81500,82000,82400,82700,83000,83400,83900,84400,84700,85200,85800,86500,87000,87400,87600,88000,88800,89600,90200,90500,91000,91500,92000,92400,92900,93500,94500,95100,95400,96200,97300,98200,99000,99700,100500,101400,102000,102500,103200,104000,105000,106000,106800,107700,108900,109900,110600,111400,112200,113100,113800,114300,114800,115100,115500,116000,116600,117100,117600,118100,118900,119500,119900,120400,120700,120500,120600,120700,120600,120700,120700,120400,120200,120000,119600,119700,120200,120700,120500,120300,120400,120500,120700,121100,121300,121200,120800,120200,119700,119200,118900,118700,118500,118400,118500,118500,118500,118700,119000,119000,118700,118800,118900,119000,119100,119000,118400,117500,116700,116100,115700,115300,114900,114800,114500,113900,113300,112700,112500,112500,112200,111700,111300,111200,111100,111000,111000,110800,110700,110500,110500,110400,110400,110400,110300,110300,110500,110800,111000,111200,111700,111900,112100,112500,113100,113800,114700,115600,116000,116200,116600,117200,117600,117900,118300,118600,118600
"Ohio",64700,64800,65000,65500,65700,65600,65600,65500,65800,66500,67000,67200,67300,67600,67800,68000,68200,68500,68800,69100,69400,69600,69900,70200,70300,70400,70500,70900,71300,71400,71600,71900,72300,72500,72600,72700,73100,73400,73800,73900,74100,74300,74700,75000,75100,75100,75500,75900,76100,76200,76500,76700,77200,77600,77900,78100,78300,78600,78900,79100,79300,79500,79600,79700,79900,80000,80200,80600,80700,80900,81200,81300,81400,81600,81800,81900,82100,82400,82700,82900,83000,83300,83500,83400,83400,83800,84100,84500,84800,84900,85000,85400,86000,86300,86400,86700,86900,87100,87200,87300,87700,88000,87900,87800,87700,87800,87900,88400,88900,89100,89300,89500,89200,88900,89000,89200,89100,89100,89100,89100,89200,89200,89200,88900,88700,88800,88900,88700,88700,88800,88600,88500,88400,88100,87700,87500,87400,87100,86900,86700,86300,85500,85100,84800,84400,84100,83700,83100,82600,82100,81600,81100,80900,81100,81000,80500,80100,79700,79500,79600,79700,79700,79700,79500,79200,78900,78700,78600,78400,78400,78200,78000,77700,77500,77100,76600,76100,75400,74800,74300,73900,73700,73200,72900,72600,72100,71600,71400,71400,71300,71300,71200,71200,71500,71600,71400,71500,71600,71800,71800,71800,71700,71600,71600,71900,72100,72400,72700,73300,73800,74200,74600,75100,75600,76400,76700,76000,75400,75700,76000,76000,76100,76400,76700
"Michigan",80700,78900,78000,78300,78400,78500,78700,78900,78900,78900,79100,79700,80400,81200,81900,82400,83000,83400,83900,84400,84900,85500,86000,86400,87000,88000,88600,88900,89200,89600,90000,90500,91100,91500,91700,92300,93400,94300,95000,95500,96300,97200,98000,98600,99300,99900,100300,101000,101900,102700,103400,104000,104600,105200,105700,106300,107200,108100,108900,109500,110200,111100,112000,112600,113200,113600,113900,114200,114500,114800,115200,115500,115600,115900,116500,117100,117600,118000,118500,118900,119200,119500,120100,120600,120800,120900,121200,121500,121700,121800,122100,122500,122700,122900,123200,123300,123500,123800,123900,124000,124400,124700,124900,125300,125700,126000,126000,126100,126300,126500,126600,126500,126200,126200,126300,126300,126100,125800,125300,124900,124600,124000,123300,122700,122100,121500,120900,120500,120000,119400,118600,117600,116600,115700,114800,113900,112900,112100,111200,109600,107700,106200,104900,103500,101900,100400,98900,97400,96000,94300,92500,90700,89200,87600,86200,84700,83300,81700,80300,78900,77500,76100,74900,74000,73500,73100,72600,72100,71900,71600,71200,70800,70200,69600,68900,68300,67700,67000,66500,66300,65700,65100,64800,64300,63900,63800,63800,63800,63800,63900,64200,64400,64700,65100,65800,66400,67300,68200,69100,69600,70000,70500,71200,72000,72900,74000,75300,76800,78100,79400,80700,81800,82800,83800,84500,85400,86600,87700,88300,89000,89600,90300,91100,91900
"Georgia",68000,68200,68300,68300,68300,68300,68300,68400,68400,68700,69100,69200,69300,69600,69700,70100,70900,71500,71600,72000,72600,73200,73900,74300,74300,74600,75100,75600,76100,76700,77400,77800,78200,78700,79400,80000,80800,81600,82300,83000,83600,84100,84700,85500,86200,86700,87400,88200,89100,89600,89900,90000,90100,90100,90400,91200,91900,92300,92900,93600,94200,94800,95300,95900,96700,97500,98000,98400,98700,99200,99400,99700,99900,100400,100900,101300,101400,101800,102300,102900,103300,103700,104000,104300,104800,105300,106200,106800,106900,107100,107500,107700,108000,108600,109200,109900,110100,109800,109700,110000,110300,110600,110700,111000,111300,112000,112800,113200,113500,114000,114600,115400,116200,117000,117900,118500,119000,119500,119600,119400,119600,120100,120200,120400,120700,121100,121300,121600,121600,121300,121000,121100,121200,121200,120800,120000,119600,119300,118900,118600,118200,117500,116600,115700,114900,114100,113600,113400,112900,111600,109900,108200,106800,106000,105500,105000,104300,103500,102700,102000,101300,100900,100700,100500,100000,99400,98700,97900,97400,96900,96100,95000,93800,92800,91900,90800,89700,88300,87300,86600,85800,84800,83700,82600,81600,80700,79800,79100,78600,78400,78200,78100,77900,77700,77600,77500,77200,76900,76800,76900,77100,77500,77800,78000,78300,78900,79700,80600,81600,82700,83800,85000,85800,86300,87000,87200,87200,87700,88800,89900,91100,91900,92800,93500
"North Carolina",66200,66700,67200,67400,67500,67200,67100,67400,67900,67900,67800,67900,68600,69400,69800,69900,70300,70800,71100,71300,71900,72500,73200,73800,73900,73800,74200,74700,75000,75200,75400,75900,76300,76700,77100,77400,77600,77900,78200,78500,78600,79000,79300,79600,79800,80200,80400,80500,80700,81000,81100,81400,81800,82200,82600,83000,82500,82300,83300,84400,84000,83900,83900,84000,84200,84400,84500,84800,85100,85100,85200,85300,85700,85900,86300,86600,86900,87200,87500,87600,88000,88400,88500,88500,88800,89200,89500,89400,89200,89200,89200,89000,89200,89500,89700,90100,90400,90700,91000,91600,91900,92000,92200,92600,93200,93800,94100,94200,94700,95100,95200,95400,95900,96800,97800,98600,99300,99800,100200,100700,101200,101600,101900,102300,103000,103900,104300,104600,104800,105000,105000,105100,105300,105800,106300,106800,107200,107500,107600,107800,107900,107900,108200,108200,108100,108300,108800,108800,108400,107900,107500,107200,107000,106900,106900,106700,106500,106000,105600,105500,105400,105100,104800,104700,104600,104200,103900,103800,103500,103000,102400,102100,101600,100800,100100,99600,99200,98500,97900,97800,97900,97600,96900,96400,95900,95500,95200,94900,94700,94600,94400,94500,94600,94800,94800,94700,94700,94800,94700,94500,94500,94600,94600,94600,94700,94900,95200,95400,95600,95900,96300,96600,96800,97100,97600,97000,95600,95100,95300,95100,95100,95100,95200,95500
"New Jersey",107800,107300,106800,106400,106100,105900,105800,105600,105300,105200,105600,106100,106300,106400,106600,106800,107000,107100,107200,107600,108000,108500,109300,110100,110700,111100,111100,111000,111100,111400,111900,112400,112800,113400,114200,114900,115600,116200,117000,117700,118400,119200,120100,121100,122000,122700,123500,124200,125100,126100,127400,128500,129400,130200,131200,132300,133800,135200,136400,137600,138700,139900,141300,142700,144300,146200,148000,149300,150600,152400,154300,156300,158400,160400,162500,164800,167200,169600,171900,174200,176700,178900,181100,183500,186000,188000,189900,192100,194400,196200,197900,200000,202300,204900,207300,209400,211900,215000,218400,222000,225500,229200,232800,236300,239500,242200,244900,247500,250300,253200,256000,258700,261400,263900,266200,268400,270400,271700,272900,273900,274800,275600,276200,276100,275300,274400,273500,272400,271100,270100,269500,269200,269000,268300,267000,265600,264100,262800,261600,260600,259200,257600,256100,254500,252600,250700,248900,247100,245200,243300,241500,239400,237800,237000,236200,234600,232900,231200,229700,228700,228000,227200,226700,226200,225900,225600,225300,224700,224200,223800,223000,222000,221000,219800,218400,216900,215200,213600,212300,210600,208300,206400,204800,203200,202000,200900,199700,198500,197400,196200,195200,194600,194200,193600,193000,192600,192400,192200,192000,191900,191800,191600,191500,191800,192200,192600,193400,194400,194700,195000,196200,197400,198100,198600,199100,200000,201600,203100,204500,205700,206500,207400,208000,208300
