"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",267400,266600,265000,263300,261600,261000,260700,260400,260400,261600,262700,263600,264400,266100,268600,270600,272100,274300,276900,279700,282600,286000,289500,291400,292500,294300,298000,302100,305800,308800,312400,316100,319400,322300,324400,326600,329100,332300,335200,337600,339900,342300,344600,347700,351100,354800,359100,363400,367900,372900,377300,381300,385300,389200,392800,396500,400600,405100,409900,414700,419000,422200,424500,427000,430100,433100,436100,439000,441900,445100,448700,452300,455900,459700,464600,470500,476200,481400,486800,492700,498600,504100,509800,516000,522000,527200,532400,538600,546000,554400,563100,571700,580300,589700,599900,611100,623700,637400,651000,663700,675300,685600,695000,704000,713100,722200,731400,740800,750000,759100,767900,776500,784500,791700,797800,803500,808000,811100,812600,813600,813800,813400,811900,809900,807300,804400,801300,798600,795300,792000,789500,787300,783800,779400,773800,767600,761200,754400,747300,739600,730500,720000,708000,694500,680900,668500,656800,645800,635400,625800,616700,606800,598800,593900,590000,585300,581000,577300,575000,574000,573800,574000,574700,576000,577600,578800,579800,580500,580500,579800,578200,575500,572700,570000,567400,564700,562200,558900,555300,552000,549000,545300,541800,539200,537200,535800,535100,534700,534300,534300,535000,536200,538200,541700,546400,551100,555600,560400,565800,571400,577200,584000,591900,601200,611000,620900,631200,641200,649500,656300,662600,668800,673700,677100,679400,682800,688100,692800,695300,696900,699200,702500,706400,709700
"New York",155600,154900,154500,154100,153300,152100,152800,154600,156400,158000,159700,160100,160600,161200,161700,161900,162400,163300,163800,164000,164100,164500,165200,166400,167600,168300,168800,169100,169500,170100,170600,171100,171600,172000,172800,174100,175600,176900,178000,179500,181100,182600,183700,185100,186900,188500,190000,191500,193200,195000,196700,198200,199900,201600,203100,204600,206200,207900,209600,211400,213300,215100,216300,217200,218600,220600,222100,223400,224500,225800,226400,226800,227700,229200,230800,233200,236000,238900,241800,244900,247800,250500,253600,257100,260100,263700,268500,272600,275200,277500,280000,282400,283900,285000,287100,290200,292800,294900,297000,300000,303700,307100,310800,314900,318000,320700,324200,328700,332900,336900,340900,344800,348400,351800,355300,358800,361500,362700,363700,365600,368000,370300,372200,373600,375100,375800,375600,373500,381700,398100,407400,405900,406300,406900,407200,406600,405400,404100,402500,400800,398600,396500,394500,392100,389300,386700,384000,381300,378800,376800,375400,375200,366400,352400,345100,345500,344000,342100,340000,338200,337000,336000,334900,333700,332500,331100,329600,328400,327400,326200,324700,323500,322400,321500,320500,319900,319200,318100,317200,316500,315300,314000,313100,312300,311300,310200,309300,308500,307600,306800,306000,305100,304200,304000,304100,304000,304200,305000,305700,305700,305500,305400,305700,305700,306100,306800,308000,309600,311200,312200,313300,315100,317200,319100,320700,322600,325000,326800,327500,328000,328800,329300,329900,330600
"Florida",202300,203300,203100,202700,202700,202500,202000,201600,201600,201900,203300,205200,206500,206600,207000,207600,208100,209000,210800,212600,214000,215700,217400,218500,219000,219900,220800,221100,221200,222200,223300,224300,225300,226500,228100,229700,231100,232600,234100,235300,236800,238600,240000,241400,242900,244400,245900,247900,250100,252400,254600,256800,258600,260300,262200,264300,266300,268200,270500,272900,274900,276800,279000,281700,284000,285700,287100,288900,291600,294800,298300,301300,303900,305200,306900,310300,314400,317500,320100,323200,325900,328200,329800,331200,332800,335000,337400,339600,342300,345600,348800,352500,356800,361400,365700,369700,374700,380900,387600,394400,401600,409200,417700,426000,433700,441500,450200,460100,471000,482600,493900,504500,514500,524100,532600,540200,546000,549800,553300,557600,561200,563700,564600,564500,563400,561700,560200,558900,556900,554500,552100,549100,545300,540700,535700,530400,524700,518700,512700,506500,499300,490800,481300,471800,462100,452600,443600,434900,426200,418000,409600,400300,393400,390300,387700,383400,379000,375200,371600,368500,366500,365300,364800,364500,364800,365100,364900,363900,363000,362500,362000,360800,359000,356700,354200,352000,349900,347600,346100,345500,344500,342700,341000,339900,339100,338400,338100,338100,338100,338500,339700,341300,343300,345700,348200,350600,353100,355500,358000,360200,361700,363400,366000,368700,370900,373300,376300,379800,383500,387700,392100,396100,398600,400200,401500,404000,407900,411600,414200,416300,417600,418900,420800,422400
"Illinois",228600,227200,226400,226500,226900,227600,228300,228500,229100,230600,231700,232100,232700,233800,234800,235100,235500,236200,236900,237700,238600,239500,240700,241400,242000,242800,243500,244200,245100,246100,247100,248300,249400,250500,251900,253600,255100,256700,258400,259700,260800,262100,263800,265600,267200,268700,270500,272100,273400,274700,276500,278300,279300,280400,282000,283600,285500,287700,289400,291200,293200,295200,296700,298500,300700,302700,304200,305800,307200,308300,309200,310700,312500,314000,315500,317400,319500,321600,323700,325700,327800,329800,332000,334600,336800,339000,341500,344300,346700,347900,348500,349200,350800,352500,353900,355100,356900,359500,361800,363500,365300,367500,370000,373100,376100,378500,381200,384000,386200,388100,390400,392800,395000,397300,399600,401400,402800,404400,406200,408100,410100,411700,412700,413400,414200,415300,416400,417100,417600,418200,418600,418900,419100,419100,418800,418100,416800,415200,413800,412300,410300,408100,405600,402800,400400,398500,396300,394000,392300,391100,390000,387800,385900,384800,383400,381300,379200,376700,374600,373100,371700,370500,369800,369400,368500,367400,366300,364900,363000,361300,359400,357700,355900,353500,350800,348600,346500,344300,343000,341700,339600,337400,335500,333400,331900,330400,328100,326200,325200,323700,322300,321400,321000,320700,320600,320400,320300,320200,320400,320600,321100,321800,322900,323900,325000,326700,329700,332700,335100,337500,340800,342900,343800,345000,346200,348400,351600,354300,355700,357400,359000,360000,360600,361200
"Pennsylvania",144800,144400,143700,143000,143000,143000,142900,142600,142400,142600,143100,143500,143500,143600,144000,144500,144900,145400,145800,146100,146400,147000,148000,148700,149000,149200,149700,149900,149700,149700,150100,150800,151700,152300,152700,153200,153800,154100,154400,154900,155500,156000,156200,156600,157100,157700,158400,159300,160000,160900,161700,162500,163400,164400,165400,166300,167000,167700,168700,169600,170500,171400,172100,173000,173700,174300,175100,176100,177200,178000,178900,180000,181200,182400,183700,185000,186100,187400,188900,190700,192400,194200,195600,197200,199200,201100,202900,205000,207200,209200,210900,212500,214300,216200,218000,219700,221400,223500,225800,228100,230600,233300,235700,237900,240100,242400,244800,247200,249500,251700,254000,256200,258600,261100,263700,265900,267700,269100,270200,271100,272100,273200,274300,275300,276000,276000,276200,276700,276900,277100,277800,278600,278900,279400,279700,279500,279400,279400,278700,277800,277300,276700,275800,275000,274600,274300,274000,273900,273600,273100,272800,272700,272900,273600,274100,274100,274000,273700,273000,272300,271900,271800,271900,271800,271600,271500,271400,270800,270400,270100,269600,268700,267700,266800,266000,265300,264400,263400,263000,262300,260900,259400,258300,257300,256600,256200,255900,255800,255300,254800,254700,254400,254000,253900,254100,254400,254900,255000,254800,254600,254500,254700,255400,255700,255400,255600,257100,258800,259800,261000,262700,264300,265700,267300,268000,271100,276200,279500,280100,281200,282400,283500,284300,285000
"Ohio",150900,150800,150500,150400,150400,150200,150300,150500,150700,151100,151900,152500,153200,153800,154500,154900,155400,155900,156400,156900,157500,158400,159100,159500,160000,160500,160900,161400,161800,162000,162400,163100,163900,164600,165100,165600,166200,167000,167800,168600,169400,170000,170500,171000,171500,172000,172600,173500,174300,174900,175500,176100,176600,177300,177900,178200,178600,178900,179300,179800,180200,180600,181100,181500,182000,182600,183300,183800,184100,184800,185500,186200,186500,186700,187000,187700,188400,189000,189400,189800,190400,191000,191800,192600,193300,194300,195400,196400,197100,197900,199000,200400,201500,202000,202100,202100,202600,203400,203800,204000,204600,205300,205700,206100,206600,207100,207600,208300,208800,209100,209300,209800,210200,210200,210600,211200,211600,211700,211700,212000,212100,212000,211700,211500,211300,211500,211600,211400,210800,210500,210400,210200,209900,209900,209600,208900,208200,207700,207100,206200,205300,204200,203000,201900,200900,200200,199900,199700,199400,198800,198000,197000,197600,199800,201700,202000,202200,202400,202700,202900,203000,202900,202900,202900,202400,201500,201000,200500,200100,199800,199300,198700,198500,198100,197800,197400,196800,195700,194900,194600,194400,194000,193800,193800,194000,194000,194000,194400,194300,193800,193500,193600,193600,193600,193800,194200,194500,194900,195300,195300,195300,195400,195900,196600,197500,198400,199700,200900,201900,203100,204500,205900,207400,208600,209400,210900,212800,213800,214200,215000,215500,215900,216400,216900
"Michigan",179000,175100,172700,172600,172600,172500,172600,173000,173300,173200,173400,174500,176300,178100,179600,180700,181700,182400,182800,183500,184500,185100,185800,187000,189000,191100,192900,193800,194800,195900,197100,198000,199500,201200,202900,204700,206500,208300,209900,211000,211900,212900,214100,215200,216400,217700,219200,220900,222600,224200,225700,227300,229000,230500,231600,232900,234600,235700,236100,237000,238200,239500,240600,241700,242300,243000,244000,245000,245700,246400,247300,248400,249600,250800,252200,253700,255200,257000,258800,259700,260200,260600,261000,261200,261800,262500,263400,264400,265500,266300,267300,268400,269400,270100,270900,271500,271700,271600,271400,271600,272200,272800,273500,274400,275200,275900,276700,277400,277700,278400,279000,279100,278700,278300,278100,278300,278500,278400,277800,277300,277000,276500,275700,275000,274400,273600,272900,272200,271200,269600,268300,267200,265800,264200,262700,260600,258200,256100,253800,251100,247800,244100,240400,237600,235400,233500,231500,229700,227800,225700,223700,220800,219400,220400,221600,220700,219100,217600,216400,215700,215600,215400,214700,214400,214500,214600,214500,214500,214200,213900,213400,212700,211600,210700,210100,209800,209200,208200,207800,208000,207600,206600,206100,205900,205900,206200,206600,207400,208000,208100,208300,208900,210100,211700,213300,215000,216900,218700,220500,222100,223600,225300,227100,228700,230500,232800,235700,238800,241600,244300,247400,249900,251400,252400,253500,255500,259000,262800,265100,266500,267500,268400,269200,269800
"Georgia",217900,217700,217600,217800,218200,218100,218000,218600,219400,219900,220400,221700,223300,224400,225200,225900,226800,227900,229200,230300,231400,232900,234400,235500,236000,236500,237700,239100,240500,242100,243900,245600,247100,248400,250100,252300,254500,256400,258300,260000,261100,262000,263000,263900,264900,266300,267500,268900,270900,273200,274800,276200,277700,279200,280400,281200,282000,283600,285300,286400,287200,287900,288600,289600,291300,293200,294700,296000,297400,298500,299400,300600,301600,302500,303500,304700,305600,306100,306700,307900,309000,309600,310400,311700,312900,314100,315200,316000,316500,317300,318500,319900,321100,322400,323700,324600,325400,326200,327400,328900,330700,332500,334200,336100,338300,340100,342000,343900,345900,348100,350300,352100,354000,356100,358300,360800,363200,365600,367900,370000,372200,374300,375900,377400,378900,380100,381200,382300,382600,382300,381800,381900,382500,382900,382400,381700,381100,380200,378600,376700,374800,372600,370100,367900,365600,362900,360700,358200,354700,351200,347700,343000,339800,339000,338200,335600,332900,330400,328100,326500,326100,326000,325800,325500,324800,324200,323900,323300,322400,321600,320600,319300,317800,316300,314900,313500,311800,309400,307300,305700,304000,301900,300200,298900,297900,296800,296000,295800,295800,295300,294600,294400,294900,295800,297100,298300,299300,300300,301500,303200,304800,306000,307400,309300,311400,314200,317600,321000,324300,327300,330200,333200,335400,337000,338700,341000,343700,346300,348500,350100,351500,353100,355000,356600
"North Carolina",186500,186800,187000,187200,187200,187000,187600,188400,188900,189600,190500,191500,192700,193800,194700,195800,197500,199100,200300,201500,203200,205000,206700,208600,210500,213000,216100,218700,220400,221400,221700,222100,222400,222500,223100,224300,225700,227000,227200,226600,226500,227400,228600,229100,229500,230800,233300,235200,236700,237800,239400,241000,242200,243500,245000,246500,248200,250200,251400,251700,252000,252400,253100,254600,256200,257400,258300,259200,259900,260100,260500,261500,261900,261900,262200,262400,262500,262600,262800,263500,264500,265200,265600,266300,267000,267600,268200,269200,270100,271000,272100,272800,273500,274700,275600,276200,277500,279300,280400,281300,282700,284300,285700,287400,289100,290400,292000,294000,295900,297800,299700,301900,304000,306200,308200,310400,312500,314300,315900,317400,318800,320100,321600,323200,325100,326900,328600,330600,331900,333000,334500,336200,337500,338400,339300,340200,340800,341300,342000,342200,342300,342300,342000,341700,341700,341800,341700,341100,340100,339000,337400,335300,334500,334800,334500,333200,331900,330900,330100,329300,328300,327100,326200,325400,324500,323200,321800,320800,320100,319200,318000,316800,315400,313900,312800,311900,310900,309800,308700,308100,307300,306400,305300,304500,304100,304000,303700,303300,302800,302400,302200,302400,302900,303500,303900,304400,304900,305100,305300,305700,306200,306900,307800,309200,310800,312200,313000,314100,315200,316300,317400,318900,320300,321400,322500,321700,319800,319600,320500,321000,321700,322500,323100,323600
"New Jersey",227000,224800,223700,222800,221700,220800,220300,220000,219700,219500,219800,220800,221700,222100,222700,223400,223700,223900,224800,226500,227800,229300,231200,233100,234800,235800,236400,237600,239400,240900,242300,244100,246400,248400,250200,252200,254700,256900,258700,260600,262800,265400,267900,270000,272200,275100,278200,281100,283900,287000,290300,293100,295800,298700,301700,304600,308200,311700,314600,317600,321100,324500,328100,331900,336200,340900,344900,348200,351500,355300,359700,364100,368300,372800,377600,382700,387700,392100,396100,400700,405700,410700,415500,420200,424600,429100,433700,438300,442800,447000,451400,456000,459900,463100,467100,471800,477000,482500,488000,493600,500000,506800,513700,520200,526300,532300,537900,543500,549300,555400,561200,566700,571000,574400,578000,582100,585700,588100,589700,591400,593300,594900,596100,596600,596700,596800,596200,594500,593000,591800,590900,590700,590700,590100,588900,587100,584500,581600,579400,577900,575900,573600,570900,567800,564300,561100,557900,554600,551000,547600,544600,541100,538000,536300,535500,533400,530300,527400,525000,523300,522000,521300,520300,519400,519200,519500,519200,518300,516900,515300,514200,512800,510900,509300,507700,505900,503700,501500,499800,497700,494000,490100,487100,485300,483600,481800,479700,477600,475500,473700,472100,470700,468900,467300,467100,467700,468300,468700,469200,469300,468800,468100,468600,469500,468500,468700,471400,474500,476000,477900,480900,484000,486500,488400,490000,491800,501800,510400,509600,506600,509900,511900,512800,512900
