"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",159800,159700,159200,158800,158800,158800,158800,158800,159000,159900,160600,161200,161500,161700,161800,162200,162600,163200,164200,165300,166500,167900,170200,170100,169700,171300,174200,175600,176900,178000,179300,180700,182000,183300,184600,186200,187700,189000,190700,192500,194200,196000,198000,200200,202600,205400,208200,211200,214000,216800,219300,221800,224400,226900,229200,231700,234200,236900,239600,242600,245200,247500,249400,251600,253700,255700,257800,260100,262800,265600,268400,271300,274700,278200,281800,286100,290700,295500,300300,304800,309200,313500,317800,322400,326900,330800,334500,338600,343500,349000,354800,360800,367500,374400,381600,389300,398100,407800,417800,427200,435800,443300,450100,456500,462300,468000,474000,479900,485900,492100,498500,505400,512000,518100,523700,528800,532300,534500,536100,537500,538300,538300,537700,536600,534800,532400,529600,527000,523800,521000,518700,516700,513900,510500,506100,501200,496200,490900,485400,479300,471800,463300,454100,443900,433300,423000,413200,403600,394500,386100,378000,369700,363900,360600,357800,353900,350200,346800,344000,342000,340700,339900,339800,340200,340700,341100,341200,341300,341500,341800,341300,339900,338300,336600,334900,333300,331600,329300,327100,324800,322200,319300,316800,314900,313400,312100,311300,311000,310700,310700,311100,311900,313000,314800,317100,319700,322500,325600,328800,332200,335900,340100,345100,351400,358200,365100,372300,379700,386500,392300,397500,401900,405400,408100,410100,412900,417000,420900,423400,425400,427600,430000,432500,434200
"Texas",,,,,,,,,,,79800,80200,80500,80600,80900,81400,81700,82100,82600,82800,82900,83400,84100,84300,84300,84500,84700,84600,84500,85200,86000,86200,86000,86600,87300,87800,88400,89100,89800,90400,90600,91100,92100,92600,92700,93000,92900,92900,93500,94000,93800,93500,93700,94400,95000,95300,95500,95600,95700,96000,96200,96400,96800,97600,98900,99100,98000,98000,99000,99300,99000,99200,99200,99400,99700,100100,100900,102500,104400,104800,103800,103700,104200,104000,104000,104900,106400,107700,108800,108200,107300,106400,106800,108500,111300,113600,115200,116200,117100,117900,118600,119600,120200,120300,120700,121300,121600,122000,122900,123700,123400,121800,120600,120700,122000,124100,124600,124100,125100,127400,127300,126600,127100,128700,128400,128100,129100,131000,132300,133600,132800,131600,132500,134200,134600,134600,135000,135500,135100,134500,135000,135400,134200,132300,131100,129600,128300,127800,128500,128900,129100,128900,129500,130700,131500,131500,131600,131900,132200,132200,132400,132400,132100,132200,129700,125800,124300,124800,124200,123400,123200,123500,123500,122800,122200,121600,121300,121600,121700,120800,120600,120900,120800,120600,120400,120000,119100,118700,118800,118400,117800,117600,117000,116900,118000,118500,118200,118300,119000,119200,119600,120700,121900,122400,123500,124500,125200,125600,126700,127800,128000,127700,128600,129800,131500,134200,136000,135600,134900,134700,134900,135500,136200,136700
"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327900,327200,326600,325800,324100,322100,320500,319100,317500,315500,313200,311100,309400,307800,305700,305400,296300,281700,273700,274000,272700,271700,270500,269200,268300,267600,267200,266800,266100,265300,264400,263500,262600,261900,261000,260000,259000,258000,256800,255700,254700,253500,252500,251500,250600,249700,248600,247600,246700,245700,244500,243600,242700,241600,240800,240100,239300,238700,238600,238600,238700,239000,239300,239400,239500,239500,239500,239600,239900,240500,241300,242200,243000,243700,244500,245400,246100,246800,247600,248900,250300,251400,252000,252600,253000,253400,254000,254600
"Florida",87300,87400,87400,87600,87800,87900,87800,87800,87900,88100,88500,88900,89200,89200,89400,89500,89800,90100,90300,90600,91100,91700,92300,92600,92900,93200,93300,93400,93500,93700,94100,94600,95200,95700,96100,96600,97100,97500,98000,98400,99100,99800,100300,100800,101400,102100,103100,103900,104400,105100,105900,106700,107300,107900,108700,109600,110400,111300,112200,113200,114000,115000,115900,116900,117800,118800,119800,120700,121700,122800,123900,124900,126100,127200,128300,129400,130600,131800,133000,134300,135600,137100,138400,139600,140800,142200,143700,145000,146500,148000,149500,151200,153000,154700,156800,159000,161500,164100,166900,170100,173600,177100,180700,184600,188600,192500,196600,201400,206800,212600,218400,224200,229700,235100,239900,244300,247900,250600,253000,255200,256600,257100,257300,257000,256100,254700,253300,251600,249400,247000,244900,242700,240000,237000,234200,231300,228100,224900,221800,218700,215200,211100,206600,202100,197800,193700,189500,185500,181600,177500,173400,169200,165900,164300,162600,159900,157100,154600,152600,150800,149200,148100,147400,146800,146300,145900,145300,144700,144200,143600,142800,141900,140900,139700,138400,137300,135900,134500,133400,132300,131300,130400,129400,128300,127600,127100,126700,126500,126400,126400,126900,127600,128400,129000,129900,130800,131700,132800,133800,134500,135200,136000,137000,138300,139700,141000,142500,144200,145800,147500,149500,151500,152900,154000,155200,156600,158500,160400,161800,163200,164600,165600,166600,167500
"Illinois",113600,113800,113700,113000,112100,111700,111700,111800,112500,113600,114200,114200,114100,114100,114300,114800,115100,115400,115700,116100,116300,116600,117000,117200,117300,117600,117800,118000,118600,119300,119700,120000,120200,120700,121200,121800,122400,123100,123700,124500,125000,125500,126000,126800,127500,128100,128800,129500,130300,131200,132000,132500,132800,133300,134300,135200,136100,136900,137600,138300,139200,140000,140900,141900,142700,143800,145000,146000,146700,147500,148200,149000,149800,150300,151100,151800,152400,153100,154300,155300,156000,156600,157900,159300,160500,161800,163200,164400,165400,166000,166600,167300,168100,168900,169700,170400,171200,171900,172300,173800,176300,177500,177200,177700,179100,180400,181600,182800,183900,184800,185800,186800,187400,188100,189400,190700,191700,192500,193200,193800,194600,195300,195900,196100,197400,198700,198900,198400,198600,198900,199300,199400,199300,199400,199400,198800,197700,197200,197200,196800,196200,195600,194700,193500,192500,191700,190700,189700,188600,187600,186500,185100,183600,182200,180800,179600,178400,177100,175900,174800,173500,172700,172300,172000,171000,170300,169600,168700,167700,166900,166100,165000,163500,161800,160400,159100,157900,156700,155700,154800,153500,151800,150200,148700,147500,146200,145200,144300,143300,142200,141400,140800,140400,140100,140200,140300,140200,140100,139900,139800,139900,140000,140300,140600,141000,141700,143000,144500,145700,146800,148200,149500,150300,150900,151600,152500,153300,153900,154100,154400,154900,155500,156000,156300
"Pennsylvania",86100,86200,86000,85600,85500,85400,85000,84900,85100,85200,85100,85200,85400,85400,85400,85500,85600,85700,85900,86100,86300,86600,86900,87300,87600,87800,87900,88100,88300,88300,88500,88900,89500,89800,90200,90500,90800,90800,90800,91000,91100,91200,91500,91500,91500,91800,92500,92900,93100,93400,93800,94200,94400,94800,95300,95700,95900,96200,96600,97300,97900,98500,98900,99200,99600,100300,100900,101500,102200,103000,103500,103900,104400,105000,105500,106100,106700,107300,108100,108900,109700,110500,111400,112200,112900,113800,114700,115700,116800,117600,118200,119200,120200,120900,121600,122300,123000,124000,125300,126200,127100,128000,128900,129700,130600,131500,132600,133600,134800,136000,137300,138800,140400,141800,142900,144000,144900,145800,146400,146900,147400,148100,148800,149400,149800,150500,151200,151700,151800,151900,152100,152600,153000,153400,153500,153500,153500,153600,153500,153500,153400,153200,152900,152900,153000,152900,152800,152700,152700,152600,152300,151700,152000,152900,153400,153300,153300,152900,152300,152100,152100,151900,151800,151900,151900,151600,151300,151300,151200,150900,150600,150300,149600,149100,148800,148500,147800,147200,146800,146400,146000,145400,144900,144600,144200,143900,143700,143400,143000,142500,142400,142300,142200,142300,142500,142500,142300,142300,142200,142300,142200,142000,142300,142700,143000,143500,144100,144500,144900,145400,145900,146400,147300,148500,149200,149600,150000,150400,150400,150600,151000,151400,151800,152200
"Ohio",86900,86900,86800,87200,87500,87500,87500,87800,88100,88500,88900,89100,89600,90000,90100,90300,90800,91300,91800,92200,92500,92800,93100,93400,93800,94000,94200,94300,94500,95000,95300,95500,95800,96300,96800,97200,97500,97800,98200,98800,99300,99500,99800,100200,100500,100900,101400,101800,102200,102800,103500,104100,104600,104800,105100,105300,105600,106000,106400,106600,106900,107400,107900,108100,108000,108200,108700,109100,109300,109700,110100,110600,110600,110700,110900,111200,111600,111900,112200,112600,113100,113400,113600,113900,114200,114600,115000,115400,115900,116300,116800,117400,117800,117900,118000,118400,118800,119000,119100,119300,119600,120000,120200,120400,120700,121000,121500,121900,122100,122300,122500,122700,122800,122900,123000,123100,123200,123500,123500,123500,123700,123700,123500,123300,123200,123200,123200,122900,122600,122500,122400,122100,121900,121600,121500,121300,121000,120600,120000,119600,119200,118500,117800,117100,116400,115800,115500,115200,114700,114100,113600,113100,112900,113300,113600,113300,113100,112800,112600,112600,112700,112600,112600,112700,112600,111900,111700,111700,111500,111300,111100,110800,110500,110100,109600,109000,108400,107700,107000,106500,106200,105800,105500,105200,104900,104600,104300,104300,104200,104100,103900,104000,104100,104400,104500,104600,104400,104600,105000,105100,104900,104900,105100,105200,105500,106000,106500,106900,107500,108200,109000,109600,110100,110900,111700,112400,113000,113300,113500,113900,114500,114900,115200,115500
"Michigan",91400,90600,90800,91500,90900,89700,89300,89700,89800,89700,89700,90000,90700,91500,92000,92300,92800,93200,93600,94400,95500,96300,96300,96200,96600,97500,98200,98800,99600,100600,101200,101700,102200,103200,104400,105500,106300,107300,108300,109300,110400,111400,112100,112500,112900,113700,114600,115500,116200,116800,117800,117600,116700,116500,117500,118400,119900,121400,122200,122700,123400,124400,125200,126000,126500,126900,127200,127400,127500,127600,128000,128100,128300,127700,127000,127800,129900,131100,131700,132300,133000,133500,133700,133900,134300,134700,135000,135300,135800,136100,136400,136700,137000,137500,138000,138100,138000,138200,138600,139000,139400,139700,139700,140100,139900,139100,139500,141100,141900,142200,142700,142800,142700,142700,142800,142700,142500,142500,141900,141000,140600,140500,139700,138600,137500,137200,137500,137600,136900,135700,134700,134200,134000,133800,133200,132400,131600,130700,129500,128200,126700,125300,123800,122400,120700,119100,117800,116700,115300,113700,112300,110500,109300,109100,109100,108300,107400,106600,105900,105200,104700,104200,103400,102800,102900,102700,102200,102000,102100,102100,101600,100900,100500,99900,99400,99000,98600,98100,97500,96900,96300,95500,94900,94700,94500,94300,93900,93800,94000,94300,94600,94800,95300,96400,97600,98700,99500,100600,102100,103400,104100,105000,106300,107500,108400,109700,111100,112300,113500,114200,114700,115400,116400,117100,117700,117500,116500,115500,115600,116100,116600,117000,117600,118000
"Georgia",91900,92900,93400,92900,92500,92900,93700,94200,94600,95000,95000,95100,95000,95100,95500,96400,97300,97600,97800,98400,99200,99600,100300,101200,101800,102000,102500,103400,104200,104900,105500,105800,105900,106700,107600,108100,108500,109200,110200,111500,112100,112300,112700,113000,113800,115400,116900,117600,118100,118400,118900,120000,121300,122100,123100,123900,123700,123700,124600,125200,125700,126800,127600,127200,126600,126900,127200,127900,128800,129500,129400,130200,131100,131400,131200,131900,133100,133700,134300,135200,135100,134600,134900,135400,135700,136200,136600,136800,137200,137900,138300,138500,139500,140400,140900,141700,142600,143200,143600,143800,144000,144600,145300,145900,146600,147300,148100,148600,149000,149600,150400,151000,151700,152400,153000,153600,154300,154900,155100,155300,155600,155900,156400,157100,157500,157700,157900,158100,158000,157600,157400,157400,157400,157500,157600,157500,157400,157300,157000,156500,155900,155300,154700,153700,152600,151400,150400,149500,148100,146300,144800,143100,141900,141500,141100,140300,139600,138700,137800,137300,136900,136400,136000,135700,135300,135000,134800,134500,134200,133700,132800,131900,131100,130300,129300,128400,127500,126300,125200,124200,123200,122200,121100,119900,119000,118200,117500,117100,116800,116400,115900,115700,115800,116100,116300,116400,116700,116900,117100,117400,117900,118500,119300,120100,120900,122000,123300,124500,125600,126900,127900,128900,130000,130800,131200,131400,131500,132100,133300,134400,135500,136600,137900,138800
"North Carolina",91000,91300,91900,93000,93600,93100,93100,93600,94200,94800,94900,95300,96500,97900,98200,97900,98000,98800,99500,99800,100100,100100,101600,104200,106400,106600,106900,107400,108600,109400,109500,109800,109800,109400,109500,110700,111100,111500,112500,112900,113300,114700,114500,112800,113200,115300,117100,117600,117800,117800,117800,117800,117500,117800,119100,120100,120500,120400,120100,120100,120300,120600,120300,119800,119800,120300,120600,120800,120600,120800,121400,121700,121200,121400,122300,123600,123900,123100,123600,126000,127500,127500,127500,127100,127200,127800,128200,128100,128100,128500,128600,128400,128500,128900,129300,129700,130100,130600,131200,131800,132700,133400,133900,134200,134600,135100,135600,136200,137000,137600,138100,138900,139700,140400,141200,142100,143000,143500,144000,144500,145100,145400,145800,146300,147000,147600,148000,148400,148700,149200,149800,150300,150900,151500,152000,152400,153000,153400,153600,153600,153500,153300,152900,152700,152800,153000,153000,152900,152700,152400,151900,151200,151100,151700,151900,151400,151000,150700,150500,150200,149700,149500,149500,149300,149000,148500,148100,147800,147400,147000,146700,146200,145600,144900,144100,143600,143100,142500,142300,142100,141800,141400,141000,140700,140500,140300,139900,139400,139100,138900,138800,139100,139200,139300,139500,139600,139600,139900,140100,140200,140400,140600,140600,140800,141100,141400,141600,142300,142900,143300,144100,145200,145600,146000,146800,146600,145700,145500,145800,145900,146000,146100,146400,146600
