"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",110500,110200,109900,109800,109800,109600,109400,109400,109400,109600,110100,110700,111000,110900,111000,111400,111800,112100,112500,113100,113800,114700,115800,116200,116800,118200,119200,119200,119500,120300,121200,122000,122600,123300,124000,124800,125400,126100,127200,128300,129100,129900,131000,132400,133700,135300,137000,138700,140200,141700,143300,145100,146500,147800,149200,150600,152200,154200,156100,157900,159700,161500,163300,165000,166800,168600,170400,172200,174100,176200,178500,180700,183100,185600,188000,190700,194100,197700,201300,204900,208700,212200,215600,219300,223000,226400,229400,232700,236600,240600,244900,249500,254600,259900,265400,271100,277200,284400,292000,299700,306800,313200,319100,324500,329700,334700,339800,345100,350300,355100,359900,365100,370200,375200,379900,384100,387200,389400,391000,392300,393400,394300,395000,395400,394800,393000,390800,389000,386900,384700,383000,381500,379400,376600,373200,369300,365200,360300,355300,350000,343900,337100,329600,321200,312500,303900,295400,286900,278200,270000,262400,254600,247600,241500,236100,230500,225300,220500,216100,212300,209800,208000,206500,205500,205100,205000,204900,204600,204100,203700,203200,202500,201500,200600,199700,198800,197500,196200,194800,193400,191800,190200,188800,187500,186300,185400,184500,183800,183300,183400,183800,184100,184500,185500,186800,188200,190100,192300,194600,196900,199200,201900,205600,210000,214800,219900,225500,231400,236800,241600,246200,250400,253700,256400,258900,262800,268200,272900,276000,278500,281000,283600,286400,288600
"Florida",53800,53900,54000,54000,53900,53900,53900,53800,53800,53800,53900,54200,54300,54200,54300,54500,54700,54800,55100,55300,55600,55900,56300,56500,56700,56600,56600,56700,56900,57100,57200,57500,57800,58000,58200,58500,58800,59100,59300,59700,60000,60200,60400,60700,61000,61400,61700,62000,62300,62800,63000,63400,63800,64000,64300,64900,65300,65600,66100,66700,67300,67800,68300,68700,69200,69600,70100,70600,71200,72200,73000,73500,73900,74600,75300,75900,76500,77200,78100,78900,79600,80200,80900,81900,82800,83600,84500,85400,86400,87200,88000,89000,90100,91300,92500,93600,95100,96900,98800,100900,103200,105500,107900,110500,113100,115700,118600,121800,125100,128400,131800,135100,138400,141900,145100,147800,150300,152500,154100,155600,156900,158000,158700,159100,159000,158700,158300,157500,156100,154600,153200,151900,150300,148600,146700,144700,142900,140900,138900,136800,134500,131600,128600,125600,122600,119600,116600,113700,110900,108000,105000,101800,99200,97700,96300,94000,91700,89600,87500,85600,84000,82500,81100,80000,79100,78200,77200,76200,75400,74700,73800,73000,72200,71200,70100,69300,68400,67200,66400,65900,65100,64000,63400,62800,62100,61600,61300,61100,61100,61200,61400,61500,61600,62200,62800,63300,63600,64100,64700,65100,65500,66000,66500,67200,68100,68800,69600,70500,71500,72400,73600,74500,75200,75800,76300,77100,78500,79700,80600,81400,82200,83000,83800,84300
"Illinois",77000,76800,76800,76600,76100,75900,75900,75800,76300,77200,77800,77700,77400,77400,77500,77500,77400,77300,77500,78000,78200,78400,78800,79100,79300,79500,79600,79800,80300,80600,80900,81300,81500,81600,81800,82300,83000,83400,83700,84100,84500,84900,85500,86000,86200,86400,86900,87600,88100,88500,89000,89500,90100,90700,91400,92000,92700,93200,93600,94100,94600,95100,95600,96100,96700,97500,98200,99000,99600,99900,100300,100800,101100,101600,102200,102400,102600,103200,103900,104800,105900,106900,107600,108600,109800,110900,112200,113500,113900,113900,113900,114300,114600,115000,115800,116500,117000,117700,118300,119600,121400,122700,122900,123000,123400,124100,124800,125800,126800,127500,128200,129000,129600,130100,131100,132200,133000,133700,134200,134700,135400,135900,136100,136300,137100,138400,138700,138200,138100,138400,138500,138300,137900,138200,138400,137800,136700,135900,135800,135900,135500,134800,134100,133100,132100,131300,130500,129700,128900,127900,127200,126500,125700,125000,124000,122800,121700,120500,119200,118400,117600,116700,115700,115000,114000,113200,112700,112100,111300,110300,109100,108000,106900,105900,104900,103700,102400,101000,99800,99000,98100,96900,95800,94600,93300,91700,90200,89000,88000,87200,86400,86100,86000,86000,85900,85800,85500,85400,85100,84900,84800,84800,84800,85000,85400,85800,86500,87300,88000,88700,89700,90600,91400,91900,92400,92300,91800,91100,90600,90200,90300,90500,90800,91200
"Pennsylvania",51800,51500,51300,51200,51200,51200,51100,51100,51400,51500,51400,51400,51400,51300,51200,51300,51600,51700,51500,51400,51500,51700,51900,52200,52200,52200,52200,52300,52300,52200,52400,52600,52800,53000,53300,53500,53600,53900,54000,54000,54000,53900,53900,53800,53900,53900,54000,54300,54400,54300,54400,54600,54700,54700,55000,55100,55100,55300,55600,55900,56100,56400,56600,56900,57200,57700,58300,58600,58800,58900,59200,59500,59700,60000,60100,60100,60300,60600,60900,61500,62000,62300,62300,62400,62900,63500,63900,64500,65000,65200,65500,65900,66200,66600,67000,67200,67600,68100,68600,69000,69500,70100,70600,71000,71300,71900,72500,73100,73600,74100,74700,75300,75900,76500,77200,77600,77800,78100,78300,78600,79000,79200,79700,80200,80400,80400,80500,81000,81600,82000,82300,82500,82700,82900,83000,83000,83100,83300,83200,83200,83100,83000,82900,82800,82800,83000,83100,82800,82700,82900,82900,82800,83000,83400,83600,83900,83800,83700,83700,83700,83500,83300,83100,83200,83200,83100,83100,83200,83300,83200,83100,83000,82700,82500,82300,82100,81700,81200,80800,80600,80300,79900,79400,79000,78800,78700,78300,77900,77600,77600,77300,77000,77000,77100,77000,76900,76900,76700,76500,76300,76200,76200,76100,76000,76200,76500,76900,77300,77800,78200,78700,79400,80100,80600,81200,81400,81000,80500,80500,80800,81200,81600,82000,82300
"Ohio",56500,56400,56400,56600,56800,57000,57100,57100,57200,57200,57300,57600,57800,57900,58200,58400,58600,58800,59100,59400,59700,60000,60300,60500,60700,60900,61200,61400,61500,61600,61800,62200,62400,62800,63000,63200,63600,64000,64200,64500,64900,65100,65400,65500,65700,66000,66300,66500,66700,67000,67400,67400,67400,67700,67700,67900,68100,68500,68700,69000,69100,69400,69600,69800,70000,70100,70300,70600,70800,70800,71100,71300,71500,71700,72000,72100,72400,72600,72800,73000,73300,73400,73600,73800,74000,74200,74500,74600,74800,75200,75600,75700,75900,76200,76400,76400,76600,76700,76800,76900,77100,77400,77600,77700,77700,77800,78000,78300,78600,78700,78800,78900,78900,78800,78700,78800,79100,79300,79200,79100,79000,79000,79000,79200,79200,79200,79100,78800,78800,78800,78700,78700,78500,78200,77900,77800,77500,77200,76900,76500,76000,75600,75200,74800,74400,74000,73500,73100,72600,72000,71400,71000,70700,70300,69900,69400,69000,68700,68400,68100,68000,67900,67700,67600,67400,67100,66800,66500,66500,66500,66200,65800,65500,65200,64800,64300,63700,63000,62500,62100,61500,61100,60900,60400,60000,59700,59500,59300,59100,58800,58900,58900,58600,58700,59000,59100,59000,58900,58900,58900,58800,58700,58600,58900,59100,59500,59700,59900,60100,60500,60700,61100,61500,61900,62200,62300,62100,61700,61500,61300,61400,61600,61800,61800
"Michigan",,,,,,,,,,,62800,61900,61200,61400,62000,62500,62500,62200,62200,62600,62900,63300,63200,62900,63100,63600,63900,64000,63700,63300,63400,63700,64000,64600,65100,65400,65800,66600,67100,67900,68300,68100,68200,68700,69200,69900,70800,71800,72500,72500,72500,72600,72500,72400,72600,72900,73300,73900,74400,74800,75300,75600,75900,76400,77000,77200,77300,77500,77500,77800,78300,78600,78700,79100,79500,80000,80600,81000,81300,81600,82100,82300,82400,82600,82900,83200,83500,83600,83800,84300,84600,84800,85000,85200,85300,85300,85200,85200,85400,85600,85800,85900,86200,86600,86900,87000,87000,87200,87300,87500,87400,87500,87600,87600,87500,87500,87600,87400,86900,86800,86900,86800,86700,86700,86300,85800,85700,85600,85200,84800,84500,84100,83600,82900,82400,82000,81600,81200,80700,80000,79000,78200,77300,76400,75500,74800,73900,72900,72000,71200,70200,68800,67800,67400,66900,65800,64900,64300,63300,62000,60800,59600,58400,57400,56700,56200,55800,55500,55300,54900,54200,53400,52800,52400,52100,51400,50600,49900,49400,49000,48300,47600,47300,46800,46200,45800,45600,45400,45200,45100,44800,44700,44800,44900,45200,45700,46000,46000,46100,46600,46900,46900,47200,47600,47800,48200,48800,49500,50200,50700,51200,51800,52400,52800,53400,53800,53900,54000,54200,54300,54500,54800,55200,55400
"Georgia",64200,64200,64300,64300,64200,64300,64500,64600,64600,64700,64900,65100,65300,65600,65800,66100,66600,66900,67200,67700,68100,68400,68800,69400,69600,69800,70000,70400,70800,71200,71500,71900,72300,72800,73300,73800,74200,74700,75200,75700,76100,76600,77100,77700,78200,78700,79200,79700,80000,80400,80800,81400,81600,81700,82200,82600,82900,83300,83800,84300,85100,85900,86400,86600,86900,87300,87500,87600,87900,88200,88600,89000,89100,89300,89900,90300,90700,91200,91600,91800,92000,92300,92500,92800,93300,93600,93800,94300,94600,94900,95100,95300,95600,96200,96600,96800,96700,96600,96600,96700,97100,97500,97800,98400,99000,99400,99600,99900,100500,101200,101800,102200,102700,103100,103400,103900,104400,104600,104800,105000,105400,105700,105800,106100,106400,106600,106900,107100,106900,106500,106200,106100,105900,105700,105500,105100,104900,104800,104500,103900,103200,102400,101600,100900,99900,98900,97900,96900,95600,94000,92400,90800,89500,88900,88300,87300,86200,85300,84600,83900,83100,82500,82100,81700,81300,80800,80100,79500,79000,78500,77700,76600,75700,74700,73600,72500,71400,70300,69600,68900,67900,66700,65600,64700,63700,63000,62500,61900,61500,61100,60800,60500,60300,60200,60000,59800,59700,59500,59300,59400,59600,59700,59900,60200,60600,61100,62000,62800,63700,64600,65700,66700,67400,68000,68400,68800,69500,70400,71200,72000,72800,73600,74300,74900
"North Carolina",60600,60900,61300,61700,61900,61900,61900,61800,61700,62000,62300,62400,62700,63000,63200,63300,63600,64000,64300,64500,64700,65100,65600,65900,66000,66200,66500,66800,67200,67500,67900,68500,68700,68800,69100,69600,69900,70100,70500,70900,70900,71100,71300,71600,71600,71700,72000,72500,72800,72900,73100,73300,73400,73700,74000,74300,75300,76200,75900,75100,75200,75200,75200,75300,75600,75700,75800,76100,76000,76100,76400,76800,77000,77200,77400,77700,77900,77900,78000,78200,78400,78600,79000,79400,79700,80000,80100,80100,80100,80200,80300,80300,80300,80500,81000,81400,81500,81600,82000,82100,82200,82600,82800,83000,83300,83400,83400,83500,83700,84000,84200,84500,85000,85400,86000,86600,87000,87000,87100,87400,87500,87600,87800,88000,88200,88500,88600,88600,88700,89000,89400,89400,89400,89700,90000,90400,90700,90900,90900,90800,90800,90900,91000,91200,91400,91600,91800,91900,92000,91800,91600,91300,91400,91700,91800,91600,91600,91600,91400,91300,91200,91100,90900,90700,90300,89900,89400,88900,88500,88000,87500,86900,86300,85800,85500,85300,84900,84300,84000,84100,83800,83200,82900,82500,82100,81700,81600,81500,81400,81400,81400,81300,81400,81400,81300,81500,81900,82100,82000,81900,81700,81600,81700,81800,81800,81900,82000,82300,82400,82600,83100,83700,84100,84400,84700,84900,84900,85100,85400,85500,85400,85500,85600,85600
"New Jersey",106500,105900,105500,105100,104700,104400,104300,104200,104100,104000,104100,104200,104600,104800,104900,105000,105000,105000,105200,105500,106100,106700,107400,108000,108400,108500,108500,108500,108800,109300,109700,110100,110500,111300,112100,113000,113700,114300,114800,115500,116400,117300,118000,118700,119500,120500,121300,122000,122900,124000,125300,126500,127400,128200,129100,130400,131500,132600,133700,134900,136200,137500,138800,140200,141700,143500,145200,146700,148100,149700,151500,153200,155000,157100,159300,161800,164300,166600,168700,171100,173700,176200,178700,181100,183500,185800,188200,190300,192400,194500,196900,199500,202000,204500,207200,209900,212700,215900,219500,223200,226900,230600,234400,238100,241600,244600,247700,251100,254400,257600,260900,264100,266900,269600,272200,274500,276400,277800,278900,280000,281200,282100,282500,282500,282400,282000,281300,280700,279600,278500,278000,277900,278000,277600,276400,275100,273700,272200,270800,269800,268500,266900,264900,262900,260700,258600,256200,254000,251800,249600,247300,244500,242700,242500,242100,240300,238200,236100,234200,232700,231800,230800,230100,229500,228900,228100,227200,226400,225600,224900,224200,223200,222000,220600,219300,217900,216100,214000,212500,211000,209100,207200,205700,204100,202700,201400,199800,197900,196100,194500,193000,191900,191200,190600,190200,190200,190300,190100,189900,189800,189400,189100,189200,189600,189600,189800,190400,191100,191400,192100,193600,195100,196500,198200,199500,200500,201700,203100,204300,205200,206100,207000,207700,208200
"Virginia",70900,71200,71200,71000,71000,71000,70800,70900,71000,70900,70800,71000,71200,71100,71100,71200,71400,71400,71500,71800,72000,72200,72400,72400,72400,72500,72700,72800,72800,73000,73300,73400,73600,74000,74500,74900,75200,75300,75600,75800,76000,76400,76800,77000,77300,77700,78300,78600,78700,79000,79500,79900,79900,80000,80500,80900,81100,81500,82100,82700,83100,83600,84000,84400,84900,85300,85500,85900,86500,87000,87400,87700,88300,89000,89500,89800,90300,90800,91300,91900,92500,93200,93900,94600,95400,95900,96600,97600,98900,99900,100800,101900,103200,104500,105700,107100,108700,110200,111900,113900,115800,117800,119900,121900,124000,126100,127800,129800,131900,133800,135400,137400,139500,141400,143100,144800,145800,146500,147200,148300,149500,150700,151900,152800,153500,154200,154900,155600,156300,157100,158100,158700,159100,159600,160100,160400,160400,160300,160200,159800,159100,158400,158000,157400,156600,155700,154700,153800,153000,152100,151000,149800,149000,148600,148200,147200,146000,145100,144300,143300,142400,141700,141400,141100,140400,139600,138800,138000,137700,137800,137500,137200,136700,136200,135400,134700,134100,133400,133000,132800,132200,131100,130200,129400,128700,128100,127500,127000,126700,126800,126700,126700,126800,126900,127000,127000,126900,126900,126900,126900,126800,126700,126800,127200,127800,128300,129000,129800,130700,131700,132700,133500,134400,135400,136000,136100,135600,135000,134500,134200,133800,133500,133500,133700
