"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",140300,140000,139100,138300,138000,137800,137700,137700,138000,138700,139500,140300,140900,141600,142000,142300,142800,143800,145000,146400,147700,149000,150700,151200,150000,149200,151600,155300,157800,158700,160100,161200,162400,163800,165300,166600,168000,169800,171500,173200,174800,176400,178400,180800,183300,185800,188600,191600,194800,197800,200300,202400,205100,208200,211000,214000,217100,220300,223400,226400,229200,232000,233900,235100,236600,238600,240700,243000,245400,247600,249400,251600,255000,258700,262000,265800,269900,274100,277900,281700,285100,288400,292000,295700,298900,301400,304200,307800,311900,316200,321000,326400,332400,338600,345200,352400,360800,370200,379400,387300,394200,400200,404800,408200,412100,417300,422800,427700,431500,435300,440300,446000,450700,455300,459600,463600,466100,467300,468000,468600,468500,467700,466100,464300,462500,460500,458200,455900,453100,449700,446500,444100,442400,440400,437100,433400,429900,426100,422000,417700,412400,406400,399900,392800,385400,378400,371500,364700,358100,352100,346800,341400,337300,335000,332800,329800,327000,324500,322800,321600,320900,320500,320400,321000,322100,322800,323100,323100,323100,322800,321700,319700,317500,315200,312800,310700,308400,305700,303300,300500,297200,294000,291400,289400,287700,286500,285500,284500,283500,283100,283400,283900,284600,285900,287700,289800,292400,295200,298300,301500,305000,309000,314200,320600,327700,334800,342500,350200,356800,362700,368200,373200,377100,380000,382200,385300,389100,391800,393100,394500,396200,398000,400300,402100
"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354600,359300,362800,365400,364200,362000,369000,384500,392300,391600,391700,395800,400700,406100,411200,417500,419900,419800,421900,427700,432600,437400,439800,440700,441500,442400,444100,447600,447700,446000,446300,447900,450500,454500,454900,453700,456200,459800,461400,462300,460700,457900,457200,459300,461800,465400,467800,468700,469300,469900,469200,468900,468000,465400,461900,459000,455900,452900,449500,446800,445100,444000,444100,446500,448300,449400,451400,454000,455200,456800,458600,459600,460200,461200,462100,463000,463100,462600,463000,464400,465200,465500,466500,468700,470500,470600,470200,470100,468800,467200,466700,467000,467100,467200,467900,469700,472300,476100,480600,483100,483300,483700,486500,491100,493800,496500,501900,507800,512900,518800,524800,530800,536600,542400,547000,554200,567800,583500,593600,600500,605700,608800,612100,616000
"Florida",72200,72500,72500,72500,72400,72400,72400,72300,72300,72600,73000,73200,73200,73200,73300,73600,73800,74000,74200,74400,74500,74900,75400,75900,76100,76300,76500,76400,76400,76600,76900,77300,77700,77900,78100,78600,79000,79200,79300,79500,79600,79900,80400,81000,81500,82100,82600,82900,83300,83900,84400,85100,85800,86200,86600,87100,87600,88300,89200,89900,90900,91800,92500,93500,94700,95700,96700,97700,98800,100200,101600,102800,103700,104900,106300,107800,109100,110500,112000,113700,115300,116800,118000,119300,120900,122600,124100,125500,126900,128300,129800,131500,133200,134700,136700,139000,141400,143800,146600,149700,153300,156800,160300,163900,167600,171300,175600,180300,185300,190500,196100,201400,206500,211600,216200,220200,223700,226700,229200,231100,232200,232500,232100,231400,230300,229000,227400,225300,223000,221000,219100,216900,214200,211500,208700,205900,203000,200400,197500,194400,191200,187400,183000,178400,174000,169800,165600,161300,157000,152400,148000,143800,140400,137700,135000,131800,128800,126100,123700,121500,119800,118500,117500,116800,116100,115300,114700,114000,113500,113200,112600,111700,110500,109300,108300,107200,105900,104600,103600,102900,102200,101300,100400,99700,99000,98700,98600,98500,98200,98300,98600,99400,100300,101200,102300,103300,104300,105200,106100,106900,107800,108800,110000,111300,112600,113800,115300,117100,119000,120600,122200,124000,125400,126700,127800,129100,130700,132200,133400,134500,135700,136700,137600,138400
"Illinois",106300,106100,106000,106200,106300,106300,106300,106400,106900,107300,107600,107900,108200,108200,108200,108400,108800,109300,109500,109600,109800,110300,111000,111300,111400,111900,112500,113100,113700,114500,115200,115800,116000,116300,116900,117700,118700,119500,120100,120900,121800,122600,123700,124900,126000,127000,128200,129500,130800,132200,133600,134500,134800,135100,136100,137400,139000,140300,141100,141800,143000,144700,146500,148100,149700,151200,152200,153500,155300,156800,157800,158800,159600,160000,160200,160300,160900,162000,163300,164400,165100,165400,166400,168000,169600,171200,173200,174700,175700,176400,176500,176400,176400,176900,177600,178400,179200,179600,179600,180400,181900,183100,184000,184700,185700,187000,188400,189600,190800,192200,193900,195200,195800,196100,196800,197900,198600,199300,200100,200500,200600,201100,201400,201600,201900,202100,202300,203000,203200,203400,203700,203700,203400,202900,202600,202200,202100,202300,202500,202500,202400,202300,201500,200200,199400,198700,197300,195900,195100,194500,193900,192500,191500,190500,189200,188000,187000,185800,185000,184000,182800,182100,181700,181300,180800,180000,178500,176900,175700,174800,173600,172100,170500,168700,166100,163500,161100,158800,158300,158500,157300,154600,152400,151100,149800,147700,145300,143100,141000,139200,137400,136100,135600,135800,135500,134700,134200,133900,133700,133600,133600,133600,133800,134000,134300,135300,137700,140300,141400,142000,144400,147400,149100,150300,151200,151600,151800,151200,149800,149400,150800,152300,152800,152900
"Pennsylvania",54400,54400,54300,54100,54100,54100,54100,54000,54000,54000,54000,54000,53900,53800,53700,53600,53600,53500,53500,53500,53500,53600,54000,54300,54500,54700,54700,54500,54400,54500,54700,54800,55200,55500,55500,55700,55900,56000,55900,56100,56300,56400,56300,56400,56700,56800,57000,57300,57300,57400,57700,57800,57600,57600,57900,58100,58100,58100,58200,58400,58700,58900,59000,59300,59600,60100,60600,61100,61800,62300,62700,63100,63700,64200,64600,65100,65800,66400,66900,67500,68100,68700,69400,70000,70400,70900,71700,72600,73300,73800,74300,74800,75600,76500,77400,78100,78900,80000,81000,82100,83200,84800,86200,87500,88700,90000,91400,92800,94400,96000,97800,99500,101100,102600,104200,105800,107400,108400,109300,110600,111900,113200,114400,115200,115900,116500,117100,117400,117700,117900,118400,118900,119400,119800,120100,120600,121100,121100,120900,120300,119800,119500,119400,119000,118500,118000,117600,117300,117000,116600,116500,116400,116600,117000,117300,117400,117400,117300,117100,117100,117500,118000,118400,119100,119800,119800,119400,119300,119400,119600,119700,119200,118300,117400,116600,115900,115300,115100,114900,114600,113900,113000,112300,111800,111500,111200,111000,110500,109900,109600,109400,109200,108600,108100,107500,107000,106700,106700,106400,106100,106100,106100,106200,106200,106400,106800,107200,107800,107900,108300,108800,109600,110300,111000,111500,112100,112800,113700,114400,114900,115500,116000,116600,117200
"Ohio",83400,83900,84200,84700,85000,85000,85000,85100,85300,85700,85900,86000,85900,85800,85900,86300,86800,87200,87400,87900,88300,88500,88900,89300,89500,89700,89900,89800,89900,90100,90400,90600,90900,91100,91600,92200,92600,93000,93400,93600,93700,94000,94300,94500,94600,95000,95400,95900,96200,96400,96700,97200,97600,98000,98300,98500,98700,99100,99500,99600,99900,100400,100700,100800,100900,101200,101600,101800,102100,102600,102900,103200,103400,103700,103900,104200,104500,104700,105000,105300,105700,106200,106700,107200,107700,108000,108300,108700,109100,109400,109900,110500,110900,111100,111100,111200,111400,111800,112200,112700,113100,113600,114100,114400,114700,115100,115500,115900,116200,116300,116400,116500,116500,116300,116300,116500,116700,116800,117000,117000,116900,116900,117000,117100,117200,117200,116900,116800,116600,116300,116100,116000,116000,115900,115500,115000,114700,114600,114500,114100,113700,113400,112700,112000,111400,111000,110600,110400,110300,110000,109600,108800,108300,108100,108000,107800,107400,107000,106700,106300,105900,105800,105600,105400,105100,104700,104300,103900,103600,103500,103300,102800,102200,101500,100700,100100,99500,98500,97800,97500,97100,96400,95800,95200,94500,93700,93300,92900,92400,92000,91800,91600,91700,91800,91800,91900,92300,92600,92600,92500,92600,92900,93200,93200,93300,93700,94200,94600,94900,95200,95800,96500,96900,97300,97500,97700,97700,97500,97700,98100,98100,98100,98400,98700
"Michigan",118100,118200,118600,119400,119500,119000,118800,119200,119600,120200,121000,121800,122400,123000,123500,124000,124900,125900,126600,127300,128300,129100,129600,130500,131400,132100,132700,133400,134000,134500,135300,136200,136900,137700,138600,139500,140000,140700,141500,142300,143100,144200,145100,145900,146800,148100,149300,150200,151400,152400,152900,153200,153900,154900,155900,156700,157300,157600,157700,158200,159000,159700,160300,161000,161400,161800,162400,162900,163000,163100,163600,164100,164600,165000,165700,166300,166900,167200,167500,168100,169000,169600,169900,170100,170200,170300,170800,171400,172000,172400,172600,172800,172900,173100,173700,174100,174300,174500,174400,174100,174000,174200,174400,174500,174600,174800,174900,175000,175100,175300,175600,175700,175600,175400,175100,174700,174300,173700,173000,172500,172100,171600,170800,169800,168700,168100,167400,166700,165600,164300,163200,162300,161300,160200,158900,157600,156200,154600,152900,151500,149900,148400,146500,144200,142000,140100,138300,136700,135300,133600,131600,129300,127700,126900,126100,124600,123100,121400,119900,118900,118100,117500,117000,116600,116000,115600,115300,115200,115100,115000,114800,114200,113300,112400,111700,111100,110400,109500,109200,109300,109200,108900,108700,108600,108400,108700,109200,109700,110100,110400,110600,110900,111800,113000,114100,115200,116500,117800,119000,120200,121400,122500,123500,124400,125300,126400,128300,130500,132800,134900,136600,138200,139600,140600,141500,142700,144300,145400,146100,146900,147700,148300,148900,149400
"Georgia",90500,90900,90600,90200,90100,90100,90100,90000,90000,90600,91300,91800,92100,92600,93000,93800,94600,95000,95600,96400,97100,97400,98000,98600,99200,99700,100400,101400,102400,103200,104000,105000,106100,107700,109400,110300,111000,112100,113900,115700,117100,118100,119300,120800,122100,123300,124300,125200,126000,127300,128600,129300,129700,130400,131500,132300,132700,133300,134200,134700,135100,135600,136000,136100,136700,137600,138000,138200,138500,139000,139200,139700,140400,140800,141300,141700,142200,143000,143800,144200,144500,144800,145000,145100,145300,145400,145600,145700,145800,146000,146100,146300,146600,146900,147400,148200,148800,148900,148900,149700,150300,150400,150400,150900,151500,152300,152900,153400,153800,154200,154700,155200,155800,156400,157200,157800,158500,159400,160200,160600,161100,161600,162000,161900,161900,161800,162100,162600,162900,162500,162200,162400,162600,162600,162500,162000,161600,161100,160400,159600,158600,157500,156300,155200,154000,152900,152000,151300,150100,148800,146900,144600,142700,141100,139300,137600,136400,135100,134000,133100,132600,132300,132000,131500,130900,130300,129900,129100,128100,127300,126700,125800,124500,123400,122400,121300,120000,118600,117400,116100,114800,112900,110700,108600,106900,105700,104400,103300,102800,102300,101500,101000,100900,101200,101600,101800,101800,101700,102200,102900,103500,104200,105200,106000,106600,107600,109200,111000,112700,114200,115600,117100,118400,119400,120500,122100,123900,125300,126500,127900,129300,130500,131600,132600
"North Carolina",86900,88000,88500,88800,89200,89200,89100,89200,89700,90300,90800,91200,92000,92900,93700,93800,93600,93900,94800,95200,95300,95400,96500,97800,98300,98200,98900,99800,100500,101600,102800,103600,104100,104700,105000,105500,106300,107000,107300,108000,108600,108700,108700,108800,109400,110400,111000,111300,111400,111400,111600,112000,112200,112500,113000,113800,113100,112500,113400,114400,114000,114100,114300,114500,114800,115100,115200,115300,115400,115700,116000,116000,116100,116300,116500,116900,117000,116900,117100,117500,118000,118500,118500,118100,118200,118600,118600,118500,118800,119200,119400,119700,120500,120900,120900,121200,121700,122000,122300,123000,123500,124000,124400,124700,125300,126000,126300,126700,127300,127800,128600,129400,130200,130900,131800,132500,133100,133800,134500,135200,135700,136200,136500,136800,137500,138400,139100,139800,140300,140800,141800,143000,143900,144700,145300,145000,144500,144500,144600,144400,144300,144000,143400,142900,142700,142500,142700,143000,142900,142600,141800,140900,140200,139900,139200,138400,137900,137400,136800,136300,136000,135500,135100,134800,134200,133600,133100,132700,132200,131800,131300,130800,130000,129200,128600,128100,127300,126500,126100,125800,125300,124700,124000,123400,123100,122600,122100,121700,121700,121600,121300,121200,121400,121500,121400,121400,121400,121500,121500,121800,122200,122600,123000,123600,124200,124600,125000,125400,125700,125900,126100,126500,126900,127100,127400,126600,125100,124200,124300,124500,124900,125000,125100,125400
"New Jersey",93800,92600,91300,90200,89700,89300,88800,88100,87900,88300,89000,89200,89200,89400,89800,90200,90800,91200,91400,91800,92300,92800,93400,93900,94400,95000,95500,95900,96400,96900,97900,99000,99500,100200,101100,101800,102000,102600,103500,104500,105400,106300,107000,107700,108500,109400,110100,111300,112600,113700,114700,115900,116700,117400,118800,120600,122100,123100,123900,125000,126500,128000,129300,130300,131800,134000,135700,137100,138800,140700,142500,144400,146300,148700,151400,154100,156500,158500,160400,162600,165100,167600,170300,173300,175800,177800,180000,182200,184400,186700,188900,190900,193000,195500,198000,200100,202600,205600,208900,212500,216500,220100,223600,227100,230600,233700,236700,240000,243500,247000,250300,253700,257000,259500,261800,264500,266800,268100,269100,270200,271200,272200,272800,273100,273100,273100,273200,273000,272000,270800,270100,269800,269700,269200,267700,265500,263600,262100,261100,260000,258800,257500,256100,254600,253300,252100,251000,249900,248600,247400,246300,244400,244000,246400,248900,248800,247800,246600,245800,245200,244900,244500,244200,244000,243800,243200,242200,241700,241300,240600,239800,239200,238200,236800,234900,232900,230800,228600,226600,225000,223100,221500,220500,219800,219000,217700,216200,215000,213400,211800,210600,210200,210000,209800,209800,210100,210100,210200,210300,210100,210000,209700,209700,210000,209600,209200,209700,210200,210400,211400,213600,215800,217200,218000,218300,217800,219100,220500,220000,219400,220400,221000,221600,222300
