"RegionName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",163400,163200,162700,162400,162400,162400,162300,162400,162800,163500,164100,164800,165100,165200,165300,165700,166100,166700,167500,168600,169800,171400,173500,173200,173100,175400,178300,179200,180400,181700,183100,184500,185800,187300,188500,189900,191600,193100,194700,196600,198200,200000,202100,204100,206400,209200,212300,215300,218000,220500,222800,225500,228000,230400,232700,235100,237500,240300,243200,246000,248600,250700,252600,254700,257000,259400,261600,263900,266600,269500,272500,275800,279100,282500,286300,290900,295600,300500,305400,310300,314800,319100,323800,328500,332900,337100,341100,345400,350500,356100,361900,368100,374900,381800,389000,397100,406300,416200,426400,436500,445700,453500,460900,467700,473600,479200,485300,491600,498300,504900,511600,518600,525400,531600,537300,542600,546500,549000,550500,551800,552500,552800,552500,551400,549200,546600,543800,541200,538200,535400,533200,531000,528100,524400,519700,514300,508900,503300,497400,490900,483200,474300,464300,453400,442200,431500,421300,411300,401700,392600,384100,375500,369200,365800,363100,359100,355200,351400,348300,346100,344700,344000,343900,344300,344700,345000,345100,345200,345500,345800,345300,344000,342400,341100,339700,338200,336500,334300,332000,329700,327100,324300,321800,320000,318700,317500,316600,316000,315700,315800,316500,317500,318600,320400,322800,325500,328300,331400,334800,338300,341900,346200,351400,357600,364500,371400,378700,386100,392600,398200,403400,408100,411700,414100,415800,418500,422700,426700,429600,431700,434000,436400,438800,440800
"Texas",,,,,,,,,,,80500,80900,81200,81500,81900,82200,82500,83100,83700,83700,83400,84000,84800,85100,85100,85100,85200,85300,85300,85800,86500,86800,86900,87400,88000,88500,89200,90000,90700,91200,91500,92000,92700,93200,93400,93700,93800,93700,94100,94400,94300,94200,94400,95000,95700,96200,96300,96400,96500,96500,96800,97100,97600,98600,99800,99900,99000,99100,99700,100000,99900,100100,100200,100400,100700,101000,101500,103000,105000,105400,104700,104500,104900,104800,105100,105800,107000,108200,109400,109100,108100,107300,107700,109000,111900,114400,116100,117200,118300,119200,119800,120500,120900,120900,121500,122400,122600,122900,123800,124600,124400,122800,121600,121800,123100,125100,125500,125000,126100,128400,128200,127400,127800,129200,128900,128800,130100,132100,133200,134500,133700,132100,133000,135000,135600,135700,136000,136600,136000,135300,135900,136400,135200,133300,132100,130400,129100,128700,129600,129900,130100,130000,130500,131600,132500,132500,132600,132900,133100,132900,133100,133100,132800,132700,130300,126700,125300,125800,125200,124400,124300,124600,124500,123800,123100,122400,122200,122400,122400,121700,121500,121900,121900,121700,121300,120700,120000,119800,119800,119400,118600,118300,117800,117800,118600,119100,119100,119300,120000,120200,120600,121500,122500,123300,124300,125200,125900,126500,127400,128600,128900,128600,129300,130600,132500,135000,136700,136300,135600,135200,135500,136000,136700,137200
"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313500,312800,312000,310900,309100,307200,305600,304200,302400,300200,297900,296100,294600,292800,290700,290600,280600,264700,256400,257000,255700,254600,253200,251600,250400,249600,248900,248300,247500,246700,245900,245400,244800,244100,243200,242100,241100,240200,239300,238500,237700,236600,235600,234600,233800,233100,232200,231200,230200,229400,228600,227800,226900,226100,225300,224500,223700,223500,223500,223600,223700,223900,223900,224000,224200,224400,224600,224600,225000,225400,226000,226700,227500,228100,228600,229000,229700,230500,231300,232200,233400,234300,234700,235100,235600,235900,236300,236700
"Florida",92700,92900,92900,92900,92900,92900,92800,92900,93100,93400,93900,94300,94400,94600,95000,95400,95800,96100,96300,96600,97100,97800,98400,99000,99300,99500,99600,99800,99900,100100,100500,101100,101600,102300,102900,103500,104000,104400,104800,105400,106200,106800,107400,108200,108900,109500,110400,111200,111900,112600,113400,114100,114800,115400,116200,117100,117900,118700,119600,120400,121100,121900,122900,123900,124900,125800,126900,127700,128500,129500,130500,131400,132600,133800,134900,135700,136800,138000,139300,140300,141600,143200,144600,145900,147200,148400,149700,151100,152500,154100,155700,157400,159100,160900,163000,165300,167900,170600,173500,176800,180300,183800,187400,191500,195600,199600,203900,208700,214200,220100,226100,231900,237600,242800,247800,252200,255800,258600,260900,262900,264500,265300,265600,265400,264600,263300,261800,260100,258100,255700,253400,251000,248500,245600,242500,239500,236200,233000,229900,226900,223300,219000,214500,210000,205400,201200,197100,193100,189200,185400,181400,177200,174200,172700,171500,169000,166200,163600,161500,159700,158500,157400,156500,155700,155300,155000,154600,154000,153400,153000,152200,151300,150200,148900,147700,146600,145100,143500,142300,141300,140400,139300,138200,137200,136200,135600,135300,135200,135000,135000,135200,135700,136300,137000,137900,138800,139700,140700,141800,142500,143200,144100,145200,146500,147800,149300,150900,152500,154200,156100,158000,159800,161300,162500,163400,164900,167000,169100,170700,172100,173400,174500,175600,176500
"Illinois",115600,115900,115800,115100,114200,113700,113700,113700,114300,115600,116600,116600,116400,116500,116800,116900,117000,117300,117700,118200,118600,118800,119000,119200,119200,119400,119600,119900,120200,120700,121200,121500,121800,122100,122500,123000,123600,124100,124800,125400,125600,126000,126900,127700,128100,128600,129100,129400,130000,130600,131100,131600,132200,132800,133600,134400,135000,135500,136300,137200,138000,138600,139300,140000,140600,141600,142600,143300,143900,144400,145000,145800,146400,147000,147900,148600,149000,149600,150700,151800,152800,153600,154600,155900,157000,158100,159600,161000,161700,162300,163000,163700,164400,165300,166100,167000,168100,168900,169200,171100,174100,175200,174300,174700,176200,177600,178700,179800,180900,181700,182300,183100,183700,184600,186200,187700,188800,189700,190400,191000,191900,192900,193700,193900,195400,197300,197600,196600,196600,196800,197200,197400,197300,197800,198200,197500,195800,195100,195000,194600,193700,192900,192100,191100,190000,189100,188100,187100,186000,184800,183600,182300,181200,180000,178400,177000,175800,174400,172900,171900,170700,169700,169300,169200,168500,167800,167100,166300,165500,164700,163900,163000,161700,160200,159000,157900,156700,155700,154800,153800,152400,150900,149400,148100,147000,146000,145100,144500,144000,143100,142400,142000,141600,141400,141500,141600,141600,141500,141700,141700,141500,141600,141900,142300,142800,143500,144300,145600,146800,147900,149000,150000,150600,151200,151900,152800,153900,154700,155100,155500,155900,156400,156900,157400
"Pennsylvania",91300,91000,91100,90900,90700,90600,90300,90000,90000,90200,90300,90500,90600,90700,90800,91000,91100,91200,91500,91800,92000,92200,92400,92700,93000,93300,93500,93700,93700,93900,94300,94800,95400,95800,96100,96500,96800,96800,96700,96800,97100,97200,97200,97400,97900,98300,98900,99400,99900,100300,100700,101000,101200,101700,102400,102900,103000,103300,103600,104100,104700,105400,106100,106700,107200,107800,108200,108700,109300,109900,110600,111200,111500,111900,112500,113100,113600,114100,114700,115300,116100,117000,117900,118700,119300,120200,121100,122000,122900,123800,124600,125600,126700,127600,128100,128800,129800,130900,131700,132500,133300,134300,135300,136200,137000,138000,139100,140200,141100,142100,143100,144500,146100,147500,148600,149700,150700,151300,151800,152500,153200,153800,154400,155200,155900,156400,157200,157600,157400,157300,157600,158100,158700,159400,159600,159700,159800,160000,159900,159700,159700,159600,159300,159200,159300,159100,159000,159100,159000,158800,158400,158100,158400,159100,159300,159000,158500,158300,158000,157600,157500,157300,157200,157300,157100,156800,156700,156700,156400,156100,155900,155400,154900,154400,153800,153300,152700,152300,152200,151800,151200,150700,150200,149600,149000,149000,148900,148600,148200,148000,147800,147800,147700,147700,147700,147800,147800,147700,147700,147700,147600,147500,147600,147900,148300,149000,149800,150400,150700,150900,151300,152100,153100,154100,154700,155400,155900,155900,155900,156300,156600,156800,157200,157600
"Ohio",87000,87300,87400,87500,87700,87800,87900,88000,88300,88700,89100,89600,90000,90200,90500,90600,91000,91600,92300,92700,93000,93300,93600,94000,94300,94500,94700,94800,95000,95500,95800,95800,96000,96500,97100,97600,98000,98400,98700,99300,99800,99900,100200,100700,101000,101400,101900,102400,102800,103300,104000,104600,105000,105300,105500,105800,106100,106400,106700,107000,107300,107600,108200,108700,108700,108800,109200,109600,109800,110200,110700,111100,111100,111200,111500,111600,112000,112400,112700,113100,113600,113800,113900,114200,114700,115100,115500,115900,116300,116800,117300,117900,118300,118500,118600,118900,119200,119500,119600,119700,120000,120400,120700,120900,121200,121600,121900,122100,122400,122700,122800,123000,123300,123200,123200,123500,123600,123700,123800,124000,124200,124200,124000,123800,123700,123700,123700,123400,123100,123000,122900,122600,122400,122100,122000,121800,121500,121000,120500,120100,119500,118800,118100,117600,116900,116400,115900,115500,115000,114600,114100,113600,113400,113800,114100,113800,113500,113300,113100,113100,113200,113100,113100,113200,113200,112900,112500,112400,112200,112000,111800,111500,111200,111000,110400,109800,109200,108500,107900,107400,106900,106500,106200,105900,105800,105600,105200,105100,105100,105100,104900,104900,105100,105400,105500,105600,105500,105600,105900,106100,105900,105900,106000,106200,106600,107000,107500,107900,108500,109200,109900,110600,111200,111800,112700,113400,114000,114500,115000,115300,115500,115900,116600,117100
"Michigan",89600,88900,89000,89600,89000,88100,87800,88000,88000,87900,87800,88000,88600,89500,90000,90300,90800,91200,91700,92500,93300,93900,94000,93900,94400,95200,95800,96200,97000,98000,98700,99100,99600,100700,102000,102900,103900,105000,106000,106800,107900,108800,109500,109800,110300,111200,112000,112700,113500,114400,115300,115300,114300,113900,114400,116000,118000,119300,120000,120700,121100,121800,122700,123500,124000,124600,125000,125000,124900,125100,125200,125300,125700,125300,124800,125700,127600,128700,129400,129900,130400,131000,131500,131700,131900,132300,132700,132900,133300,133700,134100,134200,134500,135100,135700,135600,135400,135800,136200,136500,136800,137200,137600,138200,138000,136900,137100,138700,139700,140000,140400,140400,140300,140400,140500,140300,140100,140000,139800,139400,138700,138200,137300,136800,136300,135800,135400,135400,135000,134500,133400,132800,132600,132100,131400,130700,129800,129000,128200,126900,125300,123800,122300,120800,119400,118000,116600,115200,114000,112600,111000,109300,108200,107900,107600,106900,106200,105500,104900,104200,103700,103200,102700,102100,101900,101600,101400,101300,101400,101300,101000,100300,99600,99100,98700,98100,97800,97600,96900,96000,95200,94700,94300,94000,93600,93200,92900,92900,93100,93400,93600,93700,94300,95400,96600,97600,98400,99500,101100,102500,103200,104000,105200,106500,107600,109000,110300,111500,112700,113400,113600,114100,114900,115800,116400,116000,114900,113900,113700,113900,114500,115000,115500,116000
"Georgia",92100,93300,93700,93100,92600,93200,94000,94400,94800,95400,95400,95100,95200,95400,95700,96400,97300,97700,97800,98300,99200,99900,100700,101500,101900,102000,102700,103600,104300,104900,105600,105700,105900,106700,107600,108100,108500,108900,109900,111400,112000,111900,112300,112900,113700,115000,116500,117300,117700,117900,118600,119800,121100,121900,122900,123500,123300,123200,124100,124600,125200,126400,127100,126900,126200,126300,126600,127400,128300,129000,128900,129700,130700,131000,130800,131300,132700,133500,134000,134800,134700,134100,134400,134900,135200,135700,136100,136100,136600,137500,137900,138300,139500,140400,140700,141500,142400,142800,143200,143600,143700,144200,145100,145500,146000,146800,147600,148100,148600,149300,150000,150700,151500,152000,152600,153300,153900,154400,155000,155300,155600,155900,156300,156800,157200,157600,157900,158000,157700,157300,157000,157000,157100,157200,157400,157300,157100,156800,156400,156100,155800,155300,154600,153700,152600,151400,150300,149200,147800,146200,144700,142900,141700,141500,141100,140200,139600,138800,138000,137400,137100,136700,136300,136000,135800,135400,135300,135000,134700,134100,133300,132400,131400,130500,129700,128900,127700,126600,125600,124700,123700,122800,121900,120900,120000,119200,118500,118100,117800,117300,116800,116700,116600,116800,117100,117400,117700,117900,117900,118100,118700,119500,120200,121100,121900,122800,124000,125400,126500,127500,128300,129400,130600,131500,131800,131700,131700,132500,133700,134600,135900,137100,138400,139400
"North Carolina",91200,91400,92200,93600,94000,93400,93500,94100,94500,94900,94800,95400,96800,98200,98300,97900,98200,99300,100100,100200,100600,100600,102100,104800,107200,107600,107700,108100,109200,110000,110000,110200,110300,109700,109700,111000,111500,111900,113000,113200,113600,115200,114900,113000,113500,115900,117600,118100,118200,118100,118200,118300,118000,118100,119600,121000,121100,120700,120500,120500,120700,121000,120700,120300,120300,120500,120600,121000,120900,121200,121700,121900,121400,121800,122800,124200,124300,123400,124000,126500,128000,128000,128100,127800,127900,128400,128700,128600,128900,129300,129200,128900,129200,129600,130000,130500,131100,131500,131700,132300,133200,134100,134600,134800,135200,135900,136300,136900,137600,138100,138800,139600,140300,141300,142100,142700,143500,144200,144700,145100,145700,146300,146800,147100,147800,148500,149000,149400,149700,149900,150200,150800,151500,152000,152400,152900,153500,154000,154300,154200,154000,153800,153500,153400,153500,153700,153900,153800,153300,152800,152400,151800,151800,152500,152900,152400,152100,151700,151300,151100,150800,150500,150400,150200,149900,149700,149300,148900,148500,148100,147700,147200,146600,146000,145500,145100,144400,143600,143200,143100,142900,142600,142200,142000,141900,141600,141000,140700,140400,140100,140200,140500,140400,140300,140500,140800,141100,141300,141300,141600,142000,142100,141800,141800,142200,142700,143100,143700,144100,144700,145500,146400,147000,147500,148400,148200,147400,147100,147300,147400,147500,147700,148000,148200
