"RegionName","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",1.248,1.252,1.25,1.252,1.252,1.256,1.254,1.256,1.256,1.262,1.26,1.26,1.26,1.264,1.266,1.266,1.266,1.27,1.274,1.282,1.284,1.28,1.28,1.28,1.286,1.292,1.296,1.3,1.304,1.304,1.304,1.302,1.3,1.302,1.306,1.312,1.32,1.328,1.334,1.338,1.344,1.348,1.356,1.362,1.372,1.382,1.394,1.4,1.41
"Texas",0.704,0.71,0.71,0.712,0.712,0.712,0.714,0.718,0.718,0.718,0.716,0.712,0.714,0.716,0.72,0.72,0.722,0.724,0.728,0.732,0.734,0.736,0.738,0.74,0.744,0.746,0.746,0.748,0.75,0.752,0.752,0.752,0.752,0.756,0.76,0.766,0.772,0.778,0.78,0.782,0.786,0.788,0.79,0.792,0.796,0.8,0.804,0.808,0.81
"New York",0.992,1.004,1.008,1.012,1.008,1.008,1.018,1.026,1.034,1.03,1.036,1.044,1.052,1.058,1.058,1.064,1.066,1.084,1.096,1.108,1.104,1.106,1.106,1.102,1.104,1.104,1.11,1.112,1.114,1.106,1.1,1.098,1.102,1.108,1.106,1.11,1.118,1.12,1.122,1.122,1.132,1.132,1.128,1.122,1.124,1.132,1.138,1.138,1.142
"Florida",0.804,0.804,0.806,0.81,0.814,0.818,0.82,0.82,0.818,0.818,0.822,0.826,0.832,0.836,0.84,0.84,0.84,0.842,0.85,0.856,0.86,0.864,0.866,0.868,0.872,0.876,0.878,0.882,0.886,0.89,0.892,0.894,0.9,0.906,0.91,0.912,0.918,0.926,0.93,0.936,0.938,0.938,0.94,0.942,0.946,0.948,0.952,0.954,0.958
"Illinois",0.966,0.98,0.984,0.986,0.98,0.986,0.986,0.982,0.978,0.976,0.98,0.982,1,1.004,1.01,1.014,1.018,1.022,1.026,1.036,1.04,1.042,1.04,1.04,1.042,1.036,1.032,1.032,1.038,1.042,1.044,1.046,1.046,1.048,1.05,1.054,1.06,1.06,1.064,1.066,1.07,1.066,1.068,1.07,1.076,1.084,1.088,1.09,1.088
"Pennsylvania",0.794,0.796,0.794,0.794,0.792,0.792,0.792,0.794,0.796,0.798,0.802,0.804,0.808,0.812,0.818,0.822,0.822,0.828,0.832,0.838,0.836,0.836,0.834,0.836,0.836,0.836,0.836,0.838,0.842,0.846,0.846,0.844,0.844,0.846,0.846,0.848,0.852,0.854,0.856,0.856,0.86,0.858,0.86,0.86,0.866,0.87,0.872,0.874,0.874
"Ohio",0.644,0.644,0.644,0.644,0.644,0.648,0.658,0.666,0.672,0.674,0.68,0.684,0.688,0.692,0.696,0.7,0.702,0.704,0.702,0.698,0.696,0.696,0.696,0.696,0.696,0.698,0.702,0.704,0.706,0.71,0.71,0.712,0.712,0.712,0.716,0.72,0.722,0.726,0.728,0.732,0.734,0.734,0.734,0.736,0.74,0.744,0.746,0.746,0.744
"Michigan",0.776,0.782,0.784,0.786,0.784,0.788,0.794,0.802,0.806,0.81,0.808,0.804,0.798,0.796,0.794,0.796,0.796,0.798,0.798,0.798,0.794,0.792,0.792,0.794,0.798,0.802,0.804,0.804,0.806,0.804,0.802,0.8,0.8,0.802,0.804,0.808,0.812,0.818,0.818,0.818,0.822,0.822,0.82,0.82,0.824,0.826,0.828,0.832,0.838
"Georgia",0.62,0.622,0.624,0.626,0.628,0.632,0.636,0.642,0.644,0.642,0.64,0.636,0.636,0.638,0.64,0.64,0.638,0.638,0.638,0.638,0.638,0.64,0.638,0.638,0.64,0.64,0.642,0.642,0.644,0.646,0.644,0.642,0.642,0.642,0.646,0.65,0.654,0.656,0.656,0.658,0.656,0.656,0.654,0.654,0.656,0.66,0.662,0.664,0.666
"North Carolina",0.638,0.642,0.646,0.648,0.65,0.65,0.652,0.652,0.652,0.652,0.654,0.656,0.658,0.662,0.664,0.666,0.666,0.668,0.672,0.676,0.676,0.676,0.676,0.676,0.678,0.678,0.678,0.68,0.682,0.684,0.684,0.684,0.684,0.686,0.686,0.688,0.692,0.694,0.692,0.692,0.692,0.692,0.69,0.692,0.694,0.698,0.7,0.7,0.702
"New Jersey",0.944,0.944,0.938,0.922,0.91,0.916,0.92,0.922,0.914,0.918,0.942,0.974,1.006,1.028,1.046,1.06,1.068,1.088,1.11,1.132,1.142,1.144,1.14,1.136,1.126,1.13,1.144,1.164,1.18,1.182,1.18,1.174,1.178,1.18,1.182,1.184,1.176,1.174,1.176,1.186,1.196,1.194,1.194,1.196,1.212,1.222,1.224,1.222,1.21
