"RegionName","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",1860,1875,1874,1867,1865,1872,1878,1882,1883,1893,1902,1911,1914,1920,1924,1931,1933,1938,1944,1955,1959,1957,1954,1955,1963,1972,1980,1993,2007,2014,2015,2013,2014,2016,2021,2028,2039,2053,2063,2073,2081,2085,2094,2104,2122,2138,2153,2163,2177
"Texas",1125,1132,1131,1131,1130,1138,1147,1154,1157,1159,1164,1166,1171,1179,1188,1194,1196,1198,1199,1204,1209,1212,1213,1214,1219,1223,1224,1229,1237,1241,1243,1243,1244,1247,1253,1262,1269,1276,1281,1287,1293,1295,1300,1304,1311,1318,1324,1330,1336
"New York",1462,1466,1473,1497,1505,1515,1524,1517,1519,1515,1542,1569,1611,1651,1667,1670,1682,1716,1747,1778,1784,1789,1781,1784,1784,1797,1809,1824,1834,1828,1818,1809,1812,1830,1842,1841,1838,1839,1841,1840,1847,1846,1853,1871,1894,1905,1909,1914,1919
"Florida",1198,1199,1201,1204,1207,1210,1211,1213,1215,1217,1220,1225,1231,1233,1234,1235,1238,1247,1258,1269,1274,1276,1278,1281,1284,1288,1291,1296,1303,1308,1313,1319,1331,1342,1349,1357,1369,1385,1396,1405,1408,1407,1406,1404,1404,1407,1413,1417,1420
"Illinois",1223,1247,1257,1266,1268,1289,1286,1282,1273,1269,1282,1290,1328,1333,1347,1356,1366,1372,1385,1408,1423,1434,1427,1423,1418,1404,1396,1397,1405,1406,1414,1414,1420,1425,1432,1446,1462,1470,1475,1477,1475,1467,1468,1466,1471,1476,1480,1478,1471
"Pennsylvania",1104,1088,1075,1063,1066,1070,1085,1093,1102,1114,1129,1141,1138,1148,1159,1163,1157,1165,1174,1185,1181,1177,1176,1178,1174,1181,1189,1200,1211,1210,1204,1197,1197,1195,1194,1192,1188,1197,1204,1213,1218,1217,1211,1210,1215,1220,1220,1220,1215
"Ohio",898,899,898,895,893,901,913,923,928,928,940,947,959,958,962,965,970,975,969,964,958,964,965,962,958,958,960,966,977,986,992,991,990,989,993,1005,1016,1027,1038,1047,1045,1037,1040,1052,1068,1077,1077,1076,1069
"Michigan",945,957,961,964,966,966,961,966,978,992,989,964,941,920,915,915,918,923,928,926,919,915,921,931,942,952,949,947,944,942,937,927,915,904,901,910,925,939,941,939,936,932,936,947,960,964,967,976,992
"Georgia",998,1008,1014,1019,1029,1043,1059,1071,1077,1073,1070,1064,1067,1064,1059,1055,1050,1053,1057,1065,1065,1066,1065,1064,1068,1073,1076,1078,1082,1079,1074,1068,1069,1074,1081,1088,1097,1107,1112,1116,1116,1109,1102,1098,1101,1107,1113,1120,1130
"North Carolina",946,952,957,962,966,968,971,973,976,975,979,981,989,994,1000,1003,1006,1016,1028,1040,1043,1045,1046,1049,1052,1055,1056,1057,1059,1058,1055,1053,1056,1064,1071,1078,1084,1086,1087,1089,1093,1092,1092,1091,1094,1096,1095,1093,1095
"New Jersey",1451,1447,1440,1421,1404,1419,1433,1440,1427,1429,1468,1523,1589,1642,1674,1693,1728,1765,1805,1833,1853,1859,1847,1833,1808,1814,1831,1862,1881,1886,1884,1884,1890,1897,1899,1899,1884,1891,1898,1916,1924,1915,1910,1911,1937,1961,1976,1978,1964
"Virginia",1370,1378,1385,1393,1397,1391,1380,1367,1362,1363,1373,1386,1404,1405,1405,1402,1402,1420,1438,1460,1465,1468,1468,1468,1469,1469,1467,1468,1471,1471,1476,1477,1481,1482,1481,1479,1481,1485,1490,1495,1498,1494,1491,1489,1494,1497,1498,1496,1496
"Washington",1312,1328,1334,1333,1338,1341,1344,1338,1331,1329,1327,1329,1342,1348,1351,1355,1357,1369,1381,1392,1391,1387,1384,1382,1387,1389,1390,1396,1401,1406,1410,1416,1426,1438,1452,1460,1469,1474,1476,1481,1482,1476,1470,1474,1486,1495,1500,1504,1514
"Massachusetts",1683,1689,1690,1679,1671,1660,1665,1670,1678,1678,1678,1680,1693,1708,1723,1732,1745,1765,1778,1780,1780,1781,1790,1789,1793,1797,1808,1817,1823,1818,1823,1825,1832,1832,1844,1859,1865,1868,1861,1873,1883,1899,1896,1908,1914,1934,1936,1942,1943
"Indiana",841,846,852,859,866,871,882,888,893,891,890,893,907,921,930,935,940,950,957,960,959,958,962,960,960,956,952,946,942,940,942,953,971,991,1004,1014,1021,1026,1031,1043,1051,1054,1050,1045,1040,1036,1036,1040,1047
"Arizona",1082,1079,1077,1078,1079,1087,1090,1092,1091,1091,1092,1093,1094,1097,1097,1097,1095,1096,1101,1108,1114,1117,1119,1121,1124,1128,1129,1130,1131,1126,1121,1113,1113,1115,1117,1120,1123,1129,1137,1144,1152,1156,1162,1169,1174,1178,1183,1188,1191
"Tennessee",862,867,869,876,875,875,882,888,893,891,897,905,918,925,930,932,936,944,950,960,965,970,968,964,963,967,969,968,971,972,971,967,967,972,978,983,985,990,996,1002,1010,1013,1016,1017,1020,1024,1029,1035,1040
"Missouri",926,943,949,954,955,960,973,983,983,977,975,986,999,999,993,985,983,994,1008,1023,1025,1020,1008,992,987,989,991,999,1003,995,981,966,968,978,988,993,998,1005,1009,1013,1018,1016,1012,1009,1015,1024,1035,1045,1058
"Maryland",1515,1534,1543,1556,1562,1575,1582,1586,1581,1581,1594,1610,1640,1659,1674,1683,1688,1697,1711,1726,1734,1737,1733,1732,1736,1738,1736,1737,1744,1743,1743,1740,1745,1748,1747,1744,1743,1741,1738,1738,1741,1739,1739,1738,1746,1757,1764,1767,1769
"Wisconsin",769,777,777,769,766,759,765,779,807,841,871,899,921,957,996,1036,1063,1115,1161,1191,1182,1168,1163,1158,1137,1115,1098,1094,1106,1107,1110,1111,1115,1111,1111,1118,1127,1148,1164,1172,1167,1151,1126,1106,1109,1121,1124,1119,1113
"Minnesota",1196,1199,1203,1205,1205,1200,1194,1190,1191,1195,1203,1217,1235,1244,1250,1255,1258,1270,1284,1302,1311,1316,1317,1315,1317,1317,1318,1320,1322,1322,1323,1323,1325,1329,1333,1337,1338,1337,1341,1348,1358,1364,1370,1368,1367,1368,1368,1368,1363
"Colorado",1249,1272,1282,1301,1307,1319,1325,1329,1326,1322,1321,1321,1335,1341,1338,1330,1328,1338,1354,1375,1384,1388,1388,1388,1401,1417,1424,1428,1434,1435,1436,1435,1438,1441,1446,1454,1468,1484,1491,1500,1514,1515,1514,1516,1534,1556,1578,1597,1620
"Alabama",797,798,799,802,810,825,846,859,866,866,868,872,885,901,915,923,928,934,928,920,913,913,913,907,900,898,897,899,902,903,907,909,910,912,918,932,941,947,949,952,951,945,942,949,963,976,981,981,981
"South Carolina",946,971,979,963,951,949,967,980,993,1006,1018,1021,1021,1012,1008,1010,1010,1014,1011,1017,1016,1014,1004,1000,1001,999,1006,1025,1040,1041,1038,1033,1033,1034,1045,1060,1079,1082,1085,1094,1101,1110,1111,1111,1114,1115,1118,1119,1124
"Louisiana",886,889,896,904,921,944,975,998,1023,1050,1085,1123,1159,1185,1204,1214,1221,1225,1226,1226,1225,1230,1233,1240,1237,1224,1217,1220,1233,1247,1254,1256,1253,1247,1242,1244,1249,1263,1290,1316,1316,1312,1313,1320,1334,1342,1344,1332,1316
"Kentucky",862,871,879,883,884,885,884,879,873,870,885,904,931,940,948,951,955,961,968,975,981,985,981,973,954,943,934,939,943,950,955,958,957,955,950,950,954,963,968,967,968,963,963,965,974,984,985,984,986
"Oregon",1090,1103,1114,1123,1138,1146,1159,1163,1163,1161,1161,1166,1179,1190,1193,1196,1195,1205,1215,1230,1238,1243,1246,1242,1247,1253,1258,1265,1272,1273,1267,1261,1262,1265,1273,1283,1299,1312,1314,1315,1316,1317,1321,1331,1344,1359,1370,1379,1393
"Oklahoma",880,878,878,873,867,865,868,864,852,843,847,858,864,861,858,857,858,858,852,848,846,851,855,858,864,870,878,884,887,889,893,905,919,927,928,927,928,932,935,943,955,963,971,977,987,992,994,995,994
"Connecticut",1593,1609,1615,1628,1631,1639,1646,1649,1651,1646,1643,1637,1639,1639,1641,1643,1643,1645,1645,1649,1644,1640,1634,1633,1642,1645,1643,1637,1636,1637,1634,1628,1623,1626,1635,1647,1658,1657,1657,1654,1658,1654,1657,1665,1682,1695,1702,1703,1712
"Iowa",536,553,561,575,581,570,550,551,592,640,705,739,774,786,812,827,841,899,964,1009,1001,996,991,992,982,996,1004,1018,1033,1043,1042,1024,1000,983,964,968,970,986,993,999,1003,984,977,983,1010,1021,1016,1014,1015
"Mississippi",842,854,862,866,865,864,861,860,854,853,858,879,909,944,969,987,1000,1012,1030,1033,1029,1012,998,974,950,936,932,943,963,979,984,987,995,1011,1027,1046,1056,1059,1048,1029,1015,1004,1001,1010,1026,1043,1047,1043,1048
"Arkansas",688,694,701,708,718,730,745,753,763,774,789,804,818,832,839,843,844,842,835,841,848,863,866,867,863,860,862,869,877,886,895,898,895,886,883,882,887,897,901,903,902,901,903,901,902,901,901,901,905
